"sectionTitle","uuid:ID","text","id","sectionNumber","name"
"Selection of Trial Population","edf6e595-d77b-438b-b79a-47c160749d5e","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","5.1","SECTION 5.1"
"Rationale for Trial Population","8e030f43-7fb7-4766-82ce-4215b663d565","<div></div>","NarrativeContent_23","5.2","SECTION 5.2"
"Inclusion Criteria","0e7ac6a7-3cd0-4e69-b2be-5111d2485bd3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","5.3","SECTION 5.3"
"Exclusion Criteria","8e353a47-bd76-4548-8034-cc48a820015f","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","5.4","SECTION 5.4"
"Lifestyle Considerations","bff5f531-5064-4ff3-ab59-75ad4d3002de","<div></div>","NarrativeContent_26","5.5","SECTION 5.5"
"Meals and Dietary Restrictions","568cfcdb-a8e6-45a5-be53-816d6681cba4","<div></div>","NarrativeContent_27","5.5.1","SECTION 5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","fd358b3f-3a10-4145-8129-2e7670086577","<div><p>Not applicable</p></div>","NarrativeContent_28","5.5.2","SECTION 5.5.2"
"Physical Activity","3e19c558-4f9a-4d9d-9f6b-8c58fc3da446","<div></div>","NarrativeContent_29","5.5.3","SECTION 5.5.3"
"Other Activity","541e849a-8eb1-45fe-a91d-a4045bf83bd7","<div></div>","NarrativeContent_30","5.5.4","SECTION 5.5.4"
"Screen Failures","0122e281-5d3d-4c33-858b-ab1312bc80d5","<div></div>","NarrativeContent_31","5.6","SECTION 5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","5759e0ae-3e2b-4699-82e9-011a38027336","<div></div>","NarrativeContent_32","6","SECTION 6"
"Description of Trial Intervention","8a97cd12-4228-4e5e-8cff-16aa70685f6f","<div></div>","NarrativeContent_33","6.1","SECTION 6.1"
"Rationale for Trial Intervention","35363ba5-e574-469e-bcc9-549435c9a681","<div></div>","NarrativeContent_34","6.2","SECTION 6.2"
"Dosing and Administration","20e29a95-2f74-4e42-b251-442ae8c478f5","<div></div>","NarrativeContent_35","6.3","SECTION 6.3"
"Trial Intervention Dose Modification","2b04a2be-0b84-4bfa-b885-5b07d11cb2d8","<div></div>","NarrativeContent_36","6.3.1","SECTION 6.3.1"
"Treatment of Overdose","971fc378-c170-4367-94f5-f9304cfd00e5","<div></div>","NarrativeContent_37","6.4","SECTION 6.4"
"Preparation, Handling, Storage and Accountability","6ce78eac-af81-44fd-9975-5e252e8d0cdb","<div></div>","NarrativeContent_38","6.5","SECTION 6.5"
"Preparation of Trial Intervention","95832841-77d3-44bd-b66b-12b41f9f8a2f","<div></div>","NarrativeContent_39","6.5.1","SECTION 6.5.1"
"Handling and Storage of Trial Intervention","f748ad64-7120-409c-a228-468d54cbc4e0","<div></div>","NarrativeContent_40","6.5.2","SECTION 6.5.2"
"Accountability of Trial Intervention","fe8ce654-0294-434c-b98a-ef75423daaa6","<div></div>","NarrativeContent_41","6.5.3","SECTION 6.5.3"
"Participant Assignment, Randomisation and Blinding","d7857831-80b4-4e0f-89bc-99123053a6d7","<div></div>","NarrativeContent_42","6.6","SECTION 6.6"
"Participant Assignment","cb116858-edd3-494d-9d1c-5cfbf03289c5","<div></div>","NarrativeContent_43","6.6.1","SECTION 6.6.1"
"Randomisation","8b7ed4f5-f170-41de-883b-fe6f2cc14951","<div></div>","NarrativeContent_44","6.6.2","SECTION 6.6.2"
"Blinding and Unblinding","e8af9517-e213-499f-b571-e433e1bac26a","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","6.6.3","SECTION 6.6.3"
"Trial Intervention Compliance","2f703f01-99f3-4d32-93a3-dd92f25d927c","<div></div>","NarrativeContent_46","6.7","SECTION 6.7"
"Concomitant Therapy","4faaa0a4-cb6a-40b7-b09f-d8165a1d47d1","<div></div>","NarrativeContent_47","6.8","SECTION 6.8"
"Prohibited Concomitant Therapy","afe3560e-7e19-486b-ba6f-46d568a0675b","<div></div>","NarrativeContent_48","6.8.1","SECTION 6.8.1"
"Permitted Concomitant Therapy","d95b646b-e284-4a3f-9f95-9a08347bc989","<div></div>","NarrativeContent_49","6.8.2","SECTION 6.8.2"
"Rescue Therapy","797883b5-bb9b-45f4-9fea-674886fed224","<div></div>","NarrativeContent_50","6.8.3","SECTION 6.8.3"
"Other Therapy","a06166f4-ebdb-4614-b28b-794ddebf9e85","<div></div>","NarrativeContent_51","6.8.4","SECTION 6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","27af48ed-ce21-4208-83c6-4278d9d7b86d","<div></div>","NarrativeContent_52","7","SECTION 7"
"Discontinuation of Trial Intervention","b8482340-ba64-40aa-986f-f8cbb36f8713","<div></div>","NarrativeContent_53","7.1","SECTION 7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","a047988b-4578-478d-ab18-f8ecf20c50a6","<div></div>","NarrativeContent_54","7.1.1","SECTION 7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","e4a204fe-3438-4e1e-9a7e-9784502295c2","<div></div>","NarrativeContent_55","7.1.2","SECTION 7.1.2"
"Rechallenge","2cbde1bc-6bd7-4a5c-8e6c-1f962eb01173","<div></div>","NarrativeContent_56","7.1.3","SECTION 7.1.3"
"Participant Withdrawal from the Trial","b0e932ae-1cff-4ed0-b952-53d72055e522","<div></div>","NarrativeContent_57","7.2","SECTION 7.2"
"Lost to Follow-Up","1e42077c-2074-4045-b907-87ef11e44a29","<div></div>","NarrativeContent_58","7.3","SECTION 7.3"
"Trial Stopping Rules","461b6045-965a-4c73-af23-342be25d81ad","<div></div>","NarrativeContent_59","7.4","SECTION 7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","9e15f2d7-093e-4ad8-9ca5-2244a319e74d","<div></div>","NarrativeContent_60","8","SECTION 8"
"Screening/Baseline Assessments and Procedures","35fd7673-5c54-4021-833a-2d2559fa0a7b","<div></div>","NarrativeContent_61","8.1","SECTION 8.1"
"Efficacy Assessments and Procedures","5b7b1014-eaff-426f-808a-059c553137e3","<div></div>","NarrativeContent_62","8.2","SECTION 8.2"
"Safety Assessments and Procedures","fdb9cca2-3dfa-4ddc-b408-5cff80d7026f","<div></div>","NarrativeContent_63","8.3","SECTION 8.3"
"Physical Examination","b3366a1b-5521-4820-9834-c6b2e55b1b9b","<div></div>","NarrativeContent_64","8.3.1","SECTION 8.3.1"
"Vital Signs","94d65229-a353-4710-bd48-92a9e76b3e51","<div></div>","NarrativeContent_65","8.3.2","SECTION 8.3.2"
"Electrocardiograms","78529983-0464-49f3-9f9e-fd4f06ef823b","<div></div>","NarrativeContent_66","8.3.3","SECTION 8.3.3"
"Clinical Laboratory Assessments","d9b70024-5bc0-4462-9b49-5ba2b7067d47","<div></div>","NarrativeContent_67","8.3.4","SECTION 8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","69ad8c91-fa51-4a6c-8505-7e68cb0a3420","<div></div>","NarrativeContent_68","8.3.5","SECTION 8.3.5"
"Adverse Events and Serious Adverse Events","3ef6a166-2f9b-4661-9265-758e460722d0","<div></div>","NarrativeContent_69","8.4","SECTION 8.4"
"Definitions of AE and SAE","200d5de2-e526-414a-b5ce-4e75190d05f9","<div></div>","NarrativeContent_70","8.4.1","SECTION 8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","5d1d2131-289c-4dd4-812d-97468946455e","<div></div>","NarrativeContent_71","8.4.2","SECTION 8.4.2"
"Identifying AEs and SAEs","d035a364-d326-4e5d-b3f7-77462c4fde5a","<div></div>","NarrativeContent_72","8.4.3","SECTION 8.4.3"
"Recording of AEs and SAEs","42779f80-6843-4d2c-bba5-86f9e0d98281","<div></div>","NarrativeContent_73","8.4.4","SECTION 8.4.4"
"Follow-up of AEs and SAEs","e3d95087-bb71-47d2-8afa-ea17bf3e22c1","<div></div>","NarrativeContent_74","8.4.5","SECTION 8.4.5"
"Reporting of SAEs","2aa2f9aa-5ec2-44f0-8eac-7cbcb89a0c8c","<div></div>","NarrativeContent_75","8.4.6","SECTION 8.4.6"
"Regulatory Reporting Requirements for SAEs","30d65313-880c-4799-85d1-a24c17d31d43","<div></div>","NarrativeContent_76","8.4.7","SECTION 8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","ccb2d014-3af9-40a6-b250-fe5c62024523","<div></div>","NarrativeContent_77","8.4.8","SECTION 8.4.8"
"Adverse Events of Special Interest","057e8328-b119-4d08-974b-6d957e9eb0d3","<div></div>","NarrativeContent_78","8.4.9","SECTION 8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","ee3e1d96-12c7-4571-afa3-c4dd9e869ef5","<div></div>","NarrativeContent_79","8.4.10","SECTION 8.4.10"
"Pregnancy and Postpartum Information","a883ce18-37ed-4b2d-863d-af857e55b3a2","<div></div>","NarrativeContent_80","8.5","SECTION 8.5"
"Participants Who Become Pregnant During the Trial","3796c9a3-6e90-4a52-afc1-9f7aacd946c6","<div></div>","NarrativeContent_81","8.5.1","SECTION 8.5.1"
"Participants Whose Partners Become Pregnant","eb254fd9-308f-42e3-acc8-8e732f74c1f4","<div></div>","NarrativeContent_82","8.5.2","SECTION 8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","2f156092-2233-486f-bc4d-6f60e08283aa","<div></div>","NarrativeContent_83","8.6","SECTION 8.6"
"Definition of Medical Device Product Complaints","dc12c4cf-d4ad-4d9c-a3d7-4ea9cb60a3ff","<div></div>","NarrativeContent_84","8.6.1","SECTION 8.6.1"
"Recording of Medical Device Product Complaints","10e3887a-3804-42d9-95dc-f3cdd8b8d4fd","<div></div>","NarrativeContent_85","8.6.2","SECTION 8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","a4135cb7-751b-441f-b403-b50f42337179","<div></div>","NarrativeContent_86","8.6.3","SECTION 8.6.3"
"Follow-Up of Medical Device Product Complaints","607d2339-cc3f-4c5b-afb3-f3d667af0407","<div></div>","NarrativeContent_87","8.6.4","SECTION 8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","3f0754d6-3fab-48df-8f62-6b28644769d0","<div></div>","NarrativeContent_88","8.6.5","SECTION 8.6.5"
"Pharmacokinetics","5ea12fb4-f80c-4096-95af-543fc4f9bfaa","<div></div>","NarrativeContent_89","8.7","SECTION 8.7"
"Genetics","b398158b-e964-404a-a8b7-c66077015897","<div></div>","NarrativeContent_90","8.8","SECTION 8.8"
"Biomarkers","abb0d107-9946-40e1-9d3a-45ca42a78b77","<div></div>","NarrativeContent_91","8.9","SECTION 8.9"
"Immunogenicity Assessments","70b31b1b-e6c9-41c3-bd35-4ccb5c578035","<div></div>","NarrativeContent_92","8.1","SECTION 8.1"
"Medical Resource Utilisation and Health Economics","955e3c49-a89c-4cdc-b5ad-5aa2a0dd3d92","<div></div>","NarrativeContent_93","8.1.1","SECTION 8.1.1"
"STATISTICAL CONSIDERATIONS","50354cec-0175-41b9-849c-2eb9d1785850","<div></div>","NarrativeContent_94","9","SECTION 9"
"Analysis Sets","3954a432-10e5-41f6-9575-865aefe29eee","<div></div>","NarrativeContent_95","9.1","SECTION 9.1"
"Analyses Supporting Primary Objective(s)","59f45da1-3740-4d0b-bfad-9a5e2c3bd38a","<div></div>","NarrativeContent_96","9.2","SECTION 9.2"
"Statistical Model, Hypothesis, and Method of Analysis","5cdd5ba2-1c4e-48d4-a3db-c6f0df49445b","<div></div>","NarrativeContent_97","9.2.1","SECTION 9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","28f76af9-002b-4591-94be-f67fa56492ea","<div></div>","NarrativeContent_98","9.2.2","SECTION 9.2.2"
"Handling of Missing Data","63c3c9c1-e9ec-46db-8a3e-b73a41f23151","<div></div>","NarrativeContent_99","9.2.3","SECTION 9.2.3"
"Sensitivity Analysis","b5211b5e-c6b6-4a97-a9ab-8548beab1d00","<div></div>","NarrativeContent_100","9.2.4","SECTION 9.2.4"
"Supplementary Analysis","be143d8b-d00a-4d39-98f4-e4b960d25ac3","<div></div>","NarrativeContent_101","9.2.5","SECTION 9.2.5"
"Analysis Supporting Secondary Objective(s)","07a7a081-ab20-4c1e-9be8-7858ae4509c1","<div></div>","NarrativeContent_102","9.3","SECTION 9.3"
"Analysis of Exploratory Objective(s)","b335aee0-d4c8-4a01-9445-1c798214a24b","<div></div>","NarrativeContent_103","9.4","SECTION 9.4"
"Safety Analyses","4dde2789-a039-4968-8ee3-cff5f697cca2","<div></div>","NarrativeContent_104","9.5","SECTION 9.5"
"Other Analyses","7f3da031-bc80-4d76-9b3d-d02ca78f81ca","<div></div>","NarrativeContent_105","9.6","SECTION 9.6"
"Interim Analyses","3f201c5d-beaf-4cec-bef1-74c420732367","<div></div>","NarrativeContent_106","9.7","SECTION 9.7"
"Sample Size Determination","03687a75-1c2b-416f-8dde-7859f82b3585","<div></div>","NarrativeContent_107","9.8","SECTION 9.8"
"Protocol Deviations","c1b9ae1f-0c05-4470-b7c7-a8f19d7e69a8","<div></div>","NarrativeContent_108","9.9","SECTION 9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","387490db-1941-41e9-9d20-6e4b4743d998","<div></div>","NarrativeContent_109","10","SECTION 10"
"Regulatory and Ethical Considerations","619f74ff-6462-47d6-b685-83a87af99c96","<div></div>","NarrativeContent_110","10.1","SECTION 10.1"
"Committees","d294f945-d9af-45b5-9a18-1bcdc57740d8","<div></div>","NarrativeContent_111","10.2","SECTION 10.2"
"Informed Consent Process","4c51817f-95b2-4027-a748-633dec98ce69","<div></div>","NarrativeContent_112","10.3","SECTION 10.3"
"Data Protection","287c8259-bcfd-43a0-bcc4-5dfb7c3e3f4e","<div></div>","NarrativeContent_113","10.4","SECTION 10.4"
"Early Site Closure or Trial Termination","9f74a1ae-ca5c-4ccf-b0be-88241e6f52df","<div></div>","NarrativeContent_114","10.5","SECTION 10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","a64b9304-43a8-46d1-bbf1-f8d747ff4392","<div></div>","NarrativeContent_115","11","SECTION 11"
"Quality Tolerance Limits","d9714570-585a-48e8-9573-cd3389d05523","<div></div>","NarrativeContent_116","11.1","SECTION 11.1"
"Data Quality Assurance","bfbb7685-71ae-43d0-a7ce-dc298f41c49f","<div></div>","NarrativeContent_117","11.2","SECTION 11.2"
"Source Data","a75b600c-4143-43a3-b7cf-1951bc6c3f73","<div></div>","NarrativeContent_118","11.3","SECTION 11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","11834b00-5c31-4ef3-92e8-a633cfeb33d0","<div></div>","NarrativeContent_119","12","SECTION 12"
"Further Details and Clarifications on the AE Definition","1c2debe6-45b8-4669-b42e-37013c4d779d","<div></div>","NarrativeContent_120","12.1","SECTION 12.1"
"Further Details and Clarifications on the SAE Definition","fc6d8ba6-3466-4118-b662-225cba8fbb92","<div></div>","NarrativeContent_121","12.2","SECTION 12.2"
"Severity","0cdf5e58-420e-4b79-aafc-2aee5c41d5b6","<div></div>","NarrativeContent_122","12.3","SECTION 12.3"
"Causality","4111be8c-86a9-4592-aacb-0dc793747fcb","<div></div>","NarrativeContent_123","12.4","SECTION 12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","cbe84b09-0f2e-4c84-a774-aec4cc8a7f86","<div></div>","NarrativeContent_124","13","SECTION 13"
"Contraception and Pregnancy Testing","efc36938-9dc6-4131-8286-e935acdc552e","<div></div>","NarrativeContent_125","13.1","SECTION 13.1"
"Definitions Related to Childbearing Potential","496bd8f5-c97a-4b39-b963-18a4bce44739","<div></div>","NarrativeContent_126","13.1.1","SECTION 13.1.1"
"Contraception","b8492a34-d3d3-4fea-8a77-838e689e7720","<div></div>","NarrativeContent_127","13.1.2","SECTION 13.1.2"
"Pregnancy Testing","50578127-f2fe-4d5e-968d-9b5780fd4140","<div></div>","NarrativeContent_128","13.1.3","SECTION 13.1.3"
"Clinical Laboratory Tests","a85dfc43-c806-481f-9f12-74e4898bb625","<div></div>","NarrativeContent_129","13.2","SECTION 13.2"
"Country/Region-Specific Differences","cc2ef085-7f87-4454-bdb0-bd2ffce8cabc","<div></div>","NarrativeContent_130","13.3","SECTION 13.3"
"Prior Protocol Amendments","37ac1d86-8b9f-4a0f-bf1f-e4c82947c164","<div></div>","NarrativeContent_131","13.4","SECTION 13.4"
"APPENDIX: GLOSSARY OF TERMS","2afe33c8-fb13-4318-91a9-545ba4e94bf4","<div></div>","NarrativeContent_132","14","SECTION 14"
"APPENDIX: REFERENCES","fe6d8644-43c7-48c8-9cb1-097e2cafb23d","<div></div>","NarrativeContent_133","15","SECTION 15"
