"reference","uuid:ID","synonyms","id","name","label"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","a05f9061-9cb0-4f87-abf5-8b5ef16c6e5c","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","Adverse Event","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","fc2d4324-5511-4d99-bcc8-8aa829ff4342","['SYSBP']","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","b66e3695-2bc9-4c6f-a85b-e19b3f4cd2df","['DIABP']","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","7487de4e-302d-487e-826f-034d7da17c3b","['Temperature']","BiomedicalConcept_4","Body Temperature","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","7ca28ecd-7437-4c66-bc97-ec3219c06f11","['Weight']","BiomedicalConcept_5","Body Weight","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","60220523-f251-4faf-94ba-4b29d5cde291","['Height']","BiomedicalConcept_6","Body Height","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","ace5c80f-cead-40d5-9f9d-ca4e2566afc3","['ALT', 'SGPT']","BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","ca27e303-c20d-456b-a8d9-47034d8a72ee","['Albumin']","BiomedicalConcept_8","Albumin Measurement","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","4e819d21-a56f-465a-a7ad-196a81416303","['Alkaline Phosphatase']","BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","3c8c29d7-0d75-4bc8-9e95-23bdb83189a5","['AST', 'SGOT']","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","3a4da441-be12-49e4-a8a0-7d27c1e0243b","['Creatinine']","BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","5e64d049-f2a7-4fb9-9d2b-17c933736214","['Potassium', 'K']","BiomedicalConcept_12","Potassium Measurement","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","f5625cae-0067-42db-ad35-b736bdbc7c88","['Sodium', 'NA']","BiomedicalConcept_13","Sodium Measurement","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","16d21c4e-a6f2-4093-920e-e5a036fb93ae","['SYSBP']","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","961e3336-fb0b-4421-b60d-764f6dd272a3","['DIABP']","BiomedicalConcept_15","Diastolic Blood Pressure","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","fdec4e5c-029d-4162-9e2f-9ff14dba7205","['SYSBP']","BiomedicalConcept_16","Systolic Blood Pressure","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","d1a5cbd3-28f9-4d66-8296-ef46e7ba0859","['DIABP']","BiomedicalConcept_17","Diastolic Blood Pressure","Diastolic Blood Pressure"
