"sectionTitle","sectionNumber","text","uuid:ID","id","name"
"Rationale for Trial Design","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","07f6c334-7882-4785-a594-6ece7ecebfc4","NarrativeContent_15","SECTION 4.2"
"Rationale for Comparator","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","2b814378-08fc-4722-8faf-feccd504ae7e","NarrativeContent_16","SECTION 4.2.1"
"Rationale for Adaptive or Novel Trial Design","4.2.2","<div></div>","120fd76f-b60a-46a2-a3e4-cc4d856c1215","NarrativeContent_17","SECTION 4.2.2"
"Other Trial Design Considerations","4.2.3","<div></div>","0cdfccec-a422-421d-a80f-64f4122ef1ff","NarrativeContent_18","SECTION 4.2.3"
"Access to Trial Intervention After End of Trial","4.3","<div></div>","de223245-94fc-411e-8afe-e38dbe2f26be","NarrativeContent_19","SECTION 4.3"
"Start of Trial and End of Trial","4.4","<div></div>","b0f7a27d-093b-474d-8d7b-59bef06836e6","NarrativeContent_20","SECTION 4.4"
"TRIAL POPULATION","5","<div></div>","24acb868-b80a-4a43-ae26-edd33a0274cf","NarrativeContent_21","SECTION 5"
"Selection of Trial Population","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5af6e74c-11c7-4567-b047-411786e5a774","NarrativeContent_22","SECTION 5.1"
"Rationale for Trial Population","5.2","<div></div>","81b2ebe2-d151-4a86-b52f-084479a68660","NarrativeContent_23","SECTION 5.2"
"Inclusion Criteria","5.3","<div><usdm:section name=""M11-inclusion""></div>","533352eb-61ec-40d6-8edb-954a64015a42","NarrativeContent_24","SECTION 5.3"
"Exclusion Criteria","5.4","<div><usdm:section name=""M11-exclusion""></div>","15290ec6-2ab7-4907-b714-8b869a22a50d","NarrativeContent_25","SECTION 5.4"
"Lifestyle Considerations","5.5","<div></div>","78e4611a-b00e-42df-9cc7-8dc5e097a56c","NarrativeContent_26","SECTION 5.5"
"Meals and Dietary Restrictions","5.5.1","<div></div>","0fe3d978-6b40-43e7-ab4e-9258f286f478","NarrativeContent_27","SECTION 5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","<div><p>Not applicable</p></div>","f930786c-38e1-40ea-9deb-a72702ee9556","NarrativeContent_28","SECTION 5.5.2"
"Physical Activity","5.5.3","<div></div>","764bc03c-d872-411e-9d2a-34bd7e37bab3","NarrativeContent_29","SECTION 5.5.3"
"Other Activity","5.5.4","<div></div>","87973fca-1a95-40c7-8a43-54f211b9ae06","NarrativeContent_30","SECTION 5.5.4"
"Screen Failures","5.6","<div></div>","fbe581db-d2cc-4370-9731-d778002f013a","NarrativeContent_31","SECTION 5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","<div></div>","ed3e89a1-a99c-4558-8ad0-aca520e4f5e3","NarrativeContent_32","SECTION 6"
"Description of Trial Intervention","6.1","<div></div>","b7029561-af80-433a-8549-6c8ec5c3c0d9","NarrativeContent_33","SECTION 6.1"
"Rationale for Trial Intervention","6.2","<div></div>","d67e6952-af10-44f9-b3fa-1a5a1d410e8c","NarrativeContent_34","SECTION 6.2"
"Dosing and Administration","6.3","<div></div>","08705026-e462-43f3-9cc6-cecf7d4a0f18","NarrativeContent_35","SECTION 6.3"
"Trial Intervention Dose Modification","6.3.1","<div></div>","79c2f464-88b5-46a1-b2c7-e37c72d185e4","NarrativeContent_36","SECTION 6.3.1"
"Treatment of Overdose","6.4","<div></div>","d158c146-7a8a-4721-92d3-c0c3cb364d94","NarrativeContent_37","SECTION 6.4"
"Preparation, Handling, Storage and Accountability","6.5","<div></div>","37997600-ed32-4b6b-8822-e36ea75b994c","NarrativeContent_38","SECTION 6.5"
"Preparation of Trial Intervention","6.5.1","<div></div>","ec660ac6-8a4b-400c-86b4-feaf8f110073","NarrativeContent_39","SECTION 6.5.1"
"Handling and Storage of Trial Intervention","6.5.2","<div></div>","7475bc78-17d3-4463-a5fc-d5f34d0a034e","NarrativeContent_40","SECTION 6.5.2"
"Accountability of Trial Intervention","6.5.3","<div></div>","2beba335-3299-415d-8244-e5d6b757ec15","NarrativeContent_41","SECTION 6.5.3"
"Participant Assignment, Randomisation and Blinding","6.6","<div></div>","272fe44c-01cb-4938-a367-ca01947e892d","NarrativeContent_42","SECTION 6.6"
"Participant Assignment","6.6.1","<div></div>","4397a648-a934-4d8e-935e-8dec3e410349","NarrativeContent_43","SECTION 6.6.1"
"Randomisation","6.6.2","<div></div>","be1a94db-471a-44e5-acaf-2a3b2ba316e6","NarrativeContent_44","SECTION 6.6.2"
"Blinding and Unblinding","6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","d1552189-5895-4a31-a87c-c7da7fc0da6d","NarrativeContent_45","SECTION 6.6.3"
"Trial Intervention Compliance","6.7","<div></div>","b4e35e9b-d4b3-4021-968c-ad923b6bfb5b","NarrativeContent_46","SECTION 6.7"
"Concomitant Therapy","6.8","<div></div>","45f2168e-6344-4ccb-8f8d-6aa55f6f9c79","NarrativeContent_47","SECTION 6.8"
"Prohibited Concomitant Therapy","6.8.1","<div></div>","8b2a259b-a735-43a2-919d-6f94fad78d8f","NarrativeContent_48","SECTION 6.8.1"
"Permitted Concomitant Therapy","6.8.2","<div></div>","48c632d8-8a3a-4fef-a696-7c874d29c3c8","NarrativeContent_49","SECTION 6.8.2"
"Rescue Therapy","6.8.3","<div></div>","ec8ba7ba-f96a-4228-8890-d28c8ca16cee","NarrativeContent_50","SECTION 6.8.3"
"Other Therapy","6.8.4","<div></div>","dfaef7d6-c4db-4301-95ad-7bd869403fc0","NarrativeContent_51","SECTION 6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","<div></div>","c0c044fb-b0af-4f81-bb0e-6f85a09a8fb1","NarrativeContent_52","SECTION 7"
"Discontinuation of Trial Intervention","7.1","<div></div>","2de312ee-37d8-4254-a035-ae0b8ce17e5c","NarrativeContent_53","SECTION 7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","<div></div>","15c4e416-ef71-4943-a1d4-617a52c5eeba","NarrativeContent_54","SECTION 7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","<div></div>","3e028bff-497e-4212-ae69-d2f5d895baf5","NarrativeContent_55","SECTION 7.1.2"
"Rechallenge","7.1.3","<div></div>","af151313-a1ba-45f0-a6e3-86e461c28b3c","NarrativeContent_56","SECTION 7.1.3"
"Participant Withdrawal from the Trial","7.2","<div></div>","73e3cb60-e38e-4de2-add9-cd0ba2cf450a","NarrativeContent_57","SECTION 7.2"
"Lost to Follow-Up","7.3","<div></div>","ce2d6b65-da97-4995-9222-c4b7522b45cc","NarrativeContent_58","SECTION 7.3"
"Trial Stopping Rules","7.4","<div></div>","7be499a2-f51d-48e1-801d-ffb04110f512","NarrativeContent_59","SECTION 7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","8","<div></div>","68427215-ba29-4beb-b998-18ffea06a1d8","NarrativeContent_60","SECTION 8"
"Screening/Baseline Assessments and Procedures","8.1","<div></div>","44b6e5a9-eaf6-43b1-82f3-72798844965e","NarrativeContent_61","SECTION 8.1"
"Efficacy Assessments and Procedures","8.2","<div></div>","6bfd9c54-17f0-4272-90de-73529b6ed602","NarrativeContent_62","SECTION 8.2"
"Safety Assessments and Procedures","8.3","<div></div>","863c0c01-c4ab-4767-9d0b-6e0e2b0a0c3f","NarrativeContent_63","SECTION 8.3"
"Physical Examination","8.3.1","<div></div>","6b743194-6889-4456-8b0c-54c8f03999e5","NarrativeContent_64","SECTION 8.3.1"
"Vital Signs","8.3.2","<div></div>","aed85d14-c81c-4d92-8886-d89be592dba5","NarrativeContent_65","SECTION 8.3.2"
"Electrocardiograms","8.3.3","<div></div>","50397350-df68-46a0-be55-5972d450066a","NarrativeContent_66","SECTION 8.3.3"
"Clinical Laboratory Assessments","8.3.4","<div></div>","865309e4-b0d1-4374-b3c2-e09e892b583a","NarrativeContent_67","SECTION 8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","<div></div>","69343cc4-67df-450b-bf9a-542eb2444ac1","NarrativeContent_68","SECTION 8.3.5"
"Adverse Events and Serious Adverse Events","8.4","<div></div>","3d815bf8-3c88-4715-932b-7f0838d168b0","NarrativeContent_69","SECTION 8.4"
"Definitions of AE and SAE","8.4.1","<div></div>","7944b80a-ba29-45d1-93fb-058c0351c207","NarrativeContent_70","SECTION 8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","8.4.2","<div></div>","e9f58aae-9f46-4007-a399-4ed5bdb29f2b","NarrativeContent_71","SECTION 8.4.2"
"Identifying AEs and SAEs","8.4.3","<div></div>","7f06f579-066b-492a-be84-3922799f2ad6","NarrativeContent_72","SECTION 8.4.3"
"Recording of AEs and SAEs","8.4.4","<div></div>","a5c7b8bc-66f5-4898-9e83-2dc277ca4e5f","NarrativeContent_73","SECTION 8.4.4"
"Follow-up of AEs and SAEs","8.4.5","<div></div>","7013d780-0052-432f-8201-ecc5c106a113","NarrativeContent_74","SECTION 8.4.5"
"Reporting of SAEs","8.4.6","<div></div>","3d83b349-33c0-47b3-a299-c19f4509cb05","NarrativeContent_75","SECTION 8.4.6"
"Regulatory Reporting Requirements for SAEs","8.4.7","<div></div>","8822011e-ffbe-44cb-8252-4754a79dce0b","NarrativeContent_76","SECTION 8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","8.4.8","<div></div>","99057169-5735-4a80-b123-83be3a1852a5","NarrativeContent_77","SECTION 8.4.8"
"Adverse Events of Special Interest","8.4.9","<div></div>","7175cb23-f15a-4e79-bd44-cffd00bda96e","NarrativeContent_78","SECTION 8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","<div></div>","1afa5ea2-7539-44e0-89eb-e37f1a9ade58","NarrativeContent_79","SECTION 8.4.10"
"Pregnancy and Postpartum Information","8.5","<div></div>","1676b4ee-8534-498c-99fc-a1581cb4397e","NarrativeContent_80","SECTION 8.5"
"Participants Who Become Pregnant During the Trial","8.5.1","<div></div>","2696305d-8407-45d9-8d53-8ffd23284d6a","NarrativeContent_81","SECTION 8.5.1"
"Participants Whose Partners Become Pregnant","8.5.2","<div></div>","b17855cf-1988-45a7-a9b1-8cd21bd72d32","NarrativeContent_82","SECTION 8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","8.6","<div></div>","d1983d4c-6712-4518-a140-66ac0dc3f842","NarrativeContent_83","SECTION 8.6"
"Definition of Medical Device Product Complaints","8.6.1","<div></div>","5330b047-8487-4b07-a99c-1001c9713370","NarrativeContent_84","SECTION 8.6.1"
"Recording of Medical Device Product Complaints","8.6.2","<div></div>","a6faef99-16c7-4071-b08b-d5126315a307","NarrativeContent_85","SECTION 8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","<div></div>","552dfe85-ae0e-44a1-b3f9-adba85bdd25e","NarrativeContent_86","SECTION 8.6.3"
"Follow-Up of Medical Device Product Complaints","8.6.4","<div></div>","0de2223d-7c73-4eab-b068-4514bbcc51a7","NarrativeContent_87","SECTION 8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","<div></div>","61c713d3-c58a-4960-a18f-294420d7c4e2","NarrativeContent_88","SECTION 8.6.5"
"Pharmacokinetics","8.7","<div></div>","b7a98948-624f-4db4-ad98-df1aacbeb3d1","NarrativeContent_89","SECTION 8.7"
"Genetics","8.8","<div></div>","10c076a4-8391-4b6d-9bda-4469cf066882","NarrativeContent_90","SECTION 8.8"
"Biomarkers","8.9","<div></div>","b042597a-8807-44be-ab77-5de34d7a6aa6","NarrativeContent_91","SECTION 8.9"
"Immunogenicity Assessments","8.1","<div></div>","474e387a-07cc-4af0-b226-7400ec68e479","NarrativeContent_92","SECTION 8.1"
"Medical Resource Utilisation and Health Economics","8.1.1","<div></div>","21b4a3f5-8964-4a3b-83d0-b528fe288207","NarrativeContent_93","SECTION 8.1.1"
"STATISTICAL CONSIDERATIONS","9","<div></div>","1f4da270-a36e-4e87-8705-6968fd5a4b21","NarrativeContent_94","SECTION 9"
"Analysis Sets","9.1","<div></div>","eec4fac4-0b72-4444-b0e6-c319d1219804","NarrativeContent_95","SECTION 9.1"
"Analyses Supporting Primary Objective(s)","9.2","<div></div>","312e3db9-a52e-46b1-9557-cfaef0398444","NarrativeContent_96","SECTION 9.2"
"Statistical Model, Hypothesis, and Method of Analysis","9.2.1","<div></div>","b8852e38-8c78-4590-9b76-9aedd6e2c0c8","NarrativeContent_97","SECTION 9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","<div></div>","0b5ee1b4-78c6-4cef-852d-339d380b5938","NarrativeContent_98","SECTION 9.2.2"
"Handling of Missing Data","9.2.3","<div></div>","1007fcd4-811f-436a-9c80-dd4d8513e166","NarrativeContent_99","SECTION 9.2.3"
"Sensitivity Analysis","9.2.4","<div></div>","0d9aa8ad-e148-4b77-9971-f9a4e0cb1e44","NarrativeContent_100","SECTION 9.2.4"
"Supplementary Analysis","9.2.5","<div></div>","5d4dae18-be40-4f8a-a7e6-6fe2f6bb8221","NarrativeContent_101","SECTION 9.2.5"
"Analysis Supporting Secondary Objective(s)","9.3","<div></div>","5a3fda44-3f55-4975-a060-498d118d470f","NarrativeContent_102","SECTION 9.3"
"Analysis of Exploratory Objective(s)","9.4","<div></div>","bffd6182-d6c0-46dc-a4d3-8fe44e28ff23","NarrativeContent_103","SECTION 9.4"
"Safety Analyses","9.5","<div></div>","76d887fc-051a-45bd-b249-9dfcaea47734","NarrativeContent_104","SECTION 9.5"
"Other Analyses","9.6","<div></div>","30ecd896-1dce-40c8-bdda-a81ceb727293","NarrativeContent_105","SECTION 9.6"
"Interim Analyses","9.7","<div></div>","5e32b53f-7abf-4cf5-9f9b-aa8fbd85203b","NarrativeContent_106","SECTION 9.7"
"Sample Size Determination","9.8","<div></div>","758da096-afd9-4d3a-9e32-5455ee33cee6","NarrativeContent_107","SECTION 9.8"
"Protocol Deviations","9.9","<div></div>","c4fcddbc-2f2a-49ee-b28d-ac3588d15852","NarrativeContent_108","SECTION 9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","<div></div>","39f3bef6-5329-428a-b1ce-d78d3a4a264a","NarrativeContent_109","SECTION 10"
"Regulatory and Ethical Considerations","10.1","<div></div>","b396e015-90a0-4b77-9eeb-465f781d2bb3","NarrativeContent_110","SECTION 10.1"
"Committees","10.2","<div></div>","c2a4b5d5-fdf0-4b7c-be6c-8df1d2392e4f","NarrativeContent_111","SECTION 10.2"
"Informed Consent Process","10.3","<div></div>","125ec7bd-91ca-4788-bafa-34cc07fe50f6","NarrativeContent_112","SECTION 10.3"
"Data Protection","10.4","<div></div>","7babf04a-1846-42b0-a54f-52d1f16b6835","NarrativeContent_113","SECTION 10.4"
"Early Site Closure or Trial Termination","10.5","<div></div>","ae2895c0-2a2a-424d-90c7-0b2cd6353957","NarrativeContent_114","SECTION 10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","<div></div>","c4353094-6adb-42d5-8261-18ac348479fc","NarrativeContent_115","SECTION 11"
"Quality Tolerance Limits","11.1","<div></div>","0d3a68a7-ac03-4a21-bedc-de621a240aad","NarrativeContent_116","SECTION 11.1"
"Data Quality Assurance","11.2","<div></div>","639de2f1-82b9-4588-a36c-5cb9a2996cd9","NarrativeContent_117","SECTION 11.2"
"Source Data","11.3","<div></div>","fe3c95d8-a962-4e36-bd86-0084c05d7c7c","NarrativeContent_118","SECTION 11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","<div></div>","c57ecc6f-ef2f-408c-a3c2-5e44c0e6896f","NarrativeContent_119","SECTION 12"
"Further Details and Clarifications on the AE Definition","12.1","<div></div>","d36f8083-4056-40c0-958c-c86fdeeceb78","NarrativeContent_120","SECTION 12.1"
"Further Details and Clarifications on the SAE Definition","12.2","<div></div>","3cf95a1c-94a8-4308-817e-18ac20464dd5","NarrativeContent_121","SECTION 12.2"
"Severity","12.3","<div></div>","aa2aef05-c0e6-46b3-8e34-a51fdf4fff80","NarrativeContent_122","SECTION 12.3"
"Causality","12.4","<div></div>","3b8e4b86-c963-4ca5-b08c-0e5f0c19cbbe","NarrativeContent_123","SECTION 12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","<div></div>","899e0b94-29ea-4554-93ba-b2b77d2c5792","NarrativeContent_124","SECTION 13"
"Contraception and Pregnancy Testing","13.1","<div></div>","2ae8ebd4-c6e9-46d1-9ca5-4164427e93e5","NarrativeContent_125","SECTION 13.1"
"Definitions Related to Childbearing Potential","13.1.1","<div></div>","35c5dcb8-2209-4ee9-a525-311a7cbeafa0","NarrativeContent_126","SECTION 13.1.1"
"Contraception","13.1.2","<div></div>","9a090d45-e9ef-4f96-9209-ac2055008763","NarrativeContent_127","SECTION 13.1.2"
"Pregnancy Testing","13.1.3","<div></div>","189ee9f0-92f0-426b-ab60-917e240a8674","NarrativeContent_128","SECTION 13.1.3"
"Clinical Laboratory Tests","13.2","<div></div>","2dc40d0a-1dc2-4271-a5d4-327fb34ebc9e","NarrativeContent_129","SECTION 13.2"
"Country/Region-Specific Differences","13.3","<div></div>","19fb10c4-00cd-4cec-95e8-2f2457d48647","NarrativeContent_130","SECTION 13.3"
"Prior Protocol Amendments","13.4","<div></div>","ee975dd8-d037-474f-9c85-bc94535c4f90","NarrativeContent_131","SECTION 13.4"
"APPENDIX: GLOSSARY OF TERMS","14","<div></div>","b2002f8b-7586-4197-8f9a-066aeaf56dc2","NarrativeContent_132","SECTION 14"
"APPENDIX: REFERENCES","15","<div></div>","2462fd64-397c-4a1e-bf94-d5fdb05a3501","NarrativeContent_133","SECTION 15"
