"bcPropertyDatatype","uuid:ID","id","bcPropertyEnabled","name","label","bcPropertyResponseCodes","bcPropertyRequired"
"boolean","3b72f183-81d8-49a7-b74f-bab5332b62e4","BiomedicalConceptProperty_106","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","c7e9dd82-da1f-4933-be40-1a9409a56358","BiomedicalConceptProperty_107","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","a696bd88-4bd6-41a2-b5f1-c01523420557","BiomedicalConceptProperty_108","True","Biospecimen Type","Biospecimen Type","[]","True"
"string","a005845c-1e4b-41ed-932a-d3dc2927962c","BiomedicalConceptProperty_109","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","d5a52a0c-8c78-4b9b-98dc-80926ecbe8df","BiomedicalConceptProperty_110","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","cb558c27-92c2-47b2-80ea-0ebd5109226f","BiomedicalConceptProperty_111","True","Unit of Concentration","Unit of Concentration","[]","True"
"string","787d9b31-1bc4-4b45-a4f4-c96d72c728dd","BiomedicalConceptProperty_112","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","c71a68cc-66ca-4deb-a98f-2574ea251405","BiomedicalConceptProperty_113","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","b81f095f-a398-4952-86f4-dda6144befa1","BiomedicalConceptProperty_114","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","46119a61-847c-45b7-9efc-592f6c244d6a","BiomedicalConceptProperty_115","True","Molarity Unit","Molarity Unit","[]","True"
"string","7412c773-b2a8-42d8-973c-ec11ffd17ece","BiomedicalConceptProperty_116","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","4ee6547a-3263-4ce2-9bd0-04f58c0884db","BiomedicalConceptProperty_117","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","e48564bc-d1a6-4679-9b6e-68b423374a46","BiomedicalConceptProperty_118","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","ca966704-0fd4-4114-96f6-52908f02ccca","BiomedicalConceptProperty_119","True","Molarity Unit","Molarity Unit","[]","True"
"string","10cd6f87-07ae-4988-8feb-84073e2d56c1","BiomedicalConceptProperty_120","True","Biospecimen Type","Biospecimen Type","[]","True"
"string","a20037c0-a8f5-4302-98b2-4024842e802d","BiomedicalConceptProperty_1","True","Adverse Event Verbatim Description","Adverse Event Verbatim Description","[]","True"
"string","bb4c223b-4ffc-44bf-b7e0-08651c59e8d8","BiomedicalConceptProperty_2","True","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","[]","True"
"string","c1a41d69-b142-4f4c-a959-3f35ac1405d2","BiomedicalConceptProperty_3","True","Adverse Event Category","Adverse Event Category","[]","True"
"string","41127071-20cd-4fb5-9678-b0d9076fedd1","BiomedicalConceptProperty_4","True","Adverse Event Subcategory","Adverse Event Subcategory","[]","True"
"boolean","2fecf810-e027-468d-9f8a-a9e47161872a","BiomedicalConceptProperty_5","True","Adverse Event Pre-specified","Adverse Event Pre-specified","[]","True"
"string","6fa4506c-77ea-4e9d-9f05-d450004535db","BiomedicalConceptProperty_6","True","Severity of Adverse Event","Severity of Adverse Event","[]","True"
"string","7e6812e5-fa9f-4c9b-b817-79663c92c54c","BiomedicalConceptProperty_7","True","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","[]","True"
"boolean","d64af48c-4bea-41f9-912c-b9b9f0593d65","BiomedicalConceptProperty_8","True","Seriousness of Adverse Event","Seriousness of Adverse Event","[]","True"
"string","76bf2987-be62-4430-9afb-dff152cf34d4","BiomedicalConceptProperty_9","True","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","","True"
"string","3f4233eb-36d5-4057-bc43-63e3e44831a0","BiomedicalConceptProperty_10","True","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","[]","True"
"string","6d322bb3-bf34-4245-a581-72ed941ad8a6","BiomedicalConceptProperty_11","True","Adverse Event Pattern","Adverse Event Pattern","[]","True"
"string","fb0b20c7-3395-4c9c-a410-dba4595da5fb","BiomedicalConceptProperty_12","True","Adverse Event Outcome","Adverse Event Outcome","","True"
"datetime","7fa39d35-01e9-4e95-9aa1-48720d223337","BiomedicalConceptProperty_13","True","Adverse Event Start Date Time","Adverse Event Start Date Time","[]","True"
"datetime","e91b5900-b313-454a-a8f2-efbabf9abcd7","BiomedicalConceptProperty_14","True","Adverse Event End Date Time","Adverse Event End Date Time","[]","True"
"decimal","0170f211-6ba9-45ad-8ac7-f44ffb7f87e5","BiomedicalConceptProperty_15","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","642b669e-bfdf-44cc-a5f5-8e581337a0f4","BiomedicalConceptProperty_16","True","Unit of Pressure","Unit of Pressure","","True"
"string","b56b09b8-233c-4751-8b80-886846a88625","BiomedicalConceptProperty_17","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","4735dad4-b250-4940-92a4-0265a72d82b8","BiomedicalConceptProperty_18","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","2673c7b3-7bb9-4542-a7fc-282ccc204687","BiomedicalConceptProperty_19","True","Test Method","Test Method","[]","True"
"string","c618300b-41f4-4bda-8cd8-0970e64981cc","BiomedicalConceptProperty_20","True","Vital Signs Position","Vital Signs Position","[]","True"
"decimal","c62808a5-7129-4255-af52-3174a8fe5378","BiomedicalConceptProperty_21","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","d20952c0-cd47-4b82-b69b-bf71bda13d0a","BiomedicalConceptProperty_22","True","Unit of Pressure","Unit of Pressure","","True"
"string","f9dd4858-dccd-440a-ba7b-9788be64e650","BiomedicalConceptProperty_23","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","06a5ac67-40ea-4057-b04b-be93e02457f8","BiomedicalConceptProperty_24","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","5578fa4c-053f-4dfa-badc-9bb05dfc6309","BiomedicalConceptProperty_25","True","Test Method","Test Method","[]","True"
"string","36d96f7f-35ea-4dab-963c-a6cdf09978d3","BiomedicalConceptProperty_26","True","Vital Signs Position","Vital Signs Position","[]","True"
"decimal","64682da8-9b2a-44d5-96f0-e9d839876a8c","BiomedicalConceptProperty_27","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","34ffd15d-f288-40de-b1ac-c1f9731f6b58","BiomedicalConceptProperty_28","True","Unit of Temperature","Unit of Temperature","","True"
"string","4a4e40c2-aab9-43e2-ae58-f5741b464460","BiomedicalConceptProperty_29","True","Vital Signs Location","Vital Signs Location","[]","True"
"decimal","1d92b265-3bfd-4995-a766-30ede49d6c92","BiomedicalConceptProperty_30","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","37e7eee9-5f0f-49bf-b574-1f2abafe8112","BiomedicalConceptProperty_31","True","Unit of Weight","Unit of Weight","","True"
"decimal","7b73e104-b7c1-4c6b-ba56-8c27d98738c2","BiomedicalConceptProperty_32","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","1b04390d-9127-41a4-8db0-53f715d7a8c4","BiomedicalConceptProperty_33","True","Unit of Height","Unit of Height","","True"
"decimal","d31c4203-427c-4844-a824-7c2970cbdbe0","BiomedicalConceptProperty_34","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","1cb1354d-1982-4d6d-9181-abd872edeeb9","BiomedicalConceptProperty_35","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","e84c26a4-56a1-42f9-bfc3-1d4ee425959e","BiomedicalConceptProperty_36","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","1d09a0d0-8bef-44e3-9b26-bf42b6bca882","BiomedicalConceptProperty_37","True","Biospecimen Type","Biospecimen Type","[]","True"
"string","a230fe50-b6c9-4426-802f-37ae1bb40a94","BiomedicalConceptProperty_38","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","58ab9a47-e5f6-483c-9fa1-389c5c5d9840","BiomedicalConceptProperty_39","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","d77d43f2-45a5-4b5e-880b-022d52552a21","BiomedicalConceptProperty_40","True","Unit of Concentration","Unit of Concentration","[]","True"
"string","8fc8ba90-2b45-4d5b-9395-8dc4a3da5389","BiomedicalConceptProperty_41","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","d709b109-fb17-4d0d-af89-c1b53b3c8d9f","BiomedicalConceptProperty_42","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","91cf3b22-086b-48ce-81a2-bf90998c6c08","BiomedicalConceptProperty_43","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","04286418-5b42-4ac7-b6af-bdc840d1759c","BiomedicalConceptProperty_44","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","c0d4fb47-b629-4224-9421-f7f41bf38593","BiomedicalConceptProperty_45","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","54a3b89d-0bb8-41ab-87f1-281af7fb3c2d","BiomedicalConceptProperty_46","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","89934eff-3844-4036-af2b-7bc083250c9a","BiomedicalConceptProperty_47","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","15cdc209-4ca5-4d75-9d57-74637a1b88a2","BiomedicalConceptProperty_48","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","1ce54c11-d97c-41b6-91be-0480b1abb93d","BiomedicalConceptProperty_49","True","Biospecimen Type","Biospecimen Type","[]","True"
"string","5029fb17-5193-462c-b186-abbcaa1d5708","BiomedicalConceptProperty_50","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","0549f23d-9b9a-4497-8e7a-da6c70a42392","BiomedicalConceptProperty_51","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","7063e018-f63a-4898-a27e-6ae18f014ab2","BiomedicalConceptProperty_52","True","Unit of Concentration","Unit of Concentration","[]","True"
"string","4dda696d-a5d8-445a-b733-71fd18afa2eb","BiomedicalConceptProperty_53","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","f23b2967-4d27-4f6e-8b94-1c2f5ecb50e1","BiomedicalConceptProperty_54","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","e8b10686-f5d1-4ea3-b803-77f9c4821f1d","BiomedicalConceptProperty_55","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","718f65cf-d9a2-45b1-9641-bf15c1a57ddf","BiomedicalConceptProperty_56","True","Molarity Unit","Molarity Unit","[]","True"
"string","aad47cfb-a753-4279-bd0f-91be7ecdbcd1","BiomedicalConceptProperty_57","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","507dc4a3-8720-4fb8-b949-095db6993899","BiomedicalConceptProperty_58","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","4fe4a420-206a-4269-b309-0df40ba0e0b2","BiomedicalConceptProperty_59","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","9eb17391-653c-4213-ac2c-315cf83dc5e1","BiomedicalConceptProperty_60","True","Molarity Unit","Molarity Unit","[]","True"
"string","4dfd3223-d53b-482d-83f5-91d2136c9a73","BiomedicalConceptProperty_61","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","6323595d-2de4-41fa-9cdb-3ca05c77944f","BiomedicalConceptProperty_62","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","eb76fa6d-db2a-4b21-9857-4f4fb84b9e02","BiomedicalConceptProperty_63","True","Unit of Pressure","Unit of Pressure","","True"
"string","13263435-225b-4e8e-a8ce-c676609cb802","BiomedicalConceptProperty_64","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","160deae9-eaab-453c-ad8e-ef80dea021df","BiomedicalConceptProperty_65","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","06aabf88-f8ae-4a08-be5a-2787bd106cea","BiomedicalConceptProperty_66","True","Test Method","Test Method","[]","True"
"string","e2ccca7e-5162-4be1-a066-0925066a8060","BiomedicalConceptProperty_67","True","Vital Signs Position","Vital Signs Position","[]","True"
"decimal","4d762c50-54f9-41df-9745-433f6fd31b35","BiomedicalConceptProperty_68","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","62efe78b-74dd-47ab-ba56-0bc2788ec9e3","BiomedicalConceptProperty_69","True","Unit of Pressure","Unit of Pressure","","True"
"string","ce0f0b78-ed1a-41a3-80d2-84b36670b152","BiomedicalConceptProperty_70","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","c75cf9d1-474f-4bd3-9061-03094b7f14c2","BiomedicalConceptProperty_71","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","42c12836-9920-4e5a-b79d-94a4f5355ee7","BiomedicalConceptProperty_72","True","Test Method","Test Method","[]","True"
"string","e4b7f89c-836b-4ed3-8b84-573e7d883a20","BiomedicalConceptProperty_73","True","Vital Signs Position","Vital Signs Position","[]","True"
"decimal","e4641d18-43a1-440e-b1b5-b1b3d733c423","BiomedicalConceptProperty_74","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","349e99d8-464c-47dc-9589-962ced91698d","BiomedicalConceptProperty_75","True","Unit of Pressure","Unit of Pressure","","True"
"string","7428c1d0-56ea-466b-a657-1b1749ff95e0","BiomedicalConceptProperty_76","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","002090af-3da9-4b8f-a074-97b5ee2077f0","BiomedicalConceptProperty_77","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","cdb71a5e-52a6-43df-bbbd-c84f1c1218e0","BiomedicalConceptProperty_78","True","Test Method","Test Method","[]","True"
"string","b1404157-4396-4cbb-a7e9-03ade4bdee8a","BiomedicalConceptProperty_79","True","Vital Signs Position","Vital Signs Position","[]","True"
"decimal","c285dd54-08ba-42b6-a2b4-b7ecfb72731e","BiomedicalConceptProperty_80","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","b16994c5-6f4e-4c51-b42c-aa203c358f6a","BiomedicalConceptProperty_81","True","Unit of Pressure","Unit of Pressure","","True"
"string","f0caf33d-a9a8-403b-a830-85b78bc2a0d6","BiomedicalConceptProperty_82","True","Vital Signs Location","Vital Signs Location","[]","True"
"string","7e16285d-e2c6-468a-a149-4e931a633514","BiomedicalConceptProperty_83","True","Vital Signs Laterality","Vital Signs Laterality","[]","True"
"string","9d28a001-0f2b-4f34-8895-b6f95bf41d1f","BiomedicalConceptProperty_84","True","Test Method","Test Method","[]","True"
"string","24e62dec-b3ff-497d-a75a-2ebcf681ce0c","BiomedicalConceptProperty_85","True","Vital Signs Position","Vital Signs Position","[]","True"
