"code","uuid:ID","codeSystem","codeSystemVersion","decode","id","instanceType"
"C171537","0bbcfe50-f0fe-4ec7-b2ba-104377a77f11","http://www.cdisc.org","2023-09-29","Telephone Call","Code_112","Code"
"C25716","8d956d86-bc55-4e2e-9618-a337051efe0f","http://www.cdisc.org","2023-09-29","Visit","Code_113","Code"
"C51282","437fdbbd-8ea0-46c7-b07a-2c841259535d","http://www.cdisc.org","2023-09-29","Clinic","Code_114","Code"
"C175574","f6694709-712b-43be-8ecd-a96f571020fa","http://www.cdisc.org","2023-09-29","In Person","Code_115","Code"
"C171537","331f1ad3-d443-4bcb-abad-eac52069c4e0","http://www.cdisc.org","2023-09-29","Telephone Call","Code_116","Code"
"C25716","eac9bdc5-76a6-4388-9bae-3b2f6b2ee5c5","http://www.cdisc.org","2023-09-29","Visit","Code_117","Code"
"C51282","2b45a9e3-fb54-40b7-a04a-b27f86c5c00a","http://www.cdisc.org","2023-09-29","Clinic","Code_118","Code"
"C175574","ea5a97d3-636b-4818-8537-96703f69e36d","http://www.cdisc.org","2023-09-29","In Person","Code_119","Code"
"C25716","4092fb47-bc36-448d-93c9-1e68d8951153","http://www.cdisc.org","2023-09-29","Visit","Code_120","Code"
"C51282","c75a87f2-b745-4a16-945f-118a1a6e93cf","http://www.cdisc.org","2023-09-29","Clinic","Code_121","Code"
"C175574","9c199bf6-ba5d-4ae4-9a70-f63f7d830d30","http://www.cdisc.org","2023-09-29","In Person","Code_122","Code"
"383371000119108","b4315afb-e27d-4827-b914-c78b1f33c08b","SNOMED","January 31, 2018","CT of head without contrast","Code_80","Code"
"123","399bcfa9-cd95-4d22-bff7-ab45d8bb5c27","SPONSOR","12","Subject Supine","Code_81","Code"
"124","01564651-b055-45c0-81fd-0541d6e7ca70","SPONSOR","12","Subject Standing","Code_82","Code"
"C20197","f390bd86-5c0a-4d6e-b028-25d8ffa287b3","http://www.cdisc.org","2023-09-29","Male","Code_269","Code"
"C16576","43ca16ee-bb7c-45d0-bd13-ba6ffaf57003","http://www.cdisc.org","2023-09-29","Female","Code_270","Code"
"C28421","d813890b-e7e9-4823-a2f0-ca3191660c51","NCI Thesaurus","","Sex","Code_271","Code"
"C28421","b62f9bbb-5a90-442e-a8c4-e03d63e4b96f","NCI Thesaurus","","Sex","Code_268","Code"
"C17049","fc8a6eac-4c27-47fd-84b1-bf265fb4a957","NCI Thesaurus","","Race","Code_273","Code"
"C17049","34a01dd2-f055-4938-bc9c-811061da37da","NCI Thesaurus","","Race","Code_272","Code"
"C77140","5b7a8c65-b82c-49f4-bf35-2f0bfdc78683","NCI Thesaurus","","Clinical Test Result","Code_275","Code"
"C42537","376ef96f-65de-425e-840f-a42fff550e81","http://www.cdisc.org","2023-09-29","Kelvin","Code_276","Code"
"C44276","ca3175be-e85a-40a7-94f5-7fc35a932565","NCI Thesaurus","","Unit of Temperature","Code_277","Code"
"C13717","de08628b-342d-44ab-aa2b-d92955a001d5","NCI Thesaurus","","Anatomic Site","Code_278","Code"
"C174446","5fe15ceb-c0aa-461a-8f75-1f0f23ab64ad","NCI Thesaurus","","Body Temperature","Code_274","Code"
"C77140","fb296251-33f0-46e1-83b0-07309482cb6e","NCI Thesaurus","","Clinical Test Result","Code_280","Code"
"C28252","be18a4ce-ce96-44e8-bfbb-fde3b2603f91","http://www.cdisc.org","2023-09-29","Kilogram","Code_281","Code"
"C48155","bbcad650-e7c7-4af5-bdfd-9e9ad32e7681","http://www.cdisc.org","2023-09-29","Gram","Code_282","Code"
"C48531","23c4eca1-110b-479b-8b42-374cf6decf50","http://www.cdisc.org","2023-09-29","Pound","Code_283","Code"
"C48208","5d5527e6-f6f6-4b25-a8b7-b07b09b92122","NCI Thesaurus","","Unit of Weight","Code_284","Code"
"C81328","502da58f-aac8-4f11-998a-0471e83e0d93","NCI Thesaurus","","Body Weight","Code_279","Code"
"C77140","87a71981-ee54-420a-bd83-5c5a2301153a","NCI Thesaurus","","Clinical Test Result","Code_286","Code"
"C49668","9145c7e8-b23b-496f-8b90-59116423c6b0","http://www.cdisc.org","2023-09-29","Centimeter","Code_287","Code"
"C48500","7c1348db-ba43-44c0-befd-a6a00a717f2f","http://www.cdisc.org","2023-09-29","Inch","Code_288","Code"
"C28251","5aa7726e-54ac-4507-b590-26ce63e87cae","http://www.cdisc.org","2023-09-29","Millimeter","Code_289","Code"
"C41139","72f13f58-e6ac-4e96-b47c-be27d7ec5c95","http://www.cdisc.org","2023-09-29","Meter","Code_290","Code"
"C168688","edd9f3f6-95ad-4e8b-8eb7-e16a8a86a525","NCI Thesaurus","","Unit of Height","Code_291","Code"
"C164634","8c63515d-7c15-41a8-b9a8-afae8ade6864","NCI Thesaurus","","Body Height","Code_285","Code"
"C36292","2a06ba69-c533-4456-a541-ec723138ee1c","NCI Thesaurus","","Laboratory Test Result","Code_293","Code"
"C83309","38fce678-73e7-4d77-b229-69f47ba6fe73","NCI Thesaurus","","Laboratory Test Fasting Status","Code_294","Code"
"C67365","ba836a15-67ab-4b20-9d11-7c8fd796f47d","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_295","Code"
"C70713","80d82397-552b-46ee-a77e-a1c9c8bf277a","NCI Thesaurus","","Biospecimen Type","Code_296","Code"
"C64433","968b983f-bf5d-49a5-8107-6e4e8be77923","NCI Thesaurus","","Alanine Aminotransferase Measurement","Code_292","Code"
"C36292","97697c5c-2bcb-4d6f-958e-546454d89eca","NCI Thesaurus","","Laboratory Test Result","Code_298","Code"
"C83309","a5f45a43-b4c3-4a04-a272-8779fabb1396","NCI Thesaurus","","Laboratory Test Fasting Status","Code_299","Code"
"C48207","1d8e9d7f-570a-4a30-b91a-d7ef809aff62","NCI Thesaurus","","Unit of Concentration","Code_300","Code"
"C70713","83644b7d-926f-4447-bb48-067c12713224","NCI Thesaurus","","Biospecimen Type","Code_301","Code"
"C64431","775c1c34-c43d-45d5-8dc3-5b63d17d575b","NCI Thesaurus","","Albumin Measurement","Code_297","Code"
"C36292","a937addf-1bfd-4773-9584-2f23f6a2b907","NCI Thesaurus","","Laboratory Test Result","Code_303","Code"
"C83309","69992582-60f8-43ad-81b2-8e1624a09851","NCI Thesaurus","","Laboratory Test Fasting Status","Code_304","Code"
"C67365","95a2d81c-3de0-451a-98d9-b64c28de57af","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_305","Code"
"C70713","39579ec0-f4e4-49e7-8c48-9351a39b45a2","NCI Thesaurus","","Biospecimen Type","Code_306","Code"
"C64432","0bb0a71f-71f2-431d-a1a9-a316de3b678d","NCI Thesaurus","","Alkaline Phosphatase Measurement","Code_302","Code"
"C36292","07555d30-d143-483c-9426-ede433f61e6c","NCI Thesaurus","","Laboratory Test Result","Code_308","Code"
"C83309","5a97aea1-d2ab-4c49-bb81-95d5b274cd7c","NCI Thesaurus","","Laboratory Test Fasting Status","Code_309","Code"
"C67365","f4d1e458-d438-47ab-8945-c7fce72c3cd5","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_310","Code"
"C70713","3ee5c25b-d71d-4db4-8f66-9df9f53c589c","NCI Thesaurus","","Biospecimen Type","Code_311","Code"
"C64467","4abdb91d-3f61-4cc8-9ce2-1ccfe53736a2","NCI Thesaurus","","Aspartate Aminotransferase Measurement","Code_307","Code"
"C36292","69af42de-a001-4767-8bc2-162e0310bcd0","NCI Thesaurus","","Laboratory Test Result","Code_313","Code"
"C83309","84b79784-23d8-4f8c-ba0d-f5c911fa354c","NCI Thesaurus","","Laboratory Test Fasting Status","Code_314","Code"
"C48207","a0c12928-565e-4173-a80e-e0d0354da004","NCI Thesaurus","","Unit of Concentration","Code_315","Code"
"C70713","d45cf94c-5359-44fc-bcef-b235eecd70cf","NCI Thesaurus","","Biospecimen Type","Code_316","Code"
"C64547","ba599515-ff88-42c9-b1d3-00a787f5ddfd","NCI Thesaurus","","Creatinine Measurement","Code_312","Code"
"C36292","8aba4273-4f85-4b9b-9309-bf6ca336dce4","NCI Thesaurus","","Laboratory Test Result","Code_318","Code"
"C83309","efd94431-d991-440b-9122-a584afad5bb2","NCI Thesaurus","","Laboratory Test Fasting Status","Code_319","Code"
"C64567","f01c57a4-1b30-41b9-820f-96adfb7999fb","NCI Thesaurus","","Molarity Unit","Code_320","Code"
"C70713","1bf58507-17da-4b23-b20e-af83cdffa321","NCI Thesaurus","","Biospecimen Type","Code_321","Code"
"C64853","79fad2dc-784b-44e9-bc3a-866ccf8d9ad0","NCI Thesaurus","","Potassium Measurement","Code_317","Code"
"C36292","a35485b0-a0ea-41dc-b93e-fbdcb1e5ca82","NCI Thesaurus","","Laboratory Test Result","Code_323","Code"
"C83309","ea3ffd87-cf6b-493f-a042-9c8e4dc8e5e7","NCI Thesaurus","","Laboratory Test Fasting Status","Code_324","Code"
"C64567","1a3b03ee-86c4-4f6c-bd9a-b5707b409d9c","NCI Thesaurus","","Molarity Unit","Code_325","Code"
"C70713","2eb34c13-0148-4904-b908-56cc82371055","NCI Thesaurus","","Biospecimen Type","Code_326","Code"
"C64809","1559be65-1233-49ea-b74b-3c5a46185ddb","NCI Thesaurus","","Sodium Measurement","Code_322","Code"
"C82571","e87354f4-574f-429b-bd64-8a809842c532","NCI Thesaurus","","Reported Event Term","Code_146","Code"
"C82977","7af26372-a6d5-4807-831c-a96c4c02cf3c","NCI Thesaurus","","Dictionary-derived Term","Code_147","Code"
"C25372","8b7ad270-09b2-4aaa-9df5-03e47de8f469","NCI Thesaurus","","Category","Code_148","Code"
"C25692","a3badc4d-96a1-4fd0-a63f-e65160c56553","NCI Thesaurus","","Subcategory","Code_149","Code"
"C82517","7f7dd167-7fae-4e2d-95e1-054327eb45fc","NCI Thesaurus","","Observation Start Date Time","Code_150","Code"
"C41331","0fe1fae8-9e54-4f22-8def-2f3794c8f8b7","NCI Thesaurus","","Adverse Event","Code_145","Code"
"C77140","36eb8b33-3bc1-430c-8199-a3436e0ae315","NCI Thesaurus","","Clinical Test Result","Code_152","Code"
"C42547","d9d8b8a0-733c-4d65-8640-17c2a32b2126","http://www.cdisc.org","2023-09-29","Pascal","Code_153","Code"
"C49669","7e71577b-d38c-4350-92e0-48efeb9529c0","NCI Thesaurus","","Unit of Pressure","Code_154","Code"
"C13717","5701d260-c9c2-47b9-b373-1702ad147828","NCI Thesaurus","","Anatomic Site","Code_155","Code"
"C25185","dd53e423-83a9-4245-8b28-dfb6c03ed03b","NCI Thesaurus","","Laterality","Code_156","Code"
"C82535","28e857ea-9bff-4d54-83ff-2d0f6bc31ca8","NCI Thesaurus","","Test Method","Code_157","Code"
"C62164","e7d5c400-5748-4d46-bdf3-52f3e46a40f7","NCI Thesaurus","","Body Position","Code_158","Code"
"C25298","5f4d6d13-1181-4bb4-8191-8430bbb21d9a","NCI Thesaurus","","Systolic Blood Pressure","Code_151","Code"
"C77140","b7751689-85cd-4693-899d-4361a23ea7b3","NCI Thesaurus","","Clinical Test Result","Code_160","Code"
"C42547","ab4be3d4-50f6-497c-ad48-82ba9e2b0cd3","http://www.cdisc.org","2023-09-29","Pascal","Code_161","Code"
"C49669","73a2c4e4-cb44-457a-9364-e5a355f68df4","NCI Thesaurus","","Unit of Pressure","Code_162","Code"
"C13717","cb50c66a-69f9-4575-8b33-b659a2d88a63","NCI Thesaurus","","Anatomic Site","Code_163","Code"
"C25185","3b4d88ac-460b-48a3-bd2b-fcf1ef6fe110","NCI Thesaurus","","Laterality","Code_164","Code"
"C82535","ac05de43-2011-42ce-9547-5f5db8e61445","NCI Thesaurus","","Test Method","Code_165","Code"
"C62164","dccadf00-b501-4a00-b9e3-049374f80d22","NCI Thesaurus","","Body Position","Code_166","Code"
"C25299","79173bb5-352f-4df3-b2a3-6d5d528659e7","NCI Thesaurus","","Diastolic Blood Pressure","Code_159","Code"
"C77140","a3f367dc-5015-4919-a900-a21783144d44","NCI Thesaurus","","Clinical Test Result","Code_168","Code"
"C42537","2ee127ea-558e-4e00-b521-c4d24354147d","http://www.cdisc.org","2023-09-29","Kelvin","Code_169","Code"
"C44276","3af43484-e4e5-4b19-9876-82edbd2f8925","NCI Thesaurus","","Unit of Temperature","Code_170","Code"
"C13717","5a198a6d-9ca9-4e6c-97ab-5295a5c6cb23","NCI Thesaurus","","Anatomic Site","Code_171","Code"
"C174446","aa4bf215-6b37-4187-b29f-8b97d6244add","NCI Thesaurus","","Body Temperature","Code_167","Code"
"C77140","8f08233d-bf7f-4f64-94fd-03e34c69e700","NCI Thesaurus","","Clinical Test Result","Code_173","Code"
"C28252","65fa25fd-e5f6-4add-ba5f-963e075265c1","http://www.cdisc.org","2023-09-29","Kilogram","Code_174","Code"
"C48155","bc429129-e3cb-4668-b113-2c4ffb6584c3","http://www.cdisc.org","2023-09-29","Gram","Code_175","Code"
"C48531","c4cb29f3-f5e6-457c-bff3-cf138128e0c1","http://www.cdisc.org","2023-09-29","Pound","Code_176","Code"
"C48208","3b271ba0-c34e-42d8-bbf2-a3aab3d521bc","NCI Thesaurus","","Unit of Weight","Code_177","Code"
"C81328","c0ac2039-9915-4801-a9af-70b81e64c32d","NCI Thesaurus","","Body Weight","Code_172","Code"
"C77140","cd383ee1-feb7-4990-bb5b-b729ed992750","NCI Thesaurus","","Clinical Test Result","Code_179","Code"
"C49668","773b6e22-2e15-4fc9-81f9-654c897cbb41","http://www.cdisc.org","2023-09-29","Centimeter","Code_180","Code"
"C48500","240892a7-2072-4151-a548-c8dd3e6e807e","http://www.cdisc.org","2023-09-29","Inch","Code_181","Code"
"C28251","3fc6fa27-dc27-4c1a-bf72-e6b9a30d4b8c","http://www.cdisc.org","2023-09-29","Millimeter","Code_182","Code"
"C41139","2ae9636b-b0bd-49cf-be6f-468fff50782e","http://www.cdisc.org","2023-09-29","Meter","Code_183","Code"
"C168688","0d5130dd-9474-44c5-b373-c952eca619dd","NCI Thesaurus","","Unit of Height","Code_184","Code"
"C164634","66141b83-51ba-4ede-abf7-b88798ac2f72","NCI Thesaurus","","Body Height","Code_178","Code"
"C36292","9c3d60d3-f2f9-43d7-a05d-7b55dca5e03d","NCI Thesaurus","","Laboratory Test Result","Code_186","Code"
"C83309","99a8826e-059a-4d39-a2ae-452e00a46747","NCI Thesaurus","","Laboratory Test Fasting Status","Code_187","Code"
"C67365","c4ed56f1-aaaf-4b31-8ba8-37d57f61ab8f","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_188","Code"
"C70713","2fda4524-ceac-4d06-bdbd-88971949e162","NCI Thesaurus","","Biospecimen Type","Code_189","Code"
"C64433","c70a288f-ecaf-4be0-b1d1-1f151318183f","NCI Thesaurus","","Alanine Aminotransferase Measurement","Code_185","Code"
"C36292","3bd79d53-a413-424f-8f16-c1392119dea7","NCI Thesaurus","","Laboratory Test Result","Code_191","Code"
"C83309","32a73ec9-a37d-4d8a-b89b-dbca0c6c4180","NCI Thesaurus","","Laboratory Test Fasting Status","Code_192","Code"
"C48207","ce096e29-665c-4be0-bc9f-832d66d6c631","NCI Thesaurus","","Unit of Concentration","Code_193","Code"
"C70713","e17346b9-284b-4e4d-9e81-d2cd4a022e77","NCI Thesaurus","","Biospecimen Type","Code_194","Code"
"C64431","1095df20-3e09-4d93-9300-66ffa5bb381a","NCI Thesaurus","","Albumin Measurement","Code_190","Code"
"C36292","99c3a918-8382-4c09-96e2-0c37bd09aef8","NCI Thesaurus","","Laboratory Test Result","Code_196","Code"
"C83309","c9658861-b3a6-40e3-98c6-c16448e72e10","NCI Thesaurus","","Laboratory Test Fasting Status","Code_197","Code"
"C67365","d893fb58-e431-4252-9cce-28c6d1776be1","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_198","Code"
"C70713","180b778b-152e-43fd-8d55-dfaf1b77fc2a","NCI Thesaurus","","Biospecimen Type","Code_199","Code"
"C64432","b3c13eac-64b9-4fb6-b39a-037c6cdcf34a","NCI Thesaurus","","Alkaline Phosphatase Measurement","Code_195","Code"
"C36292","75fff5e0-0b98-4bbe-a574-72d155d35474","NCI Thesaurus","","Laboratory Test Result","Code_201","Code"
"C83309","36e31434-35ec-4c1b-ab0d-abe4b2c44b4f","NCI Thesaurus","","Laboratory Test Fasting Status","Code_202","Code"
"C67365","ee9fc981-d074-4aff-93fe-8a672ee68b56","NCI Thesaurus","","Unit of Catalytic Activity Concentration","Code_203","Code"
"C70713","88d6d148-da9b-479d-91d9-440204f3d80b","NCI Thesaurus","","Biospecimen Type","Code_204","Code"
"C64467","68c2ee32-a06e-4970-8b11-35fd468afc0d","NCI Thesaurus","","Aspartate Aminotransferase Measurement","Code_200","Code"
"C36292","eeb500a5-f810-4a53-9046-0063d1c7ec84","NCI Thesaurus","","Laboratory Test Result","Code_206","Code"
"C83309","ed59e187-5122-44ce-9641-d82a733136d9","NCI Thesaurus","","Laboratory Test Fasting Status","Code_207","Code"
"C48207","e1ae71f0-5ab3-4724-b10a-273411307646","NCI Thesaurus","","Unit of Concentration","Code_208","Code"
"C70713","a16a8b3a-4467-4a79-801f-d7a53b9583c8","NCI Thesaurus","","Biospecimen Type","Code_209","Code"
"C64547","1196005b-eb1d-4917-bb25-51ed4dabdac8","NCI Thesaurus","","Creatinine Measurement","Code_205","Code"
"C36292","66f99676-d33a-4a04-89f8-06aa6eb330bc","NCI Thesaurus","","Laboratory Test Result","Code_211","Code"
"C83309","0e0e5bd5-60c4-46e6-9bd7-e551826b31d1","NCI Thesaurus","","Laboratory Test Fasting Status","Code_212","Code"
"C64567","7efef435-0be4-48b5-bb3e-4c73aa5405ec","NCI Thesaurus","","Molarity Unit","Code_213","Code"
"C70713","906b1fdb-5970-44cd-832e-6030633f7c99","NCI Thesaurus","","Biospecimen Type","Code_214","Code"
"C64853","db416f4d-7921-4a5f-87e1-3339462e99a5","NCI Thesaurus","","Potassium Measurement","Code_210","Code"
"C36292","6d41214b-5421-4e6c-aacb-f2af421e4653","NCI Thesaurus","","Laboratory Test Result","Code_216","Code"
"C83309","955613db-8f40-479d-9ee0-5d9c1f8d7622","NCI Thesaurus","","Laboratory Test Fasting Status","Code_217","Code"
"C64567","588a606d-79ed-44dd-be9f-42132e97e1a0","NCI Thesaurus","","Molarity Unit","Code_218","Code"
"C70713","ad11211b-ad0d-4aaa-aa22-8085a470add1","NCI Thesaurus","","Biospecimen Type","Code_219","Code"
"C64809","aacd9b4e-5233-4aa9-85b4-5ad4612c8ccd","NCI Thesaurus","","Sodium Measurement","Code_215","Code"
"C77140","c160c4f5-eb64-45e7-b5e7-ada114d4327c","NCI Thesaurus","","Clinical Test Result","Code_221","Code"
"C42547","73df32cc-eb33-4375-84e1-900d70685e9c","http://www.cdisc.org","2023-09-29","Pascal","Code_222","Code"
"C49669","7a1c3d1f-085a-425b-b325-e8b34efc05d6","NCI Thesaurus","","Unit of Pressure","Code_223","Code"
"C13717","94476777-1f38-49f9-bfbb-428f78c6190b","NCI Thesaurus","","Anatomic Site","Code_224","Code"
"C25185","25f31c68-04ee-4f15-bfd0-77804bd3d283","NCI Thesaurus","","Laterality","Code_225","Code"
"C82535","0ab6b29c-1a4b-47ef-9416-ef3cf1efeac2","NCI Thesaurus","","Test Method","Code_226","Code"
"C62164","fadd204d-46eb-46fa-ae92-8af74d356574","NCI Thesaurus","","Body Position","Code_227","Code"
"C25298","d226cbb3-2c17-48d6-b6ba-53945bcf65a9","NCI Thesaurus","","Systolic Blood Pressure","Code_220","Code"
"C77140","f7f1bc71-0eaf-422c-bc07-05d7c5676d03","NCI Thesaurus","","Clinical Test Result","Code_229","Code"
"C42547","177099d2-9d58-4a30-90d4-9874b9a1454f","http://www.cdisc.org","2023-09-29","Pascal","Code_230","Code"
"C49669","2c72aad7-77d5-494a-b9ed-b3088fa9c081","NCI Thesaurus","","Unit of Pressure","Code_231","Code"
"C13717","55b7edcb-88aa-491f-8453-f9c213a6dc8f","NCI Thesaurus","","Anatomic Site","Code_232","Code"
"C25185","7146d760-11a5-4c77-8cc7-dbb3967ccf01","NCI Thesaurus","","Laterality","Code_233","Code"
"C82535","ae290f6c-3075-4ca1-9281-6779384e6499","NCI Thesaurus","","Test Method","Code_234","Code"
"C62164","c0c3d438-c47c-495e-a073-1efc85c9415a","NCI Thesaurus","","Body Position","Code_235","Code"
"C25299","8ae9b28e-8311-4a4d-abf6-bfe89072c87a","NCI Thesaurus","","Diastolic Blood Pressure","Code_228","Code"
"C77140","309bc1bb-e066-4e3c-b818-f2d673ce5c1a","NCI Thesaurus","","Clinical Test Result","Code_237","Code"
"C49673","6012bd9b-40aa-4606-b7a2-485e29323acd","http://www.cdisc.org","2023-09-29","Beats per Minute","Code_238","Code"
"C73688","01c97ef0-a472-42de-af93-1dd9d4ccf8f0","NCI Thesaurus","","Count per Minute","Code_239","Code"
"C13717","9cd01561-339b-4a8c-a4d3-6d1daedcb716","NCI Thesaurus","","Anatomic Site","Code_240","Code"
"C25185","0cfcf3f1-3a94-4799-bb02-d4245ea9567b","NCI Thesaurus","","Laterality","Code_241","Code"
"C82535","c5b27d89-fd1b-4e53-b8b6-b0bab8b80aa1","NCI Thesaurus","","Test Method","Code_242","Code"
"C62164","f880f5a1-bb23-4135-a67d-fea71beb3adc","NCI Thesaurus","","Body Position","Code_243","Code"
