"name","text","instanceType","sectionTitle","sectionNumber","uuid:ID","id"
"SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","Rationale for Trial Design","4.2","c0a2eea6-5814-4792-b034-94b852ffa458","NarrativeContent_15"
"SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","Rationale for Comparator","4.2.1","8a70a278-d47c-43f0-ac27-9ed4e173a674","NarrativeContent_16"
"SECTION 4.2.2","<div></div>","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","b4ce7963-3273-4df4-ae94-a459fe1d7c26","NarrativeContent_17"
"SECTION 4.2.3","<div></div>","NarrativeContent","Other Trial Design Considerations","4.2.3","0b57bc68-a42b-41a8-9177-69ee8eac323d","NarrativeContent_18"
"SECTION 4.3","<div></div>","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","567d84b2-5227-4c82-9b94-8d874dfdc646","NarrativeContent_19"
"SECTION 4.4","<div></div>","NarrativeContent","Start of Trial and End of Trial","4.4","6115a329-6610-4fc6-bb4f-c00d3846b7ec","NarrativeContent_20"
"SECTION 5","<div></div>","NarrativeContent","TRIAL POPULATION","5","36974dc2-e32e-4edf-a6ec-7d221e0b89f6","NarrativeContent_21"
"SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","Selection of Trial Population","5.1","4c89d44b-47a9-45ac-b67a-d7e7b19594c2","NarrativeContent_22"
"SECTION 5.2","<div></div>","NarrativeContent","Rationale for Trial Population","5.2","8b72f363-624b-4b7d-bf66-898af6180b3f","NarrativeContent_23"
"SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","Inclusion Criteria","5.3","cdf8d961-bf26-49e7-b5d3-c0c2a0a06537","NarrativeContent_24"
"SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","Exclusion Criteria","5.4","02328aec-5b84-46fa-800c-22df2a828cf8","NarrativeContent_25"
"SECTION 5.5","<div></div>","NarrativeContent","Lifestyle Considerations","5.5","e426beb1-6913-4a3d-95f5-49fb9d0dd1f7","NarrativeContent_26"
"SECTION 5.5.1","<div></div>","NarrativeContent","Meals and Dietary Restrictions","5.5.1","cc28710e-c62a-42f7-9531-ede1f9569ff6","NarrativeContent_27"
"SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","a74a5b75-13ab-4e95-b21e-181d79ef6d1b","NarrativeContent_28"
"SECTION 5.5.3","<div></div>","NarrativeContent","Physical Activity","5.5.3","1c669020-1fab-44c5-83bf-ca1ce7cfd08b","NarrativeContent_29"
"SECTION 5.5.4","<div></div>","NarrativeContent","Other Activity","5.5.4","00438db6-c557-4811-b9b4-96d49dc6ce46","NarrativeContent_30"
"SECTION 5.6","<div></div>","NarrativeContent","Screen Failures","5.6","77fbcaf7-683a-46b6-b225-23d6db374cee","NarrativeContent_31"
"SECTION 6","<div></div>","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","ad6aab10-e02d-45e2-980b-c151a0b0c39c","NarrativeContent_32"
"SECTION 6.1","<div></div>","NarrativeContent","Description of Trial Intervention","6.1","1cfbd440-a8cc-43d5-9175-dc0631a41f83","NarrativeContent_33"
"SECTION 6.2","<div></div>","NarrativeContent","Rationale for Trial Intervention","6.2","931d6818-e31a-47e3-a4e4-d0572c864cde","NarrativeContent_34"
"SECTION 6.3","<div></div>","NarrativeContent","Dosing and Administration","6.3","1242a38d-e5f7-45aa-b4fa-7b3d30be8b69","NarrativeContent_35"
"SECTION 6.3.1","<div></div>","NarrativeContent","Trial Intervention Dose Modification","6.3.1","6c8dd7b1-9049-452c-a1c8-2d78c395789f","NarrativeContent_36"
"SECTION 6.4","<div></div>","NarrativeContent","Treatment of Overdose","6.4","23c73435-c33a-480d-aa14-905e8a7aa764","NarrativeContent_37"
"SECTION 6.5","<div></div>","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","7f95746c-c1e4-4ad9-9a01-1a5bde777256","NarrativeContent_38"
"SECTION 6.5.1","<div></div>","NarrativeContent","Preparation of Trial Intervention","6.5.1","d0568d24-336d-4c61-839b-a5ef0c5a8afa","NarrativeContent_39"
"SECTION 6.5.2","<div></div>","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","c3d84399-223e-4a2c-82fb-016b9d1623d5","NarrativeContent_40"
"SECTION 6.5.3","<div></div>","NarrativeContent","Accountability of Trial Intervention","6.5.3","fa4c36df-e959-48b0-9ab2-18e382382ab7","NarrativeContent_41"
"SECTION 6.6","<div></div>","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","254274a2-599c-41b7-a8c6-d10ec0aafe08","NarrativeContent_42"
"SECTION 6.6.1","<div></div>","NarrativeContent","Participant Assignment","6.6.1","1e57b7dd-0e68-4b54-b45a-477fdc4611a4","NarrativeContent_43"
"SECTION 6.6.2","<div></div>","NarrativeContent","Randomisation","6.6.2","4dd306d8-d439-42fd-9e0b-2e420dfdede4","NarrativeContent_44"
"SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","Blinding and Unblinding","6.6.3","5208649f-d241-4fa7-8145-39b3b80b7a8c","NarrativeContent_45"
"SECTION 6.7","<div></div>","NarrativeContent","Trial Intervention Compliance","6.7","2951f189-64f4-4f4d-8dfe-491f77123659","NarrativeContent_46"
"SECTION 6.8","<div></div>","NarrativeContent","Concomitant Therapy","6.8","c1f9a457-375d-481d-b238-2553f425974b","NarrativeContent_47"
"SECTION 6.8.1","<div></div>","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","07a42f76-f3af-48ba-98b9-99f37f105d92","NarrativeContent_48"
"SECTION 6.8.2","<div></div>","NarrativeContent","Permitted Concomitant Therapy","6.8.2","3319926a-cc73-4c95-ac14-1aad717d5881","NarrativeContent_49"
"SECTION 6.8.3","<div></div>","NarrativeContent","Rescue Therapy","6.8.3","c6cabbcc-acae-43a1-9c16-83c7514e7d61","NarrativeContent_50"
"SECTION 6.8.4","<div></div>","NarrativeContent","Other Therapy","6.8.4","03f7a8a5-aa30-41ed-b8e8-320817ede443","NarrativeContent_51"
"SECTION 7","<div></div>","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","646c6e6f-d116-4bf0-980c-46ab30c05d4d","NarrativeContent_52"
"SECTION 7.1","<div></div>","NarrativeContent","Discontinuation of Trial Intervention","7.1","ff63ff35-61cb-407a-9b6c-e5f0668fd2a9","NarrativeContent_53"
"SECTION 7.1.1","<div></div>","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","5f89a8a7-2015-49e2-a6c8-9636ba9f00e4","NarrativeContent_54"
"SECTION 7.1.2","<div></div>","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","6a40b288-8b36-4868-8cbc-f3713a210571","NarrativeContent_55"
"SECTION 7.1.3","<div></div>","NarrativeContent","Rechallenge","7.1.3","7c3c6c8d-51e8-44b1-b233-375320d0ba36","NarrativeContent_56"
"SECTION 7.2","<div></div>","NarrativeContent","Participant Withdrawal from the Trial","7.2","96a72f21-e5e4-4368-acce-83a5cc26b064","NarrativeContent_57"
"SECTION 7.3","<div></div>","NarrativeContent","Lost to Follow-Up","7.3","54bdd2cc-f12a-4974-a679-e075a8454908","NarrativeContent_58"
"SECTION 7.4","<div></div>","NarrativeContent","Trial Stopping Rules","7.4","9837f57f-0bf4-4dfc-be8f-4123da81a22f","NarrativeContent_59"
"SECTION 8","<div></div>","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","ad56743a-e43c-4963-b330-b389d425b02d","NarrativeContent_60"
"SECTION 8.1","<div></div>","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","c258562d-e141-4687-baf0-2806f2566f9b","NarrativeContent_61"
"SECTION 8.2","<div></div>","NarrativeContent","Efficacy Assessments and Procedures","8.2","3e833204-1cab-47b9-abb1-62974449d72b","NarrativeContent_62"
"SECTION 8.3","<div></div>","NarrativeContent","Safety Assessments and Procedures","8.3","d8456bd1-6673-49f6-9c0a-4de08310059a","NarrativeContent_63"
"SECTION 8.3.1","<div></div>","NarrativeContent","Physical Examination","8.3.1","306f2af9-44bc-450a-8bfb-63748b3bec37","NarrativeContent_64"
"SECTION 8.3.2","<div></div>","NarrativeContent","Vital Signs","8.3.2","12898497-0f3e-483f-a131-08f01d27ff16","NarrativeContent_65"
"SECTION 8.3.3","<div></div>","NarrativeContent","Electrocardiograms","8.3.3","b30be7cf-e3dc-409f-9f1f-03ffdcf9aabf","NarrativeContent_66"
"SECTION 8.3.4","<div></div>","NarrativeContent","Clinical Laboratory Assessments","8.3.4","a9e337c3-3976-4408-89ee-e980d5f71510","NarrativeContent_67"
"SECTION 8.3.5","<div></div>","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","590f1509-d648-4672-a5c0-1423249f10a8","NarrativeContent_68"
"SECTION 8.4","<div></div>","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","803c0e90-66b0-4cff-b9ad-f11c52f11479","NarrativeContent_69"
"SECTION 8.4.1","<div></div>","NarrativeContent","Definitions of AE and SAE","8.4.1","8429d9b7-fd01-422b-8519-4720a91ae2fc","NarrativeContent_70"
"SECTION 8.4.2","<div></div>","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","fc8258bf-3fd2-4352-bb97-d45dacb9eb94","NarrativeContent_71"
"SECTION 8.4.3","<div></div>","NarrativeContent","Identifying AEs and SAEs","8.4.3","e3b8e8d4-38f6-4ff0-b876-7f8a2f9ff499","NarrativeContent_72"
"SECTION 8.4.4","<div></div>","NarrativeContent","Recording of AEs and SAEs","8.4.4","3c05978c-5f03-4c6e-8172-8038ceca791b","NarrativeContent_73"
"SECTION 8.4.5","<div></div>","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","35404059-5914-4b9e-83ba-9078472cd84a","NarrativeContent_74"
"SECTION 8.4.6","<div></div>","NarrativeContent","Reporting of SAEs","8.4.6","40576b4a-eec3-4c06-a2b4-ca3b38ee5ad0","NarrativeContent_75"
"SECTION 8.4.7","<div></div>","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","52a959da-6934-4413-82f8-35115648ca48","NarrativeContent_76"
"SECTION 8.4.8","<div></div>","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","c4977a57-c47d-4ecc-ada3-5c183795e5c0","NarrativeContent_77"
"SECTION 8.4.9","<div></div>","NarrativeContent","Adverse Events of Special Interest","8.4.9","a8dc234a-c284-45f0-ab72-539cc120ec6c","NarrativeContent_78"
"SECTION 8.4.10","<div></div>","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","1f7c2a7b-53bb-4dab-8d58-a527d4d0a9ab","NarrativeContent_79"
"SECTION 8.5","<div></div>","NarrativeContent","Pregnancy and Postpartum Information","8.5","e6f58349-f13b-4179-97d8-89986534d1f6","NarrativeContent_80"
"SECTION 8.5.1","<div></div>","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","3440ebbd-c0fa-48e7-98f5-8ed8aaaad1ec","NarrativeContent_81"
"SECTION 8.5.2","<div></div>","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","4402b36a-2607-44cb-8933-79d0678352aa","NarrativeContent_82"
"SECTION 8.6","<div></div>","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","6c36bba7-3b8e-4e4f-8931-f708d04b2157","NarrativeContent_83"
"SECTION 8.6.1","<div></div>","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","0766e1f1-e9df-4428-9527-8c6e4b37ba9b","NarrativeContent_84"
"SECTION 8.6.2","<div></div>","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","046802e9-905a-4880-8d69-c6c8a812be9b","NarrativeContent_85"
"SECTION 8.6.3","<div></div>","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","71e72685-8274-48d6-8d9b-dda45a7a9826","NarrativeContent_86"
"SECTION 8.6.4","<div></div>","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","3dcfe48e-8a26-4184-b2c3-060c22d2b5f1","NarrativeContent_87"
"SECTION 8.6.5","<div></div>","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","2a73d524-50b7-4df5-9190-a2875d288f36","NarrativeContent_88"
"SECTION 8.7","<div></div>","NarrativeContent","Pharmacokinetics","8.7","f4b75788-ef7d-4a7d-88f4-572d034aca57","NarrativeContent_89"
"SECTION 8.8","<div></div>","NarrativeContent","Genetics","8.8","f6c263f4-b789-4813-b9bf-c35c63d4cb25","NarrativeContent_90"
"SECTION 8.9","<div></div>","NarrativeContent","Biomarkers","8.9","7475ec9f-bab6-4fb8-b4da-226d7b43bbf4","NarrativeContent_91"
"SECTION 8.1","<div></div>","NarrativeContent","Immunogenicity Assessments","8.1","23778e43-26d2-43b7-9878-628db017e727","NarrativeContent_92"
"SECTION 8.1.1","<div></div>","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","ed400bb7-495d-4f1b-bc76-064c14f5b980","NarrativeContent_93"
"SECTION 9","<div></div>","NarrativeContent","STATISTICAL CONSIDERATIONS","9","fbbd89f2-4d16-4ab1-95d2-d44d84e22841","NarrativeContent_94"
"SECTION 9.1","<div></div>","NarrativeContent","Analysis Sets","9.1","362c5ce4-beff-4e6e-af18-44692980f746","NarrativeContent_95"
"SECTION 9.2","<div></div>","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","dbf180de-8b6e-4cac-93f0-f568fe33d63a","NarrativeContent_96"
"SECTION 9.2.1","<div></div>","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","45b2d820-10dd-4ca9-ba88-aebb9a91c5f8","NarrativeContent_97"
"SECTION 9.2.2","<div></div>","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","39a096ff-d92a-49e3-bbc5-c05636135cf4","NarrativeContent_98"
"SECTION 9.2.3","<div></div>","NarrativeContent","Handling of Missing Data","9.2.3","afd84bc8-aee2-4652-8f46-1e68e6ec3327","NarrativeContent_99"
"SECTION 9.2.4","<div></div>","NarrativeContent","Sensitivity Analysis","9.2.4","e608cf13-779a-43b9-9f2a-e8bde65622c9","NarrativeContent_100"
"SECTION 9.2.5","<div></div>","NarrativeContent","Supplementary Analysis","9.2.5","44c758b4-44fd-4727-a8fa-b0c44b044b94","NarrativeContent_101"
"SECTION 9.3","<div></div>","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","545ad32d-574d-407e-b26a-5420935a36b0","NarrativeContent_102"
"SECTION 9.4","<div></div>","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","638b9de7-9160-4083-b001-7da8e43b99e8","NarrativeContent_103"
"SECTION 9.5","<div></div>","NarrativeContent","Safety Analyses","9.5","cad2a41c-251b-45e4-84c6-7b48deb306be","NarrativeContent_104"
"SECTION 9.6","<div></div>","NarrativeContent","Other Analyses","9.6","6d335a3c-baeb-4b6c-aff4-1bc0d5e49062","NarrativeContent_105"
"SECTION 9.7","<div></div>","NarrativeContent","Interim Analyses","9.7","8df5fdd4-9f1f-4d0e-9421-e6b4f1034dba","NarrativeContent_106"
"SECTION 9.8","<div></div>","NarrativeContent","Sample Size Determination","9.8","26e68480-2dfa-45b5-82fa-dfefbfe61555","NarrativeContent_107"
"SECTION 9.9","<div></div>","NarrativeContent","Protocol Deviations","9.9","64bc0382-2477-4d76-aa31-630626de82bf","NarrativeContent_108"
"SECTION 10","<div></div>","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","039d7560-4592-4628-ba66-2e28ee154e7b","NarrativeContent_109"
"SECTION 10.1","<div></div>","NarrativeContent","Regulatory and Ethical Considerations","10.1","acf1bdf8-17e1-49a2-a187-ae3baed0a513","NarrativeContent_110"
"SECTION 10.2","<div></div>","NarrativeContent","Committees","10.2","2ef9df22-0205-4365-9edd-d84e0b0b8932","NarrativeContent_111"
"SECTION 10.3","<div></div>","NarrativeContent","Informed Consent Process","10.3","3c84a8c0-0d8f-4996-963c-c080747dfcf0","NarrativeContent_112"
"SECTION 10.4","<div></div>","NarrativeContent","Data Protection","10.4","26d3bedb-3a47-43e1-9555-cc61cca3257b","NarrativeContent_113"
"SECTION 10.5","<div></div>","NarrativeContent","Early Site Closure or Trial Termination","10.5","dc5ccfac-9731-411e-ae96-eb548af03208","NarrativeContent_114"
"SECTION 11","<div></div>","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","559a8002-0c5f-4da6-a2d7-9daac5881458","NarrativeContent_115"
"SECTION 11.1","<div></div>","NarrativeContent","Quality Tolerance Limits","11.1","2a5fe182-9f92-465d-8197-6c9aee0c5c90","NarrativeContent_116"
"SECTION 11.2","<div></div>","NarrativeContent","Data Quality Assurance","11.2","4d2bdb02-bbfa-42f2-b637-2c5c3dc364ae","NarrativeContent_117"
"SECTION 11.3","<div></div>","NarrativeContent","Source Data","11.3","3e7b310b-4dbe-428a-b452-f038480d2dee","NarrativeContent_118"
"SECTION 12","<div></div>","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","979b4dd8-0690-46be-9d45-be2655c6da15","NarrativeContent_119"
"SECTION 12.1","<div></div>","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","e73972fe-02b1-4713-9a07-d0e164d37e40","NarrativeContent_120"
"SECTION 12.2","<div></div>","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","3e66a462-6213-46ff-9d45-ac909727b883","NarrativeContent_121"
"SECTION 12.3","<div></div>","NarrativeContent","Severity","12.3","f06bed58-6308-415f-8765-3351e3c2b514","NarrativeContent_122"
"SECTION 12.4","<div></div>","NarrativeContent","Causality","12.4","6b49afe2-2d2d-44fe-8995-5bdc92b85dcb","NarrativeContent_123"
"SECTION 13","<div></div>","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","21db632c-e910-400d-85fc-e5f729dc0909","NarrativeContent_124"
"SECTION 13.1","<div></div>","NarrativeContent","Contraception and Pregnancy Testing","13.1","980001ab-e45a-49bc-a1b9-9a0af52facb2","NarrativeContent_125"
"SECTION 13.1.1","<div></div>","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","5a3b75f7-909d-4f47-bc42-71c407aa7ca1","NarrativeContent_126"
"SECTION 13.1.2","<div></div>","NarrativeContent","Contraception","13.1.2","8aa92c66-c26b-4342-bcf0-a6368aeb820a","NarrativeContent_127"
"SECTION 13.1.3","<div></div>","NarrativeContent","Pregnancy Testing","13.1.3","de394b4c-980c-4c51-a770-c91c0f61d17a","NarrativeContent_128"
"SECTION 13.2","<div></div>","NarrativeContent","Clinical Laboratory Tests","13.2","95cdacdf-6801-4bdb-b96a-58c3363e8b5b","NarrativeContent_129"
"SECTION 13.3","<div></div>","NarrativeContent","Country/Region-Specific Differences","13.3","2ec9ec8a-8f10-4125-b312-e478f0afab5c","NarrativeContent_130"
"SECTION 13.4","<div></div>","NarrativeContent","Prior Protocol Amendments","13.4","b481fc7e-bb6b-4248-a00f-5439a5f1f05f","NarrativeContent_131"
"SECTION 14","<div></div>","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","599692ad-50de-4716-b171-c5ede4a3db7e","NarrativeContent_132"
"SECTION 15","<div></div>","NarrativeContent","APPENDIX: REFERENCES","15","b401f0de-9565-48d5-83f5-27760d9a45f4","NarrativeContent_133"
