"name","synonyms","instanceType","label","reference","uuid:ID","id"
"Body Temperature","['Temperature']","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","f4545cdb-3b70-495a-8937-d3d09f194b12","BiomedicalConcept_4"
"Body Weight","['Weight']","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","b64f8b86-977a-413b-a6d0-60a76aa7b705","BiomedicalConcept_5"
"Body Height","['Height']","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","c975cfaa-3b6c-4704-9cde-5798f6ad2b5a","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","1dae4676-db29-494a-b55a-4dd6c5251822","BiomedicalConcept_7"
"Albumin Measurement","['Albumin']","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","31d01bd3-7d33-44ab-b5b6-5aadc9f13b60","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","b5acf051-2e5c-456a-a68c-6bf4cde0c4ef","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","b5b5ea89-63e5-44e4-a622-3ce0004d423f","BiomedicalConcept_10"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","ea458055-9e36-459a-8059-a9146a8658f9","BiomedicalConcept_11"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","61f2dfd4-3eed-4ba5-b19b-263526e8d114","BiomedicalConcept_12"
"Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","566af1f8-a318-47e3-bf02-b51cd257230c","BiomedicalConcept_13"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","ab84c23f-f977-416e-a3b1-5d003674df4e","BiomedicalConcept_14"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","fc0bf4a9-8ee0-4689-80ce-008c044d11d0","BiomedicalConcept_15"
"Heart Rate","","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","414f7cb5-ab83-4ffd-9844-6529a8f7673e","BiomedicalConcept_16"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","155a1c87-662a-4f26-8f20-e0d819574fe0","BiomedicalConcept_17"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","76f0884d-e79e-432a-9a1c-c89014e1af05","BiomedicalConcept_18"
"Heart Rate","","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","5ef6a933-e63b-4ad6-bed1-6915f702fcda","BiomedicalConcept_19"
