"id:ID","uuid","code","codeSystem","codeSystemVersion","id","decode"
"28","cf32ba8e-a16d-479b-b8dc-894ff7a00179","C25716","http://www.cdisc.org","2023-09-29","Code_72","Visit"
"29","d6640a0f-df83-4fb5-835b-09d17261a422","C51282","http://www.cdisc.org","2023-09-29","Code_73","Clinic"
"30","f4512607-a41e-49d1-9a69-9c8efe218b53","C175574","http://www.cdisc.org","2023-09-29","Code_74","In Person"
"31","bd8a4f82-68b3-4d17-a9cc-f76593ab4434","C25716","http://www.cdisc.org","2023-09-29","Code_75","Visit"
"32","edcefa19-a01b-4322-a626-51f55f572add","C51282","http://www.cdisc.org","2023-09-29","Code_76","Clinic"
"33","4964fe8f-58ec-4bd9-a2f1-62714ad81b5e","C175574","http://www.cdisc.org","2023-09-29","Code_77","In Person"
"34","180eb7c6-f7ac-4e14-b3e4-40dc0e3883b7","C25716","http://www.cdisc.org","2023-09-29","Code_78","Visit"
"35","a9722e86-0f70-4e6e-86a9-c6a83fdf3872","C51282","http://www.cdisc.org","2023-09-29","Code_79","Clinic"
"36","03f4b30c-d5de-4d5d-ab2d-af2344292169","C175574","http://www.cdisc.org","2023-09-29","Code_80","In Person"
"37","9d21d59b-a758-4f37-a8ae-0c3022b2d981","C25716","http://www.cdisc.org","2023-09-29","Code_81","Visit"
"38","9f8c35f2-b814-48f8-ab73-d5dfc447e217","C51282","http://www.cdisc.org","2023-09-29","Code_82","Clinic"
"39","8946d0c6-1d4f-4d46-808e-ba03f4e342bb","C175574","http://www.cdisc.org","2023-09-29","Code_83","In Person"
"40","2f63cf1c-7894-4c36-869d-573ef43863d3","C25716","http://www.cdisc.org","2023-09-29","Code_84","Visit"
"41","1157a08c-5dd0-4732-bdae-114a63c6674f","C51282","http://www.cdisc.org","2023-09-29","Code_85","Clinic"
"42","d2b8bbae-b9ab-44a6-a302-d4471043699a","C175574","http://www.cdisc.org","2023-09-29","Code_86","In Person"
"43","c963bf08-df91-41cd-adbf-1899a3b0ab69","C171537","http://www.cdisc.org","2023-09-29","Code_87","Telephone Call"
"44","10810192-0e99-400e-90c5-a11fecb160e7","C25716","http://www.cdisc.org","2023-09-29","Code_88","Visit"
"45","5afbb3b8-02ed-4bc2-855c-3f4ba9b595bd","C51282","http://www.cdisc.org","2023-09-29","Code_89","Clinic"
"46","03ab660f-d527-466e-ac23-489782256aaa","C175574","http://www.cdisc.org","2023-09-29","Code_90","In Person"
"47","646475be-4852-4b08-abdd-37d0f9f7e1be","C171537","http://www.cdisc.org","2023-09-29","Code_91","Telephone Call"
"48","fd3c362e-4aaf-460f-b5b4-4ab8a81bcd8a","C25716","http://www.cdisc.org","2023-09-29","Code_92","Visit"
"49","ce2651a1-63c8-40bc-ac45-7d13a3306583","C51282","http://www.cdisc.org","2023-09-29","Code_93","Clinic"
"50","22a52a22-3305-4ed8-805c-4b129c4f92f0","C175574","http://www.cdisc.org","2023-09-29","Code_94","In Person"
"51","091ae613-ea85-44b3-95a1-1f2285cd12bb","C171537","http://www.cdisc.org","2023-09-29","Code_95","Telephone Call"
"52","7a336e8f-cd8e-4014-84f7-5ec1c6fdffc6","C25716","http://www.cdisc.org","2023-09-29","Code_96","Visit"
"53","22c50e2e-932e-4a2b-a805-a2db1dbb90c9","C51282","http://www.cdisc.org","2023-09-29","Code_97","Clinic"
"54","ec588815-4f0d-4be9-8120-fdf82efd3cda","C175574","http://www.cdisc.org","2023-09-29","Code_98","In Person"
"55","ccc37519-44e6-4b21-b10f-afdf9fe12592","C171537","http://www.cdisc.org","2023-09-29","Code_99","Telephone Call"
"56","0b3923d5-faed-4525-93d4-fc78884312e8","C25716","http://www.cdisc.org","2023-09-29","Code_100","Visit"
"57","a318cc97-0e80-4e31-be82-ac636a339f6f","C51282","http://www.cdisc.org","2023-09-29","Code_101","Clinic"
"58","18fe5e2d-4344-4e27-8511-575b5b6117d9","C175574","http://www.cdisc.org","2023-09-29","Code_102","In Person"
"59","7f5ecb83-f886-438e-b2a3-f93e2bc4079f","C25716","http://www.cdisc.org","2023-09-29","Code_103","Visit"
"60","5432e3e8-dfb0-4f31-b961-89b555113eea","C51282","http://www.cdisc.org","2023-09-29","Code_104","Clinic"
"61","e61a8d71-6962-4b24-847f-d2c325f808b8","C175574","http://www.cdisc.org","2023-09-29","Code_105","In Person"
"62","861f1f2d-855f-4775-90fb-99623a646896","383371000119108","SNOMED","January 31, 2018","Code_63","CT of head without contrast"
"63","9742be7c-878c-41ca-922f-1a557efaebff","123","SPONSOR","12","Code_64","Supine for 5 minutes"
"64","90f716b8-144b-4a29-87fc-18ddc7c5eb30","124","SPONSOR","12","Code_65","Standingfor 1-3 minutes"
"65","fda73bba-2686-4a28-b822-713da82b5b03","C173522","NCI Thesaurus","","Code_244","Vital Signs Result"
"66","17686f3d-4648-4339-a8cc-38ec6e9f16e6","C42537","http://www.cdisc.org","2023-09-29","Code_245","Kelvin"
"67","b7d113cf-acad-416a-9f29-632c78fc43a2","C44276","NCI Thesaurus","","Code_246","Unit of Temperature"
"68","7d309ffb-264d-4fd4-82d2-c123fc6a7b25","C83088","NCI Thesaurus","","Code_247","Vital Signs Location"
"69","5f6252b6-0a0d-4f8a-9525-9fc2f9c7453f","C174446","NCI Thesaurus","","Code_243","Body Temperature"
"70","b573f788-d9b2-489e-a95c-17cbade474c8","C173522","NCI Thesaurus","","Code_249","Vital Signs Result"
"71","15e77f29-e22e-474b-bb3e-36b11f2ce220","C28252","http://www.cdisc.org","2023-09-29","Code_250","Kilogram"
"72","2f3cbdce-0320-496e-8d92-bf713b954fcd","C48155","http://www.cdisc.org","2023-09-29","Code_251","Gram"
"73","caacfd76-78db-4601-95df-7e7443e97437","C48531","http://www.cdisc.org","2023-09-29","Code_252","Pound"
"74","fbc45704-83e8-4cbf-a7b5-85af0ca7ec80","C48208","NCI Thesaurus","","Code_253","Unit of Weight"
"75","a1114afc-c68f-448c-be62-12ef60374fca","C81328","NCI Thesaurus","","Code_248","Body Weight"
"76","e3f2d458-b9e7-4a58-abc9-9188b4299ded","C173522","NCI Thesaurus","","Code_255","Vital Signs Result"
"77","820772a4-0cde-4b06-919d-3937bc85fe98","C49668","http://www.cdisc.org","2023-09-29","Code_256","Centimeter"
"78","efd0bbf1-8c16-4664-b1a5-d2d3444b088e","C48500","http://www.cdisc.org","2023-09-29","Code_257","Inch"
"79","b98c160b-c3c7-412a-8cd9-e090bb98f707","C28251","http://www.cdisc.org","2023-09-29","Code_258","Millimeter"
"80","d49710f6-bea0-4c83-9847-272432e5fa0f","C41139","http://www.cdisc.org","2023-09-29","Code_259","Meter"
"81","047ff130-9159-447f-bdf9-1e7ca6cf2d5f","C168688","NCI Thesaurus","","Code_260","Unit of Height"
"82","8d327bc0-11c0-4256-9944-33e13be2c969","C164634","NCI Thesaurus","","Code_254","Body Height"
"83","7806fae7-ce6f-4bf9-bafe-3671edbe0274","C36292","NCI Thesaurus","","Code_262","Laboratory Test Result"
"84","88213086-5a23-431c-b864-a048d74b98eb","C83309","NCI Thesaurus","","Code_263","Laboratory Test Fasting Status"
"85","b0991a14-863d-4491-a747-511804f00d8c","C67365","NCI Thesaurus","","Code_264","Unit of Catalytic Activity Concentration"
"86","932fbabb-a724-47b4-b945-4deef0b7832b","C70713","NCI Thesaurus","","Code_265","Biospecimen Type"
"87","7cb949ca-b6ae-4cb6-8b9c-5908fab1d9b5","C64433","NCI Thesaurus","","Code_261","Alanine Aminotransferase Measurement"
"88","02a59cd0-3f79-43c4-b696-bedf513cd471","C36292","NCI Thesaurus","","Code_267","Laboratory Test Result"
"89","5c7c814d-6214-4727-a28f-23278b202a23","C83309","NCI Thesaurus","","Code_268","Laboratory Test Fasting Status"
"90","7267e4a4-40d6-41de-9298-68e10fac9b72","C48207","NCI Thesaurus","","Code_269","Unit of Concentration"
"91","c9f6bdf3-8eb7-4ebc-ba07-d90290ebc16f","C70713","NCI Thesaurus","","Code_270","Biospecimen Type"
"92","a5e49284-d149-4488-8b98-39dbc897dc62","C64431","NCI Thesaurus","","Code_266","Albumin Measurement"
"93","1eddf37e-8b68-45fc-b1a8-e56aefddbbff","C36292","NCI Thesaurus","","Code_272","Laboratory Test Result"
"94","3f0a86be-adbd-4191-aa3e-dd5252f9bb82","C83309","NCI Thesaurus","","Code_273","Laboratory Test Fasting Status"
"95","5cc6e1a7-15e3-4cbb-8fb3-8e6803521297","C67365","NCI Thesaurus","","Code_274","Unit of Catalytic Activity Concentration"
"96","790172a2-961d-427d-8afd-661425989948","C70713","NCI Thesaurus","","Code_275","Biospecimen Type"
"97","467d4791-09cd-430d-be7b-265b199bd9bd","C64432","NCI Thesaurus","","Code_271","Alkaline Phosphatase Measurement"
"98","75797111-f028-46ae-a8da-b8d0904aa609","C36292","NCI Thesaurus","","Code_277","Laboratory Test Result"
"99","7847a205-cec1-4f7f-986b-091c18ccf145","C83309","NCI Thesaurus","","Code_278","Laboratory Test Fasting Status"
"100","20b868e9-49d1-481a-8e38-48a2359f4286","C67365","NCI Thesaurus","","Code_279","Unit of Catalytic Activity Concentration"
"101","4a182841-3ad0-4177-a44b-192999fa1477","C70713","NCI Thesaurus","","Code_280","Biospecimen Type"
"102","896feedf-9aab-4ae0-a8ec-840e7bee773d","C64467","NCI Thesaurus","","Code_276","Aspartate Aminotransferase Measurement"
"103","b1224595-7108-46b8-985d-5e8bb634be9b","C36292","NCI Thesaurus","","Code_282","Laboratory Test Result"
"104","5ce9c360-fe9e-4166-a427-83a3850e7d82","C83309","NCI Thesaurus","","Code_283","Laboratory Test Fasting Status"
"105","b25d7a34-0a48-4168-b3a7-b7fdbf2952b4","C48207","NCI Thesaurus","","Code_284","Unit of Concentration"
"106","d00d3d6a-9f86-44df-88c6-5f687c58866e","C70713","NCI Thesaurus","","Code_285","Biospecimen Type"
"107","d6621f93-fc6a-460b-817e-b1eaaaad854f","C64547","NCI Thesaurus","","Code_281","Creatinine Measurement"
"108","d4bde3d0-28c2-406c-b6dd-da08a1eba0f0","C36292","NCI Thesaurus","","Code_287","Laboratory Test Result"
"109","a4f9234a-4669-4cbb-86d0-03b0f647b694","C83309","NCI Thesaurus","","Code_288","Laboratory Test Fasting Status"
"110","8045cbbc-5e92-4f07-b44e-00e5db29b77c","C64567","NCI Thesaurus","","Code_289","Molarity Unit"
"111","e9e3b295-983f-4ae0-a5a3-204633af03c8","C70713","NCI Thesaurus","","Code_290","Biospecimen Type"
"112","5d849cde-8643-4c4e-b875-c168fdbd141c","C64853","NCI Thesaurus","","Code_286","Potassium Measurement"
"113","2fd5419e-d1eb-4496-8728-c7937ff3d9fd","C36292","NCI Thesaurus","","Code_292","Laboratory Test Result"
"114","24eb5394-c774-4648-8814-329357fd2e5f","C83309","NCI Thesaurus","","Code_293","Laboratory Test Fasting Status"
"115","8b67c91d-b66c-4633-b343-c431c49dbf45","C64567","NCI Thesaurus","","Code_294","Molarity Unit"
"116","b2b37e1f-14f1-49de-a842-8e292e0061b5","C70713","NCI Thesaurus","","Code_295","Biospecimen Type"
"117","e82dba5b-fa57-4167-93a8-c99a8f1f9818","C64809","NCI Thesaurus","","Code_291","Sodium Measurement"
"118","d6f34c38-5b47-4211-92a0-821f4c15de41","C78541","NCI Thesaurus","","Code_126","Adverse Event Verbatim Description"
"119","0953cb86-21cb-4503-8253-cbb9410a866d","C83344","NCI Thesaurus","","Code_127","Adverse Event Dictionary Derived Term"
"120","50769770-77d7-457d-b705-5180e2f11b84","C83198","NCI Thesaurus","","Code_128","Adverse Event Category"
"121","d129eacb-c19d-4d3d-918e-b2a21e304abf","C83212","NCI Thesaurus","","Code_129","Adverse Event Subcategory"
"122","73a96479-a46f-47e9-9e8a-55f451d8444c","C87840","NCI Thesaurus","","Code_130","Adverse Event Pre-specified"
"123","d29c0b51-9eef-4d51-bc2a-66862695dafe","C53253","NCI Thesaurus","","Code_131","Severity of Adverse Event"
"124","36020e33-ac44-4ea2-86e2-f1f7ffdd2bd0","C78605","NCI Thesaurus","","Code_132","Adverse Event Toxicity Grade"
"125","11eb8566-735d-43c1-97d7-9e5070ac8455","C53252","NCI Thesaurus","","Code_133","Seriousness of Adverse Event"
"126","698b658e-452b-4f5e-87fc-c05d0c6fc46b","C17998","http://www.cdisc.org","2023-09-29","Code_134","Unknown"
"127","62a0e12b-547f-4541-8b41-2c830b46e770","C83013","NCI Thesaurus","","Code_135","Adverse Event Action Taken with Study Treatment"
"128","d79a5cae-b299-4e59-b0d8-49d96fc3e8e5","C41358","NCI Thesaurus","","Code_136","Adverse Event Attribution to Product or Procedure"
"129","f12f11da-ade3-455d-959d-e3fff7b81ab0","C83208","NCI Thesaurus","","Code_137","Adverse Event Pattern"
"130","eeb7bb5a-f407-4177-bfb4-2ae7d176dfef","C17998","http://www.cdisc.org","2023-09-29","Code_138","Unknown"
"131","a361e197-3922-48fa-87f1-7d3e334eafd0","C49489","NCI Thesaurus","","Code_139","Adverse Event Outcome"
"132","2df6c6ab-0c59-43da-8fbb-94b8e558e042","C83215","NCI Thesaurus","","Code_140","Adverse Event Start Date Time"
"133","2d59ad3f-2584-4c40-9ca9-16f710918ecb","C83201","NCI Thesaurus","","Code_141","Adverse Event End Date Time"
"134","da2bc4a4-0ac2-4ddd-a363-9150abec654e","C41331","NCI Thesaurus","","Code_125","Adverse Event"
"135","e6f41b81-b326-41b5-9594-e4725250d44c","C173522","NCI Thesaurus","","Code_143","Vital Signs Result"
"136","9b518578-75c2-4b65-b797-d1e5ec2eb012","C42547","http://www.cdisc.org","2023-09-29","Code_144","Pascal"
"137","c5fbb86f-5c2f-4709-96ba-a3b993a54bec","C49669","NCI Thesaurus","","Code_145","Unit of Pressure"
"138","974da328-0f52-4dde-91f0-87ab5e995fc2","C83088","NCI Thesaurus","","Code_146","Vital Signs Location"
"139","edfc151f-0e12-4645-b179-e1914fdbf444","C123975","NCI Thesaurus","","Code_147","Vital Signs Laterality"
"140","70ed5c83-6b0e-4338-b670-6a9bbaf93568","C82535","NCI Thesaurus","","Code_148","Test Method"
"141","43558ab8-9d0b-47aa-9092-6102fd70e85a","C83114","NCI Thesaurus","","Code_149","Vital Signs Position"
"142","0392dc2f-1895-407d-ad01-1acc6c716f66","C25298","NCI Thesaurus","","Code_142","Systolic Blood Pressure"
"143","0f4904d7-4dad-4590-8678-203c4b5b482c","C173522","NCI Thesaurus","","Code_151","Vital Signs Result"
"144","c4b95886-2ace-40c0-bc5b-4e0b3616002e","C42547","http://www.cdisc.org","2023-09-29","Code_152","Pascal"
"145","c07eca15-7f9b-43c4-85a3-f13680ec20fc","C49669","NCI Thesaurus","","Code_153","Unit of Pressure"
"146","f7ece868-75a9-4680-ac24-0f8f6271bba0","C83088","NCI Thesaurus","","Code_154","Vital Signs Location"
"147","c00b73fe-0212-4689-9c96-2cb49310329f","C123975","NCI Thesaurus","","Code_155","Vital Signs Laterality"
"148","c92302a1-129b-454d-85ab-56a1bae974fa","C82535","NCI Thesaurus","","Code_156","Test Method"
"149","2b495f63-9c2f-4b6b-a2ca-4a1d8e6ed9ce","C83114","NCI Thesaurus","","Code_157","Vital Signs Position"
"150","0f35b6c3-f251-4e22-ba0c-2fd6a7e75e2e","C25299","NCI Thesaurus","","Code_150","Diastolic Blood Pressure"
"151","43ee0cab-78ae-48db-b737-4bd109801940","C173522","NCI Thesaurus","","Code_159","Vital Signs Result"
"152","f49f70b5-0c5a-4819-a8b2-9b81615b724e","C42537","http://www.cdisc.org","2023-09-29","Code_160","Kelvin"
"153","8fc2270b-8820-4460-bb1a-f771ee088bc2","C44276","NCI Thesaurus","","Code_161","Unit of Temperature"
"154","3021bbce-12b9-4be7-a4e3-31524ff992ff","C83088","NCI Thesaurus","","Code_162","Vital Signs Location"
"155","aaace29a-74a9-47eb-93d9-52981e54bb51","C174446","NCI Thesaurus","","Code_158","Body Temperature"
"156","27e7305a-6793-4a85-980f-d1a704156c75","C173522","NCI Thesaurus","","Code_164","Vital Signs Result"
"157","e04f409a-f54f-426c-a8d1-aff7cb5c63c8","C28252","http://www.cdisc.org","2023-09-29","Code_165","Kilogram"
"158","681ece7d-fa94-466f-ae28-889e13e2b20c","C48155","http://www.cdisc.org","2023-09-29","Code_166","Gram"
"159","2ad3cb4b-4f8e-4450-8f95-8bbc18782bc5","C48531","http://www.cdisc.org","2023-09-29","Code_167","Pound"
"160","932a9fd5-1c63-4475-835a-e614d129fabb","C48208","NCI Thesaurus","","Code_168","Unit of Weight"
"161","76e8348f-0e9f-4947-9760-392846c4e24a","C81328","NCI Thesaurus","","Code_163","Body Weight"
"162","25d70277-8f77-42ed-9b44-486914c5886e","C173522","NCI Thesaurus","","Code_170","Vital Signs Result"
"163","f9d170c4-2338-409d-956c-18485bb5d2fe","C49668","http://www.cdisc.org","2023-09-29","Code_171","Centimeter"
"164","ec99eb9b-22c1-4e37-a510-297fa7e9153e","C48500","http://www.cdisc.org","2023-09-29","Code_172","Inch"
"165","6a4adaa9-3a5b-46d3-a18e-210fd26e1857","C28251","http://www.cdisc.org","2023-09-29","Code_173","Millimeter"
"166","fa8be677-55ed-4742-8ebb-949233d0012b","C41139","http://www.cdisc.org","2023-09-29","Code_174","Meter"
"167","21cbc8f9-6f5b-4bb7-924c-42f32ff29419","C168688","NCI Thesaurus","","Code_175","Unit of Height"
"168","94f9e2e6-1215-4e72-9095-9f1f4533c55d","C164634","NCI Thesaurus","","Code_169","Body Height"
"169","70aba697-9450-4251-88cb-047a3f620e04","C36292","NCI Thesaurus","","Code_177","Laboratory Test Result"
"170","d7e4ccda-6063-4dba-8d86-1604066a1425","C83309","NCI Thesaurus","","Code_178","Laboratory Test Fasting Status"
"171","ac9f6648-b5da-4c6a-9f30-c35135ccad66","C67365","NCI Thesaurus","","Code_179","Unit of Catalytic Activity Concentration"
"172","c9f55358-9948-46be-be36-3cf5d3460ee6","C70713","NCI Thesaurus","","Code_180","Biospecimen Type"
"173","03a17541-2b7b-48a6-8c31-cc89cc995f3b","C64433","NCI Thesaurus","","Code_176","Alanine Aminotransferase Measurement"
"174","e7bacb59-4aba-4ae1-9301-ad5c5b0a47cf","C36292","NCI Thesaurus","","Code_182","Laboratory Test Result"
"175","a12da370-b286-48d4-bdd2-42d3cdc02f9d","C83309","NCI Thesaurus","","Code_183","Laboratory Test Fasting Status"
"176","0a3920ca-bfd0-42f0-afb0-c6efd79c9524","C48207","NCI Thesaurus","","Code_184","Unit of Concentration"
"177","e883ff1c-8426-4d70-b0ed-d738305dc4f2","C70713","NCI Thesaurus","","Code_185","Biospecimen Type"
"178","dea45d94-e888-4e94-b6f3-a2048fb206b8","C64431","NCI Thesaurus","","Code_181","Albumin Measurement"
"179","fa299f4b-0dce-46e1-af13-9dbde6e7f911","C36292","NCI Thesaurus","","Code_187","Laboratory Test Result"
"180","c2f11c46-6a88-497b-814b-ba4710d54a37","C83309","NCI Thesaurus","","Code_188","Laboratory Test Fasting Status"
"181","29bdda72-9ca5-441f-b545-9f682797c137","C67365","NCI Thesaurus","","Code_189","Unit of Catalytic Activity Concentration"
"182","4d896e9a-128c-4c8f-83ca-81db5b30c1b6","C70713","NCI Thesaurus","","Code_190","Biospecimen Type"
"183","57e04cb3-349c-454e-a860-2d4ba441a3e9","C64432","NCI Thesaurus","","Code_186","Alkaline Phosphatase Measurement"
"184","13e6174e-bd3e-4954-9507-a2c2c104172f","C36292","NCI Thesaurus","","Code_192","Laboratory Test Result"
"185","ed4c55da-7d1f-44e4-be26-3a72c1ae088f","C83309","NCI Thesaurus","","Code_193","Laboratory Test Fasting Status"
"186","069df24b-cb66-419a-91e9-30b5521c8213","C67365","NCI Thesaurus","","Code_194","Unit of Catalytic Activity Concentration"
"187","afbfd8e9-3123-406b-8638-8281cea59a36","C70713","NCI Thesaurus","","Code_195","Biospecimen Type"
"188","cf6b0814-e143-4a45-86b4-840836760110","C64467","NCI Thesaurus","","Code_191","Aspartate Aminotransferase Measurement"
"189","c866273b-8117-49bd-95e9-0ba464026033","C36292","NCI Thesaurus","","Code_197","Laboratory Test Result"
"190","aaf72013-4dd8-44a6-86ef-62de38266af6","C83309","NCI Thesaurus","","Code_198","Laboratory Test Fasting Status"
"191","9ab9c4c1-892f-443f-a959-046257bfbf37","C48207","NCI Thesaurus","","Code_199","Unit of Concentration"
"192","d5987028-3b01-4c19-8911-939fa294d355","C70713","NCI Thesaurus","","Code_200","Biospecimen Type"
"193","03e6fd3b-b506-48af-bd2c-cb246d8c8c89","C64547","NCI Thesaurus","","Code_196","Creatinine Measurement"
"194","d3ae8366-1028-4026-ab77-f9fab76be0e0","C36292","NCI Thesaurus","","Code_202","Laboratory Test Result"
"195","f8b30574-963f-4f2d-9f75-6d33cff4b417","C83309","NCI Thesaurus","","Code_203","Laboratory Test Fasting Status"
"196","b5b20cee-b58e-478e-9f19-fd9cfb8243ad","C64567","NCI Thesaurus","","Code_204","Molarity Unit"
"197","161a574b-f885-4c91-b2e4-a2c22a9f350d","C70713","NCI Thesaurus","","Code_205","Biospecimen Type"
"198","2a5ad154-930a-4207-ae70-e49c566ee540","C64853","NCI Thesaurus","","Code_201","Potassium Measurement"
"199","8fa3e4e0-75eb-4436-8d8f-78a6dc44da5f","C36292","NCI Thesaurus","","Code_207","Laboratory Test Result"
"200","d04e5bb5-01b7-4904-87c0-3e0b992937b9","C83309","NCI Thesaurus","","Code_208","Laboratory Test Fasting Status"
"201","2c6520fe-13c4-493c-a8b0-f8451a901b36","C64567","NCI Thesaurus","","Code_209","Molarity Unit"
"202","2815d109-9836-42b6-95e0-13f17f5f86c9","C70713","NCI Thesaurus","","Code_210","Biospecimen Type"
"203","0512b11a-4aee-4bbb-bc41-4f8e772c6ec0","C64809","NCI Thesaurus","","Code_206","Sodium Measurement"
"204","282f0ef8-27eb-4027-9c75-eb20f3da0574","C173522","NCI Thesaurus","","Code_212","Vital Signs Result"
"205","f2a52748-fb87-4ef8-81b1-f817de0952d9","C42547","http://www.cdisc.org","2023-09-29","Code_213","Pascal"
"206","33df9b05-fee5-4671-8006-00f578a2dbd0","C49669","NCI Thesaurus","","Code_214","Unit of Pressure"
"207","49d55d30-733e-4c33-8026-347894f987ee","C83088","NCI Thesaurus","","Code_215","Vital Signs Location"
"208","95f55bb5-b6cc-4c37-a82c-ccb7b790ae50","C123975","NCI Thesaurus","","Code_216","Vital Signs Laterality"
"209","7e507c3d-cf31-44b3-8213-bbb53ca0463d","C82535","NCI Thesaurus","","Code_217","Test Method"
"210","75261247-ee8c-46af-a368-313ab04f6cc1","C83114","NCI Thesaurus","","Code_218","Vital Signs Position"
"211","05197da6-c569-4d90-93a5-99fd27987fcb","C25298","NCI Thesaurus","","Code_211","Systolic Blood Pressure"
"212","b0f4ecc4-b982-456b-8c8a-fcff3731339a","C173522","NCI Thesaurus","","Code_220","Vital Signs Result"
"213","bbac6a68-a4c4-44d3-bcda-7ea440b86d16","C42547","http://www.cdisc.org","2023-09-29","Code_221","Pascal"
"214","b1bcfa94-de66-4cad-be0b-32b878a72707","C49669","NCI Thesaurus","","Code_222","Unit of Pressure"
"215","325d63ff-6aed-401b-b927-034701998654","C83088","NCI Thesaurus","","Code_223","Vital Signs Location"
"216","bfe70a83-3b27-4302-b5e7-73d80274cfaf","C123975","NCI Thesaurus","","Code_224","Vital Signs Laterality"
"217","e95a09b9-6971-4982-88d8-a4cb7cf8823f","C82535","NCI Thesaurus","","Code_225","Test Method"
"218","78d3ac9f-22dc-45d6-9bf4-152c961f0f99","C83114","NCI Thesaurus","","Code_226","Vital Signs Position"
"219","0d797a0b-2970-401e-9756-66c10c661917","C25299","NCI Thesaurus","","Code_219","Diastolic Blood Pressure"
"220","e88e31fc-bc24-4ab7-80a4-d98a35a0954e","C173522","NCI Thesaurus","","Code_228","Vital Signs Result"
"221","ab0a9970-7f3d-4964-b4cf-b9747e882f0e","C42547","http://www.cdisc.org","2023-09-29","Code_229","Pascal"
"222","c7592796-49f1-40e9-b45a-68fda6fcc762","C49669","NCI Thesaurus","","Code_230","Unit of Pressure"
"223","98237d0f-2cde-4481-b855-5a132ebc0a17","C83088","NCI Thesaurus","","Code_231","Vital Signs Location"
"224","7d6c9683-1f47-405e-8126-ffb076eba2f4","C123975","NCI Thesaurus","","Code_232","Vital Signs Laterality"
