"text","uuid:ID","name","id","sectionTitle","sectionNumber"
"<div></div>","37cbb12e-4a8c-4fbd-aad3-3515fd18bfbd","SECTION 5.2","NarrativeContent_22","Rationale for Trial Population","5.2"
"<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","8f6671e9-1ba5-43a6-bbfb-d93f26500039","SECTION 5.3","NarrativeContent_23","Inclusion Criteria","5.3"
"<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","84e2e04b-abd9-4f8a-a394-a98c6fb9c00d","SECTION 5.4","NarrativeContent_24","Exclusion Criteria","5.4"
"<div></div>","51e572cc-fe83-44fc-9d09-4d0407568cc0","SECTION 5.5","NarrativeContent_25","Lifestyle Considerations","5.5"
"<div></div>","4d6a726d-4be4-4272-a066-569799ecbc2f","SECTION 5.5.1","NarrativeContent_26","Meals and Dietary Restrictions","5.5.1"
"<div></div>","dc5a3817-8d66-42d0-ac2e-53f86de8d623","SECTION 5.5.2","NarrativeContent_27","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2"
"<div></div>","537784bd-ab7a-4b45-ba45-2e25f261ed71","SECTION 5.5.3","NarrativeContent_28","Physical Activity","5.5.3"
"<div></div>","6a5db39d-544a-45e8-b8c0-e41c2fb86089","SECTION 5.5.4","NarrativeContent_29","Other Activity","5.5.4"
"<div></div>","ec9077cb-4f91-4c70-ae6d-76631a06971c","SECTION 5.6","NarrativeContent_30","Screen Failures","5.6"
"<div></div>","6bb8a742-5f4f-47de-ae07-6055ed254de7","SECTION 6","NarrativeContent_31","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6"
"<div></div>","e8c92eb9-36a4-4521-a65c-249847ef3d15","SECTION 6.1","NarrativeContent_32","Description of Trial Intervention","6.1"
"<div></div>","0582526a-f786-401c-b25b-7bd89cfba85b","SECTION 6.2","NarrativeContent_33","Rationale for Trial Intervention","6.2"
"<div></div>","25a8dec7-6432-41fb-a1c6-21c1c45d5997","SECTION 6.3","NarrativeContent_34","Dosing and Administration","6.3"
"<div></div>","2fa14b19-274f-4200-b1f5-17cf1a49d474","SECTION 6.3.1","NarrativeContent_35","Trial Intervention Dose Modification","6.3.1"
"<div></div>","415a2ef6-1c29-4936-b09b-e9f47349f92b","SECTION 6.4","NarrativeContent_36","Treatment of Overdose","6.4"
"<div></div>","53090e81-3ed3-4ca0-8413-d4a7ad376c61","SECTION 6.5","NarrativeContent_37","Preparation, Handling, Storage and Accountability","6.5"
"<div></div>","41b83eda-398c-4d39-a7cb-297190b3f0f0","SECTION 6.5.1","NarrativeContent_38","Preparation of Trial Intervention","6.5.1"
"<div></div>","c895b118-a1ad-4c99-a647-53461c766074","SECTION 6.5.2","NarrativeContent_39","Handling and Storage of Trial Intervention","6.5.2"
"<div></div>","3f8e9633-3ee8-4945-bde7-854a8fd65682","SECTION 6.5.3","NarrativeContent_40","Accountability of Trial Intervention","6.5.3"
"<div></div>","87353ebe-8468-49ef-be5e-633f13bf1d69","SECTION 6.6","NarrativeContent_41","Participant Assignment, Randomisation and Blinding","6.6"
"<div></div>","cb66bad0-b8eb-4ac0-b351-eb75380d9fab","SECTION 6.6.1","NarrativeContent_42","Participant Assignment","6.6.1"
"<div></div>","d751ea70-fbdd-49c2-8848-8fcf3ddef791","SECTION 6.6.2","NarrativeContent_43","Randomisation","6.6.2"
"<div><p>Blinding and unblinding text here please</p></div>","10f52a3f-c1eb-42cc-b4d3-ab7858be23d1","SECTION 6.6.3","NarrativeContent_44","Blinding and Unblinding","6.6.3"
"<div></div>","65e4f345-dd5a-4588-a55a-f5979182f005","SECTION 6.7","NarrativeContent_45","Trial Intervention Compliance","6.7"
"<div></div>","ed47ac2c-feaf-4c06-9c87-914f2f2f6fab","SECTION 6.8","NarrativeContent_46","Concomitant Therapy","6.8"
"<div></div>","dd5976c3-4aaa-4593-b17a-425d500a4750","SECTION 6.8.1","NarrativeContent_47","Prohibited Concomitant Therapy","6.8.1"
"<div></div>","d450b6a7-533c-4f0a-8e11-cbaf54caf865","SECTION 6.8.2","NarrativeContent_48","Permitted Concomitant Therapy","6.8.2"
"<div></div>","36eed740-64da-40f4-aabb-e9bc2d1e8f60","SECTION 6.8.3","NarrativeContent_49","Rescue Therapy","6.8.3"
"<div></div>","fca7396d-cc90-43ee-89d9-40179752ae6c","SECTION 6.8.4","NarrativeContent_50","Other Therapy","6.8.4"
"<div></div>","5cec182c-62de-42e6-ae86-6d94866dc9ed","SECTION 7","NarrativeContent_51","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7"
"<div></div>","6915287b-097a-4923-b5f1-06d4a80e603a","SECTION 7.1","NarrativeContent_52","Discontinuation of Trial Intervention","7.1"
"<div></div>","f9d2e89b-1427-4388-8ef8-bfaa4b97411a","SECTION 7.1.1","NarrativeContent_53","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1"
"<div></div>","e17393d0-a3b6-4cbe-ad14-b060d2a28c60","SECTION 7.1.2","NarrativeContent_54","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2"
"<div></div>","4fc494a8-d97e-4af4-b596-90c2cc1acde5","SECTION 7.1.3","NarrativeContent_55","Rechallenge","7.1.3"
"<div></div>","e7a00778-dba4-44c7-92f3-a593e80607ec","SECTION 7.2","NarrativeContent_56","Participant Withdrawal from the Trial","7.2"
"<div></div>","937f4692-5e79-44de-81a4-14e9e2d1b46f","SECTION 7.3","NarrativeContent_57","Lost to Follow-Up","7.3"
"<div></div>","ea59f8ba-077c-413b-89ec-03d6cc2f80a7","SECTION 7.4","NarrativeContent_58","Trial Stopping Rules","7.4"
"<div></div>","f7d0f6eb-d95f-4a48-bf67-ad82266c1a4d","SECTION 8","NarrativeContent_59","TRIAL ASSESSMENTS AND PROCEDURES","8"
"<div></div>","37b37b16-619e-471e-860e-431c9c7e1e9e","SECTION 8.1","NarrativeContent_60","Screening/Baseline Assessments and Procedures","8.1"
"<div></div>","7648aa4e-1582-4e02-97bf-981a5436b787","SECTION 8.2","NarrativeContent_61","Efficacy Assessments and Procedures","8.2"
"<div></div>","c7a1df4d-00ac-4b73-8b27-8066fdd49038","SECTION 8.3","NarrativeContent_62","Safety Assessments and Procedures","8.3"
"<div></div>","e6cd9f78-b05c-4fe2-9298-fd9c9ae2b775","SECTION 8.3.1","NarrativeContent_63","Physical Examination","8.3.1"
"<div></div>","ba988fbd-6451-4855-b091-7d662f8c74c6","SECTION 8.3.2","NarrativeContent_64","Vital Signs","8.3.2"
"<div></div>","f3713c8f-95c9-4f3c-9259-84b5e3c632f2","SECTION 8.3.3","NarrativeContent_65","Electrocardiograms","8.3.3"
"<div></div>","6802ca30-a56d-43f0-853d-bceeee8d8111","SECTION 8.3.4","NarrativeContent_66","Clinical Laboratory Assessments","8.3.4"
"<div></div>","1185eb67-0ca1-47a3-8a45-3ea0efb3a2e0","SECTION 8.3.5","NarrativeContent_67","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5"
"<div></div>","e92a538f-00a9-40ba-b933-05c16c43bc9d","SECTION 8.4","NarrativeContent_68","Adverse Events and Serious Adverse Events","8.4"
"<div></div>","d90ca2cd-68d4-4a17-8509-07efea4acd47","SECTION 8.4.1","NarrativeContent_69","Definitions of AE and SAE","8.4.1"
"<div></div>","d8c4a25e-7158-4e8c-928c-91ff522ce50e","SECTION 8.4.2","NarrativeContent_70","Time Period and Frequency for Collecting AE and SAE Information","8.4.2"
"<div></div>","64a662fc-58be-49af-b257-01182ba85372","SECTION 8.4.3","NarrativeContent_71","Identifying AEs and SAEs","8.4.3"
"<div></div>","bcf47ae6-3383-40f4-98f9-e53a15e08113","SECTION 8.4.4","NarrativeContent_72","Recording of AEs and SAEs","8.4.4"
"<div></div>","eca9da94-c540-48d4-8fbf-443fa9a25c93","SECTION 8.4.5","NarrativeContent_73","Follow-up of AEs and SAEs","8.4.5"
"<div></div>","38e9d5a8-3a4f-40d1-aa59-205ec2a3ba2f","SECTION 8.4.6","NarrativeContent_74","Reporting of SAEs","8.4.6"
"<div></div>","62f3b2bd-e411-403c-b906-6ffee9e40be0","SECTION 8.4.7","NarrativeContent_75","Regulatory Reporting Requirements for SAEs","8.4.7"
"<div></div>","2077690d-40e0-4537-9d2c-6f5f5fbe5419","SECTION 8.4.8","NarrativeContent_76","Serious and Unexpected Adverse Reaction Reporting","8.4.8"
"<div></div>","46cf568c-53f1-4ec2-b7e6-1303b9dea03a","SECTION 8.4.9","NarrativeContent_77","Adverse Events of Special Interest","8.4.9"
"<div></div>","a7645d14-f0e0-4a2b-885d-e5001c469f02","SECTION 8.4.10","NarrativeContent_78","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10"
"<div></div>","96dd3bbf-f87a-4daf-b8ac-b1accc67430d","SECTION 8.5","NarrativeContent_79","Pregnancy and Postpartum Information","8.5"
"<div></div>","92a48655-f118-487f-b8bd-407919f1323b","SECTION 8.5.1","NarrativeContent_80","Participants Who Become Pregnant During the Trial","8.5.1"
"<div></div>","d3e93623-6ba1-4ad3-8847-d6e62a9bb2d2","SECTION 8.5.2","NarrativeContent_81","Participants Whose Partners Become Pregnant","8.5.2"
"<div></div>","c68a0c27-c9b7-48c2-8ef3-054754a631b9","SECTION 8.6","NarrativeContent_82","Medical Device Product Complaints for Drug/Device Combination Products","8.6"
"<div></div>","93cca3ab-399d-4056-a2c0-a0591f20ce3b","SECTION 8.6.1","NarrativeContent_83","Definition of Medical Device Product Complaints","8.6.1"
"<div></div>","15fd20e6-6150-49e6-a387-0e109c122046","SECTION 8.6.2","NarrativeContent_84","Recording of Medical Device Product Complaints","8.6.2"
"<div></div>","d1e4f2c9-f19d-4cfa-a813-731dc972cb2f","SECTION 8.6.3","NarrativeContent_85","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3"
"<div></div>","78d1636e-d1ce-43c5-bfb0-b8b3c2bf7990","SECTION 8.6.4","NarrativeContent_86","Follow-Up of Medical Device Product Complaints","8.6.4"
"<div></div>","0e9aa44b-189f-4561-ab29-92c1100aecad","SECTION 8.6.5","NarrativeContent_87","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5"
"<div></div>","c400e4c8-26bb-47fd-a0b1-936c34e87948","SECTION 8.7","NarrativeContent_88","Pharmacokinetics","8.7"
"<div></div>","9524d53c-8866-427a-9948-3cfb0ebbf7b8","SECTION 8.8","NarrativeContent_89","Genetics","8.8"
"<div></div>","12ba1f8d-e0ac-4280-95b9-7c69fc31dd77","SECTION 8.9","NarrativeContent_90","Biomarkers","8.9"
"<div></div>","fe839282-2962-4986-aea8-90f9cc05afa8","SECTION 8.1","NarrativeContent_91","Immunogenicity Assessments","8.1"
"<div></div>","582f99d5-a3f0-4e03-b702-2fb52c625ad1","SECTION 8.1.1","NarrativeContent_92","Medical Resource Utilisation and Health Economics","8.1.1"
"<div></div>","c7d4b4a0-4b0b-419f-848b-73064e74a83f","SECTION 9","NarrativeContent_93","STATISTICAL CONSIDERATIONS","9"
"<div></div>","1372775c-c815-417c-a42a-c14890c120e8","SECTION 9.1","NarrativeContent_94","Analysis Sets","9.1"
"<div></div>","1513dccd-3595-4666-98c2-6af809c73e64","SECTION 9.2","NarrativeContent_95","Analyses Supporting Primary Objective(s)","9.2"
"<div></div>","908726fd-29dc-49fb-8534-00937e5d6360","SECTION 9.2.1","NarrativeContent_96","Statistical Model, Hypothesis, and Method of Analysis","9.2.1"
"<div></div>","e45e03ce-2650-4eaa-8441-75d8dd1b5805","SECTION 9.2.2","NarrativeContent_97","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2"
"<div></div>","aea9ee40-c377-4f7f-97cb-290ba95a9f86","SECTION 9.2.3","NarrativeContent_98","Handling of Missing Data","9.2.3"
"<div></div>","91428692-0b09-476f-a0f1-93f6a793873b","SECTION 9.2.4","NarrativeContent_99","Sensitivity Analysis","9.2.4"
"<div></div>","09d505fb-f770-4910-b2e7-2eaa9f4c376f","SECTION 9.2.5","NarrativeContent_100","Supplementary Analysis","9.2.5"
"<div></div>","05b6c636-6028-46c1-b5ff-94e9f3047f45","SECTION 9.3","NarrativeContent_101","Analysis Supporting Secondary Objective(s)","9.3"
"<div></div>","d2377b6f-b9e5-4949-8eeb-1e1c99a33f62","SECTION 9.4","NarrativeContent_102","Analysis of Exploratory Objective(s)","9.4"
"<div></div>","5cf9b196-9872-4a1f-81b5-48f9126042c7","SECTION 9.5","NarrativeContent_103","Safety Analyses","9.5"
"<div></div>","693c0126-564a-4f6e-8938-58c7587a4871","SECTION 9.6","NarrativeContent_104","Other Analyses","9.6"
"<div></div>","9c8fc4f7-8363-418d-9783-3e5219134713","SECTION 9.7","NarrativeContent_105","Interim Analyses","9.7"
"<div></div>","da4dade3-da8b-42df-b72b-1f29fb470bfd","SECTION 9.8","NarrativeContent_106","Sample Size Determination","9.8"
"<div></div>","bfe56c61-fb61-43f4-8b70-2bee90667ba1","SECTION 9.9","NarrativeContent_107","Protocol Deviations","9.9"
"<div></div>","0edd49f8-0e5c-40e5-b2d6-ea60c8d80d42","SECTION 10","NarrativeContent_108","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10"
"<div></div>","6d208a91-1d25-4da1-940c-4d128d4e8ba6","SECTION 10.1","NarrativeContent_109","Regulatory and Ethical Considerations","10.1"
"<div></div>","bb64d025-d975-4cc1-9d82-416b36a81b44","SECTION 10.2","NarrativeContent_110","Committees","10.2"
"<div></div>","606b5614-66da-41d4-a3ac-e04dda2600fa","SECTION 10.3","NarrativeContent_111","Informed Consent Process","10.3"
"<div></div>","aff0bd81-f7b7-4108-92c3-ed9b3f9bfa2d","SECTION 10.4","NarrativeContent_112","Data Protection","10.4"
"<div></div>","f2e17a9b-3bd6-40df-935e-8874efe824e8","SECTION 10.5","NarrativeContent_113","Early Site Closure or Trial Termination","10.5"
"<div></div>","311cbb59-6449-4f7f-b801-214d2317b9cd","SECTION 11","NarrativeContent_114","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11"
"<div></div>","5cedbb02-5171-41db-b104-1b1f207dead0","SECTION 11.1","NarrativeContent_115","Quality Tolerance Limits","11.1"
"<div></div>","35201178-ef56-4435-a64b-f5163b1b0891","SECTION 11.2","NarrativeContent_116","Data Quality Assurance","11.2"
"<div></div>","6ac4a639-75f9-44aa-97d7-b5d050694248","SECTION 11.3","NarrativeContent_117","Source Data","11.3"
"<div></div>","9a0a0a59-ea73-405c-bdef-e1c6c5774d0b","SECTION 12","NarrativeContent_118","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12"
"<div></div>","58d2139a-cfd1-4f72-9b18-7a3604a3ed74","SECTION 12.1","NarrativeContent_119","Further Details and Clarifications on the AE Definition","12.1"
"<div></div>","884f5ecc-ab36-48c6-90fe-bb3ccd40aa9b","SECTION 12.2","NarrativeContent_120","Further Details and Clarifications on the SAE Definition","12.2"
"<div></div>","950af1f5-7296-4549-adc3-adf8aba42898","SECTION 12.3","NarrativeContent_121","Severity","12.3"
"<div></div>","8c12f5f6-77aa-485a-96a1-d7cb0f787662","SECTION 12.4","NarrativeContent_122","Causality","12.4"
"<div></div>","73ef6ee6-d0db-4357-960b-c9d98715a3b5","SECTION 13","NarrativeContent_123","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13"
"<div></div>","781d124e-664e-4f41-a442-d558bf33f9f6","SECTION 13.1","NarrativeContent_124","Contraception and Pregnancy Testing","13.1"
"<div></div>","c1b615bb-66f7-4744-b8c5-fd6613a0865c","SECTION 13.1.1","NarrativeContent_125","Definitions Related to Childbearing Potential","13.1.1"
"<div></div>","17e3c024-cfad-42f7-acf7-00014f787a44","SECTION 13.1.2","NarrativeContent_126","Contraception","13.1.2"
"<div></div>","cb3d4ec8-5e19-4ab1-9650-a428146dfb6b","SECTION 13.1.3","NarrativeContent_127","Pregnancy Testing","13.1.3"
"<div></div>","eaf4cb2f-41da-4452-a7b9-d4555737f779","SECTION 13.2","NarrativeContent_128","Clinical Laboratory Tests","13.2"
"<div></div>","120f6c5a-1c31-41ca-91b5-773e50949ce6","SECTION 13.3","NarrativeContent_129","Country/Region-Specific Differences","13.3"
"<div></div>","57908903-c39e-4ae0-b766-a3ee2ccf0c3e","SECTION 13.4","NarrativeContent_130","Prior Protocol Amendments","13.4"
"<div></div>","405e6868-97cd-44c9-be74-657cc6c035da","SECTION 14","NarrativeContent_131","APPENDIX: GLOSSARY OF TERMS","14"
"<div></div>","bfefd744-545b-4fa1-91fc-13e01d05d8fb","SECTION 15","NarrativeContent_132","APPENDIX: REFERENCES","15"
