"label","uuid:ID","name","synonyms","reference","instanceType","id"
"Height","1621a2d2-448a-4321-bab1-a958d72c2e95","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6"
"Alanine Aminotransferase Concentration in Serum/Plasma","0ad5842f-8485-4867-acf6-992f826d56c5","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7"
"Albumin Presence in Urine","c6c660d4-7a6a-4af9-ae7c-fdfb84771b9b","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8"
"Alkaline Phosphatase Concentration in Serum/Plasma","a7243afb-adc6-498a-99c0-c5111bb2b583","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9"
"Aspartate Aminotransferase in Serum/Plasma","1fe19fd2-8106-4353-9d17-e2db4fc30c0c","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10"
"Creatinine Concentration in Urine","b776dc82-ecc4-462b-bb7b-89c02e427292","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11"
"Potassium Concentration in Urine","038f02a6-cd69-48b1-a59b-1b785036332d","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_12"
"Sodium Concentration in Urine","eaef8d5d-aa31-4cde-9bc3-fe9164fd37af","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_13"
"Systolic Blood Pressure","ae74cb2c-3970-44b1-a465-802f15f257e3","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_14"
"Diastolic Blood Pressure","a28d80a7-5f7e-4bfb-8a83-89ac377ec128","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_15"
"Heart Rate","172918d7-a37c-42aa-85ba-a738704f6791","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_16"
"Systolic Blood Pressure","43d3df65-b806-439a-8d87-cac679eee7c5","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_17"
"Diastolic Blood Pressure","cdb27689-048f-4ef7-b936-d585ed873743","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_18"
"Heart Rate","653d1b15-5c29-454d-b240-9ed5dd9a11b3","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_19"
