"name","bcPropertyEnabled","id","bcPropertyResponseCodes","label","uuid:ID","bcPropertyRequired","bcPropertyDatatype"
"Vital Signs Position","True","BiomedicalConceptProperty_26","[]","Vital Signs Position","dcb4a552-1fc4-468a-abb7-eb6c47ad2877","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_27","[]","Vital Signs Result","dae87c46-7ca7-46d5-9a8f-9f0281540589","True","decimal"
"Unit of Temperature","True","BiomedicalConceptProperty_28","","Unit of Temperature","a86eae8b-98ad-4541-8289-a86a15b0efe5","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_29","[]","Vital Signs Location","2052e077-3255-49c3-89a5-ba05418012f0","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_30","[]","Vital Signs Result","8a1135d5-eb4d-45ba-bb1a-7778a8138af9","True","decimal"
"Unit of Weight","True","BiomedicalConceptProperty_31","","Unit of Weight","cccecea5-6db6-4e16-bf43-de870c109d6e","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_32","[]","Vital Signs Result","26b2fbfd-de98-40da-a26a-2da6fddafae9","True","decimal"
"Unit of Height","True","BiomedicalConceptProperty_33","","Unit of Height","ebfbec0b-cd4c-407d-a6bf-864b8d53aedb","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_34","[]","Laboratory Test Result","67b35322-5789-4439-b361-4400e42c12cd","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_35","[]","Laboratory Test Fasting Status","72293b80-b30b-45da-95df-0de75f36feb0","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_36","[]","Unit of Catalytic Activity Concentration","692698c6-97ee-4e7f-a817-3c2b51f7b5be","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_37","[]","Biospecimen Type","eaf75fcb-d91c-4e45-b46f-63a33b3629f2","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_38","[]","Laboratory Test Result","696b7e1c-8990-4f14-a6db-060e703caa8b","True","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_39","[]","Laboratory Test Fasting Status","4caf42f3-f39e-4a35-bcd6-6ef7d7664eed","True","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_40","[]","Unit of Concentration","e4e84b06-8077-49b2-86ee-f66f74cc091b","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_41","[]","Biospecimen Type","e55a6c19-f972-4492-b076-5bb6535f3b8c","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_42","[]","Laboratory Test Result","4951302a-2307-4648-9011-ba2b8e81471a","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_43","[]","Laboratory Test Fasting Status","8386af43-124b-472a-83a2-0bb2750f4689","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_44","[]","Unit of Catalytic Activity Concentration","61e0a098-9ba2-4feb-be70-82e29df352d7","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_45","[]","Biospecimen Type","461e972c-ed38-41ae-8d34-01aa0b8e849c","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_46","[]","Laboratory Test Result","7b934008-533f-4db2-8063-36f8de8efef0","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_47","[]","Laboratory Test Fasting Status","e3e3ea3f-f2cf-40eb-8638-534f95ad33dd","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_48","[]","Unit of Catalytic Activity Concentration","652bf055-bd60-4eb5-9245-4387a4d2722e","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_49","[]","Biospecimen Type","4ad7b071-e6c7-4f5b-9b9d-eb1937f259ec","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_50","[]","Laboratory Test Result","2e503528-771c-4ee8-b1b0-0cddc383c4a5","True","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_51","[]","Laboratory Test Fasting Status","a62effc5-f88d-474a-bcb3-c8ab12398ec7","True","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_52","[]","Unit of Concentration","7e884fa2-ec7b-438a-a66b-fb97d05b5e8e","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_53","[]","Biospecimen Type","c008aadc-e70b-42f5-b4ec-83dfdd3326ff","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_54","[]","Laboratory Test Result","77fd97a2-73af-4a15-b3c2-b9fcff971c84","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_55","[]","Laboratory Test Fasting Status","462af77a-e528-4404-94e2-792bcc5f64e8","True","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_56","[]","Molarity Unit","436c1b07-2624-4b93-a29b-7c54c099f403","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_57","[]","Biospecimen Type","a7ce7a75-76e1-4f31-a0af-5f69e7385d95","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_58","[]","Laboratory Test Result","0455a941-a1b7-4276-8acb-f5f28f2abdb0","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_59","[]","Laboratory Test Fasting Status","63d9f315-d0c8-4082-b36a-3038a1d69463","True","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_60","[]","Molarity Unit","9bb4cc56-699f-48e1-9adc-b82645f8f914","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_61","[]","Biospecimen Type","37a18bf2-33c2-449e-a795-536bded41944","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_62","[]","Vital Signs Result","1aad1fdb-693d-4357-9b35-a13153b4e12b","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_63","","Unit of Pressure","6fe28015-cf40-40d2-849c-8ea28aca4d6a","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_64","[]","Vital Signs Location","80386224-c595-4e8d-8388-c7dec705e80e","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_65","[]","Vital Signs Laterality","e329c97f-6910-4f14-9e5a-5a71975f91c7","True","string"
"Test Method","True","BiomedicalConceptProperty_66","[]","Test Method","f5e246b8-75e5-4fa3-ae6c-f6178a3938db","True","string"
"Vital Signs Position","True","BiomedicalConceptProperty_67","[]","Vital Signs Position","4749dd8f-931a-43d6-a65e-cf17be936b66","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_68","[]","Vital Signs Result","41ecfac6-b3c4-418a-b47c-c34d37cab180","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_69","","Unit of Pressure","733c2ed6-c3e4-4bd8-8697-ac0cde003617","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_70","[]","Vital Signs Location","53f6e2e4-438a-4212-a570-0d09de205d6b","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_71","[]","Vital Signs Laterality","62762681-e446-4de2-9361-1a857c5946b7","True","string"
"Test Method","True","BiomedicalConceptProperty_72","[]","Test Method","b0820dbd-6b08-4c63-8392-664fc958319a","True","string"
"Vital Signs Position","True","BiomedicalConceptProperty_73","[]","Vital Signs Position","e556e0f5-c3a2-481d-bf98-ebfa8a0fd694","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_74","[]","Vital Signs Result","f1249256-77d3-45c0-b7c1-e54f1d3e518f","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_75","","Unit of Pressure","59c5abe4-a73a-4ab3-bd14-2d994c24a900","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_76","[]","Vital Signs Location","7a590a15-0f59-44a8-8104-2ca519daf0d1","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_77","[]","Vital Signs Laterality","8f7b46b3-63fb-4edd-97de-29b80dee7f33","True","string"
"Test Method","True","BiomedicalConceptProperty_78","[]","Test Method","079fb883-bd99-430a-be5e-7b94a370d015","True","string"
"Vital Signs Position","True","BiomedicalConceptProperty_79","[]","Vital Signs Position","84bee98e-af2c-45dc-9b06-dba8b5497ba4","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_80","[]","Vital Signs Result","d1bc4c5f-26e1-42ab-b8fc-3744381961ff","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_81","","Unit of Pressure","10c03457-db14-4022-ab31-659b647daf5f","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_82","[]","Vital Signs Location","131d52fb-8bbd-4414-aeec-b0f13ee41524","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_83","[]","Vital Signs Laterality","b671f8fb-b589-4fef-8d2c-c6cd27e625ab","True","string"
"Test Method","True","BiomedicalConceptProperty_84","[]","Test Method","b48dd6df-ee84-48dd-9629-86c6d53b4643","True","string"
"Vital Signs Position","True","BiomedicalConceptProperty_85","[]","Vital Signs Position","a64319f4-11d0-4214-ab28-dc92e950c17e","True","string"
