"code","codeSystemVersion","id","uuid:ID","decode","codeSystem"
"C25716","2023-09-29","Code_78","dbc8c549-5fbf-4c79-97ce-3151549d101b","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_79","9635a562-16bd-481c-ab72-dd4bf13efee3","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_80","8602cfbd-1230-4162-b651-58acca45677b","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_81","31143785-32da-48d2-b109-51951036330b","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_82","bba75987-b494-4722-b325-0886c09573b4","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_83","7cdda35f-cae8-466f-93c3-cab01c4eea01","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_84","f5e19562-7276-49cb-89c2-e511482026c8","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_85","e4275dbd-3218-4d89-8391-076878e215aa","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_86","4a3d359f-3ab7-41e8-84d5-1f5798709f55","In Person","http://www.cdisc.org"
"C171537","2023-09-29","Code_87","1aaf860c-78cd-45ba-9487-235877cee8c4","Telephone Call","http://www.cdisc.org"
"C25716","2023-09-29","Code_88","f651fd79-7de4-446e-9010-fc612dfcab52","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_89","9587c7ee-b394-4752-9be2-42f277410894","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_90","48d0d332-e5f8-4fbe-9dcd-261018fdcd98","In Person","http://www.cdisc.org"
"C171537","2023-09-29","Code_91","eb660a37-cd20-4959-a36c-d8115f59abbe","Telephone Call","http://www.cdisc.org"
"C25716","2023-09-29","Code_92","5fff6acd-2015-4237-adc6-1227fbec29d5","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_93","e1480018-b883-4b43-b41f-f1c13b1686b0","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_94","996cf2a0-53c7-4243-92fb-bae6ad9240f9","In Person","http://www.cdisc.org"
"C171537","2023-09-29","Code_95","a3fe887d-d736-4c17-bea5-013dc68374a1","Telephone Call","http://www.cdisc.org"
"C25716","2023-09-29","Code_96","f15a3389-b777-4a39-8917-85d6d1fb54b5","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_97","71631918-3c86-494f-89d1-5b6a94b42362","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_98","88f3de91-ba8d-4131-8f45-8e430e9acecd","In Person","http://www.cdisc.org"
"C171537","2023-09-29","Code_99","1ec8e82d-93a9-47fc-ac3a-e9795c1146a1","Telephone Call","http://www.cdisc.org"
"C25716","2023-09-29","Code_100","22ec9f33-6acc-4657-9da1-4e94f3c882bb","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_101","f7d880ec-3228-4003-a4fd-9c977b667f3e","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_102","bb6dff3e-f21c-4e3b-a87a-6b277da606a2","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_103","ef820e7d-e621-48e5-82d3-cdbc3cff4691","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_104","a6c92878-7349-4de6-8c14-4ab72f0fce20","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_105","4381c7f0-123d-4f82-8f18-932774078a0b","In Person","http://www.cdisc.org"
"383371000119108","January 31, 2018","Code_63","29e87e8f-5d49-46cb-937f-62ce88a59fa0","CT of head without contrast","SNOMED"
"123","12","Code_64","5300c12a-6273-42f5-8151-d2a3d5acaf74","Supine for 5 minutes","SPONSOR"
"124","12","Code_65","4ef6ab88-1ae4-41f5-9c4f-66d3b44663f4","Standingfor 1-3 minutes","SPONSOR"
"C173522","","Code_244","7ba72dd6-0ff0-41c2-b31a-7cf76dfd67cf","Vital Signs Result","NCI Thesaurus"
"C42537","2023-09-29","Code_245","b89837d3-f141-4e4a-8594-bf36f82e4dd9","Kelvin","http://www.cdisc.org"
"C44276","","Code_246","5f511fae-afef-403b-b7f0-6d966b45c415","Unit of Temperature","NCI Thesaurus"
"C83088","","Code_247","de2c0143-cf7a-461b-8588-45acb7bfb42d","Vital Signs Location","NCI Thesaurus"
"C174446","","Code_243","6cb81d30-0816-48b0-b7c1-d9e23c5e10cc","Body Temperature","NCI Thesaurus"
"C173522","","Code_249","f7aac31f-8ffe-4b0c-a075-365bea140f59","Vital Signs Result","NCI Thesaurus"
"C28252","2023-09-29","Code_250","57fe0040-6351-4e55-a0ca-067f51818b01","Kilogram","http://www.cdisc.org"
"C48155","2023-09-29","Code_251","980376e2-df0b-460e-9b4f-d7b98133b469","Gram","http://www.cdisc.org"
"C48531","2023-09-29","Code_252","d0e07a14-71bf-4f4a-a88c-e7c4e25e1f53","Pound","http://www.cdisc.org"
"C48208","","Code_253","2f69f0db-aee3-47c9-9352-de31e461979d","Unit of Weight","NCI Thesaurus"
"C81328","","Code_248","1fc48445-e786-4189-8b33-c26e10f2ab2f","Body Weight","NCI Thesaurus"
"C173522","","Code_255","87ad1f0a-c25a-4069-88d8-6f0ab991fe12","Vital Signs Result","NCI Thesaurus"
"C49668","2023-09-29","Code_256","0b6f17ec-3037-418d-b1e5-771e86c26e5b","Centimeter","http://www.cdisc.org"
"C48500","2023-09-29","Code_257","a22b2de6-56b7-4db1-bf26-c2ad0d8b6b82","Inch","http://www.cdisc.org"
"C28251","2023-09-29","Code_258","887a69b0-33ea-4f5a-afa0-9444e44acadd","Millimeter","http://www.cdisc.org"
"C41139","2023-09-29","Code_259","4c7f7686-d0bb-43b9-b1bc-db9525f6865d","Meter","http://www.cdisc.org"
"C168688","","Code_260","720c7af0-6209-4bff-9567-3d81e0653bca","Unit of Height","NCI Thesaurus"
"C164634","","Code_254","9ec79c6d-5ca9-4dad-ae4b-b3ae49126c75","Body Height","NCI Thesaurus"
"C36292","","Code_262","bc512f76-83bc-40ba-94c9-be26431cb5e0","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_263","9de83eea-bf8e-4297-beff-f35f0774a3e9","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_264","4c889ec2-5b47-429a-ac1a-97ac190c3ff9","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_265","dc63535c-e38b-4120-87f1-87d9e11cfcf9","Biospecimen Type","NCI Thesaurus"
"C64433","","Code_261","03bfc41d-ab51-43f5-a857-f8a20d6c655c","Alanine Aminotransferase Measurement","NCI Thesaurus"
"C36292","","Code_267","cadc0a8f-95b6-431d-b8cb-5b277fb6fd38","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_268","6dd40efa-f0ed-4141-be2c-19bc402fb6b9","Laboratory Test Fasting Status","NCI Thesaurus"
"C48207","","Code_269","3228d8ca-03ea-4076-9427-e086c3c94512","Unit of Concentration","NCI Thesaurus"
"C70713","","Code_270","9e49c2d1-47de-48f6-990d-c11d196c27a2","Biospecimen Type","NCI Thesaurus"
"C64431","","Code_266","66379d10-6b8d-451b-8781-d4e25d62c886","Albumin Measurement","NCI Thesaurus"
"C36292","","Code_272","0ea34188-d06a-4bab-99f1-90bab7cba2e8","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_273","81b52d66-60b8-4fc7-b330-f35415a401a8","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_274","bb22d8a0-8d6b-4b6e-809b-ae7032a326e4","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_275","f8baf0a8-591c-451e-9034-7835b98631e3","Biospecimen Type","NCI Thesaurus"
"C64432","","Code_271","7fc19a8d-53d7-4716-bead-23135c86f9ef","Alkaline Phosphatase Measurement","NCI Thesaurus"
"C36292","","Code_277","84b4db4a-19c5-46bb-89b1-31af138ae261","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_278","d546a936-9605-4d6e-8dfd-dfef2346e612","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_279","32c9dd1a-0f39-428c-9c57-ae826c00639f","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_280","641d17b0-2c77-4873-8a2f-b90dc58b890b","Biospecimen Type","NCI Thesaurus"
"C64467","","Code_276","dd53c316-de26-4746-917f-bad2596055f6","Aspartate Aminotransferase Measurement","NCI Thesaurus"
"C36292","","Code_282","4a559583-4241-4d11-b4a8-0c937394d172","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_283","99715311-7479-438a-8a76-12397fe89a5f","Laboratory Test Fasting Status","NCI Thesaurus"
"C48207","","Code_284","c5283b46-ef67-4ac6-8bb1-238a58dbe848","Unit of Concentration","NCI Thesaurus"
"C70713","","Code_285","5de52a71-1b16-42ee-ae3b-a915bbddf5ad","Biospecimen Type","NCI Thesaurus"
"C64547","","Code_281","194ec9e4-5c6f-4973-ba17-1246c78ce755","Creatinine Measurement","NCI Thesaurus"
"C36292","","Code_287","323c9bdb-ef98-4bc8-ba4e-a010a2a1f3c5","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_288","c2dbe5db-d309-4185-9a6e-a087ee433121","Laboratory Test Fasting Status","NCI Thesaurus"
"C64567","","Code_289","b8ef6288-e105-4545-ae8f-c91a3183785f","Molarity Unit","NCI Thesaurus"
"C70713","","Code_290","e3f0ab42-5b25-406f-a07f-5f25b465fe13","Biospecimen Type","NCI Thesaurus"
"C64853","","Code_286","9cfcc779-aedb-4260-9433-e34ecc28c3b6","Potassium Measurement","NCI Thesaurus"
"C36292","","Code_292","e177e57f-208f-4dd5-b220-41f9b7e8ee88","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_293","2add1ff5-166a-46d4-a3b7-47356b8888a0","Laboratory Test Fasting Status","NCI Thesaurus"
"C64567","","Code_294","dee89b7f-5c26-4a5f-86f4-883c9f7f4c80","Molarity Unit","NCI Thesaurus"
"C70713","","Code_295","3ed3b07c-2fc9-4f85-9977-d8b56ed8842e","Biospecimen Type","NCI Thesaurus"
"C64809","","Code_291","c7667633-1925-4c53-b03e-5fdef75f8282","Sodium Measurement","NCI Thesaurus"
"C78541","","Code_126","253a33bd-1b4a-4028-a746-cab7593bd08d","Adverse Event Verbatim Description","NCI Thesaurus"
"C83344","","Code_127","4b976d9a-e2d5-45b5-b2df-59a34f6421fd","Adverse Event Dictionary Derived Term","NCI Thesaurus"
"C83198","","Code_128","65687afa-9650-4fd9-a5b6-aa3b4230212b","Adverse Event Category","NCI Thesaurus"
"C83212","","Code_129","2506e84d-9f04-41c9-b299-9d2ab2f18162","Adverse Event Subcategory","NCI Thesaurus"
"C87840","","Code_130","3d244ff1-3877-4e4a-a0e8-24513d4663a9","Adverse Event Pre-specified","NCI Thesaurus"
"C53253","","Code_131","a6e7e001-667e-452a-ad26-fdb1e355bcce","Severity of Adverse Event","NCI Thesaurus"
"C78605","","Code_132","48e9191a-bf1e-4bc8-ad5d-73f37068501f","Adverse Event Toxicity Grade","NCI Thesaurus"
"C53252","","Code_133","18b2095f-4660-4553-b8be-10927dcfab99","Seriousness of Adverse Event","NCI Thesaurus"
"C17998","2023-09-29","Code_134","3394e4e6-4184-49d7-a77d-a83573e88b04","Unknown","http://www.cdisc.org"
"C83013","","Code_135","f5bf6c09-9bdd-4aa9-9f87-38ef841e87ab","Adverse Event Action Taken with Study Treatment","NCI Thesaurus"
"C41358","","Code_136","aac13b45-b307-4d69-b27e-28215b3f7302","Adverse Event Attribution to Product or Procedure","NCI Thesaurus"
"C83208","","Code_137","a5199b9e-a8c7-42c7-9af4-e799b78b3993","Adverse Event Pattern","NCI Thesaurus"
"C17998","2023-09-29","Code_138","4f644b07-7942-4abe-8cbf-40b031d39fb4","Unknown","http://www.cdisc.org"
"C49489","","Code_139","1eb40f4c-ebd7-4f00-a7b1-4c0d4a0f5235","Adverse Event Outcome","NCI Thesaurus"
"C83215","","Code_140","c7c33d38-fc01-4822-8d0c-ef949afa50aa","Adverse Event Start Date Time","NCI Thesaurus"
"C83201","","Code_141","bb838956-96fb-4b10-866c-8eaf59e976b1","Adverse Event End Date Time","NCI Thesaurus"
"C41331","","Code_125","12e02e31-8e26-4027-8844-61120b1590bf","Adverse Event","NCI Thesaurus"
"C173522","","Code_143","6a38faf5-3ee3-46a2-a9b9-0d8b895ee61f","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_144","ff588a1a-0d52-4315-b9ad-52aa04cbb45e","Pascal","http://www.cdisc.org"
"C49669","","Code_145","9b800bf7-7436-4a41-9259-75b178816f5b","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_146","d8d367cd-5dd3-400a-a6d3-4555cffd293e","Vital Signs Location","NCI Thesaurus"
"C123975","","Code_147","82529c5b-3c98-47f8-8e14-28632ec54647","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_148","51a22543-8193-4ed9-876e-cbd7d6107e20","Test Method","NCI Thesaurus"
"C83114","","Code_149","0c82f693-2164-4e91-a714-e0dae02c7f0d","Vital Signs Position","NCI Thesaurus"
"C25298","","Code_142","a63ff062-fc93-46eb-ba51-f91201e601d0","Systolic Blood Pressure","NCI Thesaurus"
"C173522","","Code_151","ed5d970c-b744-480f-afee-a4b4564f0e4a","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_152","c7c10001-383e-4c2c-9795-a48c19dd9760","Pascal","http://www.cdisc.org"
"C49669","","Code_153","a683f0f3-59f8-4f1f-a991-32112d72c62f","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_154","7e4afb73-e966-4b6f-9dcc-b47b9ba6b657","Vital Signs Location","NCI Thesaurus"
"C123975","","Code_155","8972a2f5-af76-454d-b64a-43fe8906a517","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_156","f340acfb-d101-44e7-b210-f3478cb23af5","Test Method","NCI Thesaurus"
"C83114","","Code_157","bb259e0d-bb2e-4083-81b8-c2347fd9b662","Vital Signs Position","NCI Thesaurus"
"C25299","","Code_150","88e3150f-8004-4342-9b08-e5663b77c592","Diastolic Blood Pressure","NCI Thesaurus"
"C173522","","Code_159","0423ac39-3eff-4906-8949-25a1a35c32a9","Vital Signs Result","NCI Thesaurus"
"C42537","2023-09-29","Code_160","fc140394-742a-4c5f-968d-42a21058b999","Kelvin","http://www.cdisc.org"
"C44276","","Code_161","bba88e01-230c-40db-aaf1-5d03955131a4","Unit of Temperature","NCI Thesaurus"
"C83088","","Code_162","3f8f67ed-332e-47ab-9e78-e97afe1ed96b","Vital Signs Location","NCI Thesaurus"
"C174446","","Code_158","c022e47f-e8fa-4404-85c1-db842c6c244e","Body Temperature","NCI Thesaurus"
"C173522","","Code_164","a5508384-ca63-4a15-a4da-58fc0e8c2825","Vital Signs Result","NCI Thesaurus"
"C28252","2023-09-29","Code_165","4124a5cc-dc1d-47cf-aed3-73285a9b97d2","Kilogram","http://www.cdisc.org"
"C48155","2023-09-29","Code_166","a512fda1-8e46-4961-8bc9-68ea455c63c6","Gram","http://www.cdisc.org"
"C48531","2023-09-29","Code_167","1ac61147-e13d-4ac9-8aa7-8f57c8e816c2","Pound","http://www.cdisc.org"
"C48208","","Code_168","d8096cb7-c0b6-42eb-807e-58a5bcf726ac","Unit of Weight","NCI Thesaurus"
"C81328","","Code_163","f66963d3-52de-4233-a617-7b542d69ebf3","Body Weight","NCI Thesaurus"
"C173522","","Code_170","8ffcb903-5201-41f2-921d-b240c1ed1c91","Vital Signs Result","NCI Thesaurus"
"C49668","2023-09-29","Code_171","9b5eb83c-0275-4f42-9fa4-089335972b2c","Centimeter","http://www.cdisc.org"
"C48500","2023-09-29","Code_172","2aacdc26-e067-4a58-ad8f-4ead42771798","Inch","http://www.cdisc.org"
"C28251","2023-09-29","Code_173","ea72e20d-292d-45bf-bee1-33da9e4afa2d","Millimeter","http://www.cdisc.org"
"C41139","2023-09-29","Code_174","5c772721-8114-4ffd-8b14-e3396412f505","Meter","http://www.cdisc.org"
"C168688","","Code_175","a095a520-f225-444c-8041-bd828fc79118","Unit of Height","NCI Thesaurus"
"C164634","","Code_169","78b4a935-927c-40fa-ad6b-6af475c7d6a4","Body Height","NCI Thesaurus"
"C36292","","Code_177","e2ba9007-01ee-4f35-863b-59d3e852cc2e","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_178","c8886f33-c71b-4ff3-b817-0ffb05cd269a","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_179","3177dd8c-f128-4ad8-b1a5-35d90f7f0ab2","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_180","ca6c7366-15fc-4644-a7c4-6f7c753f0444","Biospecimen Type","NCI Thesaurus"
"C64433","","Code_176","b904943c-0792-48a9-a63e-434a017b445d","Alanine Aminotransferase Measurement","NCI Thesaurus"
"C36292","","Code_182","a4de8282-3a09-4831-9ec5-74fcdcf0db35","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_183","c373933e-0916-4403-991d-bdf19cbf13c5","Laboratory Test Fasting Status","NCI Thesaurus"
"C48207","","Code_184","13237d52-a91b-4f84-869a-997c925a0b91","Unit of Concentration","NCI Thesaurus"
"C70713","","Code_185","0a996a08-4bc0-49c7-ad98-1a18b1b0f0cd","Biospecimen Type","NCI Thesaurus"
"C64431","","Code_181","4fada75a-db47-4a93-b481-be0f40ab2201","Albumin Measurement","NCI Thesaurus"
"C36292","","Code_187","3a5d4651-24c6-4bde-bd45-8932965e9f67","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_188","8426ce61-9003-4ea3-b0a8-78b20b371baa","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_189","e70e551d-64c9-4dc8-aad9-0a7290b2f993","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_190","743aafb0-b192-44ca-98b4-4417a257c6fc","Biospecimen Type","NCI Thesaurus"
"C64432","","Code_186","f0bd10dd-09bd-4ea2-854d-150435715b26","Alkaline Phosphatase Measurement","NCI Thesaurus"
"C36292","","Code_192","74d39966-1372-4c5f-afd1-79f3f4c8d119","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_193","36bb1647-cae6-4188-995a-43215c1e1395","Laboratory Test Fasting Status","NCI Thesaurus"
"C67365","","Code_194","c46fb123-21d5-4d85-9488-1971443d6373","Unit of Catalytic Activity Concentration","NCI Thesaurus"
"C70713","","Code_195","81b6a25e-e041-42ff-a489-b4f68037f28d","Biospecimen Type","NCI Thesaurus"
"C64467","","Code_191","b3d5a46b-c850-4683-a1ad-5cd19e3ceace","Aspartate Aminotransferase Measurement","NCI Thesaurus"
"C36292","","Code_197","61735a2d-5ebb-4c0b-8e19-76397b8ee881","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_198","fd5beafa-cfa1-4899-a314-ee914f6e604a","Laboratory Test Fasting Status","NCI Thesaurus"
"C48207","","Code_199","4b6417a0-3311-44fb-9902-50a8d9b46c27","Unit of Concentration","NCI Thesaurus"
"C70713","","Code_200","2e129173-0848-4cdd-acd1-23ded4314fe6","Biospecimen Type","NCI Thesaurus"
"C64547","","Code_196","26295df8-a040-4126-9bf3-c56a019623f1","Creatinine Measurement","NCI Thesaurus"
"C36292","","Code_202","cc885734-8bac-4e09-983f-bb6d2dfc1f32","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_203","331f2837-b354-4e57-bd5d-ae1057d4175d","Laboratory Test Fasting Status","NCI Thesaurus"
"C64567","","Code_204","2616576c-fca2-4560-8a4f-f2b760da8a7a","Molarity Unit","NCI Thesaurus"
"C70713","","Code_205","e0738b38-b104-4301-b3be-a8f5f10b938c","Biospecimen Type","NCI Thesaurus"
"C64853","","Code_201","74dbb19c-ddf2-4226-b683-50418e8f0280","Potassium Measurement","NCI Thesaurus"
"C36292","","Code_207","ea2c4fa2-2c4d-420f-b8b7-cd0eeb6b3413","Laboratory Test Result","NCI Thesaurus"
"C83309","","Code_208","74cd1966-0502-4a37-ad37-1e00ad02dbf7","Laboratory Test Fasting Status","NCI Thesaurus"
"C64567","","Code_209","fa674400-6e30-4ed5-8e4d-970497efecd4","Molarity Unit","NCI Thesaurus"
"C70713","","Code_210","1f6929ce-f4b4-4fe9-bdb8-487163d2db68","Biospecimen Type","NCI Thesaurus"
"C64809","","Code_206","a3bf21a3-e562-40fb-ac33-8acb24628575","Sodium Measurement","NCI Thesaurus"
"C173522","","Code_212","d09f2a2b-741a-4ea1-b61b-cc547356a0aa","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_213","732b2973-7a65-4606-8764-f0b46de3e764","Pascal","http://www.cdisc.org"
"C49669","","Code_214","a1c12ae5-0f8b-4471-8fa8-a13eb3fcc1df","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_215","e689e526-fbbb-45c1-a3a7-4715dd74a01a","Vital Signs Location","NCI Thesaurus"
"C123975","","Code_216","efa4d5ac-e5ab-4f1e-ba46-ea7caa678ab6","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_217","be43c28f-0d74-4beb-b0b9-7bd6638eaf72","Test Method","NCI Thesaurus"
"C83114","","Code_218","7846f07c-bbfd-4234-bfdf-0096a3320b11","Vital Signs Position","NCI Thesaurus"
"C25298","","Code_211","b1118d02-ab72-4bae-9dd9-01d23010d2ab","Systolic Blood Pressure","NCI Thesaurus"
"C173522","","Code_220","b8b768fe-7b24-4483-8fbe-2b3d8e7a5f41","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_221","8d24a4fc-95e4-48f1-8039-a4c5fb89ca22","Pascal","http://www.cdisc.org"
"C49669","","Code_222","800b1df6-e26e-47af-9459-a6fe6ef7ad6e","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_223","09cb474c-6299-4adc-8ace-cde57ea507a2","Vital Signs Location","NCI Thesaurus"
"C123975","","Code_224","7ab9b915-53a4-431f-9185-080af419e6e3","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_225","be094e6c-2e76-42d2-a557-4c00d5b81ae7","Test Method","NCI Thesaurus"
"C83114","","Code_226","e471b20f-b96c-49f8-90b4-b97846876967","Vital Signs Position","NCI Thesaurus"
"C25299","","Code_219","65f49d0c-9290-451a-bfe6-ddae67167e00","Diastolic Blood Pressure","NCI Thesaurus"
"C173522","","Code_228","2af12506-b5db-462f-87c4-9cbdb1cf4177","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_229","4f0fd9d1-e18a-44c0-8a71-91f7fa3e4e0c","Pascal","http://www.cdisc.org"
"C49669","","Code_230","b4b9170e-90da-4431-9b01-8aa67a27c388","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_231","a34e81c8-0d22-4fc7-8f6a-90ba54c8f15d","Vital Signs Location","NCI Thesaurus"
"C123975","","Code_232","4479f445-76a0-485f-bf63-d6e920c531c8","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_233","7f774c9c-5123-4ea3-97db-77329f28f234","Test Method","NCI Thesaurus"
"C83114","","Code_234","03bdf8de-20a8-45cf-95fa-d1052c53e9bc","Vital Signs Position","NCI Thesaurus"
"C25298","","Code_227","b8d2d0d3-8bf4-493c-97f1-f21f320e4341","Systolic Blood Pressure","NCI Thesaurus"
"C173522","","Code_236","7ed62d6e-d2de-4094-8655-415fca58322a","Vital Signs Result","NCI Thesaurus"
"C42547","2023-09-29","Code_237","31ed031a-68a8-497f-822a-051796e01612","Pascal","http://www.cdisc.org"
"C49669","","Code_238","7cf84696-9ea9-40ad-9fbd-1f7a89729162","Unit of Pressure","NCI Thesaurus"
"C83088","","Code_239","7491558f-ced4-4937-ae06-c8f99acce28b","Vital Signs Location","NCI Thesaurus"
