"name","text","id","uuid:ID","sectionTitle","sectionNumber"
"SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","2cb94c20-d7f8-4462-8ec0-18d1f523475a","Selection of Trial Population","5.1"
"SECTION 5.2","<div></div>","NarrativeContent_23","27c4bfdd-ffa2-4ac6-bdc3-8ba8ce11793f","Rationale for Trial Population","5.2"
"SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","3bfd4239-659e-4849-b62f-674e1fd6d733","Inclusion Criteria","5.3"
"SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","49f20a9e-2f33-4e64-aab6-723bbc81ef60","Exclusion Criteria","5.4"
"SECTION 5.5","<div></div>","NarrativeContent_26","dafc225f-88e2-4efb-9ed0-51274dd4e5b5","Lifestyle Considerations","5.5"
"SECTION 5.5.1","<div></div>","NarrativeContent_27","92e704c9-bab2-4e9d-9566-fff5ec3d433e","Meals and Dietary Restrictions","5.5.1"
"SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent_28","e85c65c9-1ac2-4526-a417-16c65ba225a0","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2"
"SECTION 5.5.3","<div></div>","NarrativeContent_29","e5ce64b0-932c-4f25-83be-f84504d93f73","Physical Activity","5.5.3"
"SECTION 5.5.4","<div></div>","NarrativeContent_30","d861c2eb-5293-4b5f-8868-c4c130574aee","Other Activity","5.5.4"
"SECTION 5.6","<div></div>","NarrativeContent_31","dbdb6f1c-e856-4bb7-a7c3-18696cd72872","Screen Failures","5.6"
"SECTION 6","<div></div>","NarrativeContent_32","92232ef9-f3e4-4c21-b24d-d2f49a42d98b","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6"
"SECTION 6.1","<div></div>","NarrativeContent_33","405e51c1-3cce-406b-bb77-17934e04b7c0","Description of Trial Intervention","6.1"
"SECTION 6.2","<div></div>","NarrativeContent_34","3eb11ff8-8e20-43b1-b346-678091545030","Rationale for Trial Intervention","6.2"
"SECTION 6.3","<div></div>","NarrativeContent_35","6f21ccce-8c10-4894-84fe-465744cbf177","Dosing and Administration","6.3"
"SECTION 6.3.1","<div></div>","NarrativeContent_36","a5cc4ce6-917c-4c1e-9e58-10ff0c7395b3","Trial Intervention Dose Modification","6.3.1"
"SECTION 6.4","<div></div>","NarrativeContent_37","f90d97f3-03b3-4ff6-bbe8-04812a453f52","Treatment of Overdose","6.4"
"SECTION 6.5","<div></div>","NarrativeContent_38","55a91e3c-f7cb-4785-bef4-209712b08efc","Preparation, Handling, Storage and Accountability","6.5"
"SECTION 6.5.1","<div></div>","NarrativeContent_39","6cba01c3-6ec7-42ef-bef7-63977613bd4d","Preparation of Trial Intervention","6.5.1"
"SECTION 6.5.2","<div></div>","NarrativeContent_40","9f6f025a-a91e-4a6c-8e86-9ae62f17ffeb","Handling and Storage of Trial Intervention","6.5.2"
"SECTION 6.5.3","<div></div>","NarrativeContent_41","f5431de7-22b6-45c1-9b8d-f5389becc844","Accountability of Trial Intervention","6.5.3"
"SECTION 6.6","<div></div>","NarrativeContent_42","44a7f2f6-c561-4402-95e4-2ff753a71bbd","Participant Assignment, Randomisation and Blinding","6.6"
"SECTION 6.6.1","<div></div>","NarrativeContent_43","c55713a9-fc87-456d-91e5-f4a0c1454b86","Participant Assignment","6.6.1"
"SECTION 6.6.2","<div></div>","NarrativeContent_44","fdb34473-2240-4db9-83fe-4e846bc8a7a8","Randomisation","6.6.2"
"SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","07e7656a-42fb-4399-a226-500bdb58cb6f","Blinding and Unblinding","6.6.3"
"SECTION 6.7","<div></div>","NarrativeContent_46","5e55b4e6-eec6-4db6-9f32-22609e35c230","Trial Intervention Compliance","6.7"
"SECTION 6.8","<div></div>","NarrativeContent_47","8bfb0a22-8a6e-4019-a416-a5dccfaed928","Concomitant Therapy","6.8"
"SECTION 6.8.1","<div></div>","NarrativeContent_48","f7038f01-9b2b-4912-ba3a-d6dd6ba9c92f","Prohibited Concomitant Therapy","6.8.1"
"SECTION 6.8.2","<div></div>","NarrativeContent_49","1f51abb0-aec0-4636-90a0-fb933bb4ef1f","Permitted Concomitant Therapy","6.8.2"
"SECTION 6.8.3","<div></div>","NarrativeContent_50","faa78d4f-3f13-4040-8947-d21c8b35e17a","Rescue Therapy","6.8.3"
"SECTION 6.8.4","<div></div>","NarrativeContent_51","f8ee6b4b-40f0-44a7-aa3e-7289eb02712f","Other Therapy","6.8.4"
"SECTION 7","<div></div>","NarrativeContent_52","58469434-7fff-4c11-9fd2-13dc5e84f29b","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7"
"SECTION 7.1","<div></div>","NarrativeContent_53","f0c2a2c2-f0f8-4c28-b2fb-b093f7e72038","Discontinuation of Trial Intervention","7.1"
"SECTION 7.1.1","<div></div>","NarrativeContent_54","657ae638-76fb-4932-862e-ad8b1818fb57","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1"
"SECTION 7.1.2","<div></div>","NarrativeContent_55","b191ccc0-3930-46b9-b5a2-0665c798e243","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2"
"SECTION 7.1.3","<div></div>","NarrativeContent_56","df6d099c-327b-464d-98d4-338eef64bc5c","Rechallenge","7.1.3"
"SECTION 7.2","<div></div>","NarrativeContent_57","ff41a2e9-22da-421d-86d7-80b122d8cbb5","Participant Withdrawal from the Trial","7.2"
"SECTION 7.3","<div></div>","NarrativeContent_58","f55a831f-86ea-4113-be13-7a34d082b02f","Lost to Follow-Up","7.3"
"SECTION 7.4","<div></div>","NarrativeContent_59","974c634e-9140-4230-8753-10415fb389e8","Trial Stopping Rules","7.4"
"SECTION 8","<div></div>","NarrativeContent_60","44494ef1-89b6-4fb2-8735-bd370a428309","TRIAL ASSESSMENTS AND PROCEDURES","8"
"SECTION 8.1","<div></div>","NarrativeContent_61","c3f39d70-ebf5-4767-8d3d-c662f78e2f15","Screening/Baseline Assessments and Procedures","8.1"
"SECTION 8.2","<div></div>","NarrativeContent_62","394276c4-e058-45fb-ad6f-c06f594f2428","Efficacy Assessments and Procedures","8.2"
"SECTION 8.3","<div></div>","NarrativeContent_63","65fd48ff-3e97-4101-bdd9-069d8f4fdc5f","Safety Assessments and Procedures","8.3"
"SECTION 8.3.1","<div></div>","NarrativeContent_64","d7b9891e-7d36-4804-95ff-1969fc57fab6","Physical Examination","8.3.1"
"SECTION 8.3.2","<div></div>","NarrativeContent_65","24ddddb1-fa48-4118-ae68-cbc4b96c7257","Vital Signs","8.3.2"
"SECTION 8.3.3","<div></div>","NarrativeContent_66","25e245c0-8089-4008-be52-e91ec3ca6e49","Electrocardiograms","8.3.3"
"SECTION 8.3.4","<div></div>","NarrativeContent_67","453b3967-11c2-4853-a117-07ad916ee9b3","Clinical Laboratory Assessments","8.3.4"
"SECTION 8.3.5","<div></div>","NarrativeContent_68","362bc215-8ed3-46cf-90a4-b8f0f386722e","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5"
"SECTION 8.4","<div></div>","NarrativeContent_69","aa39199b-b0e7-4123-9ece-c4620a18af12","Adverse Events and Serious Adverse Events","8.4"
"SECTION 8.4.1","<div></div>","NarrativeContent_70","fa0b0fd0-ca12-4708-bdde-19b2ab01f88d","Definitions of AE and SAE","8.4.1"
"SECTION 8.4.2","<div></div>","NarrativeContent_71","631f3e54-66a1-4f5e-ae15-ce20620dc87e","Time Period and Frequency for Collecting AE and SAE Information","8.4.2"
"SECTION 8.4.3","<div></div>","NarrativeContent_72","81db95ca-7724-4925-9d51-3fe01b547304","Identifying AEs and SAEs","8.4.3"
"SECTION 8.4.4","<div></div>","NarrativeContent_73","2311bed2-e5c0-48db-936f-72f7297b9105","Recording of AEs and SAEs","8.4.4"
"SECTION 8.4.5","<div></div>","NarrativeContent_74","28cb58a8-e747-4613-8099-9d0bae0233ea","Follow-up of AEs and SAEs","8.4.5"
"SECTION 8.4.6","<div></div>","NarrativeContent_75","f0451795-ba31-4edc-8e81-deee294d291e","Reporting of SAEs","8.4.6"
"SECTION 8.4.7","<div></div>","NarrativeContent_76","103fa43c-728f-415d-a9bc-ff514b073aea","Regulatory Reporting Requirements for SAEs","8.4.7"
"SECTION 8.4.8","<div></div>","NarrativeContent_77","882b3e68-31bc-4a91-a4d8-cc9fec560f63","Serious and Unexpected Adverse Reaction Reporting","8.4.8"
"SECTION 8.4.9","<div></div>","NarrativeContent_78","9092a048-a8b5-4488-a8dd-479a54ebbc15","Adverse Events of Special Interest","8.4.9"
"SECTION 8.4.10","<div></div>","NarrativeContent_79","89cc02c7-bc30-45d4-bacc-73fbe2fb853a","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10"
"SECTION 8.5","<div></div>","NarrativeContent_80","4d10a37a-798f-492f-829b-c274d11154c4","Pregnancy and Postpartum Information","8.5"
"SECTION 8.5.1","<div></div>","NarrativeContent_81","9833ba3d-5717-4b7f-ad92-ca1ab35197f5","Participants Who Become Pregnant During the Trial","8.5.1"
"SECTION 8.5.2","<div></div>","NarrativeContent_82","886d77ae-eab7-44b4-bb0a-fc91e78c7332","Participants Whose Partners Become Pregnant","8.5.2"
"SECTION 8.6","<div></div>","NarrativeContent_83","690e83ae-a58d-4cbf-9f8f-724278c28ff1","Medical Device Product Complaints for Drug/Device Combination Products","8.6"
"SECTION 8.6.1","<div></div>","NarrativeContent_84","31262216-b2ef-4675-b0f6-0bb9df3b9fbe","Definition of Medical Device Product Complaints","8.6.1"
"SECTION 8.6.2","<div></div>","NarrativeContent_85","a83a60e6-4f00-4185-9ce1-d2f51cc8e327","Recording of Medical Device Product Complaints","8.6.2"
"SECTION 8.6.3","<div></div>","NarrativeContent_86","388375eb-80fb-4669-9201-9a8fa0d479e6","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3"
"SECTION 8.6.4","<div></div>","NarrativeContent_87","890f817d-4566-4221-9ac3-278f9bf06520","Follow-Up of Medical Device Product Complaints","8.6.4"
"SECTION 8.6.5","<div></div>","NarrativeContent_88","aa94c5e3-899b-4fa9-b5cf-107a8255b2f9","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5"
"SECTION 8.7","<div></div>","NarrativeContent_89","aa67daac-b71f-4b4f-a2a9-b3d6508cb379","Pharmacokinetics","8.7"
"SECTION 8.8","<div></div>","NarrativeContent_90","5786a9f5-f1e9-4169-a553-80b6acff1114","Genetics","8.8"
"SECTION 8.9","<div></div>","NarrativeContent_91","d5ad6878-889c-4b38-91c4-049b4af6c408","Biomarkers","8.9"
"SECTION 8.1","<div></div>","NarrativeContent_92","86175156-a825-4ea7-ab4c-5105e4c0e1b4","Immunogenicity Assessments","8.1"
"SECTION 8.1.1","<div></div>","NarrativeContent_93","85492564-6e64-487e-a388-5cc3b4087967","Medical Resource Utilisation and Health Economics","8.1.1"
"SECTION 9","<div></div>","NarrativeContent_94","827dcd3c-bd25-4d91-ac37-bb2dc3c4b285","STATISTICAL CONSIDERATIONS","9"
"SECTION 9.1","<div></div>","NarrativeContent_95","f70a5d48-dfcc-4efd-a589-5abb35cd8a64","Analysis Sets","9.1"
"SECTION 9.2","<div></div>","NarrativeContent_96","3d7aa7f6-3de2-4652-84dc-e21e39940ad1","Analyses Supporting Primary Objective(s)","9.2"
"SECTION 9.2.1","<div></div>","NarrativeContent_97","f43cd228-0c2f-491d-a4a5-d4c4b7d3b319","Statistical Model, Hypothesis, and Method of Analysis","9.2.1"
"SECTION 9.2.2","<div></div>","NarrativeContent_98","580f820d-f992-4b57-83b2-02b162c2d3aa","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2"
"SECTION 9.2.3","<div></div>","NarrativeContent_99","90d0f483-4c3f-4fc2-880a-a2d4dfcb1613","Handling of Missing Data","9.2.3"
"SECTION 9.2.4","<div></div>","NarrativeContent_100","a565f067-4bbe-485a-9f17-7312ef3559fc","Sensitivity Analysis","9.2.4"
"SECTION 9.2.5","<div></div>","NarrativeContent_101","01624c25-56c1-479d-b0cc-dded3fc725d1","Supplementary Analysis","9.2.5"
"SECTION 9.3","<div></div>","NarrativeContent_102","15eac095-8d48-4743-93bf-4904dd6d0534","Analysis Supporting Secondary Objective(s)","9.3"
"SECTION 9.4","<div></div>","NarrativeContent_103","e082e6ae-9f8d-42c4-b3f9-1c94e988a040","Analysis of Exploratory Objective(s)","9.4"
"SECTION 9.5","<div></div>","NarrativeContent_104","625c6aaf-9f66-4f6f-ab32-e27b7ee445b3","Safety Analyses","9.5"
"SECTION 9.6","<div></div>","NarrativeContent_105","7184e7ae-9dd3-42a9-9451-523e58c06b0a","Other Analyses","9.6"
"SECTION 9.7","<div></div>","NarrativeContent_106","3f8809c9-c1e4-44cc-b5b8-56004e7f84c1","Interim Analyses","9.7"
"SECTION 9.8","<div></div>","NarrativeContent_107","05a67925-bb81-4f80-817c-87f63d2da037","Sample Size Determination","9.8"
"SECTION 9.9","<div></div>","NarrativeContent_108","76fdaf51-b1ea-4fc7-829c-bd9945c3fcac","Protocol Deviations","9.9"
"SECTION 10","<div></div>","NarrativeContent_109","5612701c-057a-4102-8cca-2a4e33e27fae","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10"
"SECTION 10.1","<div></div>","NarrativeContent_110","155c8ccb-decd-4b7a-86f3-50010fd5986d","Regulatory and Ethical Considerations","10.1"
"SECTION 10.2","<div></div>","NarrativeContent_111","bdaba842-cfc0-4a9f-97cb-7ed37249b39e","Committees","10.2"
"SECTION 10.3","<div></div>","NarrativeContent_112","3e42c279-01be-437a-a07a-37209d6ddfcd","Informed Consent Process","10.3"
"SECTION 10.4","<div></div>","NarrativeContent_113","5a427ccd-d9d2-4bba-8596-b37d66f75628","Data Protection","10.4"
"SECTION 10.5","<div></div>","NarrativeContent_114","61f39ada-a15d-4189-baf3-6f71b3af9c49","Early Site Closure or Trial Termination","10.5"
"SECTION 11","<div></div>","NarrativeContent_115","23206ce9-fc91-4777-a971-5a877c7de43d","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11"
"SECTION 11.1","<div></div>","NarrativeContent_116","f4832bc5-b1bb-49c1-bbeb-bbd80a38c6f6","Quality Tolerance Limits","11.1"
"SECTION 11.2","<div></div>","NarrativeContent_117","90de8a1c-6f78-4548-be9b-36f7021e356f","Data Quality Assurance","11.2"
"SECTION 11.3","<div></div>","NarrativeContent_118","4829a2ee-dc3f-4d17-ba68-a96fc1f888e5","Source Data","11.3"
"SECTION 12","<div></div>","NarrativeContent_119","db145c09-ec6f-4213-82c9-751d1b9607db","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12"
"SECTION 12.1","<div></div>","NarrativeContent_120","1e27c8e1-128e-4696-a532-49fc6c4273e5","Further Details and Clarifications on the AE Definition","12.1"
"SECTION 12.2","<div></div>","NarrativeContent_121","23c9671e-0109-483c-97fc-c0bf71f2891f","Further Details and Clarifications on the SAE Definition","12.2"
"SECTION 12.3","<div></div>","NarrativeContent_122","8a4b5c12-afd9-4b36-ac43-4a7e2d5a5403","Severity","12.3"
"SECTION 12.4","<div></div>","NarrativeContent_123","b3c5b8c8-f84c-42e7-906b-6f6f4193a1ba","Causality","12.4"
"SECTION 13","<div></div>","NarrativeContent_124","0fe24f19-5db8-4b46-bf0b-f85a24ad1d4c","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13"
"SECTION 13.1","<div></div>","NarrativeContent_125","c1e3d659-24a9-4e06-b510-d5964b33b7a4","Contraception and Pregnancy Testing","13.1"
"SECTION 13.1.1","<div></div>","NarrativeContent_126","118484e9-53dc-4396-851d-f2efd181241a","Definitions Related to Childbearing Potential","13.1.1"
"SECTION 13.1.2","<div></div>","NarrativeContent_127","ba14a2e9-4ed0-4716-81ae-661d8b6893e1","Contraception","13.1.2"
"SECTION 13.1.3","<div></div>","NarrativeContent_128","3960818b-4484-41d8-b459-fb65b6cc9739","Pregnancy Testing","13.1.3"
"SECTION 13.2","<div></div>","NarrativeContent_129","e7d318ab-a719-4328-8ee5-2c2e44c7ca24","Clinical Laboratory Tests","13.2"
"SECTION 13.3","<div></div>","NarrativeContent_130","3410979f-b579-4adf-87f9-cc6b36df15b7","Country/Region-Specific Differences","13.3"
"SECTION 13.4","<div></div>","NarrativeContent_131","5c4f01d4-8c2c-4bab-976a-0518113c0ec8","Prior Protocol Amendments","13.4"
"SECTION 14","<div></div>","NarrativeContent_132","b1812f86-5db2-4baa-b70c-6b044a40b8ac","APPENDIX: GLOSSARY OF TERMS","14"
"SECTION 15","<div></div>","NarrativeContent_133","02c3c13d-e428-4374-8168-cfdee25beeb2","APPENDIX: REFERENCES","15"
