"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Dictionary-derived Term","0dc96e78-80ac-4cd4-950c-cac1f30fb17e","http://www.cdisc.org","Code","2023-12-15","C82977","Code_429"
"Reported Event Term","46b55f81-4479-491e-8f6c-992ec6ff3e4d","http://www.cdisc.org","Code","2023-12-15","C82571","Code_430"
"Observation Start Date Time","2073c45d-6a09-479a-9db4-8c33b9163b4d","http://www.cdisc.org","Code","2023-12-15","C82517","Code_431"
"Informed Consent","311343e9-f408-447e-a6a7-2b30fa873a19","http://www.cdisc.org","Code","2023-12-15","C16735","Code_432"
"Male","bd1d44a8-0a96-4344-b2b1-063c4aad52ae","http://www.cdisc.org","Code","2023-12-15","C20197","Code_433"
"Female","6909b603-09a3-4a07-9073-bbea763135a5","http://www.cdisc.org","Code","2023-12-15","C16576","Code_434"
"Sex","219a66ca-f68b-4d58-b35f-957d89da39db","http://www.cdisc.org","Code","2023-12-15","C28421","Code_435"
"Sex","74248033-006a-476b-9afc-64819f369866","http://www.cdisc.org","Code","2023-12-15","C28421","Code_436"
"Race","ddfe7778-cc28-4f0a-a319-42934072a83a","http://www.cdisc.org","Code","2023-12-15","C17049","Code_437"
"Race","f694b81b-5a2e-422f-9121-cbb77b86c955","http://www.cdisc.org","Code","2023-12-15","C17049","Code_438"
"TEMP","a9880d81-b8f5-486a-b415-6e1148f6f669","http://www.cdisc.org","Code","2023-12-15","C174446","Code_439"
"Clinical Test Result","ca24f587-71fb-43f6-9827-fceb769089ec","http://www.cdisc.org","Code","2023-12-15","C77140","Code_440"
"Degree Celsius","1691db39-5dfe-4c23-84c4-d7e9c1cfe48a","http://www.cdisc.org","Code","2023-12-15","C42559","Code_441"
"Degree Fahrenheit","23adbad3-fa97-441a-b591-b9b7548fffbb","http://www.cdisc.org","Code","2023-12-15","C44277","Code_442"
"Kelvin","365846f3-b88b-44ef-ba8d-02ad621aa455","http://www.cdisc.org","Code","2023-12-15","C42537","Code_443"
"Unit of Temperature","dfde5610-ee38-4f20-8d09-959a2025dbf9","http://www.cdisc.org","Code","2023-12-15","C44276","Code_444"
"Axilla","aa90560a-55b3-4c79-ab7d-7f82ffc77c19","http://www.cdisc.org","Code","2023-12-15","C12674","Code_445"
"Ear","f3ec485a-7fc1-4564-800c-21749609d749","http://www.cdisc.org","Code","2023-12-15","C12394","Code_446"
"Forehead","8fd82b52-30f8-4a88-819e-0955a1078a0c","http://www.cdisc.org","Code","2023-12-15","C89803","Code_447"
"Oral Cavity","fd461cac-c95d-4697-8b49-e8ca50c2df2b","http://www.cdisc.org","Code","2023-12-15","C12421","Code_448"
"Rectum","d1558af0-6882-491c-8a73-2ffa99747e3d","http://www.cdisc.org","Code","2023-12-15","C12390","Code_449"
"Anatomic Site","68c48cc6-f1f6-4a4f-a59f-b32c695da52c","http://www.cdisc.org","Code","2023-12-15","C13717","Code_450"
"TEMP","ca414952-d228-4ff3-a841-103ca15431ce","http://www.cdisc.org","Code","2023-12-15","C174446","Code_451"
"WEIGHT","388df1de-85b0-4cfd-b9d1-e175713e18d3","http://www.cdisc.org","Code","2023-12-15","C25208","Code_452"
"Clinical Test Result","9e0b0f09-53cd-4760-873e-4f7ee31fa871","http://www.cdisc.org","Code","2023-12-15","C77140","Code_453"
"Pound","a4cbfc0c-a7d1-43e7-a3a6-853253ee9b62","http://www.cdisc.org","Code","2023-12-15","C48531","Code_454"
"Gram","25689c7a-1613-4955-962e-da6a4d0bd4e0","http://www.cdisc.org","Code","2023-12-15","C48155","Code_455"
"Kilogram","2051c59e-2a32-48b6-94bf-9838792dee0d","http://www.cdisc.org","Code","2023-12-15","C28252","Code_456"
"Unit of Weight","50731144-bed0-4559-a4e2-b14fde56584b","http://www.cdisc.org","Code","2023-12-15","C48208","Code_457"
"WEIGHT","7dddc51f-9ead-4d90-8e45-275a8cf4557d","http://www.cdisc.org","Code","2023-12-15","C25208","Code_458"
"HEIGHT","41816fa9-50a0-4b17-acf5-03d41e316b34","http://www.cdisc.org","Code","2023-12-15","C25347","Code_459"
"Clinical Test Result","a4a7a06c-90cd-47d4-884e-c2408c378ab6","http://www.cdisc.org","Code","2023-12-15","C77140","Code_460"
"Centimeter","9fedaa9f-ec5f-42d3-a701-f1a6f34a03ea","http://www.cdisc.org","Code","2023-12-15","C49668","Code_461"
"Inch","3cf5d222-071c-4fc3-88b2-98fe788be8e1","http://www.cdisc.org","Code","2023-12-15","C48500","Code_462"
"Meter","2030f40d-64de-4aea-90bd-b9f1923cb239","http://www.cdisc.org","Code","2023-12-15","C41139","Code_463"
"Unit of Height","1d060e66-41ec-4e93-baf3-7a51326a555c","http://www.cdisc.org","Code","2023-12-15","C168688","Code_464"
"HEIGHT","e5bec6df-8f4d-4880-8cf7-6a27e5cd77dc","http://www.cdisc.org","Code","2023-12-15","C25347","Code_465"
"ALT","fe0c972f-bd35-40dd-a02e-fa9127140a14","http://www.cdisc.org","Code","2023-12-15","C64433","Code_466"
"Laboratory Test Result","9e2404ff-ead2-43a1-b685-a510c6be276e","http://www.cdisc.org","Code","2023-12-15","C36292","Code_467"
"Unit per Liter","e8214c64-a684-4cc0-a744-d89a3471376b","http://www.cdisc.org","Code","2023-12-15","C67456","Code_468"
"Microkatal per Liter","6fc18834-49aa-4cc3-b3cc-203377ecb402","http://www.cdisc.org","Code","2023-12-15","C67397","Code_469"
"International Unit per Liter","88e14bc1-b418-43a8-8964-b6c8c9e2fc94","http://www.cdisc.org","Code","2023-12-15","C67376","Code_470"
"Nanokatal per Liter","89ec860a-1a42-47e5-8695-f68d1ef17449","http://www.cdisc.org","Code","2023-12-15","C70510","Code_471"
"Unit of Catalytic Activity Concentration","1c296c51-c136-4b17-a606-1cda31f9576f","http://www.cdisc.org","Code","2023-12-15","C67365","Code_472"
"Biospecimen Type","d483801c-2d95-4e10-85c3-6a5e22858555","http://www.cdisc.org","Code","2023-12-15","C70713","Code_473"
"No","74fcfac4-f3a6-4286-a1ad-4d4608f7ee55","http://www.cdisc.org","Code","2023-12-15","C49487","Code_474"
"Yes","b2231d18-6ee6-4995-b514-a53617e9efa9","http://www.cdisc.org","Code","2023-12-15","C49488","Code_475"
"Laboratory Test Fasting Status","b0f44a62-4c95-4f5f-a981-927a0a72bc76","http://www.cdisc.org","Code","2023-12-15","C83309","Code_476"
"ALT","aa6a816f-aeba-40a9-9846-081efa3599ec","http://www.cdisc.org","Code","2023-12-15","C64433","Code_477"
"ALB","0810de28-e41f-49eb-9244-ef1b571bbf25","http://www.cdisc.org","Code","2023-12-15","C64431","Code_478"
"Laboratory Test Result","59b24669-4c02-4515-9f45-d1db5e9b9dd2","http://www.cdisc.org","Code","2023-12-15","C36292","Code_479"
"Biospecimen Type","e28e7d36-94bf-4725-9623-1ff036fa5bcd","http://www.cdisc.org","Code","2023-12-15","C70713","Code_480"
"No","1f426473-2350-4fad-aea5-f1a2f5e335ca","http://www.cdisc.org","Code","2023-12-15","C49487","Code_481"
"Yes","3f0c71c2-d8f4-4950-a193-a7545c596d7e","http://www.cdisc.org","Code","2023-12-15","C49488","Code_482"
"Laboratory Test Fasting Status","4b468840-55c7-48e8-8581-64405e9e1631","http://www.cdisc.org","Code","2023-12-15","C83309","Code_483"
"ALB","abf9f60a-d4bb-4ab4-a8dd-7c10a914380e","http://www.cdisc.org","Code","2023-12-15","C64431","Code_484"
"ALP","0ccb6127-b230-47c5-8011-e7c673a85f23","http://www.cdisc.org","Code","2023-12-15","C64432","Code_485"
"Laboratory Test Result","e3f92706-ded4-4d1f-b770-7bb659b321c9","http://www.cdisc.org","Code","2023-12-15","C36292","Code_486"
"Unit per Liter","436739fd-a6a6-4328-8f88-fd7cbb77aabe","http://www.cdisc.org","Code","2023-12-15","C67456","Code_487"
"Microkatal per Liter","d2aa50e6-61c1-44db-b32d-9d4b2b627341","http://www.cdisc.org","Code","2023-12-15","C67397","Code_488"
"International Unit per Liter","20c50f12-ef70-4a9f-8bf5-d46d07d8bf7f","http://www.cdisc.org","Code","2023-12-15","C67376","Code_489"
"Unit of Catalytic Activity Concentration","cb21bd93-ada6-473b-9feb-2d71cdda0f70","http://www.cdisc.org","Code","2023-12-15","C67365","Code_490"
"Biospecimen Type","7887765a-9e26-45bc-bf4a-cd072bfe2c1d","http://www.cdisc.org","Code","2023-12-15","C70713","Code_491"
"No","f70f1c18-fb28-4dda-884a-83d6c1b7da7f","http://www.cdisc.org","Code","2023-12-15","C49487","Code_492"
"Yes","7fbc1bce-9953-444b-bf36-e1c41e9a3e4e","http://www.cdisc.org","Code","2023-12-15","C49488","Code_493"
"Laboratory Test Fasting Status","9d935c91-a638-4633-b13f-92681d14444d","http://www.cdisc.org","Code","2023-12-15","C83309","Code_494"
"ALP","56966bd1-ffb7-43f7-af84-eb81bb52a98d","http://www.cdisc.org","Code","2023-12-15","C64432","Code_495"
"AST","a4b76e49-d7e1-4201-af51-abace8c28a4d","http://www.cdisc.org","Code","2023-12-15","C64467","Code_496"
"Laboratory Test Result","3933783e-7d15-4938-b75b-003dba8c15ec","http://www.cdisc.org","Code","2023-12-15","C36292","Code_497"
"Unit per Liter","36c8af47-fc73-4dca-926d-b8acc13052b9","http://www.cdisc.org","Code","2023-12-15","C67456","Code_498"
"Microkatal per Liter","7cfb8bbc-b1be-41a9-be70-ef26297f784b","http://www.cdisc.org","Code","2023-12-15","C67397","Code_499"
"International Unit per Liter","f178bec2-dc98-46a2-acd9-ef70ba51269b","http://www.cdisc.org","Code","2023-12-15","C67376","Code_500"
"Unit of Catalytic Activity Concentration","5db6d7d2-f922-4381-bab0-11ad251db5ba","http://www.cdisc.org","Code","2023-12-15","C67365","Code_501"
"Biospecimen Type","b3e78382-47b1-4bd9-a707-84f7c4a9c438","http://www.cdisc.org","Code","2023-12-15","C70713","Code_502"
"No","0c079dd0-a346-4d08-a8a8-af9f71b94f66","http://www.cdisc.org","Code","2023-12-15","C49487","Code_503"
"Yes","4fbd7f32-f8ac-4525-997e-11209e807e49","http://www.cdisc.org","Code","2023-12-15","C49488","Code_504"
"Laboratory Test Fasting Status","cc183a45-7bfd-4314-9414-46d111922537","http://www.cdisc.org","Code","2023-12-15","C83309","Code_505"
"AST","7420f3de-9474-412c-958c-37d39785c39e","http://www.cdisc.org","Code","2023-12-15","C64467","Code_506"
"CREAT","f09b1ee3-d00d-4fe0-87ad-03c3b62cf731","http://www.cdisc.org","Code","2023-12-15","C64547","Code_507"
"Laboratory Test Result","9d41fbb0-7283-4fa6-82d8-5e60e308d88a","http://www.cdisc.org","Code","2023-12-15","C36292","Code_508"
"Milligram per Deciliter","90581744-9aec-40d8-b20e-afb931a6a774","http://www.cdisc.org","Code","2023-12-15","C67015","Code_509"
"Microgram per Milliliter","e394cf05-b81f-4445-bc9e-894d64a026e5","http://www.cdisc.org","Code","2023-12-15","C64572","Code_510"
"Millimole per Liter","d173bad0-25f9-4383-af55-a9607c90ebea","http://www.cdisc.org","Code","2023-12-15","C64387","Code_511"
"Micromole per Liter","f1081289-fe39-4cce-9ac7-5f4e4a561440","http://www.cdisc.org","Code","2023-12-15","C48508","Code_512"
"Unit of Concentration","07a69eff-4daa-48ce-bf93-62abd30c6a05","http://www.cdisc.org","Code","2023-12-15","C48207","Code_513"
"Biospecimen Type","b75861e1-ae4f-4af6-86e8-39d1a65b476c","http://www.cdisc.org","Code","2023-12-15","C70713","Code_514"
"No","d1c3cf72-c025-49ff-b324-4e0e0317b6e0","http://www.cdisc.org","Code","2023-12-15","C49487","Code_515"
"Yes","27d08e42-43cf-4a15-be5a-b9808edc9007","http://www.cdisc.org","Code","2023-12-15","C49488","Code_516"
"Laboratory Test Fasting Status","ab18f877-d493-43a1-bcd7-2da7757227fa","http://www.cdisc.org","Code","2023-12-15","C83309","Code_517"
"CREAT","b25a82c1-8343-4de0-b052-ce5b330060b4","http://www.cdisc.org","Code","2023-12-15","C64547","Code_518"
"K","9bd48bd3-9987-46e5-a296-776babcc3624","http://www.cdisc.org","Code","2023-12-15","C64853","Code_519"
"Laboratory Test Result","939df846-b297-404a-96e9-cd10b3c2c210","http://www.cdisc.org","Code","2023-12-15","C36292","Code_520"
"Milliequivalent per Liter","bc34a2fe-6181-4771-8c3d-bdcce4befcd7","http://www.cdisc.org","Code","2023-12-15","C67474","Code_521"
"Milliequivalent per Deciliter","d4776ed9-d59a-43c8-be9b-30603217897b","http://www.cdisc.org","Code","2023-12-15","C67473","Code_522"
"Millimole per Liter","1b26e40f-6b9d-441a-9ceb-fa0dff19b789","http://www.cdisc.org","Code","2023-12-15","C64387","Code_523"
"Molarity Unit","21e0d086-62d8-4bd4-8733-29a81a88f2be","http://www.cdisc.org","Code","2023-12-15","C64567","Code_524"
"Biospecimen Type","db00fa4f-c648-455a-aac0-3e382ed7f7e6","http://www.cdisc.org","Code","2023-12-15","C70713","Code_525"
"No","92ff0855-6e9a-4c09-b3a4-b8ade79e4484","http://www.cdisc.org","Code","2023-12-15","C49487","Code_526"
"Yes","1d11eaa9-9238-4d8f-aaf3-2573c2b92a4c","http://www.cdisc.org","Code","2023-12-15","C49488","Code_527"
"Laboratory Test Fasting Status","1318b3f5-d403-4cdd-bd84-55a7c94cf528","http://www.cdisc.org","Code","2023-12-15","C83309","Code_528"
"K","aeb4bc9b-c331-466f-8a51-c4ba8ab89cb3","http://www.cdisc.org","Code","2023-12-15","C64853","Code_529"
"SODIUM","201d79fd-1fa8-41f9-a5db-f48a763c18c2","http://www.cdisc.org","Code","2023-12-15","C64809","Code_530"
"Laboratory Test Result","a360b7d2-5593-4cdb-b484-9e7a06edcc90","http://www.cdisc.org","Code","2023-12-15","C36292","Code_531"
"Milliequivalent per Liter","77118d34-0139-462a-8c06-a9b25f996043","http://www.cdisc.org","Code","2023-12-15","C67474","Code_532"
"Milliequivalent per Deciliter","ad418e08-6fcb-4c6b-b585-62a6ba3f3670","http://www.cdisc.org","Code","2023-12-15","C67473","Code_533"
"Millimole per Liter","d36f07fe-6598-4339-b7e1-d179313e520f","http://www.cdisc.org","Code","2023-12-15","C64387","Code_534"
"Molarity Unit","9ccbfd05-f75b-4871-bba9-72b304c3f632","http://www.cdisc.org","Code","2023-12-15","C64567","Code_535"
"Biospecimen Type","6ac84724-0df4-4da8-b8bb-c2d8f61d8d08","http://www.cdisc.org","Code","2023-12-15","C70713","Code_536"
"No","870a329f-65cb-4cd1-a190-7d2da9ad4c57","http://www.cdisc.org","Code","2023-12-15","C49487","Code_537"
"Yes","46501599-5230-4f2c-84c4-13bd7470381a","http://www.cdisc.org","Code","2023-12-15","C49488","Code_538"
"Laboratory Test Fasting Status","62285be8-082b-4d68-9745-95f475f303f6","http://www.cdisc.org","Code","2023-12-15","C83309","Code_539"
"SODIUM","4564d2b5-dd9f-409c-a631-7bf995678a99","http://www.cdisc.org","Code","2023-12-15","C64809","Code_540"
"HBA1C","f2d0ca20-c96a-47f2-b41c-a54845dd03f9","http://www.cdisc.org","Code","2023-12-15","C64849","Code_541"
"Laboratory Test Result","a5e00e1e-e803-4e8a-9d44-3c7c59b37784","http://www.cdisc.org","Code","2023-12-15","C36292","Code_542"
"Gram per Deciliter","ba038adc-7155-4d69-a39b-4b62f718ee07","http://www.cdisc.org","Code","2023-12-15","C64783","Code_543"
"LBORRESU","4b3cb877-6e50-48e0-be99-8ee5ebbb6a45","http://www.cdisc.org","Code","2023-12-15","No Concept Code","Code_544"
"Biospecimen Type","c282b71f-2e7f-4471-85ec-4af036134ea6","http://www.cdisc.org","Code","2023-12-15","C70713","Code_545"
"No","8d77363a-664d-4323-921b-fd9d8004f4cb","http://www.cdisc.org","Code","2023-12-15","C49487","Code_546"
"Yes","135181b2-d6cf-4574-92b0-37fa243e52c5","http://www.cdisc.org","Code","2023-12-15","C49488","Code_547"
"Laboratory Test Fasting Status","e1168751-021e-45c9-a6e8-25a72f3b3ee8","http://www.cdisc.org","Code","2023-12-15","C83309","Code_548"
"HBA1C","06fbcbd3-9769-4e9f-9858-66a5adacc791","http://www.cdisc.org","Code","2023-12-15","C64849","Code_549"
"Adverse Event Verbatim Description","ce16bd38-7780-4bff-a262-ad51f7450e84","http://www.cdisc.org","Code","2023-12-15","C78541","Code_145"
"Adverse Event Dictionary Derived Term","e4847460-ecae-4c61-a8d5-d631c5196512","http://www.cdisc.org","Code","2023-12-15","C83344","Code_146"
"No","f0daa780-de78-4d2f-8366-abe62d2d9301","http://www.cdisc.org","Code","2023-12-15","C49487","Code_147"
"Yes","cc8f783e-8ff7-473a-8027-fa4989581fad","http://www.cdisc.org","Code","2023-12-15","C49488","Code_148"
"Adverse Event Pre-specified","c5cbe9c9-2986-498a-b916-cf062c91f817","http://www.cdisc.org","Code","2023-12-15","C87840","Code_149"
"Adverse Event Location","67a372f5-ce04-44cf-818b-faa5227662d3","http://www.cdisc.org","Code","2023-12-15","C83205","Code_150"
"Severity of Adverse Event","f4168ecb-b65e-40c6-9e7d-95d324dfb15b","http://www.cdisc.org","Code","2023-12-15","C53253","Code_151"
"No","62691485-e210-4c47-ad18-75396a921797","http://www.cdisc.org","Code","2023-12-15","C49487","Code_152"
"Yes","95d47d44-6bf1-4212-9e8c-f08a4f1a1f67","http://www.cdisc.org","Code","2023-12-15","C49488","Code_153"
"Seriousness of Adverse Event","655e8266-5cf7-458a-a8ff-fcb8109ea9dd","http://www.cdisc.org","Code","2023-12-15","C53252","Code_154"
"Adverse Event Action Taken with Study Treatment","11656a15-e615-4559-9f8b-ca7a16069414","http://www.cdisc.org","Code","2023-12-15","C83013","Code_155"
"Other Actions taken in Response to Adverse Event","855d4ec4-b995-4be5-b740-c96d6421d533","http://www.cdisc.org","Code","2023-12-15","C83109","Code_156"
"Adverse Event Attribution to Product or Procedure","e098f8d5-5ec9-43de-9a43-6dc249d7611f","http://www.cdisc.org","Code","2023-12-15","C41358","Code_157"
"Adverse Event Relationship to Non Study Treatment","a60dde61-b4f1-4644-8583-fee4cc2ea14c","http://www.cdisc.org","Code","2023-12-15","C83210","Code_158"
"Adverse Event Pattern","4887a84a-2113-4df6-962e-f6eb1be629ec","http://www.cdisc.org","Code","2023-12-15","C83208","Code_159"
"Adverse Event Outcome","3c11613e-c2b0-4fab-b74c-be62030b5034","http://www.cdisc.org","Code","2023-12-15","C49489","Code_160"
"No","6e89915b-5a6c-472c-8923-beb3876ea7fd","http://www.cdisc.org","Code","2023-12-15","C49487","Code_161"
"Yes","1f13783b-a929-4d56-a97b-14a859251f51","http://www.cdisc.org","Code","2023-12-15","C49488","Code_162"
"Adverse Event Involves Cancer","628d0678-5254-4545-8d2c-72ad7ea77b91","http://www.cdisc.org","Code","2023-12-15","C83211","Code_163"
"No","fe837eac-398b-4d9a-a64e-b68c1e08b496","http://www.cdisc.org","Code","2023-12-15","C49487","Code_164"
"Yes","2fb0ecee-510d-4b76-87a3-50c2b926ab8b","http://www.cdisc.org","Code","2023-12-15","C49488","Code_165"
"Adverse Event Seriousness Due to Congenital Anomaly","893a3dbf-2e53-491c-a8d4-ce799d321071","http://www.cdisc.org","Code","2023-12-15","C83117","Code_166"
"No","faeebe7b-fcab-4391-a357-6459c8cf6a53","http://www.cdisc.org","Code","2023-12-15","C49487","Code_167"
"Yes","a0ca1ccb-739d-42ed-aac2-988a63ac37cc","http://www.cdisc.org","Code","2023-12-15","C49488","Code_168"
