"isEnabled","datatype","name","label","instanceType","isRequired","uuid:ID","id"
"True","integer","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","True","464820b7-8f7f-4a2d-96ef-654fa47ec208","BiomedicalConceptProperty_65"
"True","string","Count per Minute","Count per Minute","BiomedicalConceptProperty","True","72d14d6e-3fd0-4e49-89f7-4311fb523d20","BiomedicalConceptProperty_66"
"True","string","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","True","85b8cf9a-184b-4f59-ad1e-f114ad42604b","BiomedicalConceptProperty_67"
"True","string","Laterality","Laterality","BiomedicalConceptProperty","True","5e844f89-97b1-48bb-94b1-6de4ed7df455","BiomedicalConceptProperty_68"
"True","string","Test Method","Test Method","BiomedicalConceptProperty","True","7b18c5c6-f907-43d3-8e87-59a31336357e","BiomedicalConceptProperty_69"
"True","string","Body Position","Body Position","BiomedicalConceptProperty","True","cead5b12-a8b4-474a-81e8-8561d1f765cf","BiomedicalConceptProperty_70"
"True","decimal","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","True","3cc96881-1470-47dd-869e-d7b361edfb17","BiomedicalConceptProperty_71"
"True","string","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty","True","895a83f9-7ab5-4df1-a010-a934cd558d3a","BiomedicalConceptProperty_72"
"True","string","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","True","78242efd-ad25-4e2c-a741-0559a2539d1a","BiomedicalConceptProperty_73"
"True","string","Laterality","Laterality","BiomedicalConceptProperty","True","56538847-5dac-486f-808d-0994e1abb3c4","BiomedicalConceptProperty_74"
"True","string","Test Method","Test Method","BiomedicalConceptProperty","True","4d73289b-f11d-4bdb-969b-50a017d7e54e","BiomedicalConceptProperty_75"
"True","string","Body Position","Body Position","BiomedicalConceptProperty","True","f53f613a-0543-4891-a045-03b8f1310f5e","BiomedicalConceptProperty_76"
"True","decimal","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","True","1d58a2fb-c09f-44ef-aee6-a9131b28510d","BiomedicalConceptProperty_77"
"True","string","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty","True","e2bafdd8-1a24-4178-b015-0ca3f39e4616","BiomedicalConceptProperty_78"
"True","string","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","True","e5262bcb-2594-48ee-b199-7cd97eb2efe5","BiomedicalConceptProperty_79"
"True","string","Laterality","Laterality","BiomedicalConceptProperty","True","0f9b48b4-295a-4f93-a6aa-4b7af8020792","BiomedicalConceptProperty_80"
"True","string","Test Method","Test Method","BiomedicalConceptProperty","True","06cfc936-4a0c-46dd-8f80-40c53ba104f2","BiomedicalConceptProperty_81"
"True","string","Body Position","Body Position","BiomedicalConceptProperty","True","385f765c-ee5a-40b9-a7fe-52a92de472eb","BiomedicalConceptProperty_82"
"True","integer","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","True","b5d41b6c-c2ca-44d7-a839-d1fecac7b107","BiomedicalConceptProperty_83"
"True","string","Count per Minute","Count per Minute","BiomedicalConceptProperty","True","7fda6385-4a37-47bf-b8dd-0e422152dc17","BiomedicalConceptProperty_84"
"True","string","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","True","f1eada1d-24be-4f04-a635-1ddc22d8bfae","BiomedicalConceptProperty_85"
"True","string","Laterality","Laterality","BiomedicalConceptProperty","True","37d05b30-5523-47d1-9379-42322ebb77a7","BiomedicalConceptProperty_86"
"True","string","Test Method","Test Method","BiomedicalConceptProperty","True","3112911d-b203-4c27-b095-9971a194112c","BiomedicalConceptProperty_87"
"True","string","Body Position","Body Position","BiomedicalConceptProperty","True","df7985ef-7f1b-4731-a469-600a1185a001","BiomedicalConceptProperty_88"
