"sectionTitle","text","sectionNumber","id","uuid:ID","name"
"Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","NarrativeContent_22","17db265f-0c67-489d-9cb6-499b11a48d5e","SECTION 5.1"
"Rationale for Trial Population","<div></div>","5.2","NarrativeContent_23","dc699038-f724-408b-8d1e-f03be2577982","SECTION 5.2"
"Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3","NarrativeContent_24","64d89810-2991-4784-9b21-8ea6c3de86b3","SECTION 5.3"
"Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","5.4","NarrativeContent_25","0347d670-77d2-4c9f-95fa-f53f37c29941","SECTION 5.4"
"Lifestyle Considerations","<div></div>","5.5","NarrativeContent_26","6ad20960-8a25-46ac-8fe1-b745fb89f966","SECTION 5.5"
"Meals and Dietary Restrictions","<div></div>","5.5.1","NarrativeContent_27","45b79cbc-5774-4bd3-aacc-6e556a1ff98a","SECTION 5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","5.5.2","NarrativeContent_28","b8e56c22-c0ae-4e27-a37e-d1fa0486715f","SECTION 5.5.2"
"Physical Activity","<div></div>","5.5.3","NarrativeContent_29","993c468f-7b6e-4c84-b813-376e303f38ff","SECTION 5.5.3"
"Other Activity","<div></div>","5.5.4","NarrativeContent_30","d7fbd799-b7d9-444c-9c4c-d7165da2cc21","SECTION 5.5.4"
"Screen Failures","<div></div>","5.6","NarrativeContent_31","4964a7c8-b9ef-41c5-ac55-a9644c7e0e8e","SECTION 5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","6","NarrativeContent_32","7090f97b-196a-4f6d-8a56-e85d3781c55c","SECTION 6"
"Description of Trial Intervention","<div></div>","6.1","NarrativeContent_33","0d52e860-6621-4352-9ad1-309e6899daae","SECTION 6.1"
"Rationale for Trial Intervention","<div></div>","6.2","NarrativeContent_34","2eb49420-d708-46f5-83c4-862e96bd903d","SECTION 6.2"
"Dosing and Administration","<div></div>","6.3","NarrativeContent_35","55f48e22-56da-4ba6-a030-aa169ea2b90f","SECTION 6.3"
"Trial Intervention Dose Modification","<div></div>","6.3.1","NarrativeContent_36","20389d14-e7ab-4ec3-9c90-368e919efcdb","SECTION 6.3.1"
"Treatment of Overdose","<div></div>","6.4","NarrativeContent_37","dd3f3ba7-77eb-4e5d-9833-773635fd5b64","SECTION 6.4"
"Preparation, Handling, Storage and Accountability","<div></div>","6.5","NarrativeContent_38","4bbd1b9a-9f2a-4445-a918-4e8f8af489b4","SECTION 6.5"
"Preparation of Trial Intervention","<div></div>","6.5.1","NarrativeContent_39","15604406-056a-4e93-81b7-0b1418863e0d","SECTION 6.5.1"
"Handling and Storage of Trial Intervention","<div></div>","6.5.2","NarrativeContent_40","da9a39d5-4995-4621-a11f-1f573c77cd2d","SECTION 6.5.2"
"Accountability of Trial Intervention","<div></div>","6.5.3","NarrativeContent_41","7e3b248d-f4cc-4890-839d-4870af30e7b2","SECTION 6.5.3"
"Participant Assignment, Randomisation and Blinding","<div></div>","6.6","NarrativeContent_42","c881bee4-d19b-4d21-af6e-36e4e3f76b1e","SECTION 6.6"
"Participant Assignment","<div></div>","6.6.1","NarrativeContent_43","7b5d1fca-f388-435c-b8d7-12f0420cee92","SECTION 6.6.1"
"Randomisation","<div></div>","6.6.2","NarrativeContent_44","9d6dfe68-0f3a-4b86-9ab6-573956b2c1da","SECTION 6.6.2"
"Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","NarrativeContent_45","8d8fe3e1-9a57-492d-a6f3-3fd91475823c","SECTION 6.6.3"
"Trial Intervention Compliance","<div></div>","6.7","NarrativeContent_46","a626ccf8-a6a9-4525-8591-bf0f0d59189e","SECTION 6.7"
"Concomitant Therapy","<div></div>","6.8","NarrativeContent_47","b1c63fb9-1d45-4886-8cfb-480c366f60ff","SECTION 6.8"
"Prohibited Concomitant Therapy","<div></div>","6.8.1","NarrativeContent_48","0b2df6be-3aaa-49b7-9f6f-aa809280cc96","SECTION 6.8.1"
"Permitted Concomitant Therapy","<div></div>","6.8.2","NarrativeContent_49","7294118e-f56e-448a-ba63-e86eb3994794","SECTION 6.8.2"
"Rescue Therapy","<div></div>","6.8.3","NarrativeContent_50","03c71140-f270-4115-bd30-223ffccfd531","SECTION 6.8.3"
"Other Therapy","<div></div>","6.8.4","NarrativeContent_51","960624d2-957a-4eb8-9acc-ce073a1e57e7","SECTION 6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","7","NarrativeContent_52","ce3b2959-1c78-4990-a4e8-627b2971030e","SECTION 7"
"Discontinuation of Trial Intervention","<div></div>","7.1","NarrativeContent_53","df2a59a2-b9d0-403c-bb11-1f4e9234244d","SECTION 7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","7.1.1","NarrativeContent_54","78d98f13-cfa5-43e6-a18e-68e37c7d92fc","SECTION 7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","7.1.2","NarrativeContent_55","bf492640-cac1-4f4e-92d6-99f2c5e8d822","SECTION 7.1.2"
"Rechallenge","<div></div>","7.1.3","NarrativeContent_56","0bcafe40-d529-4ff5-b948-b3f6ec5ab551","SECTION 7.1.3"
"Participant Withdrawal from the Trial","<div></div>","7.2","NarrativeContent_57","fe09bb10-1bc6-4757-a284-b32057535d74","SECTION 7.2"
"Lost to Follow-Up","<div></div>","7.3","NarrativeContent_58","fdc37a14-2c5d-487c-8a88-14b3fda72cfb","SECTION 7.3"
"Trial Stopping Rules","<div></div>","7.4","NarrativeContent_59","21fe86bc-68f3-4cac-a101-9c86c1be5336","SECTION 7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","8","NarrativeContent_60","ad79c4ce-0363-41fe-ac41-92cdae5951f0","SECTION 8"
"Screening/Baseline Assessments and Procedures","<div></div>","8.1","NarrativeContent_61","beb25574-39c8-4726-beb0-d3d42d3a103d","SECTION 8.1"
"Efficacy Assessments and Procedures","<div></div>","8.2","NarrativeContent_62","ffc84b61-e3a8-4a6b-bce8-4aded2989fa4","SECTION 8.2"
"Safety Assessments and Procedures","<div></div>","8.3","NarrativeContent_63","085ad5c0-9ac7-4bed-947c-5bfabc67f2f8","SECTION 8.3"
"Physical Examination","<div></div>","8.3.1","NarrativeContent_64","2dd36628-1e46-4b7e-bf04-da4b753f8399","SECTION 8.3.1"
"Vital Signs","<div></div>","8.3.2","NarrativeContent_65","964a4ce1-048c-4913-a3e5-cad2b84b1cf2","SECTION 8.3.2"
"Electrocardiograms","<div></div>","8.3.3","NarrativeContent_66","60b43b50-7a49-4271-87a3-e55f5ee75bb7","SECTION 8.3.3"
"Clinical Laboratory Assessments","<div></div>","8.3.4","NarrativeContent_67","365124a1-db8c-4f4a-a4c8-3803abff55dd","SECTION 8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","8.3.5","NarrativeContent_68","d5e58cc2-8053-4356-851b-e73e11d1e7bf","SECTION 8.3.5"
"Adverse Events and Serious Adverse Events","<div></div>","8.4","NarrativeContent_69","ebfa695d-b7e7-403f-a5e3-66c2dbf675f0","SECTION 8.4"
"Definitions of AE and SAE","<div></div>","8.4.1","NarrativeContent_70","f224afc6-69d5-45eb-a332-4df0e93704bf","SECTION 8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","<div></div>","8.4.2","NarrativeContent_71","7e1d5538-9d3e-462f-afcc-75db87191621","SECTION 8.4.2"
"Identifying AEs and SAEs","<div></div>","8.4.3","NarrativeContent_72","fa72eb40-8e28-41fb-a8e3-2de14154aea1","SECTION 8.4.3"
"Recording of AEs and SAEs","<div></div>","8.4.4","NarrativeContent_73","e7cb746c-3b33-4ec7-b132-b5042fd2942d","SECTION 8.4.4"
"Follow-up of AEs and SAEs","<div></div>","8.4.5","NarrativeContent_74","a834976f-b432-4b28-b631-ba918b8d074a","SECTION 8.4.5"
"Reporting of SAEs","<div></div>","8.4.6","NarrativeContent_75","db276337-7935-428f-925f-1d9c9a1b55b2","SECTION 8.4.6"
"Regulatory Reporting Requirements for SAEs","<div></div>","8.4.7","NarrativeContent_76","5624b055-8d91-4a0e-a97e-43f673d48f77","SECTION 8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","<div></div>","8.4.8","NarrativeContent_77","50db9cee-f26a-4644-b878-3973cc947028","SECTION 8.4.8"
"Adverse Events of Special Interest","<div></div>","8.4.9","NarrativeContent_78","92e97aa5-5de5-4f48-8a85-da82e55f7732","SECTION 8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","8.4.10","NarrativeContent_79","ffef337e-d14b-4663-b78f-090a667093a6","SECTION 8.4.10"
"Pregnancy and Postpartum Information","<div></div>","8.5","NarrativeContent_80","22eb37e0-369f-4d82-a7b4-300875185251","SECTION 8.5"
"Participants Who Become Pregnant During the Trial","<div></div>","8.5.1","NarrativeContent_81","74ed4626-ce8b-497b-bfac-4e74d2905306","SECTION 8.5.1"
"Participants Whose Partners Become Pregnant","<div></div>","8.5.2","NarrativeContent_82","795ba32c-ac4f-4f0d-b6d0-2a381e29fbfe","SECTION 8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","8.6","NarrativeContent_83","f173fc33-2345-4771-b2d3-27375bc6ee76","SECTION 8.6"
"Definition of Medical Device Product Complaints","<div></div>","8.6.1","NarrativeContent_84","2a63c7c6-f7a2-4ab2-9629-08c1c031a165","SECTION 8.6.1"
"Recording of Medical Device Product Complaints","<div></div>","8.6.2","NarrativeContent_85","13b65002-a381-4821-ae9b-23923d59b05a","SECTION 8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","8.6.3","NarrativeContent_86","2861afcb-66ba-491e-9bad-edfe5fbc1a7a","SECTION 8.6.3"
"Follow-Up of Medical Device Product Complaints","<div></div>","8.6.4","NarrativeContent_87","cd449ab8-a2ba-44f7-aa06-645ac733dbee","SECTION 8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","8.6.5","NarrativeContent_88","7126e1b7-886c-4d81-b4ba-59447e0d7c80","SECTION 8.6.5"
"Pharmacokinetics","<div></div>","8.7","NarrativeContent_89","ba5f9537-d87c-4e29-b63f-bd7f1dc5af28","SECTION 8.7"
"Genetics","<div></div>","8.8","NarrativeContent_90","603283ec-77af-4d7c-9868-cc9bafcb1193","SECTION 8.8"
"Biomarkers","<div></div>","8.9","NarrativeContent_91","30c5dccd-45f5-42be-a38e-407dda136e8b","SECTION 8.9"
"Immunogenicity Assessments","<div></div>","8.1","NarrativeContent_92","f48bb530-4f38-4501-8b79-ac9a85c35b95","SECTION 8.1"
"Medical Resource Utilisation and Health Economics","<div></div>","8.1.1","NarrativeContent_93","1fc00b69-90d2-4395-a583-d8c9ebe5a509","SECTION 8.1.1"
"STATISTICAL CONSIDERATIONS","<div></div>","9","NarrativeContent_94","f3de1ffd-424b-46ba-9960-f6a8bf152dbf","SECTION 9"
"Analysis Sets","<div></div>","9.1","NarrativeContent_95","79df69d5-7e25-408b-93b5-7839cf0aac97","SECTION 9.1"
"Analyses Supporting Primary Objective(s)","<div></div>","9.2","NarrativeContent_96","69a0a7a6-a607-4d29-a35b-ff62e572b155","SECTION 9.2"
"Statistical Model, Hypothesis, and Method of Analysis","<div></div>","9.2.1","NarrativeContent_97","4cbdb694-8683-4a2c-b9ef-d27b4d2c0d7f","SECTION 9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","9.2.2","NarrativeContent_98","fc54d1c6-c91f-414c-91f0-a18689fa196e","SECTION 9.2.2"
"Handling of Missing Data","<div></div>","9.2.3","NarrativeContent_99","5a3b7e81-d2a1-43b3-b96c-824604cdc8e0","SECTION 9.2.3"
"Sensitivity Analysis","<div></div>","9.2.4","NarrativeContent_100","5a5628b4-9755-4bba-88b9-02cdedbc9d8c","SECTION 9.2.4"
"Supplementary Analysis","<div></div>","9.2.5","NarrativeContent_101","125cf949-e6f4-46f9-b5ef-d1792286633e","SECTION 9.2.5"
"Analysis Supporting Secondary Objective(s)","<div></div>","9.3","NarrativeContent_102","b52a5b73-9a89-4e13-a4e4-c32bb691acac","SECTION 9.3"
"Analysis of Exploratory Objective(s)","<div></div>","9.4","NarrativeContent_103","54eda2ed-f1d7-4a84-bca4-951cd6eb8a4d","SECTION 9.4"
"Safety Analyses","<div></div>","9.5","NarrativeContent_104","73f53e1c-812f-4513-a109-34e01926e087","SECTION 9.5"
"Other Analyses","<div></div>","9.6","NarrativeContent_105","000c7ac6-8b01-488c-b346-9fbf2a74b062","SECTION 9.6"
"Interim Analyses","<div></div>","9.7","NarrativeContent_106","13f18609-da97-4470-b549-c2fcf9ee1402","SECTION 9.7"
"Sample Size Determination","<div></div>","9.8","NarrativeContent_107","234df20d-2ed0-4209-8338-6232cf92db1f","SECTION 9.8"
"Protocol Deviations","<div></div>","9.9","NarrativeContent_108","7745fe88-df0c-421f-b2a5-8d338d615a11","SECTION 9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","10","NarrativeContent_109","125a951f-33a5-45d8-8d4c-395b32f3190c","SECTION 10"
"Regulatory and Ethical Considerations","<div></div>","10.1","NarrativeContent_110","e41a73ca-a185-4ae9-86bd-c6457f6cf16e","SECTION 10.1"
"Committees","<div></div>","10.2","NarrativeContent_111","5f58fc2f-347c-44f3-85a4-f60cd8f6885c","SECTION 10.2"
"Informed Consent Process","<div></div>","10.3","NarrativeContent_112","380aa0ef-7bd3-439d-bf5d-8824d643998a","SECTION 10.3"
"Data Protection","<div></div>","10.4","NarrativeContent_113","3beaa0b4-d824-4648-b4a3-7115ee6804b9","SECTION 10.4"
"Early Site Closure or Trial Termination","<div></div>","10.5","NarrativeContent_114","cf10963d-6a0e-4438-b18d-359b6f026be2","SECTION 10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","11","NarrativeContent_115","4612e926-d672-4e4c-976d-51c7bb976d59","SECTION 11"
"Quality Tolerance Limits","<div></div>","11.1","NarrativeContent_116","d1917014-6e10-4e89-881f-3f70d8743895","SECTION 11.1"
"Data Quality Assurance","<div></div>","11.2","NarrativeContent_117","a94a5a84-3779-4d0e-aae4-3a44f2d8cd94","SECTION 11.2"
"Source Data","<div></div>","11.3","NarrativeContent_118","bb959f0d-ec3f-4a26-a551-4b01b35eb703","SECTION 11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","12","NarrativeContent_119","f651558f-b270-403c-a8c9-d481c0e18e07","SECTION 12"
"Further Details and Clarifications on the AE Definition","<div></div>","12.1","NarrativeContent_120","a09b1da0-05d5-49e7-849a-3ce0245b8126","SECTION 12.1"
"Further Details and Clarifications on the SAE Definition","<div></div>","12.2","NarrativeContent_121","c7fef35b-2340-4f59-900c-a32ee47e3fd5","SECTION 12.2"
"Severity","<div></div>","12.3","NarrativeContent_122","23e89e1b-83a2-4864-8c99-ac791fc5ae27","SECTION 12.3"
"Causality","<div></div>","12.4","NarrativeContent_123","dcf8efdc-65d0-4c1c-b0af-098cfb27bb29","SECTION 12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","13","NarrativeContent_124","8f59f5be-f79f-4032-995e-b6440ba931a1","SECTION 13"
"Contraception and Pregnancy Testing","<div></div>","13.1","NarrativeContent_125","6524b963-4900-4e0e-af37-78a4044af2a9","SECTION 13.1"
"Definitions Related to Childbearing Potential","<div></div>","13.1.1","NarrativeContent_126","33d2a3a9-7092-4b87-914d-f950649e2bfc","SECTION 13.1.1"
"Contraception","<div></div>","13.1.2","NarrativeContent_127","3fb206f8-43f3-4af2-aaa4-20d8436133d9","SECTION 13.1.2"
"Pregnancy Testing","<div></div>","13.1.3","NarrativeContent_128","b268df38-3641-4afb-84cd-186a022c36d2","SECTION 13.1.3"
"Clinical Laboratory Tests","<div></div>","13.2","NarrativeContent_129","d940763b-afee-48e1-acc0-923e0a6bc72e","SECTION 13.2"
"Country/Region-Specific Differences","<div></div>","13.3","NarrativeContent_130","b7d152cd-ae17-4dd5-a6cf-f91f13525def","SECTION 13.3"
"Prior Protocol Amendments","<div></div>","13.4","NarrativeContent_131","ffb37cfb-830c-40d4-aea8-697f5b7aad9f","SECTION 13.4"
"APPENDIX: GLOSSARY OF TERMS","<div></div>","14","NarrativeContent_132","aaeeecc0-444d-46c8-8988-8d71a99fdf02","SECTION 14"
"APPENDIX: REFERENCES","<div></div>","15","NarrativeContent_133","a3e76fc2-8e91-43b1-bd45-09b487f2a145","SECTION 15"
