"bcPropertyResponseCodes","id","bcPropertyDatatype","uuid:ID","label","bcPropertyRequired","bcPropertyEnabled","name"
"[]","BiomedicalConceptProperty_112","string","2ca9e0b0-3e9e-4961-aef7-fc6bb0a43e9f","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_113","decimal","f04d8071-5be5-4082-8720-226366250d20","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_114","boolean","b5abe42a-6f37-4a81-9594-0208e52ca218","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_115","string","355c6bac-a9bc-4e0d-b9b5-3ad615999cbd","Molarity Unit","True","True","Molarity Unit"
"[]","BiomedicalConceptProperty_116","string","3aa7660b-65df-440b-a656-71e9d25789d8","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_117","decimal","48f1e52d-e6fb-4db8-9ac4-ed9ee7399ac6","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_118","boolean","6e740e07-e01c-4306-8b7a-a0784b85ff14","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_119","string","97a5fcf0-3ded-4e35-8af2-4e08722ff28d","Molarity Unit","True","True","Molarity Unit"
"[]","BiomedicalConceptProperty_120","string","3ecf62c5-9617-444a-8d01-b230aac501c1","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_1","string","23b3282b-c669-4eb1-a3b8-0851b7007e5c","Adverse Event Verbatim Description","True","True","Adverse Event Verbatim Description"
"[]","BiomedicalConceptProperty_2","string","ff5871ca-e48c-4607-a6f9-311e3832d927","Adverse Event Dictionary Derived Term","True","True","Adverse Event Dictionary Derived Term"
"[]","BiomedicalConceptProperty_3","string","7258a3ea-1eae-400f-9321-2f137a97938c","Adverse Event Category","True","True","Adverse Event Category"
"[]","BiomedicalConceptProperty_4","string","7841495d-1c55-4a3d-a52a-7a35ce571920","Adverse Event Subcategory","True","True","Adverse Event Subcategory"
"[]","BiomedicalConceptProperty_5","boolean","8cab65d6-7e57-4f04-a26c-c1767f7e5e82","Adverse Event Pre-specified","True","True","Adverse Event Pre-specified"
"[]","BiomedicalConceptProperty_6","string","ef96eb15-9645-4b09-b1e1-f54d97b80ef1","Severity of Adverse Event","True","True","Severity of Adverse Event"
"[]","BiomedicalConceptProperty_7","string","eabfba8e-e48f-4d18-a3ac-ab2414db9eab","Adverse Event Toxicity Grade","True","True","Adverse Event Toxicity Grade"
"[]","BiomedicalConceptProperty_8","boolean","dc5e838a-6bb3-4b78-8af3-79ffa633f55a","Seriousness of Adverse Event","True","True","Seriousness of Adverse Event"
"","BiomedicalConceptProperty_9","string","96c76c45-78d8-4101-a882-cdb0a1023f5e","Adverse Event Action Taken with Study Treatment","True","True","Adverse Event Action Taken with Study Treatment"
"[]","BiomedicalConceptProperty_10","string","ac739bdb-c107-468a-9c5c-134e3f54f7e5","Adverse Event Attribution to Product or Procedure","True","True","Adverse Event Attribution to Product or Procedure"
"[]","BiomedicalConceptProperty_11","string","ecb97d97-4771-4f68-bd22-e106550cba73","Adverse Event Pattern","True","True","Adverse Event Pattern"
"","BiomedicalConceptProperty_12","string","3375681f-ad86-473d-be22-b3f1749f0a87","Adverse Event Outcome","True","True","Adverse Event Outcome"
"[]","BiomedicalConceptProperty_13","datetime","d373dd01-e72e-48de-8dec-b591baf2c709","Adverse Event Start Date Time","True","True","Adverse Event Start Date Time"
"[]","BiomedicalConceptProperty_14","datetime","5c9a3933-7958-40f6-bbb4-f57fd785001b","Adverse Event End Date Time","True","True","Adverse Event End Date Time"
"[]","BiomedicalConceptProperty_15","decimal","94d64284-3866-4699-9d8e-fb59b3704e5e","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_16","string","fa879b8c-ddfd-46c3-a299-9efc48acca6e","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_17","string","8fea1935-1a06-4262-bb6e-be20c3228d2b","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_18","string","ed5cd8d7-2419-44e3-8494-ffdc80e68826","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_19","string","4c06e316-0faa-4916-9f5c-80e5efcf2c3a","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_20","string","e3a78091-c2dc-4339-a31d-03caa29b78bc","Vital Signs Position","True","True","Vital Signs Position"
"[]","BiomedicalConceptProperty_21","decimal","49ab6593-760e-4fb2-bdc8-cb8ab33eddf3","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_22","string","30532294-1d4d-478a-b42d-cb66a80e4623","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_23","string","6cadd3e9-6f28-4bdd-897a-e9aa20d7b008","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_24","string","5158be12-74c9-4958-a606-83e3f894112f","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_25","string","973fb848-d4db-4a1c-9b35-f0f6092e4dfb","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_26","string","fcc08274-857e-424d-a970-7d5aaf4631f4","Vital Signs Position","True","True","Vital Signs Position"
"[]","BiomedicalConceptProperty_27","decimal","a206ae91-3ca1-403f-8300-ca6346dd0ffd","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_28","string","9026eddc-d5f8-4139-b03a-0e4fa84241fe","Unit of Temperature","True","True","Unit of Temperature"
"[]","BiomedicalConceptProperty_29","string","2278d835-093b-49f2-94f1-9d5db891606b","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_30","decimal","a4a7a62d-5a16-49d9-aeb4-829a02a9d912","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_31","string","9d3150af-235f-4a1e-b414-443dd43780d4","Unit of Weight","True","True","Unit of Weight"
"[]","BiomedicalConceptProperty_32","decimal","6f3cfe8d-fc54-499b-8fd3-59777a7cb813","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_33","string","a5edf80a-11a6-4060-9f48-8dbc80b741c9","Unit of Height","True","True","Unit of Height"
"[]","BiomedicalConceptProperty_34","decimal","6d7ac3fc-f944-4aed-86b6-474921fd49a5","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_35","boolean","88fa533e-b66c-4feb-b8df-c709578ddcb7","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_36","string","6d5c5eeb-1b97-427f-9ed0-ec0761748886","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_37","string","4bdb1563-49e7-46b5-8d63-2304557aa7b3","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_38","string","3e450d5e-5c6a-4d0f-b888-9775bee8019e","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_39","boolean","58244dbf-2b64-4000-b63a-31e7c3071e3f","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_40","string","b0a81d6d-8da8-4cfe-b7f0-49a569d61741","Unit of Concentration","True","True","Unit of Concentration"
"[]","BiomedicalConceptProperty_41","string","501c31e8-128d-4ada-8829-74b2dfe65d37","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_42","decimal","1178fff7-53ea-4c81-a372-19cb0bbc0454","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_43","boolean","f3e9ad73-5aac-40ef-b7f3-141c9d994313","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_44","string","bad410c7-bfaf-44f2-8c2f-1d44253947e1","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_45","string","7821e3e4-d6ec-45e6-a3aa-ffe6d12abd73","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_46","decimal","1cc79606-6b77-41ee-9a76-1a019a1cdcda","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_47","boolean","47fcaa52-8d49-4658-adfd-377b2ed0b5d6","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_48","string","41a3df1f-7a90-481e-bd8d-69a20198c026","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_49","string","94fdb3a3-e125-42bd-9164-bc8f37dbb6b0","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_50","string","9f1b7cde-f8a8-41ba-96c8-7702440dc78e","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_51","boolean","f62467ed-3949-4b7c-979c-4148b2b7baf3","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_52","string","0ba52eed-04f0-490b-88bb-04575efa4fc6","Unit of Concentration","True","True","Unit of Concentration"
"[]","BiomedicalConceptProperty_53","string","ab855504-fedb-4456-aba0-b601077292a2","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_54","decimal","fd6213cd-bcef-4e4e-8c33-d4b105f66273","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_55","boolean","133d2b6a-1b60-42f4-8855-e1e0e74bdf24","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_56","string","1a156e1c-f8ff-467c-8945-20f303651e66","Molarity Unit","True","True","Molarity Unit"
"[]","BiomedicalConceptProperty_57","string","cdc072a2-4a97-478e-9160-95be821c715b","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_58","decimal","45b0d162-2651-49f9-89b5-070a1f920e4a","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_59","boolean","500cb827-8350-40bc-ab25-f97ff9974f05","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_60","string","f250ffde-626a-4eac-9053-d1e5104110b4","Molarity Unit","True","True","Molarity Unit"
"[]","BiomedicalConceptProperty_61","string","ee02629c-4a3f-4589-a79d-935c27aed9e2","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_62","decimal","4e38525e-0f4e-40be-8bca-cbb987ce0e77","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_63","string","1f94be7f-ad82-4082-8358-e2d7832a0dcd","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_64","string","91161054-3340-4b0d-8fd6-0ea9e03d0a20","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_65","string","64bd0a4d-234b-4ee3-b80c-088b1f0d081d","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_66","string","db714c33-6e95-43c5-b839-5425e9bee8ac","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_67","string","5f2f53ad-8f12-42f6-b2a0-2990ad307e5d","Vital Signs Position","True","True","Vital Signs Position"
"[]","BiomedicalConceptProperty_68","decimal","de70e8ca-1270-413c-98b8-315a7092713d","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_69","string","29e38070-9401-4080-805f-47483cd14186","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_70","string","ff21b379-8e77-4234-91f6-579e6b1daeff","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_71","string","b74516ac-81e5-4c5c-a41a-99b49c99f31c","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_72","string","65036c0d-aff1-486b-b5bb-c1b3e31f10e1","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_73","string","f4940c48-38c0-4a82-bdf8-551658039970","Vital Signs Position","True","True","Vital Signs Position"
"[]","BiomedicalConceptProperty_74","decimal","ca84135a-92aa-416e-9f09-8d211f096625","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_75","string","dcdb5778-f25f-416c-aec2-c6e3b659779b","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_76","string","1cf8d334-d73e-4be6-8e52-b9cee9e1534f","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_77","string","3bed3f67-f235-4370-bd09-4103b8d852de","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_78","string","8a124c1e-f73a-47bc-9133-6a7cc483cdc2","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_79","string","902aad8d-acb8-421e-aa8f-d844a2841ac5","Vital Signs Position","True","True","Vital Signs Position"
"[]","BiomedicalConceptProperty_80","decimal","175dcf33-ddb6-4164-a22b-f61947fba0c3","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_81","string","03da5603-a90d-405b-ba19-2978c731367f","Unit of Pressure","True","True","Unit of Pressure"
"[]","BiomedicalConceptProperty_82","string","c3a3576a-61f3-43ec-816b-98eca65975c1","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_83","string","37fbfe47-617b-49dc-947f-c6997c296114","Vital Signs Laterality","True","True","Vital Signs Laterality"
"[]","BiomedicalConceptProperty_84","string","bfbd4f07-269f-4686-ba0f-649aa8a50fe7","Test Method","True","True","Test Method"
"[]","BiomedicalConceptProperty_85","string","d3c6af20-ca5a-4d5a-bfc9-b6ba1333b77b","Vital Signs Position","True","True","Vital Signs Position"
