"uuid:ID","name","id","text","sectionTitle","sectionNumber"
"b7600019-06da-4f5a-80fb-6a0764f00a67","SECTION 8.4.10","NarrativeContent_78","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10"
"eea6c12a-54dc-49be-bcbb-9ed1d3dfdd84","SECTION 8.5","NarrativeContent_79","<div></div>","Pregnancy and Postpartum Information","8.5"
"0057a05c-bc33-4533-af1e-dbf4d93a5c47","SECTION 8.5.1","NarrativeContent_80","<div></div>","Participants Who Become Pregnant During the Trial","8.5.1"
"3b5c632f-8dd7-4376-aaa7-1f03c902fceb","SECTION 8.5.2","NarrativeContent_81","<div></div>","Participants Whose Partners Become Pregnant","8.5.2"
"bc0f9ce7-d11c-48eb-831e-24e954845957","SECTION 8.6","NarrativeContent_82","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","8.6"
"22ec2751-f7a2-4754-b2bc-41f63a3dfd64","SECTION 8.6.1","NarrativeContent_83","<div></div>","Definition of Medical Device Product Complaints","8.6.1"
"ab0119ba-6548-4392-99e6-02da94461a88","SECTION 8.6.2","NarrativeContent_84","<div></div>","Recording of Medical Device Product Complaints","8.6.2"
"de38fe2f-2ef9-4657-aed3-e064b8d232bc","SECTION 8.6.3","NarrativeContent_85","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3"
"2013c809-a4fb-4bd8-93a1-1b53653980f6","SECTION 8.6.4","NarrativeContent_86","<div></div>","Follow-Up of Medical Device Product Complaints","8.6.4"
"c17cc84c-0ab3-474f-aea2-72001846ceff","SECTION 8.6.5","NarrativeContent_87","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5"
"4e7aadd4-e7f2-4f0b-a2bb-93e1569436a9","SECTION 8.7","NarrativeContent_88","<div></div>","Pharmacokinetics","8.7"
"b7a0e861-92d0-48fa-a7fb-9ae34f9f5302","SECTION 8.8","NarrativeContent_89","<div></div>","Genetics","8.8"
"094d7cfb-e14e-4788-811c-8044eb3a2223","SECTION 8.9","NarrativeContent_90","<div></div>","Biomarkers","8.9"
"fcdb0ced-0ffb-4779-8a34-d5929a93d688","SECTION 8.1","NarrativeContent_91","<div></div>","Immunogenicity Assessments","8.1"
"fd6ec209-eefd-433d-bb61-02b06574cfb9","SECTION 8.1.1","NarrativeContent_92","<div></div>","Medical Resource Utilisation and Health Economics","8.1.1"
"da6e5de5-3fc8-4510-9a6d-0c507d3026b9","SECTION 9","NarrativeContent_93","<div></div>","STATISTICAL CONSIDERATIONS","9"
"ae61763a-928a-43c9-aa5e-b65e2ec19876","SECTION 9.1","NarrativeContent_94","<div></div>","Analysis Sets","9.1"
"075de716-a031-41f6-a54a-590d77e07464","SECTION 9.2","NarrativeContent_95","<div></div>","Analyses Supporting Primary Objective(s)","9.2"
"ae686c73-1849-4076-85a1-259bd8c05df3","SECTION 9.2.1","NarrativeContent_96","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","9.2.1"
"1a9aee5c-28c4-4526-ad64-00e85da03d1a","SECTION 9.2.2","NarrativeContent_97","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2"
"51fb103a-a043-44a5-a6ac-39e12bc744ba","SECTION 9.2.3","NarrativeContent_98","<div></div>","Handling of Missing Data","9.2.3"
"a21cc1e6-39b9-4343-b2e6-31ce6e1d625d","SECTION 9.2.4","NarrativeContent_99","<div></div>","Sensitivity Analysis","9.2.4"
"553580df-23a7-466e-b958-0fdcfde836ac","SECTION 9.2.5","NarrativeContent_100","<div></div>","Supplementary Analysis","9.2.5"
"4636190e-f752-4b8e-8cb9-ab1ae8c0b345","SECTION 9.3","NarrativeContent_101","<div></div>","Analysis Supporting Secondary Objective(s)","9.3"
"cff2ddd5-18d2-4564-a401-1ecc53ac8bfe","SECTION 9.4","NarrativeContent_102","<div></div>","Analysis of Exploratory Objective(s)","9.4"
"e7205f72-e958-4506-8bf5-b49a0d857a96","SECTION 9.5","NarrativeContent_103","<div></div>","Safety Analyses","9.5"
"5bb1b69c-71e8-41b1-8a16-7aa4aa7d10b5","SECTION 9.6","NarrativeContent_104","<div></div>","Other Analyses","9.6"
"7052f778-4f49-4cc3-b00d-11c4e460a738","SECTION 9.7","NarrativeContent_105","<div></div>","Interim Analyses","9.7"
"a42133bc-05fe-42ed-9370-5904a09ea57d","SECTION 9.8","NarrativeContent_106","<div></div>","Sample Size Determination","9.8"
"791d6490-492e-48b7-a854-c5cddd7356ad","SECTION 9.9","NarrativeContent_107","<div></div>","Protocol Deviations","9.9"
"1a686889-893e-4f34-89f7-843b823a8f89","SECTION 10","NarrativeContent_108","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10"
"63cc682c-ff90-4a04-9517-f4ed384bad03","SECTION 10.1","NarrativeContent_109","<div></div>","Regulatory and Ethical Considerations","10.1"
"c393681d-25f0-4317-a017-ce094c6ab2fc","SECTION 10.2","NarrativeContent_110","<div></div>","Committees","10.2"
"484c848a-cc07-495d-b0ee-99eac1bec230","SECTION 10.3","NarrativeContent_111","<div></div>","Informed Consent Process","10.3"
"72d1d68d-21b3-4946-be5a-012855c96b08","SECTION 10.4","NarrativeContent_112","<div></div>","Data Protection","10.4"
"aebd0e66-3990-49d6-bd37-9f1d13d43d63","SECTION 10.5","NarrativeContent_113","<div></div>","Early Site Closure or Trial Termination","10.5"
"87d1ecb5-ae36-4f09-aa9a-9ddcc95ae46c","SECTION 11","NarrativeContent_114","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11"
"d4d1e494-d2ae-41d5-bcbc-6b7c247e2536","SECTION 11.1","NarrativeContent_115","<div></div>","Quality Tolerance Limits","11.1"
"b71e9de1-43c9-4e97-a52f-7eb23d779f36","SECTION 11.2","NarrativeContent_116","<div></div>","Data Quality Assurance","11.2"
"10d7026a-eb46-488c-8f42-ec734ef4590e","SECTION 11.3","NarrativeContent_117","<div></div>","Source Data","11.3"
"68eea28f-be7f-4f75-9844-ddaf7bb0b357","SECTION 12","NarrativeContent_118","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12"
"5fa2773b-449e-4901-be04-7d8e6df24d54","SECTION 12.1","NarrativeContent_119","<div></div>","Further Details and Clarifications on the AE Definition","12.1"
"329eb928-5056-402f-9acc-78a7df35eed3","SECTION 12.2","NarrativeContent_120","<div></div>","Further Details and Clarifications on the SAE Definition","12.2"
"5fb37b74-d997-4b20-8d45-da4f0c7a74ed","SECTION 12.3","NarrativeContent_121","<div></div>","Severity","12.3"
"e992ac46-de79-42c3-834e-38c2e8de894f","SECTION 12.4","NarrativeContent_122","<div></div>","Causality","12.4"
"ffc673be-60eb-4006-8545-030c83c9da3b","SECTION 13","NarrativeContent_123","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13"
"521f3c25-f6df-42a2-9f81-5fc86312af85","SECTION 13.1","NarrativeContent_124","<div></div>","Contraception and Pregnancy Testing","13.1"
"f0792363-3455-4218-a85b-a582971a7860","SECTION 13.1.1","NarrativeContent_125","<div></div>","Definitions Related to Childbearing Potential","13.1.1"
"c0592853-9a86-45c7-bec2-2212aa605e52","SECTION 13.1.2","NarrativeContent_126","<div></div>","Contraception","13.1.2"
"c8f661e6-fa9a-41f5-92f6-1de386996a80","SECTION 13.1.3","NarrativeContent_127","<div></div>","Pregnancy Testing","13.1.3"
"7b75cad6-19ac-40e1-9a2c-8e7c0f6a9e56","SECTION 13.2","NarrativeContent_128","<div></div>","Clinical Laboratory Tests","13.2"
"f2eb09fa-c9ff-4455-a469-cedd968df38f","SECTION 13.3","NarrativeContent_129","<div></div>","Country/Region-Specific Differences","13.3"
"281dfc95-366b-4ece-b711-3a833b28fb75","SECTION 13.4","NarrativeContent_130","<div></div>","Prior Protocol Amendments","13.4"
"1274482b-e193-4f34-829d-ddd7f1523e20","SECTION 14","NarrativeContent_131","<div></div>","APPENDIX: GLOSSARY OF TERMS","14"
"a174be77-a213-4bdc-8fa7-f2392a208893","SECTION 15","NarrativeContent_132","<div></div>","APPENDIX: REFERENCES","15"
