"id","uuid:ID","decode","codeSystem","instanceType","code","codeSystemVersion"
"Code_134","e8dd36e3-d240-435a-a724-e9a5387236f8","Alzheimer's disease","SNOMED","Code","26929004","January 31, 2018"
"Code_142","696127da-34fe-493c-a5ca-c86c778aaab6","EXTENSION","http://www.cdisc.org","Code","C99907x1","2023-09-29"
"Code_143","b42a7021-7211-4e0c-ae4e-47e48057189d","ADAPTIVE","http://www.cdisc.org","Code","C98704","2023-09-29"
"Code_140","cddaab10-686e-433e-b84a-2aca5aa62c68","Parallel Study","http://www.cdisc.org","Code","C82639","2023-09-29"
"Code_82","a6ab2eb7-3f33-4c8c-8e71-ac790d40a7b2","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_83","e2d2e343-ca86-4147-bb84-a409fe618d30","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_84","27481bdd-5dc0-4fbe-bc53-88a8c5fcd5e5","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_85","d54e0470-54e6-4b96-9f18-020e1e491384","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_86","9423079a-8863-47de-988c-464ac3b78a17","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_87","955c1b54-127f-4651-9f03-9c75684b88aa","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_88","d8f3d8ca-dda6-45c0-85ec-20018eea6989","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_89","25b2f0d8-c594-4ca4-b772-1dfbe0677240","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_90","188e175f-573d-41c8-b6ef-447714baccca","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_91","8e99a61b-1baa-443c-9d42-18dabb499d88","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_92","83d0c1b6-10ef-47b3-8c42-de8940d41bf0","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_93","d8e77093-d0cb-4af6-a7c6-245c39fed6df","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_94","ad65de22-43c0-468e-a490-5968bcfdded9","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_95","608b032f-9586-4f09-8808-74adbf1f084e","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_96","e3666b0c-d434-4d52-8ab8-1b28aa7e4150","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_97","a55d65bd-b239-49b8-99d8-6b42bf58dc32","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_98","301814c0-de85-4179-81e5-d61b20b818e4","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_99","03fb608d-5ea7-4451-86be-f8dd005c7472","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_100","cee0b3fa-6207-43c8-b75a-fcbae7fd10b4","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_101","2453bd7a-1ec9-488f-a1b2-ddd9ffa2ea5c","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_102","f0c84fb8-b745-479b-9bf1-3297ac8ba8f0","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_103","f2f5cd9d-9eb4-4b23-8cc8-aca9a0339a79","Telephone Call","http://www.cdisc.org","Code","C171537","2023-09-29"
"Code_104","73722af1-c042-49e0-99f4-9ad86409c6bc","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_105","0e81ceda-9250-418f-8d44-68fd372bbcb1","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_106","24eaa7db-37fc-444a-ac39-7d49960345c6","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_107","45ccdbdc-8d51-4d41-93a3-eda50a174102","Telephone Call","http://www.cdisc.org","Code","C171537","2023-09-29"
"Code_108","7ecfd09d-71f7-4bad-9fa1-cffeef1dbcf1","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_109","5effc903-3cb0-42d7-9921-2befd3e65c6c","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_110","7951c5d2-2e6a-4cbd-98db-36af869c0288","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_111","d1b5c417-828a-4469-a24c-2eff721b43ed","Telephone Call","http://www.cdisc.org","Code","C171537","2023-09-29"
"Code_112","709bbc69-fdf9-402c-9766-d781588854e6","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_113","46672836-90bb-4b03-9260-ab4c22ee9af6","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_114","60182c32-62e6-4708-ab6a-8c90b5780f09","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_115","d59ab7df-265b-415b-9eb8-179b73706da2","Telephone Call","http://www.cdisc.org","Code","C171537","2023-09-29"
"Code_116","a30c965b-aca8-4c1f-9756-e0c44d020da9","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_117","26b3243e-8307-4b8c-a038-2b18f93099a7","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_118","431992ec-312c-4287-bdf0-1e2f50054c27","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_119","67c64ef8-c93e-48a5-920a-b8ff3a5048d6","Visit","http://www.cdisc.org","Code","C25716","2023-09-29"
"Code_120","96f0267e-3fe5-418c-9511-e786936203dc","Clinic","http://www.cdisc.org","Code","C51282","2023-09-29"
"Code_121","96b8e155-977d-4eb7-8955-9392ef4e4c84","In Person","http://www.cdisc.org","Code","C175574","2023-09-29"
"Code_79","1e24bc23-6e25-49f7-92e9-ea2b606e203b","CT of head without contrast","SNOMED","Code","383371000119108","January 31, 2018"
"Code_80","6a6a5e60-53f8-4c9b-9f0c-0fa34e073165","Subject Supine","SPONSOR","Code","123","12"
"Code_81","b9d5cefa-7c14-482b-9d4a-b83740291b7e","Subject Standing","SPONSOR","Code","124","12"
"Code_278","af7d22bd-9716-4663-9f3e-a64999c8efd6","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_279","6d0c7655-f280-4205-b3c3-9d203b14e669","Kelvin","http://www.cdisc.org","Code","C42537","2023-09-29"
"Code_280","6ea1cb2b-c4b6-4524-b925-5011026d1726","Unit of Temperature","NCI Thesaurus","Code","C44276",""
"Code_281","28b82f24-2735-451e-a26f-8d30f7c82972","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_277","16b6a265-5caf-4d9a-aba0-d2cedff854aa","Body Temperature","NCI Thesaurus","Code","C174446",""
"Code_283","9f59a3af-cd8e-426d-8edd-00857ee9a7b0","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_284","497a6b15-0503-4a0f-836e-17b3c55a81d6","Kilogram","http://www.cdisc.org","Code","C28252","2023-09-29"
"Code_285","1ac42c4a-a933-4c1b-bd52-c7b8debfc497","Gram","http://www.cdisc.org","Code","C48155","2023-09-29"
"Code_286","f2fb4a75-e9e6-4fbc-bf96-14f9785405ce","Pound","http://www.cdisc.org","Code","C48531","2023-09-29"
"Code_287","76ac6d41-cc98-405f-b686-138162b13449","Unit of Weight","NCI Thesaurus","Code","C48208",""
"Code_282","f20f586a-1ce3-4bcb-89c5-fd5acef58a64","Body Weight","NCI Thesaurus","Code","C81328",""
"Code_289","d67584fe-692a-413d-8b42-8b73bb6ff660","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_290","8af9f73e-69df-482f-94c8-be9db9421a11","Centimeter","http://www.cdisc.org","Code","C49668","2023-09-29"
"Code_291","1340295e-83bc-4d41-a770-237977db3f84","Inch","http://www.cdisc.org","Code","C48500","2023-09-29"
"Code_292","db9e6af4-9832-42b0-9612-85f4fb9ab68f","Millimeter","http://www.cdisc.org","Code","C28251","2023-09-29"
"Code_293","ef54bdb3-d3ec-4281-937d-462026c5abfc","Meter","http://www.cdisc.org","Code","C41139","2023-09-29"
"Code_294","a539ce0c-2cd8-4661-9db8-95d5e2c0573f","Unit of Height","NCI Thesaurus","Code","C168688",""
"Code_288","9a767bd0-2733-472f-833f-a4276bd0a161","Body Height","NCI Thesaurus","Code","C164634",""
"Code_296","cd0f4ac4-75c8-43a3-9ea9-bec518fe7bdd","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_297","e370c75e-7052-4912-9441-e1bce2ba0e8b","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_298","a3c9ed68-34fe-4b59-b41b-0948dece6850","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_299","88049ff6-8bff-4248-995e-c20308c88af8","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_295","999e69c5-8b02-41a3-b483-c7f7a4863bcd","Alanine Aminotransferase Measurement","NCI Thesaurus","Code","C64433",""
"Code_301","e3d9868c-0547-40e3-9f18-7e4dbd19301b","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_302","431392ae-e376-4a2c-84dd-5f55d52de1ed","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_303","e391e090-30a7-4a3b-84c9-a5442c9aaa70","Unit of Concentration","NCI Thesaurus","Code","C48207",""
"Code_304","b5e50182-b22a-465e-b08c-764bc1d07046","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_300","0af3d120-2ec1-4946-9d46-80d9415a5920","Albumin Measurement","NCI Thesaurus","Code","C64431",""
"Code_306","16cdfaa0-79bc-4178-9820-c41d54ef2993","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_307","dabd46a2-a762-403a-a7b3-2ada7a5f2354","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_308","4fb411a0-ed0f-43ac-8fe8-09cb000e2134","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_309","e9b828a9-f749-4663-87f1-f5c839946564","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_305","19998189-0dc2-4199-8d57-b0e58a87f4c5","Alkaline Phosphatase Measurement","NCI Thesaurus","Code","C64432",""
"Code_311","9d9306a4-d59a-4ca6-b6f3-5a5285d9d781","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_312","19a809a9-6937-4899-89ae-d828b908de17","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_313","dbcbc1c9-12d4-4f95-a374-df156dc96b62","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_314","0b2b6eef-577d-4073-8e58-c931449f6e4d","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_310","40044cc8-afcd-4f74-8782-40718e0f4702","Aspartate Aminotransferase Measurement","NCI Thesaurus","Code","C64467",""
"Code_316","5cc0e263-93bc-458f-8407-1d0b9d142f13","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_317","0f22851b-4f4b-4a02-a0fb-d4a2654cdc67","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_318","3a3aa8a0-afeb-4772-b0d2-ff67d8c92237","Unit of Concentration","NCI Thesaurus","Code","C48207",""
"Code_319","2cfdd6d7-edf4-4a95-823c-9f3947602be1","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_315","c3f251b0-3281-485e-86f4-0a2fb3f6ba21","Creatinine Measurement","NCI Thesaurus","Code","C64547",""
"Code_321","db365d25-ad9d-4dac-8756-7ab7dfbf59f5","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_322","3d26a39f-8ae2-4b8a-a8dd-c2c4f45b769c","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_323","730417cd-69e9-4d9b-acc7-2b43fd4e63a1","Molarity Unit","NCI Thesaurus","Code","C64567",""
"Code_324","dac09d5f-48fc-48a5-8596-2122a328e1ed","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_320","0e68827e-b6d4-450d-8bad-dc59b50ad73c","Potassium Measurement","NCI Thesaurus","Code","C64853",""
"Code_326","71d39bc7-bb39-42d0-910d-4ba45ea82958","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_327","a63aa978-6700-4bcd-99ca-c28dfa406694","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_328","fcb494f5-bf2b-4cf6-83ee-a6ebc5377728","Molarity Unit","NCI Thesaurus","Code","C64567",""
"Code_329","92d2ffe5-bf7d-4578-bf15-a1d2f73a0102","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_325","2804bffa-ad01-4502-bfa3-a58aa1a1362f","Sodium Measurement","NCI Thesaurus","Code","C64809",""
"Code_145","57f84f20-b045-49d0-b1b5-176f99c567b1","Adverse Event Verbatim Description","NCI Thesaurus","Code","C78541",""
"Code_146","897eef81-639b-439e-a0f3-7c9953334773","Adverse Event Dictionary Derived Term","NCI Thesaurus","Code","C83344",""
"Code_147","6dd50123-a1b3-4e39-a51a-a947190ffb18","Adverse Event Category","NCI Thesaurus","Code","C83198",""
"Code_148","095ed4a6-ab6f-4e7a-927a-474eb4943785","Adverse Event Subcategory","NCI Thesaurus","Code","C83212",""
"Code_149","e574d991-1839-49d8-8889-904678a6257f","Adverse Event Pre-specified","NCI Thesaurus","Code","C87840",""
"Code_150","4d75fa8d-7f87-4775-9812-6caf22308f50","Severity of Adverse Event","NCI Thesaurus","Code","C53253",""
"Code_151","77b0786f-4d5a-4d5d-9220-655a65db235e","Adverse Event Toxicity Grade","NCI Thesaurus","Code","C78605",""
"Code_152","ebfd618d-548f-4890-91bf-e80f3ddaf401","Seriousness of Adverse Event","NCI Thesaurus","Code","C53252",""
"Code_153","00d5a28d-86a9-47ab-84f7-56821ddeed5b","Adverse Event Action Taken with Study Treatment","NCI Thesaurus","Code","C83013",""
"Code_154","c02c5c3b-12c8-4793-8ee5-26c6326a3a08","Adverse Event Attribution to Product or Procedure","NCI Thesaurus","Code","C41358",""
"Code_155","f75dae0c-42c2-4595-8210-213615bc7971","Intermittent","http://www.cdisc.org","Code","C71325","2023-09-29"
"Code_156","435a2a97-a98c-4700-aa6f-1cc08c25a982","Adverse Event Pattern","NCI Thesaurus","Code","C83208",""
"Code_157","e16539c6-5929-499a-aed4-3cb226b7d327","Adverse Event Outcome","NCI Thesaurus","Code","C49489",""
"Code_158","e24c2c58-004a-4908-b8b5-66bce08e6be2","Adverse Event Start Date Time","NCI Thesaurus","Code","C83215",""
"Code_159","ef78b4ed-5721-45e9-9794-f7db72a949a0","Adverse Event End Date Time","NCI Thesaurus","Code","C83201",""
"Code_144","cfdf04c9-b92b-4025-8743-a8ecb438dbba","Adverse Event","NCI Thesaurus","Code","C41331",""
"Code_161","38bdb645-84f8-4fc1-8f9b-c0356c2502a2","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_162","494bfb9a-c31c-4327-bf61-0f4ec6fea1df","Pascal","http://www.cdisc.org","Code","C42547","2023-09-29"
"Code_163","d2fb014c-68ed-466c-8f18-561f4281e446","Unit of Pressure","NCI Thesaurus","Code","C49669",""
"Code_164","ae93b086-ed04-48e8-86fd-f27c3f0cf676","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_165","2ce32a4c-5be1-4fe1-b001-3c961e1270bd","Vital Signs Laterality","NCI Thesaurus","Code","C123975",""
"Code_166","038ee12d-294e-45b2-b368-8e12032fe318","Test Method","NCI Thesaurus","Code","C82535",""
"Code_167","ae2521cd-eedd-4658-be84-49a7694548e7","Vital Signs Position","NCI Thesaurus","Code","C83114",""
"Code_160","41441c05-431b-44ba-ad70-181ad4627855","Systolic Blood Pressure","NCI Thesaurus","Code","C25298",""
"Code_169","6b714394-cc64-44a3-95a6-a5dda5de1483","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_170","b97f2295-65a8-4bdc-bad7-f30d16edda6d","Pascal","http://www.cdisc.org","Code","C42547","2023-09-29"
"Code_171","c8c8c13b-e8e2-49a5-9829-381e0a386b9a","Unit of Pressure","NCI Thesaurus","Code","C49669",""
"Code_172","b7609470-254a-41e6-ad61-81b964c0db45","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_173","985e7837-bdfb-4731-bcfa-991801b08467","Vital Signs Laterality","NCI Thesaurus","Code","C123975",""
"Code_174","7db0f10e-bf93-49c4-b33f-0f453251f975","Test Method","NCI Thesaurus","Code","C82535",""
"Code_175","1a6e5b47-ce28-47c1-a992-cca62cc39dff","Vital Signs Position","NCI Thesaurus","Code","C83114",""
"Code_168","24176216-e619-42a5-960a-c851146df0c7","Diastolic Blood Pressure","NCI Thesaurus","Code","C25299",""
"Code_177","a5774e48-263d-4208-bb94-28baac8eefaf","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_178","e13d6861-b0ac-4b3a-9f44-944d99a85b65","Kelvin","http://www.cdisc.org","Code","C42537","2023-09-29"
"Code_179","412e2f57-07d0-45f5-a15c-38f0c59e4438","Unit of Temperature","NCI Thesaurus","Code","C44276",""
"Code_180","b1d10bbb-da4b-4c89-a112-21a420d9d257","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_176","ea9ad286-91d4-4b8d-b804-d5163f4b8960","Body Temperature","NCI Thesaurus","Code","C174446",""
"Code_182","d324611a-736d-4198-9372-69f8b19fc77e","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_183","89848fba-4121-4882-a567-b09340acdf92","Kilogram","http://www.cdisc.org","Code","C28252","2023-09-29"
"Code_184","dc142014-15b4-4ad1-b1ca-e0f53e35d045","Gram","http://www.cdisc.org","Code","C48155","2023-09-29"
"Code_185","5c338922-c81a-4a39-b9fc-14ea203c1805","Pound","http://www.cdisc.org","Code","C48531","2023-09-29"
"Code_186","2d4d1032-47b6-4b47-8cab-28bd5e71e674","Unit of Weight","NCI Thesaurus","Code","C48208",""
"Code_181","a635c6e9-6858-45a5-b054-648a0c6d4771","Body Weight","NCI Thesaurus","Code","C81328",""
"Code_188","f3cd6fde-9409-483a-916a-5873712f4fc9","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_189","9d0957fb-a7f4-4a37-acb6-de6475f616d0","Centimeter","http://www.cdisc.org","Code","C49668","2023-09-29"
"Code_190","8b04b2e9-2cb7-4c2e-b795-05bac89a5c04","Inch","http://www.cdisc.org","Code","C48500","2023-09-29"
"Code_191","23dd58ba-52f8-4892-a121-37f9426468b8","Millimeter","http://www.cdisc.org","Code","C28251","2023-09-29"
"Code_192","7a2f744d-0ea7-4c66-a19f-e770ec57a285","Meter","http://www.cdisc.org","Code","C41139","2023-09-29"
"Code_193","43106e41-df14-4e65-a455-7b94965da427","Unit of Height","NCI Thesaurus","Code","C168688",""
"Code_187","93b9ad45-b2cb-4494-8eb9-7499231ac70a","Body Height","NCI Thesaurus","Code","C164634",""
"Code_195","06e8d96a-53d9-411f-9448-58e50fe1fa22","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_196","c02ba619-cb60-47ba-8fe4-71e325685e1c","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_197","dd2a540a-cb7f-4953-8910-212556fdd264","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_198","25bf43e6-4857-4427-807a-ca401b0f72f8","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_194","7d35fc53-44e9-4aac-ada0-7abdd0be92fe","Alanine Aminotransferase Measurement","NCI Thesaurus","Code","C64433",""
"Code_200","ce30deba-8a51-4316-93eb-2545eff3d31c","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_201","aa90bcd9-e033-4b13-916f-b086f344c85d","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_202","1c2f7010-c29f-46e0-bb57-f330ec730f38","Unit of Concentration","NCI Thesaurus","Code","C48207",""
"Code_203","054c0f53-64ae-4ec4-b689-56c24541e6a5","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_199","2e0f740d-7c12-4335-99a2-cab55342b3ea","Albumin Measurement","NCI Thesaurus","Code","C64431",""
"Code_205","893ef929-c176-4fae-ad7a-2a45621f91da","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_206","2eeddd42-39f2-40ab-97d8-1fd431b8c6f4","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_207","24cdc8ab-82a6-4b3b-ac28-53405617dbc0","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_208","3394a2ee-4505-4abd-98b9-cfdb1433d55d","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_204","7422a1ab-1b32-480b-ae3b-a52f72af1418","Alkaline Phosphatase Measurement","NCI Thesaurus","Code","C64432",""
"Code_210","8da684ac-e813-4df1-b3b1-3ff69f6dd9b3","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_211","ef0d0bbf-0071-4d42-a17e-c7c4951c64cb","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_212","4e3e672e-d294-49eb-adff-c52c8842e55d","Unit of Catalytic Activity Concentration","NCI Thesaurus","Code","C67365",""
"Code_213","8e6ec694-52a4-4664-a86a-b7e57e6ed804","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_209","b702851a-29ef-4fe4-8478-86f2d0801e53","Aspartate Aminotransferase Measurement","NCI Thesaurus","Code","C64467",""
"Code_215","734efef3-d25d-419d-8d2a-f8228ef618a0","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_216","7068fe5f-ee41-4ca9-8bd8-f194b1b5549a","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_217","902df637-ae6b-481b-ac52-aa904a69077d","Unit of Concentration","NCI Thesaurus","Code","C48207",""
"Code_218","cddab43e-7e40-4b7d-aa81-9586f37de2ac","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_214","874bcc22-4ca5-4c63-bda0-ca50fa97c5e4","Creatinine Measurement","NCI Thesaurus","Code","C64547",""
"Code_220","cb6248b3-c759-4e3e-a6c0-a6fd83839def","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_221","e803cc19-57e6-4c84-a485-cfbee94baf80","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_222","1f7eef3b-a49c-4c7d-8297-89f94ada0abd","Molarity Unit","NCI Thesaurus","Code","C64567",""
"Code_223","4100434d-ff40-4476-9791-8c578c17b05b","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_219","de166fd8-e491-4cc5-85b1-d570d62bf1f8","Potassium Measurement","NCI Thesaurus","Code","C64853",""
"Code_225","34706d14-1058-4650-b4eb-b98519c4448e","Laboratory Test Result","NCI Thesaurus","Code","C36292",""
"Code_226","589e52c8-cffc-4b0e-a779-533ffe919ed3","Laboratory Test Fasting Status","NCI Thesaurus","Code","C83309",""
"Code_227","08f5a69c-3426-4859-9bf8-cf9d5d673a60","Molarity Unit","NCI Thesaurus","Code","C64567",""
"Code_228","5bf38c5b-ff38-43ca-96ea-1a9db6793a5a","Biospecimen Type","NCI Thesaurus","Code","C70713",""
"Code_224","3b162b5c-e22b-4f7a-b49b-080cfc0027a6","Sodium Measurement","NCI Thesaurus","Code","C64809",""
"Code_230","b572c217-3a76-4afb-80a9-7823be283e23","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_231","7a6d8ff2-9b6b-4850-9f71-8d7bc7f5821e","Pascal","http://www.cdisc.org","Code","C42547","2023-09-29"
"Code_232","6fa3ad46-df35-4b6d-bab1-ac32cb4676f4","Unit of Pressure","NCI Thesaurus","Code","C49669",""
"Code_233","f36acc80-a9cf-4330-b270-1391502718b5","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_234","b80192e8-7521-4974-9d65-f6312bd85699","Vital Signs Laterality","NCI Thesaurus","Code","C123975",""
"Code_235","19b7964f-b5c7-4d2c-aa31-eee52b52d746","Test Method","NCI Thesaurus","Code","C82535",""
"Code_236","fcf1cf18-3ab8-4392-acf9-d69ab98d79fa","Vital Signs Position","NCI Thesaurus","Code","C83114",""
"Code_229","59efd6d0-4106-4d22-b8d4-4e550781630e","Systolic Blood Pressure","NCI Thesaurus","Code","C25298",""
"Code_238","dccd4fa0-aef8-49a1-ab51-865b5f450a65","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_239","55bc829f-4c80-42d5-a0a3-ab0f2d1441ca","Pascal","http://www.cdisc.org","Code","C42547","2023-09-29"
"Code_240","5c69a427-f7f9-46b1-bbe3-af84a6fd5532","Unit of Pressure","NCI Thesaurus","Code","C49669",""
"Code_241","26a534eb-7a4f-4364-99e6-dd949af12c1e","Vital Signs Location","NCI Thesaurus","Code","C83088",""
"Code_242","0d08f97d-6a69-4171-8af2-5c66100f3b1e","Vital Signs Laterality","NCI Thesaurus","Code","C123975",""
"Code_243","4f84034c-d522-4002-ac85-df58b8536e0a","Test Method","NCI Thesaurus","Code","C82535",""
"Code_244","c6ecfaae-baad-4022-bede-86412e343d04","Vital Signs Position","NCI Thesaurus","Code","C83114",""
"Code_237","acb12df0-11e7-46d5-82df-6b6059f2755d","Diastolic Blood Pressure","NCI Thesaurus","Code","C25299",""
"Code_246","a1e89b69-29b0-4180-8fd4-2477ab84be68","Vital Signs Result","NCI Thesaurus","Code","C173522",""
"Code_247","c2e441f8-9a19-4c31-bac1-18f91c4c509e","Beats per Minute","http://www.cdisc.org","Code","C49673","2023-09-29"
