"label","isEnabled","id","uuid:ID","isRequired","instanceType","datatype","name"
"Laboratory Test Result","True","BiomedicalConceptProperty_42","c40ec6b3-b2ad-49b1-b033-9575e0b2bda6","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_43","6af12b33-424a-4588-b4ea-769dfa71e2e2","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_44","9d5354e1-db85-4a2b-a004-d5a9367cdfb4","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_45","af40c11c-dd14-4d16-94bc-bb8662ffd482","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_46","6ec4b968-1435-4d3a-896f-08d4ac4ebec0","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_47","22523cba-966c-4278-9361-0e5be96de85e","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_48","199dd90f-68fe-4d5b-801b-daee14f15b86","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_49","bfe1695e-0085-43ec-8d9e-bf27f81cd054","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_50","1ad7f28a-4515-4d88-a947-7040206c9ad6","True","BiomedicalConceptProperty","string","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_51","50cc79d9-045c-4bd1-ab19-b0f6a7240394","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Concentration","True","BiomedicalConceptProperty_52","708f4c54-989c-4778-ac85-b033960b0ded","True","BiomedicalConceptProperty","string","Unit of Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_53","fcc7a118-3bce-4363-86c2-7f71bd1e3c33","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_54","369f5b8a-edad-4bdd-b9a7-0c5037191dc4","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_55","809af21b-4d1a-4255-aab7-6f24744a4722","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Molarity Unit","True","BiomedicalConceptProperty_56","e72cf406-ddb5-4179-85c2-0d5ee01f3b29","True","BiomedicalConceptProperty","string","Molarity Unit"
"Biospecimen Type","True","BiomedicalConceptProperty_57","bf8ee152-f48f-4a9a-9251-469c9365bdbb","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_58","6f5cc244-deeb-4195-8106-4ad0733b4174","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_59","f837e0d5-81f7-44ee-8a99-a474056d468b","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Molarity Unit","True","BiomedicalConceptProperty_60","03f16f13-4c28-4957-bd6f-9fa01dc77572","True","BiomedicalConceptProperty","string","Molarity Unit"
"Biospecimen Type","True","BiomedicalConceptProperty_61","f77f20eb-2573-4da8-b9d5-d1a7a8f1409b","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Vital Signs Result","True","BiomedicalConceptProperty_62","14835c38-9cee-4bd8-8f73-657cd5bd8ad1","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_63","d17ef9aa-dd8b-4a0b-91bd-5075ea78f9d4","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_64","7795f343-849a-4f38-908a-03539cc195c5","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_65","a28dd629-e284-45c6-9b2b-d221c0b04d3d","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_66","b483cb10-6291-45f2-8724-bc52c5646fc0","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_67","d736b334-3ab9-4eb3-8165-6058bbfff733","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_68","05755af6-90ad-471e-9298-38d51041fa58","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_69","e4dae55f-3c5d-4d3f-8656-9de1e938ccab","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_70","e1ed2241-87a1-4577-ae97-e0f7c05cea1f","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_71","303a0f6b-d9aa-4d21-a83b-0a693c59eeda","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_72","28d76236-b880-49fd-86c4-ebd5a764567e","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_73","8b31e622-bb31-4987-ae46-848004ebfd8a","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_74","da05b33c-11c4-40b4-97c2-cdd31d6dc0b0","True","BiomedicalConceptProperty","integer","Vital Signs Result"
"Count per Minute","True","BiomedicalConceptProperty_75","b1e1558e-5875-4a14-99a2-8d303b1b8bd4","True","BiomedicalConceptProperty","string","Count per Minute"
"Vital Signs Location","True","BiomedicalConceptProperty_76","f5fabb0a-ce94-4e23-b684-0603025218b9","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_77","731dc790-e443-4f43-b033-4705f7792dd7","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_78","bb6aba3a-30bc-43c8-bbc9-333a80ac5296","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_79","804be8a9-a706-470b-b1dd-9905259eb585","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_80","176cc6dd-dc12-4e2a-8dc6-703d67f82bc9","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_81","c0a1fe76-8c92-415b-8426-4db246744c67","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_82","3c08b181-f5e1-433a-8ac0-6a6d98423068","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_83","af0c8b68-b905-4204-af27-81fdd7b6d914","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_84","ca0c87de-ab7f-46bc-81f8-483ea6e43401","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_85","be2db28d-b160-43e5-9849-f2b4519e0103","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_86","a4969ee2-3583-40e1-b2f8-23b9c2fd9a52","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_87","9344be20-0bcf-4a5b-a61a-e05a0ff1b053","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_88","593cf672-2674-4e1d-9527-c686494cd02f","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_89","9ae1186b-a0be-4ed3-9e50-7508b61e5887","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_90","b5696d87-da9f-47cc-95d8-8b3f52d468d0","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_91","66ffeadd-3f47-4857-abcb-d81f2b932cf4","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_92","84e8cd46-4172-4ffe-ab16-db39aa258b16","True","BiomedicalConceptProperty","integer","Vital Signs Result"
"Count per Minute","True","BiomedicalConceptProperty_93","9bd1df0c-879e-467a-9cf9-7a79319c632a","True","BiomedicalConceptProperty","string","Count per Minute"
"Vital Signs Location","True","BiomedicalConceptProperty_94","73c08802-e6fb-426c-abcf-569d810734ea","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_95","0b63134c-c4d7-4bf0-89b6-5200b2d4fdec","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_96","fa23d6e4-7ff0-4253-85cc-9e1ee0752c29","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_97","99f6f9c6-4619-41e3-a9ae-283efe875090","True","BiomedicalConceptProperty","string","Vital Signs Position"
