"sectionNumber","id","uuid:ID","sectionTitle","instanceType","text","name"
"4.4","NarrativeContent_20","a5fab9ef-e1b2-42f7-8b80-0f89dd6c9755","Start of Trial and End of Trial","NarrativeContent","<div></div>","SECTION 4.4"
"5","NarrativeContent_21","2009b8b9-1e97-4dc0-80b6-3df4676b64b5","TRIAL POPULATION","NarrativeContent","<div></div>","SECTION 5"
"5.1","NarrativeContent_22","94b3978a-b843-4bab-bf4d-82ccf00611fb","Selection of Trial Population","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1"
"5.2","NarrativeContent_23","9db4f212-7a37-463e-90c7-8fde69ae54ac","Rationale for Trial Population","NarrativeContent","<div></div>","SECTION 5.2"
"5.3","NarrativeContent_24","9b37f95e-7206-4c01-8212-5d6f1eb5b0f9","Inclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3"
"5.4","NarrativeContent_25","1841a734-4aa4-4cc9-8add-a87d135e71f0","Exclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4"
"5.5","NarrativeContent_26","904dff83-cbc2-4be0-b466-5de6c516e4b1","Lifestyle Considerations","NarrativeContent","<div></div>","SECTION 5.5"
"5.5.1","NarrativeContent_27","d4bc5eca-7ba7-4407-a3b7-e2ea8fe22cc3","Meals and Dietary Restrictions","NarrativeContent","<div></div>","SECTION 5.5.1"
"5.5.2","NarrativeContent_28","db525f09-c3a8-4b67-a29d-41af6eee7bbd","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent","<div><p>Not applicable</p></div>","SECTION 5.5.2"
"5.5.3","NarrativeContent_29","75e5ce66-e6f5-4169-98cc-7fb090cadf74","Physical Activity","NarrativeContent","<div></div>","SECTION 5.5.3"
"5.5.4","NarrativeContent_30","26c0a0c5-0340-4a76-8009-72209d0cd9bb","Other Activity","NarrativeContent","<div></div>","SECTION 5.5.4"
"5.6","NarrativeContent_31","e9066d16-6ed1-43c3-b5c8-9eb845e32bec","Screen Failures","NarrativeContent","<div></div>","SECTION 5.6"
"6","NarrativeContent_32","22241bdc-afa0-4b87-93e2-f0d3ead90d67","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent","<div></div>","SECTION 6"
"6.1","NarrativeContent_33","82976b17-ece8-4693-a37a-243de17824b4","Description of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.1"
"6.2","NarrativeContent_34","e13cbaa4-4220-40cd-8c74-def5e0b30be0","Rationale for Trial Intervention","NarrativeContent","<div></div>","SECTION 6.2"
"6.3","NarrativeContent_35","c08a3cd1-a44b-43c1-87a0-294eb1d0dd58","Dosing and Administration","NarrativeContent","<div></div>","SECTION 6.3"
"6.3.1","NarrativeContent_36","97e50d3f-ce8c-4366-854a-8f025c9f99c5","Trial Intervention Dose Modification","NarrativeContent","<div></div>","SECTION 6.3.1"
"6.4","NarrativeContent_37","275d69ef-a03a-4e5c-95bd-18e01132a928","Treatment of Overdose","NarrativeContent","<div></div>","SECTION 6.4"
"6.5","NarrativeContent_38","f381d3c1-f776-4bd8-8158-1c2bb39be3ec","Preparation, Handling, Storage and Accountability","NarrativeContent","<div></div>","SECTION 6.5"
"6.5.1","NarrativeContent_39","1f934edf-2e5d-428a-b228-5ad478d73814","Preparation of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.1"
"6.5.2","NarrativeContent_40","0787e7f9-40c7-4a05-8e43-058309688130","Handling and Storage of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.2"
"6.5.3","NarrativeContent_41","0dde390f-fd5f-4f21-b4a5-770c01662192","Accountability of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.3"
"6.6","NarrativeContent_42","6bef129c-c21e-4113-ae2c-a59d435046f4","Participant Assignment, Randomisation and Blinding","NarrativeContent","<div></div>","SECTION 6.6"
"6.6.1","NarrativeContent_43","574b9a38-8b92-4f61-804c-fdca45e5dee0","Participant Assignment","NarrativeContent","<div></div>","SECTION 6.6.1"
"6.6.2","NarrativeContent_44","37359bc6-f3db-4719-bb0e-03317f8f0308","Randomisation","NarrativeContent","<div></div>","SECTION 6.6.2"
"6.6.3","NarrativeContent_45","0a96b8e4-2ec7-45d7-a212-086948a26156","Blinding and Unblinding","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3"
"6.7","NarrativeContent_46","241b8201-4127-4367-a730-847fb0d00a19","Trial Intervention Compliance","NarrativeContent","<div></div>","SECTION 6.7"
"6.8","NarrativeContent_47","c8f09813-6f9a-4b3b-9282-782db3be8403","Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8"
"6.8.1","NarrativeContent_48","67451bb3-b08e-4f97-b288-01e30fe20b9a","Prohibited Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8.1"
"6.8.2","NarrativeContent_49","c6947225-ac1a-4a1e-b085-c18406785f95","Permitted Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8.2"
"6.8.3","NarrativeContent_50","91e8798c-0141-469b-9218-6290160b0613","Rescue Therapy","NarrativeContent","<div></div>","SECTION 6.8.3"
"6.8.4","NarrativeContent_51","32c033a7-5804-43fb-a35f-3cafe61d991f","Other Therapy","NarrativeContent","<div></div>","SECTION 6.8.4"
"7","NarrativeContent_52","9acf7c60-b000-4210-b632-b20dbc71d266","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent","<div></div>","SECTION 7"
"7.1","NarrativeContent_53","bfe1e738-43c9-4f3c-8567-c58412d65b26","Discontinuation of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1"
"7.1.1","NarrativeContent_54","114a027a-b0f9-4c0f-8127-fca63d9d51b0","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1.1"
"7.1.2","NarrativeContent_55","35f8579d-d846-48f3-b645-dac56ecdf450","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1.2"
"7.1.3","NarrativeContent_56","e6ebae9e-0621-4a61-b0ce-ca409d902789","Rechallenge","NarrativeContent","<div></div>","SECTION 7.1.3"
"7.2","NarrativeContent_57","cf70d525-9d88-45ea-a219-ceab79a4cf78","Participant Withdrawal from the Trial","NarrativeContent","<div></div>","SECTION 7.2"
"7.3","NarrativeContent_58","a2c061c0-80bb-482e-847a-d69c0135e196","Lost to Follow-Up","NarrativeContent","<div></div>","SECTION 7.3"
"7.4","NarrativeContent_59","4337ca71-471a-4609-a98c-a1557a90b50c","Trial Stopping Rules","NarrativeContent","<div></div>","SECTION 7.4"
"8","NarrativeContent_60","cbb11989-5e9e-4fb2-bcce-fc2c6e90b994","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent","<div></div>","SECTION 8"
"8.1","NarrativeContent_61","d7001c92-5161-4fcb-93a6-426cbb7c59a1","Screening/Baseline Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.1"
"8.2","NarrativeContent_62","8f947dd6-c69d-46a6-b833-1bdde5af9395","Efficacy Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.2"
"8.3","NarrativeContent_63","f558dda3-59b1-4d18-ac5f-0484a12a050e","Safety Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.3"
"8.3.1","NarrativeContent_64","6f93ea0a-129e-43e1-ac48-cf5c135f065e","Physical Examination","NarrativeContent","<div></div>","SECTION 8.3.1"
"8.3.2","NarrativeContent_65","4e4e8ad8-e589-4173-a172-467bae0720b1","Vital Signs","NarrativeContent","<div></div>","SECTION 8.3.2"
"8.3.3","NarrativeContent_66","1d7d2c8b-630d-4190-96a3-bd83c7f95a80","Electrocardiograms","NarrativeContent","<div></div>","SECTION 8.3.3"
"8.3.4","NarrativeContent_67","8f79f984-70bc-4c74-8abb-b765b9e96247","Clinical Laboratory Assessments","NarrativeContent","<div></div>","SECTION 8.3.4"
"8.3.5","NarrativeContent_68","267de295-3df4-4b76-931d-1a085bdab471","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent","<div></div>","SECTION 8.3.5"
"8.4","NarrativeContent_69","25cf81cd-31ea-4161-a0e7-8eefdd72a593","Adverse Events and Serious Adverse Events","NarrativeContent","<div></div>","SECTION 8.4"
"8.4.1","NarrativeContent_70","cfdea75b-f7c8-431b-9fe8-54576a917901","Definitions of AE and SAE","NarrativeContent","<div></div>","SECTION 8.4.1"
"8.4.2","NarrativeContent_71","e3649f10-c5b4-477b-a992-46852a56f473","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent","<div></div>","SECTION 8.4.2"
"8.4.3","NarrativeContent_72","4595b83f-9710-4025-a420-b7b778f4bd5e","Identifying AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.3"
"8.4.4","NarrativeContent_73","32dc4f07-454c-4e92-ac96-43fbff684d2e","Recording of AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.4"
"8.4.5","NarrativeContent_74","c2b8834e-6f64-410e-b543-893fef35459d","Follow-up of AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.5"
"8.4.6","NarrativeContent_75","fc5d8136-7106-49ed-9731-6d530548e0f5","Reporting of SAEs","NarrativeContent","<div></div>","SECTION 8.4.6"
"8.4.7","NarrativeContent_76","aa71fd71-2b5d-4938-8bd9-3881581c2e08","Regulatory Reporting Requirements for SAEs","NarrativeContent","<div></div>","SECTION 8.4.7"
"8.4.8","NarrativeContent_77","8e25b77a-2080-4cea-a652-f60547eafb0c","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent","<div></div>","SECTION 8.4.8"
"8.4.9","NarrativeContent_78","02da90c6-aa68-423e-83a1-dadb97da58f1","Adverse Events of Special Interest","NarrativeContent","<div></div>","SECTION 8.4.9"
"8.4.10","NarrativeContent_79","e5a13ba3-7d8b-4cf0-af75-45d2765ae552","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent","<div></div>","SECTION 8.4.10"
"8.5","NarrativeContent_80","cb074c90-4122-40b6-9024-ccd452db57fa","Pregnancy and Postpartum Information","NarrativeContent","<div></div>","SECTION 8.5"
"8.5.1","NarrativeContent_81","0d1b57c7-216d-4719-a231-a35bf62202d4","Participants Who Become Pregnant During the Trial","NarrativeContent","<div></div>","SECTION 8.5.1"
"8.5.2","NarrativeContent_82","d75f345c-3626-4dd3-bd64-15740d4af324","Participants Whose Partners Become Pregnant","NarrativeContent","<div></div>","SECTION 8.5.2"
"8.6","NarrativeContent_83","591cb26b-2e9f-4028-9033-d807cd46fcc3","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent","<div></div>","SECTION 8.6"
"8.6.1","NarrativeContent_84","b150e293-1604-4a74-b8c3-926f92df13d4","Definition of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.1"
"8.6.2","NarrativeContent_85","a7fd5834-c539-442d-acf0-010aeedd453b","Recording of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.2"
"8.6.3","NarrativeContent_86","aac42f9a-3e47-4829-8efb-24977f70f6f5","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent","<div></div>","SECTION 8.6.3"
"8.6.4","NarrativeContent_87","8c49c4b1-ec37-4385-8dcf-dd2078c15462","Follow-Up of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.4"
"8.6.5","NarrativeContent_88","120f526e-c7d3-4414-a747-97379806da11","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.5"
"8.7","NarrativeContent_89","430b400e-2180-4cc7-846e-8be7e6ab4b21","Pharmacokinetics","NarrativeContent","<div></div>","SECTION 8.7"
"8.8","NarrativeContent_90","a566490d-4354-4439-9e15-8670e49c4931","Genetics","NarrativeContent","<div></div>","SECTION 8.8"
"8.9","NarrativeContent_91","4ab82e78-bbe0-44d9-8bbf-5402635a944e","Biomarkers","NarrativeContent","<div></div>","SECTION 8.9"
"8.1","NarrativeContent_92","77546977-1531-4fb7-ada1-99ef59367c82","Immunogenicity Assessments","NarrativeContent","<div></div>","SECTION 8.1"
"8.1.1","NarrativeContent_93","176cbfa5-367e-422f-ae44-59c379dae2ce","Medical Resource Utilisation and Health Economics","NarrativeContent","<div></div>","SECTION 8.1.1"
"9","NarrativeContent_94","d0aec8f3-3a99-45a2-aa01-7ae9014e9069","STATISTICAL CONSIDERATIONS","NarrativeContent","<div></div>","SECTION 9"
"9.1","NarrativeContent_95","26050eb5-755c-45fb-bf0d-7e2fdaf50f99","Analysis Sets","NarrativeContent","<div></div>","SECTION 9.1"
"9.2","NarrativeContent_96","25ff0010-5b21-4080-a426-6cbd69690637","Analyses Supporting Primary Objective(s)","NarrativeContent","<div></div>","SECTION 9.2"
"9.2.1","NarrativeContent_97","5e8f72f4-8dab-4997-b7aa-0014f7f61df2","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent","<div></div>","SECTION 9.2.1"
"9.2.2","NarrativeContent_98","4a2580ea-6aa4-4a83-8834-50711599b5a4","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent","<div></div>","SECTION 9.2.2"
"9.2.3","NarrativeContent_99","32624214-36e4-4f85-8e97-a6bef796bc3a","Handling of Missing Data","NarrativeContent","<div></div>","SECTION 9.2.3"
"9.2.4","NarrativeContent_100","b6864372-753e-45d0-a092-a2d05ee04a3d","Sensitivity Analysis","NarrativeContent","<div></div>","SECTION 9.2.4"
"9.2.5","NarrativeContent_101","d61b9cf1-1dbe-4e2f-bd5c-26ba68e3c24f","Supplementary Analysis","NarrativeContent","<div></div>","SECTION 9.2.5"
"9.3","NarrativeContent_102","2fca7cdf-b873-4e44-ae65-993c3ce3117f","Analysis Supporting Secondary Objective(s)","NarrativeContent","<div></div>","SECTION 9.3"
"9.4","NarrativeContent_103","1e06c720-b7a4-42af-84e0-328f68b582d1","Analysis of Exploratory Objective(s)","NarrativeContent","<div></div>","SECTION 9.4"
"9.5","NarrativeContent_104","daaddfeb-4e21-4000-8a7d-d71767965fe8","Safety Analyses","NarrativeContent","<div></div>","SECTION 9.5"
"9.6","NarrativeContent_105","2d8e91cc-4dca-45c5-a497-3851633dc9f8","Other Analyses","NarrativeContent","<div></div>","SECTION 9.6"
"9.7","NarrativeContent_106","7078e56d-5bce-45e4-b6f1-99af52647bff","Interim Analyses","NarrativeContent","<div></div>","SECTION 9.7"
"9.8","NarrativeContent_107","e4791fe5-22ae-49bd-bf6c-1d5b3aa2392e","Sample Size Determination","NarrativeContent","<div></div>","SECTION 9.8"
"9.9","NarrativeContent_108","f0d75b63-08e7-4cbd-9e69-fdc26a126904","Protocol Deviations","NarrativeContent","<div></div>","SECTION 9.9"
"10","NarrativeContent_109","6ca3b5e6-ed91-4938-a6e7-1d90e64edc9c","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent","<div></div>","SECTION 10"
"10.1","NarrativeContent_110","2637496f-8e41-48c6-8dbb-7c5a41d16213","Regulatory and Ethical Considerations","NarrativeContent","<div></div>","SECTION 10.1"
"10.2","NarrativeContent_111","e1590c34-6c4b-4b4b-89bf-01ca0779ced5","Committees","NarrativeContent","<div></div>","SECTION 10.2"
"10.3","NarrativeContent_112","f3fc1fc2-8446-4832-8e1b-9f1d80dd8e9c","Informed Consent Process","NarrativeContent","<div></div>","SECTION 10.3"
"10.4","NarrativeContent_113","ef5a0a05-3642-4e21-b409-8b0a5ea9d236","Data Protection","NarrativeContent","<div></div>","SECTION 10.4"
"10.5","NarrativeContent_114","b1acf3a7-cdcc-4aeb-9555-b5f6baf4db75","Early Site Closure or Trial Termination","NarrativeContent","<div></div>","SECTION 10.5"
"11","NarrativeContent_115","dd2ee9d8-52e8-478d-a3e0-28859c3e051a","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent","<div></div>","SECTION 11"
"11.1","NarrativeContent_116","e56068d6-c40d-4e59-9405-b32d1ef2ee86","Quality Tolerance Limits","NarrativeContent","<div></div>","SECTION 11.1"
"11.2","NarrativeContent_117","2a25dc7f-e0a4-4ca7-9dc2-5a99155bfe6a","Data Quality Assurance","NarrativeContent","<div></div>","SECTION 11.2"
"11.3","NarrativeContent_118","19ccc9ba-fd65-43fb-9007-b85c5097188d","Source Data","NarrativeContent","<div></div>","SECTION 11.3"
"12","NarrativeContent_119","56b24643-acdc-4caf-8371-3b96b8b963a2","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent","<div></div>","SECTION 12"
"12.1","NarrativeContent_120","b8961ebe-86ff-4808-a9e4-8fa860c9f9df","Further Details and Clarifications on the AE Definition","NarrativeContent","<div></div>","SECTION 12.1"
"12.2","NarrativeContent_121","65298820-4e01-4ce3-b0b3-50011936e97a","Further Details and Clarifications on the SAE Definition","NarrativeContent","<div></div>","SECTION 12.2"
"12.3","NarrativeContent_122","606392ae-a707-4754-af0f-9d02677d6f77","Severity","NarrativeContent","<div></div>","SECTION 12.3"
"12.4","NarrativeContent_123","21252094-01cd-4510-a325-6f1257abf73d","Causality","NarrativeContent","<div></div>","SECTION 12.4"
"13","NarrativeContent_124","c07dd8f8-e3f6-4ce1-a97b-56ea020665e0","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent","<div></div>","SECTION 13"
"13.1","NarrativeContent_125","e7376b23-403b-447b-91df-434287b99917","Contraception and Pregnancy Testing","NarrativeContent","<div></div>","SECTION 13.1"
"13.1.1","NarrativeContent_126","7b4bfff2-59a4-46d7-8b5a-6070dc3ecba8","Definitions Related to Childbearing Potential","NarrativeContent","<div></div>","SECTION 13.1.1"
"13.1.2","NarrativeContent_127","2440b34b-42d8-47f4-b159-0b8fadf2982c","Contraception","NarrativeContent","<div></div>","SECTION 13.1.2"
"13.1.3","NarrativeContent_128","ea4606d7-822f-4c9b-8957-17c10f6b2646","Pregnancy Testing","NarrativeContent","<div></div>","SECTION 13.1.3"
"13.2","NarrativeContent_129","75a56285-b1b6-45c6-8745-d075559500f9","Clinical Laboratory Tests","NarrativeContent","<div></div>","SECTION 13.2"
"13.3","NarrativeContent_130","6acf50d3-b7f8-442b-b3ad-17a4eb230a8f","Country/Region-Specific Differences","NarrativeContent","<div></div>","SECTION 13.3"
"13.4","NarrativeContent_131","48d9eb03-f95b-4865-b66a-d8f070ca8539","Prior Protocol Amendments","NarrativeContent","<div></div>","SECTION 13.4"
"14","NarrativeContent_132","7d320764-6d72-42fe-b227-18da9f7fbdce","APPENDIX: GLOSSARY OF TERMS","NarrativeContent","<div></div>","SECTION 14"
"15","NarrativeContent_133","2cf5ffe9-6afe-4850-b9d8-a60e1026eb64","APPENDIX: REFERENCES","NarrativeContent","<div></div>","SECTION 15"
