"sectionNumber","text","instanceType","id","sectionTitle","name","uuid:ID"
"4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","c030a7fa-f548-4165-8fcc-70a6f25524a3"
"4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","NarrativeContent_16","Rationale for Comparator","SECTION 4.2.1","71396fc7-2f44-4acd-b356-5887700ed5d0"
"4.2.2","<div></div>","NarrativeContent","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","f4a93865-b335-4b03-b202-3dc457a661cd"
"4.2.3","<div></div>","NarrativeContent","NarrativeContent_18","Other Trial Design Considerations","SECTION 4.2.3","c9fe9e5e-a2e6-4d56-b800-72191e2906d9"
"4.3","<div></div>","NarrativeContent","NarrativeContent_19","Access to Trial Intervention After End of Trial","SECTION 4.3","f7c33cb2-3b3d-4c0f-9d73-076eebc5a504"
"4.4","<div></div>","NarrativeContent","NarrativeContent_20","Start of Trial and End of Trial","SECTION 4.4","613d090b-4923-4175-910f-9845f0ab7756"
"5","<div></div>","NarrativeContent","NarrativeContent_21","TRIAL POPULATION","SECTION 5","7371f581-d19c-4e35-9cf7-984eec96b317"
"5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","NarrativeContent_22","Selection of Trial Population","SECTION 5.1","02cc31a9-dbe4-4c54-9505-d6a8a3e25251"
"5.2","<div></div>","NarrativeContent","NarrativeContent_23","Rationale for Trial Population","SECTION 5.2","70c1a081-c404-4efc-8bcd-16fc5304a5c9"
"5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","NarrativeContent_24","Inclusion Criteria","SECTION 5.3","1b204bd2-4fd2-4837-aa9d-64c3ccdfaf42"
"5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","NarrativeContent_25","Exclusion Criteria","SECTION 5.4","94cbef63-a3e4-4d31-99f8-4d594e1ebcd6"
"5.5","<div></div>","NarrativeContent","NarrativeContent_26","Lifestyle Considerations","SECTION 5.5","2016e1dd-7288-4ff7-8ecd-c734e598c39e"
"5.5.1","<div></div>","NarrativeContent","NarrativeContent_27","Meals and Dietary Restrictions","SECTION 5.5.1","cf1ae7d5-2024-49f6-8734-b562e8d22fb8"
"5.5.2","<div><p>Not applicable</p></div>","NarrativeContent","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","5e0647dc-c41d-404f-9318-4c62b3402733"
"5.5.3","<div></div>","NarrativeContent","NarrativeContent_29","Physical Activity","SECTION 5.5.3","0aca77a4-0454-4aa4-8a27-1c057ff0c28f"
"5.5.4","<div></div>","NarrativeContent","NarrativeContent_30","Other Activity","SECTION 5.5.4","25f82f0c-58a1-4d68-8728-5c6d8b7d99da"
"5.6","<div></div>","NarrativeContent","NarrativeContent_31","Screen Failures","SECTION 5.6","e6807888-140d-4f68-b910-c474861a8f6c"
"6","<div></div>","NarrativeContent","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","22c3f402-4f1c-4b1c-8e3f-f07c6871c78b"
"6.1","<div></div>","NarrativeContent","NarrativeContent_33","Description of Trial Intervention","SECTION 6.1","887ffa58-e54d-4cc4-b0e8-fefa741d56a5"
"6.2","<div></div>","NarrativeContent","NarrativeContent_34","Rationale for Trial Intervention","SECTION 6.2","d71d1cdb-6e66-49e3-8978-d6062dc52f2c"
"6.3","<div></div>","NarrativeContent","NarrativeContent_35","Dosing and Administration","SECTION 6.3","a9321fbf-a3c5-4347-84ce-11f40a422e2f"
"6.3.1","<div></div>","NarrativeContent","NarrativeContent_36","Trial Intervention Dose Modification","SECTION 6.3.1","6380038e-4e8d-41d3-a383-8ea072a845e2"
"6.4","<div></div>","NarrativeContent","NarrativeContent_37","Treatment of Overdose","SECTION 6.4","2acda98e-6056-42fc-ad0f-c2b6b0a8137c"
"6.5","<div></div>","NarrativeContent","NarrativeContent_38","Preparation, Handling, Storage and Accountability","SECTION 6.5","b7e89dc8-d828-4b61-8fb5-490ef422e9de"
"6.5.1","<div></div>","NarrativeContent","NarrativeContent_39","Preparation of Trial Intervention","SECTION 6.5.1","9f534135-b6af-4c9f-bcb7-5dc7ebcfcb33"
"6.5.2","<div></div>","NarrativeContent","NarrativeContent_40","Handling and Storage of Trial Intervention","SECTION 6.5.2","f2f2154b-001d-4f48-9eb0-b55e1376c02b"
"6.5.3","<div></div>","NarrativeContent","NarrativeContent_41","Accountability of Trial Intervention","SECTION 6.5.3","865b40f7-0db3-4f86-9176-14122051e177"
"6.6","<div></div>","NarrativeContent","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","SECTION 6.6","2734e8b1-f7f0-4536-a5f6-2de5a4f388d0"
"6.6.1","<div></div>","NarrativeContent","NarrativeContent_43","Participant Assignment","SECTION 6.6.1","722fc8a6-f113-4656-b619-605b1382ba91"
"6.6.2","<div></div>","NarrativeContent","NarrativeContent_44","Randomisation","SECTION 6.6.2","76dce7ae-ddbf-4f8b-a23e-a14146a2d0dd"
"6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","NarrativeContent_45","Blinding and Unblinding","SECTION 6.6.3","ecafe711-dc56-4f9d-a87e-e10a3305a60c"
"6.7","<div></div>","NarrativeContent","NarrativeContent_46","Trial Intervention Compliance","SECTION 6.7","5546651f-2441-4204-8fbc-68e759d8c47b"
"6.8","<div></div>","NarrativeContent","NarrativeContent_47","Concomitant Therapy","SECTION 6.8","76a863a7-2f39-4813-b1e6-102302ce63f2"
"6.8.1","<div></div>","NarrativeContent","NarrativeContent_48","Prohibited Concomitant Therapy","SECTION 6.8.1","c3d05a00-612e-4f1a-9518-2b61ca977bd3"
"6.8.2","<div></div>","NarrativeContent","NarrativeContent_49","Permitted Concomitant Therapy","SECTION 6.8.2","3a15683f-b29d-4d27-9e70-7c652278f568"
"6.8.3","<div></div>","NarrativeContent","NarrativeContent_50","Rescue Therapy","SECTION 6.8.3","e7e27a6f-efbb-4c0e-bed3-359724948af1"
"6.8.4","<div></div>","NarrativeContent","NarrativeContent_51","Other Therapy","SECTION 6.8.4","c616c28b-fd54-496b-a17e-3195115e3792"
"7","<div></div>","NarrativeContent","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","d541a747-307c-4807-8435-28a65537276b"
"7.1","<div></div>","NarrativeContent","NarrativeContent_53","Discontinuation of Trial Intervention","SECTION 7.1","584e9693-17d8-44e8-91f2-e049283d6665"
"7.1.1","<div></div>","NarrativeContent","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","4c69a54d-6f65-44af-bd5f-37bb4be15b5c"
"7.1.2","<div></div>","NarrativeContent","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","8a891c99-3e8e-4ba8-bb39-13510ea6fc24"
"7.1.3","<div></div>","NarrativeContent","NarrativeContent_56","Rechallenge","SECTION 7.1.3","44d279b2-11ec-448e-ba18-3397d00d1ec7"
"7.2","<div></div>","NarrativeContent","NarrativeContent_57","Participant Withdrawal from the Trial","SECTION 7.2","b28fe41b-284f-4b36-b39c-238e4cda0bed"
"7.3","<div></div>","NarrativeContent","NarrativeContent_58","Lost to Follow-Up","SECTION 7.3","6d383916-2068-4e6d-93f8-054af0589dd8"
"7.4","<div></div>","NarrativeContent","NarrativeContent_59","Trial Stopping Rules","SECTION 7.4","64d9e4d6-2563-494b-9e18-ae837244bf1d"
"8","<div></div>","NarrativeContent","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","b9d0ea7d-fbb9-4434-93db-861633af655a"
"8.1","<div></div>","NarrativeContent","NarrativeContent_61","Screening/Baseline Assessments and Procedures","SECTION 8.1","41a62487-5d77-40dd-ac97-da0045b7a0a4"
"8.2","<div></div>","NarrativeContent","NarrativeContent_62","Efficacy Assessments and Procedures","SECTION 8.2","d46eb314-33e8-45f9-b19f-1fd665597e0d"
"8.3","<div></div>","NarrativeContent","NarrativeContent_63","Safety Assessments and Procedures","SECTION 8.3","c24dd43b-a2a3-474f-a2a5-32ccc91b3894"
"8.3.1","<div></div>","NarrativeContent","NarrativeContent_64","Physical Examination","SECTION 8.3.1","1917d270-d7a9-45c2-83e5-b13db2dec0b5"
"8.3.2","<div></div>","NarrativeContent","NarrativeContent_65","Vital Signs","SECTION 8.3.2","fbbbebe0-f89d-4a0d-a2a5-7b7074d42b73"
"8.3.3","<div></div>","NarrativeContent","NarrativeContent_66","Electrocardiograms","SECTION 8.3.3","cb617dd0-4e0d-459d-be43-19bc30255b3b"
"8.3.4","<div></div>","NarrativeContent","NarrativeContent_67","Clinical Laboratory Assessments","SECTION 8.3.4","a1453942-78b7-4a40-8265-e9c0232feb74"
"8.3.5","<div></div>","NarrativeContent","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","12b6ea05-c09f-4285-aa8a-20c92dda635c"
"8.4","<div></div>","NarrativeContent","NarrativeContent_69","Adverse Events and Serious Adverse Events","SECTION 8.4","207ea9e0-f179-4ce2-9ca7-fa00323b126b"
"8.4.1","<div></div>","NarrativeContent","NarrativeContent_70","Definitions of AE and SAE","SECTION 8.4.1","53601c62-ee17-4fd8-b2af-62f6317cbe35"
"8.4.2","<div></div>","NarrativeContent","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","fbe4612e-cc79-452d-82e5-44aa792aac80"
"8.4.3","<div></div>","NarrativeContent","NarrativeContent_72","Identifying AEs and SAEs","SECTION 8.4.3","d76fc021-4cbe-4e52-8193-3edd1b09638c"
"8.4.4","<div></div>","NarrativeContent","NarrativeContent_73","Recording of AEs and SAEs","SECTION 8.4.4","8a73d2ef-8683-4198-9c07-a13adbc1a0b5"
"8.4.5","<div></div>","NarrativeContent","NarrativeContent_74","Follow-up of AEs and SAEs","SECTION 8.4.5","9c218de6-6a56-46c9-bb5b-8e18e543efe0"
"8.4.6","<div></div>","NarrativeContent","NarrativeContent_75","Reporting of SAEs","SECTION 8.4.6","a3c2714c-7202-4440-829a-70f1cc9fd817"
"8.4.7","<div></div>","NarrativeContent","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","3cd8a5eb-2a5c-4a8b-a564-6dc1785f98d2"
"8.4.8","<div></div>","NarrativeContent","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","8e3f6994-ef5d-41bb-ac46-3ac22495eccc"
"8.4.9","<div></div>","NarrativeContent","NarrativeContent_78","Adverse Events of Special Interest","SECTION 8.4.9","aecf6130-33bf-473e-8767-14108f55123f"
"8.4.10","<div></div>","NarrativeContent","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","2664a1f1-3dd8-4d2d-8bac-0dc404e5af9d"
"8.5","<div></div>","NarrativeContent","NarrativeContent_80","Pregnancy and Postpartum Information","SECTION 8.5","36a843de-d5c0-4db3-8677-d5a183c4c3de"
"8.5.1","<div></div>","NarrativeContent","NarrativeContent_81","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","35b21008-fd94-4dcb-902b-3c6d40ff14d4"
"8.5.2","<div></div>","NarrativeContent","NarrativeContent_82","Participants Whose Partners Become Pregnant","SECTION 8.5.2","e7bacc21-ab95-4c95-b225-b4e8a0f4d832"
"8.6","<div></div>","NarrativeContent","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","c57f37de-da82-4d5b-91f6-3e4d0e1d56c7"
"8.6.1","<div></div>","NarrativeContent","NarrativeContent_84","Definition of Medical Device Product Complaints","SECTION 8.6.1","1c7c50bf-4f2d-4bf8-a492-e77ad7bb123e"
"8.6.2","<div></div>","NarrativeContent","NarrativeContent_85","Recording of Medical Device Product Complaints","SECTION 8.6.2","fb319ea1-1b71-4d45-b7d2-9dd8dca355e8"
"8.6.3","<div></div>","NarrativeContent","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","6dfdf3c3-82fd-4f1d-80b4-9b3334737cac"
"8.6.4","<div></div>","NarrativeContent","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","8c4fe470-8142-451c-875c-030abd3f7537"
"8.6.5","<div></div>","NarrativeContent","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","7628f974-43b1-40f1-b2e4-d230df053bc9"
"8.7","<div></div>","NarrativeContent","NarrativeContent_89","Pharmacokinetics","SECTION 8.7","53c14ee3-c54f-4d3b-a4e3-940fc2131d25"
"8.8","<div></div>","NarrativeContent","NarrativeContent_90","Genetics","SECTION 8.8","2bed9fc1-c1df-4544-a9e0-f9cf0260003a"
"8.9","<div></div>","NarrativeContent","NarrativeContent_91","Biomarkers","SECTION 8.9","e1cde4b0-4a60-4337-9b00-6865902f0c6a"
"8.1","<div></div>","NarrativeContent","NarrativeContent_92","Immunogenicity Assessments","SECTION 8.1","860619f7-f1e3-48c3-9b72-f0428b3bc54d"
"8.1.1","<div></div>","NarrativeContent","NarrativeContent_93","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","36427831-dd0e-4dec-9e1c-1063e4a3b7db"
"9","<div></div>","NarrativeContent","NarrativeContent_94","STATISTICAL CONSIDERATIONS","SECTION 9","49a4d6e1-63e7-4c06-b339-1e0f0c465d77"
"9.1","<div></div>","NarrativeContent","NarrativeContent_95","Analysis Sets","SECTION 9.1","8b631d20-60cf-4443-9a73-ff9b69bb5027"
"9.2","<div></div>","NarrativeContent","NarrativeContent_96","Analyses Supporting Primary Objective(s)","SECTION 9.2","dd8fecee-6011-4f00-81f7-25ea8d430f7a"
"9.2.1","<div></div>","NarrativeContent","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","a3c105b1-0f78-474a-8b79-23535d1899eb"
"9.2.2","<div></div>","NarrativeContent","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","c07f9b48-37d3-4f64-be69-19becf8fa868"
"9.2.3","<div></div>","NarrativeContent","NarrativeContent_99","Handling of Missing Data","SECTION 9.2.3","4bc1408a-2e39-4ca4-b760-ec998937b60a"
"9.2.4","<div></div>","NarrativeContent","NarrativeContent_100","Sensitivity Analysis","SECTION 9.2.4","6b41950e-c0ce-4358-b94b-f00dd186108e"
"9.2.5","<div></div>","NarrativeContent","NarrativeContent_101","Supplementary Analysis","SECTION 9.2.5","766eb0a3-6869-4888-ac6a-0cad3e817df1"
"9.3","<div></div>","NarrativeContent","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","SECTION 9.3","c5ed3cea-2974-4e84-9374-9bb0b3c7cf30"
"9.4","<div></div>","NarrativeContent","NarrativeContent_103","Analysis of Exploratory Objective(s)","SECTION 9.4","a51c7c12-ac4e-42cf-927a-21518e4be5e5"
"9.5","<div></div>","NarrativeContent","NarrativeContent_104","Safety Analyses","SECTION 9.5","4eb463b6-2ef0-40d1-8a00-4470e02f2e70"
"9.6","<div></div>","NarrativeContent","NarrativeContent_105","Other Analyses","SECTION 9.6","9de32914-e7ac-487c-9876-6f94727e697c"
"9.7","<div></div>","NarrativeContent","NarrativeContent_106","Interim Analyses","SECTION 9.7","00860eb6-3378-4c2e-9cdd-9ad853aa8209"
"9.8","<div></div>","NarrativeContent","NarrativeContent_107","Sample Size Determination","SECTION 9.8","d83b24a8-e917-4107-b710-c6285c2db2eb"
"9.9","<div></div>","NarrativeContent","NarrativeContent_108","Protocol Deviations","SECTION 9.9","545083b4-7a67-4298-8d94-3ffad2728b50"
"10","<div></div>","NarrativeContent","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","fbf81dcb-4b82-48c4-974d-8b494068f84d"
"10.1","<div></div>","NarrativeContent","NarrativeContent_110","Regulatory and Ethical Considerations","SECTION 10.1","9072d8ea-a037-4633-9881-1b016fd3c979"
"10.2","<div></div>","NarrativeContent","NarrativeContent_111","Committees","SECTION 10.2","ef50105d-c88a-4090-9f65-8f28f2c60199"
"10.3","<div></div>","NarrativeContent","NarrativeContent_112","Informed Consent Process","SECTION 10.3","be420647-10ee-4558-aa29-2739253e8614"
"10.4","<div></div>","NarrativeContent","NarrativeContent_113","Data Protection","SECTION 10.4","c857dcad-56bc-43c4-84dd-c5a1aee15448"
"10.5","<div></div>","NarrativeContent","NarrativeContent_114","Early Site Closure or Trial Termination","SECTION 10.5","2e592dfc-4e5e-4186-8f4f-c49a5d438d98"
"11","<div></div>","NarrativeContent","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","0e682645-dbf9-46fb-99ef-ab6ca64ba31c"
"11.1","<div></div>","NarrativeContent","NarrativeContent_116","Quality Tolerance Limits","SECTION 11.1","2a05888c-277c-4b6f-b1e9-945e0494b23a"
"11.2","<div></div>","NarrativeContent","NarrativeContent_117","Data Quality Assurance","SECTION 11.2","96a5d694-5396-438a-ac58-d9141b55ce9a"
"11.3","<div></div>","NarrativeContent","NarrativeContent_118","Source Data","SECTION 11.3","af13bcd6-4b40-41cc-a220-dea62edf1b5e"
"12","<div></div>","NarrativeContent","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","bb1102d5-ea8d-408d-8a25-1eecf460547e"
"12.1","<div></div>","NarrativeContent","NarrativeContent_120","Further Details and Clarifications on the AE Definition","SECTION 12.1","47af5b4c-f8e4-4ac5-984e-d8e78f2bcd22"
"12.2","<div></div>","NarrativeContent","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","SECTION 12.2","7ca7d484-541a-4c23-8f97-a7de6f2155eb"
"12.3","<div></div>","NarrativeContent","NarrativeContent_122","Severity","SECTION 12.3","f4e9d661-20eb-47b8-8abf-5476d8b18b9e"
"12.4","<div></div>","NarrativeContent","NarrativeContent_123","Causality","SECTION 12.4","01384050-4f79-45ca-959a-b76dabb1ae67"
"13","<div></div>","NarrativeContent","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","6a22fd67-9409-44c1-87d1-13e9a4cf1c5f"
"13.1","<div></div>","NarrativeContent","NarrativeContent_125","Contraception and Pregnancy Testing","SECTION 13.1","6ea89171-377c-4971-955b-125d79006c09"
"13.1.1","<div></div>","NarrativeContent","NarrativeContent_126","Definitions Related to Childbearing Potential","SECTION 13.1.1","fbd8f7d9-e076-45b1-93c1-e628f2b78666"
"13.1.2","<div></div>","NarrativeContent","NarrativeContent_127","Contraception","SECTION 13.1.2","408447d2-27a7-4de5-bc50-2ca697aa0d5f"
"13.1.3","<div></div>","NarrativeContent","NarrativeContent_128","Pregnancy Testing","SECTION 13.1.3","b9417329-e267-414d-9a0d-08a65c751d2b"
"13.2","<div></div>","NarrativeContent","NarrativeContent_129","Clinical Laboratory Tests","SECTION 13.2","e918e72d-c33b-4fad-a43c-6ad0da4e7ecf"
"13.3","<div></div>","NarrativeContent","NarrativeContent_130","Country/Region-Specific Differences","SECTION 13.3","02dcaa61-d0b8-4919-9ade-dbcc9230a3fb"
"13.4","<div></div>","NarrativeContent","NarrativeContent_131","Prior Protocol Amendments","SECTION 13.4","5bb983d7-ef69-4bf0-865c-8b34a28eb10d"
"14","<div></div>","NarrativeContent","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","SECTION 14","1f13b1ef-1f35-4759-a8e6-cd05167657d5"
"15","<div></div>","NarrativeContent","NarrativeContent_133","APPENDIX: REFERENCES","SECTION 15","aeba66f7-35a0-4c94-b284-a4c92d362ea3"
