"id","uuid:ID","sectionNumber","name","sectionTitle","instanceType","text"
"NarrativeContent_65","b8402031-cd21-4bc2-ab35-3b534ef46aa9","8.3.2","SECTION 8.3.2","Vital Signs","NarrativeContent","<div></div>"
"NarrativeContent_66","30f08d30-ad93-48a7-8a95-5f00b4df84dd","8.3.3","SECTION 8.3.3","Electrocardiograms","NarrativeContent","<div></div>"
"NarrativeContent_67","95bad942-b188-4d47-8557-721f8c52b0b3","8.3.4","SECTION 8.3.4","Clinical Laboratory Assessments","NarrativeContent","<div></div>"
"NarrativeContent_68","84568798-3dd7-4679-a9f1-d44b2cb4c80d","8.3.5","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent","<div></div>"
"NarrativeContent_69","0d7bf836-ec3e-4f51-98fe-ed222d47347b","8.4","SECTION 8.4","Adverse Events and Serious Adverse Events","NarrativeContent","<div></div>"
"NarrativeContent_70","341b4680-fae4-4ab7-ac90-1cd32ed82f2f","8.4.1","SECTION 8.4.1","Definitions of AE and SAE","NarrativeContent","<div></div>"
"NarrativeContent_71","9ed500fe-f631-4ada-8b94-296a2063d243","8.4.2","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent","<div></div>"
"NarrativeContent_72","c4bf7815-0b38-4716-9d05-818e2c04fb3a","8.4.3","SECTION 8.4.3","Identifying AEs and SAEs","NarrativeContent","<div></div>"
"NarrativeContent_73","d1607ffb-7307-43f0-973d-11e94905fa37","8.4.4","SECTION 8.4.4","Recording of AEs and SAEs","NarrativeContent","<div></div>"
"NarrativeContent_74","3e3244b2-143e-4db6-a762-2a4c2d6ab294","8.4.5","SECTION 8.4.5","Follow-up of AEs and SAEs","NarrativeContent","<div></div>"
"NarrativeContent_75","5da325ea-2721-4ed6-a458-33baf40c501b","8.4.6","SECTION 8.4.6","Reporting of SAEs","NarrativeContent","<div></div>"
"NarrativeContent_76","47bb13ba-903a-41fd-880a-ff1ae25784ee","8.4.7","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent","<div></div>"
"NarrativeContent_77","9278fe67-0b61-4bd4-852e-e7974608c285","8.4.8","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent","<div></div>"
"NarrativeContent_78","88ee0ae8-3332-495a-802f-1302b3f03a5d","8.4.9","SECTION 8.4.9","Adverse Events of Special Interest","NarrativeContent","<div></div>"
"NarrativeContent_79","342140ec-a815-40e0-a994-bdd3ce78f629","8.4.10","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent","<div></div>"
"NarrativeContent_80","6a0f9457-d4ce-42d6-ae5b-ee3fff7a166d","8.5","SECTION 8.5","Pregnancy and Postpartum Information","NarrativeContent","<div></div>"
"NarrativeContent_81","5f249fda-f270-47d7-bc88-94d628be55f7","8.5.1","SECTION 8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent","<div></div>"
"NarrativeContent_82","2601ab1d-b4dc-4046-8061-e047ca21f928","8.5.2","SECTION 8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent","<div></div>"
"NarrativeContent_83","8e4f5ec9-a5e7-4ef5-b73b-93096558019d","8.6","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent","<div></div>"
"NarrativeContent_84","af95e084-0f3d-4bbd-834a-5f95730b3058","8.6.1","SECTION 8.6.1","Definition of Medical Device Product Complaints","NarrativeContent","<div></div>"
"NarrativeContent_85","f517f026-92c8-4168-9b3d-aacf90bba04f","8.6.2","SECTION 8.6.2","Recording of Medical Device Product Complaints","NarrativeContent","<div></div>"
"NarrativeContent_86","ff59f882-9501-434a-87f9-840682711439","8.6.3","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent","<div></div>"
"NarrativeContent_87","be2a7866-6144-466c-8bc0-eea81351d02b","8.6.4","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent","<div></div>"
"NarrativeContent_88","80836be5-1f85-4373-bc14-21170e58bbfd","8.6.5","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent","<div></div>"
"NarrativeContent_89","2f89f849-19c0-40a6-898c-4238d61b8611","8.7","SECTION 8.7","Pharmacokinetics","NarrativeContent","<div></div>"
"NarrativeContent_90","55e04b0f-ca7a-433b-8215-cf55ca0bc5bf","8.8","SECTION 8.8","Genetics","NarrativeContent","<div></div>"
"NarrativeContent_91","296d061b-a037-44ca-bad0-92f175b6bd62","8.9","SECTION 8.9","Biomarkers","NarrativeContent","<div></div>"
"NarrativeContent_92","cb041bb1-134e-45b5-ab3b-a1b868f82c8f","8.1","SECTION 8.1","Immunogenicity Assessments","NarrativeContent","<div></div>"
"NarrativeContent_93","f3e4572f-523a-45ae-8864-3b0fdddc5846","8.1.1","SECTION 8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent","<div></div>"
"NarrativeContent_94","5a066bbe-de9c-4c58-a850-fabc68636d3f","9","SECTION 9","STATISTICAL CONSIDERATIONS","NarrativeContent","<div></div>"
"NarrativeContent_95","d08c12a2-e873-4746-a4d6-ee15bfd86dee","9.1","SECTION 9.1","Analysis Sets","NarrativeContent","<div></div>"
"NarrativeContent_96","aa97a160-7218-430a-ad51-d9e03964ae1e","9.2","SECTION 9.2","Analyses Supporting Primary Objective(s)","NarrativeContent","<div></div>"
"NarrativeContent_97","2f0a17e3-def8-45fd-8ef7-dffee555ac46","9.2.1","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent","<div></div>"
"NarrativeContent_98","2310564d-2ca3-4424-b670-bc2ac5c5075a","9.2.2","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent","<div></div>"
"NarrativeContent_99","99743200-3a1c-49a1-b04f-75cb6d6f75f9","9.2.3","SECTION 9.2.3","Handling of Missing Data","NarrativeContent","<div></div>"
"NarrativeContent_100","11aceecd-9c54-4ec4-943e-559c08cb0629","9.2.4","SECTION 9.2.4","Sensitivity Analysis","NarrativeContent","<div></div>"
"NarrativeContent_101","63113640-fb22-4dcf-aef7-9c57a297c8bd","9.2.5","SECTION 9.2.5","Supplementary Analysis","NarrativeContent","<div></div>"
"NarrativeContent_102","8d3b91bb-3aff-40b9-ad26-74948517d6c8","9.3","SECTION 9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent","<div></div>"
"NarrativeContent_103","0a0dc51c-dada-4f5e-8657-bfb02c9c6d58","9.4","SECTION 9.4","Analysis of Exploratory Objective(s)","NarrativeContent","<div></div>"
"NarrativeContent_104","5d1e9ca4-5852-4117-83b0-4af56ab9adae","9.5","SECTION 9.5","Safety Analyses","NarrativeContent","<div></div>"
"NarrativeContent_105","049d8802-456b-431c-bc35-cc4f7b6928ff","9.6","SECTION 9.6","Other Analyses","NarrativeContent","<div></div>"
"NarrativeContent_106","249ea73b-9629-40dc-9f9a-f8cf85f72546","9.7","SECTION 9.7","Interim Analyses","NarrativeContent","<div></div>"
"NarrativeContent_107","942c6bc0-1b3f-4cc1-98e2-10aada00671c","9.8","SECTION 9.8","Sample Size Determination","NarrativeContent","<div></div>"
"NarrativeContent_108","2ca0cf53-144d-4a63-aa79-9e0d5a9b3085","9.9","SECTION 9.9","Protocol Deviations","NarrativeContent","<div></div>"
"NarrativeContent_109","ea06f4e7-20a2-4810-a212-9c7c7bfa1959","10","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent","<div></div>"
"NarrativeContent_110","510724a4-1e44-404c-8fc3-22faa2c47f4f","10.1","SECTION 10.1","Regulatory and Ethical Considerations","NarrativeContent","<div></div>"
"NarrativeContent_111","65f2b49e-6165-49b8-916e-b3dedbeaacdd","10.2","SECTION 10.2","Committees","NarrativeContent","<div></div>"
"NarrativeContent_112","1e925d12-efbb-45a7-b7e1-519a77b34505","10.3","SECTION 10.3","Informed Consent Process","NarrativeContent","<div></div>"
"NarrativeContent_113","d85b0307-5e62-4f68-9f70-1fb986393e11","10.4","SECTION 10.4","Data Protection","NarrativeContent","<div></div>"
"NarrativeContent_114","a0d01191-bb92-4770-8faa-413e4f7bc2b0","10.5","SECTION 10.5","Early Site Closure or Trial Termination","NarrativeContent","<div></div>"
"NarrativeContent_115","ac9f2d8e-521f-43b0-83b1-6e7534ba4b25","11","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent","<div></div>"
"NarrativeContent_116","97a7ef00-af21-4be4-91b4-e5cf9be73cf7","11.1","SECTION 11.1","Quality Tolerance Limits","NarrativeContent","<div></div>"
"NarrativeContent_117","4aff80ce-0ce4-4418-99a1-8c0e53107595","11.2","SECTION 11.2","Data Quality Assurance","NarrativeContent","<div></div>"
"NarrativeContent_118","4cd9915a-03c1-4be9-bcc7-aeabf4345413","11.3","SECTION 11.3","Source Data","NarrativeContent","<div></div>"
"NarrativeContent_119","3d2d376d-a18c-447e-89ac-a4755d0bb5a4","12","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent","<div></div>"
"NarrativeContent_120","c967d62e-a470-4324-8e20-a635e4b1ff14","12.1","SECTION 12.1","Further Details and Clarifications on the AE Definition","NarrativeContent","<div></div>"
"NarrativeContent_121","10b182ed-2e2e-4f81-910e-e41475af0951","12.2","SECTION 12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent","<div></div>"
"NarrativeContent_122","26ea595f-9b70-4435-8770-4f48f6281965","12.3","SECTION 12.3","Severity","NarrativeContent","<div></div>"
"NarrativeContent_123","0050f0f7-5aeb-48af-a3d9-4a36895ec544","12.4","SECTION 12.4","Causality","NarrativeContent","<div></div>"
"NarrativeContent_124","2003e782-c4a8-4801-beb5-c2c10d9a1cb4","13","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent","<div></div>"
"NarrativeContent_125","858a6d37-1356-430c-8d98-0eb58ac28b48","13.1","SECTION 13.1","Contraception and Pregnancy Testing","NarrativeContent","<div></div>"
"NarrativeContent_126","f308a108-e743-4ef4-acb1-f93f8af41568","13.1.1","SECTION 13.1.1","Definitions Related to Childbearing Potential","NarrativeContent","<div></div>"
"NarrativeContent_127","ac62627c-9984-4e5c-a0ee-b407c87c239d","13.1.2","SECTION 13.1.2","Contraception","NarrativeContent","<div></div>"
"NarrativeContent_128","154874bf-3d86-44c4-8fe2-f01f59f973fc","13.1.3","SECTION 13.1.3","Pregnancy Testing","NarrativeContent","<div></div>"
"NarrativeContent_129","4154ea10-2d07-48a5-bba6-943842002816","13.2","SECTION 13.2","Clinical Laboratory Tests","NarrativeContent","<div></div>"
"NarrativeContent_130","beff1d69-f0ed-4851-ab5a-2c4a6b55a01a","13.3","SECTION 13.3","Country/Region-Specific Differences","NarrativeContent","<div></div>"
"NarrativeContent_131","328d2669-0333-44d8-a738-b8f548bc4baf","13.4","SECTION 13.4","Prior Protocol Amendments","NarrativeContent","<div></div>"
"NarrativeContent_132","3eae3b7d-a184-46da-a49b-a8860008be4b","14","SECTION 14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent","<div></div>"
"NarrativeContent_133","d273c225-28b0-45ed-b397-e895de96f542","15","SECTION 15","APPENDIX: REFERENCES","NarrativeContent","<div></div>"
