"name","instanceType","uuid:ID","label","reference","synonyms","id"
"Potassium Measurement","BiomedicalConcept","cf7ba0ef-10df-4a6d-9ed0-b13c70a3e1b8","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_30"
"Sodium Measurement","BiomedicalConcept","1403207d-39cd-4633-a9b6-26dd60d998ce","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_31"
"Adverse Event","BiomedicalConcept","6a8db81e-3226-4bb9-8093-5263e09ade6b","Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","","BiomedicalConcept_1"
"Systolic Blood Pressure","BiomedicalConcept","fc1f5186-c711-456f-af89-4bb8597976be","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2"
"Diastolic Blood Pressure","BiomedicalConcept","1388533c-e017-4bff-95f7-5c2d7bd55b3a","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3"
"Body Temperature","BiomedicalConcept","6c75278a-795a-4eaa-8c69-f16f29269d0c","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4"
"Body Weight","BiomedicalConcept","465d0a41-b5f2-4373-909a-92f198082277","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5"
"Body Height","BiomedicalConcept","ff154127-f29c-47b3-805f-547de324b8ef","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","BiomedicalConcept","b1abe356-367c-4cc8-8b6e-913f6f14af0b","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7"
"Albumin Measurement","BiomedicalConcept","1d207489-72bc-482f-8017-9ecd605b7c27","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","BiomedicalConcept","4b229b09-821e-4df8-8b8b-c1d28e73d8ba","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","cc57cb4a-c895-4d77-aef7-90560a4f3682","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10"
"Creatinine Measurement","BiomedicalConcept","6a522f72-1ca0-42b5-adff-3a655c47bdcd","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11"
"Potassium Measurement","BiomedicalConcept","ab8a3715-c587-497e-b35f-b894ebc2358f","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12"
"Sodium Measurement","BiomedicalConcept","f66e2d1a-26c4-4799-ba1c-7bccd1816a83","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13"
"Systolic Blood Pressure","BiomedicalConcept","a98de88e-4583-4fcf-bc6c-bfaa66e44588","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14"
"Diastolic Blood Pressure","BiomedicalConcept","f5575b4d-658c-44ea-8372-84b882798433","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15"
"Heart Rate","BiomedicalConcept","427abae8-2523-4cd7-8084-200cc2bba4fc","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","BiomedicalConcept_16"
"Systolic Blood Pressure","BiomedicalConcept","183f7ae8-5baa-4a09-95d5-22121320ddc9","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_17"
"Diastolic Blood Pressure","BiomedicalConcept","2342b38a-be75-410c-b5a1-f3a9e3934f10","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_18"
"Heart Rate","BiomedicalConcept","94de4670-db00-451f-80ff-79e64afc8790","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","BiomedicalConcept_19"
