"code","instanceType","uuid:ID","codeSystemVersion","id","codeSystem","decode"
"C70713","Code","7a2d49e4-17ce-4efb-bcb0-1f2b7ed7f906","","Code_306","NCI Thesaurus","Biospecimen Type"
"C64432","Code","675975ce-5e1e-40d7-8e76-4def2f785e44","","Code_302","NCI Thesaurus","Alkaline Phosphatase Measurement"
"C36292","Code","e7d1603e-99af-45b2-ab16-ef99ab1fe02b","","Code_308","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","6a359487-e91b-411c-8094-5ee75071d4bc","","Code_309","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","f3dc445c-5139-4032-b238-56cd3fd078d7","","Code_310","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","Code","139d2bb1-25a9-4465-bc32-9e0b0f23ee64","","Code_311","NCI Thesaurus","Biospecimen Type"
"C64467","Code","7aa8a606-cb3a-4869-8de5-df57c39afde0","","Code_307","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"C36292","Code","b8aedd94-6976-40e4-a9b3-83e4a9528770","","Code_313","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","214a59f7-7f88-49fc-9986-e93343643ae1","","Code_314","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","Code","0f2cd2f6-d403-472b-a095-fe4e2eb09e71","","Code_315","NCI Thesaurus","Unit of Concentration"
"C70713","Code","391ebdee-85ce-48f5-a89a-956be21a2594","","Code_316","NCI Thesaurus","Biospecimen Type"
"C64547","Code","c5280201-d7fa-4950-9d86-58d1820ba96d","","Code_312","NCI Thesaurus","Creatinine Measurement"
"C36292","Code","5d87e460-36b0-404b-9e5f-20d4263453b7","","Code_318","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","2f57feed-a5a2-428b-bb40-7b55af96b044","","Code_319","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","Code","34709005-9e54-40fe-af51-675161a5f375","","Code_320","NCI Thesaurus","Molarity Unit"
"C70713","Code","7c325135-509e-44c1-85d0-01d4c700f405","","Code_321","NCI Thesaurus","Biospecimen Type"
"C64853","Code","61de87cd-5e40-440a-97b5-dbc0d8c6c221","","Code_317","NCI Thesaurus","Potassium Measurement"
"C36292","Code","cb1710af-956f-4ae0-87b6-0e7ead77df47","","Code_323","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","951de5e9-b654-40f1-a1b0-6d6919ebc1d6","","Code_324","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","Code","fd5da0ec-f329-486f-8ddb-36d728cf05fc","","Code_325","NCI Thesaurus","Molarity Unit"
"C70713","Code","bdb7a86e-4654-40eb-b08e-fd4856263044","","Code_326","NCI Thesaurus","Biospecimen Type"
"C64809","Code","ff9c0818-d1fd-462d-bb85-fcfb60b9cc8a","","Code_322","NCI Thesaurus","Sodium Measurement"
"C82571","Code","beb85c73-affd-4e1e-8ac3-472ebfbe2d1b","","Code_146","NCI Thesaurus","Reported Event Term"
"C82977","Code","58dfd6eb-bef0-44b9-b2fd-590cd1d86639","","Code_147","NCI Thesaurus","Dictionary-derived Term"
"C25372","Code","d5a2fa15-df79-4939-9a01-eeb0073eebc6","","Code_148","NCI Thesaurus","Category"
"C25692","Code","847c6c12-8ce3-43ea-b908-3543721a0b9b","","Code_149","NCI Thesaurus","Subcategory"
"C82517","Code","4a8f8f06-111b-4633-9e17-ae02caf094d1","","Code_150","NCI Thesaurus","Observation Start Date Time"
"C41331","Code","c8f41292-89d8-41c5-8f94-8484b05d535e","","Code_145","NCI Thesaurus","Adverse Event"
"C77140","Code","50279517-c8f0-4fef-997d-8ccc5d5679b5","","Code_152","NCI Thesaurus","Clinical Test Result"
"C42547","Code","225570ed-ea06-4fd4-8d86-ad3be247cfad","2023-09-29","Code_153","http://www.cdisc.org","Pascal"
"C49669","Code","81a96b43-5c99-41f3-a90f-8ce158ff58e0","","Code_154","NCI Thesaurus","Unit of Pressure"
"C13717","Code","dcdf60e9-6f66-46ed-be74-fb2589a72ebe","","Code_155","NCI Thesaurus","Anatomic Site"
"C25185","Code","0d1e9453-fe50-4ec1-a6e1-8d329513893c","","Code_156","NCI Thesaurus","Laterality"
"C82535","Code","b7830425-4068-46f5-8d8f-e65873e1e9c7","","Code_157","NCI Thesaurus","Test Method"
"C62164","Code","b60f50d4-0a90-436d-928f-1ad6a11414b3","","Code_158","NCI Thesaurus","Body Position"
"C25298","Code","b15d3c1b-4cef-4c48-bdc6-e95284796f47","","Code_151","NCI Thesaurus","Systolic Blood Pressure"
"C77140","Code","e9a3e069-6e81-4468-9864-155f5862b0bd","","Code_160","NCI Thesaurus","Clinical Test Result"
"C42547","Code","aadd8e8e-5654-4510-af0b-1e0ad24c1437","2023-09-29","Code_161","http://www.cdisc.org","Pascal"
"C49669","Code","b0ecc04a-af56-4c36-8fea-df9c4379fed5","","Code_162","NCI Thesaurus","Unit of Pressure"
"C13717","Code","3ee6f20a-ccea-456a-ab4f-0437e351fb9d","","Code_163","NCI Thesaurus","Anatomic Site"
"C25185","Code","125b80d4-6e6e-4df6-94be-4214be6237d2","","Code_164","NCI Thesaurus","Laterality"
"C82535","Code","48c01acb-669b-484b-b3e5-3794c667efd0","","Code_165","NCI Thesaurus","Test Method"
"C62164","Code","66d50e86-7389-4dfa-b200-9086405cdf2f","","Code_166","NCI Thesaurus","Body Position"
"C25299","Code","13867cc5-91a2-4f11-b8f2-5a9937676638","","Code_159","NCI Thesaurus","Diastolic Blood Pressure"
"C77140","Code","b3eb9a50-deb6-4690-80c9-b3ccf7a6d9d9","","Code_168","NCI Thesaurus","Clinical Test Result"
"C42537","Code","a8538572-0455-4584-a171-b4a42dc6fac6","2023-09-29","Code_169","http://www.cdisc.org","Kelvin"
"C44276","Code","a02e0f3e-f578-422a-8ac9-4706599812fb","","Code_170","NCI Thesaurus","Unit of Temperature"
"C13717","Code","cbfe0b97-b7db-4372-a398-09f43ba40514","","Code_171","NCI Thesaurus","Anatomic Site"
"C174446","Code","1419bb2c-8736-4d7a-a399-21b1a4645f55","","Code_167","NCI Thesaurus","Body Temperature"
"C77140","Code","902fc121-eda6-4aa3-a633-5f7c799ef6db","","Code_173","NCI Thesaurus","Clinical Test Result"
"C28252","Code","34a83a35-bc48-4b91-9783-f71b600d7fa8","2023-09-29","Code_174","http://www.cdisc.org","Kilogram"
"C48155","Code","fcb04cd1-3175-4ea2-a2b8-e570bce5bcd5","2023-09-29","Code_175","http://www.cdisc.org","Gram"
"C48531","Code","5281dec2-a0bb-48bf-a746-79aba174b9b4","2023-09-29","Code_176","http://www.cdisc.org","Pound"
"C48208","Code","cbebdf03-546c-488b-8e73-a02e95bacab1","","Code_177","NCI Thesaurus","Unit of Weight"
"C81328","Code","020e3a42-1a44-4605-a6d5-476ba43a4cf6","","Code_172","NCI Thesaurus","Body Weight"
"C77140","Code","3e62e507-6b46-46e6-a2f1-8701ecd9b556","","Code_179","NCI Thesaurus","Clinical Test Result"
"C49668","Code","9c2b9929-a27d-476d-bca2-d019ceb9dc33","2023-09-29","Code_180","http://www.cdisc.org","Centimeter"
"C48500","Code","f2c0645b-c72e-4b90-b9af-566af7cd9dbb","2023-09-29","Code_181","http://www.cdisc.org","Inch"
"C28251","Code","3a564f6c-5af9-4077-9bb1-4bc8423fe27e","2023-09-29","Code_182","http://www.cdisc.org","Millimeter"
"C41139","Code","e1830029-b9dc-4e11-b5a4-a048f749efd2","2023-09-29","Code_183","http://www.cdisc.org","Meter"
"C168688","Code","bb5bb943-3325-4f88-a4cc-4600472aa1fa","","Code_184","NCI Thesaurus","Unit of Height"
"C164634","Code","0de11be1-4dba-4fab-af4c-4094b7f1e927","","Code_178","NCI Thesaurus","Body Height"
"C36292","Code","25412b68-b25b-4038-a4fc-c921067325cf","","Code_186","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","409f1025-ea1e-4285-a9aa-e2df19ffee2e","","Code_187","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","45998b79-838e-4d6a-876d-1bf3588b459c","","Code_188","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","Code","7137bd21-939a-41f4-b98a-b89a10b114aa","","Code_189","NCI Thesaurus","Biospecimen Type"
"C64433","Code","092b9dd3-9eb4-4a0e-baa1-a66440671cd1","","Code_185","NCI Thesaurus","Alanine Aminotransferase Measurement"
"C36292","Code","d40cd491-d91e-4343-b56b-268c762e8f38","","Code_191","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","3959fbda-22cf-46bd-af68-12e363a33105","","Code_192","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","Code","a3fa4aef-6183-4675-b46f-f8d1614060f9","","Code_193","NCI Thesaurus","Unit of Concentration"
"C70713","Code","876cebe6-f952-4fc0-8bc8-b88dcf4afda9","","Code_194","NCI Thesaurus","Biospecimen Type"
"C64431","Code","23cbf6ec-e38d-4579-bde1-8cedd02b282b","","Code_190","NCI Thesaurus","Albumin Measurement"
"C36292","Code","0d4c198f-930a-48cd-a0a9-ada2ba0c8f24","","Code_196","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","09ecf5b8-1dde-410d-af6f-1f28e933200e","","Code_197","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","5cd1a219-0496-49e9-8a8b-87a91c239343","","Code_198","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","Code","5a9d3da6-2aac-451f-940a-b6a7a0e4cde9","","Code_199","NCI Thesaurus","Biospecimen Type"
"C64432","Code","9607cb53-a0bb-4ba8-b860-c6ce4b566ccd","","Code_195","NCI Thesaurus","Alkaline Phosphatase Measurement"
"C36292","Code","27af9550-218c-4369-a565-6ae14ba5039b","","Code_201","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","0c1c0d5d-bbc2-4321-b272-fa8e3cc242ce","","Code_202","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","cd70ff70-7586-4bd4-9859-d2ccc6a50b49","","Code_203","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","Code","a83c9f63-2f66-4efc-ae3d-f6886a428b40","","Code_204","NCI Thesaurus","Biospecimen Type"
"C64467","Code","a9474eab-890a-4337-95c0-90f5c3a8da66","","Code_200","NCI Thesaurus","Aspartate Aminotransferase Measurement"
"C36292","Code","bc757e11-8bba-4eb2-9475-4941b523fa5c","","Code_206","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","8bd25882-427c-4c33-b1ca-bd878d10ea85","","Code_207","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","Code","4279ab11-b5f0-4681-811c-ef6e46d8dc02","","Code_208","NCI Thesaurus","Unit of Concentration"
"C70713","Code","8f88cba5-7522-4b02-b248-36228f05e2a9","","Code_209","NCI Thesaurus","Biospecimen Type"
"C64547","Code","480af9f9-0015-49b1-a2c5-2469763e2130","","Code_205","NCI Thesaurus","Creatinine Measurement"
"C36292","Code","ad8851e6-e24d-4935-8b75-c9beb79168eb","","Code_211","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","2972c8e1-9b2f-4a6a-8f1d-d235ec329c20","","Code_212","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","Code","2234bb7c-e585-469b-99cd-de43ecbe5161","","Code_213","NCI Thesaurus","Molarity Unit"
"C70713","Code","f17a9419-026e-4a17-8ce0-1782fa1a6e85","","Code_214","NCI Thesaurus","Biospecimen Type"
"C64853","Code","d06728ca-9e68-4f18-88c4-2ffd652346b8","","Code_210","NCI Thesaurus","Potassium Measurement"
"C36292","Code","0ce7db90-9c3f-44a2-b4cc-e5eb752b953a","","Code_216","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","bb3c2bad-f391-46e8-ba6c-729f3a8470e7","","Code_217","NCI Thesaurus","Laboratory Test Fasting Status"
"C64567","Code","8f5562a4-cd82-4706-8748-ae8882d2e951","","Code_218","NCI Thesaurus","Molarity Unit"
"C70713","Code","23c531ab-5ca3-45ab-8175-850ccbd67f47","","Code_219","NCI Thesaurus","Biospecimen Type"
"C64809","Code","c385198b-428f-41ec-ad90-2aa573786457","","Code_215","NCI Thesaurus","Sodium Measurement"
"C77140","Code","bf98a651-6cd5-4916-af58-1f457a605536","","Code_221","NCI Thesaurus","Clinical Test Result"
"C42547","Code","9bf83dd7-4160-411e-92d5-34d36984325f","2023-09-29","Code_222","http://www.cdisc.org","Pascal"
"C49669","Code","7d355b9a-aaea-48d7-9dcc-13e10b9bcb34","","Code_223","NCI Thesaurus","Unit of Pressure"
"C13717","Code","0d30f3f4-88ca-4b90-8b1d-969ddae3adba","","Code_224","NCI Thesaurus","Anatomic Site"
"C25185","Code","903a3346-9fea-4f79-8b20-3b4ef606a18b","","Code_225","NCI Thesaurus","Laterality"
"C82535","Code","9c4d5266-e70c-4dd9-a9eb-69ca125dd083","","Code_226","NCI Thesaurus","Test Method"
"C62164","Code","06dff666-41cc-4856-9032-967c34c53e39","","Code_227","NCI Thesaurus","Body Position"
"C25298","Code","b455513d-ce5c-42f3-91bb-e21ae5d6f484","","Code_220","NCI Thesaurus","Systolic Blood Pressure"
"C77140","Code","c9b92469-a1c6-44af-8723-6eec5d82fd11","","Code_229","NCI Thesaurus","Clinical Test Result"
"C42547","Code","9268768c-01ef-4281-9cf2-58fcb02510c0","2023-09-29","Code_230","http://www.cdisc.org","Pascal"
"C49669","Code","dac24b5e-c983-45e5-966b-f66782504408","","Code_231","NCI Thesaurus","Unit of Pressure"
"C13717","Code","8f0ee7fc-cc38-4eee-94e6-ec679e1fa9b6","","Code_232","NCI Thesaurus","Anatomic Site"
"C25185","Code","de1f12f3-18cb-48fb-9f8a-b6b6bf6563d6","","Code_233","NCI Thesaurus","Laterality"
"C82535","Code","5eb78d1c-c51d-4375-a889-c847d0c8824d","","Code_234","NCI Thesaurus","Test Method"
"C62164","Code","b1340f57-e631-49e4-a850-ca142f831cd5","","Code_235","NCI Thesaurus","Body Position"
"C25299","Code","20c3f672-9dd2-45de-8642-e7ef6b36c290","","Code_228","NCI Thesaurus","Diastolic Blood Pressure"
"C77140","Code","26d6a8cf-78ec-4187-b425-ce226e7b60c7","","Code_237","NCI Thesaurus","Clinical Test Result"
"C49673","Code","1e9fb893-7a0a-413d-90ff-365eb951c1f8","2023-09-29","Code_238","http://www.cdisc.org","Beats per Minute"
"C73688","Code","d97ecff4-02bf-4638-a42e-cc823279c673","","Code_239","NCI Thesaurus","Count per Minute"
"C13717","Code","2f4f6e74-6a86-4a4c-af11-7750d335e307","","Code_240","NCI Thesaurus","Anatomic Site"
"C25185","Code","bec54c97-c565-4d1d-8c0d-73c8031f84e0","","Code_241","NCI Thesaurus","Laterality"
"C82535","Code","c8e5d6e6-a025-4c29-8382-6566c7cc6637","","Code_242","NCI Thesaurus","Test Method"
"C62164","Code","0fad58e0-779d-4381-9bae-3df3aa5bb56d","","Code_243","NCI Thesaurus","Body Position"
