"code","codeSystem","uuid:ID","decode","codeSystemVersion","id"
"C175574","http://www.cdisc.org","bad9ced4-38e0-4883-9d53-e17106bbf3c8","In Person","2023-09-29","Code_95"
"C171537","http://www.cdisc.org","6d96650b-4830-4246-9b12-13a2354cb977","Telephone Call","2023-09-29","Code_96"
"C25716","http://www.cdisc.org","a512afc2-28e3-462c-94e7-8f849ddfcb93","Visit","2023-09-29","Code_97"
"C51282","http://www.cdisc.org","5d2a4e28-9186-4319-82b1-4c231375724d","Clinic","2023-09-29","Code_98"
"C175574","http://www.cdisc.org","b043bd27-bda0-47a2-8afa-967687b53091","In Person","2023-09-29","Code_99"
"C171537","http://www.cdisc.org","71536beb-3345-4768-9552-3c216181dc85","Telephone Call","2023-09-29","Code_100"
"C25716","http://www.cdisc.org","8027d37c-ea22-4e79-adcc-11710743cd18","Visit","2023-09-29","Code_101"
"C51282","http://www.cdisc.org","07407eaa-9511-4bfa-9f40-5ba0b3dfb791","Clinic","2023-09-29","Code_102"
"C175574","http://www.cdisc.org","8fb84d39-2b82-4cfc-8078-0ebe8fb50f75","In Person","2023-09-29","Code_103"
"C171537","http://www.cdisc.org","c1288af1-c707-4c9e-9f0a-bfdd7fa29289","Telephone Call","2023-09-29","Code_104"
"C25716","http://www.cdisc.org","a8e6ac1f-e3c6-4dd8-870a-af348be4f4ce","Visit","2023-09-29","Code_105"
"C51282","http://www.cdisc.org","ccf83c59-6d6b-45d7-b97b-1e70bdf0be71","Clinic","2023-09-29","Code_106"
"C175574","http://www.cdisc.org","eb436e67-2229-4ca7-baef-f2b2fc69f41a","In Person","2023-09-29","Code_107"
"C171537","http://www.cdisc.org","b548bd77-8dac-46dc-a7d1-548460882091","Telephone Call","2023-09-29","Code_108"
"C25716","http://www.cdisc.org","524d26dc-8396-49b5-835e-a1fdd8e6d9d6","Visit","2023-09-29","Code_109"
"C51282","http://www.cdisc.org","00a32de3-5a8c-4a3d-a3b1-b7170e7e54ba","Clinic","2023-09-29","Code_110"
"C175574","http://www.cdisc.org","c1648af8-24a1-4c0e-b831-f1926581db6e","In Person","2023-09-29","Code_111"
"C25716","http://www.cdisc.org","e06ce21a-5d10-4362-97e5-f15ab3e5ac18","Visit","2023-09-29","Code_112"
"C51282","http://www.cdisc.org","49116b1b-625f-4e37-9b6d-d8c4443f24dd","Clinic","2023-09-29","Code_113"
"C175574","http://www.cdisc.org","e0915bfc-d97a-4384-985f-756a0c978c70","In Person","2023-09-29","Code_114"
"383371000119108","SNOMED","aaf13de5-18c5-47ea-a6d9-72b6e68b89ca","CT of head without contrast","January 31, 2018","Code_72"
"123","SPONSOR","dd40ee6e-212c-4262-9dbf-bf547f084610","Supine for 5 minutes","12","Code_73"
"124","SPONSOR","c1605473-e8d4-4392-810e-820f8838dd13","Standingfor 1-3 minutes","12","Code_74"
"C173522","NCI Thesaurus","0b4ec1bb-5f9c-4dd9-839d-ce88ed3219b7","Vital Signs Result","","Code_252"
"C42537","http://www.cdisc.org","8207d6f4-0b79-4d8a-bcdf-0d7590aba406","Kelvin","2023-09-29","Code_253"
"C44276","NCI Thesaurus","678ca73a-3e11-41fd-b635-16d02cd831e7","Unit of Temperature","","Code_254"
"C83088","NCI Thesaurus","d721ec71-c603-4670-b9c6-601662956935","Vital Signs Location","","Code_255"
"C174446","NCI Thesaurus","af32540e-7c45-4ca6-aef9-999acb552c14","Body Temperature","","Code_251"
"C173522","NCI Thesaurus","0ad07f87-7ece-4c96-ace4-bcd8cfc24c19","Vital Signs Result","","Code_257"
"C28252","http://www.cdisc.org","1ebdc318-13d3-47d1-815e-071139522893","Kilogram","2023-09-29","Code_258"
"C48155","http://www.cdisc.org","1f9028cb-9747-4a58-bd24-320b4c06d285","Gram","2023-09-29","Code_259"
"C48531","http://www.cdisc.org","3e942653-70b1-4c12-bcb7-2a7a514b6169","Pound","2023-09-29","Code_260"
"C48208","NCI Thesaurus","59ed4a10-8ec3-4fbc-8935-6b387e22e38f","Unit of Weight","","Code_261"
"C81328","NCI Thesaurus","d1e90e85-882c-48ea-b873-30701188cdac","Body Weight","","Code_256"
"C173522","NCI Thesaurus","219647b9-5669-4ebd-9cd8-4b7b8ae34fcd","Vital Signs Result","","Code_263"
"C49668","http://www.cdisc.org","b3627f01-9d62-4dbf-9216-d70326de4138","Centimeter","2023-09-29","Code_264"
"C48500","http://www.cdisc.org","223ac82c-08a3-4cd0-bb64-25a5b45d2b13","Inch","2023-09-29","Code_265"
"C28251","http://www.cdisc.org","911df932-fb61-447a-b624-d6ed575af150","Millimeter","2023-09-29","Code_266"
"C41139","http://www.cdisc.org","92864216-26df-4d3d-9343-2ab91d26e311","Meter","2023-09-29","Code_267"
"C168688","NCI Thesaurus","18beed00-149a-4dd9-92e9-197d9ae6d077","Unit of Height","","Code_268"
"C164634","NCI Thesaurus","1733e979-8794-44aa-9444-3e2527c84d06","Body Height","","Code_262"
"C36292","NCI Thesaurus","99951fc7-47ff-4c4f-8834-73348b5f388f","Laboratory Test Result","","Code_270"
"C83309","NCI Thesaurus","50e6c1c9-aa0f-4b53-9612-b9a83fad8004","Laboratory Test Fasting Status","","Code_271"
"C67365","NCI Thesaurus","78354f38-0b1f-4273-a140-3d90dd1c84e7","Unit of Catalytic Activity Concentration","","Code_272"
"C70713","NCI Thesaurus","b80aac8c-e7a1-4913-8719-05009352b469","Biospecimen Type","","Code_273"
"C64433","NCI Thesaurus","4accebe4-8752-4e05-85af-510c83f2fce6","Alanine Aminotransferase Measurement","","Code_269"
"C36292","NCI Thesaurus","b8f1e7cb-a772-4fc1-b6b0-f0050c316124","Laboratory Test Result","","Code_275"
"C83309","NCI Thesaurus","62c70ca1-847e-476a-9a0e-02daf9c1775d","Laboratory Test Fasting Status","","Code_276"
"C48207","NCI Thesaurus","5d39db51-acf8-4bcc-84ba-9c088ddc801e","Unit of Concentration","","Code_277"
"C70713","NCI Thesaurus","7dff1097-6109-4b38-9df7-edc6b908561a","Biospecimen Type","","Code_278"
"C64431","NCI Thesaurus","5fe831da-b52c-4016-b835-2b1ee97102a0","Albumin Measurement","","Code_274"
"C36292","NCI Thesaurus","537e7370-6b9f-4d7d-b3b9-a149334ef988","Laboratory Test Result","","Code_280"
"C83309","NCI Thesaurus","a2660fec-698f-41c4-b180-eb4f5085ff58","Laboratory Test Fasting Status","","Code_281"
"C67365","NCI Thesaurus","b4652455-1415-4e1b-8f51-3a40335a8602","Unit of Catalytic Activity Concentration","","Code_282"
"C70713","NCI Thesaurus","1618ddcf-5a34-4ac4-8453-68a6f4ddd489","Biospecimen Type","","Code_283"
"C64432","NCI Thesaurus","73791913-3834-4068-b419-78da8a17debe","Alkaline Phosphatase Measurement","","Code_279"
"C36292","NCI Thesaurus","e700c065-9090-45d4-ae60-1b36ed687ea5","Laboratory Test Result","","Code_285"
"C83309","NCI Thesaurus","6cb8ba99-b5cc-4338-9d46-fe9d87b11875","Laboratory Test Fasting Status","","Code_286"
"C67365","NCI Thesaurus","e87f1550-2b35-46bd-8292-a42250878a64","Unit of Catalytic Activity Concentration","","Code_287"
"C70713","NCI Thesaurus","ed4b2c49-93eb-4d5e-b333-5b9864977e4c","Biospecimen Type","","Code_288"
"C64467","NCI Thesaurus","4a7c0424-c5fa-44e7-8d6c-62a11da3b685","Aspartate Aminotransferase Measurement","","Code_284"
"C36292","NCI Thesaurus","401df44a-c934-47cb-99c4-92e159eaf3ca","Laboratory Test Result","","Code_290"
"C83309","NCI Thesaurus","2f40eee6-53cc-4f9f-afd2-8dcb746699cd","Laboratory Test Fasting Status","","Code_291"
"C48207","NCI Thesaurus","67bfea5c-e20e-4bb2-aca3-34725e55e406","Unit of Concentration","","Code_292"
"C70713","NCI Thesaurus","9dcb82cb-14fa-425f-ba7c-66175e9b7678","Biospecimen Type","","Code_293"
"C64547","NCI Thesaurus","60cf3817-a6b9-478c-9ae9-31622ae8d64f","Creatinine Measurement","","Code_289"
"C36292","NCI Thesaurus","f9923437-8d75-4f00-bcdb-ac129b482dad","Laboratory Test Result","","Code_295"
"C83309","NCI Thesaurus","7bbd01dc-4ebf-488a-89b2-cf5b0f4baaff","Laboratory Test Fasting Status","","Code_296"
"C64567","NCI Thesaurus","8762e30d-1ac0-4edd-9a22-63c4cef261a8","Molarity Unit","","Code_297"
"C70713","NCI Thesaurus","058cc258-5eee-4927-a22f-41b4a3724b53","Biospecimen Type","","Code_298"
"C64853","NCI Thesaurus","fcf0c2bc-fdb9-4906-84ce-5ec35619caba","Potassium Measurement","","Code_294"
"C36292","NCI Thesaurus","983e628c-2833-4b68-8ec9-23bf2d36462a","Laboratory Test Result","","Code_300"
"C83309","NCI Thesaurus","d0c18c68-f77e-4086-bb15-489156869d77","Laboratory Test Fasting Status","","Code_301"
"C64567","NCI Thesaurus","fa11d181-6eac-47d4-8b77-3999ea40d959","Molarity Unit","","Code_302"
"C70713","NCI Thesaurus","73ae3310-512f-485d-a2b7-e5a96cfd80e3","Biospecimen Type","","Code_303"
"C64809","NCI Thesaurus","145043f3-dd33-4166-9a4e-88ab2ae7092b","Sodium Measurement","","Code_299"
"C78541","NCI Thesaurus","91864c65-6c36-4b34-9c3e-93e81d69c540","Adverse Event Verbatim Description","","Code_135"
"C83344","NCI Thesaurus","a4b2f0b3-8654-4877-beb0-ceb7a44b6b22","Adverse Event Dictionary Derived Term","","Code_136"
"C83198","NCI Thesaurus","7bac6b4a-ac6c-4036-982f-53698e4246ca","Adverse Event Category","","Code_137"
"C83212","NCI Thesaurus","740e2ec5-22a7-4fc8-9791-d5411f4b9d6e","Adverse Event Subcategory","","Code_138"
"C87840","NCI Thesaurus","e55f15f2-4b7a-4618-8035-0f5b8a4dc105","Adverse Event Pre-specified","","Code_139"
"C53253","NCI Thesaurus","679f430b-35c5-4a02-9d60-f6099aa26dee","Severity of Adverse Event","","Code_140"
"C78605","NCI Thesaurus","2ceb0d46-3fea-4935-bc56-0290bbf6ab40","Adverse Event Toxicity Grade","","Code_141"
"C53252","NCI Thesaurus","b358ec8f-e557-43f5-97d6-9e456d2b6fcc","Seriousness of Adverse Event","","Code_142"
"C83013","NCI Thesaurus","21d7bde6-e2f7-4a32-937d-32b6a503dabe","Adverse Event Action Taken with Study Treatment","","Code_143"
"C41358","NCI Thesaurus","a9d2f62b-7c06-45c1-938e-8f286c6bb275","Adverse Event Attribution to Product or Procedure","","Code_144"
"C71325","http://www.cdisc.org","cd2e2422-54c5-4596-85e8-b5cfa58d61a3","Intermittent","2023-09-29","Code_145"
"C83208","NCI Thesaurus","bd04a537-1891-40ac-a572-f3824c7b6a93","Adverse Event Pattern","","Code_146"
"C49489","NCI Thesaurus","026f7f0b-2ffb-4983-903b-67d0f0d35147","Adverse Event Outcome","","Code_147"
"C83215","NCI Thesaurus","c75770b0-197a-48c6-b0bc-a874735ec614","Adverse Event Start Date Time","","Code_148"
"C83201","NCI Thesaurus","985ee1bd-1941-4439-a72b-52df55bf5e31","Adverse Event End Date Time","","Code_149"
"C41331","NCI Thesaurus","61f608cc-cc62-4523-bd95-111382f556af","Adverse Event","","Code_134"
"C173522","NCI Thesaurus","0d174cb7-35de-4cd4-b29b-f6102eb15111","Vital Signs Result","","Code_151"
"C42547","http://www.cdisc.org","498e59d1-034c-47c9-8e96-62d1c83f685e","Pascal","2023-09-29","Code_152"
"C49669","NCI Thesaurus","3ef2bcf0-d870-4581-84aa-c2525f46a4f9","Unit of Pressure","","Code_153"
"C83088","NCI Thesaurus","d6ef67b2-506b-445c-8819-50f6a1204b22","Vital Signs Location","","Code_154"
"C123975","NCI Thesaurus","a223f506-cf37-4993-a575-10199f7ebac1","Vital Signs Laterality","","Code_155"
"C82535","NCI Thesaurus","3861713d-4698-418e-ba23-888402cee504","Test Method","","Code_156"
"C83114","NCI Thesaurus","95b9382d-3612-40a0-851c-70580204848b","Vital Signs Position","","Code_157"
"C25298","NCI Thesaurus","426fd6fd-116f-4d02-826d-2ad00e1b77b8","Systolic Blood Pressure","","Code_150"
"C173522","NCI Thesaurus","ad01f325-724b-492a-b6f0-069b66648bef","Vital Signs Result","","Code_159"
"C42547","http://www.cdisc.org","1ee858ad-eb19-4417-9498-2c7e3f921df6","Pascal","2023-09-29","Code_160"
"C49669","NCI Thesaurus","9d3737a7-45c2-4d16-8124-3274c9145fc8","Unit of Pressure","","Code_161"
"C83088","NCI Thesaurus","0bad4ae7-c16f-4dc8-b637-2219cd239aeb","Vital Signs Location","","Code_162"
"C123975","NCI Thesaurus","f86b365d-9038-4a48-ae43-9823713d3c79","Vital Signs Laterality","","Code_163"
"C82535","NCI Thesaurus","b9fdd9cd-6a54-4bca-a730-cd4d40661401","Test Method","","Code_164"
"C83114","NCI Thesaurus","b865cdba-381c-4b84-87e4-445666290df6","Vital Signs Position","","Code_165"
"C25299","NCI Thesaurus","cde06fd5-da47-40b6-a890-e8ae75efeb91","Diastolic Blood Pressure","","Code_158"
"C173522","NCI Thesaurus","b75e3c4f-22ea-43f8-b20e-818f342058ae","Vital Signs Result","","Code_167"
"C42537","http://www.cdisc.org","2fe181f1-4b8c-463f-8b5c-98b9ebff0a5d","Kelvin","2023-09-29","Code_168"
"C44276","NCI Thesaurus","c6a941ad-d9aa-4b78-ba0a-65bfc659a536","Unit of Temperature","","Code_169"
"C83088","NCI Thesaurus","46342dee-6840-4cc4-b371-b8f15502bbca","Vital Signs Location","","Code_170"
"C174446","NCI Thesaurus","4b2519fc-e3a5-40ee-9fa9-b106d718bc77","Body Temperature","","Code_166"
"C173522","NCI Thesaurus","6408a784-00a9-4382-a02b-08fe1b1145bf","Vital Signs Result","","Code_172"
"C28252","http://www.cdisc.org","0cd7b4db-4431-453e-a3bc-70d59bf8b1c1","Kilogram","2023-09-29","Code_173"
"C48155","http://www.cdisc.org","ad1ebc82-e5bf-45c0-90e9-d145c5d976c0","Gram","2023-09-29","Code_174"
"C48531","http://www.cdisc.org","68a71f6b-6be6-4a3d-a77c-6c734f63ce08","Pound","2023-09-29","Code_175"
"C48208","NCI Thesaurus","301f7c64-b0b9-4360-8748-5ece54dfb215","Unit of Weight","","Code_176"
"C81328","NCI Thesaurus","584e0b32-e558-4f40-97b1-3f34908be1ab","Body Weight","","Code_171"
"C173522","NCI Thesaurus","fc767693-ccc9-4a4c-9329-023e002d8d84","Vital Signs Result","","Code_178"
"C49668","http://www.cdisc.org","5347d51b-f411-40a7-a31c-53cd91e2c055","Centimeter","2023-09-29","Code_179"
"C48500","http://www.cdisc.org","c972e6a7-765e-445f-a87d-14f6020ea239","Inch","2023-09-29","Code_180"
"C28251","http://www.cdisc.org","e1576979-0c58-4173-b468-47a4ab0dfd40","Millimeter","2023-09-29","Code_181"
"C41139","http://www.cdisc.org","b204174f-ba3e-4d99-b785-d18700caa878","Meter","2023-09-29","Code_182"
"C168688","NCI Thesaurus","22363610-7c7e-4a81-b0f5-d994663d5e7a","Unit of Height","","Code_183"
"C164634","NCI Thesaurus","fde65546-78d3-4f0d-bfa2-7a65ee3389d7","Body Height","","Code_177"
"C36292","NCI Thesaurus","468ec826-0abf-4df1-8df5-d222b80678d1","Laboratory Test Result","","Code_185"
"C83309","NCI Thesaurus","5697ee73-6fad-487a-80be-572a1598a46a","Laboratory Test Fasting Status","","Code_186"
"C67365","NCI Thesaurus","b83743cf-3a1e-4554-b70b-32a560d7b123","Unit of Catalytic Activity Concentration","","Code_187"
"C70713","NCI Thesaurus","14dfb5d4-0e4b-4bf6-9075-6808cdbbeaa5","Biospecimen Type","","Code_188"
"C64433","NCI Thesaurus","067d09af-babb-4698-916f-34a9732e172c","Alanine Aminotransferase Measurement","","Code_184"
"C36292","NCI Thesaurus","d567dfe7-8765-4624-8ead-236bc76f0068","Laboratory Test Result","","Code_190"
"C83309","NCI Thesaurus","f0847eb5-9540-43c6-8dcf-752695092b52","Laboratory Test Fasting Status","","Code_191"
"C48207","NCI Thesaurus","f19346f3-4f42-4892-837b-a4114a22a321","Unit of Concentration","","Code_192"
"C70713","NCI Thesaurus","c9d9cd08-e833-4a02-a05d-ab415f839586","Biospecimen Type","","Code_193"
"C64431","NCI Thesaurus","6d787c32-fe91-416d-adc0-4b4ba42fde56","Albumin Measurement","","Code_189"
"C36292","NCI Thesaurus","57caa406-d61d-4b7c-8fe6-2469613af1a6","Laboratory Test Result","","Code_195"
"C83309","NCI Thesaurus","48d6b6e4-802c-4e0b-88a9-14d5ee86564b","Laboratory Test Fasting Status","","Code_196"
"C67365","NCI Thesaurus","46104556-3f8a-49a9-a160-2f5c376a006d","Unit of Catalytic Activity Concentration","","Code_197"
"C70713","NCI Thesaurus","fbc16c76-00fd-4203-bcd9-347d6a922dca","Biospecimen Type","","Code_198"
"C64432","NCI Thesaurus","94837b2f-d9e5-41ab-8ecc-a90f43a231be","Alkaline Phosphatase Measurement","","Code_194"
"C36292","NCI Thesaurus","a2989cb5-a3d8-4b5a-9230-3cfd442de750","Laboratory Test Result","","Code_200"
"C83309","NCI Thesaurus","33a80d90-c29b-4c40-8711-a3585c96fccc","Laboratory Test Fasting Status","","Code_201"
"C67365","NCI Thesaurus","72c3f830-63f4-4dec-9563-b3b38930e514","Unit of Catalytic Activity Concentration","","Code_202"
"C70713","NCI Thesaurus","bf732609-7e27-4bab-9359-e7815ee07c0d","Biospecimen Type","","Code_203"
"C64467","NCI Thesaurus","71e25ee9-cb09-42c7-8a56-9cf75e7f7a78","Aspartate Aminotransferase Measurement","","Code_199"
"C36292","NCI Thesaurus","7ddc3948-ac1b-4360-a202-e5c4181c8f4b","Laboratory Test Result","","Code_205"
"C83309","NCI Thesaurus","0d6fa5f2-e0c7-42da-8d37-6fd17b5ba18b","Laboratory Test Fasting Status","","Code_206"
"C48207","NCI Thesaurus","1c397126-3a27-4b18-aa1f-22ceba325cd5","Unit of Concentration","","Code_207"
"C70713","NCI Thesaurus","7f3fc88a-e020-4439-9cbc-80606893c0f3","Biospecimen Type","","Code_208"
"C64547","NCI Thesaurus","6893587b-8861-4d91-9dcb-d96a8464f6de","Creatinine Measurement","","Code_204"
"C36292","NCI Thesaurus","296a8ddb-ca40-4c4a-b0ea-135716127a0f","Laboratory Test Result","","Code_210"
"C83309","NCI Thesaurus","84cacea9-687d-4bc2-9db7-e49be3c95d28","Laboratory Test Fasting Status","","Code_211"
"C64567","NCI Thesaurus","a3359611-4b5e-4537-b412-95fe72f59d95","Molarity Unit","","Code_212"
"C70713","NCI Thesaurus","81c2bd45-245a-44ab-bf30-b217691c6abb","Biospecimen Type","","Code_213"
"C64853","NCI Thesaurus","a6b419d3-35a4-4ed7-a28f-175ae0f816de","Potassium Measurement","","Code_209"
"C36292","NCI Thesaurus","f33e762b-9264-4404-bc0f-401bd13dc46c","Laboratory Test Result","","Code_215"
"C83309","NCI Thesaurus","2880b0e0-f07d-419f-ba20-71cc28504879","Laboratory Test Fasting Status","","Code_216"
"C64567","NCI Thesaurus","a01d6e82-6522-4a51-a47a-3e0b32b5b0a1","Molarity Unit","","Code_217"
"C70713","NCI Thesaurus","c9d03e66-9010-4d2b-90bd-3ae32d6d014d","Biospecimen Type","","Code_218"
"C64809","NCI Thesaurus","acca8d03-7ebb-4ea1-aae1-8faafda67f41","Sodium Measurement","","Code_214"
"C173522","NCI Thesaurus","2ab4ad97-adf3-447d-a267-9334a7ba4cc8","Vital Signs Result","","Code_220"
"C42547","http://www.cdisc.org","f11e1e8f-ca32-4a27-9666-3a450a87911a","Pascal","2023-09-29","Code_221"
"C49669","NCI Thesaurus","0f34b54f-e2fc-4886-9629-099ec356ab61","Unit of Pressure","","Code_222"
"C83088","NCI Thesaurus","21f574cc-2a94-4df5-b7c6-108e1b09bbda","Vital Signs Location","","Code_223"
"C123975","NCI Thesaurus","c19a8f19-b86d-4e19-a7a7-2bf28994526f","Vital Signs Laterality","","Code_224"
"C82535","NCI Thesaurus","f0d2dfc2-5046-4131-95a6-e0537c6dfdc1","Test Method","","Code_225"
"C83114","NCI Thesaurus","d3033e7b-0237-4327-ac30-a20defa10670","Vital Signs Position","","Code_226"
"C25298","NCI Thesaurus","1f111041-2b7c-4bc0-8f69-6217b19d8081","Systolic Blood Pressure","","Code_219"
"C173522","NCI Thesaurus","cda99907-d606-4171-838c-adf6ebd33747","Vital Signs Result","","Code_228"
"C42547","http://www.cdisc.org","457ecb0a-d07b-428c-9a26-67d2c0e987eb","Pascal","2023-09-29","Code_229"
"C49669","NCI Thesaurus","4f661ad5-1a8f-4daf-89ad-a92b4b85997f","Unit of Pressure","","Code_230"
"C83088","NCI Thesaurus","bc807d81-7245-45fa-bbab-639c62459ae9","Vital Signs Location","","Code_231"
"C123975","NCI Thesaurus","64ab0cf2-4687-4147-a665-0415e9995ef8","Vital Signs Laterality","","Code_232"
"C82535","NCI Thesaurus","d2105bf2-203d-46a1-b876-4238adfb7502","Test Method","","Code_233"
"C83114","NCI Thesaurus","ecb2f5ca-ae75-4428-bcec-ae7c6d03ca03","Vital Signs Position","","Code_234"
"C25299","NCI Thesaurus","470c7a85-c79f-46e1-841b-b9edcce51ac6","Diastolic Blood Pressure","","Code_227"
"C173522","NCI Thesaurus","19b10ff2-3cc0-4063-9e5e-9608f8d5a148","Vital Signs Result","","Code_236"
"C42547","http://www.cdisc.org","74477b8b-580a-47bf-9380-249c65081983","Pascal","2023-09-29","Code_237"
"C49669","NCI Thesaurus","26c771fb-67ae-4d28-8897-5f4d8875bcf1","Unit of Pressure","","Code_238"
"C83088","NCI Thesaurus","8470554e-530f-453d-98b0-1e50d3322441","Vital Signs Location","","Code_239"
"C123975","NCI Thesaurus","c5ef46a6-b1f2-4573-abda-6dc31899aeb7","Vital Signs Laterality","","Code_240"
"C82535","NCI Thesaurus","570d748a-ee9a-444b-9434-74df265839c0","Test Method","","Code_241"
"C83114","NCI Thesaurus","cad5d641-7cd4-4055-88e6-c2bf74cf81b9","Vital Signs Position","","Code_242"
"C25298","NCI Thesaurus","003d6b95-72c6-4822-a292-98b09fcdbe50","Systolic Blood Pressure","","Code_235"
"C173522","NCI Thesaurus","983940bc-3b2c-4bf8-a378-b600b07bfc34","Vital Signs Result","","Code_244"
"C42547","http://www.cdisc.org","b337b2a8-9290-4552-acad-d0c755b5e899","Pascal","2023-09-29","Code_245"
"C49669","NCI Thesaurus","88eafe6c-7ebe-4fd6-8846-876e3af9fbff","Unit of Pressure","","Code_246"
"C83088","NCI Thesaurus","49c9619c-6f91-4918-8d62-c376427889e1","Vital Signs Location","","Code_247"
"C123975","NCI Thesaurus","3843829c-ee9d-4819-977c-7ca0822851ef","Vital Signs Laterality","","Code_248"
"C82535","NCI Thesaurus","086f3f09-6acd-4224-9a20-f6886174734e","Test Method","","Code_249"
"C83114","NCI Thesaurus","49e23e6c-5697-4be3-9c43-279b9961e971","Vital Signs Position","","Code_250"
"C25299","NCI Thesaurus","25466827-dd74-407c-86f4-0d4b0040b8a4","Diastolic Blood Pressure","","Code_243"
