"sectionTitle","uuid:ID","text","name","id","sectionNumber"
"Rationale for Comparator","ee20e5d2-731f-4871-939e-07e7008a2253","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","NarrativeContent_16","4.2.1"
"Rationale for Adaptive or Novel Trial Design","b8b9c082-1e50-457d-8c2e-7bd07ec5c65d","<div></div>","SECTION 4.2.2","NarrativeContent_17","4.2.2"
"Other Trial Design Considerations","c8d5b5f0-4814-458a-babd-5f5cbeeda029","<div></div>","SECTION 4.2.3","NarrativeContent_18","4.2.3"
"Access to Trial Intervention After End of Trial","5f1d0f18-ba84-4c7d-9e44-a4efdc259993","<div></div>","SECTION 4.3","NarrativeContent_19","4.3"
"Start of Trial and End of Trial","00da1bc0-654b-4979-9547-6f59ce270bf7","<div></div>","SECTION 4.4","NarrativeContent_20","4.4"
"TRIAL POPULATION","1850672f-0a72-4b49-8814-1acb0d11248d","<div></div>","SECTION 5","NarrativeContent_21","5"
"Selection of Trial Population","7dfab5b1-46e3-4ead-a1b0-a1a8d06024b5","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","NarrativeContent_22","5.1"
"Rationale for Trial Population","633512cc-ec73-465e-af1c-4a77d20a0cce","<div></div>","SECTION 5.2","NarrativeContent_23","5.2"
"Inclusion Criteria","a50a52d3-7953-4cd7-ad19-1b954d4ab8bc","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","NarrativeContent_24","5.3"
"Exclusion Criteria","45e705ce-a59b-4273-9f61-d7fb2f6b0c6a","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","NarrativeContent_25","5.4"
"Lifestyle Considerations","1c185f50-d4f7-4be2-a066-8956720b112d","<div></div>","SECTION 5.5","NarrativeContent_26","5.5"
"Meals and Dietary Restrictions","2f0d84de-8824-4593-8355-3f2b9fc32237","<div></div>","SECTION 5.5.1","NarrativeContent_27","5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","73b5a0c8-0515-432b-8ff1-5390ac3346c9","<div><p>Not applicable</p></div>","SECTION 5.5.2","NarrativeContent_28","5.5.2"
"Physical Activity","7e886b8a-9a58-4dd6-b3e8-f38bbae7c68c","<div></div>","SECTION 5.5.3","NarrativeContent_29","5.5.3"
"Other Activity","ed3a6dd2-6fdd-43f4-98e1-3767ea56a61b","<div></div>","SECTION 5.5.4","NarrativeContent_30","5.5.4"
"Screen Failures","0c7e580d-8ef7-4592-b72e-a818e07670b5","<div></div>","SECTION 5.6","NarrativeContent_31","5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","ee0b5667-dc65-44d3-bc50-f5012b3ca234","<div></div>","SECTION 6","NarrativeContent_32","6"
"Description of Trial Intervention","b0b9cf72-b0e5-45aa-b516-f8bae4f2153d","<div></div>","SECTION 6.1","NarrativeContent_33","6.1"
"Rationale for Trial Intervention","6453e28c-3bcc-4cb0-9936-3e63db03e16e","<div></div>","SECTION 6.2","NarrativeContent_34","6.2"
"Dosing and Administration","c75dbf31-7dc7-4d47-97c4-1e9d65f88a22","<div></div>","SECTION 6.3","NarrativeContent_35","6.3"
"Trial Intervention Dose Modification","93a9775c-57bd-4951-a66a-0eb82891bb6c","<div></div>","SECTION 6.3.1","NarrativeContent_36","6.3.1"
"Treatment of Overdose","85d0c8dd-65f0-488a-973c-c16d0bac8cf0","<div></div>","SECTION 6.4","NarrativeContent_37","6.4"
"Preparation, Handling, Storage and Accountability","5e0eda69-7db9-4b0d-9c12-37da7109cdc0","<div></div>","SECTION 6.5","NarrativeContent_38","6.5"
"Preparation of Trial Intervention","2bf4aa32-c72a-4464-a586-afcc08c95bb4","<div></div>","SECTION 6.5.1","NarrativeContent_39","6.5.1"
"Handling and Storage of Trial Intervention","9d5fc55d-e8a8-4df3-902a-5b4d662d8420","<div></div>","SECTION 6.5.2","NarrativeContent_40","6.5.2"
"Accountability of Trial Intervention","3b6ff21b-eb13-4efe-816a-e05c1edb39c3","<div></div>","SECTION 6.5.3","NarrativeContent_41","6.5.3"
"Participant Assignment, Randomisation and Blinding","4ac1441a-1b0a-4611-b74f-b1d12752963a","<div></div>","SECTION 6.6","NarrativeContent_42","6.6"
"Participant Assignment","1e68a5bc-30d8-4060-ab23-0d7c3e1370e3","<div></div>","SECTION 6.6.1","NarrativeContent_43","6.6.1"
"Randomisation","37587f9e-9f51-4022-8e1c-f29f33e4a571","<div></div>","SECTION 6.6.2","NarrativeContent_44","6.6.2"
"Blinding and Unblinding","9ad398f3-6001-461f-9a5f-66bf1ae6c5d3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","NarrativeContent_45","6.6.3"
"Trial Intervention Compliance","c56280df-912b-418d-986a-2bb528344ee3","<div></div>","SECTION 6.7","NarrativeContent_46","6.7"
"Concomitant Therapy","fea6e9ff-6f80-4958-aefd-4f9474cc863b","<div></div>","SECTION 6.8","NarrativeContent_47","6.8"
"Prohibited Concomitant Therapy","5b5af240-e1ec-467a-ab76-7adb3eaeda03","<div></div>","SECTION 6.8.1","NarrativeContent_48","6.8.1"
"Permitted Concomitant Therapy","32e98a5c-a438-4cdb-8c18-dd8fc38f2653","<div></div>","SECTION 6.8.2","NarrativeContent_49","6.8.2"
"Rescue Therapy","ceb5ea89-4936-4bf3-9db1-d47a2713b6f2","<div></div>","SECTION 6.8.3","NarrativeContent_50","6.8.3"
"Other Therapy","b420d844-2afc-454d-abe8-0aa813c7cf21","<div></div>","SECTION 6.8.4","NarrativeContent_51","6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","d7758662-4a09-4ee3-8645-1bf55daedb81","<div></div>","SECTION 7","NarrativeContent_52","7"
"Discontinuation of Trial Intervention","48041380-58be-430f-9842-edcc8f10c8b2","<div></div>","SECTION 7.1","NarrativeContent_53","7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","67de2fc3-e4fd-4826-846f-4ab860e0bedf","<div></div>","SECTION 7.1.1","NarrativeContent_54","7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","bd0976f5-8604-4d08-b10f-0f995fdec70c","<div></div>","SECTION 7.1.2","NarrativeContent_55","7.1.2"
"Rechallenge","ea628e08-a289-4814-a0c6-0b8d35e7b1b0","<div></div>","SECTION 7.1.3","NarrativeContent_56","7.1.3"
"Participant Withdrawal from the Trial","0c630e7b-23c5-4102-b2f2-40d39fc32731","<div></div>","SECTION 7.2","NarrativeContent_57","7.2"
"Lost to Follow-Up","5222535e-9577-4444-8119-e60d59b5fe19","<div></div>","SECTION 7.3","NarrativeContent_58","7.3"
"Trial Stopping Rules","e9922e03-c78c-47d6-ac99-54b520369b46","<div></div>","SECTION 7.4","NarrativeContent_59","7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","c3cbf215-9622-49b8-8e30-5b0ed536f50c","<div></div>","SECTION 8","NarrativeContent_60","8"
"Screening/Baseline Assessments and Procedures","f94bd91b-11b0-4a1a-a05f-8baa6d42723b","<div></div>","SECTION 8.1","NarrativeContent_61","8.1"
"Efficacy Assessments and Procedures","9f616bbc-2a17-4245-a95c-0986fade65f9","<div></div>","SECTION 8.2","NarrativeContent_62","8.2"
"Safety Assessments and Procedures","6e472c3f-77c0-46cb-baa0-b855026d1cd2","<div></div>","SECTION 8.3","NarrativeContent_63","8.3"
"Physical Examination","e499711f-fe6d-4193-a30a-cb85e6b3c121","<div></div>","SECTION 8.3.1","NarrativeContent_64","8.3.1"
"Vital Signs","c67392bb-ba26-4ad5-96c4-8bc8c7efaa63","<div></div>","SECTION 8.3.2","NarrativeContent_65","8.3.2"
"Electrocardiograms","adff46f2-574b-4d0c-83c8-f30d56605a69","<div></div>","SECTION 8.3.3","NarrativeContent_66","8.3.3"
"Clinical Laboratory Assessments","c30e6a5e-0f7c-4ae2-a08d-9c733cdf01b7","<div></div>","SECTION 8.3.4","NarrativeContent_67","8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","663a412f-a43b-44e8-a1c9-f4db6a0fa6f2","<div></div>","SECTION 8.3.5","NarrativeContent_68","8.3.5"
"Adverse Events and Serious Adverse Events","66d15ccc-a85a-4e73-a899-00fd4eba92e7","<div></div>","SECTION 8.4","NarrativeContent_69","8.4"
"Definitions of AE and SAE","59e746ef-2912-4592-9c1b-c2b1ec9dcd41","<div></div>","SECTION 8.4.1","NarrativeContent_70","8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","1d2ba345-8dd0-4852-9094-247f69785291","<div></div>","SECTION 8.4.2","NarrativeContent_71","8.4.2"
"Identifying AEs and SAEs","6d2de7ae-1a4e-4b6e-a152-78a28148cec5","<div></div>","SECTION 8.4.3","NarrativeContent_72","8.4.3"
"Recording of AEs and SAEs","89ab3c9c-ae3b-4795-bf0e-5f48148c59c9","<div></div>","SECTION 8.4.4","NarrativeContent_73","8.4.4"
"Follow-up of AEs and SAEs","b5d8bd53-dfb7-4117-b9c7-bc4bf4f53f95","<div></div>","SECTION 8.4.5","NarrativeContent_74","8.4.5"
"Reporting of SAEs","1d2a8011-fc36-4440-b5b7-0f95da61d00c","<div></div>","SECTION 8.4.6","NarrativeContent_75","8.4.6"
"Regulatory Reporting Requirements for SAEs","4fb038ac-02a6-45c0-a3b3-99265999be96","<div></div>","SECTION 8.4.7","NarrativeContent_76","8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","380203cd-d2db-456e-bdeb-10a54518bab6","<div></div>","SECTION 8.4.8","NarrativeContent_77","8.4.8"
"Adverse Events of Special Interest","a28bf2e2-ba01-437b-9aa2-47de5aae0928","<div></div>","SECTION 8.4.9","NarrativeContent_78","8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","931db398-3008-48d0-b4cd-991f0df2107d","<div></div>","SECTION 8.4.10","NarrativeContent_79","8.4.10"
"Pregnancy and Postpartum Information","962f866a-e2df-4a7f-8c3b-4866db5b59d8","<div></div>","SECTION 8.5","NarrativeContent_80","8.5"
"Participants Who Become Pregnant During the Trial","74dbe58f-60cc-4c44-b0e9-fe7c20f15a20","<div></div>","SECTION 8.5.1","NarrativeContent_81","8.5.1"
"Participants Whose Partners Become Pregnant","dd17438a-fd8d-434b-a704-eff24c60c11f","<div></div>","SECTION 8.5.2","NarrativeContent_82","8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","2e24d90e-6746-41b2-a58d-d6c73b6f1f16","<div></div>","SECTION 8.6","NarrativeContent_83","8.6"
"Definition of Medical Device Product Complaints","674f755f-56d7-4321-b851-aee39e3cfd9c","<div></div>","SECTION 8.6.1","NarrativeContent_84","8.6.1"
"Recording of Medical Device Product Complaints","5056c3b8-ec52-4d6c-87a6-35cdccb116bf","<div></div>","SECTION 8.6.2","NarrativeContent_85","8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","c58d2ab6-513b-4a6e-830f-262956a51885","<div></div>","SECTION 8.6.3","NarrativeContent_86","8.6.3"
"Follow-Up of Medical Device Product Complaints","b204fc3c-df34-4453-ae66-55e64913f0f0","<div></div>","SECTION 8.6.4","NarrativeContent_87","8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","c95177f3-c815-4815-bc45-a18406a12e7f","<div></div>","SECTION 8.6.5","NarrativeContent_88","8.6.5"
"Pharmacokinetics","683a93d5-2080-432d-8d09-b99300a61aa4","<div></div>","SECTION 8.7","NarrativeContent_89","8.7"
"Genetics","9fc2b3c3-ac96-40de-9f24-8e7bc3dbc13c","<div></div>","SECTION 8.8","NarrativeContent_90","8.8"
"Biomarkers","0e28993e-12ef-4f25-9719-78018a31eca9","<div></div>","SECTION 8.9","NarrativeContent_91","8.9"
"Immunogenicity Assessments","206c61be-d820-4d67-8154-cda64c943e46","<div></div>","SECTION 8.1","NarrativeContent_92","8.1"
"Medical Resource Utilisation and Health Economics","40f8b288-8930-40ff-b18f-35047236001f","<div></div>","SECTION 8.1.1","NarrativeContent_93","8.1.1"
"STATISTICAL CONSIDERATIONS","7dc3146c-2d61-42b6-b27a-b88dc513aacd","<div></div>","SECTION 9","NarrativeContent_94","9"
"Analysis Sets","c1950a19-1930-4be4-96e5-c1d5c4d17980","<div></div>","SECTION 9.1","NarrativeContent_95","9.1"
"Analyses Supporting Primary Objective(s)","9b36c915-d7ca-4b1d-a1a6-92634123b77a","<div></div>","SECTION 9.2","NarrativeContent_96","9.2"
"Statistical Model, Hypothesis, and Method of Analysis","78dc34d5-358e-48da-afe3-c9320122bbb0","<div></div>","SECTION 9.2.1","NarrativeContent_97","9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","c404be56-d231-4943-a5a8-6401be7189ac","<div></div>","SECTION 9.2.2","NarrativeContent_98","9.2.2"
"Handling of Missing Data","d195b476-161c-4ab2-9d14-1937699c9446","<div></div>","SECTION 9.2.3","NarrativeContent_99","9.2.3"
"Sensitivity Analysis","f79431c8-53f3-4fed-a62a-e65e0121a379","<div></div>","SECTION 9.2.4","NarrativeContent_100","9.2.4"
"Supplementary Analysis","8fe6a629-6b52-44be-9c01-89cb543a3a74","<div></div>","SECTION 9.2.5","NarrativeContent_101","9.2.5"
"Analysis Supporting Secondary Objective(s)","886507cf-b5e9-4dd2-b15f-0d88f4e7e6be","<div></div>","SECTION 9.3","NarrativeContent_102","9.3"
"Analysis of Exploratory Objective(s)","d6247290-d9b9-40a3-a9e4-c8c93dd1bfad","<div></div>","SECTION 9.4","NarrativeContent_103","9.4"
"Safety Analyses","af032933-478d-41ee-8f25-83e094bc8a53","<div></div>","SECTION 9.5","NarrativeContent_104","9.5"
"Other Analyses","17907632-de7d-4af1-9160-530670c3d93f","<div></div>","SECTION 9.6","NarrativeContent_105","9.6"
"Interim Analyses","677b6035-473f-4bda-ade2-adb4da38949d","<div></div>","SECTION 9.7","NarrativeContent_106","9.7"
"Sample Size Determination","f7ffff03-7937-4099-b86a-f9825b7d530d","<div></div>","SECTION 9.8","NarrativeContent_107","9.8"
"Protocol Deviations","07ad652c-deb9-4870-a3fb-61731f8455dd","<div></div>","SECTION 9.9","NarrativeContent_108","9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","6246cd65-a70b-4901-a417-976b9939d1a9","<div></div>","SECTION 10","NarrativeContent_109","10"
"Regulatory and Ethical Considerations","20e344b3-0fb7-4037-83f6-95f4bb340303","<div></div>","SECTION 10.1","NarrativeContent_110","10.1"
"Committees","8735e364-ed7c-4571-b79c-481e90a627b4","<div></div>","SECTION 10.2","NarrativeContent_111","10.2"
"Informed Consent Process","3aae0893-d8b0-47c7-a63b-6b0cf07afd32","<div></div>","SECTION 10.3","NarrativeContent_112","10.3"
"Data Protection","ccdd1c44-40f7-4497-a5ae-ab4eb8841d82","<div></div>","SECTION 10.4","NarrativeContent_113","10.4"
"Early Site Closure or Trial Termination","a48092e0-49de-407d-b82b-e4928130e00a","<div></div>","SECTION 10.5","NarrativeContent_114","10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","ae45dd25-6fde-4469-82d2-3c35a4085c8b","<div></div>","SECTION 11","NarrativeContent_115","11"
"Quality Tolerance Limits","286393fe-4a13-49e0-b57c-22760cbf9669","<div></div>","SECTION 11.1","NarrativeContent_116","11.1"
"Data Quality Assurance","f8bfa145-fbff-421d-b7dd-dfdafe84b094","<div></div>","SECTION 11.2","NarrativeContent_117","11.2"
"Source Data","b062d03b-223c-489b-ba67-64b487286b45","<div></div>","SECTION 11.3","NarrativeContent_118","11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","e1277db4-c658-4245-b027-b39517b92419","<div></div>","SECTION 12","NarrativeContent_119","12"
"Further Details and Clarifications on the AE Definition","141e3261-f937-450c-bb9a-422036b00df3","<div></div>","SECTION 12.1","NarrativeContent_120","12.1"
"Further Details and Clarifications on the SAE Definition","3e278396-b623-4b80-8988-f267d5defa73","<div></div>","SECTION 12.2","NarrativeContent_121","12.2"
"Severity","2b5e10f3-ba31-4382-82ef-9a1ee459025b","<div></div>","SECTION 12.3","NarrativeContent_122","12.3"
"Causality","2df3c4d3-9d74-4721-8d23-506de269f672","<div></div>","SECTION 12.4","NarrativeContent_123","12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","dcde1b6a-05bd-4f6d-a8d1-0b59fd822acf","<div></div>","SECTION 13","NarrativeContent_124","13"
"Contraception and Pregnancy Testing","228edd3c-97be-451d-ba34-c3d8a63491a4","<div></div>","SECTION 13.1","NarrativeContent_125","13.1"
"Definitions Related to Childbearing Potential","7cd67c97-07c9-4c00-8ef8-0e1497505fba","<div></div>","SECTION 13.1.1","NarrativeContent_126","13.1.1"
"Contraception","31c24245-0dbb-4877-90f3-b17031dbbe80","<div></div>","SECTION 13.1.2","NarrativeContent_127","13.1.2"
"Pregnancy Testing","3a6881bc-4b29-405c-8a5a-3671c62587a0","<div></div>","SECTION 13.1.3","NarrativeContent_128","13.1.3"
"Clinical Laboratory Tests","735c3f87-05a9-4ec4-b900-09beeb06047a","<div></div>","SECTION 13.2","NarrativeContent_129","13.2"
"Country/Region-Specific Differences","155ba44e-b946-4e2a-8daa-345952675aa6","<div></div>","SECTION 13.3","NarrativeContent_130","13.3"
"Prior Protocol Amendments","d4b8262e-5086-42c2-b830-c68eaaf7ed6d","<div></div>","SECTION 13.4","NarrativeContent_131","13.4"
"APPENDIX: GLOSSARY OF TERMS","9db0b9f1-0947-497b-9d5c-581f82abf5bc","<div></div>","SECTION 14","NarrativeContent_132","14"
"APPENDIX: REFERENCES","71f4f672-76ef-4524-87c9-35d61f7be564","<div></div>","SECTION 15","NarrativeContent_133","15"
