"datatype","uuid:ID","label","isEnabled","isRequired","name","id"
"boolean","a8da9db2-33a3-4baf-95d1-c72e72d1709b","Adverse Event Pre-specified","True","True","Adverse Event Pre-specified","BiomedicalConceptProperty_5"
"string","d59090dd-9cb5-4ed5-8f9b-09f5f6b66a4e","Severity of Adverse Event","True","True","Severity of Adverse Event","BiomedicalConceptProperty_6"
"string","9c42af65-5c89-409a-8dde-f8cdc606aba0","Adverse Event Toxicity Grade","True","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7"
"boolean","90df04b4-4522-49f9-9782-e34d92a8df74","Seriousness of Adverse Event","True","True","Seriousness of Adverse Event","BiomedicalConceptProperty_8"
"string","2deb404d-05ee-4068-9213-22e2e4b9f17b","Adverse Event Action Taken with Study Treatment","True","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9"
"string","625741da-0d8c-4614-ac0e-b51e7d891d0b","Adverse Event Attribution to Product or Procedure","True","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10"
"string","b1989a67-096a-4967-bd8b-ecbac0aab7e6","Adverse Event Pattern","True","True","Adverse Event Pattern","BiomedicalConceptProperty_11"
"string","a41d6411-6be6-41e6-81e1-97354555862c","Adverse Event Outcome","True","True","Adverse Event Outcome","BiomedicalConceptProperty_12"
"datetime","290de8db-b1d3-4cf9-8e1f-45f8292335e6","Adverse Event Start Date Time","True","True","Adverse Event Start Date Time","BiomedicalConceptProperty_13"
"datetime","735f7017-0d36-4ff8-a98e-4400a3f36fc4","Adverse Event End Date Time","True","True","Adverse Event End Date Time","BiomedicalConceptProperty_14"
"decimal","de2f3c23-3047-4865-9f0b-560e1c6ff066","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_15"
"string","8c2229c1-3e30-47df-8266-1e1dce3dc1f9","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_16"
"string","f00f3834-bbae-4beb-a205-7cdc62fefafa","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_17"
"string","fda7cd5d-1424-4127-aa85-c0eec5a219ce","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_18"
"string","0f29a5f7-5332-4416-96c4-8a5db87fb6a3","Test Method","True","True","Test Method","BiomedicalConceptProperty_19"
"string","8866a7cd-21c1-4e26-b74e-c3e926964a5f","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_20"
"decimal","76db14e4-9116-4e65-a3d7-bdcf499fc48b","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_21"
"string","01af3092-b448-4dcc-9732-a86c812864f6","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_22"
"string","44470c81-4771-4bd5-96b5-1ce4c257e15b","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_23"
"string","92309fed-6e89-4142-baa5-fe9d3af2dc9c","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_24"
"string","bbbf8538-c37b-43b6-9ca6-7763cfd927f9","Test Method","True","True","Test Method","BiomedicalConceptProperty_25"
"string","7adad267-88f4-4f54-a31d-58740966aa58","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_26"
"decimal","42bce258-bb3b-4443-8a72-3e1845cfcbdf","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_27"
"string","b1c91f00-e6bd-4ac6-ad57-445a683b1174","Unit of Temperature","True","True","Unit of Temperature","BiomedicalConceptProperty_28"
"string","647af31b-eda6-4f82-af6b-2d6ec58f7d47","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_29"
"decimal","697428cc-79b1-4e27-a66b-c5b438cda1f8","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_30"
"string","52f9899d-a895-47cc-be16-a79dbc2632fb","Unit of Weight","True","True","Unit of Weight","BiomedicalConceptProperty_31"
"decimal","ea919024-0120-497a-974b-ede9c9c86bd7","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_32"
"string","be1bbd03-24c2-4204-85a0-e0cbef8a6f8b","Unit of Height","True","True","Unit of Height","BiomedicalConceptProperty_33"
"decimal","241be989-b7bc-48be-827f-2a2a676bdafd","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_34"
"boolean","4838990a-bbf4-4c1b-b3e3-db8ce5cb3d0c","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_35"
"string","3d473264-d007-45e0-92f8-aecacbc8924d","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36"
"string","3e45e7c4-ea0f-475f-9434-6e7327e3eeef","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_37"
"string","f72ea16d-cdf1-43d8-a907-089c55fc8c9f","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_38"
"boolean","06637ba2-9b69-4898-9930-0c8ff7670eeb","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_39"
"string","cfdfce4f-d443-4d6f-9876-6880ca339e81","Unit of Concentration","True","True","Unit of Concentration","BiomedicalConceptProperty_40"
"string","b55ea166-c76e-4978-831b-7f9effbeb2c4","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_41"
"decimal","e76a9eb6-014c-4f29-a6a0-4ee0e60e8f34","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_42"
"boolean","471ea60c-5db3-4aea-9f9b-c2444ba63c5d","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_43"
"string","17a32fbd-8ee1-42bc-8ef3-0da19b6175d0","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44"
"string","90fd80bf-56ec-48e7-8068-d70b6fce340c","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_45"
"decimal","a3f15fe4-32ff-46f2-87ae-3dbbb23f9547","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_46"
"boolean","9da722d5-0b5a-44b8-90fe-219fb3376201","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_47"
"string","755fe045-7d85-48aa-970f-413d706ca0b0","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48"
"string","8151f87c-adac-4a57-b7b2-533a9dae0cfd","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_49"
"string","d9c5bc25-b703-4a3c-8198-971a1bafa86c","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_50"
"boolean","1fab3e8f-3d25-4ffa-a10c-bc9bc577f443","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_51"
"string","06122505-3c25-4345-b7fb-b25388eaccb0","Unit of Concentration","True","True","Unit of Concentration","BiomedicalConceptProperty_52"
"string","ac797c4c-dfe9-43d1-b0d8-af4d0b9c2cb7","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_53"
"decimal","a64bc2ad-bb69-4384-a4f1-39fdf740c0f8","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_54"
"boolean","83cb1c93-ae0f-49bf-a6cf-d350fb854897","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_55"
"string","4ff59636-6ba4-4eb5-b030-84060099a670","Molarity Unit","True","True","Molarity Unit","BiomedicalConceptProperty_56"
"string","3bfca890-e945-4fc9-bdd0-f63a28dce3da","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_57"
"decimal","2e734095-31d7-470c-bb41-67f50bcf0d38","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_58"
"boolean","ede09935-79f2-41e8-a01d-6778ff1fcd3a","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_59"
"string","f2c34824-8d1d-4e18-9c57-beaeeb08b6f6","Molarity Unit","True","True","Molarity Unit","BiomedicalConceptProperty_60"
"string","c24d3a49-0cba-480d-97b7-863c4b0befac","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_61"
"decimal","a5495595-b5f1-4532-af65-d5e84818adaa","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_62"
"string","9ddc82c1-011a-47e6-a053-ba21da31397f","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_63"
"string","b00ac54a-2e3f-450f-9130-e7278ecf5890","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_64"
"string","b834be05-a879-40e8-bf59-75e3168fcd52","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_65"
"string","18da6151-6e95-4920-a6f9-fdda4d811014","Test Method","True","True","Test Method","BiomedicalConceptProperty_66"
"string","0dc6f209-d699-4bc4-8ef8-8b6f9c40e084","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_67"
"decimal","486ba0ff-1a16-455f-af5e-cb5fb842dd0f","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_68"
"string","9f210954-9b0b-4544-9fef-e59d48382348","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_69"
"string","bcb161b2-5fe1-49e0-b28f-3e63cc951754","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_70"
"string","e36da4de-b42b-48f4-9995-99c67b6db6ac","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_71"
"string","fd5da744-8bf6-48b5-92c0-dea508abbcaf","Test Method","True","True","Test Method","BiomedicalConceptProperty_72"
"string","6780192b-f6bc-4fa7-8cfb-a8a2a264fab5","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_73"
"decimal","91677b61-2367-4a7f-a2a0-27bb69ec4a1d","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_74"
"string","3b138eca-e3b4-416e-b4bf-3517a10c1603","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_75"
"string","5722caa0-3f51-42b1-9d52-4a9be36ce583","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_76"
"string","ffa0ec5e-344d-48a3-a12e-79a478f0f0e7","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_77"
"string","31f9ee49-47ec-4eda-b656-f4619528bb5c","Test Method","True","True","Test Method","BiomedicalConceptProperty_78"
"string","4e3eaa16-ac65-4d26-a26b-cd438f57d27e","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_79"
"decimal","57a55c04-0b04-4a3d-8ab9-253941ea2975","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_80"
"string","6178be39-12ae-4342-afeb-6ce18fce094e","Unit of Pressure","True","True","Unit of Pressure","BiomedicalConceptProperty_81"
"string","fd3819da-16c4-4a0f-91da-f8dd999c8628","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_82"
"string","3818d9bd-bde1-4b5e-9f7b-41d526853aac","Vital Signs Laterality","True","True","Vital Signs Laterality","BiomedicalConceptProperty_83"
"string","6d1e6f9c-4f46-45bf-aa8e-7b10a4caad6f","Test Method","True","True","Test Method","BiomedicalConceptProperty_84"
"string","e118162c-126d-4dc9-b71d-07b997911668","Vital Signs Position","True","True","Vital Signs Position","BiomedicalConceptProperty_85"
