"instanceType","name","uuid:ID","sectionNumber","sectionTitle","text","id"
"NarrativeContent","SECTION 4.2","238a239b-051d-44b6-9b40-3c7811cbf820","4.2","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15"
"NarrativeContent","SECTION 4.2.1","970cec41-6724-4b1d-80ee-f827f37a3a67","4.2.1","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16"
"NarrativeContent","SECTION 4.2.2","8c5ef1cd-f48f-40ab-872b-d5f8f5a3a54f","4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17"
"NarrativeContent","SECTION 4.2.3","986eb8df-e11b-4e4c-858c-764248ac858b","4.2.3","Other Trial Design Considerations","<div></div>","NarrativeContent_18"
"NarrativeContent","SECTION 4.3","9bef3f29-385e-499d-9d1b-5527585f0e52","4.3","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19"
"NarrativeContent","SECTION 4.4","6a3988ed-6f41-4d73-b181-4b231cb7d035","4.4","Start of Trial and End of Trial","<div></div>","NarrativeContent_20"
"NarrativeContent","SECTION 5","cc13132f-04c5-4aa1-ac2a-794ee77b242b","5","TRIAL POPULATION","<div></div>","NarrativeContent_21"
"NarrativeContent","SECTION 5.1","eade423b-e214-49eb-b42c-d28c97ff4a99","5.1","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22"
"NarrativeContent","SECTION 5.2","38632094-a0b8-4732-a331-e8fbe3397f7f","5.2","Rationale for Trial Population","<div></div>","NarrativeContent_23"
"NarrativeContent","SECTION 5.3","2428ef4c-7d6e-4fd5-9273-c24ef9e1db39","5.3","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24"
"NarrativeContent","SECTION 5.4","8cab61b2-3ead-4879-b7e7-312c86351091","5.4","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25"
"NarrativeContent","SECTION 5.5","d37508f8-5fd9-494c-855a-fdc5a0308d03","5.5","Lifestyle Considerations","<div></div>","NarrativeContent_26"
"NarrativeContent","SECTION 5.5.1","056290ce-4f16-4324-b4ec-fab54f5ad0d4","5.5.1","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27"
"NarrativeContent","SECTION 5.5.2","6e173eb4-c3fc-4ddc-9773-6a297f1da606","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28"
"NarrativeContent","SECTION 5.5.3","6b941ef1-8b65-4ca6-9b66-b471522bed0d","5.5.3","Physical Activity","<div></div>","NarrativeContent_29"
"NarrativeContent","SECTION 5.5.4","85fd3155-2ee3-4d7e-9df9-afed7d06146b","5.5.4","Other Activity","<div></div>","NarrativeContent_30"
"NarrativeContent","SECTION 5.6","c29c76bb-d1c1-4fe5-b875-8789eab47f5a","5.6","Screen Failures","<div></div>","NarrativeContent_31"
"NarrativeContent","SECTION 6","e6428686-2b4c-4526-8b45-1e3ac6d78684","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_32"
"NarrativeContent","SECTION 6.1","64a8ea61-5ed4-4fc5-809c-4732a28b9a59","6.1","Description of Trial Intervention","<div></div>","NarrativeContent_33"
"NarrativeContent","SECTION 6.2","07af5559-190d-4443-aa12-7a74c0166af0","6.2","Rationale for Trial Intervention","<div></div>","NarrativeContent_34"
"NarrativeContent","SECTION 6.3","78e3d1b6-b669-4ed4-a618-552f2abd616f","6.3","Dosing and Administration","<div></div>","NarrativeContent_35"
"NarrativeContent","SECTION 6.3.1","ff090c8f-5be9-4acd-8cbb-86c875c437aa","6.3.1","Trial Intervention Dose Modification","<div></div>","NarrativeContent_36"
"NarrativeContent","SECTION 6.4","f8e5df37-3b88-4f89-87de-62b515181c12","6.4","Treatment of Overdose","<div></div>","NarrativeContent_37"
"NarrativeContent","SECTION 6.5","0b5443f5-efed-4f46-9703-01dc0ac88639","6.5","Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_38"
"NarrativeContent","SECTION 6.5.1","6dba2028-1595-40af-9630-0bd13e8e7d4b","6.5.1","Preparation of Trial Intervention","<div></div>","NarrativeContent_39"
"NarrativeContent","SECTION 6.5.2","4ca46ba4-b026-4661-b214-03a8e03d2abc","6.5.2","Handling and Storage of Trial Intervention","<div></div>","NarrativeContent_40"
"NarrativeContent","SECTION 6.5.3","0026545c-24fe-4784-90ab-1f42394d6de7","6.5.3","Accountability of Trial Intervention","<div></div>","NarrativeContent_41"
"NarrativeContent","SECTION 6.6","08ced379-fde4-4b39-9a09-3bf90f447066","6.6","Participant Assignment, Randomisation and Blinding","<div></div>","NarrativeContent_42"
"NarrativeContent","SECTION 6.6.1","e9ae1c9d-56e7-4608-8870-35c8375906cd","6.6.1","Participant Assignment","<div></div>","NarrativeContent_43"
"NarrativeContent","SECTION 6.6.2","465410f6-7579-463c-9bcb-5ab815ba401a","6.6.2","Randomisation","<div></div>","NarrativeContent_44"
"NarrativeContent","SECTION 6.6.3","166ba82d-62c6-4074-9353-b2e3c8223c57","6.6.3","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45"
"NarrativeContent","SECTION 6.7","eaa1ba06-6eb6-4207-98ad-8955c997d6fc","6.7","Trial Intervention Compliance","<div></div>","NarrativeContent_46"
"NarrativeContent","SECTION 6.8","c5c8944f-d8d9-4b66-a377-afc429fee0c9","6.8","Concomitant Therapy","<div></div>","NarrativeContent_47"
"NarrativeContent","SECTION 6.8.1","d8ce6423-f5d1-413a-890c-6ac42e2d95ea","6.8.1","Prohibited Concomitant Therapy","<div></div>","NarrativeContent_48"
"NarrativeContent","SECTION 6.8.2","8332b5d1-6578-4b2f-a452-e0dd9a9cf3eb","6.8.2","Permitted Concomitant Therapy","<div></div>","NarrativeContent_49"
"NarrativeContent","SECTION 6.8.3","911a5aae-daf0-41cf-97e0-7f1aa6f85854","6.8.3","Rescue Therapy","<div></div>","NarrativeContent_50"
"NarrativeContent","SECTION 6.8.4","93823d05-9cb5-48e2-88e2-6ce5c5360206","6.8.4","Other Therapy","<div></div>","NarrativeContent_51"
"NarrativeContent","SECTION 7","6240ab50-8991-4a1a-827b-2601b0ee0c9f","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","NarrativeContent_52"
"NarrativeContent","SECTION 7.1","7d9dd49e-595a-499b-b114-a63787ea1ca5","7.1","Discontinuation of Trial Intervention","<div></div>","NarrativeContent_53"
"NarrativeContent","SECTION 7.1.1","63860261-c1f2-4422-91ce-421c5e8292ee","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","NarrativeContent_54"
"NarrativeContent","SECTION 7.1.2","20408053-247e-46d1-be99-6394a6da75e4","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","NarrativeContent_55"
"NarrativeContent","SECTION 7.1.3","3099a8ca-e9cd-4266-b1b0-d8d1fb76dc99","7.1.3","Rechallenge","<div></div>","NarrativeContent_56"
"NarrativeContent","SECTION 7.2","edab2de2-7162-4a08-b806-35dee7d1ee63","7.2","Participant Withdrawal from the Trial","<div></div>","NarrativeContent_57"
"NarrativeContent","SECTION 7.3","b9cd0767-0fc5-4f6d-864b-feaf85792119","7.3","Lost to Follow-Up","<div></div>","NarrativeContent_58"
"NarrativeContent","SECTION 7.4","a101c1f8-b59f-4c76-80d9-920ebc93060f","7.4","Trial Stopping Rules","<div></div>","NarrativeContent_59"
"NarrativeContent","SECTION 8","b0434fee-a766-48db-9fd3-32461a26ed71","8","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","NarrativeContent_60"
"NarrativeContent","SECTION 8.1","5008de97-b81f-4ee9-a7cd-a0bc0c3ac0e6","8.1","Screening/Baseline Assessments and Procedures","<div></div>","NarrativeContent_61"
"NarrativeContent","SECTION 8.2","9ee78aa2-ed36-4912-abd2-b1d93afbe18a","8.2","Efficacy Assessments and Procedures","<div></div>","NarrativeContent_62"
"NarrativeContent","SECTION 8.3","eb85284e-deba-4981-9358-171327aa2603","8.3","Safety Assessments and Procedures","<div></div>","NarrativeContent_63"
"NarrativeContent","SECTION 8.3.1","9b240c72-8e60-4c29-bde6-5444ace2b439","8.3.1","Physical Examination","<div></div>","NarrativeContent_64"
"NarrativeContent","SECTION 8.3.2","a6a86302-d29c-4705-97b0-0cad47275484","8.3.2","Vital Signs","<div></div>","NarrativeContent_65"
"NarrativeContent","SECTION 8.3.3","895a06ef-9226-4a53-8086-60e3d6469a06","8.3.3","Electrocardiograms","<div></div>","NarrativeContent_66"
"NarrativeContent","SECTION 8.3.4","2c3294a3-660e-4dcd-bcd6-66cfe9cc544a","8.3.4","Clinical Laboratory Assessments","<div></div>","NarrativeContent_67"
"NarrativeContent","SECTION 8.3.5","2959c969-0dbc-40bc-bf99-b7c1071619fc","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","NarrativeContent_68"
"NarrativeContent","SECTION 8.4","b8b33b90-f08d-4ae4-b7cc-f5e1c21abd8b","8.4","Adverse Events and Serious Adverse Events","<div></div>","NarrativeContent_69"
"NarrativeContent","SECTION 8.4.1","1a4fc323-97ef-4b69-89f0-04395b6c994d","8.4.1","Definitions of AE and SAE","<div></div>","NarrativeContent_70"
"NarrativeContent","SECTION 8.4.2","e4fbcd71-a049-41b5-965b-ed94c6adbc32","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","NarrativeContent_71"
"NarrativeContent","SECTION 8.4.3","dfd81dcd-b746-4679-8729-7b72ec284e0d","8.4.3","Identifying AEs and SAEs","<div></div>","NarrativeContent_72"
"NarrativeContent","SECTION 8.4.4","c824b02b-54ed-4415-8540-274e9c5e5624","8.4.4","Recording of AEs and SAEs","<div></div>","NarrativeContent_73"
"NarrativeContent","SECTION 8.4.5","a64fb6cf-5283-43fb-b1fb-c0c46e6fb0b0","8.4.5","Follow-up of AEs and SAEs","<div></div>","NarrativeContent_74"
"NarrativeContent","SECTION 8.4.6","98af0f9b-64e6-40d1-82bf-d4ac4ce040b8","8.4.6","Reporting of SAEs","<div></div>","NarrativeContent_75"
"NarrativeContent","SECTION 8.4.7","89fe2700-cdfe-49da-8114-c8508d425f0d","8.4.7","Regulatory Reporting Requirements for SAEs","<div></div>","NarrativeContent_76"
"NarrativeContent","SECTION 8.4.8","908b1fb9-5ddc-4266-9738-181afc7671ff","8.4.8","Serious and Unexpected Adverse Reaction Reporting","<div></div>","NarrativeContent_77"
"NarrativeContent","SECTION 8.4.9","4d68f78d-2764-41e9-8f9d-9b5198b5dade","8.4.9","Adverse Events of Special Interest","<div></div>","NarrativeContent_78"
"NarrativeContent","SECTION 8.4.10","20a1fc13-b202-433f-aab1-dd619fc2259b","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","NarrativeContent_79"
"NarrativeContent","SECTION 8.5","e6465acc-3983-49e9-a236-f8cc6c645056","8.5","Pregnancy and Postpartum Information","<div></div>","NarrativeContent_80"
"NarrativeContent","SECTION 8.5.1","f745b621-e301-4edc-8a1d-d9475a025195","8.5.1","Participants Who Become Pregnant During the Trial","<div></div>","NarrativeContent_81"
"NarrativeContent","SECTION 8.5.2","c678fe8a-2e4b-41b0-8e0c-a2fae6858898","8.5.2","Participants Whose Partners Become Pregnant","<div></div>","NarrativeContent_82"
"NarrativeContent","SECTION 8.6","911c79e5-45ae-4ff3-945f-f8f004abe3fb","8.6","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","NarrativeContent_83"
"NarrativeContent","SECTION 8.6.1","c3a713a0-d9ea-455a-8029-eb4fe94f48ac","8.6.1","Definition of Medical Device Product Complaints","<div></div>","NarrativeContent_84"
"NarrativeContent","SECTION 8.6.2","191ccd56-95fa-434a-97d1-b35e3688c015","8.6.2","Recording of Medical Device Product Complaints","<div></div>","NarrativeContent_85"
"NarrativeContent","SECTION 8.6.3","fc565437-bd05-4af3-90eb-ccc6c4014856","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","NarrativeContent_86"
"NarrativeContent","SECTION 8.6.4","1ae4ad31-5ac0-461c-a28a-82cc2470ae81","8.6.4","Follow-Up of Medical Device Product Complaints","<div></div>","NarrativeContent_87"
"NarrativeContent","SECTION 8.6.5","dff43432-bc94-44c4-ac5a-5b93cb98380e","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","NarrativeContent_88"
"NarrativeContent","SECTION 8.7","51ac8ca5-49b9-4cfe-8ac0-57da47ac2290","8.7","Pharmacokinetics","<div></div>","NarrativeContent_89"
"NarrativeContent","SECTION 8.8","9139f55a-c9ae-4e2a-9da4-1e2886d485b1","8.8","Genetics","<div></div>","NarrativeContent_90"
"NarrativeContent","SECTION 8.9","aee57f25-d581-4cad-9e45-c43571ebbb7d","8.9","Biomarkers","<div></div>","NarrativeContent_91"
"NarrativeContent","SECTION 8.1","7e3f25ca-ce04-49be-bb55-b416b6a97ef3","8.1","Immunogenicity Assessments","<div></div>","NarrativeContent_92"
"NarrativeContent","SECTION 8.1.1","8057678b-d6b2-40ca-a2f9-a254bde2e73a","8.1.1","Medical Resource Utilisation and Health Economics","<div></div>","NarrativeContent_93"
"NarrativeContent","SECTION 9","37682cec-4cc5-4dcb-9781-c78e0af495f0","9","STATISTICAL CONSIDERATIONS","<div></div>","NarrativeContent_94"
"NarrativeContent","SECTION 9.1","045ad58a-1c3a-400f-bcb6-0982b4f9e3eb","9.1","Analysis Sets","<div></div>","NarrativeContent_95"
"NarrativeContent","SECTION 9.2","ed34c97a-a296-4758-9c3d-56dcddc158ba","9.2","Analyses Supporting Primary Objective(s)","<div></div>","NarrativeContent_96"
"NarrativeContent","SECTION 9.2.1","d948f715-a757-424e-994b-f7e1505ab95b","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","NarrativeContent_97"
"NarrativeContent","SECTION 9.2.2","822a21a6-99b3-429b-ac7b-4dc1b145885e","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","NarrativeContent_98"
"NarrativeContent","SECTION 9.2.3","7aa17c92-e523-4057-aded-a0bf977ba0f6","9.2.3","Handling of Missing Data","<div></div>","NarrativeContent_99"
"NarrativeContent","SECTION 9.2.4","d7ae2974-5336-49e3-9794-d1a86dadf4d0","9.2.4","Sensitivity Analysis","<div></div>","NarrativeContent_100"
"NarrativeContent","SECTION 9.2.5","987d6d2e-a3ce-4348-a652-9746f771d9fb","9.2.5","Supplementary Analysis","<div></div>","NarrativeContent_101"
"NarrativeContent","SECTION 9.3","ec8513b6-e5fc-4987-844c-b2329221b6d8","9.3","Analysis Supporting Secondary Objective(s)","<div></div>","NarrativeContent_102"
"NarrativeContent","SECTION 9.4","cc0429a6-0bb6-4d5a-a993-6af2fc029a89","9.4","Analysis of Exploratory Objective(s)","<div></div>","NarrativeContent_103"
"NarrativeContent","SECTION 9.5","5bbeed08-3e0d-4000-a28f-c5f842f0eb34","9.5","Safety Analyses","<div></div>","NarrativeContent_104"
"NarrativeContent","SECTION 9.6","095927be-b06e-450e-aba5-c7cc70730548","9.6","Other Analyses","<div></div>","NarrativeContent_105"
"NarrativeContent","SECTION 9.7","3659d2ec-c877-4c02-b185-01c26900da5b","9.7","Interim Analyses","<div></div>","NarrativeContent_106"
"NarrativeContent","SECTION 9.8","c2b6cc51-9473-4d55-86fa-923a22d3fbbd","9.8","Sample Size Determination","<div></div>","NarrativeContent_107"
"NarrativeContent","SECTION 9.9","eb68bd7c-63e9-47b3-b9b2-cb409e8928ff","9.9","Protocol Deviations","<div></div>","NarrativeContent_108"
"NarrativeContent","SECTION 10","ad2455e3-3821-431f-a303-ce19c5bfa284","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","NarrativeContent_109"
"NarrativeContent","SECTION 10.1","1f2d0acc-bd41-4ae4-818b-61c010333a58","10.1","Regulatory and Ethical Considerations","<div></div>","NarrativeContent_110"
"NarrativeContent","SECTION 10.2","de34dcd7-87fc-48bf-8271-2fd5d41c5aa3","10.2","Committees","<div></div>","NarrativeContent_111"
"NarrativeContent","SECTION 10.3","1ec25a1e-26cf-4a28-987c-89e77533a19d","10.3","Informed Consent Process","<div></div>","NarrativeContent_112"
"NarrativeContent","SECTION 10.4","d7360b5c-c5af-4a7c-a881-5adf9fdf88c3","10.4","Data Protection","<div></div>","NarrativeContent_113"
"NarrativeContent","SECTION 10.5","59bae9e7-5452-4dac-9baa-04c6cb8af742","10.5","Early Site Closure or Trial Termination","<div></div>","NarrativeContent_114"
"NarrativeContent","SECTION 11","252171bb-0533-4183-9952-d22af2016d3e","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","NarrativeContent_115"
"NarrativeContent","SECTION 11.1","e2d08f6e-3931-4485-a6d0-48f40e5b726f","11.1","Quality Tolerance Limits","<div></div>","NarrativeContent_116"
"NarrativeContent","SECTION 11.2","3680d021-d3b2-4998-bf18-41f7ab445a9f","11.2","Data Quality Assurance","<div></div>","NarrativeContent_117"
"NarrativeContent","SECTION 11.3","fbc5dbd7-8e9d-4658-8694-fc3db88282c1","11.3","Source Data","<div></div>","NarrativeContent_118"
"NarrativeContent","SECTION 12","864829db-55a9-426c-9157-674fa6a9fe95","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","NarrativeContent_119"
"NarrativeContent","SECTION 12.1","8f476db4-977a-4f78-a1a5-6d4fd74e87ca","12.1","Further Details and Clarifications on the AE Definition","<div></div>","NarrativeContent_120"
"NarrativeContent","SECTION 12.2","ea9e04e9-2725-44d4-9497-c555fa81503a","12.2","Further Details and Clarifications on the SAE Definition","<div></div>","NarrativeContent_121"
"NarrativeContent","SECTION 12.3","b25097d5-6039-4bb6-8dc6-323e73ae3170","12.3","Severity","<div></div>","NarrativeContent_122"
"NarrativeContent","SECTION 12.4","3e77fced-e689-48de-a12e-7c7423933472","12.4","Causality","<div></div>","NarrativeContent_123"
"NarrativeContent","SECTION 13","27dcbfea-bb7a-4639-93ce-f19caa3d857b","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","NarrativeContent_124"
"NarrativeContent","SECTION 13.1","6f725709-44d6-44a9-ace6-f5ab05fd5e27","13.1","Contraception and Pregnancy Testing","<div></div>","NarrativeContent_125"
"NarrativeContent","SECTION 13.1.1","ec5775a6-0e8c-4923-9d3e-37f5f8853dd2","13.1.1","Definitions Related to Childbearing Potential","<div></div>","NarrativeContent_126"
"NarrativeContent","SECTION 13.1.2","5d7e011c-8a6a-4259-b1c8-64c03a2de39d","13.1.2","Contraception","<div></div>","NarrativeContent_127"
"NarrativeContent","SECTION 13.1.3","ec592630-3a8d-4d7c-b4c5-a080ba1ffe69","13.1.3","Pregnancy Testing","<div></div>","NarrativeContent_128"
"NarrativeContent","SECTION 13.2","dbdd6e45-236a-400a-95e8-d9cfcc7e49f7","13.2","Clinical Laboratory Tests","<div></div>","NarrativeContent_129"
"NarrativeContent","SECTION 13.3","80849fb0-5073-4eb6-b393-ce729e22c826","13.3","Country/Region-Specific Differences","<div></div>","NarrativeContent_130"
"NarrativeContent","SECTION 13.4","18b0015b-da6e-40b8-b07e-9e6d3ec51720","13.4","Prior Protocol Amendments","<div></div>","NarrativeContent_131"
"NarrativeContent","SECTION 14","42d22b13-75f0-408c-a109-c9c701be6a33","14","APPENDIX: GLOSSARY OF TERMS","<div></div>","NarrativeContent_132"
"NarrativeContent","SECTION 15","04f03812-f940-4188-882e-a37694e40ed6","15","APPENDIX: REFERENCES","<div></div>","NarrativeContent_133"
