"instanceType","name","reference","uuid:ID","synonyms","id","label"
"BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","be4f08a0-b0e3-4b43-a1f3-76738d4e8bec","['Albumin']","BiomedicalConcept_8","Albumin Measurement"
"BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","5ec53de1-4510-4890-a32b-c3c89088e8da","['Alkaline Phosphatase']","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","2fa1b9a9-0f81-4a29-adf8-4c2b42618df3","['AST', 'SGOT']","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","54c830a9-b033-406b-b134-ceadce728952","['Creatinine']","BiomedicalConcept_11","Creatinine Measurement"
"BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","0d04eabb-23f3-43e1-922e-79145f28b269","['Potassium', 'K']","BiomedicalConcept_12","Potassium Measurement"
"BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","3efddacf-8227-42d3-ad33-f0ee0a63445b","['Sodium', 'NA']","BiomedicalConcept_13","Sodium Measurement"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","d5590cc9-517b-4e38-aebb-861ef46f7deb","['SYSBP']","BiomedicalConcept_14","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","129f4e26-ac50-41cf-a069-37381ce30119","['DIABP']","BiomedicalConcept_15","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","2c834d45-cb72-4b8e-8e2d-dda6c0fcab33","","BiomedicalConcept_16","Heart Rate"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","6bfda635-a349-40a4-b3f7-66231f1cddce","['SYSBP']","BiomedicalConcept_17","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","98f66f46-e338-423d-9e4b-11b321513adc","['DIABP']","BiomedicalConcept_18","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","2d497c1d-ae75-4cc1-9a90-5e816f6018bb","","BiomedicalConcept_19","Heart Rate"
