"datatype","name","instanceType","uuid:ID","isRequired","isEnabled","id","label"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","23b5ffe6-2a06-4623-98d6-47116ab0dce4","True","True","BiomedicalConceptProperty_113","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","715baade-d8b1-4d77-8afb-45b1c1ef0784","True","True","BiomedicalConceptProperty_114","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","5582144d-fc25-425a-abe4-bb0ae4498bb1","True","True","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","d80f7749-05b7-4376-a8eb-6b6d62de6945","True","True","BiomedicalConceptProperty_116","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","719175ac-a838-4d12-9bb3-139f2c894b71","True","True","BiomedicalConceptProperty_117","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","1eb4b719-c139-467a-adbb-913c24608e43","True","True","BiomedicalConceptProperty_118","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","661a7fe0-9590-49cb-8748-162890e8d650","True","True","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","007ab9d4-fdc2-4d18-9641-6b05e9a80c5b","True","True","BiomedicalConceptProperty_120","Biospecimen Type"
"string","Laboratory Test Result","BiomedicalConceptProperty","5056aae7-f9df-42f0-9ad9-1bcde03be89e","True","True","BiomedicalConceptProperty_121","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","212a67e6-b7f3-4f69-863a-95ae0d6479c0","True","True","BiomedicalConceptProperty_122","Laboratory Test Fasting Status"
"string","Unit of Concentration","BiomedicalConceptProperty","4b27fa8b-291a-4310-a9ac-b222ca0ec42a","True","True","BiomedicalConceptProperty_123","Unit of Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","d7d4495d-4ed5-45af-881d-61c8464d8dfa","True","True","BiomedicalConceptProperty_124","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","868fb0bb-ca8e-4a6e-a132-1385dcfa6dbf","True","True","BiomedicalConceptProperty_125","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","38b85d7b-ddb7-40f0-a7d4-d38f6f89585d","True","True","BiomedicalConceptProperty_126","Laboratory Test Fasting Status"
"string","Molarity Unit","BiomedicalConceptProperty","ced427fb-18e3-40c6-aa7c-c0043ae5a47e","True","True","BiomedicalConceptProperty_127","Molarity Unit"
"string","Biospecimen Type","BiomedicalConceptProperty","b49b76bc-2c84-4265-8f43-b320d74ded7f","True","True","BiomedicalConceptProperty_128","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","7c6a1223-2c26-4167-ab18-0b8255ea49b6","True","True","BiomedicalConceptProperty_129","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","300a3e83-f709-41e0-b17d-7fae72972cab","True","True","BiomedicalConceptProperty_130","Laboratory Test Fasting Status"
"string","Molarity Unit","BiomedicalConceptProperty","c14adfd2-1e12-476d-abcf-d0483e40160d","True","True","BiomedicalConceptProperty_131","Molarity Unit"
"string","Biospecimen Type","BiomedicalConceptProperty","f42262d3-02b2-4a50-8445-f75684a580e6","True","True","BiomedicalConceptProperty_132","Biospecimen Type"
"string","Adverse Event Verbatim Description","BiomedicalConceptProperty","749de5d3-63a4-4ce4-8a1f-193c9771fec7","True","True","BiomedicalConceptProperty_1","Adverse Event Verbatim Description"
"string","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","323a6d16-081b-4f00-baa3-6c5d054fda57","True","True","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term"
"string","Adverse Event Category","BiomedicalConceptProperty","684c6e27-be1c-4de5-adaa-e190dc7f8abf","True","True","BiomedicalConceptProperty_3","Adverse Event Category"
"string","Adverse Event Subcategory","BiomedicalConceptProperty","1a83b6df-217d-442b-aef3-6bc99fd82fde","True","True","BiomedicalConceptProperty_4","Adverse Event Subcategory"
"boolean","Adverse Event Pre-specified","BiomedicalConceptProperty","300f89c6-b1b6-4bac-a563-3531bfe96225","True","True","BiomedicalConceptProperty_5","Adverse Event Pre-specified"
"string","Severity of Adverse Event","BiomedicalConceptProperty","4613645e-32d6-48f9-b9ac-88620461be3e","True","True","BiomedicalConceptProperty_6","Severity of Adverse Event"
"string","Adverse Event Toxicity Grade","BiomedicalConceptProperty","cda8237c-3341-4ffc-bba0-0403fadc4fce","True","True","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade"
"boolean","Seriousness of Adverse Event","BiomedicalConceptProperty","e0cc06f4-24ba-439b-801f-5a59a191b325","True","True","BiomedicalConceptProperty_8","Seriousness of Adverse Event"
"string","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty","2958e9ce-2394-42be-bb79-4b1350dccd41","True","True","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment"
"string","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty","4fdc53e1-a081-4ee3-af01-8afbfa1112e8","True","True","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure"
"string","Adverse Event Pattern","BiomedicalConceptProperty","28bbac35-4d3f-4463-b29b-cbd4b95db2fc","True","True","BiomedicalConceptProperty_11","Adverse Event Pattern"
"string","Adverse Event Outcome","BiomedicalConceptProperty","4e5e39df-9ad0-4ff5-9eec-69daa88f0d60","True","True","BiomedicalConceptProperty_12","Adverse Event Outcome"
"datetime","Adverse Event Start Date Time","BiomedicalConceptProperty","f244fdd3-e661-4bb6-9834-ccd8663c6662","True","True","BiomedicalConceptProperty_13","Adverse Event Start Date Time"
"datetime","Adverse Event End Date Time","BiomedicalConceptProperty","e09c52f7-efaf-4916-a1b1-bee6517b7268","True","True","BiomedicalConceptProperty_14","Adverse Event End Date Time"
"decimal","Vital Signs Result","BiomedicalConceptProperty","dc7cd623-d180-46ac-aed3-63e35f227dec","True","True","BiomedicalConceptProperty_15","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","7ca0f2f5-9d52-4799-b0bc-90dbbe45707f","True","True","BiomedicalConceptProperty_16","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","07f4ac16-bd4d-4f1c-b00b-4a9754dc1607","True","True","BiomedicalConceptProperty_17","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","6bb08e7c-c1f6-44ce-b07c-15c5ea3d603e","True","True","BiomedicalConceptProperty_18","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","4adfd1fb-db05-4ba4-ace0-4b3892a9208d","True","True","BiomedicalConceptProperty_19","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","f6cfc468-c50a-44aa-a071-69835edaa1b4","True","True","BiomedicalConceptProperty_20","Vital Signs Position"
"decimal","Vital Signs Result","BiomedicalConceptProperty","adacfcca-4a6b-4f94-a605-04d70ee06510","True","True","BiomedicalConceptProperty_21","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","42193f40-ebed-4da1-b22e-ed9b17cd119c","True","True","BiomedicalConceptProperty_22","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","6cd06605-97af-4318-a2f4-c9c15edace70","True","True","BiomedicalConceptProperty_23","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","c4ca015a-3b3c-47cf-8ef2-3294e988aa1f","True","True","BiomedicalConceptProperty_24","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","62959850-217c-43b1-bd2e-4ddbdb6bb73e","True","True","BiomedicalConceptProperty_25","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","207fa0dd-73fe-488e-a2d0-4888f2830f99","True","True","BiomedicalConceptProperty_26","Vital Signs Position"
"decimal","Vital Signs Result","BiomedicalConceptProperty","9b12d941-e9f9-4e50-9e8c-4c1e9aa0cc15","True","True","BiomedicalConceptProperty_27","Vital Signs Result"
"string","Unit of Temperature","BiomedicalConceptProperty","cf9ea7c7-2763-4a1c-9867-eef0863c9057","True","True","BiomedicalConceptProperty_28","Unit of Temperature"
"string","Vital Signs Location","BiomedicalConceptProperty","4c5448f9-30da-4309-ba31-0bfd78646945","True","True","BiomedicalConceptProperty_29","Vital Signs Location"
"decimal","Vital Signs Result","BiomedicalConceptProperty","426c5103-d650-4326-9a18-a7dc49336e6d","True","True","BiomedicalConceptProperty_30","Vital Signs Result"
"string","Unit of Weight","BiomedicalConceptProperty","bf54e606-1b46-4cd6-a90d-01a58f3e6772","True","True","BiomedicalConceptProperty_31","Unit of Weight"
"decimal","Vital Signs Result","BiomedicalConceptProperty","3180341a-1dda-4edc-877a-75f43fa0c0f0","True","True","BiomedicalConceptProperty_32","Vital Signs Result"
"string","Unit of Height","BiomedicalConceptProperty","79cd1518-a635-45a6-b46a-fd8ee2bafa24","True","True","BiomedicalConceptProperty_33","Unit of Height"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","fb49023f-39a7-474d-9010-d5a603a1b840","True","True","BiomedicalConceptProperty_34","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","308c27ae-b739-43fc-b6e4-d6447f671e1a","True","True","BiomedicalConceptProperty_35","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","17fc8bae-4993-424a-a48f-b1bfe90cf0b9","True","True","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","16aae5be-150b-4d48-8e34-67d13a921a41","True","True","BiomedicalConceptProperty_37","Biospecimen Type"
"string","Laboratory Test Result","BiomedicalConceptProperty","d2bebe0a-6633-4503-be9c-5761d79b6e1e","True","True","BiomedicalConceptProperty_38","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","f1caa887-f68c-4636-b737-5f7fedd68c9f","True","True","BiomedicalConceptProperty_39","Laboratory Test Fasting Status"
"string","Unit of Concentration","BiomedicalConceptProperty","1eb2840b-e1c3-4527-9c1b-9f2ffa5305eb","True","True","BiomedicalConceptProperty_40","Unit of Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","d00084fa-cfd1-4b32-80ef-b7164375b6f3","True","True","BiomedicalConceptProperty_41","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","9a3b86d2-2639-431f-b9b0-c7124d05869e","True","True","BiomedicalConceptProperty_42","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","c5f65d3c-5102-4905-a669-ccee59007d83","True","True","BiomedicalConceptProperty_43","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","d1bb7d0a-324f-430a-86e2-6b900d1ec9d3","True","True","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","7adee4d0-245b-441e-83e6-4da4ee7e4e57","True","True","BiomedicalConceptProperty_45","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","ae8c6fc3-efb7-48ac-a6e3-44bb89f26af3","True","True","BiomedicalConceptProperty_46","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","0a337f81-3e23-415c-a20d-78868799ca48","True","True","BiomedicalConceptProperty_47","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","7c48426c-e1ec-492d-9e54-2e0d87ac504c","True","True","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","90a8cfba-a2a1-4080-aff7-2f52c22547fc","True","True","BiomedicalConceptProperty_49","Biospecimen Type"
"string","Laboratory Test Result","BiomedicalConceptProperty","04bab5db-f190-4193-b5b3-defd03a4e403","True","True","BiomedicalConceptProperty_50","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","e1cf9ad6-6449-42c0-b96a-4c95515e29a8","True","True","BiomedicalConceptProperty_51","Laboratory Test Fasting Status"
"string","Unit of Concentration","BiomedicalConceptProperty","21f04161-78a3-4001-9ab9-48c590926720","True","True","BiomedicalConceptProperty_52","Unit of Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","ccc04ef2-7391-486c-8068-fb2e94dcbc22","True","True","BiomedicalConceptProperty_53","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","3587b0eb-784e-4e09-8f20-2662b14d218d","True","True","BiomedicalConceptProperty_54","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","04933a9c-1928-4b3c-b252-97ba131d860e","True","True","BiomedicalConceptProperty_55","Laboratory Test Fasting Status"
"string","Molarity Unit","BiomedicalConceptProperty","0d5779d6-6a88-4942-8717-8fb71a12a714","True","True","BiomedicalConceptProperty_56","Molarity Unit"
"string","Biospecimen Type","BiomedicalConceptProperty","10080e27-bdfc-4b6b-914d-95083fd88c98","True","True","BiomedicalConceptProperty_57","Biospecimen Type"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","26ffb069-68d2-4526-aaa1-d7a118ea5cc3","True","True","BiomedicalConceptProperty_58","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","0462b2a8-4448-416f-ad46-ad994ba4bcff","True","True","BiomedicalConceptProperty_59","Laboratory Test Fasting Status"
"string","Molarity Unit","BiomedicalConceptProperty","72d4dd40-8a54-47d0-be22-ac826db5697e","True","True","BiomedicalConceptProperty_60","Molarity Unit"
"string","Biospecimen Type","BiomedicalConceptProperty","d7fef30c-6bfb-4cdc-b61f-83048122e0ef","True","True","BiomedicalConceptProperty_61","Biospecimen Type"
"decimal","Vital Signs Result","BiomedicalConceptProperty","db8e2075-afea-4a4c-91c6-7f963d901d90","True","True","BiomedicalConceptProperty_62","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","54409ee6-2ca3-4ec7-a799-49518ebaa26e","True","True","BiomedicalConceptProperty_63","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","ae2768b5-4f1e-4d96-ba3d-5c405d063b79","True","True","BiomedicalConceptProperty_64","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","4d9c1d63-991c-4e51-8f0d-b7ab42973609","True","True","BiomedicalConceptProperty_65","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","02d6c7d2-4f53-4810-906c-c8c8696c5bf2","True","True","BiomedicalConceptProperty_66","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","c3d55f84-e4f6-4d50-88bb-dcc1f25df44c","True","True","BiomedicalConceptProperty_67","Vital Signs Position"
"decimal","Vital Signs Result","BiomedicalConceptProperty","8a084342-dd86-47d1-bca5-b76981fd2f03","True","True","BiomedicalConceptProperty_68","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","3a38e19d-7f99-4579-bcb4-3b944cffcfc0","True","True","BiomedicalConceptProperty_69","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","75883e80-847b-4af1-bb22-661d85fb008d","True","True","BiomedicalConceptProperty_70","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","6b14dc57-0974-44f9-93b9-22bb8d522dd2","True","True","BiomedicalConceptProperty_71","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","606134ac-4cf7-41bd-ab4b-3935ae572583","True","True","BiomedicalConceptProperty_72","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","4ae2866b-16f3-44d1-ba0f-f8064faec5ef","True","True","BiomedicalConceptProperty_73","Vital Signs Position"
"integer","Vital Signs Result","BiomedicalConceptProperty","86fdbce4-8f0c-44c3-8be9-ae5c0741b68a","True","True","BiomedicalConceptProperty_74","Vital Signs Result"
"string","Count per Minute","BiomedicalConceptProperty","415e6eac-37e8-4f4f-a535-76c13c165dc7","True","True","BiomedicalConceptProperty_75","Count per Minute"
"string","Vital Signs Location","BiomedicalConceptProperty","7d49a7d5-10de-4ce4-96b7-c246e2fb844b","True","True","BiomedicalConceptProperty_76","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","08ca1aea-57a8-4579-a572-ea6f0aeb5865","True","True","BiomedicalConceptProperty_77","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","38f95d0c-18c6-4817-a8bf-7d8570d13676","True","True","BiomedicalConceptProperty_78","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","ab5c6dca-150c-47ea-8f85-cf707fd1ead5","True","True","BiomedicalConceptProperty_79","Vital Signs Position"
"decimal","Vital Signs Result","BiomedicalConceptProperty","5eaa16ed-9e35-464c-bef7-3ee3b8519b7b","True","True","BiomedicalConceptProperty_80","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","cddc38da-5166-44f1-8801-9dbad982a65e","True","True","BiomedicalConceptProperty_81","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","6b0a8b9f-c11c-4964-a034-584689da0b40","True","True","BiomedicalConceptProperty_82","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","4c6da3fa-c63f-49f6-85ed-9d9ea75a454f","True","True","BiomedicalConceptProperty_83","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","2b8ed833-1aae-4a75-aade-c2a983a52e5c","True","True","BiomedicalConceptProperty_84","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","9d52ad38-497f-4a3a-a323-310b6c971bbe","True","True","BiomedicalConceptProperty_85","Vital Signs Position"
"decimal","Vital Signs Result","BiomedicalConceptProperty","15052f3c-c7ae-48e4-9e77-347b38ec43d4","True","True","BiomedicalConceptProperty_86","Vital Signs Result"
"string","Unit of Pressure","BiomedicalConceptProperty","a7fed3a0-0d7a-4348-ac60-ff0c2db55f10","True","True","BiomedicalConceptProperty_87","Unit of Pressure"
"string","Vital Signs Location","BiomedicalConceptProperty","f39a3d2b-fd1a-4819-8024-28f1d0d7e589","True","True","BiomedicalConceptProperty_88","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","0ad2033f-012b-40bd-8a85-9716273f1329","True","True","BiomedicalConceptProperty_89","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","b774760b-63e8-4de4-af23-ce327083bfd6","True","True","BiomedicalConceptProperty_90","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","08e90f0c-3c63-4de7-b833-7c5514becfda","True","True","BiomedicalConceptProperty_91","Vital Signs Position"
"integer","Vital Signs Result","BiomedicalConceptProperty","ed2d7688-97c9-4b29-ac33-bc35e22c8142","True","True","BiomedicalConceptProperty_92","Vital Signs Result"
"string","Count per Minute","BiomedicalConceptProperty","d04f85d8-37ef-4105-a423-a3a82980fed0","True","True","BiomedicalConceptProperty_93","Count per Minute"
"string","Vital Signs Location","BiomedicalConceptProperty","4274f5a5-a0e0-4217-9745-d9a5046c4d95","True","True","BiomedicalConceptProperty_94","Vital Signs Location"
"string","Vital Signs Laterality","BiomedicalConceptProperty","0bd91419-3436-426e-9c88-816caf5260fd","True","True","BiomedicalConceptProperty_95","Vital Signs Laterality"
"string","Test Method","BiomedicalConceptProperty","8bc20baa-02eb-4be4-9fb1-734622432dc3","True","True","BiomedicalConceptProperty_96","Test Method"
"string","Vital Signs Position","BiomedicalConceptProperty","95ecbb4e-d059-4c3b-b557-d1958edcd24d","True","True","BiomedicalConceptProperty_97","Vital Signs Position"
