"instanceType","uuid:ID","codeSystemVersion","code","codeSystem","decode","id"
"Code","3d34c4ac-4f8b-427d-a5ad-1e1753d80dcb","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_112"
"Code","f66f4b4d-8aff-4e38-9e48-6be6ccaf52c5","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_113"
"Code","bd051afb-b03e-48a1-9928-1a68ca6108c0","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_114"
"Code","a491e444-17cc-4996-8ca5-5e3a7c704c52","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_115"
"Code","790dbeb3-2047-48ad-9ff2-434a47dc0a27","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_116"
"Code","b1fa339a-e729-4153-b405-6b9a799e06fe","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_117"
"Code","dbfc79a8-71b4-41de-84ec-08d740219929","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_118"
"Code","712ddffb-92a4-4be7-b235-a735b175907b","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_119"
"Code","75eab46d-daba-43da-a044-b7ebe3fa69e6","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_120"
"Code","191db29d-133f-44f2-b100-663865630749","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_121"
"Code","4015c2a1-cc25-4e87-95ae-23951775b06f","January 31, 2018","383371000119108","SNOMED","CT of head without contrast","Code_79"
"Code","5901af67-a596-4f85-bb8e-636271ffac6d","12","123","SPONSOR","Subject Supine","Code_80"
"Code","d5bbe3c3-5a51-4ba9-9836-c0a539f818d8","12","124","SPONSOR","Subject Standing","Code_81"
"Code","27103215-041e-4dc4-be6d-249b3a547b3e","","C173522","NCI Thesaurus","Vital Signs Result","Code_278"
"Code","672b605d-5b32-4199-be93-31ce5b0291cc","2023-09-29","C42537","http://www.cdisc.org","Kelvin","Code_279"
"Code","fe4320d7-7602-4ef0-bcda-b253b1211d30","","C44276","NCI Thesaurus","Unit of Temperature","Code_280"
"Code","55a87fef-bf59-4dc2-a1a9-1f32c8651a66","","C83088","NCI Thesaurus","Vital Signs Location","Code_281"
"Code","ba0e0e00-70e7-41b1-b55c-85e390393545","","C174446","NCI Thesaurus","Body Temperature","Code_277"
"Code","ee92c5d2-fc30-4118-8f03-c4ea285325f2","","C173522","NCI Thesaurus","Vital Signs Result","Code_283"
"Code","9558f654-1d2d-427f-896a-4f103c7dc9ec","2023-09-29","C28252","http://www.cdisc.org","Kilogram","Code_284"
"Code","f0e85b48-694d-4695-a4c9-74bb8bb7d1cc","2023-09-29","C48155","http://www.cdisc.org","Gram","Code_285"
"Code","bae84c1d-30f8-41d7-bd5a-096d771e7295","2023-09-29","C48531","http://www.cdisc.org","Pound","Code_286"
"Code","1c19c377-562b-40a9-a6dd-f169b6a2ef8b","","C48208","NCI Thesaurus","Unit of Weight","Code_287"
"Code","5a72e092-9ed9-4c43-bed5-8171cf91e4eb","","C81328","NCI Thesaurus","Body Weight","Code_282"
"Code","37116d97-6816-475a-8b1a-64804f3f24d0","","C173522","NCI Thesaurus","Vital Signs Result","Code_289"
"Code","8258bc84-bad4-405e-ae9f-51fec68440c8","2023-09-29","C49668","http://www.cdisc.org","Centimeter","Code_290"
"Code","a7d9ef40-a75f-4f5e-949a-6e0f1e35b71b","2023-09-29","C48500","http://www.cdisc.org","Inch","Code_291"
"Code","4a820265-f766-4855-b910-fee12ccaedda","2023-09-29","C28251","http://www.cdisc.org","Millimeter","Code_292"
"Code","16f8093f-c515-4fcc-817b-ba481ab2c042","2023-09-29","C41139","http://www.cdisc.org","Meter","Code_293"
"Code","bd47c893-f3cb-4a52-8809-ed4b1060e974","","C168688","NCI Thesaurus","Unit of Height","Code_294"
"Code","fe9e053e-3af5-4da7-8449-5de81e3b6e43","","C164634","NCI Thesaurus","Body Height","Code_288"
"Code","e28b7295-28aa-41a5-8922-6e5ebf89045c","","C36292","NCI Thesaurus","Laboratory Test Result","Code_296"
"Code","7ee906d0-0c11-4c6c-b92e-9c943a1ca218","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_297"
"Code","b2d2a802-5890-4acb-9a77-562d2886e013","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_298"
"Code","4d198be7-9ef6-44fc-aec4-4aff07cb7452","","C70713","NCI Thesaurus","Biospecimen Type","Code_299"
"Code","f388b0c7-4b46-45aa-8431-110c7b781e4f","","C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code_295"
"Code","8021c187-e9ce-4770-aa27-7a40dd8b53f1","","C36292","NCI Thesaurus","Laboratory Test Result","Code_301"
"Code","30021ae9-3658-42c7-a95c-acc97d37e2cf","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_302"
"Code","8e8e593f-3ea6-450f-a95d-23d90e3a85e2","","C48207","NCI Thesaurus","Unit of Concentration","Code_303"
"Code","e527fbab-92b0-4fad-908b-6c78145b43d1","","C70713","NCI Thesaurus","Biospecimen Type","Code_304"
"Code","b17d7fce-2245-4789-9406-b57f49efae81","","C64431","NCI Thesaurus","Albumin Measurement","Code_300"
"Code","da1d6dc8-660f-4b55-829b-716fc160b88b","","C36292","NCI Thesaurus","Laboratory Test Result","Code_306"
"Code","a4dc0bc4-a055-4532-989f-1e3a17077cdc","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_307"
"Code","8b863c9b-0e27-477b-8605-77bfcc4fb145","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_308"
"Code","953bad28-de04-4e64-a120-ec6a8fffae23","","C70713","NCI Thesaurus","Biospecimen Type","Code_309"
"Code","7cc60b44-fe75-4fa5-bad4-5e6faa920ba0","","C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code_305"
"Code","b6faeb0d-5723-454c-9775-c641c97ba732","","C36292","NCI Thesaurus","Laboratory Test Result","Code_311"
"Code","a5ec4dcd-d11d-4918-8cd1-1b5b4de2e97b","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_312"
"Code","340d16b8-ad65-422f-85cf-f21914213da9","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_313"
"Code","b9beb703-0373-4bc7-aa1b-49d38c31ecd6","","C70713","NCI Thesaurus","Biospecimen Type","Code_314"
"Code","da541718-7ca4-4e24-8e99-856f345f25fe","","C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code_310"
"Code","c68ac647-ec9b-4c75-8b10-2697d7b4f31f","","C36292","NCI Thesaurus","Laboratory Test Result","Code_316"
"Code","8bc7134f-f97a-4778-aae1-a8254ed139a0","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_317"
"Code","9007554e-6780-414d-95fc-2a8adb8c337b","","C48207","NCI Thesaurus","Unit of Concentration","Code_318"
"Code","848665c9-a598-478e-9d6a-dfa96293aea3","","C70713","NCI Thesaurus","Biospecimen Type","Code_319"
"Code","e8f97f4d-6475-4174-886c-27cb0b6a4396","","C64547","NCI Thesaurus","Creatinine Measurement","Code_315"
"Code","7dd67514-c518-4ea6-b6a2-f5fbd42a5c3e","","C36292","NCI Thesaurus","Laboratory Test Result","Code_321"
"Code","f61bda32-75d4-4df1-ada9-f4e30cc49052","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_322"
"Code","345b7fb4-99c2-4a82-8ea7-c9a94655b046","","C64567","NCI Thesaurus","Molarity Unit","Code_323"
"Code","f2105eb9-5e71-44db-8060-a7952f704692","","C70713","NCI Thesaurus","Biospecimen Type","Code_324"
"Code","b6bd7a6e-4c9c-4b29-b500-5bf73c57aaae","","C64853","NCI Thesaurus","Potassium Measurement","Code_320"
"Code","0ffeef4a-c1fb-4415-b03a-53ed4bd7b278","","C36292","NCI Thesaurus","Laboratory Test Result","Code_326"
"Code","f26d40b8-19e2-49de-8dda-fd92316b9297","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_327"
"Code","cb7a39fc-be85-4065-9110-f4e453f3d3b4","","C64567","NCI Thesaurus","Molarity Unit","Code_328"
"Code","efb29103-1c0b-407c-94a8-b9f77e2764b1","","C70713","NCI Thesaurus","Biospecimen Type","Code_329"
"Code","95a7426c-cbe5-4e20-9ec8-eca32efdd6b7","","C64809","NCI Thesaurus","Sodium Measurement","Code_325"
"Code","1c7c6b06-affd-402a-ad19-fa2ee176a5fa","","C78541","NCI Thesaurus","Adverse Event Verbatim Description","Code_145"
"Code","c31ee8af-9037-4bd4-8102-79a49fe451f0","","C83344","NCI Thesaurus","Adverse Event Dictionary Derived Term","Code_146"
"Code","3c9af1b0-d79c-4261-8ca5-7bf3dc3dbe32","","C83198","NCI Thesaurus","Adverse Event Category","Code_147"
"Code","251f8474-c3c2-4648-9c00-d415020d61f7","","C83212","NCI Thesaurus","Adverse Event Subcategory","Code_148"
"Code","b74d010c-54f5-4819-9d6e-84d7540f1916","","C87840","NCI Thesaurus","Adverse Event Pre-specified","Code_149"
"Code","6810915a-08c2-4336-ba69-02373b28ed65","","C53253","NCI Thesaurus","Severity of Adverse Event","Code_150"
"Code","dbe324b4-3b50-42ec-a4fe-b756d76609a0","","C78605","NCI Thesaurus","Adverse Event Toxicity Grade","Code_151"
"Code","f0beecbb-fabe-421e-bde7-6e8d64d84254","","C53252","NCI Thesaurus","Seriousness of Adverse Event","Code_152"
"Code","166d9125-df9d-48e7-bb69-27a3139d2b62","","C83013","NCI Thesaurus","Adverse Event Action Taken with Study Treatment","Code_153"
"Code","a06b6bf6-b6fd-4fae-9262-4c6e70a3aa2e","","C41358","NCI Thesaurus","Adverse Event Attribution to Product or Procedure","Code_154"
"Code","828a14c4-63c0-4fea-b5c1-557398f1a234","2023-09-29","C71325","http://www.cdisc.org","Intermittent","Code_155"
"Code","c19d456b-8741-49f5-bb0e-5002c616d285","","C83208","NCI Thesaurus","Adverse Event Pattern","Code_156"
"Code","481d1ed8-476c-41c9-991e-e5d6dbbd12d7","","C49489","NCI Thesaurus","Adverse Event Outcome","Code_157"
"Code","1889fe74-13b6-4190-beff-157df1860791","","C83215","NCI Thesaurus","Adverse Event Start Date Time","Code_158"
"Code","fbcf8454-263d-4f55-980c-76d00f7847ce","","C83201","NCI Thesaurus","Adverse Event End Date Time","Code_159"
"Code","6c826f39-5df1-4eaf-9789-a1e938bcc42e","","C41331","NCI Thesaurus","Adverse Event","Code_144"
"Code","c282b1fe-e838-4311-bc9a-fb3fce4fc494","","C173522","NCI Thesaurus","Vital Signs Result","Code_161"
"Code","616cf0ad-4896-44cd-8c9a-059c9014fe2d","2023-09-29","C42547","http://www.cdisc.org","Pascal","Code_162"
"Code","92f87d44-f782-4c36-a1c2-f0634bffc0e5","","C49669","NCI Thesaurus","Unit of Pressure","Code_163"
"Code","d9106da9-cf41-4d86-8aa0-3ac5e7be0ee6","","C83088","NCI Thesaurus","Vital Signs Location","Code_164"
"Code","ccd5cf18-cca4-481f-a74b-1a330b3e082d","","C123975","NCI Thesaurus","Vital Signs Laterality","Code_165"
"Code","d1c78ed5-65e1-410a-bfc5-fb2b793af0e3","","C82535","NCI Thesaurus","Test Method","Code_166"
"Code","bca76f98-4cfe-4599-818d-157381f50792","","C83114","NCI Thesaurus","Vital Signs Position","Code_167"
"Code","bdab24ad-6a3e-48ef-b06c-389758976328","","C25298","NCI Thesaurus","Systolic Blood Pressure","Code_160"
"Code","29d0016a-1b15-4541-a2e2-056791a278cf","","C173522","NCI Thesaurus","Vital Signs Result","Code_169"
"Code","2f09487a-9842-4e03-85bc-5c652b250551","2023-09-29","C42547","http://www.cdisc.org","Pascal","Code_170"
"Code","57eaf72a-20fe-4092-8156-91f1d3576776","","C49669","NCI Thesaurus","Unit of Pressure","Code_171"
"Code","e9d25916-c715-4f3b-a4a3-9824757abc6d","","C83088","NCI Thesaurus","Vital Signs Location","Code_172"
"Code","5754681b-c74f-4cee-952c-53357fa35aed","","C123975","NCI Thesaurus","Vital Signs Laterality","Code_173"
"Code","7a0e7cc2-6039-444c-bcf3-ebb9e57ffb0d","","C82535","NCI Thesaurus","Test Method","Code_174"
"Code","f3fbdbdb-caf8-4a58-8751-3b36c43c0f01","","C83114","NCI Thesaurus","Vital Signs Position","Code_175"
"Code","bbe115c9-8502-49b9-8dee-0f98a77f62d5","","C25299","NCI Thesaurus","Diastolic Blood Pressure","Code_168"
"Code","a2c3df31-0aac-456c-bb8d-331717daf5d1","","C173522","NCI Thesaurus","Vital Signs Result","Code_177"
"Code","de2498d7-df79-4d2f-8bf9-22ba22ef821f","2023-09-29","C42537","http://www.cdisc.org","Kelvin","Code_178"
"Code","7cdfa2a9-c756-4af3-9438-d2306f26a6fe","","C44276","NCI Thesaurus","Unit of Temperature","Code_179"
"Code","00555ae0-e80e-49b0-a2e7-7757a6cb16a9","","C83088","NCI Thesaurus","Vital Signs Location","Code_180"
"Code","c64bc561-6280-4dae-b744-f5351042939a","","C174446","NCI Thesaurus","Body Temperature","Code_176"
"Code","25a53566-3906-43a5-86d0-708591ae659c","","C173522","NCI Thesaurus","Vital Signs Result","Code_182"
"Code","a9f26dc8-f64d-47c0-98c4-993f5afe23b6","2023-09-29","C28252","http://www.cdisc.org","Kilogram","Code_183"
"Code","dd0fa826-fb93-4116-8b79-f99b74132598","2023-09-29","C48155","http://www.cdisc.org","Gram","Code_184"
"Code","e457f2a1-4e23-450c-94c6-ad3d70b6bfd5","2023-09-29","C48531","http://www.cdisc.org","Pound","Code_185"
"Code","9839d2aa-3fd0-415b-977d-e52e7bfab5eb","","C48208","NCI Thesaurus","Unit of Weight","Code_186"
"Code","7b151df8-a033-4108-970a-8a6ed37ec68b","","C81328","NCI Thesaurus","Body Weight","Code_181"
"Code","a976f462-6d7a-4fd8-82cf-7a3e0f6be52a","","C173522","NCI Thesaurus","Vital Signs Result","Code_188"
"Code","fc9dd724-5a99-40e3-82e7-9408b3698920","2023-09-29","C49668","http://www.cdisc.org","Centimeter","Code_189"
"Code","1c134a18-2d77-49d4-a401-2871cb082ba7","2023-09-29","C48500","http://www.cdisc.org","Inch","Code_190"
"Code","6db85b75-1fd0-45b9-b42c-67177581151b","2023-09-29","C28251","http://www.cdisc.org","Millimeter","Code_191"
"Code","2832eebe-2516-4757-90f8-132853006309","2023-09-29","C41139","http://www.cdisc.org","Meter","Code_192"
"Code","a4ab2246-351d-4ebe-8218-5c9808a5f824","","C168688","NCI Thesaurus","Unit of Height","Code_193"
"Code","5bf46931-b40e-4881-bf98-4c04557ee11d","","C164634","NCI Thesaurus","Body Height","Code_187"
"Code","7e0c62b0-230c-4ad2-9566-220dbdd37fdf","","C36292","NCI Thesaurus","Laboratory Test Result","Code_195"
"Code","a8248162-982e-46ab-8a18-bb18c9c1ab9b","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_196"
"Code","6571574f-a3be-4e2f-bba5-650b7d4a0d2c","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_197"
"Code","da6c3703-36ed-4245-8ff2-dcf14131010a","","C70713","NCI Thesaurus","Biospecimen Type","Code_198"
"Code","f6ca5a42-7a76-4509-9a8e-b382c603aa22","","C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code_194"
"Code","bc5f34c2-fd50-454b-a799-9d80c4f2a0d2","","C36292","NCI Thesaurus","Laboratory Test Result","Code_200"
"Code","9bf68dab-50e7-4f5b-848a-f1a83e358a55","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_201"
"Code","7641dcb0-ae8f-4ded-a531-20de681bfa3b","","C48207","NCI Thesaurus","Unit of Concentration","Code_202"
"Code","82770dce-0bc1-44e6-92b5-d872f549c73a","","C70713","NCI Thesaurus","Biospecimen Type","Code_203"
"Code","8a58428c-c918-4db5-974f-0a27a9510f7a","","C64431","NCI Thesaurus","Albumin Measurement","Code_199"
"Code","c4e77cb2-e275-4af0-9cdb-a199e7fdf9bd","","C36292","NCI Thesaurus","Laboratory Test Result","Code_205"
"Code","b116aa97-0891-4f16-a01f-fddda93e9f64","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_206"
"Code","cbc47462-1357-4064-80e9-37f32d88f88d","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_207"
"Code","e3f62e91-943e-4081-bf55-31a9c40a37ae","","C70713","NCI Thesaurus","Biospecimen Type","Code_208"
"Code","4c9a11b5-dfef-4d28-b264-ccdc876705d9","","C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code_204"
"Code","941cc5f3-148f-432d-ab15-030eb0d34f61","","C36292","NCI Thesaurus","Laboratory Test Result","Code_210"
"Code","15e3aa39-f145-4220-9680-9a7724eed8c1","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_211"
"Code","f7b73bf9-5354-4eba-b92c-f35f3f682b68","","C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_212"
"Code","4289d932-342a-40bb-b653-d014370fe291","","C70713","NCI Thesaurus","Biospecimen Type","Code_213"
"Code","317dff2a-9d78-4594-873d-f1316039be42","","C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code_209"
"Code","fb7e0e0b-4c22-437b-b581-b12a46099c72","","C36292","NCI Thesaurus","Laboratory Test Result","Code_215"
"Code","442be19f-9c0e-4f2d-8c80-7caa131ded1a","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_216"
"Code","414fe022-219a-4f0c-9f59-1c0279f53218","","C48207","NCI Thesaurus","Unit of Concentration","Code_217"
"Code","a6a634de-27cd-4354-b67d-14edab04e4eb","","C70713","NCI Thesaurus","Biospecimen Type","Code_218"
"Code","6f0e6505-c698-49d8-8e48-497b21d3ad15","","C64547","NCI Thesaurus","Creatinine Measurement","Code_214"
"Code","691a8786-6fa1-438d-8f96-25036ced0abf","","C36292","NCI Thesaurus","Laboratory Test Result","Code_220"
"Code","ce265cec-5fb3-4aff-ac12-36ff22eb9042","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_221"
"Code","4613bd46-e684-4c70-bb12-2e681d286eb4","","C64567","NCI Thesaurus","Molarity Unit","Code_222"
"Code","af9977d5-b430-4011-8aa7-d35dc90b8322","","C70713","NCI Thesaurus","Biospecimen Type","Code_223"
"Code","f8a81063-13f0-49f3-8465-0d9581699963","","C64853","NCI Thesaurus","Potassium Measurement","Code_219"
"Code","0446f5c9-a52a-4350-b7be-6038d9835a96","","C36292","NCI Thesaurus","Laboratory Test Result","Code_225"
"Code","ffefab00-1196-44c8-9db5-7f37830b7394","","C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_226"
"Code","8f7eb2f6-112b-4e86-a1fe-10a92e567234","","C64567","NCI Thesaurus","Molarity Unit","Code_227"
"Code","5283b65c-9e75-45b6-b496-c048e59a8d6c","","C70713","NCI Thesaurus","Biospecimen Type","Code_228"
"Code","d73cd83e-8d16-463c-b3b3-5c92f820135a","","C64809","NCI Thesaurus","Sodium Measurement","Code_224"
"Code","45987a6d-a2db-420d-93bf-f4e3471065ed","","C173522","NCI Thesaurus","Vital Signs Result","Code_230"
"Code","c2d29afb-2115-4534-9478-5c0a3893dcd4","2023-09-29","C42547","http://www.cdisc.org","Pascal","Code_231"
"Code","d66c9efa-a4a9-442f-8f6c-93f1150bdb35","","C49669","NCI Thesaurus","Unit of Pressure","Code_232"
"Code","c45bf98a-2151-4cb1-8a06-028bf4bd3dcb","","C83088","NCI Thesaurus","Vital Signs Location","Code_233"
"Code","dccfd0c3-a96d-4f48-9216-1719bc45d5fd","","C123975","NCI Thesaurus","Vital Signs Laterality","Code_234"
"Code","5bc5d351-d0b1-459b-a07b-e553f4130dc6","","C82535","NCI Thesaurus","Test Method","Code_235"
"Code","20f0b791-c509-4aba-933c-982f243eb596","","C83114","NCI Thesaurus","Vital Signs Position","Code_236"
"Code","b121697f-f20d-41c4-bfec-2a7743033882","","C25298","NCI Thesaurus","Systolic Blood Pressure","Code_229"
"Code","4faafdc6-499c-41dc-890d-e207b43b37f1","","C173522","NCI Thesaurus","Vital Signs Result","Code_238"
"Code","9f739dff-bcad-4976-96cb-5d7e30c4cce2","2023-09-29","C42547","http://www.cdisc.org","Pascal","Code_239"
"Code","9688d5a7-6fd6-4a26-990e-a9144bb6e258","","C49669","NCI Thesaurus","Unit of Pressure","Code_240"
"Code","b4abcbab-a842-491c-b24d-f40e5c3b7c35","","C83088","NCI Thesaurus","Vital Signs Location","Code_241"
"Code","e32c92e6-1a65-4ea8-88f3-1e64bce62760","","C123975","NCI Thesaurus","Vital Signs Laterality","Code_242"
"Code","f7207ea7-2e8a-4b8e-a7f5-94aa9038e3f6","","C82535","NCI Thesaurus","Test Method","Code_243"
"Code","4f3829e3-7869-48ac-97fe-7725b91fa00a","","C83114","NCI Thesaurus","Vital Signs Position","Code_244"
"Code","30ec905b-5d16-4248-b6a7-6cd745c4a3c9","","C25299","NCI Thesaurus","Diastolic Blood Pressure","Code_237"
"Code","5072b429-ab37-49d7-97a8-009823565748","","C173522","NCI Thesaurus","Vital Signs Result","Code_246"
