"instanceType","label","reference","name","uuid:ID","id","synonyms"
"BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","d0a2df74-0004-45db-80ae-20caaa9fa806","BiomedicalConcept_30","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","6acbd583-6e27-4df6-a04d-075ab0ea0db4","BiomedicalConcept_31","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","b95c6588-520c-4a06-918b-86f97059b64f","BiomedicalConcept_32","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","ad3608eb-ef65-4b26-9c9e-920c0dfceaa1","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","e8e4ac34-d936-4433-bbd8-e408616868cb","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","1892717e-0e2f-4241-a422-0c915b743c68","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","5bc21b80-7f37-4b9d-9c3e-57f46f17e884","BiomedicalConcept_4","['Temperature', 'Body Temperature']"
"BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","e4deea67-3276-409f-ac39-e47ee6d7f550","BiomedicalConcept_5","['Weight', 'Body Weight']"
"BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","d5e16f10-e8cd-4e5f-989c-f5df156163dd","BiomedicalConcept_6","['Height', 'Body Height']"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","da2eb944-f1bf-4f68-86d6-6f858b9edae1","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","0d21e57d-866b-4b33-9991-fe394d5974b2","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","11fa6953-a21e-4595-8a0b-422894b703aa","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","20971554-f52e-4c22-935b-73fd5423cd59","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","b2949b6b-9459-4d8f-9ac5-519b31a23074","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","ca34dee2-485e-40ab-ac8a-067a04d18c00","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","df6b8edb-bb3d-4fb3-99fe-ce0c4fd994f0","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","f614e611-54e8-40c3-a45a-732e96f7ead8","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","b94c6f2f-c36c-47e8-a483-79620c2f40ea","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","50d76f36-780b-485e-8dbd-f9c22aa94585","BiomedicalConcept_16","['Heart Rate']"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","22424638-573d-4582-8536-25d71185519f","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","9ee651e7-3d1c-40fa-8615-6d6c532e7468","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","ffbbef62-5787-4848-ba76-e78bc770d463","BiomedicalConcept_19","['Heart Rate']"
