"name","instanceType","label","id","uuid:ID","synonyms","reference"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","84bb453d-fd64-456d-a2b8-f7afac0b3cd5","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","BiomedicalConcept_11","df556936-9b58-48fa-a3b2-11a5db3a0f7e","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","BiomedicalConcept_12","76112456-f0e7-4436-9ff0-217512022ab6","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","BiomedicalConcept_13","c4ef149f-34c1-4903-b6cd-10a5412a1112","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","e28d3393-ee14-494e-aeda-285c2771aa8c","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","b2e8290b-c67f-461c-bffb-d808dcbae822","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"Heart Rate","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","4981853c-572b-4aa5-ab90-05d0bcc372ef","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","583c4072-dab7-4e6c-af73-1c6a901f9bff","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","00d274b8-a300-4589-a052-101b6c3be1f5","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"Heart Rate","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","331e4783-eee3-4157-9223-f90dee817e87","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677"
