"text","uuid:ID","sectionTitle","sectionNumber","id","name","instanceType"
"<div></div>","a24f46be-943c-4f9d-ac43-5227f90f8f24","Rationale for Trial Population","5.2","NarrativeContent_23","SECTION 5.2","NarrativeContent"
"<div><usdm:section name=""M11-inclusion""></div>","080b937b-c3b0-4bd6-be90-bc40d939ccdb","Inclusion Criteria","5.3","NarrativeContent_24","SECTION 5.3","NarrativeContent"
"<div><usdm:section name=""M11-exclusion""></div>","99a35bf4-97d4-4ca2-80d8-3b6441ddb1e1","Exclusion Criteria","5.4","NarrativeContent_25","SECTION 5.4","NarrativeContent"
"<div></div>","bacfd5d3-537e-4a80-b799-3275949e5508","Lifestyle Considerations","5.5","NarrativeContent_26","SECTION 5.5","NarrativeContent"
"<div></div>","61f6c942-2a94-4b3d-a390-e2d601093eb4","Meals and Dietary Restrictions","5.5.1","NarrativeContent_27","SECTION 5.5.1","NarrativeContent"
"<div><p>Not applicable</p></div>","2a26eb3d-5ae8-4e81-8e47-cab500f614bc","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","NarrativeContent_28","SECTION 5.5.2","NarrativeContent"
"<div></div>","45b028c2-beca-47c8-a275-b12fd0175d6e","Physical Activity","5.5.3","NarrativeContent_29","SECTION 5.5.3","NarrativeContent"
"<div></div>","d21fb758-4754-4b1c-9047-612534e925c1","Other Activity","5.5.4","NarrativeContent_30","SECTION 5.5.4","NarrativeContent"
"<div></div>","da09c3e8-91c3-4920-a9bc-55556f6ae9b8","Screen Failures","5.6","NarrativeContent_31","SECTION 5.6","NarrativeContent"
"<div></div>","04bfb8ee-ec7b-42e8-9120-b909d3e69113","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","NarrativeContent_32","SECTION 6","NarrativeContent"
"<div></div>","32123927-c747-4df2-914c-2de62e0b2b88","Description of Trial Intervention","6.1","NarrativeContent_33","SECTION 6.1","NarrativeContent"
"<div></div>","ce5ac3dd-f45d-4948-a2cb-e46173bf1b9f","Rationale for Trial Intervention","6.2","NarrativeContent_34","SECTION 6.2","NarrativeContent"
"<div></div>","cc18338c-86ef-45f9-b886-d733419253e9","Dosing and Administration","6.3","NarrativeContent_35","SECTION 6.3","NarrativeContent"
"<div></div>","e40e20aa-acc3-4120-ae80-1c5969c27792","Trial Intervention Dose Modification","6.3.1","NarrativeContent_36","SECTION 6.3.1","NarrativeContent"
"<div></div>","e276aee7-4cb6-4ce3-9f1c-33c0e4334ca5","Treatment of Overdose","6.4","NarrativeContent_37","SECTION 6.4","NarrativeContent"
"<div></div>","202776a5-456a-4618-a012-6b3b35bde9a7","Preparation, Handling, Storage and Accountability","6.5","NarrativeContent_38","SECTION 6.5","NarrativeContent"
"<div></div>","6b762d65-ed9b-4d55-9eaa-e42e2496aa8c","Preparation of Trial Intervention","6.5.1","NarrativeContent_39","SECTION 6.5.1","NarrativeContent"
"<div></div>","fab3dad6-aba1-4612-b207-798865ec23a6","Handling and Storage of Trial Intervention","6.5.2","NarrativeContent_40","SECTION 6.5.2","NarrativeContent"
"<div></div>","f5ca24d0-2bc5-474f-a363-bbb2e2b3344d","Accountability of Trial Intervention","6.5.3","NarrativeContent_41","SECTION 6.5.3","NarrativeContent"
"<div></div>","e39b7fdb-2d1b-4d61-9bf9-cf11161103e8","Participant Assignment, Randomisation and Blinding","6.6","NarrativeContent_42","SECTION 6.6","NarrativeContent"
"<div></div>","95324cd6-84dd-412c-a8eb-e3cde51492ca","Participant Assignment","6.6.1","NarrativeContent_43","SECTION 6.6.1","NarrativeContent"
"<div></div>","d6d6abcc-a9cb-45d4-9590-dd58c36f56f8","Randomisation","6.6.2","NarrativeContent_44","SECTION 6.6.2","NarrativeContent"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","fc54667d-353f-4de8-9cff-0bdc82df0acd","Blinding and Unblinding","6.6.3","NarrativeContent_45","SECTION 6.6.3","NarrativeContent"
"<div></div>","11689326-59ad-456f-a0f8-ecc0f585ea14","Trial Intervention Compliance","6.7","NarrativeContent_46","SECTION 6.7","NarrativeContent"
"<div></div>","b1c3fd2b-ae1d-4e8c-a3f4-6f5c77bd8bd1","Concomitant Therapy","6.8","NarrativeContent_47","SECTION 6.8","NarrativeContent"
"<div></div>","8af050fe-1a60-4d83-abbc-d4e2e5f9819b","Prohibited Concomitant Therapy","6.8.1","NarrativeContent_48","SECTION 6.8.1","NarrativeContent"
"<div></div>","14027123-803b-4e96-948d-a58b98d49535","Permitted Concomitant Therapy","6.8.2","NarrativeContent_49","SECTION 6.8.2","NarrativeContent"
"<div></div>","69b739d1-01ef-4aef-8cf7-af880ee33e8e","Rescue Therapy","6.8.3","NarrativeContent_50","SECTION 6.8.3","NarrativeContent"
"<div></div>","e30daa9b-a7fd-4c88-a129-d9be8c743ea4","Other Therapy","6.8.4","NarrativeContent_51","SECTION 6.8.4","NarrativeContent"
"<div></div>","7db3ddc9-2b17-4b62-81e1-c308ee069ff0","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","NarrativeContent_52","SECTION 7","NarrativeContent"
"<div></div>","73737973-42dc-4080-af54-e704b63bd0d8","Discontinuation of Trial Intervention","7.1","NarrativeContent_53","SECTION 7.1","NarrativeContent"
"<div></div>","9c7b1253-7a3d-42fc-ad22-8e4f88aa3dbd","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","NarrativeContent_54","SECTION 7.1.1","NarrativeContent"
"<div></div>","66417aa6-6e19-4fab-8a36-a4e3127fe56a","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","NarrativeContent_55","SECTION 7.1.2","NarrativeContent"
"<div></div>","9b711b93-4d39-4a1e-b5ff-7dd1e1d92a69","Rechallenge","7.1.3","NarrativeContent_56","SECTION 7.1.3","NarrativeContent"
"<div></div>","a6c386eb-f0d9-47a6-846f-d6b1b5cfbf1d","Participant Withdrawal from the Trial","7.2","NarrativeContent_57","SECTION 7.2","NarrativeContent"
"<div></div>","3d30902c-23ce-4630-86a7-70a07c42b676","Lost to Follow-Up","7.3","NarrativeContent_58","SECTION 7.3","NarrativeContent"
"<div></div>","697229aa-dd9c-4dca-b605-cbb3e7d0506d","Trial Stopping Rules","7.4","NarrativeContent_59","SECTION 7.4","NarrativeContent"
"<div></div>","96e1dd90-837b-4e01-8328-cfe2839fd1a2","TRIAL ASSESSMENTS AND PROCEDURES","8","NarrativeContent_60","SECTION 8","NarrativeContent"
"<div></div>","e7c95656-64a5-4d46-a377-8d3ad403b2d4","Screening/Baseline Assessments and Procedures","8.1","NarrativeContent_61","SECTION 8.1","NarrativeContent"
"<div></div>","9e951e5b-ec34-4e73-ab54-d806b818777a","Efficacy Assessments and Procedures","8.2","NarrativeContent_62","SECTION 8.2","NarrativeContent"
"<div></div>","81f4c9f9-3a30-4278-b867-5d27d2284e6b","Safety Assessments and Procedures","8.3","NarrativeContent_63","SECTION 8.3","NarrativeContent"
"<div></div>","5c4e075f-0412-40a4-8c0c-4438c23f0f5b","Physical Examination","8.3.1","NarrativeContent_64","SECTION 8.3.1","NarrativeContent"
"<div></div>","cd89fb7b-3a6d-4521-8f63-0d0d04a6eef3","Vital Signs","8.3.2","NarrativeContent_65","SECTION 8.3.2","NarrativeContent"
"<div></div>","1e8ad049-e90b-43e2-8a6f-ab9bfcf893b3","Electrocardiograms","8.3.3","NarrativeContent_66","SECTION 8.3.3","NarrativeContent"
"<div></div>","302ca9d1-6d9c-413b-8efe-d7e4f4c5a2a7","Clinical Laboratory Assessments","8.3.4","NarrativeContent_67","SECTION 8.3.4","NarrativeContent"
"<div></div>","94adce65-6e26-4248-9fd2-acf5689e48e6","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","NarrativeContent_68","SECTION 8.3.5","NarrativeContent"
"<div></div>","9768f2bc-93cb-4e6b-bacc-42b0dcafafd6","Adverse Events and Serious Adverse Events","8.4","NarrativeContent_69","SECTION 8.4","NarrativeContent"
"<div></div>","8f679add-8d46-413d-b00a-dc296fc1bb2f","Definitions of AE and SAE","8.4.1","NarrativeContent_70","SECTION 8.4.1","NarrativeContent"
"<div></div>","d7e12441-150d-4cd2-80f6-a422ba3ebac9","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","NarrativeContent_71","SECTION 8.4.2","NarrativeContent"
"<div></div>","75ee8802-3c63-4c59-85b8-d2fb32010c07","Identifying AEs and SAEs","8.4.3","NarrativeContent_72","SECTION 8.4.3","NarrativeContent"
"<div></div>","a49e0329-8916-4cd0-b7cc-1e440cbf9dd2","Recording of AEs and SAEs","8.4.4","NarrativeContent_73","SECTION 8.4.4","NarrativeContent"
"<div></div>","f0762ba6-3c7c-4012-a6c6-363d65a820bf","Follow-up of AEs and SAEs","8.4.5","NarrativeContent_74","SECTION 8.4.5","NarrativeContent"
"<div></div>","8e8c97f6-a71d-4308-bb6a-e77a63b20146","Reporting of SAEs","8.4.6","NarrativeContent_75","SECTION 8.4.6","NarrativeContent"
"<div></div>","46a52897-4106-4fb4-9bd3-eea5a32c4a04","Regulatory Reporting Requirements for SAEs","8.4.7","NarrativeContent_76","SECTION 8.4.7","NarrativeContent"
"<div></div>","aee69d63-2721-4977-b2fb-e856bed56aba","Serious and Unexpected Adverse Reaction Reporting","8.4.8","NarrativeContent_77","SECTION 8.4.8","NarrativeContent"
"<div></div>","4e910304-dda7-425f-a40e-f3fe060bdb6e","Adverse Events of Special Interest","8.4.9","NarrativeContent_78","SECTION 8.4.9","NarrativeContent"
"<div></div>","3575ae4f-3e2b-4522-9b09-27148ed5e809","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","NarrativeContent_79","SECTION 8.4.10","NarrativeContent"
"<div></div>","bb35e6f4-8f70-40c2-a3ca-20757d4385e4","Pregnancy and Postpartum Information","8.5","NarrativeContent_80","SECTION 8.5","NarrativeContent"
"<div></div>","352ed984-6cf6-4d99-9677-5984383fa6b4","Participants Who Become Pregnant During the Trial","8.5.1","NarrativeContent_81","SECTION 8.5.1","NarrativeContent"
"<div></div>","1cd4e5b5-b113-48e9-bcf1-4f3d3b6dba88","Participants Whose Partners Become Pregnant","8.5.2","NarrativeContent_82","SECTION 8.5.2","NarrativeContent"
"<div></div>","c9591801-22d5-49cd-a3f5-16faa7f9f20f","Medical Device Product Complaints for Drug/Device Combination Products","8.6","NarrativeContent_83","SECTION 8.6","NarrativeContent"
"<div></div>","cb16667a-b48d-41ca-a6e2-8a3e4a4b74e5","Definition of Medical Device Product Complaints","8.6.1","NarrativeContent_84","SECTION 8.6.1","NarrativeContent"
"<div></div>","61372a63-0c86-40d3-b6aa-8d6c7478419c","Recording of Medical Device Product Complaints","8.6.2","NarrativeContent_85","SECTION 8.6.2","NarrativeContent"
"<div></div>","6b8521e6-148f-4aa9-ae67-c7c4f28baedb","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","NarrativeContent_86","SECTION 8.6.3","NarrativeContent"
"<div></div>","cbe53202-8ec5-4166-b83f-d6cc08dbc00f","Follow-Up of Medical Device Product Complaints","8.6.4","NarrativeContent_87","SECTION 8.6.4","NarrativeContent"
"<div></div>","548b09a8-40ce-466f-ae65-5ba9239b04b7","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","NarrativeContent_88","SECTION 8.6.5","NarrativeContent"
"<div></div>","23825525-2c7c-4fdc-bdc1-5d1b0b8f1fa2","Pharmacokinetics","8.7","NarrativeContent_89","SECTION 8.7","NarrativeContent"
"<div></div>","89f8f7bb-a2cb-42f5-8680-d782838858a9","Genetics","8.8","NarrativeContent_90","SECTION 8.8","NarrativeContent"
"<div></div>","3408ac64-426a-4212-8c88-acb35366749c","Biomarkers","8.9","NarrativeContent_91","SECTION 8.9","NarrativeContent"
"<div></div>","84263ae9-9d4a-4ea4-ba10-5e539f4f4009","Immunogenicity Assessments","8.1","NarrativeContent_92","SECTION 8.1","NarrativeContent"
"<div></div>","66914093-609c-4086-9d2a-3645554ed5f2","Medical Resource Utilisation and Health Economics","8.1.1","NarrativeContent_93","SECTION 8.1.1","NarrativeContent"
"<div></div>","c54d3967-4a53-4498-b59c-34beb6d93b19","STATISTICAL CONSIDERATIONS","9","NarrativeContent_94","SECTION 9","NarrativeContent"
"<div></div>","feb2c4f4-ea5d-46a0-ad1e-67fe0ae2cc69","Analysis Sets","9.1","NarrativeContent_95","SECTION 9.1","NarrativeContent"
"<div></div>","a5a8a35c-cb58-4a38-8001-da2b6ffc75b6","Analyses Supporting Primary Objective(s)","9.2","NarrativeContent_96","SECTION 9.2","NarrativeContent"
"<div></div>","c208a247-6266-4839-8535-5e14594e4ebc","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","NarrativeContent_97","SECTION 9.2.1","NarrativeContent"
"<div></div>","b09a6498-1739-4170-9c60-fd9cb6d6aaf2","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","NarrativeContent_98","SECTION 9.2.2","NarrativeContent"
"<div></div>","e3db1851-3fbb-4917-84e1-257eb20a4edf","Handling of Missing Data","9.2.3","NarrativeContent_99","SECTION 9.2.3","NarrativeContent"
"<div></div>","ecddeeae-28ce-4d8e-8473-9bc8a369bf68","Sensitivity Analysis","9.2.4","NarrativeContent_100","SECTION 9.2.4","NarrativeContent"
"<div></div>","38962c8d-b371-4c6a-9ae8-c3fa98695d77","Supplementary Analysis","9.2.5","NarrativeContent_101","SECTION 9.2.5","NarrativeContent"
"<div></div>","c45e4b3e-6caa-4cd0-a7f7-cd6f31ffe191","Analysis Supporting Secondary Objective(s)","9.3","NarrativeContent_102","SECTION 9.3","NarrativeContent"
"<div></div>","55f914c4-7a64-4dad-96b3-d7f5bec6c715","Analysis of Exploratory Objective(s)","9.4","NarrativeContent_103","SECTION 9.4","NarrativeContent"
"<div></div>","49866664-6156-4451-b783-abf3a18b81b3","Safety Analyses","9.5","NarrativeContent_104","SECTION 9.5","NarrativeContent"
"<div></div>","9c6ba16f-852b-4366-a31f-b93f084ddd2f","Other Analyses","9.6","NarrativeContent_105","SECTION 9.6","NarrativeContent"
"<div></div>","43df4615-2036-4d0a-9ee2-0e5f0e509f81","Interim Analyses","9.7","NarrativeContent_106","SECTION 9.7","NarrativeContent"
"<div></div>","5c75ad13-6504-43dd-b4b2-4787b67d7f2c","Sample Size Determination","9.8","NarrativeContent_107","SECTION 9.8","NarrativeContent"
"<div></div>","d633040a-9db4-4a9f-a5a0-cffa757da0a5","Protocol Deviations","9.9","NarrativeContent_108","SECTION 9.9","NarrativeContent"
"<div></div>","77696a68-19d7-42a6-9ead-a0092b99e006","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","NarrativeContent_109","SECTION 10","NarrativeContent"
"<div></div>","6e220a4a-e7a5-4e6a-b46e-d29515abccd8","Regulatory and Ethical Considerations","10.1","NarrativeContent_110","SECTION 10.1","NarrativeContent"
"<div></div>","b3e795f7-ecb0-4499-8cde-63c83f39cbcc","Committees","10.2","NarrativeContent_111","SECTION 10.2","NarrativeContent"
"<div></div>","67bf23da-634c-4153-ba71-3fac03d55f25","Informed Consent Process","10.3","NarrativeContent_112","SECTION 10.3","NarrativeContent"
"<div></div>","e3c6d38a-bddb-4a2c-98aa-ca53cabf88b6","Data Protection","10.4","NarrativeContent_113","SECTION 10.4","NarrativeContent"
"<div></div>","d643b3b7-4679-46ae-81ec-2686aade5537","Early Site Closure or Trial Termination","10.5","NarrativeContent_114","SECTION 10.5","NarrativeContent"
"<div></div>","24bda6a3-f4ea-49ff-978a-5661b4d293c6","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","NarrativeContent_115","SECTION 11","NarrativeContent"
"<div></div>","76719eff-1b01-4121-ac45-b6a2112f774c","Quality Tolerance Limits","11.1","NarrativeContent_116","SECTION 11.1","NarrativeContent"
"<div></div>","2035674f-ba17-41d2-9db8-2c418f86b5c2","Data Quality Assurance","11.2","NarrativeContent_117","SECTION 11.2","NarrativeContent"
"<div></div>","0c07acf5-2cdc-49dc-8aee-626471613da0","Source Data","11.3","NarrativeContent_118","SECTION 11.3","NarrativeContent"
"<div></div>","625b8c22-ffa0-4ec7-abf7-5c4662ebdd0c","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","NarrativeContent_119","SECTION 12","NarrativeContent"
"<div></div>","95ed5d4e-0b41-48e8-926b-ce4f582fe944","Further Details and Clarifications on the AE Definition","12.1","NarrativeContent_120","SECTION 12.1","NarrativeContent"
"<div></div>","99fdd829-3e82-4aaf-a99b-3341374f0d69","Further Details and Clarifications on the SAE Definition","12.2","NarrativeContent_121","SECTION 12.2","NarrativeContent"
"<div></div>","12e5ce95-93d0-4219-a0e8-d9bf7cb1f336","Severity","12.3","NarrativeContent_122","SECTION 12.3","NarrativeContent"
"<div></div>","7ef50ce6-e960-44fb-b9ce-fca3a826a221","Causality","12.4","NarrativeContent_123","SECTION 12.4","NarrativeContent"
"<div></div>","94d3a618-a744-4f86-979f-ba1959e00bad","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","NarrativeContent_124","SECTION 13","NarrativeContent"
"<div></div>","f9523741-a80a-437d-b962-04fe87df2c3c","Contraception and Pregnancy Testing","13.1","NarrativeContent_125","SECTION 13.1","NarrativeContent"
"<div></div>","c5e6ce0a-c665-475a-ab3c-6729bb1af359","Definitions Related to Childbearing Potential","13.1.1","NarrativeContent_126","SECTION 13.1.1","NarrativeContent"
"<div></div>","addd9a3a-dcf6-49e3-b421-7ade466d1ea5","Contraception","13.1.2","NarrativeContent_127","SECTION 13.1.2","NarrativeContent"
"<div></div>","bc56abc1-b528-43d7-8572-e5940dbcfaa7","Pregnancy Testing","13.1.3","NarrativeContent_128","SECTION 13.1.3","NarrativeContent"
"<div></div>","a23e86c6-b87b-43df-895d-efe30d8d8b7d","Clinical Laboratory Tests","13.2","NarrativeContent_129","SECTION 13.2","NarrativeContent"
"<div></div>","eeffd1c3-cb58-4768-8588-3c31cf7e2e1c","Country/Region-Specific Differences","13.3","NarrativeContent_130","SECTION 13.3","NarrativeContent"
"<div></div>","8748f331-a27f-4e3a-b55b-9f94b94816d0","Prior Protocol Amendments","13.4","NarrativeContent_131","SECTION 13.4","NarrativeContent"
"<div></div>","b145acae-aa10-4a46-a341-f13c7bc2fcf4","APPENDIX: GLOSSARY OF TERMS","14","NarrativeContent_132","SECTION 14","NarrativeContent"
"<div></div>","26fe6f58-c4df-4d6c-b80d-d7f8c9500cf2","APPENDIX: REFERENCES","15","NarrativeContent_133","SECTION 15","NarrativeContent"
