"code","decode","uuid:ID","codeSystemVersion","id","instanceType","codeSystem"
"C51282","Clinic","cb20e014-f1fa-4aa0-9de1-3db60b83931f","2023-09-29","Code_95","Code","http://www.cdisc.org"
"C175574","In Person","3beb7374-c29b-48f9-836e-68b50e9f7ee0","2023-09-29","Code_96","Code","http://www.cdisc.org"
"C25716","Visit","dbcf6c33-c2de-4d23-af15-5bfb7a25a049","2023-09-29","Code_97","Code","http://www.cdisc.org"
"C51282","Clinic","3374c056-5d1d-4338-adf9-7fb6ef8bc487","2023-09-29","Code_98","Code","http://www.cdisc.org"
"C175574","In Person","4254e106-96e0-40f9-9e4b-1504419e8d32","2023-09-29","Code_99","Code","http://www.cdisc.org"
"C25716","Visit","2187548f-a607-470e-a2bb-b6f2084e5c97","2023-09-29","Code_100","Code","http://www.cdisc.org"
"C51282","Clinic","378b0a08-84b3-4ed7-b057-bc71a1c1c979","2023-09-29","Code_101","Code","http://www.cdisc.org"
"C175574","In Person","645803a7-b827-4c86-9abb-91da964f68b9","2023-09-29","Code_102","Code","http://www.cdisc.org"
"C171537","Telephone Call","5c4fd8fe-de8d-480b-9ff4-31658822e80e","2023-09-29","Code_103","Code","http://www.cdisc.org"
"C25716","Visit","e5a451b4-6746-49db-9b29-4ad639a55e1a","2023-09-29","Code_104","Code","http://www.cdisc.org"
"C51282","Clinic","81b14e70-52d9-4c91-92f3-b80ae3df4d9c","2023-09-29","Code_105","Code","http://www.cdisc.org"
"C175574","In Person","5ae94dd2-fca6-4499-b633-cc9ad7f5479e","2023-09-29","Code_106","Code","http://www.cdisc.org"
"C171537","Telephone Call","56179a1a-3641-4c7c-ab46-5fb8b89dbb48","2023-09-29","Code_107","Code","http://www.cdisc.org"
"C25716","Visit","9a5c4cf9-8eec-4581-9362-fc2393a7d824","2023-09-29","Code_108","Code","http://www.cdisc.org"
"C51282","Clinic","7b015e68-470c-4c33-b577-df6494bb8241","2023-09-29","Code_109","Code","http://www.cdisc.org"
"C175574","In Person","b99c280b-41ec-4cdd-92a5-fd3817e2e2bf","2023-09-29","Code_110","Code","http://www.cdisc.org"
"C171537","Telephone Call","53a3979d-39b1-4331-8d8e-4e2b4b288c85","2023-09-29","Code_111","Code","http://www.cdisc.org"
"C25716","Visit","e99d556c-d380-4b3b-900c-9fd8fd4f6bd6","2023-09-29","Code_112","Code","http://www.cdisc.org"
"C51282","Clinic","fcc5a9bd-be7c-4546-b389-b60c8e59e4fb","2023-09-29","Code_113","Code","http://www.cdisc.org"
"C175574","In Person","fe30b98e-0eff-46c5-853b-793a75875d17","2023-09-29","Code_114","Code","http://www.cdisc.org"
"C171537","Telephone Call","aed01fd8-b4fd-4200-9550-c404306e5b50","2023-09-29","Code_115","Code","http://www.cdisc.org"
"C25716","Visit","000eb059-84b9-4977-9ab4-c9d3d7e1e64d","2023-09-29","Code_116","Code","http://www.cdisc.org"
"C51282","Clinic","4a37038d-0672-46a4-bac3-05abd9426255","2023-09-29","Code_117","Code","http://www.cdisc.org"
"C175574","In Person","3d682b9d-b3b1-4775-a7db-4338947c68d4","2023-09-29","Code_118","Code","http://www.cdisc.org"
"C25716","Visit","43561d51-b956-458e-a1d7-84fe3b59c6d3","2023-09-29","Code_119","Code","http://www.cdisc.org"
"C51282","Clinic","531b6c6e-3d9a-493a-941d-4daf45ecd207","2023-09-29","Code_120","Code","http://www.cdisc.org"
"C175574","In Person","13bd428a-58a0-4d1a-b2cc-a23840cd090a","2023-09-29","Code_121","Code","http://www.cdisc.org"
"383371000119108","CT of head without contrast","1fdf1c9c-bf67-40d1-a415-4c348520e111","January 31, 2018","Code_79","Code","SNOMED"
"123","Subject Supine","2a10e45a-201c-46ad-8326-4cff331b9931","12","Code_80","Code","SPONSOR"
"124","Subject Standing","bba58e32-f73b-451c-aae6-f5325538ebcc","12","Code_81","Code","SPONSOR"
"C173522","Vital Signs Result","03356da6-e562-426f-a583-e8f21e8c055a","","Code_278","Code","NCI Thesaurus"
"C42537","Kelvin","9b1cb24c-8183-40e5-b7f5-42dff31befd5","2023-09-29","Code_279","Code","http://www.cdisc.org"
"C44276","Unit of Temperature","ee858fe8-972f-4b28-9a43-164ae29ba879","","Code_280","Code","NCI Thesaurus"
"C83088","Vital Signs Location","26535f59-f2ba-4701-b996-204af17ac125","","Code_281","Code","NCI Thesaurus"
"C174446","Body Temperature","5b749459-5409-4843-9c95-9b1d8895dbf7","","Code_277","Code","NCI Thesaurus"
"C173522","Vital Signs Result","4db2048f-4168-47d9-9f3d-6b24d59d31c1","","Code_283","Code","NCI Thesaurus"
"C28252","Kilogram","47ee9eae-5139-4b6e-bd3e-a93e2b05c47c","2023-09-29","Code_284","Code","http://www.cdisc.org"
"C48155","Gram","f912f320-8896-4e81-a286-dc689133d067","2023-09-29","Code_285","Code","http://www.cdisc.org"
"C48531","Pound","8d62db24-1789-4cd9-91f0-b7e1fbfde633","2023-09-29","Code_286","Code","http://www.cdisc.org"
"C48208","Unit of Weight","f27e16ae-9239-4338-a788-e2e3e960dfc2","","Code_287","Code","NCI Thesaurus"
"C81328","Body Weight","7754a950-d093-45fa-89cc-b65a042ff41b","","Code_282","Code","NCI Thesaurus"
"C173522","Vital Signs Result","ce7bceef-a2a0-4a70-9ff5-8e16d09ef98e","","Code_289","Code","NCI Thesaurus"
"C49668","Centimeter","0da3139b-349d-4afe-a4f9-7f0605cdfcb5","2023-09-29","Code_290","Code","http://www.cdisc.org"
"C48500","Inch","a603ddf3-57aa-4fbc-89a0-51ff23dcf28b","2023-09-29","Code_291","Code","http://www.cdisc.org"
"C28251","Millimeter","1ea7829f-8971-4082-96a5-ee6dd69f45ac","2023-09-29","Code_292","Code","http://www.cdisc.org"
"C41139","Meter","0e89f0b6-a95b-44f4-8666-568dbde7c15b","2023-09-29","Code_293","Code","http://www.cdisc.org"
"C168688","Unit of Height","c238c1e4-12d8-45c8-9e13-f301706306c2","","Code_294","Code","NCI Thesaurus"
"C164634","Body Height","80be446d-2680-4816-8a33-aa31b05f8ab1","","Code_288","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","d31ccf5f-4ed4-49bb-8fa7-102becf99ae8","","Code_296","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","d605269a-5178-47ad-ab1a-10c2dbded140","","Code_297","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","adfb10db-5a24-43f2-9f80-27fddfce8735","","Code_298","Code","NCI Thesaurus"
"C70713","Biospecimen Type","11b8f031-55be-41a8-9715-f57ce93002ca","","Code_299","Code","NCI Thesaurus"
"C64433","Alanine Aminotransferase Measurement","a3a2184e-4648-47ca-8e96-f404bc589aea","","Code_295","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","19eee3c7-613a-4e57-b49c-28262778df70","","Code_301","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","ac4613b3-8346-4937-b37b-1de29bd206d2","","Code_302","Code","NCI Thesaurus"
"C48207","Unit of Concentration","5c53a9b4-11d3-4ddb-8402-a978789fe189","","Code_303","Code","NCI Thesaurus"
"C70713","Biospecimen Type","775b199d-9b71-4e9c-b408-0588acfd4e03","","Code_304","Code","NCI Thesaurus"
"C64431","Albumin Measurement","57ef5f42-d087-4245-9c78-aaa1bab6ec29","","Code_300","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","e0c1833d-2d49-4602-bd67-d3cd8c67dc84","","Code_306","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","d90ab020-96e3-418b-a6b9-f3caa84b79df","","Code_307","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","cd69a65a-53f6-4861-a8cb-27130ac8303d","","Code_308","Code","NCI Thesaurus"
"C70713","Biospecimen Type","525a78fb-466e-4199-a4b9-2a74b15c4974","","Code_309","Code","NCI Thesaurus"
"C64432","Alkaline Phosphatase Measurement","0a530cd7-cdd3-46ed-b6b8-87ffd43fcacc","","Code_305","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","69fd38de-cb91-4daa-8a59-2260cd201a7e","","Code_311","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","e02790f7-02af-444f-9129-40574e809f21","","Code_312","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","36cd5cfc-b25a-4f33-9219-b2763c57278c","","Code_313","Code","NCI Thesaurus"
"C70713","Biospecimen Type","a4d7d056-ac12-4c51-a4b7-88a3c798d354","","Code_314","Code","NCI Thesaurus"
"C64467","Aspartate Aminotransferase Measurement","992692b6-5ee0-494c-bda2-c5bcb7160655","","Code_310","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","d71012b7-43fb-443d-901a-d0b11416c7a2","","Code_316","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","3ff8d8a0-5f4f-48e1-92fe-d873bbcd6694","","Code_317","Code","NCI Thesaurus"
"C48207","Unit of Concentration","d9fb8324-bb63-47c3-8340-f96982895ac0","","Code_318","Code","NCI Thesaurus"
"C70713","Biospecimen Type","28cd0552-69e2-4430-9b7b-248e6517f8b5","","Code_319","Code","NCI Thesaurus"
"C64547","Creatinine Measurement","a13d2933-147e-4009-bc95-3cbbc0482fb9","","Code_315","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","7acb1c62-d192-456f-afc5-f0ee39c4bcb6","","Code_321","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","3c730611-f1ec-4e41-9e17-56010495d44c","","Code_322","Code","NCI Thesaurus"
"C64567","Molarity Unit","0b08c785-d366-43f1-90f9-1bbf7855abc4","","Code_323","Code","NCI Thesaurus"
"C70713","Biospecimen Type","01531593-27f6-4df7-b4b5-cae3ae138f2a","","Code_324","Code","NCI Thesaurus"
"C64853","Potassium Measurement","9e5d1000-724f-4963-bc22-5e66e18885c8","","Code_320","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","a0e1f3ad-499c-44c4-865a-fe48be0b8878","","Code_326","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","effb8c52-1b0b-4039-82e3-d1ca5af69856","","Code_327","Code","NCI Thesaurus"
"C64567","Molarity Unit","4908a1c4-6b84-46cf-8135-39b09e0b8b8c","","Code_328","Code","NCI Thesaurus"
"C70713","Biospecimen Type","81d519ba-f06c-4f32-855f-69017ec0022e","","Code_329","Code","NCI Thesaurus"
"C64809","Sodium Measurement","4c4c7daa-4a9f-4a72-947e-c480a466a52c","","Code_325","Code","NCI Thesaurus"
"C78541","Adverse Event Verbatim Description","74d7b210-5daa-48ce-8770-6b2d70170ae4","","Code_145","Code","NCI Thesaurus"
"C83344","Adverse Event Dictionary Derived Term","7de53a40-25f7-4d6c-b4f9-b2f5d853cff0","","Code_146","Code","NCI Thesaurus"
"C83198","Adverse Event Category","fa9789e8-3e3a-4a52-b821-d6a56a63e120","","Code_147","Code","NCI Thesaurus"
"C83212","Adverse Event Subcategory","bef1fde2-69ad-4d3b-8344-3ed5da0c72af","","Code_148","Code","NCI Thesaurus"
"C87840","Adverse Event Pre-specified","2b7db4ca-141d-4db8-a00b-fc628e3fa18a","","Code_149","Code","NCI Thesaurus"
"C53253","Severity of Adverse Event","2c1a2318-0e4d-4563-b4a2-5683bb4922bc","","Code_150","Code","NCI Thesaurus"
"C78605","Adverse Event Toxicity Grade","e862f683-8945-4494-bcab-e3b275d177cb","","Code_151","Code","NCI Thesaurus"
"C53252","Seriousness of Adverse Event","c7fe5f50-47a3-4a1d-a6c8-1406dda8b0fc","","Code_152","Code","NCI Thesaurus"
"C83013","Adverse Event Action Taken with Study Treatment","6f38573a-6cc5-4ea1-af3a-075df8b727d7","","Code_153","Code","NCI Thesaurus"
"C41358","Adverse Event Attribution to Product or Procedure","fff1b906-ab3d-4df3-9d87-c3d9d23253b5","","Code_154","Code","NCI Thesaurus"
"C71325","Intermittent","6b04a82e-6b57-47b5-97ca-a9ee1e252bed","2023-09-29","Code_155","Code","http://www.cdisc.org"
"C83208","Adverse Event Pattern","4407fe46-cee0-4bfd-aa82-524079523921","","Code_156","Code","NCI Thesaurus"
"C49489","Adverse Event Outcome","9216f7aa-4119-4b91-ad84-4351ffec31f6","","Code_157","Code","NCI Thesaurus"
"C83215","Adverse Event Start Date Time","2b5c2102-24c6-4673-b9b5-0a2c63ec5fe5","","Code_158","Code","NCI Thesaurus"
"C83201","Adverse Event End Date Time","c545f2cd-98aa-4de0-8778-43159a9aa4f1","","Code_159","Code","NCI Thesaurus"
"C41331","Adverse Event","5ae44b8d-2b17-4311-8483-b6c5236f6229","","Code_144","Code","NCI Thesaurus"
"C173522","Vital Signs Result","cb48f4d6-8b03-445f-9e31-eee3ccf1a2c1","","Code_161","Code","NCI Thesaurus"
"C42547","Pascal","a4ce9bc5-4655-44af-9dd3-4a57bbee3015","2023-09-29","Code_162","Code","http://www.cdisc.org"
"C49669","Unit of Pressure","07b455b8-b7ca-4138-8689-d9bbce5c7bd6","","Code_163","Code","NCI Thesaurus"
"C83088","Vital Signs Location","9409cf24-c12c-4527-a11b-515b8b2ea119","","Code_164","Code","NCI Thesaurus"
"C123975","Vital Signs Laterality","b351fba2-d37b-435b-b762-e769c32e4842","","Code_165","Code","NCI Thesaurus"
"C82535","Test Method","16daa534-89e7-4f01-bf04-74e9e78c2666","","Code_166","Code","NCI Thesaurus"
"C83114","Vital Signs Position","de3b16cd-2cce-4e77-8bff-1bdd43d58445","","Code_167","Code","NCI Thesaurus"
"C25298","Systolic Blood Pressure","2641c16a-b509-4bc8-acc1-f4d0c2adaa67","","Code_160","Code","NCI Thesaurus"
"C173522","Vital Signs Result","15645ddc-5b7b-4e48-a96e-360fde515e9d","","Code_169","Code","NCI Thesaurus"
"C42547","Pascal","7b951e67-fe8f-4089-889b-e30410e965a2","2023-09-29","Code_170","Code","http://www.cdisc.org"
"C49669","Unit of Pressure","eeab96b0-b2a4-4109-b8ff-5a89b6d089c9","","Code_171","Code","NCI Thesaurus"
"C83088","Vital Signs Location","9cd43a40-3257-409a-9fcb-644877301fbe","","Code_172","Code","NCI Thesaurus"
"C123975","Vital Signs Laterality","b0b08df6-1640-4920-82d3-2c5771a14d15","","Code_173","Code","NCI Thesaurus"
"C82535","Test Method","a6de7473-ba7a-450f-a744-69a0e3158a0e","","Code_174","Code","NCI Thesaurus"
"C83114","Vital Signs Position","68c2bfaa-2df7-40af-bca8-7e45c545b1a7","","Code_175","Code","NCI Thesaurus"
"C25299","Diastolic Blood Pressure","4fdb9f55-16fb-4882-911f-266010d301c7","","Code_168","Code","NCI Thesaurus"
"C173522","Vital Signs Result","9243bcd1-5afc-43eb-adc0-0c31f1b75605","","Code_177","Code","NCI Thesaurus"
"C42537","Kelvin","363e3194-0cb0-40af-b245-b619d1f519d8","2023-09-29","Code_178","Code","http://www.cdisc.org"
"C44276","Unit of Temperature","8cac52ee-84b6-407f-8677-6af5f8acc7a2","","Code_179","Code","NCI Thesaurus"
"C83088","Vital Signs Location","39356bf0-8a2b-40e1-a993-8e8d95b00ec9","","Code_180","Code","NCI Thesaurus"
"C174446","Body Temperature","9d4dcc6c-139d-40b9-8e33-c8872cc1f6cb","","Code_176","Code","NCI Thesaurus"
"C173522","Vital Signs Result","4d3f1950-2403-4ab4-9b2a-02959c202dcc","","Code_182","Code","NCI Thesaurus"
"C28252","Kilogram","bdbbe673-ac89-4806-be3b-4c1aeeb8ff97","2023-09-29","Code_183","Code","http://www.cdisc.org"
"C48155","Gram","d70dc843-abef-4127-a582-606688c4063f","2023-09-29","Code_184","Code","http://www.cdisc.org"
"C48531","Pound","945c084c-db09-4602-a4eb-86b2c03679ca","2023-09-29","Code_185","Code","http://www.cdisc.org"
"C48208","Unit of Weight","602d0ffd-484a-40ab-9104-28adc3b3e546","","Code_186","Code","NCI Thesaurus"
"C81328","Body Weight","3bea17d1-492e-4391-a355-9ad2b0624b7f","","Code_181","Code","NCI Thesaurus"
"C173522","Vital Signs Result","d780d29f-58f3-49b9-aa47-3b70429f96f1","","Code_188","Code","NCI Thesaurus"
"C49668","Centimeter","b067c06d-e8de-4876-aa99-5afcff05c0b5","2023-09-29","Code_189","Code","http://www.cdisc.org"
"C48500","Inch","73e1f19d-f94b-4283-add2-480ca813981b","2023-09-29","Code_190","Code","http://www.cdisc.org"
"C28251","Millimeter","f9655858-7abf-4ad8-98cf-87d3f12d1be9","2023-09-29","Code_191","Code","http://www.cdisc.org"
"C41139","Meter","8b2f27ce-7ed8-4638-bae8-695b610f186b","2023-09-29","Code_192","Code","http://www.cdisc.org"
"C168688","Unit of Height","376eb4ad-7fbd-4913-b026-11a684a6bed0","","Code_193","Code","NCI Thesaurus"
"C164634","Body Height","49d39ab3-4113-4a27-8aee-18d60900149e","","Code_187","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","a62372f9-2cc3-4460-8328-621035298e6c","","Code_195","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","6b5d71c0-6f0f-4668-9975-4170255005dc","","Code_196","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","26999345-715f-484e-b7ac-52be64589506","","Code_197","Code","NCI Thesaurus"
"C70713","Biospecimen Type","ad0f2936-ef81-4e2d-8f17-267909ba9bfc","","Code_198","Code","NCI Thesaurus"
"C64433","Alanine Aminotransferase Measurement","86052a1f-b040-4077-bfea-d1a72c8d4fc5","","Code_194","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","1c7b1464-2014-42f8-bf2f-3a3d0f549531","","Code_200","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","a7527fb6-558c-466e-940f-de1bad323710","","Code_201","Code","NCI Thesaurus"
"C48207","Unit of Concentration","8657798c-5ae5-4dd9-bdd4-d9b229819935","","Code_202","Code","NCI Thesaurus"
"C70713","Biospecimen Type","aa6b8b54-67e8-4bc2-b4bc-63e8231e8031","","Code_203","Code","NCI Thesaurus"
"C64431","Albumin Measurement","956a15f7-f7f8-4694-95de-997b3aa7307f","","Code_199","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","1dd1a6fe-1689-422f-9cde-955f077c0b80","","Code_205","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","b7f75788-e76c-485c-87e0-3c08aa3d06c2","","Code_206","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","347bd939-4c1f-48c2-8e17-641243b8c31e","","Code_207","Code","NCI Thesaurus"
"C70713","Biospecimen Type","3f7439b4-d785-4d8f-8004-01e263bb9759","","Code_208","Code","NCI Thesaurus"
"C64432","Alkaline Phosphatase Measurement","dda6db80-df84-4104-8adf-f09f79f08995","","Code_204","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","ddb11aa0-1a74-4aa8-89ad-8a9353609454","","Code_210","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","57d6f488-3409-494c-bd20-f559eb51a503","","Code_211","Code","NCI Thesaurus"
"C67365","Unit of Catalytic Activity Concentration","692e8cb4-d7b5-4936-a65e-c098d75aea1a","","Code_212","Code","NCI Thesaurus"
"C70713","Biospecimen Type","3fa33540-0528-420a-b8f7-d53df8dec64c","","Code_213","Code","NCI Thesaurus"
"C64467","Aspartate Aminotransferase Measurement","18de1251-3295-49db-abf1-9e889bcbd538","","Code_209","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","0bae6937-2d29-4663-9a70-0a8fa112674a","","Code_215","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","22b3c02c-8cad-48ba-aef8-4807407cbcac","","Code_216","Code","NCI Thesaurus"
"C48207","Unit of Concentration","763d0a80-92db-49be-aeb9-1dc6654d79f5","","Code_217","Code","NCI Thesaurus"
"C70713","Biospecimen Type","70c29682-369c-4633-8815-9746e6b41d07","","Code_218","Code","NCI Thesaurus"
"C64547","Creatinine Measurement","540b0eba-4ca3-4bcf-8fed-d52878f71c4c","","Code_214","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","abde43fb-34a4-4491-89e9-1880f0b872c0","","Code_220","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","a316adc3-bc22-4582-9c34-29137bc22c7b","","Code_221","Code","NCI Thesaurus"
"C64567","Molarity Unit","3ba7e2d8-5d90-4b5a-9e5a-f8f5ece90600","","Code_222","Code","NCI Thesaurus"
"C70713","Biospecimen Type","410809a9-92ab-4065-821d-91fb4d51582f","","Code_223","Code","NCI Thesaurus"
"C64853","Potassium Measurement","5ab67f8f-f1b7-4926-8691-8d0a9856e642","","Code_219","Code","NCI Thesaurus"
"C36292","Laboratory Test Result","9b54b48f-4e11-43ae-89a4-433e03164810","","Code_225","Code","NCI Thesaurus"
"C83309","Laboratory Test Fasting Status","3865bd11-2c16-47a9-bfe5-c1e5475efcb1","","Code_226","Code","NCI Thesaurus"
"C64567","Molarity Unit","3689dce6-31b4-4116-958f-00695ab1a2a2","","Code_227","Code","NCI Thesaurus"
"C70713","Biospecimen Type","b02a465a-caab-4476-8b25-082a42f1b16f","","Code_228","Code","NCI Thesaurus"
"C64809","Sodium Measurement","ddda2f14-ae4a-439b-953a-6d76857cf623","","Code_224","Code","NCI Thesaurus"
"C173522","Vital Signs Result","cdd65ad9-cfeb-4d17-ac50-0b576d5dd3f0","","Code_230","Code","NCI Thesaurus"
"C42547","Pascal","61c4c782-6fa5-4f03-b6a7-a46aaedb41ba","2023-09-29","Code_231","Code","http://www.cdisc.org"
"C49669","Unit of Pressure","c9ee4d5b-85fc-4f4c-ab73-53ec1d4fa538","","Code_232","Code","NCI Thesaurus"
"C83088","Vital Signs Location","22f2b4bc-0866-4413-ba7b-f3cbdf3b6990","","Code_233","Code","NCI Thesaurus"
"C123975","Vital Signs Laterality","41519e69-4f71-475c-8e4d-c946215b6819","","Code_234","Code","NCI Thesaurus"
"C82535","Test Method","808e2ac1-02ea-465e-a5e4-75ca5825a499","","Code_235","Code","NCI Thesaurus"
"C83114","Vital Signs Position","2576440b-95b7-408e-86e8-80de39cad106","","Code_236","Code","NCI Thesaurus"
"C25298","Systolic Blood Pressure","ccaf3865-bacc-4f6d-8d87-272d6f75e131","","Code_229","Code","NCI Thesaurus"
"C173522","Vital Signs Result","fb4372bb-862e-4691-8ec8-8c99fa1790ef","","Code_238","Code","NCI Thesaurus"
"C42547","Pascal","a31d6c42-37b2-4826-a849-692c7fba7862","2023-09-29","Code_239","Code","http://www.cdisc.org"
"C49669","Unit of Pressure","add31f99-ae61-4dc2-95b0-f00a1bed402d","","Code_240","Code","NCI Thesaurus"
"C83088","Vital Signs Location","2ab6f5ab-7d87-44a2-82e9-3c8cba08f592","","Code_241","Code","NCI Thesaurus"
"C123975","Vital Signs Laterality","b5c9de7f-95dd-4678-b452-8bf9ef70dfc7","","Code_242","Code","NCI Thesaurus"
"C82535","Test Method","8561c018-4b26-46c5-93fd-850ae6a4539e","","Code_243","Code","NCI Thesaurus"
"C83114","Vital Signs Position","5298de83-6e1e-4b58-ac33-fd20cee76caa","","Code_244","Code","NCI Thesaurus"
"C25299","Diastolic Blood Pressure","be06c490-a57a-46de-8bc0-77284dc1c149","","Code_237","Code","NCI Thesaurus"
"C173522","Vital Signs Result","cfaef3f6-794c-4c4c-993c-d8802a914999","","Code_246","Code","NCI Thesaurus"
