"label","isEnabled","uuid:ID","id","datatype","instanceType","isRequired","name"
"Unit of Concentration","True","a63e85c6-7953-48d9-bbec-4f4eeff61149","BiomedicalConceptProperty_123","string","BiomedicalConceptProperty","True","Unit of Concentration"
"Biospecimen Type","True","41f5582b-6b59-4ca3-a778-78cd2e93883e","BiomedicalConceptProperty_124","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","8fb4ca0c-e815-4299-94ad-0510fe18b4c6","BiomedicalConceptProperty_125","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","99d04f72-532a-4276-a432-6a828a23f775","BiomedicalConceptProperty_126","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Molarity Unit","True","3b5e7f34-fd64-44a5-83f6-8c809b11be65","BiomedicalConceptProperty_127","string","BiomedicalConceptProperty","True","Molarity Unit"
"Biospecimen Type","True","2fd77370-c0bf-423d-babb-7ee9b2ada2d8","BiomedicalConceptProperty_128","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","7f9543c2-03b2-4f14-8e77-9e3c134ecc09","BiomedicalConceptProperty_129","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","c9456095-bf46-4db3-a4f3-becab6bef96b","BiomedicalConceptProperty_130","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Molarity Unit","True","b2e064e8-7977-4ccb-8b4b-2961ecf25d4c","BiomedicalConceptProperty_131","string","BiomedicalConceptProperty","True","Molarity Unit"
"Biospecimen Type","True","3cc4104a-e03c-4411-ba05-f176ba3a5582","BiomedicalConceptProperty_132","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Adverse Event Verbatim Description","True","26495808-0ad7-45bc-94f0-b0d68883d720","BiomedicalConceptProperty_1","string","BiomedicalConceptProperty","True","Adverse Event Verbatim Description"
"Adverse Event Dictionary Derived Term","True","0be84201-d0a5-4ba9-9a12-c898cbf4b2c4","BiomedicalConceptProperty_2","string","BiomedicalConceptProperty","True","Adverse Event Dictionary Derived Term"
"Adverse Event Category","True","bb06be41-23d5-4aa9-a40a-052f08fac9f3","BiomedicalConceptProperty_3","string","BiomedicalConceptProperty","True","Adverse Event Category"
"Adverse Event Subcategory","True","7adc1595-57fd-4b0d-8ef6-8abecb1bedea","BiomedicalConceptProperty_4","string","BiomedicalConceptProperty","True","Adverse Event Subcategory"
"Adverse Event Pre-specified","True","e45f9280-45b3-4617-a3bb-f5e0e43061d2","BiomedicalConceptProperty_5","boolean","BiomedicalConceptProperty","True","Adverse Event Pre-specified"
"Severity of Adverse Event","True","e9bf9b82-bc9a-4f6e-b0c4-775401d755f8","BiomedicalConceptProperty_6","string","BiomedicalConceptProperty","True","Severity of Adverse Event"
"Adverse Event Toxicity Grade","True","cb384208-8fec-489c-9c93-8f75fd1f2121","BiomedicalConceptProperty_7","string","BiomedicalConceptProperty","True","Adverse Event Toxicity Grade"
"Seriousness of Adverse Event","True","e1483570-e679-44ba-b464-08a1bf8c0852","BiomedicalConceptProperty_8","boolean","BiomedicalConceptProperty","True","Seriousness of Adverse Event"
"Adverse Event Action Taken with Study Treatment","True","fdfe102c-8cb7-4afd-8a60-c4e55a80b437","BiomedicalConceptProperty_9","string","BiomedicalConceptProperty","True","Adverse Event Action Taken with Study Treatment"
"Adverse Event Attribution to Product or Procedure","True","28996884-368b-48cd-87c5-ee37de913f69","BiomedicalConceptProperty_10","string","BiomedicalConceptProperty","True","Adverse Event Attribution to Product or Procedure"
"Adverse Event Pattern","True","c79fa3f6-94e4-4792-a828-fa6364581242","BiomedicalConceptProperty_11","string","BiomedicalConceptProperty","True","Adverse Event Pattern"
"Adverse Event Outcome","True","678550d8-2d19-419f-8f0b-58dac1da9fe1","BiomedicalConceptProperty_12","string","BiomedicalConceptProperty","True","Adverse Event Outcome"
"Adverse Event Start Date Time","True","57d80d6f-0121-42e0-824d-c2c969378eb8","BiomedicalConceptProperty_13","datetime","BiomedicalConceptProperty","True","Adverse Event Start Date Time"
"Adverse Event End Date Time","True","6f771e04-67ae-4110-a9e8-48bda9fa0112","BiomedicalConceptProperty_14","datetime","BiomedicalConceptProperty","True","Adverse Event End Date Time"
"Vital Signs Result","True","333d0811-5acc-4436-85de-b7e4a91e003e","BiomedicalConceptProperty_15","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","3b83ed82-7b17-4155-b426-97171369a741","BiomedicalConceptProperty_16","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","622678be-7a4b-4114-af56-4c774896000e","BiomedicalConceptProperty_17","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","a2e03dcc-ad2a-4ee0-a055-0d20d368bb5f","BiomedicalConceptProperty_18","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","5ad44bce-2e55-4761-b607-8e2d7279afb5","BiomedicalConceptProperty_19","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","4c97b0a0-c28d-42d3-9ce2-e681109a3d97","BiomedicalConceptProperty_20","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","124f3cf1-5f5c-4662-9e3f-19158c2bdd8e","BiomedicalConceptProperty_21","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","7391ccdf-a22e-4bc9-a297-2fbdba0c5f24","BiomedicalConceptProperty_22","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","f8e5ac48-4710-4554-9632-7a5154d53f98","BiomedicalConceptProperty_23","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","006f6e20-5a92-48c0-acb4-4f4c1c76ee5f","BiomedicalConceptProperty_24","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","60eef0e6-8736-4752-8a11-e9f8196b6f2c","BiomedicalConceptProperty_25","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","06a1016f-fa7c-4739-903c-ab0b3e92ccb2","BiomedicalConceptProperty_26","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","d7ea5d1b-b81c-4b06-8c2e-89cc4a9580b0","BiomedicalConceptProperty_27","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Temperature","True","063db759-8ec9-4c84-b25c-220d35d277c2","BiomedicalConceptProperty_28","string","BiomedicalConceptProperty","True","Unit of Temperature"
"Vital Signs Location","True","2da81f87-3fda-4034-8429-3ee7ed5092ba","BiomedicalConceptProperty_29","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Result","True","53a05bc4-8b90-4c3d-ab8f-82d3d9587bea","BiomedicalConceptProperty_30","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Weight","True","a51aebf1-c248-4a8e-9abc-d514f7449664","BiomedicalConceptProperty_31","string","BiomedicalConceptProperty","True","Unit of Weight"
"Vital Signs Result","True","f8829d41-7a15-4b2c-b84e-2d5a0be627bf","BiomedicalConceptProperty_32","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Height","True","c06703ac-6bae-4453-8139-068ad83be27c","BiomedicalConceptProperty_33","string","BiomedicalConceptProperty","True","Unit of Height"
"Laboratory Test Result","True","57c8f622-eab6-4a21-bf06-b373cb262bab","BiomedicalConceptProperty_34","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","ba6a24a2-878d-4eb8-b2c1-d71121248d81","BiomedicalConceptProperty_35","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","212b98d6-f10b-4080-99ed-aa1673c0dede","BiomedicalConceptProperty_36","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","e0957927-3739-4b8f-8521-bee9c5411052","BiomedicalConceptProperty_37","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","68282366-3768-49a5-b284-23353acaaedd","BiomedicalConceptProperty_38","string","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","0fe047b4-f72e-4c44-8840-18911708ce59","BiomedicalConceptProperty_39","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Concentration","True","a1aab7e4-6075-414a-873e-7615015494d3","BiomedicalConceptProperty_40","string","BiomedicalConceptProperty","True","Unit of Concentration"
"Biospecimen Type","True","942ab648-b059-4a23-af27-9a4a0cc7e02d","BiomedicalConceptProperty_41","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","cc95deec-c825-4c2a-ba8d-893184c7fc52","BiomedicalConceptProperty_42","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","d9f08916-816a-4855-98ee-58c2b717b6ad","BiomedicalConceptProperty_43","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","40db3683-3d4b-4b69-9aa8-55e74e8e9a48","BiomedicalConceptProperty_44","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","d8c34e4b-546e-4666-aa5b-42fb555cc551","BiomedicalConceptProperty_45","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","7cc0c643-3049-4e44-b2e6-008b54598d6f","BiomedicalConceptProperty_46","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","09c0ab7b-306e-4ec9-a446-e58d7ca5aaba","BiomedicalConceptProperty_47","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","49708c46-6bdb-4d0d-b9cc-e8a5bf3b7c03","BiomedicalConceptProperty_48","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","4d0fe74e-f4ac-41d1-80f7-9d12abc5a66e","BiomedicalConceptProperty_49","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","bae13209-7122-4f11-88db-3a2e98a2733b","BiomedicalConceptProperty_50","string","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","a0428f6e-b009-4126-bc01-469b4ef0f53b","BiomedicalConceptProperty_51","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Concentration","True","f4edf425-3ca3-4e57-b85a-12213359fcca","BiomedicalConceptProperty_52","string","BiomedicalConceptProperty","True","Unit of Concentration"
"Biospecimen Type","True","d7a43241-0e88-46b4-addc-662f8fef882a","BiomedicalConceptProperty_53","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","9e55acf9-cb34-49b7-a2b9-264a2e369bc9","BiomedicalConceptProperty_54","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","9f561740-a22a-4dc4-9ae8-43c9ce201e91","BiomedicalConceptProperty_55","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Molarity Unit","True","8021b7a6-cfd8-453a-ae71-3f0326d3c993","BiomedicalConceptProperty_56","string","BiomedicalConceptProperty","True","Molarity Unit"
"Biospecimen Type","True","40aa5b63-5902-4a88-acc2-2d4f359e1535","BiomedicalConceptProperty_57","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","23fd99b9-5e63-4276-ae82-473570980c8e","BiomedicalConceptProperty_58","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","59edc36b-8cb6-4210-a3ac-dd23cabff862","BiomedicalConceptProperty_59","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Molarity Unit","True","ef8e4def-c3c9-4d6c-a705-074ec6d52c86","BiomedicalConceptProperty_60","string","BiomedicalConceptProperty","True","Molarity Unit"
"Biospecimen Type","True","1817fd85-d447-4e48-9d28-d74d57eb3fff","BiomedicalConceptProperty_61","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Vital Signs Result","True","7ac7a366-28ba-4546-927c-0741e319490d","BiomedicalConceptProperty_62","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","889d4ca2-80be-4a0b-95e0-8e5f01d6d468","BiomedicalConceptProperty_63","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","89a03787-31f4-4dbf-8da9-5cb8bcbbf02d","BiomedicalConceptProperty_64","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","cb893581-f6fd-489e-8737-dd7fee08374c","BiomedicalConceptProperty_65","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","7e5ad09e-5438-4394-a534-8d087cab50b7","BiomedicalConceptProperty_66","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","0ed6da96-9951-46e0-90f6-40272bbe3ccc","BiomedicalConceptProperty_67","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","b7cecd6f-5ee7-4c8a-9b0c-3376c29023b0","BiomedicalConceptProperty_68","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","0132075b-328b-4b5c-9aba-fd71c3052395","BiomedicalConceptProperty_69","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","6cb62d69-1d4e-486c-802e-2179e0837862","BiomedicalConceptProperty_70","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","be4c7092-f6c3-45be-a057-3916e4be9ee5","BiomedicalConceptProperty_71","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","bbd6636c-d547-45b1-97e0-4a6be658fda2","BiomedicalConceptProperty_72","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","9d9c2623-3471-4def-87e6-83e391c78377","BiomedicalConceptProperty_73","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","05bc179b-39d6-4e39-96e9-98fb32395be6","BiomedicalConceptProperty_74","integer","BiomedicalConceptProperty","True","Vital Signs Result"
"Count per Minute","True","11251b6c-bf57-462d-be40-8cbce150f588","BiomedicalConceptProperty_75","string","BiomedicalConceptProperty","True","Count per Minute"
"Vital Signs Location","True","85b2f160-b922-40e2-8859-32b05e45aeee","BiomedicalConceptProperty_76","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","ac1901af-6cf3-41a4-9939-e371d70e9b3f","BiomedicalConceptProperty_77","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","07616400-4777-4167-81ec-1069ad9406e1","BiomedicalConceptProperty_78","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","97c8d1ab-d75f-45ea-9c9d-21d0936124ac","BiomedicalConceptProperty_79","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","390dd38a-504e-4809-be3f-8bf8a859e332","BiomedicalConceptProperty_80","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","b1ed9ca0-6bc8-4131-bc01-7878bcd45d87","BiomedicalConceptProperty_81","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","c491cd2c-b3be-470b-a294-f10bce09a775","BiomedicalConceptProperty_82","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","93d178f3-081a-4059-b394-eb4bd2094f0b","BiomedicalConceptProperty_83","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","ce909fda-cf6a-4cd7-810e-886915c75291","BiomedicalConceptProperty_84","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","cb163ba3-4113-406c-b610-293c36765236","BiomedicalConceptProperty_85","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","c50ba576-799a-471c-bdbd-4b2365d64169","BiomedicalConceptProperty_86","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Pressure","True","6c8f51cc-f611-4b7f-8d1e-21f7dbb2669e","BiomedicalConceptProperty_87","string","BiomedicalConceptProperty","True","Unit of Pressure"
"Vital Signs Location","True","697761d2-6a6a-4ac3-a300-e225bd9f4d4d","BiomedicalConceptProperty_88","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","c04d803d-87fd-49d0-bfd0-c9fed34f7f1c","BiomedicalConceptProperty_89","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","c52a876f-d74f-4b0b-a4e6-8ab69caab297","BiomedicalConceptProperty_90","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","d07fc7ca-0def-4751-9f48-ae402a81141c","BiomedicalConceptProperty_91","string","BiomedicalConceptProperty","True","Vital Signs Position"
"Vital Signs Result","True","dfdd3b07-1d02-48d1-9fe5-ec5afb10187a","BiomedicalConceptProperty_92","integer","BiomedicalConceptProperty","True","Vital Signs Result"
"Count per Minute","True","69b95a9b-38c3-49b5-90d1-8a01d541462a","BiomedicalConceptProperty_93","string","BiomedicalConceptProperty","True","Count per Minute"
"Vital Signs Location","True","d052237a-bb82-4410-aa55-4b7c6c96ea3f","BiomedicalConceptProperty_94","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Laterality","True","9d89a1ef-62cc-4895-940e-74d5c74af386","BiomedicalConceptProperty_95","string","BiomedicalConceptProperty","True","Vital Signs Laterality"
"Test Method","True","c7c20d4c-b77a-4877-8df9-2f0d4105e7a7","BiomedicalConceptProperty_96","string","BiomedicalConceptProperty","True","Test Method"
"Vital Signs Position","True","81adcbfc-c576-4d27-97f6-f22fce67818a","BiomedicalConceptProperty_97","string","BiomedicalConceptProperty","True","Vital Signs Position"
