"synonyms","id","reference","instanceType","uuid:ID","label","name"
"['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","928537ef-5cab-4896-98c5-5450f3eb441f","Adverse Event Prespecified","Adverse Event Prespecified"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","1ac34e51-84a3-4552-9dff-77235cccd3e3","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","94c5fe27-65e1-4258-b75d-c8e987713d66","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Temperature', 'Body Temperature']","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","c7862a4c-4396-4a7b-b2e9-9bf948a55426","Temperature","Temperature"
"['Weight', 'Body Weight']","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","102e6b21-4618-4ae8-be7a-dfee9c3e8b98","Weight","Weight"
"['Height', 'Body Height']","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","fd58715e-29dd-45fb-a281-2df29ababe6a","Height","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","4a5d1711-c110-4e63-acdd-fba8167289b8","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","3a89c412-911b-4eda-94b7-5653c7e95c44","Albumin Presence in Urine","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","71377341-f19b-418e-8753-7be4ebd1b438","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","bf02397e-6dd3-49c7-bdd7-2cc386b4df2a","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","e4415128-8106-4f42-ae0b-89965b02fc73","Creatinine Concentration in Urine","Creatinine Concentration in Urine"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","2ab9e651-ddbf-4091-8431-fb31e81984eb","Potassium Concentration in Urine","Potassium Concentration in Urine"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","a42dbb26-6e85-49fb-8560-4deb9ea01836","Sodium Concentration in Urine","Sodium Concentration in Urine"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","7ff12547-4d30-4332-95b0-2dd5f432a8db","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","37b2f839-981e-4e18-bc69-164c1f10950a","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Heart Rate']","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","5113dcf9-672a-4b82-9921-bdb6fec60396","Heart Rate","Heart Rate"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","4cb0599a-eb9b-4a2a-a818-21543ed72f8a","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","ceb7af29-c2d3-423d-b152-145fed40dd1b","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Heart Rate']","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","a0abf860-db14-425b-9d8f-9df08d17e216","Heart Rate","Heart Rate"
