"uuid:ID","synonyms","name","reference","id","instanceType","label"
"4b29f0bc-6774-423e-ae68-658a235ad23d","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"3a7b2304-f236-4c00-9f93-cbe26dab4a9e","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","BiomedicalConcept","Creatinine Measurement"
"1fe43ef5-80f6-4d66-91aa-91b83279db06","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","BiomedicalConcept","Potassium Measurement"
"f1c9f881-80cd-4046-bb4a-474185e5d56c","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","BiomedicalConcept","Sodium Measurement"
"4fceae69-aa6b-4ce4-b4c9-025a130f0a6f","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure"
"3f703a2c-1829-4c32-a654-e144c4aa76da","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure"
"c9383ddf-65d6-475a-be0a-f26451e54daf","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","BiomedicalConcept","Heart Rate"
"e3d4ee37-15c2-4728-902e-37352dfb9b1d","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure"
"57e58d1b-0800-4e59-a1ec-716b22f5db4d","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure"
"50e96715-ddd4-4e94-8cfb-f9cff2b3f20e","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","BiomedicalConcept","Heart Rate"
