"sectionTitle","uuid:ID","text","sectionNumber","id","name"
"Screen Failures","4a1e13dc-5032-485d-b986-3ac1f19b65f8","<div></div>","5.6","NarrativeContent_30","SECTION 5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","13c81d60-86cb-4ee8-a504-97dad3369291","<div></div>","6","NarrativeContent_31","SECTION 6"
"Description of Trial Intervention","464f8a7a-1423-4fa0-9017-5c2b27a153a5","<div></div>","6.1","NarrativeContent_32","SECTION 6.1"
"Rationale for Trial Intervention","310abbcc-3820-4552-853b-fa2952eb5b8c","<div></div>","6.2","NarrativeContent_33","SECTION 6.2"
"Dosing and Administration","8e697f4b-e06e-4f59-af3b-f00ad934fa25","<div></div>","6.3","NarrativeContent_34","SECTION 6.3"
"Trial Intervention Dose Modification","6ce90261-ede8-4042-948a-f3c2a1c5ac11","<div></div>","6.3.1","NarrativeContent_35","SECTION 6.3.1"
"Treatment of Overdose","a75c41ca-1fbf-4e69-b525-96783c44bd05","<div></div>","6.4","NarrativeContent_36","SECTION 6.4"
"Preparation, Handling, Storage and Accountability","098531fe-8a6a-4169-aa4c-1eb4a204af9a","<div></div>","6.5","NarrativeContent_37","SECTION 6.5"
"Preparation of Trial Intervention","c411e151-4831-427e-8aa2-f9dc98372ccc","<div></div>","6.5.1","NarrativeContent_38","SECTION 6.5.1"
"Handling and Storage of Trial Intervention","6f5ec657-aa32-4a61-9079-7e0070a14d35","<div></div>","6.5.2","NarrativeContent_39","SECTION 6.5.2"
"Accountability of Trial Intervention","c6d16a7c-4856-4e94-9483-c4f1bf6587f1","<div></div>","6.5.3","NarrativeContent_40","SECTION 6.5.3"
"Participant Assignment, Randomisation and Blinding","a2380963-6e13-48ff-ae70-cbd44ca5c3da","<div></div>","6.6","NarrativeContent_41","SECTION 6.6"
"Participant Assignment","fed477ab-f638-4b66-9aa0-ee67b92c411f","<div></div>","6.6.1","NarrativeContent_42","SECTION 6.6.1"
"Randomisation","2cf21ca0-2f12-4beb-a6ca-0d7a1cbfebb1","<div></div>","6.6.2","NarrativeContent_43","SECTION 6.6.2"
"Blinding and Unblinding","96082dce-ffd3-4559-b5a9-e3d5c837a2a3","<div><p>Blinding and unblinding text here please</p></div>","6.6.3","NarrativeContent_44","SECTION 6.6.3"
"Trial Intervention Compliance","5a4425f1-eb79-4953-a2a9-aa781a8bbb28","<div></div>","6.7","NarrativeContent_45","SECTION 6.7"
"Concomitant Therapy","ee3f3a8d-69a8-4557-8d32-d21724082d4a","<div></div>","6.8","NarrativeContent_46","SECTION 6.8"
"Prohibited Concomitant Therapy","8e9198c2-8015-4762-aae9-6e8021f7b460","<div></div>","6.8.1","NarrativeContent_47","SECTION 6.8.1"
"Permitted Concomitant Therapy","792f26dd-7fd4-42e5-9e26-48e4ba81a2c0","<div></div>","6.8.2","NarrativeContent_48","SECTION 6.8.2"
"Rescue Therapy","1a0cf96a-d20d-496b-a7e3-ee90df070243","<div></div>","6.8.3","NarrativeContent_49","SECTION 6.8.3"
"Other Therapy","8a142f04-f442-4e8d-b2aa-9d0f8b87170a","<div></div>","6.8.4","NarrativeContent_50","SECTION 6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","71c2ba25-8059-44e6-8d5e-d1226b4f5d17","<div></div>","7","NarrativeContent_51","SECTION 7"
"Discontinuation of Trial Intervention","6e884d78-7ef1-4d75-a610-47e442d2e1b8","<div></div>","7.1","NarrativeContent_52","SECTION 7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","f66e5b7c-a248-4226-92e7-c3facf63e4dd","<div></div>","7.1.1","NarrativeContent_53","SECTION 7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","9876eec6-9352-48df-81a0-584f16cc9694","<div></div>","7.1.2","NarrativeContent_54","SECTION 7.1.2"
"Rechallenge","9ad3b09c-e547-45cd-9d60-9b4279b8ca9f","<div></div>","7.1.3","NarrativeContent_55","SECTION 7.1.3"
"Participant Withdrawal from the Trial","66fc15af-a14c-4898-83ee-f0a6bb708cdc","<div></div>","7.2","NarrativeContent_56","SECTION 7.2"
"Lost to Follow-Up","e60b5b27-f148-4764-bdca-dde959ca9bef","<div></div>","7.3","NarrativeContent_57","SECTION 7.3"
"Trial Stopping Rules","af10ab85-735b-49c3-b585-8a6cdc81ecfb","<div></div>","7.4","NarrativeContent_58","SECTION 7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","b05d1124-7347-4e24-a3e4-f3d8955f1769","<div></div>","8","NarrativeContent_59","SECTION 8"
"Screening/Baseline Assessments and Procedures","e96c09d8-b42b-4e42-827a-4f89907958ed","<div></div>","8.1","NarrativeContent_60","SECTION 8.1"
"Efficacy Assessments and Procedures","3b69a915-8f87-4430-b46a-0c027d862265","<div></div>","8.2","NarrativeContent_61","SECTION 8.2"
"Safety Assessments and Procedures","19de006d-987d-4a82-932c-02def3b9e95b","<div></div>","8.3","NarrativeContent_62","SECTION 8.3"
"Physical Examination","66456631-205c-487d-be1e-8243dd686a0e","<div></div>","8.3.1","NarrativeContent_63","SECTION 8.3.1"
"Vital Signs","3761b842-5bf8-40f2-8f62-c24e6f9422a1","<div></div>","8.3.2","NarrativeContent_64","SECTION 8.3.2"
"Electrocardiograms","ed1751b3-beb9-44c2-ba65-56e6d812ba3a","<div></div>","8.3.3","NarrativeContent_65","SECTION 8.3.3"
"Clinical Laboratory Assessments","fbc404ef-e263-42f3-b44a-a6f1e52a1500","<div></div>","8.3.4","NarrativeContent_66","SECTION 8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","91cef50a-7882-4d6c-af1b-e192ae2ecfc9","<div></div>","8.3.5","NarrativeContent_67","SECTION 8.3.5"
"Adverse Events and Serious Adverse Events","583cb644-d783-4b6b-be02-0e4588bb7e1e","<div></div>","8.4","NarrativeContent_68","SECTION 8.4"
"Definitions of AE and SAE","6cd0483a-3d8e-4185-b49c-85b9430b0a14","<div></div>","8.4.1","NarrativeContent_69","SECTION 8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","e2e8dcb6-88d6-4ecb-80d5-2b50adb3eb6a","<div></div>","8.4.2","NarrativeContent_70","SECTION 8.4.2"
"Identifying AEs and SAEs","9de82555-8d92-4469-a296-dc50279a8a6c","<div></div>","8.4.3","NarrativeContent_71","SECTION 8.4.3"
"Recording of AEs and SAEs","8f97da98-c122-4f66-aac5-d2af538bfbb0","<div></div>","8.4.4","NarrativeContent_72","SECTION 8.4.4"
"Follow-up of AEs and SAEs","a9f422fd-96e6-470c-acde-226acd222d95","<div></div>","8.4.5","NarrativeContent_73","SECTION 8.4.5"
"Reporting of SAEs","4b8d4ecd-39fb-435a-bd48-6e5ee8fbbd25","<div></div>","8.4.6","NarrativeContent_74","SECTION 8.4.6"
"Regulatory Reporting Requirements for SAEs","0875a06e-2260-4e7d-9004-15e8cda42a12","<div></div>","8.4.7","NarrativeContent_75","SECTION 8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","8be05a5c-d981-4758-9abf-94e673583483","<div></div>","8.4.8","NarrativeContent_76","SECTION 8.4.8"
"Adverse Events of Special Interest","8b8243f4-09b5-4d5e-94e8-5f1a172b9307","<div></div>","8.4.9","NarrativeContent_77","SECTION 8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","1179d4e9-9f10-4bc7-a72a-35d3a164cb67","<div></div>","8.4.10","NarrativeContent_78","SECTION 8.4.10"
"Pregnancy and Postpartum Information","1f3efa1b-aacb-4fd5-8925-36b645f8c72a","<div></div>","8.5","NarrativeContent_79","SECTION 8.5"
"Participants Who Become Pregnant During the Trial","7940a257-50ce-4a30-9d5a-75ad2809a574","<div></div>","8.5.1","NarrativeContent_80","SECTION 8.5.1"
"Participants Whose Partners Become Pregnant","9c02dc1a-2758-4ccf-83af-8194098d3ca1","<div></div>","8.5.2","NarrativeContent_81","SECTION 8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","b012bb45-3a8f-49f0-a747-011d7cb1b816","<div></div>","8.6","NarrativeContent_82","SECTION 8.6"
"Definition of Medical Device Product Complaints","5a1b4119-4d07-4229-8935-b0c8b6d9f35f","<div></div>","8.6.1","NarrativeContent_83","SECTION 8.6.1"
"Recording of Medical Device Product Complaints","18680490-099e-4157-9e8c-abf357b3e442","<div></div>","8.6.2","NarrativeContent_84","SECTION 8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","69f37d5e-09f6-476d-8eb4-32015b6419c0","<div></div>","8.6.3","NarrativeContent_85","SECTION 8.6.3"
"Follow-Up of Medical Device Product Complaints","22612326-6cd7-41bf-befd-ffa8098ce9c5","<div></div>","8.6.4","NarrativeContent_86","SECTION 8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","daa95195-d0e7-4489-bd3b-621b2e0c0a2e","<div></div>","8.6.5","NarrativeContent_87","SECTION 8.6.5"
"Pharmacokinetics","42f634c8-fcf4-4fd5-b8af-07f75dea3abc","<div></div>","8.7","NarrativeContent_88","SECTION 8.7"
"Genetics","38c14afc-cf1a-41e1-8a24-a172b2ad036e","<div></div>","8.8","NarrativeContent_89","SECTION 8.8"
"Biomarkers","a0ae6247-aa30-4dab-960d-579631eedff1","<div></div>","8.9","NarrativeContent_90","SECTION 8.9"
"Immunogenicity Assessments","a0b96d90-c174-4e91-8745-3d48d9caeec3","<div></div>","8.1","NarrativeContent_91","SECTION 8.1"
"Medical Resource Utilisation and Health Economics","7eb30ca3-8dd7-43a9-b142-a234b931ca6c","<div></div>","8.1.1","NarrativeContent_92","SECTION 8.1.1"
"STATISTICAL CONSIDERATIONS","ec58fa86-e785-4178-940f-57e6f30ff470","<div></div>","9","NarrativeContent_93","SECTION 9"
"Analysis Sets","5be82a98-dc2d-49fb-af46-e46b79c4f904","<div></div>","9.1","NarrativeContent_94","SECTION 9.1"
"Analyses Supporting Primary Objective(s)","c9109362-0f49-46b6-ba29-0f5d14756959","<div></div>","9.2","NarrativeContent_95","SECTION 9.2"
"Statistical Model, Hypothesis, and Method of Analysis","8b3c4d9a-3949-4930-a42f-d73e5cb2d219","<div></div>","9.2.1","NarrativeContent_96","SECTION 9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","4fc7026e-a66c-4e38-b62f-e287806f5066","<div></div>","9.2.2","NarrativeContent_97","SECTION 9.2.2"
"Handling of Missing Data","3a0513b7-72c2-4add-9613-03a051694cf2","<div></div>","9.2.3","NarrativeContent_98","SECTION 9.2.3"
"Sensitivity Analysis","b35a1b65-a150-40ec-aa55-81b21a592849","<div></div>","9.2.4","NarrativeContent_99","SECTION 9.2.4"
"Supplementary Analysis","c3974689-700b-481b-8790-3cd26180b2a5","<div></div>","9.2.5","NarrativeContent_100","SECTION 9.2.5"
"Analysis Supporting Secondary Objective(s)","adce6dab-8c32-4c9d-b921-edfc3be20095","<div></div>","9.3","NarrativeContent_101","SECTION 9.3"
"Analysis of Exploratory Objective(s)","dad6a2a0-7e1a-4f24-b632-0ee98c7cbb90","<div></div>","9.4","NarrativeContent_102","SECTION 9.4"
"Safety Analyses","ba353422-fae4-496e-b6f5-2ce8835ad845","<div></div>","9.5","NarrativeContent_103","SECTION 9.5"
"Other Analyses","5bb3298f-fbc0-4891-a595-3349c4e6a82b","<div></div>","9.6","NarrativeContent_104","SECTION 9.6"
"Interim Analyses","aa2e1546-b6ca-4fdf-9012-284a55596c1f","<div></div>","9.7","NarrativeContent_105","SECTION 9.7"
"Sample Size Determination","c1e878c4-e271-4fee-8728-f8f57a4e0b9f","<div></div>","9.8","NarrativeContent_106","SECTION 9.8"
"Protocol Deviations","e9863d17-5fd5-4f42-b9f3-2b942083b2b7","<div></div>","9.9","NarrativeContent_107","SECTION 9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","45fad50c-bd6a-4237-b973-2a83899cef7c","<div></div>","10","NarrativeContent_108","SECTION 10"
"Regulatory and Ethical Considerations","3b00ef41-9d8f-499b-b914-fdf5d6235a98","<div></div>","10.1","NarrativeContent_109","SECTION 10.1"
"Committees","1fa25e1c-0ea1-4cee-a3a0-91c39777e7a7","<div></div>","10.2","NarrativeContent_110","SECTION 10.2"
"Informed Consent Process","8db8c70b-713a-4550-b825-fcf3d5115520","<div></div>","10.3","NarrativeContent_111","SECTION 10.3"
"Data Protection","37dd4b60-99c2-402b-8327-a4060b87babd","<div></div>","10.4","NarrativeContent_112","SECTION 10.4"
"Early Site Closure or Trial Termination","516c8ebb-ec16-4211-a0ea-a0b4ae37bfda","<div></div>","10.5","NarrativeContent_113","SECTION 10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","63ef7a87-5631-452c-a76b-8cdf4b2ecc43","<div></div>","11","NarrativeContent_114","SECTION 11"
"Quality Tolerance Limits","29e59aad-9fcb-4237-94c8-ce39f9c3417c","<div></div>","11.1","NarrativeContent_115","SECTION 11.1"
"Data Quality Assurance","25651065-1a99-4dce-893a-cc39c7e57cb5","<div></div>","11.2","NarrativeContent_116","SECTION 11.2"
"Source Data","8d186764-c6b4-4d4c-a874-610e17e3f5e1","<div></div>","11.3","NarrativeContent_117","SECTION 11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","f88b3576-c222-48cd-b977-953bf5812976","<div></div>","12","NarrativeContent_118","SECTION 12"
"Further Details and Clarifications on the AE Definition","1e074752-e652-41c1-8561-f82ed5f4a1b8","<div></div>","12.1","NarrativeContent_119","SECTION 12.1"
"Further Details and Clarifications on the SAE Definition","24978ce1-3573-4aa0-9eeb-26bc58b24a07","<div></div>","12.2","NarrativeContent_120","SECTION 12.2"
"Severity","d411b58b-d9e5-4ffd-bf3a-0311b70c1fc8","<div></div>","12.3","NarrativeContent_121","SECTION 12.3"
"Causality","bcba6379-0e0b-44c7-981f-f808a41ec10f","<div></div>","12.4","NarrativeContent_122","SECTION 12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","301bd066-3b83-4bfc-85e7-07e6390cf6ee","<div></div>","13","NarrativeContent_123","SECTION 13"
"Contraception and Pregnancy Testing","8bb8fa7f-fb7a-4f2a-b3bc-19a0cf1249b9","<div></div>","13.1","NarrativeContent_124","SECTION 13.1"
"Definitions Related to Childbearing Potential","bd7669f8-9d58-4b6f-9542-dce8d0fae65b","<div></div>","13.1.1","NarrativeContent_125","SECTION 13.1.1"
"Contraception","7cb1aec6-a9d7-4481-980b-95ac5d3fb10f","<div></div>","13.1.2","NarrativeContent_126","SECTION 13.1.2"
"Pregnancy Testing","ab752710-7fef-49ba-a13d-96183ca166d6","<div></div>","13.1.3","NarrativeContent_127","SECTION 13.1.3"
"Clinical Laboratory Tests","5f715572-44b0-42bb-851a-995b52cc82c9","<div></div>","13.2","NarrativeContent_128","SECTION 13.2"
"Country/Region-Specific Differences","bb5e3129-1298-416a-af35-ab9734bc9e63","<div></div>","13.3","NarrativeContent_129","SECTION 13.3"
"Prior Protocol Amendments","dab90a6f-015c-4180-99fc-bf9d6142e52d","<div></div>","13.4","NarrativeContent_130","SECTION 13.4"
"APPENDIX: GLOSSARY OF TERMS","78e5a241-5898-43a4-9b26-3ded42961338","<div></div>","14","NarrativeContent_131","SECTION 14"
"APPENDIX: REFERENCES","10d62e69-510d-49dc-9f44-9785c3ca0590","<div></div>","15","NarrativeContent_132","SECTION 15"
