"reference","instanceType","name","label","synonyms","uuid:ID","id"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","0746d214-7ac2-4327-bdaa-60cfc8044974","BiomedicalConcept_30"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","4130ab2c-8f7d-46f9-a94e-8c1b51e77af8","BiomedicalConcept_31"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","b2d5e9db-da21-40a5-85d1-b5532a5bb8b8","BiomedicalConcept_32"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","56d4d348-b8c8-4185-9e4e-5b166088bf3d","BiomedicalConcept_33"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","51402206-b1d1-4be6-bbe6-e0d0dddf946e","BiomedicalConcept_1"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","c2d59886-7021-48b9-823a-427694a5192a","BiomedicalConcept_2"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","abe63bf5-9e40-423c-95cf-31d0899cf54c","BiomedicalConcept_3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","Temperature","['Temperature', 'Body Temperature']","dd67deda-5a65-430b-b8b6-bb26ffea5741","BiomedicalConcept_4"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","Weight","['Weight', 'Body Weight']","b7fbd1ef-d412-4002-8be8-05b36da4e1e7","BiomedicalConcept_5"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","Height","['Height', 'Body Height']","26d2436b-8707-499a-ab66-12494531c9d0","BiomedicalConcept_6"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","b540605a-7044-4725-964a-041e69f39346","BiomedicalConcept_7"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","7f52d9b3-0a9b-4030-8a03-7f1303bd9e2a","BiomedicalConcept_8"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","08b2124d-ec33-4d0b-86bc-220e0655bd34","BiomedicalConcept_9"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","73181d29-3939-457b-89f9-90c0d1e75ac9","BiomedicalConcept_10"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","e25e0bd3-4e0f-4690-b8c9-cfd8ffdda6c5","BiomedicalConcept_11"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","bdd388dd-24d5-4414-95cf-c1d52a025a19","BiomedicalConcept_12"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","15c01513-4d1a-4d17-bdec-c69abf5d373c","BiomedicalConcept_13"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","c9968232-19f7-490e-a78a-fd3a135efebd","BiomedicalConcept_14"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","f7ce5820-5a0d-4fd2-9f0c-1aea1779a8c1","BiomedicalConcept_15"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","Heart Rate","['Heart Rate']","b0d0970e-7fc6-4f37-9654-2fbd06ae8acd","BiomedicalConcept_16"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","84d17d01-2455-40cc-b400-33b23f5ea6fd","BiomedicalConcept_17"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","9d1cf257-66fa-4d3c-bcd5-50e9b5ae024d","BiomedicalConcept_18"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","Heart Rate","['Heart Rate']","b9eb9ae1-faf5-42c3-94a4-667a33f06a7e","BiomedicalConcept_19"
