"decode","id","codeSystemVersion","instanceType","code","uuid:ID","codeSystem"
"Visit","Code_97","2023-09-29","Code","C25716","6ee2f861-f924-45b7-88e5-a13db09b97da","http://www.cdisc.org"
"Clinic","Code_98","2023-09-29","Code","C51282","810572ea-3d54-445b-87b8-cc80bbbd01f1","http://www.cdisc.org"
"In Person","Code_99","2023-09-29","Code","C175574","1fb5e1c2-b7cc-45e1-9dc2-5cef39854d6e","http://www.cdisc.org"
"Visit","Code_100","2023-09-29","Code","C25716","3406f0bb-72bd-43cb-87cf-042f6ce74cd2","http://www.cdisc.org"
"Clinic","Code_101","2023-09-29","Code","C51282","aae7e3e1-07a1-4bd7-83f3-2296ba00a65d","http://www.cdisc.org"
"In Person","Code_102","2023-09-29","Code","C175574","b1916881-b303-4b2b-bc7b-8d968b0aed16","http://www.cdisc.org"
"Telephone Call","Code_103","2023-09-29","Code","C171537","1d1c78f7-ba13-4cd9-9014-687748487355","http://www.cdisc.org"
"Visit","Code_104","2023-09-29","Code","C25716","b05cd625-a996-4e33-903f-07657d9ebfb2","http://www.cdisc.org"
"Clinic","Code_105","2023-09-29","Code","C51282","2fb948b3-3aa1-4ed2-8a5f-9c07e82bc866","http://www.cdisc.org"
"In Person","Code_106","2023-09-29","Code","C175574","7cb766de-e5e8-4e0a-b4e9-c37768e50e8e","http://www.cdisc.org"
"Telephone Call","Code_107","2023-09-29","Code","C171537","6fd7a179-e30e-481b-b253-291f39c3c4d0","http://www.cdisc.org"
"Visit","Code_108","2023-09-29","Code","C25716","95773330-c3a1-4d30-accb-645d6d606db5","http://www.cdisc.org"
"Clinic","Code_109","2023-09-29","Code","C51282","82586843-af70-4707-92cf-13f16a711cb1","http://www.cdisc.org"
"In Person","Code_110","2023-09-29","Code","C175574","a14f60c7-c867-4775-b1c5-c80213b09230","http://www.cdisc.org"
"Telephone Call","Code_111","2023-09-29","Code","C171537","204f4bd4-aa46-4405-88ed-180ab531f7fe","http://www.cdisc.org"
"Visit","Code_112","2023-09-29","Code","C25716","b1d8fe47-2e25-402b-849f-5f34f9b7d05e","http://www.cdisc.org"
"Clinic","Code_113","2023-09-29","Code","C51282","328c088e-0fdd-40a7-b267-db3e53467b8e","http://www.cdisc.org"
"In Person","Code_114","2023-09-29","Code","C175574","ce02ec38-8de3-4049-8bc7-69a386ad5369","http://www.cdisc.org"
"Telephone Call","Code_115","2023-09-29","Code","C171537","f644c6f4-b92e-4ac8-aa59-fdd27d031de8","http://www.cdisc.org"
"Visit","Code_116","2023-09-29","Code","C25716","5dc8ae51-8c8f-48ba-af7c-d4dfeb0da157","http://www.cdisc.org"
"Clinic","Code_117","2023-09-29","Code","C51282","88e67df9-bec1-418d-9674-af31172b7fdc","http://www.cdisc.org"
"In Person","Code_118","2023-09-29","Code","C175574","13e1a818-7dfe-4330-aa87-d0f8b62d259d","http://www.cdisc.org"
"Visit","Code_119","2023-09-29","Code","C25716","b5a5f60c-4d52-406d-8df6-69e7b95b7fc5","http://www.cdisc.org"
"Clinic","Code_120","2023-09-29","Code","C51282","684f552b-0df1-481c-86d2-f029989d82a9","http://www.cdisc.org"
"In Person","Code_121","2023-09-29","Code","C175574","cf54a4ae-c067-4ae9-b426-48364a56f4e5","http://www.cdisc.org"
"CT of head without contrast","Code_79","January 31, 2018","Code","383371000119108","d8b82d12-ead2-4296-b25b-eb30feaf2fc4","SNOMED"
"Subject Supine","Code_80","12","Code","123","4b13785f-fd03-4969-89c8-2f9c028ccb57","SPONSOR"
"Subject Standing","Code_81","12","Code","124","d23bf31d-8c8e-4e62-833d-b4f79642d0a5","SPONSOR"
"Vital Signs Result","Code_278","","Code","C173522","2ab251a4-d677-4a92-918e-143e32ed8195","NCI Thesaurus"
"Kelvin","Code_279","2023-09-29","Code","C42537","de3c098a-604b-46fd-836a-2974bda9718c","http://www.cdisc.org"
"Unit of Temperature","Code_280","","Code","C44276","35c4c95b-88ee-4835-b2c1-711a1da0fb4c","NCI Thesaurus"
"Vital Signs Location","Code_281","","Code","C83088","d09547a5-be8e-4730-a7a6-cf398e99097e","NCI Thesaurus"
"Body Temperature","Code_277","","Code","C174446","4f68e72e-dc70-43b5-ac99-46ef001f5724","NCI Thesaurus"
"Vital Signs Result","Code_283","","Code","C173522","16e87dd9-d4f0-43fe-83e0-3cc55015e130","NCI Thesaurus"
"Kilogram","Code_284","2023-09-29","Code","C28252","df71991a-abbd-49de-a5a8-ed3633d50afa","http://www.cdisc.org"
"Gram","Code_285","2023-09-29","Code","C48155","e9ed1f6c-4484-498b-8b97-fad68861e381","http://www.cdisc.org"
"Pound","Code_286","2023-09-29","Code","C48531","4327ec95-0870-472b-ad61-9741d24a8187","http://www.cdisc.org"
"Unit of Weight","Code_287","","Code","C48208","f363b915-1797-4e61-b1c2-24d4d7e7601a","NCI Thesaurus"
"Body Weight","Code_282","","Code","C81328","d0d0be95-a771-45d3-b3d7-e4ba0993e0e0","NCI Thesaurus"
"Vital Signs Result","Code_289","","Code","C173522","9ebd7e2d-ba0e-492d-bb79-d2d0bb732551","NCI Thesaurus"
"Centimeter","Code_290","2023-09-29","Code","C49668","bd626440-97e0-45c2-8b7e-7189e47c3382","http://www.cdisc.org"
"Inch","Code_291","2023-09-29","Code","C48500","990f55cb-942c-4b44-bfd6-b4d661e0d01f","http://www.cdisc.org"
"Millimeter","Code_292","2023-09-29","Code","C28251","bcbf6020-963b-486a-9c10-b5949a81a5a3","http://www.cdisc.org"
"Meter","Code_293","2023-09-29","Code","C41139","4c0f4a12-1742-489c-8984-d877e2be2b5d","http://www.cdisc.org"
"Unit of Height","Code_294","","Code","C168688","b135473f-9a91-4991-a7d7-4b68e53cdab5","NCI Thesaurus"
"Body Height","Code_288","","Code","C164634","5b8104ea-6039-4146-b7d8-5076fdb6aa13","NCI Thesaurus"
"Laboratory Test Result","Code_296","","Code","C36292","ad362dc7-ab9f-493a-97a0-1a1497a45be7","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_297","","Code","C83309","61adc6dc-2e18-4d40-bc13-dfa615482738","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_298","","Code","C67365","ee55350d-7c51-4ec6-aee3-b733c525da78","NCI Thesaurus"
"Biospecimen Type","Code_299","","Code","C70713","8a4001f7-0580-4cfe-9ad0-f9a4a277d618","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code_295","","Code","C64433","d3430c82-5bd9-4754-a76c-b14798bec5b6","NCI Thesaurus"
"Laboratory Test Result","Code_301","","Code","C36292","ad2ddd52-0dc9-46ee-93d0-4ef3952e8642","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_302","","Code","C83309","514d7ad6-1097-4633-923c-8e9ce03308ac","NCI Thesaurus"
"Unit of Concentration","Code_303","","Code","C48207","08efe8d9-1a8f-449b-989b-94637afa2d66","NCI Thesaurus"
"Biospecimen Type","Code_304","","Code","C70713","2f33eb73-a421-434c-8e4e-5e4e54f088bf","NCI Thesaurus"
"Albumin Measurement","Code_300","","Code","C64431","d30eb762-bcf5-4087-86ae-f66844f93576","NCI Thesaurus"
"Laboratory Test Result","Code_306","","Code","C36292","074a24b9-5415-4934-a50d-950388a19107","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_307","","Code","C83309","f9d1548f-4180-449c-9456-f36eb71403f4","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_308","","Code","C67365","5e6bbac9-05e3-448e-834b-245a3d9a0a13","NCI Thesaurus"
"Biospecimen Type","Code_309","","Code","C70713","36855dd7-5239-4158-9201-d66aaaad2446","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code_305","","Code","C64432","ca11e487-036b-4393-9744-38db42d07f0f","NCI Thesaurus"
"Laboratory Test Result","Code_311","","Code","C36292","f6d074c1-78c7-4e1c-b5ae-dc1a00c9a0e5","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_312","","Code","C83309","c704fd4b-b77c-4f98-8295-23ec237951de","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_313","","Code","C67365","78036a90-89f0-49ec-9ad1-faef3ebca4e2","NCI Thesaurus"
"Biospecimen Type","Code_314","","Code","C70713","3e019a45-0752-4d64-adbf-db20ea59a80d","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code_310","","Code","C64467","b3ae2260-1254-4628-b457-22bf680c72c7","NCI Thesaurus"
"Laboratory Test Result","Code_316","","Code","C36292","8f6689eb-3bd1-492b-bb6a-1e66461dc62d","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_317","","Code","C83309","f3b9a894-c5d8-422a-87de-b35becc933de","NCI Thesaurus"
"Unit of Concentration","Code_318","","Code","C48207","192edf7c-9430-464a-94a7-9c76cf1d439c","NCI Thesaurus"
"Biospecimen Type","Code_319","","Code","C70713","81446f14-755a-4c4d-8a13-5088e1065495","NCI Thesaurus"
"Creatinine Measurement","Code_315","","Code","C64547","7c28fb9c-5f7c-4458-b24b-23ac37ff9489","NCI Thesaurus"
"Laboratory Test Result","Code_321","","Code","C36292","2873d4da-c4ea-4781-8ebb-ebe275ad5a99","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_322","","Code","C83309","aef0c10e-c769-47d8-be11-dd5c55c19a37","NCI Thesaurus"
"Molarity Unit","Code_323","","Code","C64567","1ab77c6b-8226-49cc-a263-585501c6f751","NCI Thesaurus"
"Biospecimen Type","Code_324","","Code","C70713","5d41c506-9cc4-42da-b3d9-d7c344649c6d","NCI Thesaurus"
"Potassium Measurement","Code_320","","Code","C64853","29205d6c-a67c-4fc4-b43e-0e537bf9cdbf","NCI Thesaurus"
"Laboratory Test Result","Code_326","","Code","C36292","b4ae618e-207e-4a1b-a48a-ae23a8766cfc","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_327","","Code","C83309","75ddb6d2-e40e-4d03-875d-36aaf69d814d","NCI Thesaurus"
"Molarity Unit","Code_328","","Code","C64567","3c01571c-ea72-479d-8594-5ceaead107a6","NCI Thesaurus"
"Biospecimen Type","Code_329","","Code","C70713","707948ca-068c-4e8c-bbdc-412a3737e0ed","NCI Thesaurus"
"Sodium Measurement","Code_325","","Code","C64809","3d575863-b78a-4009-bede-0bac43980dd0","NCI Thesaurus"
"Adverse Event Verbatim Description","Code_145","","Code","C78541","fb683405-f7d4-44c8-9580-82241327f26f","NCI Thesaurus"
"Adverse Event Dictionary Derived Term","Code_146","","Code","C83344","9d62ce20-a18e-4814-bb78-ba96e8c4c916","NCI Thesaurus"
"Adverse Event Category","Code_147","","Code","C83198","78639e8a-92fe-411f-bff2-7bcc76257b04","NCI Thesaurus"
"Adverse Event Subcategory","Code_148","","Code","C83212","4ac81264-b1e5-4053-8d2a-9ee80c686f5b","NCI Thesaurus"
"Adverse Event Pre-specified","Code_149","","Code","C87840","307ba646-03ba-40b0-b870-aba95e9d53c8","NCI Thesaurus"
"Severity of Adverse Event","Code_150","","Code","C53253","79d4f1d8-7be1-4ea0-b66e-cd9785b24255","NCI Thesaurus"
"Adverse Event Toxicity Grade","Code_151","","Code","C78605","5d5cfdcf-1217-4909-b594-18cc1878875b","NCI Thesaurus"
"Seriousness of Adverse Event","Code_152","","Code","C53252","34235f2e-cfbe-48e6-858c-a7c453a8d372","NCI Thesaurus"
"Adverse Event Action Taken with Study Treatment","Code_153","","Code","C83013","0cf48f8d-5aeb-42da-a0d9-b29439885628","NCI Thesaurus"
"Adverse Event Attribution to Product or Procedure","Code_154","","Code","C41358","36030194-e459-4f25-ba1a-3adfc700437d","NCI Thesaurus"
"Intermittent","Code_155","2023-09-29","Code","C71325","feeb454a-0e99-4c63-a467-727e68f62786","http://www.cdisc.org"
"Adverse Event Pattern","Code_156","","Code","C83208","cef7f316-e5e7-47c8-a91f-6d1d7556851a","NCI Thesaurus"
"Adverse Event Outcome","Code_157","","Code","C49489","995b815f-512b-4fbc-9be8-579c9c6398eb","NCI Thesaurus"
"Adverse Event Start Date Time","Code_158","","Code","C83215","9b9c1902-ccc3-4fe4-b36c-ac90725a4f7c","NCI Thesaurus"
"Adverse Event End Date Time","Code_159","","Code","C83201","a7f605a0-3ad6-49f5-917f-984fbcdcb433","NCI Thesaurus"
"Adverse Event","Code_144","","Code","C41331","31a3320e-5bc1-4cc0-b1cc-e4dfa5892996","NCI Thesaurus"
"Vital Signs Result","Code_161","","Code","C173522","d9c316f9-60e5-4433-887b-8b418313fd3e","NCI Thesaurus"
"Pascal","Code_162","2023-09-29","Code","C42547","ffb8d51b-df97-4bf7-afb2-6bf8ddd0a62a","http://www.cdisc.org"
"Unit of Pressure","Code_163","","Code","C49669","375f0d9c-1273-4f4a-9697-038696a1d9dd","NCI Thesaurus"
"Vital Signs Location","Code_164","","Code","C83088","e00e3cfc-6cf8-4a3b-a344-415703a3d84e","NCI Thesaurus"
"Vital Signs Laterality","Code_165","","Code","C123975","21c3efda-7594-41f7-b096-5747c8c08aef","NCI Thesaurus"
"Test Method","Code_166","","Code","C82535","042755e0-d18c-45ba-a428-4616a714b682","NCI Thesaurus"
"Vital Signs Position","Code_167","","Code","C83114","05acd5b6-2400-46e3-b932-c4a7d6c1a264","NCI Thesaurus"
"Systolic Blood Pressure","Code_160","","Code","C25298","22265549-bba6-4108-962d-7c3e25c7ae72","NCI Thesaurus"
"Vital Signs Result","Code_169","","Code","C173522","2815bb26-a0e8-443f-bfd9-e27d0022473f","NCI Thesaurus"
"Pascal","Code_170","2023-09-29","Code","C42547","873b0fb9-bc7e-477a-ad4b-30f31f5d1338","http://www.cdisc.org"
"Unit of Pressure","Code_171","","Code","C49669","76e713ea-7688-4a46-9651-a84601b150c6","NCI Thesaurus"
"Vital Signs Location","Code_172","","Code","C83088","d4f03a99-ca77-4872-8d3f-2ca27ffc69d4","NCI Thesaurus"
"Vital Signs Laterality","Code_173","","Code","C123975","b1cc1321-9eaf-486a-a8de-020f732521ea","NCI Thesaurus"
"Test Method","Code_174","","Code","C82535","ac80d4a4-5704-42ae-b766-8cc7e436059d","NCI Thesaurus"
"Vital Signs Position","Code_175","","Code","C83114","5d5215bc-5598-464c-9ae2-393c01a86f5b","NCI Thesaurus"
"Diastolic Blood Pressure","Code_168","","Code","C25299","37a52548-6b20-43ef-822a-c05bc9e68a91","NCI Thesaurus"
"Vital Signs Result","Code_177","","Code","C173522","26e1022a-f24d-4b18-8b38-8d9e306f83ce","NCI Thesaurus"
"Kelvin","Code_178","2023-09-29","Code","C42537","6264a15b-5571-410e-9537-ea931a8dccfb","http://www.cdisc.org"
"Unit of Temperature","Code_179","","Code","C44276","e287dccf-bf0a-40cb-b325-a96db7eb6382","NCI Thesaurus"
"Vital Signs Location","Code_180","","Code","C83088","a3c1220b-f687-463a-af59-00c8c2f672e2","NCI Thesaurus"
"Body Temperature","Code_176","","Code","C174446","31889c71-6556-47e6-b835-1e284aa8ade8","NCI Thesaurus"
"Vital Signs Result","Code_182","","Code","C173522","e678f9eb-9916-48ea-bab9-70bb17b52764","NCI Thesaurus"
"Kilogram","Code_183","2023-09-29","Code","C28252","448a2978-af73-4a50-b865-e15d4246c93f","http://www.cdisc.org"
"Gram","Code_184","2023-09-29","Code","C48155","2276cea4-8e24-44b8-aa97-fa9ad6277d63","http://www.cdisc.org"
"Pound","Code_185","2023-09-29","Code","C48531","5b61cba4-6191-45ab-b1bb-3d82a0cddab9","http://www.cdisc.org"
"Unit of Weight","Code_186","","Code","C48208","68a28a6f-b263-4057-bfb0-f83e30251b41","NCI Thesaurus"
"Body Weight","Code_181","","Code","C81328","5cef89f8-abb7-44d9-ba06-c604d93297f8","NCI Thesaurus"
"Vital Signs Result","Code_188","","Code","C173522","71f8685a-799b-456c-ac82-f3cd0be9b7d8","NCI Thesaurus"
"Centimeter","Code_189","2023-09-29","Code","C49668","07476a42-40ec-4d85-9771-d610a77b84e5","http://www.cdisc.org"
"Inch","Code_190","2023-09-29","Code","C48500","ba5e353b-410b-4e60-b282-29432c5b3dfc","http://www.cdisc.org"
"Millimeter","Code_191","2023-09-29","Code","C28251","bc5eae0a-92d4-4837-80e1-fb2130ea5f2d","http://www.cdisc.org"
"Meter","Code_192","2023-09-29","Code","C41139","cb96a5fa-e283-49ae-8ba9-110913826d24","http://www.cdisc.org"
"Unit of Height","Code_193","","Code","C168688","2a8a9364-729b-49cf-b795-6e1d1f395f33","NCI Thesaurus"
"Body Height","Code_187","","Code","C164634","8bb19b58-29d6-4302-a54f-2e4d9b2283ef","NCI Thesaurus"
"Laboratory Test Result","Code_195","","Code","C36292","d7f466ec-4488-4c18-8d56-9e3523b87cdf","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_196","","Code","C83309","6af005f1-402a-47ff-81d1-934f0464eb3a","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_197","","Code","C67365","c8ffe230-3e91-4889-8d84-bc53e2f4ac37","NCI Thesaurus"
"Biospecimen Type","Code_198","","Code","C70713","37485a4e-0ff9-4921-811d-768ae595e6a0","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code_194","","Code","C64433","ffb556bf-57ad-4857-a3c1-a5afbf656a6f","NCI Thesaurus"
"Laboratory Test Result","Code_200","","Code","C36292","61341066-ef24-4f76-887f-d77b4e5fa78e","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_201","","Code","C83309","910b894e-7cc7-4d61-911b-a4764816ce60","NCI Thesaurus"
"Unit of Concentration","Code_202","","Code","C48207","89d69e56-6df9-49e0-beeb-22af53492566","NCI Thesaurus"
"Biospecimen Type","Code_203","","Code","C70713","b8762684-dab6-4e4d-967d-8091b30e830f","NCI Thesaurus"
"Albumin Measurement","Code_199","","Code","C64431","63129afc-8470-40f7-8c4d-ffbbcb8c0411","NCI Thesaurus"
"Laboratory Test Result","Code_205","","Code","C36292","6906a66b-3cf0-4cd9-88b1-e21a4f54775b","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_206","","Code","C83309","82c967bf-af5c-4c1a-82bd-aa1e4a7546f1","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_207","","Code","C67365","b358589e-6f97-44ab-b7d3-5a00ffe6186c","NCI Thesaurus"
"Biospecimen Type","Code_208","","Code","C70713","ed227f49-d07e-410e-a561-2d92f99cb5ab","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code_204","","Code","C64432","1623de41-1991-4568-b013-3c64aa52e682","NCI Thesaurus"
"Laboratory Test Result","Code_210","","Code","C36292","bf142f06-81f9-4690-80b9-0869cfe08a64","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_211","","Code","C83309","d7b360f6-f46d-4502-8c78-60e61a261de3","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_212","","Code","C67365","091ed110-f3aa-4fa2-be0d-5f32fe103454","NCI Thesaurus"
"Biospecimen Type","Code_213","","Code","C70713","3e8c298e-288a-4a13-8f01-c990e0667777","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code_209","","Code","C64467","3c8d0185-679a-4521-8a96-58cabd108d36","NCI Thesaurus"
"Laboratory Test Result","Code_215","","Code","C36292","49ab721f-f3ed-4cda-bb1a-a7d8ebbb13c4","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_216","","Code","C83309","98ff4503-336d-4579-bbf2-f6f26e37ec73","NCI Thesaurus"
"Unit of Concentration","Code_217","","Code","C48207","4179f06b-a009-46a3-9dfa-6519c5027da8","NCI Thesaurus"
"Biospecimen Type","Code_218","","Code","C70713","e86e1d43-ac26-4957-a0a4-4f99a1a42716","NCI Thesaurus"
"Creatinine Measurement","Code_214","","Code","C64547","3e70c5d4-2b16-462d-852c-dd08a3d98828","NCI Thesaurus"
"Laboratory Test Result","Code_220","","Code","C36292","13639c2f-ae5a-4022-af2d-ed6fb9ecc3fe","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_221","","Code","C83309","2d265615-7239-4eb6-9a22-b3a8b88dac64","NCI Thesaurus"
"Molarity Unit","Code_222","","Code","C64567","f6be6678-688f-4121-ae02-509542ad9d0b","NCI Thesaurus"
"Biospecimen Type","Code_223","","Code","C70713","3e1b5aee-b9df-4f78-a706-37d83a5f6b21","NCI Thesaurus"
"Potassium Measurement","Code_219","","Code","C64853","1813e2ad-ab90-43f4-b515-a55932c41b1c","NCI Thesaurus"
"Laboratory Test Result","Code_225","","Code","C36292","b3619b2b-b26c-48da-806b-adbe1c461e5d","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_226","","Code","C83309","e78c8f47-060f-4705-bb96-5424c45a56ad","NCI Thesaurus"
"Molarity Unit","Code_227","","Code","C64567","cbdb6a7e-01bf-40e3-bc31-795a86ecbd06","NCI Thesaurus"
"Biospecimen Type","Code_228","","Code","C70713","4b6aa1d4-8838-413f-9fd5-376a53da351f","NCI Thesaurus"
"Sodium Measurement","Code_224","","Code","C64809","bb764579-29fd-4896-89b0-2b221df23dd5","NCI Thesaurus"
"Vital Signs Result","Code_230","","Code","C173522","2afbe7b4-bbd5-49cf-b792-8418a8235baa","NCI Thesaurus"
"Pascal","Code_231","2023-09-29","Code","C42547","47d9de68-d34b-4ada-a46b-4101c48319d2","http://www.cdisc.org"
"Unit of Pressure","Code_232","","Code","C49669","1e1d4096-ae00-42d1-8b19-423fa62cdd40","NCI Thesaurus"
"Vital Signs Location","Code_233","","Code","C83088","1429c5da-6ed7-46b8-9f13-25352656ac1b","NCI Thesaurus"
"Vital Signs Laterality","Code_234","","Code","C123975","ecdc0696-cdf3-425f-b07b-ba3fb2b6f0da","NCI Thesaurus"
"Test Method","Code_235","","Code","C82535","7e5ef523-210c-4b7f-a26a-5247a144e2d7","NCI Thesaurus"
"Vital Signs Position","Code_236","","Code","C83114","528049d5-3012-4b6d-8ba8-1c6f0c931162","NCI Thesaurus"
"Systolic Blood Pressure","Code_229","","Code","C25298","c0fa55a2-8f0f-4f5b-a2f3-8fd30336fb56","NCI Thesaurus"
"Vital Signs Result","Code_238","","Code","C173522","7bea2cd9-a0b8-4fa4-8c55-81488c7f3368","NCI Thesaurus"
"Pascal","Code_239","2023-09-29","Code","C42547","30c06258-32a9-470f-984f-99635a2cc76b","http://www.cdisc.org"
"Unit of Pressure","Code_240","","Code","C49669","12c4e590-adec-4014-8e32-2867f71df78b","NCI Thesaurus"
"Vital Signs Location","Code_241","","Code","C83088","557ddaa4-c631-4558-b5a3-296efbbb2303","NCI Thesaurus"
"Vital Signs Laterality","Code_242","","Code","C123975","ae5b23df-6959-497e-915b-dfd39bd0724f","NCI Thesaurus"
"Test Method","Code_243","","Code","C82535","9e68f3a0-f736-4311-b0f4-0aa40456ce54","NCI Thesaurus"
"Vital Signs Position","Code_244","","Code","C83114","6d24f6c8-f279-492a-9db0-358ae094e8e4","NCI Thesaurus"
"Diastolic Blood Pressure","Code_237","","Code","C25299","840fb6b3-e5cb-4edf-a2b4-8694c8f1e84b","NCI Thesaurus"
"Vital Signs Result","Code_246","","Code","C173522","bba718ac-09bd-44fb-bbfc-2557700ed24e","NCI Thesaurus"
