"synonyms","name","id","label","reference","instanceType","uuid:ID"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","5729172f-ea16-4a88-91fc-940218e3925a"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","ea3d0260-7190-4d5d-9e9d-14da0a2c4958"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","d380c1b8-296b-4407-bf43-42381a6b55f1"
"['Temperature']","Body Temperature","BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","f97ca1a8-e641-40a2-958f-a1efefa96028"
"['Weight']","Body Weight","BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","97be0e5e-5127-4a0f-adc2-cb63e2185327"
"['Height']","Body Height","BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","af897347-1329-4e54-be89-5d5772d8b1ce"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","ee69cb5e-eda5-4df6-ac73-8f9db1bd9b54"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","cf5a9410-9925-4579-b6f3-51802705701c"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","0a2e37e8-1c33-421b-954f-d5dda8d06a94"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","86140d9b-5a19-4722-af19-041a9b5757d6"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","033a59a9-281f-4d4c-86a5-92d9573bedc6"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","d9f5a796-f347-4b4b-9d3a-78675a5a76cd"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","10f4c68f-5e39-4a5d-ad20-c089ed737c16"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","5097b5c2-da86-432a-96df-99485b778b39"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","fa5ec01b-549d-4f87-aadc-f9d2c448b398"
"","Heart Rate","BiomedicalConcept_16","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","42cfe288-93f7-417e-adf0-63728c5221f8"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","05980c6a-b085-48cf-a8ee-c061e7739c06"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","d300e6b7-9387-4337-8f34-ee68785ab7f6"
"","Heart Rate","BiomedicalConcept_19","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","f80398c9-6fab-414a-8735-64081668a287"
