"uuid:ID","label","id","bcSynonyms","name","bcReference"
"52ccd551-b207-454f-8de0-13bfeaf4679f","Adverse Event","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"ab293680-3f99-4782-901c-86532862917f","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"83c83152-49af-44ec-8c48-e48ae53d112c","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"504edde5-cdc9-4456-82e8-eab7bba48113","Body Temperature","BiomedicalConcept_4","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"c3ed107d-0eba-4354-939f-bb03e9e1dc21","Body Weight","BiomedicalConcept_5","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"199d3f7d-a4f8-4a6f-bc95-7373c6c4d340","Body Height","BiomedicalConcept_6","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"f87dd5b8-d897-4180-ac31-7aa93caca2a1","Alanine Aminotransferase Measurement","BiomedicalConcept_7","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"ca843e70-7ec4-479c-8b9d-f7dc80c9f34e","Albumin Measurement","BiomedicalConcept_8","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"d76ada7d-ee85-47c1-8b9e-b1331d557013","Alkaline Phosphatase Measurement","BiomedicalConcept_9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"4fa7fc96-f168-4f18-a121-e692afd57340","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"32fa0bf5-bc87-4d12-8d9b-4c5f7cd35bee","Creatinine Measurement","BiomedicalConcept_11","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"c5dd9b77-de5c-4b88-a80b-fa667e6440ef","Potassium Measurement","BiomedicalConcept_12","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"dd369847-3814-4742-819f-5ee9cf5c1c09","Sodium Measurement","BiomedicalConcept_13","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"f6b8aecd-082e-4537-8b88-654284c528bb","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"2a806b61-6513-45d3-bfe6-5e27efb859df","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"e51281d1-ad34-49da-82a1-0848bfcf3d3b","Systolic Blood Pressure","BiomedicalConcept_16","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"0c656e3e-eeb9-4b27-9974-b49aa7666e15","Diastolic Blood Pressure","BiomedicalConcept_17","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
