"sectionTitle","uuid:ID","id","sectionNumber","name","text"
"Selection of Trial Population","9eb2cec2-016d-4a7e-9517-ca54aa1461f3","NarrativeContent_22","5.1","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"Rationale for Trial Population","6f5567e2-36cd-482d-a817-1c2770236b59","NarrativeContent_23","5.2","SECTION 5.2","<div></div>"
"Inclusion Criteria","27e77554-8d78-426c-b196-580f2d3ab395","NarrativeContent_24","5.3","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>"
"Exclusion Criteria","5c5eacf0-d780-48f3-9ced-61126201a4af","NarrativeContent_25","5.4","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>"
"Lifestyle Considerations","df486dc8-c957-40bc-92c1-df7d42a7aa90","NarrativeContent_26","5.5","SECTION 5.5","<div></div>"
"Meals and Dietary Restrictions","720f5e27-803d-4fd3-b7ab-b96a43a0fc96","NarrativeContent_27","5.5.1","SECTION 5.5.1","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","1dddd190-83da-4571-984d-7aecebca9d5e","NarrativeContent_28","5.5.2","SECTION 5.5.2","<div><p>Not applicable</p></div>"
"Physical Activity","06cb4c80-3816-4e02-81c8-f02b8a5daa0f","NarrativeContent_29","5.5.3","SECTION 5.5.3","<div></div>"
"Other Activity","eba99f2b-07dd-44a0-b87f-4357db02dee1","NarrativeContent_30","5.5.4","SECTION 5.5.4","<div></div>"
"Screen Failures","91b84971-d4ec-47e1-94f0-ae7284dba5d5","NarrativeContent_31","5.6","SECTION 5.6","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","05c6118c-09ac-452e-98e9-53db5c6d58ce","NarrativeContent_32","6","SECTION 6","<div></div>"
"Description of Trial Intervention","138c6cf9-3a6a-4a1a-9567-3aeb4d98c7e9","NarrativeContent_33","6.1","SECTION 6.1","<div></div>"
"Rationale for Trial Intervention","9ce5a023-5e5b-4e6a-89e2-a6abf8a7d043","NarrativeContent_34","6.2","SECTION 6.2","<div></div>"
"Dosing and Administration","c71ca83d-2249-48c0-ae70-35b539e83963","NarrativeContent_35","6.3","SECTION 6.3","<div></div>"
"Trial Intervention Dose Modification","6e187b69-bb15-488c-9b0a-905a4177f953","NarrativeContent_36","6.3.1","SECTION 6.3.1","<div></div>"
"Treatment of Overdose","818592e2-13f6-4e87-82bb-c20b38bc32d8","NarrativeContent_37","6.4","SECTION 6.4","<div></div>"
"Preparation, Handling, Storage and Accountability","6b3482f1-d83a-4567-8840-b34eba3fccd0","NarrativeContent_38","6.5","SECTION 6.5","<div></div>"
"Preparation of Trial Intervention","dfbc9f30-6ed9-4696-a5f6-c5292901b722","NarrativeContent_39","6.5.1","SECTION 6.5.1","<div></div>"
"Handling and Storage of Trial Intervention","351d705e-5477-4ad6-a5d7-593a172dd9d5","NarrativeContent_40","6.5.2","SECTION 6.5.2","<div></div>"
"Accountability of Trial Intervention","3411da83-a4e2-4749-888c-6292f5b17fb9","NarrativeContent_41","6.5.3","SECTION 6.5.3","<div></div>"
"Participant Assignment, Randomisation and Blinding","71d36198-4e84-4be8-88cf-b9911b2a8a50","NarrativeContent_42","6.6","SECTION 6.6","<div></div>"
"Participant Assignment","5cc1545b-6e45-4f35-be39-bd2476b3fd9b","NarrativeContent_43","6.6.1","SECTION 6.6.1","<div></div>"
"Randomisation","301bc64a-e79d-44e1-a64a-8fbd3d47dfb2","NarrativeContent_44","6.6.2","SECTION 6.6.2","<div></div>"
"Blinding and Unblinding","ed84b8e4-948b-4f2c-8696-0404193d5d6f","NarrativeContent_45","6.6.3","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"Trial Intervention Compliance","7361541c-51a9-4f60-ad74-2144cc98745d","NarrativeContent_46","6.7","SECTION 6.7","<div></div>"
"Concomitant Therapy","b6e96a32-5675-4136-931e-14110febaec6","NarrativeContent_47","6.8","SECTION 6.8","<div></div>"
"Prohibited Concomitant Therapy","b9dbf9ff-4a84-4578-8f65-6a7b01bf240c","NarrativeContent_48","6.8.1","SECTION 6.8.1","<div></div>"
"Permitted Concomitant Therapy","a61c1f9b-8c1f-49a5-81df-e9fe13497cae","NarrativeContent_49","6.8.2","SECTION 6.8.2","<div></div>"
"Rescue Therapy","8af6deec-d9cb-4573-a7c7-361f9c1f1df9","NarrativeContent_50","6.8.3","SECTION 6.8.3","<div></div>"
"Other Therapy","7951ce8c-cc4d-475c-94fd-2513f1615ff2","NarrativeContent_51","6.8.4","SECTION 6.8.4","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","00f5d2f1-2f0c-44de-a1ee-0d65f1e093e6","NarrativeContent_52","7","SECTION 7","<div></div>"
"Discontinuation of Trial Intervention","5533662b-0d59-4079-ad25-eedea92d2e5c","NarrativeContent_53","7.1","SECTION 7.1","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","0ed21cb9-2663-44eb-8849-eb74d89996d2","NarrativeContent_54","7.1.1","SECTION 7.1.1","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","06de4715-6aa6-41e1-bfaa-746eef5bcb99","NarrativeContent_55","7.1.2","SECTION 7.1.2","<div></div>"
"Rechallenge","d3ec5d0e-75ad-4914-9306-e24bc14a3de8","NarrativeContent_56","7.1.3","SECTION 7.1.3","<div></div>"
"Participant Withdrawal from the Trial","317c183f-357d-460d-93ec-4f70dd8a62d9","NarrativeContent_57","7.2","SECTION 7.2","<div></div>"
"Lost to Follow-Up","7739ebda-7b42-4c2a-992e-eaa24b37d422","NarrativeContent_58","7.3","SECTION 7.3","<div></div>"
"Trial Stopping Rules","6c11212e-0159-4e56-969d-60ca1c73cee3","NarrativeContent_59","7.4","SECTION 7.4","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","fe1f70a2-6541-487b-aded-4a89a4a1df6a","NarrativeContent_60","8","SECTION 8","<div></div>"
"Screening/Baseline Assessments and Procedures","c201e9ae-f8fe-4ff9-a8ee-170165f7c884","NarrativeContent_61","8.1","SECTION 8.1","<div></div>"
"Efficacy Assessments and Procedures","a8dc9670-fb25-4e44-86b2-a2da6665f9cf","NarrativeContent_62","8.2","SECTION 8.2","<div></div>"
"Safety Assessments and Procedures","693a9eec-82f6-4aeb-8cef-9dbc40adf94c","NarrativeContent_63","8.3","SECTION 8.3","<div></div>"
"Physical Examination","e5783cdb-196c-4a05-8c59-95233a4fa869","NarrativeContent_64","8.3.1","SECTION 8.3.1","<div></div>"
"Vital Signs","642f649b-dad8-485d-ae5a-d146faa6d811","NarrativeContent_65","8.3.2","SECTION 8.3.2","<div></div>"
"Electrocardiograms","65d082f7-9202-4be8-b56f-460697614c3d","NarrativeContent_66","8.3.3","SECTION 8.3.3","<div></div>"
"Clinical Laboratory Assessments","b3438d35-7f4d-4da7-b39d-9ca3ca17016b","NarrativeContent_67","8.3.4","SECTION 8.3.4","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","f4b63d17-b4ed-4ef8-92ee-79e8662d539a","NarrativeContent_68","8.3.5","SECTION 8.3.5","<div></div>"
"Adverse Events and Serious Adverse Events","49c1fe81-e291-414a-b6c5-1c18501ae752","NarrativeContent_69","8.4","SECTION 8.4","<div></div>"
"Definitions of AE and SAE","b54c3cae-ff2b-4565-aa7f-d73d120fda09","NarrativeContent_70","8.4.1","SECTION 8.4.1","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","9b90fec6-74c3-4b59-8e6e-567bdc20cdbd","NarrativeContent_71","8.4.2","SECTION 8.4.2","<div></div>"
"Identifying AEs and SAEs","6c67925b-e0fb-4098-99ea-97311a5e5f46","NarrativeContent_72","8.4.3","SECTION 8.4.3","<div></div>"
"Recording of AEs and SAEs","355925d1-a377-4e57-a641-caf895bbcd44","NarrativeContent_73","8.4.4","SECTION 8.4.4","<div></div>"
"Follow-up of AEs and SAEs","aff05a21-a8db-4db0-b3ff-ed16b999c48c","NarrativeContent_74","8.4.5","SECTION 8.4.5","<div></div>"
"Reporting of SAEs","ca30d339-b41e-4264-8c13-d3d653a09aa9","NarrativeContent_75","8.4.6","SECTION 8.4.6","<div></div>"
"Regulatory Reporting Requirements for SAEs","84aef5bf-8912-42c4-8b70-07256f42f453","NarrativeContent_76","8.4.7","SECTION 8.4.7","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","86ae49d5-1d61-4884-bbc8-d844093e4c85","NarrativeContent_77","8.4.8","SECTION 8.4.8","<div></div>"
"Adverse Events of Special Interest","80a0dce7-b582-4f91-9a5f-d4ced5ccda26","NarrativeContent_78","8.4.9","SECTION 8.4.9","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","f1e94bad-20b0-416b-872d-bef386ef1d43","NarrativeContent_79","8.4.10","SECTION 8.4.10","<div></div>"
"Pregnancy and Postpartum Information","f65abb65-e187-4bb7-8a19-4dbc93ae7e4f","NarrativeContent_80","8.5","SECTION 8.5","<div></div>"
"Participants Who Become Pregnant During the Trial","dabc5348-caf4-43f4-a685-11345bfee295","NarrativeContent_81","8.5.1","SECTION 8.5.1","<div></div>"
"Participants Whose Partners Become Pregnant","e4f745ac-bd10-4c47-b670-73010cb950b5","NarrativeContent_82","8.5.2","SECTION 8.5.2","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","f2881c37-ba43-4f71-b1fb-876dccac377e","NarrativeContent_83","8.6","SECTION 8.6","<div></div>"
"Definition of Medical Device Product Complaints","da8bc60d-0e57-4083-86ca-f19f38d20b7c","NarrativeContent_84","8.6.1","SECTION 8.6.1","<div></div>"
"Recording of Medical Device Product Complaints","39b76dde-2a8c-4d62-aa7c-07ccc0171384","NarrativeContent_85","8.6.2","SECTION 8.6.2","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","b8f21c74-49cf-4168-8242-3e7a2a4223fc","NarrativeContent_86","8.6.3","SECTION 8.6.3","<div></div>"
"Follow-Up of Medical Device Product Complaints","bd9959d8-5cb8-4227-87a2-75401c403c13","NarrativeContent_87","8.6.4","SECTION 8.6.4","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","058acf9d-b48c-412e-830b-f6213a045e51","NarrativeContent_88","8.6.5","SECTION 8.6.5","<div></div>"
"Pharmacokinetics","6228d4a4-c7a7-4195-99fe-b9d49be1d9d1","NarrativeContent_89","8.7","SECTION 8.7","<div></div>"
"Genetics","e9b4ac9d-da19-44c7-8e9b-db7e37fa06cc","NarrativeContent_90","8.8","SECTION 8.8","<div></div>"
"Biomarkers","9d4915c0-c0df-4840-968e-475dc1e61a8f","NarrativeContent_91","8.9","SECTION 8.9","<div></div>"
"Immunogenicity Assessments","7bc012a9-e760-4815-a387-f75df6ae30ca","NarrativeContent_92","8.1","SECTION 8.1","<div></div>"
"Medical Resource Utilisation and Health Economics","46ed2888-5f41-49d2-b00a-e9faf4fa233a","NarrativeContent_93","8.1.1","SECTION 8.1.1","<div></div>"
"STATISTICAL CONSIDERATIONS","e46c4b56-13bc-452e-b106-571e9c6d2877","NarrativeContent_94","9","SECTION 9","<div></div>"
"Analysis Sets","22b25ca3-3779-4fc6-af9d-5a4293687995","NarrativeContent_95","9.1","SECTION 9.1","<div></div>"
"Analyses Supporting Primary Objective(s)","915c007e-fc4f-461d-81d2-b6ac63c2918e","NarrativeContent_96","9.2","SECTION 9.2","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","54a79743-d816-44ae-9772-ab3885b4a933","NarrativeContent_97","9.2.1","SECTION 9.2.1","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","5f215172-ad86-4eec-bf7b-3289eaa12a1b","NarrativeContent_98","9.2.2","SECTION 9.2.2","<div></div>"
"Handling of Missing Data","7b791247-ba6d-41cb-af67-bc83dd7eada6","NarrativeContent_99","9.2.3","SECTION 9.2.3","<div></div>"
"Sensitivity Analysis","817c9f00-5bb9-4be9-8992-4b5a3e2600b2","NarrativeContent_100","9.2.4","SECTION 9.2.4","<div></div>"
"Supplementary Analysis","5bd83e02-1276-4b40-abaf-0fef92cec20f","NarrativeContent_101","9.2.5","SECTION 9.2.5","<div></div>"
"Analysis Supporting Secondary Objective(s)","718007aa-efc6-4654-ac77-e94a3be6808e","NarrativeContent_102","9.3","SECTION 9.3","<div></div>"
"Analysis of Exploratory Objective(s)","cfb31340-d5be-4bed-b3a4-d45a267e63ee","NarrativeContent_103","9.4","SECTION 9.4","<div></div>"
"Safety Analyses","2f19931b-9dd6-40c5-9908-26c3bf0f341f","NarrativeContent_104","9.5","SECTION 9.5","<div></div>"
"Other Analyses","66c01b8a-4e1e-4c2d-be09-708b4eeb11b2","NarrativeContent_105","9.6","SECTION 9.6","<div></div>"
"Interim Analyses","b0c059ab-cb78-4507-b56a-8a148d3ccc32","NarrativeContent_106","9.7","SECTION 9.7","<div></div>"
"Sample Size Determination","2727c489-6092-4977-a9a8-6fcac982175a","NarrativeContent_107","9.8","SECTION 9.8","<div></div>"
"Protocol Deviations","164836dd-50ee-4a98-87b8-24afba915f3a","NarrativeContent_108","9.9","SECTION 9.9","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","cf5febe4-cbc9-412b-89d6-68a2e888c4c8","NarrativeContent_109","10","SECTION 10","<div></div>"
"Regulatory and Ethical Considerations","0ea9f607-9d37-40fb-9e15-54dd409680ee","NarrativeContent_110","10.1","SECTION 10.1","<div></div>"
"Committees","2646bf97-1a9f-4af7-851c-b1fd24acc629","NarrativeContent_111","10.2","SECTION 10.2","<div></div>"
"Informed Consent Process","6e4393f6-bba3-4d4b-8cc2-d30f62cae19a","NarrativeContent_112","10.3","SECTION 10.3","<div></div>"
"Data Protection","c5e9291d-d4fe-45dd-822f-9772c5f33468","NarrativeContent_113","10.4","SECTION 10.4","<div></div>"
"Early Site Closure or Trial Termination","4d5bc6d7-0255-474a-add2-0ff9798a1cc8","NarrativeContent_114","10.5","SECTION 10.5","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","df7a6bc6-abc2-4efc-8e61-8f0a41d96f1e","NarrativeContent_115","11","SECTION 11","<div></div>"
"Quality Tolerance Limits","45dca847-0867-4108-b35e-06d2c12dadbc","NarrativeContent_116","11.1","SECTION 11.1","<div></div>"
"Data Quality Assurance","7ec15c71-423c-4d39-876b-4d70bfac913a","NarrativeContent_117","11.2","SECTION 11.2","<div></div>"
"Source Data","64582672-44e2-4c23-9287-070d90662313","NarrativeContent_118","11.3","SECTION 11.3","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","a6c17aec-42ba-41a0-bb32-d28c79b55c31","NarrativeContent_119","12","SECTION 12","<div></div>"
"Further Details and Clarifications on the AE Definition","44255593-2c19-4aa6-baf4-0904ab295c88","NarrativeContent_120","12.1","SECTION 12.1","<div></div>"
"Further Details and Clarifications on the SAE Definition","5e3382f2-fcc4-4e66-a2ec-026a4ce1d146","NarrativeContent_121","12.2","SECTION 12.2","<div></div>"
"Severity","72bf1f14-8c56-4ed0-aafb-4ffff6b183ed","NarrativeContent_122","12.3","SECTION 12.3","<div></div>"
"Causality","fc52f698-5724-4291-bef6-d5a4c46ded19","NarrativeContent_123","12.4","SECTION 12.4","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","c6edcb11-d1d8-4bcb-96fc-0194ad5f4a68","NarrativeContent_124","13","SECTION 13","<div></div>"
"Contraception and Pregnancy Testing","ee18c221-aacb-4578-9379-7d9713fb4f4c","NarrativeContent_125","13.1","SECTION 13.1","<div></div>"
"Definitions Related to Childbearing Potential","56838415-83be-43db-a3a1-ab94733b5086","NarrativeContent_126","13.1.1","SECTION 13.1.1","<div></div>"
"Contraception","f9ceb668-16cb-445a-87cc-57312e1f0673","NarrativeContent_127","13.1.2","SECTION 13.1.2","<div></div>"
"Pregnancy Testing","5088a88e-0f60-4d80-9817-3394eb549db4","NarrativeContent_128","13.1.3","SECTION 13.1.3","<div></div>"
"Clinical Laboratory Tests","3e534990-2fa0-4be5-af1f-cdc0c2602287","NarrativeContent_129","13.2","SECTION 13.2","<div></div>"
"Country/Region-Specific Differences","65403147-bf8f-41b5-ba14-b5fab2e3124e","NarrativeContent_130","13.3","SECTION 13.3","<div></div>"
"Prior Protocol Amendments","bc8153aa-ef29-4681-8875-3f65f72b1c4d","NarrativeContent_131","13.4","SECTION 13.4","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","9d8a7486-8525-405c-bfaa-f6fe80c50652","NarrativeContent_132","14","SECTION 14","<div></div>"
"APPENDIX: REFERENCES","bb30c354-9a02-452b-bd2f-0458ca9c8a1a","NarrativeContent_133","15","SECTION 15","<div></div>"
