"code","uuid:ID","codeSystem","decode","id","instanceType","codeSystemVersion"
"C82639","2b31df14-f972-4000-956f-979aa801cb77","http://www.cdisc.org","Parallel Study","Code_141","Code","2023-12-15"
"C25716","b73fa931-b487-457e-8721-bf1b0ed68f71","http://www.cdisc.org","Visit","Code_83","Code","2023-12-15"
"C51282","bda3c8e4-5f61-43fb-adac-eac7359743d7","http://www.cdisc.org","Clinic","Code_84","Code","2023-12-15"
"C175574","86bee8fe-1806-4810-ad5c-63f7040177f9","http://www.cdisc.org","In Person","Code_85","Code","2023-12-15"
"C25716","2ab26ca2-f0f2-45df-95f7-13adf562eb7f","http://www.cdisc.org","Visit","Code_86","Code","2023-12-15"
"C51282","a1ad252b-2d72-499b-8fc5-7eca27001a11","http://www.cdisc.org","Clinic","Code_87","Code","2023-12-15"
"C175574","2623e8c5-9dd7-4101-af8f-33a29f58c537","http://www.cdisc.org","In Person","Code_88","Code","2023-12-15"
"C25716","e9c57c92-63f1-401a-bbb3-ef6a18ba01c6","http://www.cdisc.org","Visit","Code_89","Code","2023-12-15"
"C51282","d9bf33a7-0e7b-42c4-bcd2-cb76bb80e986","http://www.cdisc.org","Clinic","Code_90","Code","2023-12-15"
"C175574","ac230c85-44a8-4399-bd02-c6d183a6c957","http://www.cdisc.org","In Person","Code_91","Code","2023-12-15"
"C25716","0bea3675-09d8-48bc-8ec8-4e8d82d8ae4b","http://www.cdisc.org","Visit","Code_92","Code","2023-12-15"
"C51282","557d2760-2e55-4791-bba4-ab412a2e9f83","http://www.cdisc.org","Clinic","Code_93","Code","2023-12-15"
"C175574","cc207922-edf1-48e9-a054-d57ecf8d1307","http://www.cdisc.org","In Person","Code_94","Code","2023-12-15"
"C25716","11587e4f-faf6-48dc-a4f3-c42ce051615b","http://www.cdisc.org","Visit","Code_95","Code","2023-12-15"
"C51282","b0d34177-c7c7-4c38-98de-4e546fac1ff7","http://www.cdisc.org","Clinic","Code_96","Code","2023-12-15"
"C175574","81aa7798-2c6c-4857-b07d-96d467e17b0e","http://www.cdisc.org","In Person","Code_97","Code","2023-12-15"
"C25716","d53ec602-9332-4714-aae1-c08c7ed35409","http://www.cdisc.org","Visit","Code_98","Code","2023-12-15"
"C51282","d13d3060-cc9c-45a9-8273-a0d9dcc0f48f","http://www.cdisc.org","Clinic","Code_99","Code","2023-12-15"
"C175574","cf079419-081d-4eed-b20c-46a221a76bb2","http://www.cdisc.org","In Person","Code_100","Code","2023-12-15"
"C25716","90b57570-dc92-420d-ade2-da49bfe265dc","http://www.cdisc.org","Visit","Code_101","Code","2023-12-15"
"C51282","29e944f1-e276-4863-9a90-14acc9770a2b","http://www.cdisc.org","Clinic","Code_102","Code","2023-12-15"
"C175574","bd4762e3-5480-4df3-97a6-9c5e42ba55a6","http://www.cdisc.org","In Person","Code_103","Code","2023-12-15"
"C171537","7d87d5dd-7ab5-439e-9110-7e626862f877","http://www.cdisc.org","Telephone Call","Code_104","Code","2023-12-15"
"C25716","76d2f65e-cf2b-4fe8-8c38-fb8c88235cd5","http://www.cdisc.org","Visit","Code_105","Code","2023-12-15"
"C51282","63d66b4e-1e4b-4f60-866f-956f3219ab98","http://www.cdisc.org","Clinic","Code_106","Code","2023-12-15"
"C175574","a6b6f679-afbf-418f-8d0e-9703796a555f","http://www.cdisc.org","In Person","Code_107","Code","2023-12-15"
"C171537","e099be94-2a82-40bb-9f5a-3c21a4e6a85a","http://www.cdisc.org","Telephone Call","Code_108","Code","2023-12-15"
"C25716","3783901d-ef6b-4769-b39a-67fe47a9c6aa","http://www.cdisc.org","Visit","Code_109","Code","2023-12-15"
"C51282","a4cf62ed-21fa-4d45-88eb-80024c048fb7","http://www.cdisc.org","Clinic","Code_110","Code","2023-12-15"
"C175574","60efdcfb-8560-48cc-81c0-3a76dc629586","http://www.cdisc.org","In Person","Code_111","Code","2023-12-15"
"C171537","59aef097-c650-4a7b-aeca-af65ec9d68be","http://www.cdisc.org","Telephone Call","Code_112","Code","2023-12-15"
"C25716","34e6496f-e983-427b-aacd-e37d8bd08357","http://www.cdisc.org","Visit","Code_113","Code","2023-12-15"
"C51282","79ee2b64-43f9-4b6d-b5f0-abce6150d198","http://www.cdisc.org","Clinic","Code_114","Code","2023-12-15"
"C175574","15ba59f5-4b1c-4c14-8da0-0bf6ab5c05d7","http://www.cdisc.org","In Person","Code_115","Code","2023-12-15"
"C171537","ad2d6082-a5ff-49e0-8b2f-b2ded6b46a84","http://www.cdisc.org","Telephone Call","Code_116","Code","2023-12-15"
"C25716","b16ebd2d-c763-49ae-8de4-0564d45dbc40","http://www.cdisc.org","Visit","Code_117","Code","2023-12-15"
"C51282","57080e17-3e2a-4d7e-be2e-3803bf4b543b","http://www.cdisc.org","Clinic","Code_118","Code","2023-12-15"
"C175574","e8d832cd-7aae-4c89-8447-6079f7bc4318","http://www.cdisc.org","In Person","Code_119","Code","2023-12-15"
"C25716","58229abf-61b8-4fe3-a55d-0226a368746b","http://www.cdisc.org","Visit","Code_120","Code","2023-12-15"
"C51282","46038b39-d901-4bd0-a18d-a259db6900c2","http://www.cdisc.org","Clinic","Code_121","Code","2023-12-15"
"C175574","8613a293-85d9-452e-9a40-79570f5bcc5d","http://www.cdisc.org","In Person","Code_122","Code","2023-12-15"
"383371000119108","301156cf-7a36-47b4-88dd-35006d07558c","SNOMED","CT of head without contrast","Code_80","Code","January 31, 2018"
"123","c87f90bb-311e-447d-9d4b-7cfb4a1e4e61","SPONSOR","Subject Supine","Code_81","Code","12"
"124","2bd48da9-b2f1-46e9-b9d7-a89424250237","SPONSOR","Subject Standing","Code_82","Code","12"
"C82977","1f0b828b-6f74-47fd-8a64-3e3fb28fcfdd","http://www.cdisc.org","Dictionary-derived Term","Code_429","Code","2023-12-15"
"C82571","8b9b5b09-65b1-428e-bc7e-80152e1c7309","http://www.cdisc.org","Reported Event Term","Code_430","Code","2023-12-15"
"C82517","18a0811d-0f85-4c21-a24f-c9337daf6260","http://www.cdisc.org","Observation Start Date Time","Code_431","Code","2023-12-15"
"C16735","6576814d-ed49-4b43-86e4-bf0c7d51ff2b","http://www.cdisc.org","Informed Consent","Code_432","Code","2023-12-15"
"C20197","eab73960-1820-42a9-a9af-9fc561d146e6","http://www.cdisc.org","Male","Code_433","Code","2023-12-15"
"C16576","770b35a7-b3b2-4b7c-bf23-7cd212762c02","http://www.cdisc.org","Female","Code_434","Code","2023-12-15"
"C28421","320c1df9-fd0a-497d-a06a-405297827cce","http://www.cdisc.org","Sex","Code_435","Code","2023-12-15"
"C28421","fc5a37dd-9a82-41c0-baa6-df1fae786e6f","http://www.cdisc.org","Sex","Code_436","Code","2023-12-15"
"C17049","8c629a10-9f2b-42e6-b1d6-c0f0b7ffcad3","http://www.cdisc.org","Race","Code_437","Code","2023-12-15"
"C17049","efb93d57-bc68-4c17-82da-88c6157e7f64","http://www.cdisc.org","Race","Code_438","Code","2023-12-15"
"C174446","81ea07a7-e198-4c73-8851-8ddaa92bcc59","http://www.cdisc.org","TEMP","Code_439","Code","2023-12-15"
"C77140","1a7ad6bc-1dea-4d8a-a5e3-f32c1446b50f","http://www.cdisc.org","Clinical Test Result","Code_440","Code","2023-12-15"
"C42559","a8424e85-50a9-4ab6-8baf-fa639ebfab13","http://www.cdisc.org","Degree Celsius","Code_441","Code","2023-12-15"
"C44277","eb121fda-da1b-461f-b5c7-410852642627","http://www.cdisc.org","Degree Fahrenheit","Code_442","Code","2023-12-15"
"C42537","faf591c3-738f-4e04-8724-dac3ac78f36a","http://www.cdisc.org","Kelvin","Code_443","Code","2023-12-15"
"C44276","b0e49011-d0e8-49e6-94b3-17abccfb8be1","http://www.cdisc.org","Unit of Temperature","Code_444","Code","2023-12-15"
"C12674","230c5bed-10eb-484a-a146-3dca013a4fd8","http://www.cdisc.org","Axilla","Code_445","Code","2023-12-15"
"C12394","1500bb13-00d8-49f7-82ba-6f32e16c27dc","http://www.cdisc.org","Ear","Code_446","Code","2023-12-15"
"C89803","9c5fb019-262f-40a3-a25b-96bd3988dc8a","http://www.cdisc.org","Forehead","Code_447","Code","2023-12-15"
"C12421","cb2c4d90-3dea-4cef-8c3a-18668df06dfa","http://www.cdisc.org","Oral Cavity","Code_448","Code","2023-12-15"
"C12390","3ba406f5-7fab-4815-9ce8-0af14e9e5047","http://www.cdisc.org","Rectum","Code_449","Code","2023-12-15"
"C13717","7774e2eb-8e33-4472-84b5-52d0a80b6962","http://www.cdisc.org","Anatomic Site","Code_450","Code","2023-12-15"
"C174446","1e4ebe42-dbbd-4915-99b2-5602d2375f32","http://www.cdisc.org","TEMP","Code_451","Code","2023-12-15"
"C25208","36c68d46-0235-49c9-9cfe-cce4172010d8","http://www.cdisc.org","WEIGHT","Code_452","Code","2023-12-15"
"C77140","1c6b3a24-c46b-429e-8b4c-68f0f5f83db6","http://www.cdisc.org","Clinical Test Result","Code_453","Code","2023-12-15"
"C48531","c7300076-6a8a-45a5-afac-4b1ea1a6bee8","http://www.cdisc.org","Pound","Code_454","Code","2023-12-15"
"C48155","f90e6513-d582-42dc-a9ff-8f49fe1b514a","http://www.cdisc.org","Gram","Code_455","Code","2023-12-15"
"C28252","4753f1bd-2c10-465e-96f2-7f425cd3193c","http://www.cdisc.org","Kilogram","Code_456","Code","2023-12-15"
"C48208","b3e2a2c1-13fa-4710-8bab-001e36f6fcbd","http://www.cdisc.org","Unit of Weight","Code_457","Code","2023-12-15"
"C25208","d4374dab-eee4-4304-823d-b58070a612e7","http://www.cdisc.org","WEIGHT","Code_458","Code","2023-12-15"
"C25347","ee060a66-61dc-4094-9eba-90c4fd777d9b","http://www.cdisc.org","HEIGHT","Code_459","Code","2023-12-15"
"C77140","d47720c8-c6f0-497c-8d2a-f5810267b886","http://www.cdisc.org","Clinical Test Result","Code_460","Code","2023-12-15"
"C49668","38ebcb97-beb3-4bff-9100-96fa92914df6","http://www.cdisc.org","Centimeter","Code_461","Code","2023-12-15"
"C48500","d07ec871-4972-4e53-8e4e-014fa83b6022","http://www.cdisc.org","Inch","Code_462","Code","2023-12-15"
"C41139","79e64db7-79de-413b-a759-6a41181daa7d","http://www.cdisc.org","Meter","Code_463","Code","2023-12-15"
"C168688","4555db5b-00ab-4841-a2b3-db9966f60700","http://www.cdisc.org","Unit of Height","Code_464","Code","2023-12-15"
"C25347","f9d937a6-e86d-4afd-a3c4-372bfae1c257","http://www.cdisc.org","HEIGHT","Code_465","Code","2023-12-15"
"C64433","ce1bde61-1d4d-49e8-833e-62839f106f65","http://www.cdisc.org","ALT","Code_466","Code","2023-12-15"
"C36292","0f1ec3da-1044-4ebf-8bd1-1182c96d10a1","http://www.cdisc.org","Laboratory Test Result","Code_467","Code","2023-12-15"
"C67456","b8e9c636-3c34-4d1e-8cf6-bbca0f957bf5","http://www.cdisc.org","Unit per Liter","Code_468","Code","2023-12-15"
"C67397","2d6a584a-db5b-4ab7-be35-60c8338273e7","http://www.cdisc.org","Microkatal per Liter","Code_469","Code","2023-12-15"
"C67376","ba56f098-364f-420f-ae33-f4cb3d98cd3e","http://www.cdisc.org","International Unit per Liter","Code_470","Code","2023-12-15"
"C70510","52990fb5-b51c-467b-865d-2cb1587b7dad","http://www.cdisc.org","Nanokatal per Liter","Code_471","Code","2023-12-15"
"C67365","cc0bf1b6-e72b-4415-ad2a-299fc6d72661","http://www.cdisc.org","Unit of Catalytic Activity Concentration","Code_472","Code","2023-12-15"
"C70713","109f0269-0fa6-481a-91f0-7c4705db6d61","http://www.cdisc.org","Biospecimen Type","Code_473","Code","2023-12-15"
"C49487","7028b540-fdda-42aa-ad0e-c1e0b809d2bd","http://www.cdisc.org","No","Code_474","Code","2023-12-15"
"C49488","ffb70ccc-7801-40bd-af6f-7a8373a8c30d","http://www.cdisc.org","Yes","Code_475","Code","2023-12-15"
"C83309","94dcfa4a-2aa3-4836-8a3f-061cf21aeddc","http://www.cdisc.org","Laboratory Test Fasting Status","Code_476","Code","2023-12-15"
"C64433","580da765-a046-4613-a252-04c86b7dd7ed","http://www.cdisc.org","ALT","Code_477","Code","2023-12-15"
"C64431","e505813d-703c-440a-bb4b-3a292b43e266","http://www.cdisc.org","ALB","Code_478","Code","2023-12-15"
"C36292","80bb1676-674e-4a20-80e6-bdf927ca6597","http://www.cdisc.org","Laboratory Test Result","Code_479","Code","2023-12-15"
"C70713","8cd1388a-c602-4869-904c-b9174d4b0afb","http://www.cdisc.org","Biospecimen Type","Code_480","Code","2023-12-15"
"C49487","bb821ed4-f18e-478a-8d4a-9b7daa293469","http://www.cdisc.org","No","Code_481","Code","2023-12-15"
"C49488","c78443f1-e22b-4819-8e34-7e7fe33933e1","http://www.cdisc.org","Yes","Code_482","Code","2023-12-15"
"C83309","9b0a14cb-3521-4356-b7f8-8b6a7507fbd4","http://www.cdisc.org","Laboratory Test Fasting Status","Code_483","Code","2023-12-15"
"C64431","e9804b01-0793-4dc3-a7eb-2cafd23d3211","http://www.cdisc.org","ALB","Code_484","Code","2023-12-15"
"C64432","14cc0a66-35a5-4780-8de6-fcab14ced23e","http://www.cdisc.org","ALP","Code_485","Code","2023-12-15"
"C36292","34ee0763-72e3-4195-bf72-35bc1f12739e","http://www.cdisc.org","Laboratory Test Result","Code_486","Code","2023-12-15"
"C67456","0943ebe1-ed2f-48be-892f-61aedb55d4cc","http://www.cdisc.org","Unit per Liter","Code_487","Code","2023-12-15"
"C67397","bb93b609-d65b-4c06-bb2b-c5a898447a77","http://www.cdisc.org","Microkatal per Liter","Code_488","Code","2023-12-15"
"C67376","55008983-7142-4107-b3d8-6b21ed003856","http://www.cdisc.org","International Unit per Liter","Code_489","Code","2023-12-15"
"C67365","a2be7f3d-e572-4ef9-b8f8-9f20ab0b52df","http://www.cdisc.org","Unit of Catalytic Activity Concentration","Code_490","Code","2023-12-15"
"C70713","2714fcbb-fe1e-445e-8317-f6cce01eedea","http://www.cdisc.org","Biospecimen Type","Code_491","Code","2023-12-15"
"C49487","289a85ba-2275-4242-a176-f9551d9e9b18","http://www.cdisc.org","No","Code_492","Code","2023-12-15"
"C49488","56613a27-b9af-4a70-8a4f-56d5f32ebfaf","http://www.cdisc.org","Yes","Code_493","Code","2023-12-15"
"C83309","663b213f-e465-4ec6-89db-79d900489949","http://www.cdisc.org","Laboratory Test Fasting Status","Code_494","Code","2023-12-15"
"C64432","4c6a894d-5809-45bd-9f62-c367b97fa442","http://www.cdisc.org","ALP","Code_495","Code","2023-12-15"
"C64467","717bd810-00ec-4095-81a7-b95709496c46","http://www.cdisc.org","AST","Code_496","Code","2023-12-15"
"C36292","75a57104-cb1a-4bf1-8c49-cb2739afb1e7","http://www.cdisc.org","Laboratory Test Result","Code_497","Code","2023-12-15"
"C67456","4ffe77b9-e1bb-42fc-9e5a-3316cd6caf12","http://www.cdisc.org","Unit per Liter","Code_498","Code","2023-12-15"
"C67397","b38c4339-9764-4d9e-8803-815c211e8d9c","http://www.cdisc.org","Microkatal per Liter","Code_499","Code","2023-12-15"
"C67376","496f6dd8-54ad-4bba-a376-ba3cc8ebbbbe","http://www.cdisc.org","International Unit per Liter","Code_500","Code","2023-12-15"
"C67365","cac01cff-c4b4-4a9f-af14-26b8c59cce03","http://www.cdisc.org","Unit of Catalytic Activity Concentration","Code_501","Code","2023-12-15"
"C70713","580a2fe5-d085-4528-8c3c-a56e059587c5","http://www.cdisc.org","Biospecimen Type","Code_502","Code","2023-12-15"
"C49487","b4d2031b-f2a3-42d9-aa73-4883e3a692e3","http://www.cdisc.org","No","Code_503","Code","2023-12-15"
"C49488","1f68e482-9df9-4b56-b318-43a112d73ca7","http://www.cdisc.org","Yes","Code_504","Code","2023-12-15"
"C83309","b1753066-01f8-44bd-a654-98bd423a5bee","http://www.cdisc.org","Laboratory Test Fasting Status","Code_505","Code","2023-12-15"
"C64467","fff9b760-0929-415b-8802-1fd750ccf835","http://www.cdisc.org","AST","Code_506","Code","2023-12-15"
"C64547","6287bc8d-e980-4ae2-9f61-a3cceadb2e0e","http://www.cdisc.org","CREAT","Code_507","Code","2023-12-15"
"C36292","0b007b97-b120-43e7-af30-07f7538f0f8f","http://www.cdisc.org","Laboratory Test Result","Code_508","Code","2023-12-15"
"C67015","8be3e1c3-65ed-4b95-9767-2f54cd832e22","http://www.cdisc.org","Milligram per Deciliter","Code_509","Code","2023-12-15"
"C64572","0c3f4a81-1f9d-47d9-9b1e-79034d9e34e0","http://www.cdisc.org","Microgram per Milliliter","Code_510","Code","2023-12-15"
"C64387","6e3c6b62-ddc3-4ceb-8b4b-f008f6adf410","http://www.cdisc.org","Millimole per Liter","Code_511","Code","2023-12-15"
"C48508","7bef409c-52e1-4881-a0c3-0d95e7211233","http://www.cdisc.org","Micromole per Liter","Code_512","Code","2023-12-15"
"C48207","3dc233fb-8b3d-4d82-b60c-b65d092ea2fe","http://www.cdisc.org","Unit of Concentration","Code_513","Code","2023-12-15"
"C70713","43a2233b-5d0b-4875-afa5-05b2c993aec2","http://www.cdisc.org","Biospecimen Type","Code_514","Code","2023-12-15"
"C49487","c2ef58ba-b940-4055-ad31-a3c413a7cf50","http://www.cdisc.org","No","Code_515","Code","2023-12-15"
"C49488","4e38d038-52a2-4eed-81b4-ac16ce1ce8ed","http://www.cdisc.org","Yes","Code_516","Code","2023-12-15"
"C83309","b449aaba-81de-4fd2-ad70-14ab27d92f19","http://www.cdisc.org","Laboratory Test Fasting Status","Code_517","Code","2023-12-15"
"C64547","ade06129-9f4e-44c6-b67c-a2270281d5b0","http://www.cdisc.org","CREAT","Code_518","Code","2023-12-15"
"C64853","cc754cac-ab28-4b23-b810-434e488a7cf2","http://www.cdisc.org","K","Code_519","Code","2023-12-15"
"C36292","cba91021-2a84-4908-913e-0f808179b6a6","http://www.cdisc.org","Laboratory Test Result","Code_520","Code","2023-12-15"
"C67474","4a9b3c7b-2749-4e84-a1c8-400185582d42","http://www.cdisc.org","Milliequivalent per Liter","Code_521","Code","2023-12-15"
"C67473","f023cbfe-381d-4d62-acfc-d9b34123d9ef","http://www.cdisc.org","Milliequivalent per Deciliter","Code_522","Code","2023-12-15"
"C64387","77964eff-64c7-46f7-a433-be2747a25dd7","http://www.cdisc.org","Millimole per Liter","Code_523","Code","2023-12-15"
"C64567","3b987bae-5c19-40a7-bf95-fe88d2934708","http://www.cdisc.org","Molarity Unit","Code_524","Code","2023-12-15"
"C70713","9e739bb0-a450-41a9-bebf-8b1d7e09f558","http://www.cdisc.org","Biospecimen Type","Code_525","Code","2023-12-15"
"C49487","e8620892-69a9-4c6f-951b-634b9d3d39d5","http://www.cdisc.org","No","Code_526","Code","2023-12-15"
"C49488","ad1e3de0-af3c-4f7b-8047-8b6018106be0","http://www.cdisc.org","Yes","Code_527","Code","2023-12-15"
"C83309","b3ceee55-04c3-491a-acf3-97ccee57344e","http://www.cdisc.org","Laboratory Test Fasting Status","Code_528","Code","2023-12-15"
"C64853","ffe374b9-92f7-4a97-97b5-6553c5568c0d","http://www.cdisc.org","K","Code_529","Code","2023-12-15"
"C64809","1e7c3419-75e8-44fd-b882-f5f5b74490cb","http://www.cdisc.org","SODIUM","Code_530","Code","2023-12-15"
"C36292","8a224f43-f4fc-448a-887e-73b998e2052a","http://www.cdisc.org","Laboratory Test Result","Code_531","Code","2023-12-15"
"C67474","41931e48-9fed-4034-9944-75f3341dc65f","http://www.cdisc.org","Milliequivalent per Liter","Code_532","Code","2023-12-15"
"C67473","355816d5-75b1-47c0-9b81-fbb991a1af76","http://www.cdisc.org","Milliequivalent per Deciliter","Code_533","Code","2023-12-15"
"C64387","633e8d92-b0fa-4e99-b260-c6e3ecd12f5d","http://www.cdisc.org","Millimole per Liter","Code_534","Code","2023-12-15"
"C64567","05c2d6a7-85d0-4fc5-a658-425518a33c7d","http://www.cdisc.org","Molarity Unit","Code_535","Code","2023-12-15"
"C70713","45c24bad-314a-41f2-a811-7ed91413a45c","http://www.cdisc.org","Biospecimen Type","Code_536","Code","2023-12-15"
"C49487","10d27312-d2cc-426f-bc51-ae4dab76b74c","http://www.cdisc.org","No","Code_537","Code","2023-12-15"
"C49488","1fe68c75-e0b0-4936-b9d2-fcb16fc25c52","http://www.cdisc.org","Yes","Code_538","Code","2023-12-15"
"C83309","7ddb8a72-f6fd-4aa6-9148-18ba3f6857c5","http://www.cdisc.org","Laboratory Test Fasting Status","Code_539","Code","2023-12-15"
"C64809","17395174-42b5-4d8e-8f7b-fc8542958be4","http://www.cdisc.org","SODIUM","Code_540","Code","2023-12-15"
"C64849","065d7529-4356-4b0c-a792-148a9732d9b7","http://www.cdisc.org","HBA1C","Code_541","Code","2023-12-15"
"C36292","84154390-dcfa-4590-bab5-0e331fa9816d","http://www.cdisc.org","Laboratory Test Result","Code_542","Code","2023-12-15"
"C64783","da579ac9-03da-4c14-848d-0d049863cfa7","http://www.cdisc.org","Gram per Deciliter","Code_543","Code","2023-12-15"
"No Concept Code","588bcdf2-9ede-479f-8277-2224448fa6ea","http://www.cdisc.org","LBORRESU","Code_544","Code","2023-12-15"
"C70713","35d04152-fe13-4f63-bff0-51177726a904","http://www.cdisc.org","Biospecimen Type","Code_545","Code","2023-12-15"
"C49487","4286f887-fadf-485e-8df5-bf7a2264da67","http://www.cdisc.org","No","Code_546","Code","2023-12-15"
"C49488","ab20c77d-40f8-47e4-99e3-e2ef2276b0c2","http://www.cdisc.org","Yes","Code_547","Code","2023-12-15"
"C83309","f5ca7cad-601e-49d4-a8a6-4e0aea63682d","http://www.cdisc.org","Laboratory Test Fasting Status","Code_548","Code","2023-12-15"
"C64849","be15bf23-09c3-4fc0-b4d5-37004636bac4","http://www.cdisc.org","HBA1C","Code_549","Code","2023-12-15"
"C78541","c6b5d49a-c619-49f8-b932-40413c715533","http://www.cdisc.org","Adverse Event Verbatim Description","Code_145","Code","2023-12-15"
"C83344","ec2ade41-b4a1-4ca7-b1ad-b375da0433c2","http://www.cdisc.org","Adverse Event Dictionary Derived Term","Code_146","Code","2023-12-15"
"C49487","0a041de2-7ad0-4359-8900-07d291779a86","http://www.cdisc.org","No","Code_147","Code","2023-12-15"
"C49488","16a66701-b2f6-4c04-9fd8-6f5ad97b1a40","http://www.cdisc.org","Yes","Code_148","Code","2023-12-15"
"C87840","fd8d3f66-587a-48da-a4d0-445dacfb38be","http://www.cdisc.org","Adverse Event Pre-specified","Code_149","Code","2023-12-15"
"C83205","6c3ae090-3063-420a-b5b9-ae432c9caa96","http://www.cdisc.org","Adverse Event Location","Code_150","Code","2023-12-15"
"C53253","995bd92d-1300-4574-8b3e-50dfc1c27fe6","http://www.cdisc.org","Severity of Adverse Event","Code_151","Code","2023-12-15"
"C49487","4189cce9-a9ef-4ffd-af3c-87948837658e","http://www.cdisc.org","No","Code_152","Code","2023-12-15"
"C49488","c51d9a97-77f0-4c7c-85ea-992172e8d716","http://www.cdisc.org","Yes","Code_153","Code","2023-12-15"
"C53252","bdd5b644-7ce6-4d49-86ab-2f4b7a58d228","http://www.cdisc.org","Seriousness of Adverse Event","Code_154","Code","2023-12-15"
"C83013","8f45e87e-2fce-4841-99d9-8ce978719d69","http://www.cdisc.org","Adverse Event Action Taken with Study Treatment","Code_155","Code","2023-12-15"
"C83109","70052600-f71f-45ad-9d08-d64e93c47053","http://www.cdisc.org","Other Actions taken in Response to Adverse Event","Code_156","Code","2023-12-15"
"C41358","56a8ee85-7a0f-4d2d-92ff-ee66f2d454c5","http://www.cdisc.org","Adverse Event Attribution to Product or Procedure","Code_157","Code","2023-12-15"
"C83210","0a848304-fc39-46e6-9a6e-00003846e897","http://www.cdisc.org","Adverse Event Relationship to Non Study Treatment","Code_158","Code","2023-12-15"
"C83208","cd4250ce-b6bd-40e9-b109-bbfffbd5c08f","http://www.cdisc.org","Adverse Event Pattern","Code_159","Code","2023-12-15"
"C49489","a8cfdc08-56c5-422b-a341-c42b25812d7d","http://www.cdisc.org","Adverse Event Outcome","Code_160","Code","2023-12-15"
"C49487","6ee7eecd-dcb1-4811-a112-1c8d0cce8708","http://www.cdisc.org","No","Code_161","Code","2023-12-15"
"C49488","9c964963-03fa-40c8-94d3-e873ef60822a","http://www.cdisc.org","Yes","Code_162","Code","2023-12-15"
"C83211","810bc800-a117-48c3-ae33-c383bdaa241a","http://www.cdisc.org","Adverse Event Involves Cancer","Code_163","Code","2023-12-15"
"C49487","81712d93-14fe-40e3-b472-bf42faf18ffe","http://www.cdisc.org","No","Code_164","Code","2023-12-15"
"C49488","d292c89a-1231-4369-857d-2baff8403fd3","http://www.cdisc.org","Yes","Code_165","Code","2023-12-15"
"C83117","34b39db9-35c4-44c1-b009-489a643d5eb1","http://www.cdisc.org","Adverse Event Seriousness Due to Congenital Anomaly","Code_166","Code","2023-12-15"
"C49487","f4ae9260-0669-4b2a-8aee-26f644f9793c","http://www.cdisc.org","No","Code_167","Code","2023-12-15"
