"isRequired","datatype","uuid:ID","name","isEnabled","label","id"
"True","decimal","f0cd7227-71b5-4b2c-8ab4-719ee3a2d254","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_32"
"True","string","6e68b437-2610-4ea7-a47a-79a9a6299c9e","Unit of Height","True","Unit of Height","BiomedicalConceptProperty_33"
"True","decimal","d09fbce6-d515-446c-b9c5-1ebf27233bd8","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_34"
"True","boolean","0e3803ff-2e34-4f60-8b71-6a220070b9c1","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_35"
"True","string","e4ce04eb-4345-48db-935e-de6a3f64a80c","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36"
"True","string","96391fd5-57b7-4c31-931e-23803180b2d8","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_37"
"True","string","20b6b416-7a38-416b-92ae-5dd27e80eac4","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_38"
"True","boolean","d5f88d21-959a-4b50-9045-778885f5000c","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_39"
"True","string","b5e7c11b-846c-478e-b432-21b61df00bdd","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_40"
"True","string","64d41d4c-621d-4daf-af77-cbbbc9665366","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_41"
"True","decimal","3fdee22c-537c-4a4f-bdb8-1651ba7beccd","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_42"
"True","boolean","834aa1aa-4b44-425f-8bc6-5a2517c272c9","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_43"
"True","string","f2b8331e-ffde-47f2-bc31-c5ffa66d9c05","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44"
"True","string","73e1abad-cf9a-4819-8d39-ace5c54a5a07","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_45"
"True","decimal","df66f9f4-c4fa-4e9d-8811-3ad81961b459","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_46"
"True","boolean","f06c5fa7-5901-483c-8e85-dc4bec6b8ad0","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_47"
"True","string","b5b6c1e2-e4fd-4f4e-9751-feec77840439","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48"
"True","string","ce73eadc-8143-47bd-95a7-8c18c22e2b6c","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_49"
"True","string","6f5c1300-4b45-49ce-84c4-966a826e70c9","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_50"
"True","boolean","da84f4ed-e1bb-413c-8c4e-25d9aa498f08","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_51"
"True","string","c58610d0-8c33-4584-a13a-7c3513c0d6a7","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_52"
"True","string","1bd0274e-6498-4ba8-8109-5b90415f83f5","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_53"
"True","decimal","b0e843e2-5f2e-44b8-8e34-988a5fdc483a","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_54"
"True","boolean","bcc82cb5-ee7e-4938-b7b5-dc38dd114b75","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_55"
"True","string","30487c07-27f8-4891-a493-08aafcc0c656","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_56"
"True","string","83424314-0b26-49ad-ae53-0ff70b1af32e","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_57"
"True","decimal","924ccdb1-424a-489a-ac69-906d243f51aa","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_58"
"True","boolean","6ab976dd-a14d-43dc-bf24-23edc50e8c1f","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_59"
"True","string","18614b16-97ee-406e-aec5-4a0bb1afb2a7","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_60"
"True","string","027b2b7b-6c3f-4aa2-89bf-3d521f459db7","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_61"
"True","decimal","cc58b5a7-68f6-41b6-a656-e57225ed5612","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_62"
"True","string","e283086f-b964-4e87-a85f-db85ba07ffd6","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_63"
"True","string","826c99d5-42ad-4543-8142-cf57057b3f23","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_64"
"True","string","78a384d9-24fb-46ff-b699-ee214d3c1f28","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_65"
"True","string","99996fad-0f09-4e50-9534-efa41b6fcf5c","Test Method","True","Test Method","BiomedicalConceptProperty_66"
"True","string","388b44a9-0fdb-4715-903e-2abf7bf03feb","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_67"
"True","decimal","dcff8520-be9d-4add-804f-a67112003271","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_68"
"True","string","04ac47cc-b8a9-4ca9-a225-4fd7f60a871d","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_69"
"True","string","8b80baa3-5f61-4b0c-a543-9e217ca0fcdc","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_70"
"True","string","c68ee30e-180f-4971-9e36-c76f378f7ed0","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_71"
"True","string","61b8b8ac-65d5-49f9-8cc9-8211edf8332b","Test Method","True","Test Method","BiomedicalConceptProperty_72"
"True","string","74243bbe-9f53-4a49-a289-cd5522c73b40","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_73"
"True","decimal","d742d4ba-0ed7-421f-ab04-ac8400a00062","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_74"
"True","string","d00439b1-763f-4c70-9659-b45c72b6eb0b","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_75"
"True","string","d57cd1a1-5a10-48be-8535-c2b667a984bb","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_76"
"True","string","cc1d7dd1-8f55-47a8-9dd7-82fecfb36779","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_77"
"True","string","00427df4-445a-421f-a506-8c91dd1bc73f","Test Method","True","Test Method","BiomedicalConceptProperty_78"
"True","string","c1816467-0394-46d7-923d-962d9a0f4cc8","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_79"
"True","decimal","0c6d1770-ef00-45de-9138-e8e2893e8425","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_80"
"True","string","e12aaf18-c4c3-41a7-a94b-1d7102bcf8b2","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_81"
"True","string","7ad97bcb-7348-4d6c-987b-f713f9104aad","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_82"
"True","string","0cb8aa80-3d66-426d-a560-e5bb053600b3","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_83"
"True","string","523e93d0-edb9-4c47-acef-3f68af6054d3","Test Method","True","Test Method","BiomedicalConceptProperty_84"
"True","string","2a5334de-d741-4a64-8103-a6304733f8bc","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_85"
