"text","sectionNumber","uuid:ID","name","sectionTitle","id"
"<div></div>","7.1.2","e70a2252-f587-4ef9-8db7-da5bd9cf94be","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55"
"<div></div>","7.1.3","60abe1ae-2772-4598-9dac-82cde539f4f8","SECTION 7.1.3","Rechallenge","NarrativeContent_56"
"<div></div>","7.2","faa3544c-1fb5-45b2-8af2-8b75966367e6","SECTION 7.2","Participant Withdrawal from the Trial","NarrativeContent_57"
"<div></div>","7.3","92ec065d-7b4f-4d6a-b27c-416480624ff1","SECTION 7.3","Lost to Follow-Up","NarrativeContent_58"
"<div></div>","7.4","604c4334-9abe-4483-b9a3-3823dd564c43","SECTION 7.4","Trial Stopping Rules","NarrativeContent_59"
"<div></div>","8","e0ec6392-54b4-40bd-ba04-d8b4fbfd0c8d","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60"
"<div></div>","8.1","674406d8-390b-4751-b44e-feee83911663","SECTION 8.1","Screening/Baseline Assessments and Procedures","NarrativeContent_61"
"<div></div>","8.2","ebea1733-e59e-4355-94bf-644567a402bf","SECTION 8.2","Efficacy Assessments and Procedures","NarrativeContent_62"
"<div></div>","8.3","eed48a0b-280d-43d0-bcdc-74120cb5d1ab","SECTION 8.3","Safety Assessments and Procedures","NarrativeContent_63"
"<div></div>","8.3.1","aefcb857-337f-4ed2-a7a7-092fce7e4e9e","SECTION 8.3.1","Physical Examination","NarrativeContent_64"
"<div></div>","8.3.2","08bdc134-b1e6-481c-960d-bc98ff6d0153","SECTION 8.3.2","Vital Signs","NarrativeContent_65"
"<div></div>","8.3.3","2fea77fb-4e3e-4deb-a1c0-7fe08d6818ea","SECTION 8.3.3","Electrocardiograms","NarrativeContent_66"
"<div></div>","8.3.4","f7d56ec7-2c23-4a72-90a2-6df22d9d4b12","SECTION 8.3.4","Clinical Laboratory Assessments","NarrativeContent_67"
"<div></div>","8.3.5","7f79d309-fceb-4046-b673-21da5bcbec0b","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68"
"<div></div>","8.4","d24ca2a2-cfd7-4347-a5fd-7c3dbac2ed99","SECTION 8.4","Adverse Events and Serious Adverse Events","NarrativeContent_69"
"<div></div>","8.4.1","ac5f322f-22d1-4acb-895c-34caa4e2edb6","SECTION 8.4.1","Definitions of AE and SAE","NarrativeContent_70"
"<div></div>","8.4.2","0cb05d1f-a88e-4a74-81d8-c79d1b230bf7","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71"
"<div></div>","8.4.3","a7aff426-c3fe-4072-9438-41bc94ecbc78","SECTION 8.4.3","Identifying AEs and SAEs","NarrativeContent_72"
"<div></div>","8.4.4","aa3f0f2f-719e-4747-b861-ced7707e66bc","SECTION 8.4.4","Recording of AEs and SAEs","NarrativeContent_73"
"<div></div>","8.4.5","b01721fd-7e4c-4e1e-b5a6-ca21dad162a1","SECTION 8.4.5","Follow-up of AEs and SAEs","NarrativeContent_74"
"<div></div>","8.4.6","29f93cb3-a179-46c9-b7bd-3138ad761fcf","SECTION 8.4.6","Reporting of SAEs","NarrativeContent_75"
"<div></div>","8.4.7","0f8c5cae-52d9-441f-8e4a-2e5c40409977","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent_76"
"<div></div>","8.4.8","43d70595-6f7b-4227-9ed8-ab7151c65132","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77"
"<div></div>","8.4.9","24dca15c-e375-4030-89eb-812afb9abf0f","SECTION 8.4.9","Adverse Events of Special Interest","NarrativeContent_78"
"<div></div>","8.4.10","e2a91aa6-c798-4d0b-b4ed-af8485d0d94c","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79"
"<div></div>","8.5","15ffcf58-47f3-4670-82c6-ba63d6d4e6c4","SECTION 8.5","Pregnancy and Postpartum Information","NarrativeContent_80"
"<div></div>","8.5.1","d594a14c-5c63-4098-ae5d-993bdfc8acc0","SECTION 8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent_81"
"<div></div>","8.5.2","aa363a8e-1f95-4ac8-a53a-5219d85cd40c","SECTION 8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent_82"
"<div></div>","8.6","04165b33-1fc9-467f-8797-70d5feac4040","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83"
"<div></div>","8.6.1","8d94a16a-b7aa-449c-98d4-cd46c6e60dc3","SECTION 8.6.1","Definition of Medical Device Product Complaints","NarrativeContent_84"
"<div></div>","8.6.2","70836636-2ac6-439a-af51-308cd941b1c3","SECTION 8.6.2","Recording of Medical Device Product Complaints","NarrativeContent_85"
"<div></div>","8.6.3","4253d877-44bb-4f8d-a5a7-65a3a9afc115","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86"
"<div></div>","8.6.4","ce01e28a-a429-490b-8484-07072a109a0c","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent_87"
"<div></div>","8.6.5","e885ade5-2406-4a9d-a480-a7c4ca723f3a","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88"
"<div></div>","8.7","07e08c10-4de3-405a-9703-8a12aa03cd11","SECTION 8.7","Pharmacokinetics","NarrativeContent_89"
"<div></div>","8.8","0efebd76-83c6-48f7-bec5-d848a6636aad","SECTION 8.8","Genetics","NarrativeContent_90"
"<div></div>","8.9","03743170-6876-4007-aeed-2d584198c535","SECTION 8.9","Biomarkers","NarrativeContent_91"
"<div></div>","8.1","dea73126-9aa6-4c5b-a973-7a8919feb06c","SECTION 8.1","Immunogenicity Assessments","NarrativeContent_92"
"<div></div>","8.1.1","1887104d-8105-4d75-916d-355c364fa3bb","SECTION 8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent_93"
"<div></div>","9","8b1b6771-ef9d-46c2-b759-9a4dc01051ed","SECTION 9","STATISTICAL CONSIDERATIONS","NarrativeContent_94"
"<div></div>","9.1","6ab06afd-8792-4165-9b04-06506c8730ed","SECTION 9.1","Analysis Sets","NarrativeContent_95"
"<div></div>","9.2","5f808b3e-e31a-4496-9c1a-7aac851620bb","SECTION 9.2","Analyses Supporting Primary Objective(s)","NarrativeContent_96"
"<div></div>","9.2.1","2e25eab9-c530-4d67-bbf9-604cc7cc5853","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97"
"<div></div>","9.2.2","b377ae32-615d-46af-850c-a31b9d628666","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98"
"<div></div>","9.2.3","f8c5974c-92b2-4d18-8db3-04cee5e4e951","SECTION 9.2.3","Handling of Missing Data","NarrativeContent_99"
"<div></div>","9.2.4","c58e84e2-24be-4209-bbbc-09a2cc4b8e56","SECTION 9.2.4","Sensitivity Analysis","NarrativeContent_100"
"<div></div>","9.2.5","2dbc0cf3-ed2b-415e-8031-fe418991513a","SECTION 9.2.5","Supplementary Analysis","NarrativeContent_101"
"<div></div>","9.3","48bc1575-a15c-4fc6-8e41-69e23fc46704","SECTION 9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent_102"
"<div></div>","9.4","23c69c4b-19ad-459b-8820-cf3bdb942372","SECTION 9.4","Analysis of Exploratory Objective(s)","NarrativeContent_103"
"<div></div>","9.5","6cde501c-2c94-437a-95ad-6f49d629ee66","SECTION 9.5","Safety Analyses","NarrativeContent_104"
"<div></div>","9.6","7cd06c8a-507b-41b9-96f9-a39952793dea","SECTION 9.6","Other Analyses","NarrativeContent_105"
"<div></div>","9.7","f0b0f01c-552b-45b6-881b-e7b078247807","SECTION 9.7","Interim Analyses","NarrativeContent_106"
"<div></div>","9.8","4c75a8ac-7254-43b2-a19b-d7edb3c4a826","SECTION 9.8","Sample Size Determination","NarrativeContent_107"
"<div></div>","9.9","87b3892e-be72-4108-a2a5-7456f0c520e0","SECTION 9.9","Protocol Deviations","NarrativeContent_108"
"<div></div>","10","5049aaf6-3173-4448-84b2-d827344c9191","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109"
"<div></div>","10.1","409f1d08-b516-4940-aa6c-07b5a6657d38","SECTION 10.1","Regulatory and Ethical Considerations","NarrativeContent_110"
"<div></div>","10.2","ab45f557-f257-4e3d-8c63-c20eadcb72ac","SECTION 10.2","Committees","NarrativeContent_111"
"<div></div>","10.3","bfe721ac-6b81-4d8a-a188-831af089453f","SECTION 10.3","Informed Consent Process","NarrativeContent_112"
"<div></div>","10.4","587e8cb7-fb31-43bf-b307-1e925d7a8340","SECTION 10.4","Data Protection","NarrativeContent_113"
"<div></div>","10.5","3ca63959-a50b-4642-9e85-5fb7e4a06b46","SECTION 10.5","Early Site Closure or Trial Termination","NarrativeContent_114"
"<div></div>","11","abdd917f-c0ca-4618-856e-8eb06cc496b0","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115"
"<div></div>","11.1","55749e2e-e6ef-4942-9db8-6dfbeabebd3a","SECTION 11.1","Quality Tolerance Limits","NarrativeContent_116"
"<div></div>","11.2","a980c671-3c28-40bd-9a1b-c85ca0dd3656","SECTION 11.2","Data Quality Assurance","NarrativeContent_117"
"<div></div>","11.3","20adc58d-7eba-40ad-8347-cd6cd5e8ac6c","SECTION 11.3","Source Data","NarrativeContent_118"
"<div></div>","12","3c1be9ff-a217-4d84-a83b-9c35314b13a8","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119"
"<div></div>","12.1","a73f320f-e83c-49ec-b8c1-b9f4f1568fa8","SECTION 12.1","Further Details and Clarifications on the AE Definition","NarrativeContent_120"
"<div></div>","12.2","b9c0f971-713e-4fda-8f29-f7f299df5b07","SECTION 12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent_121"
"<div></div>","12.3","7ac9cf2a-27f2-4276-8dbd-2a4e78d4224b","SECTION 12.3","Severity","NarrativeContent_122"
"<div></div>","12.4","3e3b488b-4ea4-48a4-b91e-cf3b7d111348","SECTION 12.4","Causality","NarrativeContent_123"
"<div></div>","13","4c0d638a-049b-41dd-a142-4e86521c746d","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124"
"<div></div>","13.1","af20d0c5-9724-4a29-977c-524510f329f5","SECTION 13.1","Contraception and Pregnancy Testing","NarrativeContent_125"
"<div></div>","13.1.1","69f0b2de-120f-45f9-be7e-2512290b7437","SECTION 13.1.1","Definitions Related to Childbearing Potential","NarrativeContent_126"
"<div></div>","13.1.2","c57e6f9c-492a-445e-a41a-a5ea8da5fb8a","SECTION 13.1.2","Contraception","NarrativeContent_127"
"<div></div>","13.1.3","0882e417-1c9f-4060-bf47-8529d54eb88c","SECTION 13.1.3","Pregnancy Testing","NarrativeContent_128"
"<div></div>","13.2","15951e4a-0aee-43a3-ae9e-bbfa997f97d9","SECTION 13.2","Clinical Laboratory Tests","NarrativeContent_129"
"<div></div>","13.3","3897977f-cde3-4a8a-9d06-c1fff3b7f839","SECTION 13.3","Country/Region-Specific Differences","NarrativeContent_130"
"<div></div>","13.4","5828c51b-470e-43da-84d9-b45243b47c7c","SECTION 13.4","Prior Protocol Amendments","NarrativeContent_131"
"<div></div>","14","df7053c5-4734-48ac-9bcc-a81a8e7b34b6","SECTION 14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132"
"<div></div>","15","cece18a3-05df-4def-b602-2bb731dcb243","SECTION 15","APPENDIX: REFERENCES","NarrativeContent_133"
