"decode","codeSystem","uuid:ID","codeSystemVersion","id","code"
"Day","http://www.cdisc.org","0aee9ec3-6fb1-4a75-bc8a-1271991951c5","2023-09-29","Code_94","C25301"
"B","SPONSOR","805317b2-4509-450b-9163-dd97b3e2015c","12","Code_89","A"
"Percentage","http://www.cdisc.org","2cf2f2f7-35b1-4241-83a3-847f7a4a8173","2023-09-29","Code_85","C25613"
"Milligram","http://www.cdisc.org","2a9beba1-1979-4979-b709-c81b004146f3","2023-09-29","Code_87","C28253"
"Dental Route of Administration","http://www.cdisc.org","b21b319f-8bc2-44e6-9b6d-5f57607f5291","2023-09-29","Code_86","C38197"
"Ten Days Per Month","http://www.cdisc.org","e811c6cf-5da1-4f40-8d64-6813701b5e24","2023-09-29","Code_88","C139179"
"desig_1","M11","14c43a76-b91b-437a-ba41-6fd0760de5a8","None set","Code_93","desig1"
"B","FDA","c2120dc5-0262-46c4-a246-cf646c86a788","None set","Code_92","A"
"role2","M11","0fa52bb7-6bdb-4f36-a71d-f3d03727e61f","None set","Code_100","role2"
"Pharmacologic Substance","http://www.cdisc.org","f150961b-fcdf-4bb3-a282-cccd4e9b5d37","2023-09-29","Code_101","C1909"
"Day","http://www.cdisc.org","a2a43581-9c39-41f9-af53-9b18578ecbc0","2023-09-29","Code_104","C25301"
"B","SPONSOR","0c009eca-d130-48cf-b951-5039e4640212","12","Code_99","A"
"Percentage","http://www.cdisc.org","d21c5404-adca-482e-8d27-f42a30734fda","2023-09-29","Code_95","C25613"
"Milligram","http://www.cdisc.org","6b93485a-bea1-4670-b30c-3eede685130e","2023-09-29","Code_97","C28253"
"Dental Route of Administration","http://www.cdisc.org","0cc2ccef-d561-4c68-a7ae-9ebf861668b1","2023-09-29","Code_96","C38197"
"Ten Days Per Month","http://www.cdisc.org","7f846e15-c49a-4529-b746-b4a2dfcd40fa","2023-09-29","Code_98","C139179"
"desig_2","M11","09bedec8-00a4-40a5-9e69-8a14badaeeee","None set","Code_103","desig2"
"B","FDA","116fd16b-11ea-42b1-a31e-1a9c9173c4df","None set","Code_102","A"
"Trial Primary Objective","http://www.cdisc.org","6d667a0a-200b-4139-ae9b-d26475349b4c","2023-09-29","Code_111","C85826"
"Primary Endpoint","http://www.cdisc.org","774db30a-f499-4288-9074-b8db7ab767a5","2023-09-29","Code_110","C94496"
"Trial Secondary Objective","http://www.cdisc.org","6f613ecd-51fa-46d4-a044-ab7b51640543","2023-09-29","Code_113","C85827"
"Secondary Endpoint","http://www.cdisc.org","f73a32bd-0b01-43fc-85da-adb376f19aa3","2023-09-29","Code_112","C139173"
"Secondary Endpoint","http://www.cdisc.org","11719ea4-5293-48f5-ac15-37d3114b0e35","2023-09-29","Code_114","C139173"
"Secondary Endpoint","http://www.cdisc.org","f626b081-241d-41fd-9f42-e91c5250c843","2023-09-29","Code_115","C139173"
"Secondary Endpoint","http://www.cdisc.org","9580f9f2-be07-4730-9d34-2ee211010f0b","2023-09-29","Code_116","C139173"
"Secondary Endpoint","http://www.cdisc.org","15f9419d-98a0-4313-8969-f3e9f6ae9199","2023-09-29","Code_117","C139173"
"Secondary Endpoint","http://www.cdisc.org","bab0973f-c6a7-4415-a221-eafc33cd9ad0","2023-09-29","Code_118","C139173"
"Secondary Endpoint","http://www.cdisc.org","103bbe63-a7eb-43e4-a440-de91998f66df","2023-09-29","Code_119","C139173"
"Secondary Endpoint","http://www.cdisc.org","92f55f04-2764-47f5-89b6-6dc8f49a4bed","2023-09-29","Code_120","C139173"
"Secondary Endpoint","http://www.cdisc.org","e9b21555-0bb5-4104-8cca-4225fbc3f8fb","2023-09-29","Code_121","C139173"
"Secondary Endpoint","http://www.cdisc.org","3561f2ef-6b47-4f96-8d5a-9311ef46f3de","2023-09-29","Code_122","C139173"
"Secondary Endpoint","http://www.cdisc.org","cad9deb5-e9cf-4cd9-85f2-fe19bccbb6a8","2023-09-29","Code_123","C139173"
"Before","http://www.cdisc.org","d075e8d3-55a1-46b3-be30-e8949e1f9abb","2023-09-29","Code_48","C201264"
"Start to Start","http://www.cdisc.org","d6b4df8e-dd9d-4e5d-8703-e250f78fe721","2023-09-29","Code_50","C201265"
"Before","http://www.cdisc.org","868059fe-453f-4c29-b450-bae94c773b7c","2023-09-29","Code_53","C201264"
"Start to Start","http://www.cdisc.org","ddeab1a1-ca22-440a-8353-a9de0af84ad2","2023-09-29","Code_55","C201265"
"Fixed Reference","http://www.cdisc.org","693af322-86ca-4d6e-b752-bd2bd93b2818","2023-09-29","Code_56","C201264"
"Start to Start","http://www.cdisc.org","9bbf6ce6-eb5b-4978-b147-525d61f5e558","2023-09-29","Code_60","C201265"
"After","http://www.cdisc.org","967ac5b8-353a-48e2-ad4b-b22d0abc6b20","2023-09-29","Code_62","C201264"
"Start to Start","http://www.cdisc.org","a343ec84-dadd-492a-b4d8-71edab0410f6","2023-09-29","Code_65","C201265"
"After","http://www.cdisc.org","a3c96494-c80d-489e-bbfc-b3b6abe21560","2023-09-29","Code_67","C201264"
"Start to Start","http://www.cdisc.org","f72e3f84-65f4-4d42-adea-cc4e16345868","2023-09-29","Code_70","C201265"
"Draft","http://www.cdisc.org","5f6cda55-bcd9-4001-83e3-c653dcff0c0c","2023-09-29","Code_5","C85255"
"Protocol Effective Date","http://www.cdisc.org","614a6975-b442-406a-b4e4-50fb1655d870","2023-09-29","Code_8","C99903x1"
"Global","http://www.cdisc.org","6e6a13f6-826c-4078-b451-23204efaf1df","2023-09-29","Code_9","C68846"
