"sectionNumber","text","name","uuid:ID","sectionTitle","id"
"6.4","<div></div>","SECTION 6.4","05e8bb0f-7506-423f-afe5-ec43614883f5","Treatment of Overdose","NarrativeContent_36"
"6.5","<div></div>","SECTION 6.5","bac60102-cba8-473c-adb7-f67742ea98a5","Preparation, Handling, Storage and Accountability","NarrativeContent_37"
"6.5.1","<div></div>","SECTION 6.5.1","db943840-2354-4d62-8e0a-6218484e091d","Preparation of Trial Intervention","NarrativeContent_38"
"6.5.2","<div></div>","SECTION 6.5.2","ea1cbf2f-7dc9-4bfb-af9b-ab18371db3cd","Handling and Storage of Trial Intervention","NarrativeContent_39"
"6.5.3","<div></div>","SECTION 6.5.3","7cf1ae4a-7f5b-4d8d-8a54-a1946df12299","Accountability of Trial Intervention","NarrativeContent_40"
"6.6","<div></div>","SECTION 6.6","cf2176e8-995e-4489-a1ef-9c757be45515","Participant Assignment, Randomisation and Blinding","NarrativeContent_41"
"6.6.1","<div></div>","SECTION 6.6.1","93c748d4-b3f4-456d-ae5d-8d731631dcb0","Participant Assignment","NarrativeContent_42"
"6.6.2","<div></div>","SECTION 6.6.2","185fd778-0df1-466c-b62c-0e8eb2b10ae5","Randomisation","NarrativeContent_43"
"6.6.3","<div><p>Blinding and unblinding text here please</p></div>","SECTION 6.6.3","86c88af2-adc6-436f-9f4c-fc921451c7f8","Blinding and Unblinding","NarrativeContent_44"
"6.7","<div></div>","SECTION 6.7","20c7f0dc-52e9-430b-bc18-236565b6062c","Trial Intervention Compliance","NarrativeContent_45"
"6.8","<div></div>","SECTION 6.8","dd9ec5a2-cf5e-4df6-817e-d9742fc7e082","Concomitant Therapy","NarrativeContent_46"
"6.8.1","<div></div>","SECTION 6.8.1","1f9e12ed-65e2-4873-b917-616cbae7f5d0","Prohibited Concomitant Therapy","NarrativeContent_47"
"6.8.2","<div></div>","SECTION 6.8.2","d80089b4-451e-4771-aee9-de16fa010bfc","Permitted Concomitant Therapy","NarrativeContent_48"
"6.8.3","<div></div>","SECTION 6.8.3","12075318-8bf1-4821-b6ba-ea7b2e8f68a2","Rescue Therapy","NarrativeContent_49"
"6.8.4","<div></div>","SECTION 6.8.4","9ef9ec2c-7459-4fec-8d5e-3bc914459617","Other Therapy","NarrativeContent_50"
"7","<div></div>","SECTION 7","ae9dbc00-8f3a-4c76-b5a3-d45e9c890986","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_51"
"7.1","<div></div>","SECTION 7.1","44fb3bb3-b445-4417-a59f-76728d0ef330","Discontinuation of Trial Intervention","NarrativeContent_52"
"7.1.1","<div></div>","SECTION 7.1.1","ae3ed45c-39cf-4b87-b793-fa48314dee02","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_53"
"7.1.2","<div></div>","SECTION 7.1.2","1dc8e573-fbfe-44cc-81e5-af740167512f","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_54"
"7.1.3","<div></div>","SECTION 7.1.3","38d4a9b7-1af2-4dd6-af39-02a92209c734","Rechallenge","NarrativeContent_55"
"7.2","<div></div>","SECTION 7.2","503bd9b0-a795-4854-8abe-0ef9382b3019","Participant Withdrawal from the Trial","NarrativeContent_56"
"7.3","<div></div>","SECTION 7.3","942b2364-e3a4-4879-9df7-8faf7b98d532","Lost to Follow-Up","NarrativeContent_57"
"7.4","<div></div>","SECTION 7.4","083cb6c3-50c6-425b-aaab-c9597ae3c1b6","Trial Stopping Rules","NarrativeContent_58"
"8","<div></div>","SECTION 8","1833b4f1-3427-481c-aaae-9caab1e906cb","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_59"
"8.1","<div></div>","SECTION 8.1","6c04c5eb-2140-4f86-9ea7-fc59ff8c475d","Screening/Baseline Assessments and Procedures","NarrativeContent_60"
"8.2","<div></div>","SECTION 8.2","41802edb-04fb-4e24-8583-ef0a6163c391","Efficacy Assessments and Procedures","NarrativeContent_61"
"8.3","<div></div>","SECTION 8.3","345cb3b4-c8c6-4ab5-889d-c5239e9f7e49","Safety Assessments and Procedures","NarrativeContent_62"
"8.3.1","<div></div>","SECTION 8.3.1","df56f49f-352c-45d4-ba14-9885da29c54f","Physical Examination","NarrativeContent_63"
"8.3.2","<div></div>","SECTION 8.3.2","51df47e7-573d-41a3-a68d-6c3c61360749","Vital Signs","NarrativeContent_64"
"8.3.3","<div></div>","SECTION 8.3.3","10d87e18-099e-40a5-aa5b-fe8e01205403","Electrocardiograms","NarrativeContent_65"
"8.3.4","<div></div>","SECTION 8.3.4","4606e2a4-8d48-441e-8f56-75a3eccca966","Clinical Laboratory Assessments","NarrativeContent_66"
"8.3.5","<div></div>","SECTION 8.3.5","bd478f99-f3b3-4345-8622-d706903f6569","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_67"
"8.4","<div></div>","SECTION 8.4","8d932586-5b2d-48f1-9d3b-f48b42dfbfb5","Adverse Events and Serious Adverse Events","NarrativeContent_68"
"8.4.1","<div></div>","SECTION 8.4.1","2ea54d7b-3e6c-42d3-ab8d-69fa2cdd0667","Definitions of AE and SAE","NarrativeContent_69"
"8.4.2","<div></div>","SECTION 8.4.2","9dfdf6de-5496-4010-a64c-bfd29dfe0147","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_70"
"8.4.3","<div></div>","SECTION 8.4.3","34ebf89f-8d52-459f-9789-a414e73e7a03","Identifying AEs and SAEs","NarrativeContent_71"
"8.4.4","<div></div>","SECTION 8.4.4","e37e85a6-a12d-478a-9bca-733579c80494","Recording of AEs and SAEs","NarrativeContent_72"
"8.4.5","<div></div>","SECTION 8.4.5","c128883c-9bab-4195-bd8e-95e1c80c07dd","Follow-up of AEs and SAEs","NarrativeContent_73"
"8.4.6","<div></div>","SECTION 8.4.6","49ecae71-8314-4199-b1c2-d838ad1213b6","Reporting of SAEs","NarrativeContent_74"
"8.4.7","<div></div>","SECTION 8.4.7","33653071-7f92-4de3-bf07-d41821e863b7","Regulatory Reporting Requirements for SAEs","NarrativeContent_75"
"8.4.8","<div></div>","SECTION 8.4.8","db14c637-e0ac-4529-a95c-f9ff29637734","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_76"
"8.4.9","<div></div>","SECTION 8.4.9","b7fb70af-d69b-4647-9623-c3be26efc669","Adverse Events of Special Interest","NarrativeContent_77"
"8.4.10","<div></div>","SECTION 8.4.10","12065a40-889e-4584-8c98-8da9031043a7","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_78"
"8.5","<div></div>","SECTION 8.5","e56745e7-bacc-4c32-a634-89e5e315ae82","Pregnancy and Postpartum Information","NarrativeContent_79"
"8.5.1","<div></div>","SECTION 8.5.1","cfaa600e-f80f-4ea5-8032-9042f5340979","Participants Who Become Pregnant During the Trial","NarrativeContent_80"
"8.5.2","<div></div>","SECTION 8.5.2","72fb3b68-12be-4fbb-ae34-c00d485a0ff6","Participants Whose Partners Become Pregnant","NarrativeContent_81"
"8.6","<div></div>","SECTION 8.6","9aed3ddb-1fea-4eee-9401-399c5496d89e","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_82"
"8.6.1","<div></div>","SECTION 8.6.1","defdcde1-772f-4392-a640-6c0b1a34dbcf","Definition of Medical Device Product Complaints","NarrativeContent_83"
"8.6.2","<div></div>","SECTION 8.6.2","94d859a9-7c9e-468b-adfb-d4a74ec00d57","Recording of Medical Device Product Complaints","NarrativeContent_84"
"8.6.3","<div></div>","SECTION 8.6.3","e7542978-8b01-4f1e-bac7-b24a679f7b25","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_85"
"8.6.4","<div></div>","SECTION 8.6.4","7ca7853c-4281-4333-91f3-dd6c9c491701","Follow-Up of Medical Device Product Complaints","NarrativeContent_86"
"8.6.5","<div></div>","SECTION 8.6.5","62c2255a-2c14-477a-8858-26d38d796c2c","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_87"
"8.7","<div></div>","SECTION 8.7","bf39b8ac-1191-4d00-8635-579f20582686","Pharmacokinetics","NarrativeContent_88"
"8.8","<div></div>","SECTION 8.8","91b0297b-47a4-495c-aa29-b483658266c9","Genetics","NarrativeContent_89"
"8.9","<div></div>","SECTION 8.9","504c09e1-d68e-4d06-a644-d77ed57a6de7","Biomarkers","NarrativeContent_90"
"8.1","<div></div>","SECTION 8.1","5ff3d975-bb02-4fdf-a8f7-9307153e3ef7","Immunogenicity Assessments","NarrativeContent_91"
"8.1.1","<div></div>","SECTION 8.1.1","036880db-9cf3-4001-a9d7-46f0bd6580b2","Medical Resource Utilisation and Health Economics","NarrativeContent_92"
"9","<div></div>","SECTION 9","af23d087-17e0-46de-af81-9ee1cf68ad44","STATISTICAL CONSIDERATIONS","NarrativeContent_93"
"9.1","<div></div>","SECTION 9.1","8e4eb068-36ab-4051-a44f-33d4de94f30e","Analysis Sets","NarrativeContent_94"
"9.2","<div></div>","SECTION 9.2","551458d9-7ea1-4adc-8319-bc2ac481541e","Analyses Supporting Primary Objective(s)","NarrativeContent_95"
"9.2.1","<div></div>","SECTION 9.2.1","7fbb9f06-4880-4d21-aa83-6b31ce6766a7","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_96"
"9.2.2","<div></div>","SECTION 9.2.2","5541d701-b6b0-459b-bca8-87db6b6a1c88","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_97"
"9.2.3","<div></div>","SECTION 9.2.3","aabbda5f-74c7-4a8a-8d9f-60874fb5f197","Handling of Missing Data","NarrativeContent_98"
"9.2.4","<div></div>","SECTION 9.2.4","0af1ae01-8e54-40b8-b2e4-0d573d51f127","Sensitivity Analysis","NarrativeContent_99"
"9.2.5","<div></div>","SECTION 9.2.5","37b89824-2478-4cab-a42c-b4672849816c","Supplementary Analysis","NarrativeContent_100"
"9.3","<div></div>","SECTION 9.3","9e74d5aa-3bcd-4481-9a10-96cf4dbccee0","Analysis Supporting Secondary Objective(s)","NarrativeContent_101"
"9.4","<div></div>","SECTION 9.4","7265e7de-535c-49fd-be5b-e1dd8e24a5db","Analysis of Exploratory Objective(s)","NarrativeContent_102"
"9.5","<div></div>","SECTION 9.5","f5e0864e-03ae-4acd-ad24-4ddc5d28137f","Safety Analyses","NarrativeContent_103"
"9.6","<div></div>","SECTION 9.6","67e80713-600c-4dde-9d42-bd70c360f575","Other Analyses","NarrativeContent_104"
"9.7","<div></div>","SECTION 9.7","f33cb480-9db7-436b-9ced-fb4f423f4f9f","Interim Analyses","NarrativeContent_105"
"9.8","<div></div>","SECTION 9.8","51398199-19b7-4f30-9cc2-b658dce6e512","Sample Size Determination","NarrativeContent_106"
"9.9","<div></div>","SECTION 9.9","f6378201-aee2-4c09-8b06-e5603bbbc99d","Protocol Deviations","NarrativeContent_107"
"10","<div></div>","SECTION 10","4e389ea4-5fdb-4419-8c05-72600d3b87f2","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_108"
"10.1","<div></div>","SECTION 10.1","d2d117d6-fcf3-4ba5-b57d-9701a001943b","Regulatory and Ethical Considerations","NarrativeContent_109"
"10.2","<div></div>","SECTION 10.2","d1bb9b35-8b86-427e-8ad1-885c0debd686","Committees","NarrativeContent_110"
"10.3","<div></div>","SECTION 10.3","5134ff54-5fb3-44b4-9f30-0f1a0cc9bd57","Informed Consent Process","NarrativeContent_111"
"10.4","<div></div>","SECTION 10.4","f32b3e9e-40ba-4595-82d4-bf9be2b32031","Data Protection","NarrativeContent_112"
"10.5","<div></div>","SECTION 10.5","04873562-e386-4019-a236-a2ab30c05ef8","Early Site Closure or Trial Termination","NarrativeContent_113"
"11","<div></div>","SECTION 11","f5bb60b6-416b-4151-8d68-e61f1dee9ca4","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_114"
"11.1","<div></div>","SECTION 11.1","325cce86-4f74-4c0d-9f60-7278330e7f4f","Quality Tolerance Limits","NarrativeContent_115"
"11.2","<div></div>","SECTION 11.2","9df3e9d6-9e7f-4645-ae31-ac1c70c8c498","Data Quality Assurance","NarrativeContent_116"
"11.3","<div></div>","SECTION 11.3","aa7031b9-13ce-46bd-99c0-2717dfe020e0","Source Data","NarrativeContent_117"
"12","<div></div>","SECTION 12","6c1ccd7a-c864-41ee-b388-d6903cf6d081","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_118"
"12.1","<div></div>","SECTION 12.1","4e6ffa1b-50e2-4d54-89fd-7727d2054e62","Further Details and Clarifications on the AE Definition","NarrativeContent_119"
"12.2","<div></div>","SECTION 12.2","898dd868-dc80-4824-bffd-a16251612497","Further Details and Clarifications on the SAE Definition","NarrativeContent_120"
"12.3","<div></div>","SECTION 12.3","de4323ad-4eda-4664-a2ca-b2571b6d1560","Severity","NarrativeContent_121"
"12.4","<div></div>","SECTION 12.4","2404e81b-0a58-4e18-a0fa-411b90c00ff7","Causality","NarrativeContent_122"
"13","<div></div>","SECTION 13","4d94fcd6-63f0-4cf9-8744-37e2c885e138","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_123"
"13.1","<div></div>","SECTION 13.1","3ab8da2d-1615-44f9-8b39-2f6b5e48bb01","Contraception and Pregnancy Testing","NarrativeContent_124"
"13.1.1","<div></div>","SECTION 13.1.1","051dcfcb-8fce-4804-a822-ec6bc0b0dbd9","Definitions Related to Childbearing Potential","NarrativeContent_125"
"13.1.2","<div></div>","SECTION 13.1.2","3324c6ab-b4d4-4de2-a792-43343bcadf5b","Contraception","NarrativeContent_126"
"13.1.3","<div></div>","SECTION 13.1.3","d1c10184-4ce8-48d2-8fb7-d6501e796282","Pregnancy Testing","NarrativeContent_127"
"13.2","<div></div>","SECTION 13.2","c1bd94b2-fd74-4dcb-9f6f-e261abdef1a0","Clinical Laboratory Tests","NarrativeContent_128"
"13.3","<div></div>","SECTION 13.3","1f353334-1e68-4806-9ea8-98939e4e3a10","Country/Region-Specific Differences","NarrativeContent_129"
"13.4","<div></div>","SECTION 13.4","1592d361-09f8-43a4-9cdf-15a0246e4d34","Prior Protocol Amendments","NarrativeContent_130"
"14","<div></div>","SECTION 14","7b3d72ca-e86b-4492-871d-4099b631abfe","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_131"
"15","<div></div>","SECTION 15","d5e9b813-ff87-4e92-884f-5bc89dfde3c8","APPENDIX: REFERENCES","NarrativeContent_132"
