"isRequired","id","isEnabled","name","datatype","uuid:ID","label","instanceType"
"True","BiomedicalConceptProperty_10","True","Test Method","string","2ce2ce37-d62c-4850-ab8d-41cd6655a2fe","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_11","True","Body Position","string","5c22b924-58fa-45c1-bdb9-ea50d6314df4","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_12","True","Clinical Test Result","decimal","9aae5d09-062a-450d-aaad-173f77136e3c","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_13","True","Unit of Pressure","string","bcf0d603-dc29-45fc-8a94-09e0cd8a5e2f","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_14","True","Anatomic Site","string","66a65bd0-e4ba-4ae7-8428-41b5af78ec49","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_15","True","Laterality","string","fc0f9faf-21f3-4959-bcd1-98cd4a9b8593","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_16","True","Test Method","string","7b97473c-ec93-4da8-9665-5964ac505226","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_17","True","Body Position","string","f2937604-8e60-4b7f-95aa-6f5ba67b384b","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_18","True","Clinical Test Result","decimal","6232bff8-bb25-4512-ba79-ac00108f715c","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_19","True","Unit of Temperature","string","27e69781-9a52-4adb-9d3b-42d34c96b509","Unit of Temperature","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_20","True","Anatomic Site","string","c975ff8e-f852-422a-8188-86075d22c2db","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_21","True","Clinical Test Result","decimal","d380fa4e-788a-4d98-9a1f-06377acd92cc","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_22","True","Unit of Weight","string","cdf7488f-44d9-4218-8c75-e099ff0aa186","Unit of Weight","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_23","True","Clinical Test Result","decimal","cb34bd70-3af6-40c0-9b69-5e01e5b44be4","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_24","True","Unit of Height","string","65e9a77f-5bb4-4dc9-bf42-4ab8043bd623","Unit of Height","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_25","True","Laboratory Test Result","decimal","1bcf26fa-e12a-4560-a967-4f1b492e3b19","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_26","True","Laboratory Test Fasting Status","boolean","cf612b45-7df2-42a1-bc6b-39968eca22ee","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_27","True","Unit of Catalytic Activity Concentration","string","4e0f5ef2-51d4-46c5-b17b-99c6afee848a","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_28","True","Biospecimen Type","string","4714d4f7-23b6-4112-bdc3-01963efaaf75","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_29","True","Laboratory Test Result","string","6a11f435-b4d9-4704-b9bd-3437fad6e0c2","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_30","True","Laboratory Test Fasting Status","boolean","d3ab88c8-d747-460d-9fa3-b9094127d1bb","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_31","True","Unit of Concentration","string","565a8eac-e7fe-4def-9288-2e5fb8f46e07","Unit of Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_32","True","Biospecimen Type","string","4eec5a53-295f-4cda-9031-81ac0ec85df1","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_33","True","Laboratory Test Result","decimal","97859106-d21f-4b0b-afbf-51e2c082d8f5","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_34","True","Laboratory Test Fasting Status","boolean","60e8d6c3-01ab-46cf-a903-551005a1e8c3","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_35","True","Unit of Catalytic Activity Concentration","string","7258093d-2338-42ae-8fbe-d51a095a104a","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_36","True","Biospecimen Type","string","3c4ecd3c-71cd-4d65-957c-0bb803f27ca6","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_37","True","Laboratory Test Result","decimal","e85a4c8c-c133-489e-bfbf-e79de14a68c1","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_38","True","Laboratory Test Fasting Status","boolean","dea997e4-fa33-4124-944c-f97f58521ebe","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_39","True","Unit of Catalytic Activity Concentration","string","bfc22cbb-6546-4b80-926f-1f23dfe0f1ca","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_40","True","Biospecimen Type","string","8040ec4b-9880-41d8-8be2-422dd78347a2","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_41","True","Laboratory Test Result","string","5c1a3cf8-2fc6-4e29-84d3-1412b1806ff7","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_42","True","Laboratory Test Fasting Status","boolean","0384d21a-fcbf-40a3-924e-df4c94a2b6a3","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_43","True","Unit of Concentration","string","7212bb9e-c029-43fd-8060-80d25fc46056","Unit of Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_44","True","Biospecimen Type","string","b383ce8f-d245-42fe-b0b4-f5a7bc3afc89","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_45","True","Laboratory Test Result","decimal","30c7fce4-44de-4707-92ae-3b56e90b9106","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_46","True","Laboratory Test Fasting Status","boolean","0bd6f751-c404-490c-bfa7-10b9877ce701","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_47","True","Molarity Unit","string","6829c50f-5552-475d-ac0b-f90c654d6932","Molarity Unit","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_48","True","Biospecimen Type","string","92116dfc-9182-4483-932c-69fb33479e17","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_49","True","Laboratory Test Result","decimal","f4260efe-eb79-4db6-ba59-2df1d769af46","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_50","True","Laboratory Test Fasting Status","boolean","b78fcc89-76d1-4f62-b800-cc88eb74f4e7","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_51","True","Molarity Unit","string","cb6a05c8-54f4-4009-92ca-c973dc545db1","Molarity Unit","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_52","True","Biospecimen Type","string","f64fce2d-38e7-457f-b95c-e4082334e897","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_53","True","Clinical Test Result","decimal","ce187747-ad5d-4313-b094-45f68196c446","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_54","True","Unit of Pressure","string","a322f7f0-81a2-4312-b35d-f79f71b638a4","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_55","True","Anatomic Site","string","8cdc24f9-27d4-413e-82b7-cee4b1ddc636","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_56","True","Laterality","string","af437663-1187-4466-b4b9-8fbb7135c582","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_57","True","Test Method","string","e26f47cc-f1c1-48e6-8afc-d3ecfbadaa8c","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_58","True","Body Position","string","8e028f1a-ff55-4cf5-a47d-a5c4509907ed","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_59","True","Clinical Test Result","decimal","1be98b61-dcce-4028-a894-3c76ddb28889","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_60","True","Unit of Pressure","string","e5639c43-b477-4819-a88e-811dd10e525c","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_61","True","Anatomic Site","string","ae228284-9b8e-4ce6-96d8-52945ebf9093","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_62","True","Laterality","string","65c3eef0-01bc-4b73-a4dd-9be972195329","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_63","True","Test Method","string","bcc9c0c1-234b-418c-a561-cde9d680abeb","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_64","True","Body Position","string","7d4c00b1-c4bc-4c48-bf45-c88ff479ddcd","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_65","True","Clinical Test Result","integer","351803b4-974d-4fd9-8a22-08073e34b851","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_66","True","Count per Minute","string","7d430377-e67f-4ffe-813b-4b616ad3f9cb","Count per Minute","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_67","True","Anatomic Site","string","654e8e59-8ffb-4e95-881f-2fc8938a2be7","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_68","True","Laterality","string","24fa31a9-c0cc-430b-8ad6-4990801a9b42","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_69","True","Test Method","string","fcaa97cb-26ee-4eb3-b2fb-01a8d47cafb6","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_70","True","Body Position","string","c263f1f4-a91a-4bcf-a1c4-35e6d035c3b9","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_71","True","Clinical Test Result","decimal","8ba803f3-456e-42e5-8f82-1dcc2b8495c7","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_72","True","Unit of Pressure","string","64a6117e-9862-41b3-9b66-2224c702f0b8","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_73","True","Anatomic Site","string","00ad3cc8-e06b-42ed-ac7a-947171d15796","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_74","True","Laterality","string","05fc008a-397f-464c-b5c1-0a18c8b1f2b9","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_75","True","Test Method","string","d6d0629f-d60e-4996-9a6e-83f78ccd44d7","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_76","True","Body Position","string","e95de57e-a02c-4c5e-be42-3a779e22023b","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_77","True","Clinical Test Result","decimal","8db06f4e-67ed-4ed8-80b9-b878afdf5345","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_78","True","Unit of Pressure","string","5daaedc1-2b85-4295-b4d0-ecc434d89df3","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_79","True","Anatomic Site","string","1f82d226-32ec-44bc-9b33-1bca562122c4","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_80","True","Laterality","string","ee33ccee-2148-43eb-8f76-451a7d43a082","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_81","True","Test Method","string","7bfcf020-3b10-43a6-89b4-c54d24abd5ab","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_82","True","Body Position","string","1655e5af-b24a-457b-a6d6-5718feec58a5","Body Position","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_83","True","Clinical Test Result","integer","2dcccfb9-f9cd-4b44-aad2-5e5102ed1b65","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_84","True","Count per Minute","string","cd74fc0f-a086-41b8-ba81-07662c3f9016","Count per Minute","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_85","True","Anatomic Site","string","1ac4ba60-cd2b-451e-9f23-f94659152b1e","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_86","True","Laterality","string","f7e4853a-a31d-4715-baaf-958e7229ea4c","Laterality","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_87","True","Test Method","string","b357b191-b7d1-4b44-b4d5-694de7c07212","Test Method","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_88","True","Body Position","string","790f19c2-8e20-4172-8b8e-a0fc8e189d5d","Body Position","BiomedicalConceptProperty"
