"id","name","synonyms","uuid:ID","label","reference","instanceType"
"BiomedicalConcept_9","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","a2182c4e-4cb1-4161-b338-af33cc14cc14","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"BiomedicalConcept_10","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","9fdde59f-c2b5-43fc-be1f-7bd60514406f","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"BiomedicalConcept_11","Creatinine Measurement","['Creatinine']","ca2214c1-9d4b-4de0-9f6b-036d46b75c10","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"BiomedicalConcept_12","Potassium Measurement","['Potassium', 'K']","0213f8e4-347a-4758-89e1-ef6d016ff887","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"BiomedicalConcept_13","Sodium Measurement","['Sodium', 'NA']","790b03ed-d4e8-4b17-858d-9f2ca12a7dac","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP']","fa7acc2c-1c0e-4e81-bf92-d1973aeddcd9","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP']","f611f19e-bf5b-483f-bd52-3f19e280c42b","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"BiomedicalConcept_16","Heart Rate","","eb6374bd-547e-4f94-8f78-ed0fcc0ad419","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept"
"BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP']","6bc1c7cd-ec2f-4a82-8399-872b123effb3","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP']","d3e881cf-b705-40a3-bc44-0b5ba39a7fad","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"BiomedicalConcept_19","Heart Rate","","57701055-093f-4797-b951-66a8c1a56e55","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept"
