"id:ID","code","decode","uuid","codeSystem","id","codeSystemVersion"
"108","C36292","Laboratory Test Result","1bd65603-5861-4bd5-9ee5-d4a4df125e75","NCI Thesaurus","Code_287",""
"109","C83309","Laboratory Test Fasting Status","1fe502df-6820-40b3-883d-219ea1038740","NCI Thesaurus","Code_288",""
"110","C64567","Molarity Unit","e59dba32-24ed-4289-a015-2e698f8b7e6f","NCI Thesaurus","Code_289",""
"111","C70713","Biospecimen Type","8525380f-0a2e-476c-b045-86b4c45736df","NCI Thesaurus","Code_290",""
"112","C64853","Potassium Measurement","69402acf-29f5-404d-aea2-597b43445810","NCI Thesaurus","Code_286",""
"113","C36292","Laboratory Test Result","28da3993-6563-4a7c-9a71-6990cd8e82d6","NCI Thesaurus","Code_292",""
"114","C83309","Laboratory Test Fasting Status","ab5e156c-c0b0-4e3b-9a30-5e2834a3e438","NCI Thesaurus","Code_293",""
"115","C64567","Molarity Unit","408190f9-1be7-4966-80e0-5d9f389b168a","NCI Thesaurus","Code_294",""
"116","C70713","Biospecimen Type","cb03ac9a-d749-46fb-8856-ed82f7eafbad","NCI Thesaurus","Code_295",""
"117","C64809","Sodium Measurement","243b8d5f-810c-45af-9af0-db6532bbec3b","NCI Thesaurus","Code_291",""
"118","C78541","Adverse Event Verbatim Description","7a3a253a-a974-4314-a51f-9529eda6f868","NCI Thesaurus","Code_126",""
"119","C83344","Adverse Event Dictionary Derived Term","3b1f072e-e796-4ecc-be33-48a8f3a2219a","NCI Thesaurus","Code_127",""
"120","C83198","Adverse Event Category","3874c61d-c15a-42cd-83c0-6a8fa5ae4e0a","NCI Thesaurus","Code_128",""
"121","C83212","Adverse Event Subcategory","14149916-139e-4f6d-9544-32ad9373369b","NCI Thesaurus","Code_129",""
"122","C87840","Adverse Event Pre-specified","6e3d9e4b-b079-44c9-9a02-79ccbef698a4","NCI Thesaurus","Code_130",""
"123","C53253","Severity of Adverse Event","7d8f78ef-655f-4df5-96fe-4d89f935f7dd","NCI Thesaurus","Code_131",""
"124","C78605","Adverse Event Toxicity Grade","0c275639-c8d1-4cea-be7f-e6687f7675df","NCI Thesaurus","Code_132",""
"125","C53252","Seriousness of Adverse Event","2767aad9-7dcd-4906-955a-0dc0a4804f8b","NCI Thesaurus","Code_133",""
"126","C17998","Unknown","d7c9411d-969b-4d0c-bb86-8773d933d7d0","http://www.cdisc.org","Code_134","2023-09-29"
"127","C83013","Adverse Event Action Taken with Study Treatment","d5c7d712-2f76-490b-85d8-4eff2ecdc4fd","NCI Thesaurus","Code_135",""
"128","C41358","Adverse Event Attribution to Product or Procedure","94beb16d-593c-4c8f-9f03-520ee420f0ee","NCI Thesaurus","Code_136",""
"129","C83208","Adverse Event Pattern","08b8daf7-c62a-42c7-ad07-987bc8e27a6a","NCI Thesaurus","Code_137",""
"130","C17998","Unknown","c4c9d52f-d5a9-4b96-8a33-e2cd33e52a76","http://www.cdisc.org","Code_138","2023-09-29"
"131","C49489","Adverse Event Outcome","72df76ae-ebd9-46c3-a7bd-592b36d8de05","NCI Thesaurus","Code_139",""
"132","C83215","Adverse Event Start Date Time","5c35d499-7f9a-4d7e-9a04-87ee9335e084","NCI Thesaurus","Code_140",""
"133","C83201","Adverse Event End Date Time","6f64bee1-64f0-48d4-9e23-8d495fbb1aec","NCI Thesaurus","Code_141",""
"134","C41331","Adverse Event","3da38e4e-e7b9-4d54-a3cb-14c6cab23b66","NCI Thesaurus","Code_125",""
"135","C173522","Vital Signs Result","eb868997-18f4-4f98-a70c-ac03c7f934d1","NCI Thesaurus","Code_143",""
"136","C42547","Pascal","d312e292-cf95-46ac-b2d7-49c66fc58a6a","http://www.cdisc.org","Code_144","2023-09-29"
"137","C49669","Unit of Pressure","7ede2277-149e-4a79-bca0-2d169d17a9b1","NCI Thesaurus","Code_145",""
"138","C83088","Vital Signs Location","4de04ab9-92b0-4d31-8eec-0572f8038bef","NCI Thesaurus","Code_146",""
"139","C123975","Vital Signs Laterality","08b47036-a702-4086-8866-d152497d7dc3","NCI Thesaurus","Code_147",""
"140","C82535","Test Method","d9d8bf91-a1ef-47a3-8220-cd6619f199b1","NCI Thesaurus","Code_148",""
"141","C83114","Vital Signs Position","d266796e-3e3d-4d0a-9db1-fc27921e7fd3","NCI Thesaurus","Code_149",""
"142","C25298","Systolic Blood Pressure","e71bd61d-0c75-4932-8c08-399db5ef61f0","NCI Thesaurus","Code_142",""
"143","C173522","Vital Signs Result","b1a5eee4-ec38-4409-815d-2d394febf35f","NCI Thesaurus","Code_151",""
"144","C42547","Pascal","dc38966a-3563-46cb-bca8-dfa616aaf2e9","http://www.cdisc.org","Code_152","2023-09-29"
"145","C49669","Unit of Pressure","0dbfb516-af2c-4984-a6f7-b459a282241e","NCI Thesaurus","Code_153",""
"146","C83088","Vital Signs Location","5ae9fe33-1499-4f05-a515-a3968f649d91","NCI Thesaurus","Code_154",""
"147","C123975","Vital Signs Laterality","11967832-f142-4661-8456-32d9cd2447ce","NCI Thesaurus","Code_155",""
"148","C82535","Test Method","7930f478-e762-4825-95af-baf7554f9169","NCI Thesaurus","Code_156",""
"149","C83114","Vital Signs Position","3fc1c8b6-22b4-4831-8e98-98479e6489c8","NCI Thesaurus","Code_157",""
"150","C25299","Diastolic Blood Pressure","2f7b5f97-6fc8-42d5-b457-1e2d7e513b85","NCI Thesaurus","Code_150",""
"151","C173522","Vital Signs Result","3db738ae-c433-4f3e-985d-9e4a3c556eb0","NCI Thesaurus","Code_159",""
"152","C42537","Kelvin","8d648432-bc87-46be-8750-35cd1010c638","http://www.cdisc.org","Code_160","2023-09-29"
"153","C44276","Unit of Temperature","f0c7416e-b782-4aae-86cf-67de63225ee7","NCI Thesaurus","Code_161",""
"154","C83088","Vital Signs Location","345d1adc-2577-4fa4-a0d2-9e64d4120932","NCI Thesaurus","Code_162",""
"155","C174446","Body Temperature","0557fa99-cc81-4909-a27e-b891b7adae9f","NCI Thesaurus","Code_158",""
"156","C173522","Vital Signs Result","afee7e52-554a-4d82-b732-805965035461","NCI Thesaurus","Code_164",""
"157","C28252","Kilogram","5a2e6ff2-fcb4-4199-96e5-f491605a4abe","http://www.cdisc.org","Code_165","2023-09-29"
"158","C48155","Gram","18931536-c01e-430c-b18f-d155e90c98c3","http://www.cdisc.org","Code_166","2023-09-29"
"159","C48531","Pound","8fcf33d7-dcb4-4b59-9d57-96e8cfb5a44e","http://www.cdisc.org","Code_167","2023-09-29"
"160","C48208","Unit of Weight","41012426-7f13-47f0-8fc0-53d0f026e2f9","NCI Thesaurus","Code_168",""
"161","C81328","Body Weight","96ce4a29-a07d-41ba-b576-9a12286e0111","NCI Thesaurus","Code_163",""
"162","C173522","Vital Signs Result","631b17ab-88d0-494c-adf4-4bcbd0dac832","NCI Thesaurus","Code_170",""
"163","C49668","Centimeter","99e13d0c-b6d9-46a5-8cbf-24453dd5d1bc","http://www.cdisc.org","Code_171","2023-09-29"
"164","C48500","Inch","2b6ce7c6-4279-4097-8760-3a6c13b939a0","http://www.cdisc.org","Code_172","2023-09-29"
"165","C28251","Millimeter","f9fc63ed-8077-4b99-94a3-64f3886d7ef7","http://www.cdisc.org","Code_173","2023-09-29"
"166","C41139","Meter","e0a47f5c-d88b-47e5-884a-890b8de6ff96","http://www.cdisc.org","Code_174","2023-09-29"
"167","C168688","Unit of Height","7ac0ec6f-5a04-448b-bf95-b9efe7b433bd","NCI Thesaurus","Code_175",""
"168","C164634","Body Height","a275a558-0175-4561-991c-96e1cc415b40","NCI Thesaurus","Code_169",""
"169","C36292","Laboratory Test Result","2c45f796-e37b-4b1f-a874-0520323572da","NCI Thesaurus","Code_177",""
"170","C83309","Laboratory Test Fasting Status","64b05e44-28b7-4e9e-a2a5-44aeb7e10f38","NCI Thesaurus","Code_178",""
"171","C67365","Unit of Catalytic Activity Concentration","c040ef02-2403-48f5-88d2-274416194fe8","NCI Thesaurus","Code_179",""
"172","C70713","Biospecimen Type","473063ce-592e-4ec1-bee1-1bc3b642b4fb","NCI Thesaurus","Code_180",""
"173","C64433","Alanine Aminotransferase Measurement","87b9ae21-26ec-4dbd-bda4-8f2f30766263","NCI Thesaurus","Code_176",""
"174","C36292","Laboratory Test Result","0087ca28-5018-4f7e-b172-ab6a8167c6b7","NCI Thesaurus","Code_182",""
"175","C83309","Laboratory Test Fasting Status","77b8537c-cd90-4d4c-84b9-a834664a1246","NCI Thesaurus","Code_183",""
"176","C48207","Unit of Concentration","e0bd9827-6c42-490b-b63f-2aee9cf1f6bc","NCI Thesaurus","Code_184",""
"177","C70713","Biospecimen Type","c25616fe-4488-4505-bd23-160af601530a","NCI Thesaurus","Code_185",""
"178","C64431","Albumin Measurement","d6cdfc8b-8c00-47ce-8c26-d0bfb661e739","NCI Thesaurus","Code_181",""
"179","C36292","Laboratory Test Result","8c425f8f-c1ce-46de-a197-65e9d4cd5f73","NCI Thesaurus","Code_187",""
"180","C83309","Laboratory Test Fasting Status","bef0ad1b-78de-4e64-aadd-abd76f7b7637","NCI Thesaurus","Code_188",""
"181","C67365","Unit of Catalytic Activity Concentration","2455deba-8903-4fea-98e3-dde3df154fe6","NCI Thesaurus","Code_189",""
"182","C70713","Biospecimen Type","e437d98b-a8ca-4d71-8561-983259c6ef75","NCI Thesaurus","Code_190",""
"183","C64432","Alkaline Phosphatase Measurement","b5e4149a-f5b8-48fa-a292-848a90a5ede4","NCI Thesaurus","Code_186",""
"184","C36292","Laboratory Test Result","269cba2a-bed3-42c8-80cc-cf9da78beac8","NCI Thesaurus","Code_192",""
"185","C83309","Laboratory Test Fasting Status","2accf2d8-1ce5-4826-bb2e-2d09650678b0","NCI Thesaurus","Code_193",""
"186","C67365","Unit of Catalytic Activity Concentration","b5852911-e6a6-488b-9705-8dae86ade1e4","NCI Thesaurus","Code_194",""
"187","C70713","Biospecimen Type","bcb67b3a-033c-4968-858c-06306e878094","NCI Thesaurus","Code_195",""
"188","C64467","Aspartate Aminotransferase Measurement","693b8f3e-cde6-4fb1-bad2-fec0f81419f2","NCI Thesaurus","Code_191",""
"189","C36292","Laboratory Test Result","04d3bf32-d12b-405d-bca5-c80f306bf0ea","NCI Thesaurus","Code_197",""
"190","C83309","Laboratory Test Fasting Status","770d31db-6415-4251-98c1-91713f42b705","NCI Thesaurus","Code_198",""
"191","C48207","Unit of Concentration","871e508d-dd08-4f5c-aed6-be8416584825","NCI Thesaurus","Code_199",""
"192","C70713","Biospecimen Type","9d17340a-99b4-40f3-9b5d-584a59213d93","NCI Thesaurus","Code_200",""
"193","C64547","Creatinine Measurement","a2c0bf2e-151c-4894-970e-70e745549396","NCI Thesaurus","Code_196",""
"194","C36292","Laboratory Test Result","a22e7890-2e77-43cc-b0f0-2f3f272de228","NCI Thesaurus","Code_202",""
"195","C83309","Laboratory Test Fasting Status","7b70457d-689a-43e3-9027-e39d36dca245","NCI Thesaurus","Code_203",""
"196","C64567","Molarity Unit","316ae143-0c9d-44bd-9107-2cb795545a54","NCI Thesaurus","Code_204",""
"197","C70713","Biospecimen Type","94651a2e-07c0-45f4-90ef-25b6fddb6f26","NCI Thesaurus","Code_205",""
"198","C64853","Potassium Measurement","6fce546a-6e23-49ee-a7b1-0bd8c57a76d8","NCI Thesaurus","Code_201",""
"199","C36292","Laboratory Test Result","848ed89a-332f-430a-b2a3-8669bdf6c46f","NCI Thesaurus","Code_207",""
"200","C83309","Laboratory Test Fasting Status","2f1376c0-cf2c-48cb-bd5e-0064236b5039","NCI Thesaurus","Code_208",""
"201","C64567","Molarity Unit","4ffa29da-9552-4abb-b275-a1aae2b6de5d","NCI Thesaurus","Code_209",""
"202","C70713","Biospecimen Type","99f85157-54b7-4cf2-9d53-6cc7319b4046","NCI Thesaurus","Code_210",""
"203","C64809","Sodium Measurement","e58113ba-bb2e-4e5b-9259-ce9f6fbe8215","NCI Thesaurus","Code_206",""
"204","C173522","Vital Signs Result","ced150e6-1789-4446-85a1-5b663118781d","NCI Thesaurus","Code_212",""
"205","C42547","Pascal","a26aae11-0758-4ec3-9f6f-2f42ba525995","http://www.cdisc.org","Code_213","2023-09-29"
"206","C49669","Unit of Pressure","8c0824a2-49a2-45ce-a131-9562267b18a0","NCI Thesaurus","Code_214",""
"207","C83088","Vital Signs Location","f68b475d-6311-4bce-92d5-1ead0fef5fc2","NCI Thesaurus","Code_215",""
"208","C123975","Vital Signs Laterality","07b11210-072a-4e1f-a86a-a6670015cbd0","NCI Thesaurus","Code_216",""
"209","C82535","Test Method","ebeb22cb-acbe-4875-b139-03e2c22ca0bf","NCI Thesaurus","Code_217",""
"210","C83114","Vital Signs Position","9697be77-a47c-4439-9d1b-0194fc0754a2","NCI Thesaurus","Code_218",""
"211","C25298","Systolic Blood Pressure","01b3f9d6-0eea-47cf-b6cf-d1c01309e092","NCI Thesaurus","Code_211",""
"212","C173522","Vital Signs Result","1291dcfa-245d-4a1f-8040-67189bef6291","NCI Thesaurus","Code_220",""
"213","C42547","Pascal","f0f3ff6b-4c93-4ba4-bd5f-ac4cd987d0af","http://www.cdisc.org","Code_221","2023-09-29"
"214","C49669","Unit of Pressure","5d824574-6ed7-4b4f-8f87-97abb9283498","NCI Thesaurus","Code_222",""
"215","C83088","Vital Signs Location","291a99a0-95c7-4f48-8372-bddab7f7c070","NCI Thesaurus","Code_223",""
"216","C123975","Vital Signs Laterality","2654cb2e-c908-4a72-9436-c2a3c1635982","NCI Thesaurus","Code_224",""
"217","C82535","Test Method","1fa62ef2-3778-4bd0-a6a3-74a998cc15a3","NCI Thesaurus","Code_225",""
"218","C83114","Vital Signs Position","ae51324d-eaa0-47ef-a4b4-54f69441269d","NCI Thesaurus","Code_226",""
"219","C25299","Diastolic Blood Pressure","318dc176-4183-4846-93ba-7eb8cef44f77","NCI Thesaurus","Code_219",""
"220","C173522","Vital Signs Result","b14aa96f-5e66-40ef-8b0e-420d24dca3fd","NCI Thesaurus","Code_228",""
"221","C42547","Pascal","b1cc73ac-5289-49f0-ac3e-6d1fc86a47cc","http://www.cdisc.org","Code_229","2023-09-29"
"222","C49669","Unit of Pressure","6be606a6-e1a5-46cd-bca7-bc5972a2c062","NCI Thesaurus","Code_230",""
"223","C83088","Vital Signs Location","18dcf668-c2e7-429b-92cf-d32abb0a8ca4","NCI Thesaurus","Code_231",""
