"id:ID","sectionNumber","sectionTitle","uuid","name","text","id"
"910","8.7","Pharmacokinetics","f641af0f-3619-4bb0-b544-cb5cf17c4841","SECTION 8.7","<div></div>","NarrativeContent_89"
"911","8.8","Genetics","af4cb543-5aeb-4bd0-bd2a-664346f7fe0b","SECTION 8.8","<div></div>","NarrativeContent_90"
"912","8.9","Biomarkers","016fc831-2a9a-43fd-8713-67a6d23d68a2","SECTION 8.9","<div></div>","NarrativeContent_91"
"913","8.1","Immunogenicity Assessments","5949d24f-8937-4ba0-8903-da4dfdd1a5b6","SECTION 8.1","<div></div>","NarrativeContent_92"
"914","8.1.1","Medical Resource Utilisation and Health Economics","a4886762-252d-4fa5-bbce-682ea1aa7e63","SECTION 8.1.1","<div></div>","NarrativeContent_93"
"915","9","STATISTICAL CONSIDERATIONS","e5a86bcd-d42d-4fa8-b6d0-60a7982ff5db","SECTION 9","<div></div>","NarrativeContent_94"
"916","9.1","Analysis Sets","4bd22045-f6c4-4499-855f-45dac12ca095","SECTION 9.1","<div></div>","NarrativeContent_95"
"917","9.2","Analyses Supporting Primary Objective(s)","14d9ef04-1ab7-414e-b082-7a0800862f29","SECTION 9.2","<div></div>","NarrativeContent_96"
"918","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","0c605e0b-f2f8-4336-a544-fa01775f6ffe","SECTION 9.2.1","<div></div>","NarrativeContent_97"
"919","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","e96b922a-2e16-470b-ad04-8795c3023aa0","SECTION 9.2.2","<div></div>","NarrativeContent_98"
"920","9.2.3","Handling of Missing Data","b337ede6-5907-4559-9980-79ec143a140b","SECTION 9.2.3","<div></div>","NarrativeContent_99"
"921","9.2.4","Sensitivity Analysis","f47c2ec4-2c31-4d11-ad82-f6b457d1bd88","SECTION 9.2.4","<div></div>","NarrativeContent_100"
"922","9.2.5","Supplementary Analysis","78a0b2a3-c6bc-4f80-8bd8-7b0e9273508c","SECTION 9.2.5","<div></div>","NarrativeContent_101"
"923","9.3","Analysis Supporting Secondary Objective(s)","e887179b-74b7-47da-a15d-5fd2dd6a6f7b","SECTION 9.3","<div></div>","NarrativeContent_102"
"924","9.4","Analysis of Exploratory Objective(s)","ce44650e-2066-4eef-9a3c-929cb7319269","SECTION 9.4","<div></div>","NarrativeContent_103"
"925","9.5","Safety Analyses","31f0313b-86dd-4cea-9b95-198e392ac4f6","SECTION 9.5","<div></div>","NarrativeContent_104"
"926","9.6","Other Analyses","9341d272-4e47-4aa5-b1fe-863ffd3944ad","SECTION 9.6","<div></div>","NarrativeContent_105"
"927","9.7","Interim Analyses","7b05b8ec-9b71-47f9-a95e-989d77937c43","SECTION 9.7","<div></div>","NarrativeContent_106"
"928","9.8","Sample Size Determination","7d192d01-1c6c-49e7-a7b3-7d18bcb4d04b","SECTION 9.8","<div></div>","NarrativeContent_107"
"929","9.9","Protocol Deviations","cb9f2a97-48b2-4ea2-88bc-85bc6b2512f3","SECTION 9.9","<div></div>","NarrativeContent_108"
"930","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","03cd2842-3b0e-4803-8fec-c26188e25984","SECTION 10","<div></div>","NarrativeContent_109"
"931","10.1","Regulatory and Ethical Considerations","5fe8b512-3d33-43c4-a91a-8be9a942e929","SECTION 10.1","<div></div>","NarrativeContent_110"
"932","10.2","Committees","7b4e8944-0de8-4a8b-80c4-5b588bba9a83","SECTION 10.2","<div></div>","NarrativeContent_111"
"933","10.3","Informed Consent Process","ed24c796-a8c7-4b0b-9dcd-13ef1805871d","SECTION 10.3","<div></div>","NarrativeContent_112"
"934","10.4","Data Protection","289b3770-1aca-4ee9-895a-69b6e7bfa1fe","SECTION 10.4","<div></div>","NarrativeContent_113"
"935","10.5","Early Site Closure or Trial Termination","655ef7eb-7de7-40cb-952c-37511579d1c4","SECTION 10.5","<div></div>","NarrativeContent_114"
"936","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","2b88ebb2-bc62-4914-acca-21b6154b2ba3","SECTION 11","<div></div>","NarrativeContent_115"
"937","11.1","Quality Tolerance Limits","53038b8b-dd97-4a75-8db8-d0a8fb104f4d","SECTION 11.1","<div></div>","NarrativeContent_116"
"938","11.2","Data Quality Assurance","d94ddfeb-01f7-4f4e-ae55-37e64ea0d582","SECTION 11.2","<div></div>","NarrativeContent_117"
"939","11.3","Source Data","ca21a23e-176b-4fe4-9af4-4440b4e6d0d9","SECTION 11.3","<div></div>","NarrativeContent_118"
"940","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","10d3f734-ae32-41d8-aa6c-1a31d09dd872","SECTION 12","<div></div>","NarrativeContent_119"
"941","12.1","Further Details and Clarifications on the AE Definition","e4c1c637-0e5f-4737-9d56-de64f5819cf9","SECTION 12.1","<div></div>","NarrativeContent_120"
"942","12.2","Further Details and Clarifications on the SAE Definition","d1ea4e62-fb43-499e-aa36-1e7d094d408f","SECTION 12.2","<div></div>","NarrativeContent_121"
"943","12.3","Severity","638b9cf4-9d5a-4f33-a044-7757109256aa","SECTION 12.3","<div></div>","NarrativeContent_122"
"944","12.4","Causality","dde18234-90a6-468e-9f60-b4f071ed7922","SECTION 12.4","<div></div>","NarrativeContent_123"
"945","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","134f49a1-2472-4141-857d-b84672aaa634","SECTION 13","<div></div>","NarrativeContent_124"
"946","13.1","Contraception and Pregnancy Testing","c5625392-128c-4918-914e-dd381064ed28","SECTION 13.1","<div></div>","NarrativeContent_125"
"947","13.1.1","Definitions Related to Childbearing Potential","c6824b47-092b-4db5-8724-620fa8022ec7","SECTION 13.1.1","<div></div>","NarrativeContent_126"
"948","13.1.2","Contraception","d0b6ad55-be17-4b95-9cd8-a99001a004a8","SECTION 13.1.2","<div></div>","NarrativeContent_127"
"949","13.1.3","Pregnancy Testing","66714cc0-fca4-4b8b-b84f-79675bcdf420","SECTION 13.1.3","<div></div>","NarrativeContent_128"
"950","13.2","Clinical Laboratory Tests","9673772b-6248-4390-9ccc-df050ce9049e","SECTION 13.2","<div></div>","NarrativeContent_129"
"951","13.3","Country/Region-Specific Differences","d4a875a3-bb77-4b9e-99f5-bce7923006e0","SECTION 13.3","<div></div>","NarrativeContent_130"
"952","13.4","Prior Protocol Amendments","d5658c8f-5fd1-4bbd-9152-97b83187d2a4","SECTION 13.4","<div></div>","NarrativeContent_131"
"953","14","APPENDIX: GLOSSARY OF TERMS","07601d6b-39cb-40e3-8f9b-ddced5281ff4","SECTION 14","<div></div>","NarrativeContent_132"
"954","15","APPENDIX: REFERENCES","adc668f5-2566-4416-8ffa-3336afc8257c","SECTION 15","<div></div>","NarrativeContent_133"
