"instanceType","sectionNumber","name","id","sectionTitle","text","uuid:ID"
"NarrativeContent","5.2","SECTION 5.2","NarrativeContent_23","Rationale for Trial Population","<div></div>","3f890244-6582-418b-99cd-367acf2ff7b8"
"NarrativeContent","5.3","SECTION 5.3","NarrativeContent_24","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5ace9276-d75e-454d-a217-0612874dd111"
"NarrativeContent","5.4","SECTION 5.4","NarrativeContent_25","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","bf6f76af-23ae-4d51-897f-05091f1f3f28"
"NarrativeContent","5.5","SECTION 5.5","NarrativeContent_26","Lifestyle Considerations","<div></div>","1ab386a8-f799-479f-8791-e1dddcc04558"
"NarrativeContent","5.5.1","SECTION 5.5.1","NarrativeContent_27","Meals and Dietary Restrictions","<div></div>","b2a3f9d9-cabc-4451-83ca-640e8edfe2b8"
"NarrativeContent","5.5.2","SECTION 5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","36a97f1f-f38b-4735-8f9d-8bb909c844a6"
"NarrativeContent","5.5.3","SECTION 5.5.3","NarrativeContent_29","Physical Activity","<div></div>","a3085f01-b7b3-4725-85c8-629078f5068d"
"NarrativeContent","5.5.4","SECTION 5.5.4","NarrativeContent_30","Other Activity","<div></div>","c0968d5a-2217-4ae4-b4e3-b3134b769c22"
"NarrativeContent","5.6","SECTION 5.6","NarrativeContent_31","Screen Failures","<div></div>","fbf8b33b-18c5-43b7-9d1b-379f47621a61"
"NarrativeContent","6","SECTION 6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","12f4cdeb-c480-441b-8c8e-98bb0995343c"
"NarrativeContent","6.1","SECTION 6.1","NarrativeContent_33","Description of Trial Intervention","<div></div>","95de75b7-8d2d-44c3-b4d7-a0341b1a6afd"
"NarrativeContent","6.2","SECTION 6.2","NarrativeContent_34","Rationale for Trial Intervention","<div></div>","a407ac4b-a388-44f7-bb42-9d714e37bb2b"
"NarrativeContent","6.3","SECTION 6.3","NarrativeContent_35","Dosing and Administration","<div></div>","b47eab75-c512-46eb-8bdb-c8bd97b5cbf7"
"NarrativeContent","6.3.1","SECTION 6.3.1","NarrativeContent_36","Trial Intervention Dose Modification","<div></div>","a8223629-2ab3-4854-a076-a76ac1d06e55"
"NarrativeContent","6.4","SECTION 6.4","NarrativeContent_37","Treatment of Overdose","<div></div>","fe9bf443-275c-4ef7-81a9-ad90b4dbbf67"
"NarrativeContent","6.5","SECTION 6.5","NarrativeContent_38","Preparation, Handling, Storage and Accountability","<div></div>","5f722b81-7e5d-46f5-9bd2-6c8db8f7c88e"
"NarrativeContent","6.5.1","SECTION 6.5.1","NarrativeContent_39","Preparation of Trial Intervention","<div></div>","b8429c7e-aebc-4cce-a12f-722e1bcd2660"
"NarrativeContent","6.5.2","SECTION 6.5.2","NarrativeContent_40","Handling and Storage of Trial Intervention","<div></div>","f4f8d331-d9b8-498f-a468-647ab6f81fca"
"NarrativeContent","6.5.3","SECTION 6.5.3","NarrativeContent_41","Accountability of Trial Intervention","<div></div>","b912ea09-de50-43c8-b965-81212361e38b"
"NarrativeContent","6.6","SECTION 6.6","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","<div></div>","7167caef-2a25-454c-bef4-0a1ecc998320"
"NarrativeContent","6.6.1","SECTION 6.6.1","NarrativeContent_43","Participant Assignment","<div></div>","235ed0d8-6e16-4460-8753-64c6b58ab1ec"
"NarrativeContent","6.6.2","SECTION 6.6.2","NarrativeContent_44","Randomisation","<div></div>","e657ab1c-3c76-41fc-8a12-786bfa7aa7c9"
"NarrativeContent","6.6.3","SECTION 6.6.3","NarrativeContent_45","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","0ce477c0-8a62-445c-b984-fcbe2604d959"
"NarrativeContent","6.7","SECTION 6.7","NarrativeContent_46","Trial Intervention Compliance","<div></div>","4d9867f1-2814-4b59-b62b-b2077a29cd64"
"NarrativeContent","6.8","SECTION 6.8","NarrativeContent_47","Concomitant Therapy","<div></div>","4ade88ae-8b3b-4a5b-9292-a6ffdb4f8fd1"
"NarrativeContent","6.8.1","SECTION 6.8.1","NarrativeContent_48","Prohibited Concomitant Therapy","<div></div>","a1994f6e-d30f-4a6f-9d4a-69dc085bd4a2"
"NarrativeContent","6.8.2","SECTION 6.8.2","NarrativeContent_49","Permitted Concomitant Therapy","<div></div>","1ccc17a6-b456-4063-9274-e0506e6c703b"
"NarrativeContent","6.8.3","SECTION 6.8.3","NarrativeContent_50","Rescue Therapy","<div></div>","acdbb8b6-a393-462f-a441-e763fea72991"
"NarrativeContent","6.8.4","SECTION 6.8.4","NarrativeContent_51","Other Therapy","<div></div>","55aec5c7-fab4-47bd-9006-caceec38a031"
"NarrativeContent","7","SECTION 7","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","116bd9a9-7055-43e0-ba7d-7d782972113a"
"NarrativeContent","7.1","SECTION 7.1","NarrativeContent_53","Discontinuation of Trial Intervention","<div></div>","a5199f29-5b79-468e-ba23-12d85fc274df"
"NarrativeContent","7.1.1","SECTION 7.1.1","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","e90bb7c0-3b29-45b7-8387-6051d82d657a"
"NarrativeContent","7.1.2","SECTION 7.1.2","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","5e5b793c-8e75-41f2-8361-003f3e232144"
"NarrativeContent","7.1.3","SECTION 7.1.3","NarrativeContent_56","Rechallenge","<div></div>","49b990de-6de5-4441-9bba-be4fe3c4b6e5"
"NarrativeContent","7.2","SECTION 7.2","NarrativeContent_57","Participant Withdrawal from the Trial","<div></div>","d5ca1786-8372-4f6b-ad51-685145d81c9e"
"NarrativeContent","7.3","SECTION 7.3","NarrativeContent_58","Lost to Follow-Up","<div></div>","dc6336cf-ffa8-4c40-a22f-b27dd0d20e9a"
"NarrativeContent","7.4","SECTION 7.4","NarrativeContent_59","Trial Stopping Rules","<div></div>","c7ab591a-6670-4065-8036-c0b03e17db9e"
"NarrativeContent","8","SECTION 8","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","8ba41e1b-4ec8-4329-a885-d82178d6d789"
"NarrativeContent","8.1","SECTION 8.1","NarrativeContent_61","Screening/Baseline Assessments and Procedures","<div></div>","303f6968-38fe-4aa6-89e2-6366c1e985c6"
"NarrativeContent","8.2","SECTION 8.2","NarrativeContent_62","Efficacy Assessments and Procedures","<div></div>","0ce0d383-8415-4967-a5e9-7c46868d2de6"
"NarrativeContent","8.3","SECTION 8.3","NarrativeContent_63","Safety Assessments and Procedures","<div></div>","b7f982a2-3677-4a01-9772-3d13aa7b52e7"
"NarrativeContent","8.3.1","SECTION 8.3.1","NarrativeContent_64","Physical Examination","<div></div>","b92c43f9-e13f-401f-913e-a1503d56d277"
"NarrativeContent","8.3.2","SECTION 8.3.2","NarrativeContent_65","Vital Signs","<div></div>","e1c73d7b-de2e-4171-b3b1-f60937596b6d"
"NarrativeContent","8.3.3","SECTION 8.3.3","NarrativeContent_66","Electrocardiograms","<div></div>","fe02e333-430c-4152-a3ae-4cef3e481ff3"
"NarrativeContent","8.3.4","SECTION 8.3.4","NarrativeContent_67","Clinical Laboratory Assessments","<div></div>","b030c627-c297-4d80-8b8f-72184a52c587"
"NarrativeContent","8.3.5","SECTION 8.3.5","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","c368787e-2cdf-43e1-9849-32555bc7caa3"
"NarrativeContent","8.4","SECTION 8.4","NarrativeContent_69","Adverse Events and Serious Adverse Events","<div></div>","a4519502-301b-48da-87bb-6d9d8ae901c6"
"NarrativeContent","8.4.1","SECTION 8.4.1","NarrativeContent_70","Definitions of AE and SAE","<div></div>","9a19226c-b47d-402f-9c0f-4beee74a5ef3"
"NarrativeContent","8.4.2","SECTION 8.4.2","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","dbf7ecc8-f573-43bb-af7c-e33f4bc0beaa"
"NarrativeContent","8.4.3","SECTION 8.4.3","NarrativeContent_72","Identifying AEs and SAEs","<div></div>","2355c18d-3771-4b98-8a7d-a555db8f37a3"
"NarrativeContent","8.4.4","SECTION 8.4.4","NarrativeContent_73","Recording of AEs and SAEs","<div></div>","f0d4ba7e-ce3f-4d83-8985-4093dbc9e71f"
"NarrativeContent","8.4.5","SECTION 8.4.5","NarrativeContent_74","Follow-up of AEs and SAEs","<div></div>","c95c9fcd-80fd-4bc6-940c-f5a6640b7528"
"NarrativeContent","8.4.6","SECTION 8.4.6","NarrativeContent_75","Reporting of SAEs","<div></div>","75d5a2fa-0250-48e0-8a13-1cf8e1ccdce6"
"NarrativeContent","8.4.7","SECTION 8.4.7","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","<div></div>","631288f7-0851-43a5-8ffe-fa22d82d876d"
"NarrativeContent","8.4.8","SECTION 8.4.8","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","<div></div>","973b801c-8dbd-4b63-896f-7df1508d393d"
"NarrativeContent","8.4.9","SECTION 8.4.9","NarrativeContent_78","Adverse Events of Special Interest","<div></div>","93a6b755-a36d-4f7b-831c-0f5f39d3ad81"
"NarrativeContent","8.4.10","SECTION 8.4.10","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","39d8b494-bafc-4d61-8771-3c9319991df1"
"NarrativeContent","8.5","SECTION 8.5","NarrativeContent_80","Pregnancy and Postpartum Information","<div></div>","0fca518c-2d52-4e0c-99d0-19cef95d740f"
"NarrativeContent","8.5.1","SECTION 8.5.1","NarrativeContent_81","Participants Who Become Pregnant During the Trial","<div></div>","f4ca09f2-52a0-41c7-b070-b55ce3ec6664"
"NarrativeContent","8.5.2","SECTION 8.5.2","NarrativeContent_82","Participants Whose Partners Become Pregnant","<div></div>","ccdd4bab-47a7-4226-837f-377d7af8c391"
"NarrativeContent","8.6","SECTION 8.6","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","35d3238a-a556-4c08-9797-0228cfc142ca"
"NarrativeContent","8.6.1","SECTION 8.6.1","NarrativeContent_84","Definition of Medical Device Product Complaints","<div></div>","33109a42-c633-4517-b9d6-ef2f655897f3"
"NarrativeContent","8.6.2","SECTION 8.6.2","NarrativeContent_85","Recording of Medical Device Product Complaints","<div></div>","ec14575c-a5ef-4ecb-bb5d-87f8ab1e7d03"
"NarrativeContent","8.6.3","SECTION 8.6.3","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","b3aacccc-70c4-44ad-9a6e-191423ffd6c6"
"NarrativeContent","8.6.4","SECTION 8.6.4","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","<div></div>","22d374c6-6570-4b80-a87c-53d5fc50ea2d"
"NarrativeContent","8.6.5","SECTION 8.6.5","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","8e885fcd-e3ea-4ec7-a859-102385b67b38"
"NarrativeContent","8.7","SECTION 8.7","NarrativeContent_89","Pharmacokinetics","<div></div>","6c05aab7-51fc-4372-ad70-8ae9bab5898a"
"NarrativeContent","8.8","SECTION 8.8","NarrativeContent_90","Genetics","<div></div>","95f55897-ae6b-4631-b2ba-0549cc3846e7"
"NarrativeContent","8.9","SECTION 8.9","NarrativeContent_91","Biomarkers","<div></div>","9d87dbc6-2ff1-47f0-a42b-f82c3d0eb100"
"NarrativeContent","8.1","SECTION 8.1","NarrativeContent_92","Immunogenicity Assessments","<div></div>","2012fcc2-3c45-43e3-989a-97538f06df2b"
"NarrativeContent","8.1.1","SECTION 8.1.1","NarrativeContent_93","Medical Resource Utilisation and Health Economics","<div></div>","dfee53b2-88f4-4541-bf3c-39d8c85fe9a4"
"NarrativeContent","9","SECTION 9","NarrativeContent_94","STATISTICAL CONSIDERATIONS","<div></div>","5a8a51a1-884f-4e0e-874f-b0e8027c4a76"
"NarrativeContent","9.1","SECTION 9.1","NarrativeContent_95","Analysis Sets","<div></div>","3d3978be-055d-4dd9-ab4e-1008fd191400"
"NarrativeContent","9.2","SECTION 9.2","NarrativeContent_96","Analyses Supporting Primary Objective(s)","<div></div>","3c1b27f9-5e5c-4eae-a105-f3ef3e004606"
"NarrativeContent","9.2.1","SECTION 9.2.1","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","eac2f777-cf18-488d-adfb-5c8a4345ff91"
"NarrativeContent","9.2.2","SECTION 9.2.2","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","3225dcaf-2e6a-4385-a97c-c698e58f02a4"
"NarrativeContent","9.2.3","SECTION 9.2.3","NarrativeContent_99","Handling of Missing Data","<div></div>","d2aff687-5ebf-4d00-8f7e-bc80c9465dee"
"NarrativeContent","9.2.4","SECTION 9.2.4","NarrativeContent_100","Sensitivity Analysis","<div></div>","90557e86-f69f-4e11-a724-792ad4a020e3"
"NarrativeContent","9.2.5","SECTION 9.2.5","NarrativeContent_101","Supplementary Analysis","<div></div>","ef33abbb-1ba8-452e-8931-5715dd078105"
"NarrativeContent","9.3","SECTION 9.3","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","<div></div>","60aebfab-5ff7-466f-beee-8d8c6195aa29"
"NarrativeContent","9.4","SECTION 9.4","NarrativeContent_103","Analysis of Exploratory Objective(s)","<div></div>","1fd5c441-f971-489b-b262-ebbc3b68cc06"
"NarrativeContent","9.5","SECTION 9.5","NarrativeContent_104","Safety Analyses","<div></div>","6f4328ad-147e-4ec6-8965-3c9c7edf85df"
"NarrativeContent","9.6","SECTION 9.6","NarrativeContent_105","Other Analyses","<div></div>","e907721b-edf2-4477-9e8b-f3483b678ec7"
"NarrativeContent","9.7","SECTION 9.7","NarrativeContent_106","Interim Analyses","<div></div>","956572b4-5781-43db-8049-b8d86cd03416"
"NarrativeContent","9.8","SECTION 9.8","NarrativeContent_107","Sample Size Determination","<div></div>","bc171281-9e47-4686-9e37-a08e09177b9b"
"NarrativeContent","9.9","SECTION 9.9","NarrativeContent_108","Protocol Deviations","<div></div>","1adf0f9d-0cbf-407d-8250-6869a29bb78a"
"NarrativeContent","10","SECTION 10","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","0a1f108f-8dd6-4640-af3e-d3a7736db902"
"NarrativeContent","10.1","SECTION 10.1","NarrativeContent_110","Regulatory and Ethical Considerations","<div></div>","607e1326-50c3-4725-a327-66a0b45e425c"
"NarrativeContent","10.2","SECTION 10.2","NarrativeContent_111","Committees","<div></div>","f745f393-b5e1-4050-a0d0-e88c1007c005"
"NarrativeContent","10.3","SECTION 10.3","NarrativeContent_112","Informed Consent Process","<div></div>","5e6980b6-490c-4d90-a606-158247e7383e"
"NarrativeContent","10.4","SECTION 10.4","NarrativeContent_113","Data Protection","<div></div>","5bfef32a-d18e-4ccc-a3af-0bbb872c311f"
"NarrativeContent","10.5","SECTION 10.5","NarrativeContent_114","Early Site Closure or Trial Termination","<div></div>","ddfbab2d-bdd3-455d-8b87-fb2a50779f1e"
"NarrativeContent","11","SECTION 11","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","b0e91761-352e-4006-bb25-30b8f203ecfc"
"NarrativeContent","11.1","SECTION 11.1","NarrativeContent_116","Quality Tolerance Limits","<div></div>","41d53a2f-5795-4be4-86a2-8893c70f42c6"
"NarrativeContent","11.2","SECTION 11.2","NarrativeContent_117","Data Quality Assurance","<div></div>","ee17e76d-c27d-4a55-8f5c-da5b8dfecf9c"
"NarrativeContent","11.3","SECTION 11.3","NarrativeContent_118","Source Data","<div></div>","fe911bf5-ea21-49c1-8a68-9119efb0b7ed"
"NarrativeContent","12","SECTION 12","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","1bbd44ed-be1a-4f96-aa3a-74eb38e260b2"
"NarrativeContent","12.1","SECTION 12.1","NarrativeContent_120","Further Details and Clarifications on the AE Definition","<div></div>","0f247a73-6d25-4c74-a9a4-6ed3771ac191"
"NarrativeContent","12.2","SECTION 12.2","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","<div></div>","d848f69f-29fb-4b22-91f7-14787c4824ad"
"NarrativeContent","12.3","SECTION 12.3","NarrativeContent_122","Severity","<div></div>","d84d9d14-22ae-4965-b274-053eab4f7106"
"NarrativeContent","12.4","SECTION 12.4","NarrativeContent_123","Causality","<div></div>","3c58ec37-7f2a-4ba2-a76d-5fb6b93ec104"
"NarrativeContent","13","SECTION 13","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","b251a068-b1ab-4ac8-88c7-52e093723d57"
"NarrativeContent","13.1","SECTION 13.1","NarrativeContent_125","Contraception and Pregnancy Testing","<div></div>","ed5d31f3-9907-4a3c-953e-4e273a603b4e"
"NarrativeContent","13.1.1","SECTION 13.1.1","NarrativeContent_126","Definitions Related to Childbearing Potential","<div></div>","5a45ec34-8a2e-4cbd-be83-69a54f4c976c"
"NarrativeContent","13.1.2","SECTION 13.1.2","NarrativeContent_127","Contraception","<div></div>","51fdeab6-9f54-4d77-ac62-385ec8f63ed0"
"NarrativeContent","13.1.3","SECTION 13.1.3","NarrativeContent_128","Pregnancy Testing","<div></div>","b3af97d0-9140-47da-98d7-2ccc520080a7"
"NarrativeContent","13.2","SECTION 13.2","NarrativeContent_129","Clinical Laboratory Tests","<div></div>","680b3a4e-ee87-49e1-a231-a227c3784f10"
"NarrativeContent","13.3","SECTION 13.3","NarrativeContent_130","Country/Region-Specific Differences","<div></div>","5e443ac0-d661-43ca-9637-b1bd2559d416"
"NarrativeContent","13.4","SECTION 13.4","NarrativeContent_131","Prior Protocol Amendments","<div></div>","f54e57c6-04de-45c5-944a-292b3cfb9f32"
"NarrativeContent","14","SECTION 14","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","<div></div>","8896a7fc-664e-4c1b-b020-f42579db1622"
"NarrativeContent","15","SECTION 15","NarrativeContent_133","APPENDIX: REFERENCES","<div></div>","55975717-7cd4-4acd-b496-7bd74faaed96"
