"instanceType","name","synonyms","label","id","reference","uuid:ID"
"BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","9a60ba49-de41-4b24-bc96-bf8574fe4834"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","7727cd32-b43a-48c9-a3d3-4bcef29c94f9"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","cb2e558d-b839-41d3-b2ef-87843c22d8ce"
"BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","de821063-9837-4f8a-85d0-860f225e71d3"
"BiomedicalConcept","Body Weight","['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","774de3fe-e8aa-483f-b307-151ac0797254"
"BiomedicalConcept","Body Height","['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","fc8eea24-fe23-4823-8e19-a5f6d751fd34"
"BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","3ab053a5-1df8-482d-9b96-b975d10b954b"
"BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","c75d9335-e6a9-4ca5-8312-9496d61f7465"
"BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","27da642e-a2c0-4c59-bee8-e59a896e83d6"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","fcc32efd-7edf-4668-bab2-cd922801963f"
"BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","60589905-611c-41ec-a7c7-31f2d23082a1"
"BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","91280ffd-d34b-4311-827c-36a1bdf1ad42"
"BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","5e49c0a9-8d59-4841-ba90-a90b623c8251"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","dc4ff396-697a-4131-86a4-f94175fe74f8"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","6bf9cdc7-1fff-4785-b118-cf0b3b77e167"
"BiomedicalConcept","Heart Rate","","Heart Rate","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","abae304c-b6a4-4edb-817b-acdba927b6e2"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","fbd01f0c-8732-4596-aea6-03d357b1e2ae"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","17a7b239-00e6-44ba-8acd-59080b4e1f33"
"BiomedicalConcept","Heart Rate","","Heart Rate","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","73d6c713-848d-4e9e-ac65-05084cd14f8c"
