"code","id","uuid:ID","codeSystemVersion","instanceType","codeSystem","decode"
"C25716","Code_113","ceb89bdd-8b8c-4071-92ed-30f769feec00","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_114","80cbd168-1f4f-40da-8329-630d65e65933","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_115","73ef781d-48a5-4fad-9be6-2209f5ab62a4","2023-12-15","Code","http://www.cdisc.org","In Person"
"C171537","Code_116","016aa746-b645-4db3-a864-f2419c80cb9b","2023-12-15","Code","http://www.cdisc.org","Telephone Call"
"C25716","Code_117","1f3e2cc7-5423-407c-b3b0-df1012778da5","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_118","3a17ab96-df94-4c57-a162-6c6127de4e24","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_119","b85d331d-4ed4-47d6-bd17-f09a3d278082","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_120","82ebdcb5-cacd-4e2f-966c-f89822a93ba8","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_121","e6500e8c-bc6b-4a28-8c86-1e9282e7c4a7","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_122","8470a787-4bb1-41c3-b254-1b82d19fea93","2023-12-15","Code","http://www.cdisc.org","In Person"
"383371000119108","Code_80","073fe03c-c68e-424c-9725-a2ef36065d75","January 31, 2018","Code","SNOMED","CT of head without contrast"
"123","Code_81","81fdfb6f-d6e7-47a6-9144-ccd9c1b3a3de","12","Code","SPONSOR","Subject Supine"
"124","Code_82","7131e45e-876f-4286-945c-c6e75a326009","12","Code","SPONSOR","Subject Standing"
"C82977","Code_429","256f37fe-0f26-498a-a360-b0484b139e4f","2023-12-15","Code","http://www.cdisc.org","Dictionary-derived Term"
"C82571","Code_430","103ea273-33cd-4456-91a2-87cb2ab02690","2023-12-15","Code","http://www.cdisc.org","Reported Event Term"
"C82517","Code_431","28ac35b8-7731-44e2-b425-c97fea8ef250","2023-12-15","Code","http://www.cdisc.org","Observation Start Date Time"
"C16735","Code_432","f3f2d700-0a27-4843-b9af-8c414822155d","2023-12-15","Code","http://www.cdisc.org","Informed Consent"
"C20197","Code_433","e6bccc8b-5ff2-4878-833a-dd2e6d7abeaf","2023-12-15","Code","http://www.cdisc.org","Male"
"C16576","Code_434","8261412a-7164-4179-a0c1-68a68d581bd9","2023-12-15","Code","http://www.cdisc.org","Female"
"C28421","Code_435","01511cce-212f-451a-92ed-c8b47271c788","2023-12-15","Code","http://www.cdisc.org","Sex"
"C28421","Code_436","f0f14ba6-4cb3-4bf2-8b98-31dfe9910fd2","2023-12-15","Code","http://www.cdisc.org","Sex"
"C17049","Code_437","91fe3665-3e36-4efa-b774-8487443292b0","2023-12-15","Code","http://www.cdisc.org","Race"
"C17049","Code_438","dfa69479-5fb9-4bbf-ad82-af3fc8c35258","2023-12-15","Code","http://www.cdisc.org","Race"
"C174446","Code_439","357da31d-849a-4b21-8bef-e543efbd683a","2023-12-15","Code","http://www.cdisc.org","TEMP"
"C77140","Code_440","cd095db2-47e6-411d-9905-11014279825b","2023-12-15","Code","http://www.cdisc.org","Clinical Test Result"
"C42559","Code_441","2684c909-8621-434a-8682-1e8837fdccc7","2023-12-15","Code","http://www.cdisc.org","Degree Celsius"
"C44277","Code_442","1332a25d-a8b7-47e9-9c0b-0de4b7232ed2","2023-12-15","Code","http://www.cdisc.org","Degree Fahrenheit"
"C42537","Code_443","2a47c588-91b9-4d23-baca-e7840d4901d4","2023-12-15","Code","http://www.cdisc.org","Kelvin"
"C44276","Code_444","423792cd-d71c-41fc-bccf-bc7ad843461b","2023-12-15","Code","http://www.cdisc.org","Unit of Temperature"
"C12674","Code_445","cccf8ed6-c4d8-435c-b794-05938a548a22","2023-12-15","Code","http://www.cdisc.org","Axilla"
"C12394","Code_446","661f6ceb-20a7-48bd-8d83-226139eee49a","2023-12-15","Code","http://www.cdisc.org","Ear"
"C89803","Code_447","0856b8bb-5f43-4231-a38a-3df122070992","2023-12-15","Code","http://www.cdisc.org","Forehead"
"C12421","Code_448","ead3f311-39a6-4945-ac61-5f7eb83c0e0d","2023-12-15","Code","http://www.cdisc.org","Oral Cavity"
"C12390","Code_449","66de72dc-a7d7-4074-a8b8-e30dc1bd600a","2023-12-15","Code","http://www.cdisc.org","Rectum"
"C13717","Code_450","c7d3dc3e-7fdd-421e-9ae4-c7123040d9dd","2023-12-15","Code","http://www.cdisc.org","Anatomic Site"
"C174446","Code_451","ffe3dfea-e8b3-4bae-9249-989a19f0ec66","2023-12-15","Code","http://www.cdisc.org","TEMP"
"C25208","Code_452","f0d4cc36-202d-48ec-8008-51fb81274dff","2023-12-15","Code","http://www.cdisc.org","WEIGHT"
"C77140","Code_453","43ae0638-2abc-4910-a089-22ec4f9eef5a","2023-12-15","Code","http://www.cdisc.org","Clinical Test Result"
"C48531","Code_454","a27ec098-3890-4cea-abf6-bb772db87285","2023-12-15","Code","http://www.cdisc.org","Pound"
"C48155","Code_455","0b27da16-3e76-454d-a6d8-90e93b95b303","2023-12-15","Code","http://www.cdisc.org","Gram"
"C28252","Code_456","cac0a65c-5a5c-4798-8281-fad3e06c3d3d","2023-12-15","Code","http://www.cdisc.org","Kilogram"
"C48208","Code_457","31390558-0e3b-4930-9b6f-453347937bc3","2023-12-15","Code","http://www.cdisc.org","Unit of Weight"
"C25208","Code_458","e0b2db55-4e88-4092-8244-e650332561cd","2023-12-15","Code","http://www.cdisc.org","WEIGHT"
"C25347","Code_459","409c8bf2-d6b2-4760-b0ae-42a0d2b2c02b","2023-12-15","Code","http://www.cdisc.org","HEIGHT"
"C77140","Code_460","e39da20a-c7e5-4e31-803a-63aee210421b","2023-12-15","Code","http://www.cdisc.org","Clinical Test Result"
"C49668","Code_461","8026910c-1892-44fb-a499-71eb72783b0c","2023-12-15","Code","http://www.cdisc.org","Centimeter"
"C48500","Code_462","45c417d9-d4b5-4521-9486-10cbcb062e59","2023-12-15","Code","http://www.cdisc.org","Inch"
"C41139","Code_463","7dc98a0f-9413-47c6-8430-efe71e3ad406","2023-12-15","Code","http://www.cdisc.org","Meter"
"C168688","Code_464","a844fb0a-4dd4-4956-8a21-aa94e5fa17fa","2023-12-15","Code","http://www.cdisc.org","Unit of Height"
"C25347","Code_465","550862fe-36a1-41ed-94ca-1ce88552834a","2023-12-15","Code","http://www.cdisc.org","HEIGHT"
"C64433","Code_466","0b5c984c-bda7-4103-9e9d-c8a1de1a5090","2023-12-15","Code","http://www.cdisc.org","ALT"
"C36292","Code_467","3ad508ac-4b7f-4add-bb79-4e167f0df3ae","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67456","Code_468","3259cfe5-2e67-4bb0-90d2-ca6717dd0b0c","2023-12-15","Code","http://www.cdisc.org","Unit per Liter"
"C67397","Code_469","d22908cb-07d6-4094-b06f-d0e0696b84fc","2023-12-15","Code","http://www.cdisc.org","Microkatal per Liter"
"C67376","Code_470","ce3fd301-4bc3-4d3c-a5c3-91d555a0d23d","2023-12-15","Code","http://www.cdisc.org","International Unit per Liter"
"C70510","Code_471","064b067e-cc0a-4b91-88d7-3e1311cd4a8f","2023-12-15","Code","http://www.cdisc.org","Nanokatal per Liter"
"C67365","Code_472","1a84ce9f-781a-47a8-8070-a6c47ea963f7","2023-12-15","Code","http://www.cdisc.org","Unit of Catalytic Activity Concentration"
"C70713","Code_473","aec0e413-1496-4252-a3b3-0eb629c52d02","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_474","3eb5ac39-5546-4492-8de6-bf18f7341ba6","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_475","b7d2e980-e761-40f1-b56c-6d479247586b","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_476","c9015745-ceba-40a0-9d1f-921bd4563a99","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64433","Code_477","d180a1cf-bb49-4418-9932-b8b493acafe5","2023-12-15","Code","http://www.cdisc.org","ALT"
"C64431","Code_478","09c65d1c-a859-472a-ba31-536de9457d89","2023-12-15","Code","http://www.cdisc.org","ALB"
"C36292","Code_479","cdf04cfa-b261-40d7-959b-607c68a58dd6","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C70713","Code_480","1c2033d9-1cbc-4e40-8403-f4f5a7b45c07","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_481","f4908239-9440-4f17-944c-a27c43fd361f","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_482","690b5c76-9b2c-450e-8c05-412cd07511b5","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_483","3c8a5ddf-966a-4b37-b27e-0e2aaffa0de3","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64431","Code_484","3713e2a5-b67a-4d05-87c0-6699adfdac58","2023-12-15","Code","http://www.cdisc.org","ALB"
"C64432","Code_485","a8344e44-2b97-4912-8f5c-943c2ed7d56d","2023-12-15","Code","http://www.cdisc.org","ALP"
"C36292","Code_486","84ef93d8-06f2-42c0-9c4c-a3a8f3d9cdf8","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67456","Code_487","a65ed96c-9f20-41a6-bd28-2f9d636d9c57","2023-12-15","Code","http://www.cdisc.org","Unit per Liter"
"C67397","Code_488","9a0f876e-acc6-48a8-bf2e-c1c41e379022","2023-12-15","Code","http://www.cdisc.org","Microkatal per Liter"
"C67376","Code_489","d8e4b955-bf71-4fad-9ba5-90f111814fa2","2023-12-15","Code","http://www.cdisc.org","International Unit per Liter"
"C67365","Code_490","e82f07d1-dd7e-4ed1-b5ca-83d474e3f205","2023-12-15","Code","http://www.cdisc.org","Unit of Catalytic Activity Concentration"
"C70713","Code_491","daaa77ec-41a1-4798-88ba-f37e5c58215e","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_492","a0af5949-967d-42b8-8e91-f63fa29a0fcf","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_493","6f574bd1-ed14-47cb-bfc2-f75e29eabae8","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_494","6c302f90-3b27-4a2d-b690-883c9555dc32","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64432","Code_495","9dd9e438-592b-4041-858d-c71f109a52a1","2023-12-15","Code","http://www.cdisc.org","ALP"
"C64467","Code_496","51fc1267-00ff-4799-be7a-647e46d137ba","2023-12-15","Code","http://www.cdisc.org","AST"
"C36292","Code_497","16ddf875-760b-4756-8beb-b3b7c8851ac9","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67456","Code_498","1169164c-6df8-4334-9a65-0d135400ace7","2023-12-15","Code","http://www.cdisc.org","Unit per Liter"
"C67397","Code_499","d67af754-3af0-436b-8332-af27e096e089","2023-12-15","Code","http://www.cdisc.org","Microkatal per Liter"
"C67376","Code_500","c0dfc32d-cbc2-4671-9cf8-8af5190a5ba9","2023-12-15","Code","http://www.cdisc.org","International Unit per Liter"
"C67365","Code_501","d1178a09-0890-421a-8dc7-509c7ac92c57","2023-12-15","Code","http://www.cdisc.org","Unit of Catalytic Activity Concentration"
"C70713","Code_502","25c7e0b3-3088-44d0-92a9-1f9012f35dd9","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_503","d69e463e-f60e-4c51-be10-a61709d44c79","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_504","f266237d-76fa-4b1e-a959-7d52072a2741","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_505","ce6a4714-ac55-4f4c-8ae9-7b9aadef072a","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64467","Code_506","355bd342-b321-466a-8975-8d3cf66143f0","2023-12-15","Code","http://www.cdisc.org","AST"
"C64547","Code_507","0c3d274e-bed0-4094-8d9a-39d76991d0cd","2023-12-15","Code","http://www.cdisc.org","CREAT"
"C36292","Code_508","de711b47-9d8b-4ecc-b2b4-90fc7893bebd","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67015","Code_509","41cb8bcb-9b3c-4072-aec0-5332d60a54df","2023-12-15","Code","http://www.cdisc.org","Milligram per Deciliter"
"C64572","Code_510","3beed0e9-9502-47b3-831e-b7f280c3ecd0","2023-12-15","Code","http://www.cdisc.org","Microgram per Milliliter"
"C64387","Code_511","1acd2435-cff4-4238-82f6-8ca202c890f7","2023-12-15","Code","http://www.cdisc.org","Millimole per Liter"
"C48508","Code_512","bf95a6fe-b32d-443e-8bfd-6ae551b20e08","2023-12-15","Code","http://www.cdisc.org","Micromole per Liter"
"C48207","Code_513","5a219f11-6a2d-45db-91d9-6aae51524594","2023-12-15","Code","http://www.cdisc.org","Unit of Concentration"
"C70713","Code_514","f411e5f7-80aa-40ef-bcc2-85d087b2f89f","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_515","f40ead62-a2db-4dd3-9e96-1adc11c06776","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_516","a604ed18-1481-471a-baa3-e2bfff0a50e1","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_517","e1ba4dbc-b85b-4f3a-b3ce-62a6c05bdaad","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64547","Code_518","84b9ec90-bc67-496a-8550-7a55c87f9263","2023-12-15","Code","http://www.cdisc.org","CREAT"
"C64853","Code_519","693b3c67-1ea2-4ec3-9971-fe1c7afca929","2023-12-15","Code","http://www.cdisc.org","K"
"C36292","Code_520","d986541f-018e-47f2-9358-47787bd5191b","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67474","Code_521","2039adf0-f03a-41d4-8578-2e3f9f872caa","2023-12-15","Code","http://www.cdisc.org","Milliequivalent per Liter"
"C67473","Code_522","1b6a0312-409f-4cc9-b693-713c15e133f7","2023-12-15","Code","http://www.cdisc.org","Milliequivalent per Deciliter"
"C64387","Code_523","1248837b-288c-4d85-a893-5c33cd13e8a2","2023-12-15","Code","http://www.cdisc.org","Millimole per Liter"
"C64567","Code_524","e07204e6-cb01-4330-b7c5-dc146c526534","2023-12-15","Code","http://www.cdisc.org","Molarity Unit"
"C70713","Code_525","6460e924-65a2-457a-9acb-e7851bb23249","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_526","7da88ba1-a7d1-4d11-8959-3fd217d5d5b3","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_527","501398cc-a632-4f2f-bbcd-548b572daff5","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_528","062c68fc-890a-4330-8113-341516826698","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64853","Code_529","ea34d28b-c03e-4a9b-b6fb-d14771c7a075","2023-12-15","Code","http://www.cdisc.org","K"
"C64809","Code_530","7eeeabae-14ef-45f4-bdb9-e1559ab50213","2023-12-15","Code","http://www.cdisc.org","SODIUM"
"C36292","Code_531","e3e2619d-a508-4e8e-9554-40d701a9690f","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C67474","Code_532","b2138229-c3e2-4091-8fae-5d2df2e1ecb1","2023-12-15","Code","http://www.cdisc.org","Milliequivalent per Liter"
"C67473","Code_533","334d6d99-719d-4645-b6ea-0174cabf17e7","2023-12-15","Code","http://www.cdisc.org","Milliequivalent per Deciliter"
"C64387","Code_534","4ee7b00a-c3d0-44e3-ab92-3460c49a9bfa","2023-12-15","Code","http://www.cdisc.org","Millimole per Liter"
"C64567","Code_535","2d7a5f9c-5494-4dd1-94cb-95527da274f5","2023-12-15","Code","http://www.cdisc.org","Molarity Unit"
"C70713","Code_536","21223f1c-4f5e-47c7-8d09-5f63b1d16b3c","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_537","5d962f84-ca57-4f88-96c3-389fc21d4e72","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_538","c2c52df4-36b8-4f6c-b4fa-e1c0ae3194a9","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_539","d8562afa-0168-4a15-9818-dc337f5717b3","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64809","Code_540","fae11c29-1d9b-4ff7-93e2-0ed137acfc3c","2023-12-15","Code","http://www.cdisc.org","SODIUM"
"C64849","Code_541","d5491a0c-5229-4836-8455-24667084a345","2023-12-15","Code","http://www.cdisc.org","HBA1C"
"C36292","Code_542","b3465d58-9c89-4e5d-8c67-3c5b63846ad7","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Result"
"C64783","Code_543","b65560f1-9a18-4ed7-9d82-93c47f30ad9e","2023-12-15","Code","http://www.cdisc.org","Gram per Deciliter"
"No Concept Code","Code_544","6a41d4d9-f567-486d-951b-6413849fd8f1","2023-12-15","Code","http://www.cdisc.org","LBORRESU"
"C70713","Code_545","0ca37554-c1fc-4497-b2dd-2d3da440e7d9","2023-12-15","Code","http://www.cdisc.org","Biospecimen Type"
"C49487","Code_546","66b7688d-59cb-417f-bf41-4f9af21f2117","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_547","aae348e1-a3ab-4b4c-b319-0c65f0f9107c","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83309","Code_548","2bb34b11-7c60-44c6-bb92-d4248d47bfbf","2023-12-15","Code","http://www.cdisc.org","Laboratory Test Fasting Status"
"C64849","Code_549","4034ec0f-2eb3-42a9-8aaa-be7ccef23e05","2023-12-15","Code","http://www.cdisc.org","HBA1C"
"C78541","Code_145","2908faf2-bcca-4b7c-b280-f3fd4e4bd5e7","2023-12-15","Code","http://www.cdisc.org","Adverse Event Verbatim Description"
"C83344","Code_146","e4d53972-a056-4cfa-95c8-a47fe81d2cac","2023-12-15","Code","http://www.cdisc.org","Adverse Event Dictionary Derived Term"
"C49487","Code_147","c782990d-75af-4cb7-a4ed-f1096ec49db8","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_148","8dea0a8e-3e2b-4e6b-8179-2885611a740d","2023-12-15","Code","http://www.cdisc.org","Yes"
"C87840","Code_149","ea59628a-d3f6-48af-a7af-dcfc1d402345","2023-12-15","Code","http://www.cdisc.org","Adverse Event Pre-specified"
"C83205","Code_150","75fa93e4-dd45-41b1-b6e7-8dbc397ac15b","2023-12-15","Code","http://www.cdisc.org","Adverse Event Location"
"C53253","Code_151","3ec1975a-b783-4a32-9916-09da07429a88","2023-12-15","Code","http://www.cdisc.org","Severity of Adverse Event"
"C49487","Code_152","3c891a70-fb97-4a4f-8348-9b5e96053835","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_153","168f6dc4-7f2c-4fc3-afbc-6e8dfe7461f6","2023-12-15","Code","http://www.cdisc.org","Yes"
"C53252","Code_154","52621ee6-e9f1-4944-ad49-b547b5129400","2023-12-15","Code","http://www.cdisc.org","Seriousness of Adverse Event"
"C83013","Code_155","b5da12b6-b62c-4ab9-a63e-85fa6d5bca35","2023-12-15","Code","http://www.cdisc.org","Adverse Event Action Taken with Study Treatment"
"C83109","Code_156","87fae405-19c3-4239-83ec-0de5f4e20b4f","2023-12-15","Code","http://www.cdisc.org","Other Actions taken in Response to Adverse Event"
"C41358","Code_157","cb70bdcd-a06c-472a-af05-96ad42f10171","2023-12-15","Code","http://www.cdisc.org","Adverse Event Attribution to Product or Procedure"
"C83210","Code_158","dc2eafd1-cdff-4453-b57a-9f16c0e2f366","2023-12-15","Code","http://www.cdisc.org","Adverse Event Relationship to Non Study Treatment"
"C83208","Code_159","fec60cb4-1920-4b45-8948-fc699648a6c1","2023-12-15","Code","http://www.cdisc.org","Adverse Event Pattern"
"C49489","Code_160","e6d2425f-3c9f-45db-90de-9e7e43925b2c","2023-12-15","Code","http://www.cdisc.org","Adverse Event Outcome"
"C49487","Code_161","1a24e7e2-9ec8-4c76-99c2-728747f5b156","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_162","4fed79cd-0a49-4297-b456-c6e0568a270c","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83211","Code_163","aff7620c-9839-4240-be60-0aa7246baea6","2023-12-15","Code","http://www.cdisc.org","Adverse Event Involves Cancer"
"C49487","Code_164","03d13d5f-589e-4951-8766-115602a3cc3b","2023-12-15","Code","http://www.cdisc.org","No"
"C49488","Code_165","8feb7b4f-f907-471a-8e8b-9a40aa0e4ebf","2023-12-15","Code","http://www.cdisc.org","Yes"
"C83117","Code_166","415b203c-011a-492d-a567-9693fc4f1ae0","2023-12-15","Code","http://www.cdisc.org","Adverse Event Seriousness Due to Congenital Anomaly"
"C49487","Code_167","cbe8632e-8dca-4200-9dfd-d00f689be867","2023-12-15","Code","http://www.cdisc.org","No"
