"label","uuid:ID","bcPropertyDatatype","bcPropertyEnabled","bcPropertyResponseCodes","id","name","bcPropertyRequired"
"Vital Signs Position","73213576-d128-4d38-8dec-7d0a1b0ac6af","string","True","[]","BiomedicalConceptProperty_73","Vital Signs Position","True"
"Vital Signs Result","b0d0137f-e45e-4125-9d4d-5fe0052f231d","decimal","True","[]","BiomedicalConceptProperty_74","Vital Signs Result","True"
"Unit of Pressure","98dd972b-21ff-4c81-8bea-c62d62730f3f","string","True","","BiomedicalConceptProperty_75","Unit of Pressure","True"
"Vital Signs Location","9c1c757a-f483-4e46-a641-0d15cb88d870","string","True","[]","BiomedicalConceptProperty_76","Vital Signs Location","True"
"Vital Signs Laterality","7231daf3-f02f-442c-b8ed-633c3671d9a5","string","True","[]","BiomedicalConceptProperty_77","Vital Signs Laterality","True"
"Test Method","842edff4-2082-4bfe-b375-7053598e9257","string","True","[]","BiomedicalConceptProperty_78","Test Method","True"
"Vital Signs Position","998048b3-1aa7-476e-a1e0-f7d6fd489a23","string","True","[]","BiomedicalConceptProperty_79","Vital Signs Position","True"
"Vital Signs Result","0dca147c-9515-4b3c-9076-79e44c2aa84b","decimal","True","[]","BiomedicalConceptProperty_80","Vital Signs Result","True"
"Unit of Pressure","d4c4bf24-0149-4515-8534-99d53fc08e2d","string","True","","BiomedicalConceptProperty_81","Unit of Pressure","True"
"Vital Signs Location","94c35780-a327-46fb-bcac-65f2900a9905","string","True","[]","BiomedicalConceptProperty_82","Vital Signs Location","True"
"Vital Signs Laterality","477b8939-e1b0-420e-bfc1-945b44fe5b14","string","True","[]","BiomedicalConceptProperty_83","Vital Signs Laterality","True"
"Test Method","7eef687b-abc6-433d-bd25-364f550c0881","string","True","[]","BiomedicalConceptProperty_84","Test Method","True"
"Vital Signs Position","367c4b7a-f918-4b8e-ac8e-b0ab4b0dc31b","string","True","[]","BiomedicalConceptProperty_85","Vital Signs Position","True"
