"id","sectionTitle","name","sectionNumber","uuid:ID","text"
"NarrativeContent_21","Selection of Trial Population","SECTION 5.1","5.1","1b840187-edb5-48c9-a69c-cbe12c141c43","<div></div>"
"NarrativeContent_22","Rationale for Trial Population","SECTION 5.2","5.2","e673a5bb-63f2-4185-a3e0-f14b537950ee","<div></div>"
"NarrativeContent_23","Inclusion Criteria","SECTION 5.3","5.3","edfc18b5-e75b-41b9-82e1-4f4e491db6f6","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>"
"NarrativeContent_24","Exclusion Criteria","SECTION 5.4","5.4","6f9f91cf-140f-4652-b5de-3545a5a999ec","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>"
"NarrativeContent_25","Lifestyle Considerations","SECTION 5.5","5.5","58fe6e02-a209-46f9-a163-a417bb2c24c7","<div></div>"
"NarrativeContent_26","Meals and Dietary Restrictions","SECTION 5.5.1","5.5.1","79e48182-d685-4450-b150-ac221c38ad77","<div></div>"
"NarrativeContent_27","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","5.5.2","52c2089e-b39b-4647-8788-5b5df031f571","<div></div>"
"NarrativeContent_28","Physical Activity","SECTION 5.5.3","5.5.3","9909da2e-3cae-4aff-b510-94a9a04c0704","<div></div>"
"NarrativeContent_29","Other Activity","SECTION 5.5.4","5.5.4","34bce080-f602-481b-a66b-3e79e7cf1551","<div></div>"
"NarrativeContent_30","Screen Failures","SECTION 5.6","5.6","cce1a1c6-fb55-4526-9aa2-345fea850b97","<div></div>"
"NarrativeContent_31","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","6","156b40c6-61f8-4860-85af-fa931e44b76d","<div></div>"
"NarrativeContent_32","Description of Trial Intervention","SECTION 6.1","6.1","8b5cdee8-9739-4b95-a8a5-5fe48b3f9689","<div></div>"
"NarrativeContent_33","Rationale for Trial Intervention","SECTION 6.2","6.2","607b0f6a-a252-4cb4-b807-f7e725ead00f","<div></div>"
"NarrativeContent_34","Dosing and Administration","SECTION 6.3","6.3","f952833a-b1ec-4fdf-8ee0-a71d1ef463e5","<div></div>"
"NarrativeContent_35","Trial Intervention Dose Modification","SECTION 6.3.1","6.3.1","c27709b1-6a56-4347-8705-91a58a423ecd","<div></div>"
"NarrativeContent_36","Treatment of Overdose","SECTION 6.4","6.4","0758711d-ebd0-4a2b-a3bb-5beac3f8b500","<div></div>"
"NarrativeContent_37","Preparation, Handling, Storage and Accountability","SECTION 6.5","6.5","a64aa8e4-1481-4505-82d8-1a46e51a1a82","<div></div>"
"NarrativeContent_38","Preparation of Trial Intervention","SECTION 6.5.1","6.5.1","66a51d3c-43c6-4e80-a965-17124a25ea2b","<div></div>"
"NarrativeContent_39","Handling and Storage of Trial Intervention","SECTION 6.5.2","6.5.2","46361739-3685-4a9e-a29b-40897619ad14","<div></div>"
"NarrativeContent_40","Accountability of Trial Intervention","SECTION 6.5.3","6.5.3","f3ae1fac-6c92-4bb2-87a3-9836a4811a6a","<div></div>"
"NarrativeContent_41","Participant Assignment, Randomisation and Blinding","SECTION 6.6","6.6","7bad89f7-fa4c-478f-ab01-fd3e3584aabd","<div></div>"
"NarrativeContent_42","Participant Assignment","SECTION 6.6.1","6.6.1","1242aa60-01a0-4f79-b320-68317d1d8acf","<div></div>"
"NarrativeContent_43","Randomisation","SECTION 6.6.2","6.6.2","df0b7677-64c6-4d27-9d90-956acbe36564","<div></div>"
"NarrativeContent_44","Blinding and Unblinding","SECTION 6.6.3","6.6.3","d70fd76a-bada-42c0-8683-7968b48fad7f","<div><p>Blinding and unblinding text here please</p></div>"
"NarrativeContent_45","Trial Intervention Compliance","SECTION 6.7","6.7","52187a20-c0e1-48a3-961f-602485c08352","<div></div>"
"NarrativeContent_46","Concomitant Therapy","SECTION 6.8","6.8","32815b22-5cfb-4cd0-bd48-5e7797a2ea98","<div></div>"
"NarrativeContent_47","Prohibited Concomitant Therapy","SECTION 6.8.1","6.8.1","199a5d6a-6614-4e19-a5c0-b64c74cdc7f9","<div></div>"
"NarrativeContent_48","Permitted Concomitant Therapy","SECTION 6.8.2","6.8.2","fffdad3f-7554-4fc1-be75-6371bf46a6eb","<div></div>"
"NarrativeContent_49","Rescue Therapy","SECTION 6.8.3","6.8.3","8adff501-514f-4522-89fc-45d0595ca984","<div></div>"
"NarrativeContent_50","Other Therapy","SECTION 6.8.4","6.8.4","62367b84-749d-486f-9883-b80302eb061f","<div></div>"
"NarrativeContent_51","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","7","fac8fe3f-ff28-4898-a10d-f3193cccca21","<div></div>"
"NarrativeContent_52","Discontinuation of Trial Intervention","SECTION 7.1","7.1","62572ec7-3d4c-4b09-a679-ef0f3dfc2c04","<div></div>"
"NarrativeContent_53","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","7.1.1","57b9a2b2-c426-45c7-8de8-3e6237d5553f","<div></div>"
"NarrativeContent_54","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","7.1.2","8d79e086-a373-4cf8-90e3-104578bc47e8","<div></div>"
"NarrativeContent_55","Rechallenge","SECTION 7.1.3","7.1.3","b322feff-5aeb-4f22-ad46-4826066a96ce","<div></div>"
"NarrativeContent_56","Participant Withdrawal from the Trial","SECTION 7.2","7.2","d4c59c2a-635a-48bd-a44f-67561477ddda","<div></div>"
"NarrativeContent_57","Lost to Follow-Up","SECTION 7.3","7.3","3f5ee354-f3a2-460d-981d-cdfb4137606e","<div></div>"
"NarrativeContent_58","Trial Stopping Rules","SECTION 7.4","7.4","74a1a581-4126-4596-b744-105947caf1f1","<div></div>"
"NarrativeContent_59","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","8","d036c545-b252-44b3-91bb-cc9e887de2b0","<div></div>"
"NarrativeContent_60","Screening/Baseline Assessments and Procedures","SECTION 8.1","8.1","837e92bd-92e8-4e9b-ba14-22892e0d477e","<div></div>"
"NarrativeContent_61","Efficacy Assessments and Procedures","SECTION 8.2","8.2","fcb2f4fb-97f5-4ec9-8ccf-69781f3f55c1","<div></div>"
"NarrativeContent_62","Safety Assessments and Procedures","SECTION 8.3","8.3","e84059eb-5cc2-4be2-b6dc-b7a1da789b7e","<div></div>"
"NarrativeContent_63","Physical Examination","SECTION 8.3.1","8.3.1","61bbd291-6129-44a9-bd2d-9454105c7846","<div></div>"
"NarrativeContent_64","Vital Signs","SECTION 8.3.2","8.3.2","faf0f1c0-047a-40d9-a80a-7e4966e1512f","<div></div>"
"NarrativeContent_65","Electrocardiograms","SECTION 8.3.3","8.3.3","642d6ab2-bfaf-4793-ad81-be669c1060b4","<div></div>"
"NarrativeContent_66","Clinical Laboratory Assessments","SECTION 8.3.4","8.3.4","4392d21a-ff40-44e7-87ae-16ec2d7789b5","<div></div>"
"NarrativeContent_67","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","8.3.5","c178074d-4d50-4f95-825e-a3510b49ca1b","<div></div>"
"NarrativeContent_68","Adverse Events and Serious Adverse Events","SECTION 8.4","8.4","2ce1c51a-cfe4-49c5-8397-2a1b6ab1748f","<div></div>"
"NarrativeContent_69","Definitions of AE and SAE","SECTION 8.4.1","8.4.1","a26187d6-cd76-4298-ab30-55a27faedddd","<div></div>"
"NarrativeContent_70","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","8.4.2","d69eb872-25f7-4a50-ab08-88ac83567fab","<div></div>"
"NarrativeContent_71","Identifying AEs and SAEs","SECTION 8.4.3","8.4.3","10cfc4a4-9f07-41a3-945c-90cea8d49047","<div></div>"
"NarrativeContent_72","Recording of AEs and SAEs","SECTION 8.4.4","8.4.4","124d3aab-6583-4644-a37e-371dc0cd9f5c","<div></div>"
"NarrativeContent_73","Follow-up of AEs and SAEs","SECTION 8.4.5","8.4.5","b45f8be4-2a88-41c1-80e9-4cc795dc6d3c","<div></div>"
"NarrativeContent_74","Reporting of SAEs","SECTION 8.4.6","8.4.6","9cbcab0a-1d46-495e-921d-25af59f57683","<div></div>"
"NarrativeContent_75","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","8.4.7","12e02c39-c1c8-4f7e-847c-03fd44ec4eee","<div></div>"
"NarrativeContent_76","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","8.4.8","985d5849-2756-45bc-9aa7-3511f593e885","<div></div>"
"NarrativeContent_77","Adverse Events of Special Interest","SECTION 8.4.9","8.4.9","e260c70d-1b74-435b-ac26-67f09e2f9739","<div></div>"
"NarrativeContent_78","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","8.4.10","999eb4b5-2e96-40cd-9f84-00c028b13be3","<div></div>"
"NarrativeContent_79","Pregnancy and Postpartum Information","SECTION 8.5","8.5","a28b78b3-ef0d-4a35-9956-c170f904d579","<div></div>"
"NarrativeContent_80","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","8.5.1","9de27a6c-942d-411b-a9c3-9f93e5bc2a80","<div></div>"
"NarrativeContent_81","Participants Whose Partners Become Pregnant","SECTION 8.5.2","8.5.2","9594b6af-d293-40d0-a709-66913df1cbbf","<div></div>"
"NarrativeContent_82","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","8.6","c9ad09d3-cfbc-4e41-9746-3582fd656099","<div></div>"
"NarrativeContent_83","Definition of Medical Device Product Complaints","SECTION 8.6.1","8.6.1","e4b60cb0-56dd-4cfa-be0e-1a0e630a2727","<div></div>"
"NarrativeContent_84","Recording of Medical Device Product Complaints","SECTION 8.6.2","8.6.2","49e4a1d0-1ed2-44dd-8d1f-9cff6479a80a","<div></div>"
"NarrativeContent_85","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","8.6.3","b49ef6aa-866d-4491-9623-713621ac37c7","<div></div>"
"NarrativeContent_86","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","8.6.4","cf636e3f-a5bc-438e-b23b-af225cc805e4","<div></div>"
"NarrativeContent_87","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","8.6.5","4def5b61-0c46-4fe0-922b-aedcc49dd289","<div></div>"
"NarrativeContent_88","Pharmacokinetics","SECTION 8.7","8.7","095ceba1-b9b3-490b-8b65-757089845ae9","<div></div>"
"NarrativeContent_89","Genetics","SECTION 8.8","8.8","86a3d769-1b15-438a-83e4-26d69afa55db","<div></div>"
"NarrativeContent_90","Biomarkers","SECTION 8.9","8.9","f3134508-398e-4fcd-99af-4a03ba900870","<div></div>"
"NarrativeContent_91","Immunogenicity Assessments","SECTION 8.1","8.1","f07c4b71-2d55-49d8-9cc8-5100d16c7d95","<div></div>"
"NarrativeContent_92","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","8.1.1","f3a915a9-3e9f-49c1-9fdc-31a70696f790","<div></div>"
"NarrativeContent_93","STATISTICAL CONSIDERATIONS","SECTION 9","9","10ebd29f-7bca-49b6-8306-6d1d27754c68","<div></div>"
"NarrativeContent_94","Analysis Sets","SECTION 9.1","9.1","4326009c-c2a5-4513-8d44-a00fc757a47e","<div></div>"
"NarrativeContent_95","Analyses Supporting Primary Objective(s)","SECTION 9.2","9.2","b4265b7e-6d91-413c-bb53-4e7e899c4853","<div></div>"
"NarrativeContent_96","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","9.2.1","458254df-56fd-476c-afc3-ce4cef9f6497","<div></div>"
"NarrativeContent_97","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","9.2.2","ad61ea57-d5bb-4dd3-8528-10387b6daf9c","<div></div>"
"NarrativeContent_98","Handling of Missing Data","SECTION 9.2.3","9.2.3","09c6c35b-e2ec-4dab-a9d7-1f28aabc2697","<div></div>"
"NarrativeContent_99","Sensitivity Analysis","SECTION 9.2.4","9.2.4","c113c923-483d-4219-b332-c754e0e468d6","<div></div>"
"NarrativeContent_100","Supplementary Analysis","SECTION 9.2.5","9.2.5","0fe4c39e-b673-424c-a634-9ea07d1ae230","<div></div>"
"NarrativeContent_101","Analysis Supporting Secondary Objective(s)","SECTION 9.3","9.3","e91eb707-867b-4cb0-9ecc-35beee3cfd90","<div></div>"
"NarrativeContent_102","Analysis of Exploratory Objective(s)","SECTION 9.4","9.4","b643d62c-3810-4343-bb28-ae98f6d9733d","<div></div>"
"NarrativeContent_103","Safety Analyses","SECTION 9.5","9.5","3d825848-dceb-4e2d-ac26-c6e67ffccc18","<div></div>"
"NarrativeContent_104","Other Analyses","SECTION 9.6","9.6","a19941fc-98cf-4456-9b37-a5038903c7c6","<div></div>"
"NarrativeContent_105","Interim Analyses","SECTION 9.7","9.7","ab7b7a54-39fa-407c-be62-b2d5d1154ec1","<div></div>"
"NarrativeContent_106","Sample Size Determination","SECTION 9.8","9.8","b5f37bb5-0bcd-4021-9529-18850fc54491","<div></div>"
"NarrativeContent_107","Protocol Deviations","SECTION 9.9","9.9","23e9da4c-f250-48ea-8a9c-de9ca41db23c","<div></div>"
"NarrativeContent_108","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","10","b943b22a-ec20-4500-a656-9b45f1eeeb0d","<div></div>"
"NarrativeContent_109","Regulatory and Ethical Considerations","SECTION 10.1","10.1","97916a17-9b79-4a0f-84e6-4e41dd45b365","<div></div>"
"NarrativeContent_110","Committees","SECTION 10.2","10.2","4c39e069-5bbb-494c-9fb7-3beb8a8ccced","<div></div>"
"NarrativeContent_111","Informed Consent Process","SECTION 10.3","10.3","e81f2481-3225-43cd-ad04-d02eee619a40","<div></div>"
"NarrativeContent_112","Data Protection","SECTION 10.4","10.4","53d8818d-b546-462d-8511-63934610cf0c","<div></div>"
"NarrativeContent_113","Early Site Closure or Trial Termination","SECTION 10.5","10.5","459ffb65-a9b3-45c8-991d-839124a65999","<div></div>"
"NarrativeContent_114","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","11","075ec109-e6ca-4239-9cec-862c6f3ac390","<div></div>"
"NarrativeContent_115","Quality Tolerance Limits","SECTION 11.1","11.1","7b78e044-784b-492e-8ff9-ca5c32833bfb","<div></div>"
"NarrativeContent_116","Data Quality Assurance","SECTION 11.2","11.2","fc2d7670-df97-4dc0-b034-40da2895af9b","<div></div>"
"NarrativeContent_117","Source Data","SECTION 11.3","11.3","f7fa350c-8505-4a01-8294-7108a46a7768","<div></div>"
"NarrativeContent_118","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","12","67205869-ef0f-488e-8822-69ffec717aae","<div></div>"
"NarrativeContent_119","Further Details and Clarifications on the AE Definition","SECTION 12.1","12.1","0f7f66aa-8393-4df2-955c-4d43f8e4195f","<div></div>"
"NarrativeContent_120","Further Details and Clarifications on the SAE Definition","SECTION 12.2","12.2","90478ae5-0d9e-487f-aa1d-1b88d6e460eb","<div></div>"
"NarrativeContent_121","Severity","SECTION 12.3","12.3","47efddf9-463d-4d11-9cd7-d1a66dff814f","<div></div>"
"NarrativeContent_122","Causality","SECTION 12.4","12.4","9c850906-1c46-425e-bdea-eb08b40371f1","<div></div>"
"NarrativeContent_123","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","13","729e0480-fa44-496c-b696-398e7f1d83b5","<div></div>"
"NarrativeContent_124","Contraception and Pregnancy Testing","SECTION 13.1","13.1","4fea8d45-fb17-4a52-a36c-1533a2134675","<div></div>"
"NarrativeContent_125","Definitions Related to Childbearing Potential","SECTION 13.1.1","13.1.1","36866677-4239-4feb-a1ee-f6d84105cb3c","<div></div>"
"NarrativeContent_126","Contraception","SECTION 13.1.2","13.1.2","d882b64e-a46c-4141-a52a-82bfd93639cc","<div></div>"
"NarrativeContent_127","Pregnancy Testing","SECTION 13.1.3","13.1.3","b417f4ac-5732-4026-8e07-dd77d93b47d6","<div></div>"
"NarrativeContent_128","Clinical Laboratory Tests","SECTION 13.2","13.2","8c6a04a3-3203-47ec-8d42-5afe108de2d1","<div></div>"
"NarrativeContent_129","Country/Region-Specific Differences","SECTION 13.3","13.3","2dd37011-3129-4d7a-a77b-6f7c5b485c55","<div></div>"
"NarrativeContent_130","Prior Protocol Amendments","SECTION 13.4","13.4","4aed2060-2520-4cb8-9ac3-0e65ee1b50be","<div></div>"
"NarrativeContent_131","APPENDIX: GLOSSARY OF TERMS","SECTION 14","14","eae8ff2b-56bd-411f-ab33-8533de53ee76","<div></div>"
"NarrativeContent_132","APPENDIX: REFERENCES","SECTION 15","15","3050f5fe-50e4-4520-8e16-df2b3e7041ce","<div></div>"
