"id","codeSystem","uuid:ID","code","codeSystemVersion","decode"
"Code_65","http://www.cdisc.org","7c5b601f-3653-40d2-8907-9e6f4a939db8","C51282","2023-09-29","Clinic"
"Code_66","http://www.cdisc.org","500356d3-2bd3-4c4d-8824-96d14822fe87","C175574","2023-09-29","In Person"
"Code_67","http://www.cdisc.org","afd8bd05-5ed2-4503-9f85-e95abd46edda","C25716","2023-09-29","Visit"
"Code_68","http://www.cdisc.org","9b9e5976-e7df-4a24-9bdc-ae6db8902bb8","C51282","2023-09-29","Clinic"
"Code_69","http://www.cdisc.org","2641615e-6ea5-4700-8ff6-1fcab549dfdf","C175574","2023-09-29","In Person"
"Code_70","http://www.cdisc.org","5fe648b0-4990-42dd-a2b1-2a25578f9bfe","C25716","2023-09-29","Visit"
"Code_71","http://www.cdisc.org","5f943a0b-aa39-4fc4-bea4-c5ec68875237","C18002","2023-09-29","Home"
"Code_72","http://www.cdisc.org","6cf307f8-7255-4f0d-820f-897599ff2d3b","C171537","2023-09-29","Telephone Call"
"Code_53","SNOMED","6431bca6-db16-418c-ace8-0679d9b0dd0c","12345678","January 31, 2018","Test"
"Code_54","SNOMED","b066da4f-56e2-4e93-a312-221354a0e5fa","12345679","January 31, 2018","Test"
"Code_89","http://www.cdisc.org","d1199888-e219-4d3c-bbe6-222e76c1e34a","C20197","2023-09-29","Male"
"Code_90","http://www.cdisc.org","89eeb9f4-0d0b-4f89-8217-4a84fb0a6381","C16576","2023-09-29","Female"
"Code_91","NCI Thesaurus","82e42573-0653-4101-8c2f-00c0e2f17d5e","C28421","","Sex"
"Code_88","NCI Thesaurus","54bcfcde-0b17-4c40-bb27-77b81b5f4fc4","C28421","","Sex"
"Code_93","NCI Thesaurus","95406556-5abf-4004-b986-3c2ea8195c3e","C17049","","Race"
"Code_92","NCI Thesaurus","0355bd9a-e735-4306-b25e-776b53e16d72","C17049","","Race"
"Code_95","NCI Thesaurus","937c855a-7766-407b-be24-03211f25f8d9","C173522","","Vital Signs Result"
"Code_96","http://www.cdisc.org","d43ed2bd-48f5-420e-92bb-2461974f6a3c","C28252","2023-09-29","Kilogram"
"Code_97","http://www.cdisc.org","88549bf4-543e-46d3-9381-d0a8fd3bf0ea","C48155","2023-09-29","Gram"
"Code_98","http://www.cdisc.org","f9be1968-8485-4d0c-80c2-78ba5011f6d8","C48531","2023-09-29","Pound"
"Code_99","NCI Thesaurus","2443bffc-ab1a-42db-9b23-35a19c133e9b","C48208","","Unit of Weight"
"Code_94","NCI Thesaurus","7063686d-3a94-4223-81e7-ad38018fad2e","C81328","","Body Weight"
"Code_73","http://www.cdisc.org","5be7843c-eabc-4d1b-add3-d61e6cd036a2","C174267","2023-09-29","Active Comparator Arm"
"Code_74","http://www.cdisc.org","d748b65e-42d5-43f6-a11d-fffe20368e51","C188866","2023-09-29","Data Generated Within Study"
"Code_75","http://www.cdisc.org","f8be8c45-0929-4675-af6b-1d9b70a4b2eb","C174268","2023-09-29","Placebo Comparator Arm"
"Code_76","http://www.cdisc.org","4a4f5b6b-6e06-47c4-90ee-232430e5d238","C188866","2023-09-29","Data Generated Within Study"
"Code_83","http://www.cdisc.org","7907523d-9e51-4abd-b2e1-72859f4d4c59","C49659","2023-09-29","Open Label Study"
"Code_77","http://www.cdisc.org","d05507ad-3d2f-4e5d-84be-001994712d9c","C48262","2023-09-29","Trial Screening"
"Code_78","http://www.cdisc.org","5ac07e97-a6ce-4c09-81f8-19dd3575c9e4","C125938","2023-09-29","Baseline Epoch"
"Code_79","http://www.cdisc.org","e45abeda-7a35-4e5c-8486-ae47c203ee5c","C101526","2023-09-29","Treatment Epoch"
"Code_80","http://www.cdisc.org","225e2a58-3bf7-4e3e-9ee1-0389361295e5","C99158","2023-09-29","Clinical Study Follow-up"
"Code_100","SNOMED","4492e03e-b505-4d4d-9cae-713dbc6be083","12345","January 31, 2018","Indication1"
"Code_101","SNOMED","5f5866bf-83cc-4491-a951-2147393b12da","345678","January 31, 2018","Indication2"
"Code_107","M11","196e1982-76fa-4f58-a580-8873fb6f4070","role1","None set","role1"
"Code_108","http://www.cdisc.org","ec3a099d-7004-43fb-9398-71ef5dcb591a","C1909","2023-09-29","Pharmacologic Substance"
"Code_111","http://www.cdisc.org","03e74025-0b02-4cb9-9c7f-6dd537d8e0db","C25301","2023-09-29","Day"
"Code_106","SPONSOR","ab68429a-b939-4890-b290-f0ef0a10f279","A","12","B"
"Code_102","http://www.cdisc.org","8f06abc8-7c89-42c3-b763-8df23d012c33","C25613","2023-09-29","Percentage"
"Code_104","http://www.cdisc.org","4236e6b8-d1c3-4240-83cc-5b0e2da37118","C28253","2023-09-29","Milligram"
"Code_103","http://www.cdisc.org","41fb532c-c83a-4d62-910e-12bd38509f36","C38197","2023-09-29","Dental Route of Administration"
"Code_105","http://www.cdisc.org","c1429752-7975-46d5-b358-6e995e565c51","C139179","2023-09-29","Ten Days Per Month"
"Code_110","M11","2bca4c84-0a1d-4c30-9e42-e5f611e405a4","desig1","None set","desig_1"
"Code_109","FDA","6a31eb86-15eb-466f-88d5-76588d3acf49","A","None set","B"
"Code_117","M11","47b36b51-c8e2-4cb5-8e0a-a635fe644413","role2","None set","role2"
"Code_118","http://www.cdisc.org","6bb77222-0ef1-4b0a-98d1-b896d72fb2ab","C1909","2023-09-29","Pharmacologic Substance"
"Code_121","http://www.cdisc.org","ae0fec99-d174-4bf1-88d5-804439874e9f","C25301","2023-09-29","Day"
"Code_116","SPONSOR","a4c4e379-58bd-4fcb-969c-d29613cf5c2f","A","12","B"
"Code_112","http://www.cdisc.org","18c2b6fc-a643-40d6-9243-386f65ca5504","C25613","2023-09-29","Percentage"
"Code_114","http://www.cdisc.org","34b99ba5-9af2-45e1-ac33-ff51217a8222","C28253","2023-09-29","Milligram"
"Code_113","http://www.cdisc.org","ca3bcfa0-bab8-46e8-8dbf-153669ce444c","C38197","2023-09-29","Dental Route of Administration"
"Code_115","http://www.cdisc.org","b85dd639-2262-4d2c-a3d9-02162064def7","C139179","2023-09-29","Ten Days Per Month"
"Code_120","M11","3e3ce885-cf69-4e18-a78f-c7b43d44044d","desig2","None set","desig_2"
"Code_119","FDA","17c5f6f7-b532-4911-adcb-950a9cba1c48","A","None set","B"
"Code_128","http://www.cdisc.org","3fd6fb51-9a6d-47a3-95a5-47edf05fc83f","C85826","2023-09-29","Trial Primary Objective"
"Code_127","http://www.cdisc.org","1ed4607d-8ff7-424e-803f-b897297a8c0d","C94496","2023-09-29","Primary Endpoint"
"Code_130","http://www.cdisc.org","7a8c6a8e-5ca4-4cbb-b59f-904ee94254f9","C85827","2023-09-29","Trial Secondary Objective"
"Code_129","http://www.cdisc.org","8a9264f7-f2e0-4ad3-b377-df44bd49b2fd","C139173","2023-09-29","Secondary Endpoint"
"Code_131","http://www.cdisc.org","a031c1ce-1cc6-4ff2-b190-33183392fb87","C139173","2023-09-29","Secondary Endpoint"
"Code_132","http://www.cdisc.org","659a5fb4-d9bc-4670-a101-a401af7bf769","C25532","2023-09-29","Inclusion Criteria"
"Code_133","http://www.cdisc.org","7719aebf-7e13-4ca5-b8bb-c392b0522f7b","C25532","2023-09-29","Inclusion Criteria"
"Code_134","http://www.cdisc.org","ccf15aae-de27-4654-9c1a-ea6319b5a5f3","C25370","2023-09-29","Exclusion Criteria"
"Code_135","http://www.cdisc.org","ddb0c68a-72cb-4da5-8a95-4187a95ead0c","C25370","2023-09-29","Exclusion Criteria"
"Code_17","http://www.cdisc.org","416764b9-3a38-4988-be14-16a2c521f52d","C201264","2023-09-29","Before"
"Code_18","http://www.cdisc.org","da98c25f-2e5c-4f7a-b6e9-b307dfce1985","C201265","2023-09-29","Start to Start"
"Code_19","http://www.cdisc.org","409eea2e-c7ae-4d4f-8402-438f10745e51","C201264","2023-09-29","Before"
"Code_20","http://www.cdisc.org","51cc11ab-342d-484c-b9db-1b770520d064","C201265","2023-09-29","Start to Start"
"Code_22","http://www.cdisc.org","163e9ebb-0d32-4ce2-948d-50960e2f5573","C201264","2023-09-29","Fixed Reference"
"Code_23","http://www.cdisc.org","5ef06d19-dfe7-4c6e-9bce-fd7e57d47679","C201265","2023-09-29","Start to Start"
"Code_24","http://www.cdisc.org","9f57c9a4-76d2-41ac-b90d-a576b0ce4b79","C201264","2023-09-29","After"
"Code_25","http://www.cdisc.org","064e2b04-c022-46b7-bce8-459dfc6bbf92","C201265","2023-09-29","Start to Start"
"Code_27","http://www.cdisc.org","15fb2457-44f1-4ea6-94ae-53cdb44727ad","C201264","2023-09-29","After"
"Code_28","http://www.cdisc.org","79b70226-0785-4173-9a4b-2c3f7e51dc98","C201265","2023-09-29","Start to Start"
"Code_30","http://www.cdisc.org","283bf36a-ce25-4222-9e8d-2eecc0c3b5c0","C201264","2023-09-29","After"
"Code_31","http://www.cdisc.org","421f14bd-e54d-4df8-af29-780d11ab3f76","C201265","2023-09-29","Start to Start"
"Code_5","http://www.cdisc.org","22b1ad13-a2c7-4f37-bbda-46185547e63b","C85255","2023-09-29","Draft"
"Code_15","http://www.cdisc.org","1c6c61e1-e2fd-48c7-955b-488f32d28a34","C99903x1","2023-09-29","Protocol Effective Date"
"Code_16","http://www.cdisc.org","6192151a-1afa-4bfd-bf1e-ddfa4080fb4a","C68846","2023-09-29","Global"
