"name","uuid:ID","text","sectionNumber","id","sectionTitle"
"SECTION 5.1","460c96b1-d173-47b3-8343-94da97d02761","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","NarrativeContent_22","Selection of Trial Population"
"SECTION 5.2","ba1b0efc-8ee9-42bd-af98-a777173558bc","<div></div>","5.2","NarrativeContent_23","Rationale for Trial Population"
"SECTION 5.3","03bf2ac4-f02e-4ff6-9d8e-9b2707260e9d","<div><usdm:section name=""M11-inclusion""></div>","5.3","NarrativeContent_24","Inclusion Criteria"
"SECTION 5.4","b0df19a1-cfbc-4d2f-aa28-d34a1b5477fd","<div><usdm:section name=""M11-exclusion""></div>","5.4","NarrativeContent_25","Exclusion Criteria"
"SECTION 5.5","ee9b6ddf-6fe4-4a15-bafd-2fc7cb967c5b","<div></div>","5.5","NarrativeContent_26","Lifestyle Considerations"
"SECTION 5.5.1","ebbfdc04-81ae-4033-8b7b-0b6b03830555","<div></div>","5.5.1","NarrativeContent_27","Meals and Dietary Restrictions"
"SECTION 5.5.2","31646dfc-9e3b-4296-aada-12bb7176df80","<div><p>Not applicable</p></div>","5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits"
"SECTION 5.5.3","032b8d74-552a-4876-af8f-90e0cddf8cd6","<div></div>","5.5.3","NarrativeContent_29","Physical Activity"
"SECTION 5.5.4","05ece778-3ec5-4de6-bd9b-aae75be7fade","<div></div>","5.5.4","NarrativeContent_30","Other Activity"
"SECTION 5.6","a679f21a-61a2-4d8a-8f7d-9775ede83b70","<div></div>","5.6","NarrativeContent_31","Screen Failures"
"SECTION 6","f6204c88-953c-4ef7-9e22-fd17ea3bdf9b","<div></div>","6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"SECTION 6.1","e99a90bd-a8a8-4da1-a79f-08cd0187e816","<div></div>","6.1","NarrativeContent_33","Description of Trial Intervention"
"SECTION 6.2","eed33474-bfc4-424c-9f8d-52ec32f7a27c","<div></div>","6.2","NarrativeContent_34","Rationale for Trial Intervention"
"SECTION 6.3","a691be08-6b3a-4070-b483-7d1f5a275d1b","<div></div>","6.3","NarrativeContent_35","Dosing and Administration"
"SECTION 6.3.1","450563e6-648b-4c51-9e2d-6202b498c3ea","<div></div>","6.3.1","NarrativeContent_36","Trial Intervention Dose Modification"
"SECTION 6.4","6d993232-dbcf-4daf-afe8-84f8f2a3db90","<div></div>","6.4","NarrativeContent_37","Treatment of Overdose"
"SECTION 6.5","0ab2ed55-6833-4c98-855c-3042961d8703","<div></div>","6.5","NarrativeContent_38","Preparation, Handling, Storage and Accountability"
"SECTION 6.5.1","bc2f3d55-fccc-48e2-81cb-457cc45ad507","<div></div>","6.5.1","NarrativeContent_39","Preparation of Trial Intervention"
"SECTION 6.5.2","66a4305b-a9c8-4f99-bcf1-bd0642598a61","<div></div>","6.5.2","NarrativeContent_40","Handling and Storage of Trial Intervention"
"SECTION 6.5.3","0c4301e5-7c94-4dd6-b680-d2e09be5dfe5","<div></div>","6.5.3","NarrativeContent_41","Accountability of Trial Intervention"
"SECTION 6.6","0f1fced6-0782-43ff-b773-837189ed9fe8","<div></div>","6.6","NarrativeContent_42","Participant Assignment, Randomisation and Blinding"
"SECTION 6.6.1","cbf68d15-d196-4b48-9ed6-85e54f665edc","<div></div>","6.6.1","NarrativeContent_43","Participant Assignment"
"SECTION 6.6.2","d6ad79c9-17cc-4936-9cbe-b599e05edcf1","<div></div>","6.6.2","NarrativeContent_44","Randomisation"
"SECTION 6.6.3","a87298ef-712e-42cd-b6f1-3b4ddece795c","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","NarrativeContent_45","Blinding and Unblinding"
"SECTION 6.7","275c13ad-7b6b-4b09-a402-b5daa7a9014b","<div></div>","6.7","NarrativeContent_46","Trial Intervention Compliance"
"SECTION 6.8","323fb051-205d-400d-961f-b1087625095e","<div></div>","6.8","NarrativeContent_47","Concomitant Therapy"
"SECTION 6.8.1","e50de1e5-4710-4b32-9261-304a935dcedd","<div></div>","6.8.1","NarrativeContent_48","Prohibited Concomitant Therapy"
"SECTION 6.8.2","9b49daec-e42c-4f4d-a4f4-e56ffa558239","<div></div>","6.8.2","NarrativeContent_49","Permitted Concomitant Therapy"
"SECTION 6.8.3","d394bc8d-eb05-45be-8f5b-96bcf2eabfd3","<div></div>","6.8.3","NarrativeContent_50","Rescue Therapy"
"SECTION 6.8.4","12e2e232-8ab9-4e42-94bb-ee8980d797ee","<div></div>","6.8.4","NarrativeContent_51","Other Therapy"
"SECTION 7","d701991f-98dd-4b75-a988-a2dd80e7a4d0","<div></div>","7","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"SECTION 7.1","1113b848-ed8f-4ded-b4a3-9d5fd159ba0a","<div></div>","7.1","NarrativeContent_53","Discontinuation of Trial Intervention"
"SECTION 7.1.1","d24000c9-6582-4487-8de1-c5946ec85e8d","<div></div>","7.1.1","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention"
"SECTION 7.1.2","70f98c3d-ee56-4235-a222-e739de7b8f34","<div></div>","7.1.2","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention"
"SECTION 7.1.3","f9f84e24-484e-42d9-be5e-c51ee6d1ffb7","<div></div>","7.1.3","NarrativeContent_56","Rechallenge"
"SECTION 7.2","890fa02b-8b32-4120-ab6c-a39538a696f2","<div></div>","7.2","NarrativeContent_57","Participant Withdrawal from the Trial"
"SECTION 7.3","3af3bb75-8927-4065-9e82-0aff6453b286","<div></div>","7.3","NarrativeContent_58","Lost to Follow-Up"
"SECTION 7.4","a420cffc-fb15-41e4-a0a1-e90123edbca4","<div></div>","7.4","NarrativeContent_59","Trial Stopping Rules"
"SECTION 8","10d467ea-fcca-4a90-9c9a-c2bc5e68ed61","<div></div>","8","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES"
"SECTION 8.1","0b77d511-cf62-49de-ae3b-39e8ad4f9ae0","<div></div>","8.1","NarrativeContent_61","Screening/Baseline Assessments and Procedures"
"SECTION 8.2","1f5badaf-95a8-43cb-b975-253ed2d398d4","<div></div>","8.2","NarrativeContent_62","Efficacy Assessments and Procedures"
"SECTION 8.3","a700cb66-2388-462f-beaa-1e6346b7021e","<div></div>","8.3","NarrativeContent_63","Safety Assessments and Procedures"
"SECTION 8.3.1","4550a75e-c4b2-4acd-977d-21d83a9ddb0f","<div></div>","8.3.1","NarrativeContent_64","Physical Examination"
"SECTION 8.3.2","33e4b3de-3c1c-4ec9-9089-ec045b0a0e0c","<div></div>","8.3.2","NarrativeContent_65","Vital Signs"
"SECTION 8.3.3","8c2fdd45-1584-4b9e-90db-e118303501ad","<div></div>","8.3.3","NarrativeContent_66","Electrocardiograms"
"SECTION 8.3.4","9378662c-2c53-45de-8ea0-3b0d4e4f14b9","<div></div>","8.3.4","NarrativeContent_67","Clinical Laboratory Assessments"
"SECTION 8.3.5","b97d3e71-a785-4f9f-8a37-67f1e29d913c","<div></div>","8.3.5","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring"
"SECTION 8.4","81d53ff2-b7a7-49e8-ad85-f2bfd9466d25","<div></div>","8.4","NarrativeContent_69","Adverse Events and Serious Adverse Events"
"SECTION 8.4.1","36182be8-6eb5-4643-8425-f2d403cea129","<div></div>","8.4.1","NarrativeContent_70","Definitions of AE and SAE"
"SECTION 8.4.2","969e4433-169a-44ac-9b9b-9ed9ba8e3c34","<div></div>","8.4.2","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information"
"SECTION 8.4.3","a4093773-8c77-4d8a-9569-9344f6996617","<div></div>","8.4.3","NarrativeContent_72","Identifying AEs and SAEs"
"SECTION 8.4.4","3383d6c9-b051-4883-81cf-152e43cb4e81","<div></div>","8.4.4","NarrativeContent_73","Recording of AEs and SAEs"
"SECTION 8.4.5","8c8b6c1f-bff3-4adb-90da-1fe0b48016ae","<div></div>","8.4.5","NarrativeContent_74","Follow-up of AEs and SAEs"
"SECTION 8.4.6","7467d2e3-1749-4cd6-91ad-b4b9ac6e7c2c","<div></div>","8.4.6","NarrativeContent_75","Reporting of SAEs"
"SECTION 8.4.7","a7a06162-cc8f-455d-8e99-25514562039a","<div></div>","8.4.7","NarrativeContent_76","Regulatory Reporting Requirements for SAEs"
"SECTION 8.4.8","48c4cee8-d44e-444b-aea1-4ce8da4d0840","<div></div>","8.4.8","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting"
"SECTION 8.4.9","20e9ba8f-8997-4a17-8a10-2f81281050ce","<div></div>","8.4.9","NarrativeContent_78","Adverse Events of Special Interest"
"SECTION 8.4.10","fb3acc50-b175-41bf-97c7-b20143d504e3","<div></div>","8.4.10","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"SECTION 8.5","7925509d-c5b0-4020-8930-2091a0763b02","<div></div>","8.5","NarrativeContent_80","Pregnancy and Postpartum Information"
"SECTION 8.5.1","d9157cbc-338c-4327-b21e-6ce85acc622c","<div></div>","8.5.1","NarrativeContent_81","Participants Who Become Pregnant During the Trial"
"SECTION 8.5.2","123d0d74-040c-42e7-ab1f-8395f796314b","<div></div>","8.5.2","NarrativeContent_82","Participants Whose Partners Become Pregnant"
"SECTION 8.6","34563e22-f1c4-4b2f-8c9d-22fdf36dd339","<div></div>","8.6","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products"
"SECTION 8.6.1","437d1412-74b7-49bd-816a-364c76b70f8c","<div></div>","8.6.1","NarrativeContent_84","Definition of Medical Device Product Complaints"
"SECTION 8.6.2","59ed66cf-592f-4732-b5f4-2b171fdfe802","<div></div>","8.6.2","NarrativeContent_85","Recording of Medical Device Product Complaints"
"SECTION 8.6.3","4fae58c9-d17f-4d56-b8dd-72a0e5d3e7a4","<div></div>","8.6.3","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"SECTION 8.6.4","6a7e8d44-19d0-4540-8b34-bd9d39f6e877","<div></div>","8.6.4","NarrativeContent_87","Follow-Up of Medical Device Product Complaints"
"SECTION 8.6.5","368fb066-d193-45c0-8170-c9e16fc80c62","<div></div>","8.6.5","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints"
"SECTION 8.7","e67e7b4c-bf4b-4105-b71b-9e279fd74bc5","<div></div>","8.7","NarrativeContent_89","Pharmacokinetics"
"SECTION 8.8","0d5ee9c9-e6b8-4980-b5ad-95ffda34f247","<div></div>","8.8","NarrativeContent_90","Genetics"
"SECTION 8.9","b36cf446-5fd9-4c2d-911c-347a20172682","<div></div>","8.9","NarrativeContent_91","Biomarkers"
"SECTION 8.1","c2a267ae-e562-43e3-b91f-f33d3a682ba5","<div></div>","8.1","NarrativeContent_92","Immunogenicity Assessments"
"SECTION 8.1.1","dea87251-5b4c-4d26-b06d-6a8967656268","<div></div>","8.1.1","NarrativeContent_93","Medical Resource Utilisation and Health Economics"
"SECTION 9","9f36af34-a7f2-4317-a92e-862394f6e0b5","<div></div>","9","NarrativeContent_94","STATISTICAL CONSIDERATIONS"
"SECTION 9.1","8be2e810-ec7c-47de-b9e7-53ccf1a96e22","<div></div>","9.1","NarrativeContent_95","Analysis Sets"
"SECTION 9.2","830ee503-2d73-4884-a4ed-46e9aa38b477","<div></div>","9.2","NarrativeContent_96","Analyses Supporting Primary Objective(s)"
"SECTION 9.2.1","4a8681e8-ddcb-444f-a869-3816a87ae7a1","<div></div>","9.2.1","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis"
"SECTION 9.2.2","b8f939f9-cb49-4f8f-8121-4576303dd9e1","<div></div>","9.2.2","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)"
"SECTION 9.2.3","6f134b61-38c8-4ff0-9e71-e09c6b3c3fae","<div></div>","9.2.3","NarrativeContent_99","Handling of Missing Data"
"SECTION 9.2.4","adcc5062-9582-421a-bf62-b1c019e530da","<div></div>","9.2.4","NarrativeContent_100","Sensitivity Analysis"
"SECTION 9.2.5","86f325c9-2519-4cd7-bae1-d5127e77a68c","<div></div>","9.2.5","NarrativeContent_101","Supplementary Analysis"
"SECTION 9.3","41f81110-9654-4db4-96ff-980ca6955ad0","<div></div>","9.3","NarrativeContent_102","Analysis Supporting Secondary Objective(s)"
"SECTION 9.4","5d76fb48-d496-428c-a97a-d19e2352ffe2","<div></div>","9.4","NarrativeContent_103","Analysis of Exploratory Objective(s)"
"SECTION 9.5","de06dc45-4211-421b-81cb-0061552d3ec4","<div></div>","9.5","NarrativeContent_104","Safety Analyses"
"SECTION 9.6","98b1d21c-5dc0-4071-9a08-23f3cff4c3f1","<div></div>","9.6","NarrativeContent_105","Other Analyses"
"SECTION 9.7","678173ea-cf4a-4643-94f8-09afd3bf2707","<div></div>","9.7","NarrativeContent_106","Interim Analyses"
"SECTION 9.8","64db5b42-341a-4ccc-b8f1-32eb816048bf","<div></div>","9.8","NarrativeContent_107","Sample Size Determination"
"SECTION 9.9","2c148d52-a100-4a42-b875-e389fc3ae629","<div></div>","9.9","NarrativeContent_108","Protocol Deviations"
"SECTION 10","f2a76d26-aa17-4ed3-bb7a-9b0325cc9703","<div></div>","10","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"SECTION 10.1","afae0847-5a29-48f0-9570-1543ff482aa0","<div></div>","10.1","NarrativeContent_110","Regulatory and Ethical Considerations"
"SECTION 10.2","be0b88aa-71d5-46dc-a551-587709cd9aae","<div></div>","10.2","NarrativeContent_111","Committees"
"SECTION 10.3","3325cb54-e6c6-41fd-886a-9f49045709e6","<div></div>","10.3","NarrativeContent_112","Informed Consent Process"
"SECTION 10.4","c2936171-2693-42ea-86a7-2e3974a40094","<div></div>","10.4","NarrativeContent_113","Data Protection"
"SECTION 10.5","3c86312d-b681-4480-84a8-e883468659f0","<div></div>","10.5","NarrativeContent_114","Early Site Closure or Trial Termination"
"SECTION 11","98d8c9f7-5431-43eb-a8d3-6add6cd40a93","<div></div>","11","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"SECTION 11.1","fde3102c-1ef7-4385-94ac-9d0b41d79db2","<div></div>","11.1","NarrativeContent_116","Quality Tolerance Limits"
"SECTION 11.2","9bb24ea1-25ea-4084-922b-9e032c9aca34","<div></div>","11.2","NarrativeContent_117","Data Quality Assurance"
"SECTION 11.3","de47a1d7-b110-4878-940e-d14662303619","<div></div>","11.3","NarrativeContent_118","Source Data"
"SECTION 12","cee29453-3b36-4095-945f-50364b16b111","<div></div>","12","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"SECTION 12.1","ef05e510-259d-4e39-a255-659ac10c07eb","<div></div>","12.1","NarrativeContent_120","Further Details and Clarifications on the AE Definition"
"SECTION 12.2","cee17b89-2adf-4637-812f-98f2ade5f926","<div></div>","12.2","NarrativeContent_121","Further Details and Clarifications on the SAE Definition"
"SECTION 12.3","8ce9f8a0-9ecd-4b64-8af6-0c1e6988074e","<div></div>","12.3","NarrativeContent_122","Severity"
"SECTION 12.4","4bdd84eb-ce68-4fd0-8e6f-c0e34bd09633","<div></div>","12.4","NarrativeContent_123","Causality"
"SECTION 13","d924b676-88b8-479e-9ae7-25e18d5f832b","<div></div>","13","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"SECTION 13.1","e3b1b22c-5152-44cb-a54a-ad7c28e2406c","<div></div>","13.1","NarrativeContent_125","Contraception and Pregnancy Testing"
"SECTION 13.1.1","eb7d1f71-3318-462a-94c2-bd0dd9eefb93","<div></div>","13.1.1","NarrativeContent_126","Definitions Related to Childbearing Potential"
"SECTION 13.1.2","07d68404-23dc-46e7-b53c-b22ca0c70557","<div></div>","13.1.2","NarrativeContent_127","Contraception"
"SECTION 13.1.3","c56e388a-0857-4ee7-bdf7-fbde074c862a","<div></div>","13.1.3","NarrativeContent_128","Pregnancy Testing"
"SECTION 13.2","b20d1ab6-e90e-48ff-8c01-e91d250ef004","<div></div>","13.2","NarrativeContent_129","Clinical Laboratory Tests"
"SECTION 13.3","b70a1253-675e-401f-9bf7-1cbd59e8f07d","<div></div>","13.3","NarrativeContent_130","Country/Region-Specific Differences"
"SECTION 13.4","bc3ff01a-1831-4d44-bde0-4030f74302af","<div></div>","13.4","NarrativeContent_131","Prior Protocol Amendments"
"SECTION 14","78334ded-4462-4fb4-a0d9-a3de4a04c72a","<div></div>","14","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS"
"SECTION 15","75847e51-cfbb-4795-93b7-773605f30cc2","<div></div>","15","NarrativeContent_133","APPENDIX: REFERENCES"
