"label","name","datatype","isRequired","uuid:ID","id","isEnabled"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","e436153d-23e6-44ce-82fe-af2ef5105943","BiomedicalConceptProperty_103","True"
"Biospecimen Type","Biospecimen Type","string","True","df7368fd-b3b3-4fc6-a4df-44f43ee88cfb","BiomedicalConceptProperty_104","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","7435822e-3c77-4931-ad0b-6b58c71f2b5e","BiomedicalConceptProperty_105","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","2ef6829c-320e-44f8-921e-3265bf22e58b","BiomedicalConceptProperty_106","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","91b534e1-5636-4be2-a64a-17f10ee66eb5","BiomedicalConceptProperty_107","True"
"Biospecimen Type","Biospecimen Type","string","True","2d7b7d0f-5b52-4b1c-9196-946f4d0ed1f7","BiomedicalConceptProperty_108","True"
"Laboratory Test Result","Laboratory Test Result","string","True","64f4a36e-7e4d-4c29-ab96-c7da305c2e92","BiomedicalConceptProperty_109","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","6373eabb-c267-4125-bf9a-4e970fdd8358","BiomedicalConceptProperty_110","True"
"Unit of Concentration","Unit of Concentration","string","True","4ee0e168-b346-4fee-9563-2138b273dfb0","BiomedicalConceptProperty_111","True"
"Biospecimen Type","Biospecimen Type","string","True","177cfcbc-23c7-4520-812f-f21404dc457d","BiomedicalConceptProperty_112","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","7ba33cc7-45ab-462f-b6e9-da0ecdc6e69a","BiomedicalConceptProperty_113","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","c2b905ce-6d74-4bcd-ad16-14f3c0a1e55a","BiomedicalConceptProperty_114","True"
"Molarity Unit","Molarity Unit","string","True","ce40e46e-d439-433f-aa8a-01988b595b75","BiomedicalConceptProperty_115","True"
"Biospecimen Type","Biospecimen Type","string","True","6986f126-a859-490f-bd5d-cc0f98dbaa02","BiomedicalConceptProperty_116","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","9fc2f5f8-0371-4b5a-9126-6e19204a2d42","BiomedicalConceptProperty_117","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","18836240-9ace-4e31-9b8a-cd02de41c9f8","BiomedicalConceptProperty_118","True"
"Molarity Unit","Molarity Unit","string","True","336510da-cee1-4d1e-8cf4-e22dc7b0be03","BiomedicalConceptProperty_119","True"
"Biospecimen Type","Biospecimen Type","string","True","6f5f94cd-8aa9-486a-b6d8-9adc01f16445","BiomedicalConceptProperty_120","True"
"Adverse Event Verbatim Description","Adverse Event Verbatim Description","string","True","c49ab025-7785-4153-92d7-f8d23afad439","BiomedicalConceptProperty_1","True"
"Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","string","True","c3d2c9f4-ea5f-44f1-9a7e-690034139394","BiomedicalConceptProperty_2","True"
"Adverse Event Category","Adverse Event Category","string","True","5beda42c-62ae-4390-a5e4-3e1890976523","BiomedicalConceptProperty_3","True"
"Adverse Event Subcategory","Adverse Event Subcategory","string","True","70b3495b-319d-403b-9191-0a509de491e3","BiomedicalConceptProperty_4","True"
"Adverse Event Pre-specified","Adverse Event Pre-specified","boolean","True","ece7f7ba-baf5-4187-829c-048f1d0a382b","BiomedicalConceptProperty_5","True"
"Severity of Adverse Event","Severity of Adverse Event","string","True","cf97824b-eef3-48b4-b381-2a12dc581f48","BiomedicalConceptProperty_6","True"
"Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","string","True","54fd71ba-92a4-4946-a30e-67a8d0517525","BiomedicalConceptProperty_7","True"
"Seriousness of Adverse Event","Seriousness of Adverse Event","boolean","True","68c7e6d9-d545-4409-8373-af714d8d1a02","BiomedicalConceptProperty_8","True"
"Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","string","True","51f16ebc-ef73-4556-ad27-fa1fb2267417","BiomedicalConceptProperty_9","True"
"Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","string","True","d1ff6e90-1401-48ae-82a8-4236cf704236","BiomedicalConceptProperty_10","True"
"Adverse Event Pattern","Adverse Event Pattern","string","True","8d1d3ace-565c-481d-8120-0c092260d024","BiomedicalConceptProperty_11","True"
"Adverse Event Outcome","Adverse Event Outcome","string","True","0aeae6ec-014e-4edb-ad4b-3ddb72bb585c","BiomedicalConceptProperty_12","True"
"Adverse Event Start Date Time","Adverse Event Start Date Time","datetime","True","b1375e3f-664d-4fb7-a532-91bda142c024","BiomedicalConceptProperty_13","True"
"Adverse Event End Date Time","Adverse Event End Date Time","datetime","True","be339b03-10fd-4af8-b25d-08ec53dd4483","BiomedicalConceptProperty_14","True"
"Vital Signs Result","Vital Signs Result","decimal","True","dd7b6bbb-7059-428b-a043-b086d9c5ab25","BiomedicalConceptProperty_15","True"
"Unit of Pressure","Unit of Pressure","string","True","c41b0a95-8879-4f75-9b9e-2b9040f34340","BiomedicalConceptProperty_16","True"
"Vital Signs Location","Vital Signs Location","string","True","070d6464-11e8-4533-ac56-39f83d346c60","BiomedicalConceptProperty_17","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","2d0706cb-7dd0-402a-9854-2881de4ca173","BiomedicalConceptProperty_18","True"
"Test Method","Test Method","string","True","d75bc048-5690-4ceb-9298-855910b59cb0","BiomedicalConceptProperty_19","True"
"Vital Signs Position","Vital Signs Position","string","True","3b02052a-beb6-419a-861d-609a93d32432","BiomedicalConceptProperty_20","True"
"Vital Signs Result","Vital Signs Result","decimal","True","a3e52417-99ef-4268-b009-1abce0d161c9","BiomedicalConceptProperty_21","True"
"Unit of Pressure","Unit of Pressure","string","True","24ccd516-b0e1-4cd2-8ba8-f9849061332b","BiomedicalConceptProperty_22","True"
"Vital Signs Location","Vital Signs Location","string","True","9ea9618e-dca6-4564-904c-a9dea93717a0","BiomedicalConceptProperty_23","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","9492c0e6-b2dc-49f1-b5af-22d9a4be5d33","BiomedicalConceptProperty_24","True"
"Test Method","Test Method","string","True","6e9e2981-27b8-4b42-b0f7-e94f1eb05679","BiomedicalConceptProperty_25","True"
"Vital Signs Position","Vital Signs Position","string","True","265d5438-6066-4f89-b3eb-6bbac32512c2","BiomedicalConceptProperty_26","True"
"Vital Signs Result","Vital Signs Result","decimal","True","b1e33ce9-60d3-416e-abe0-a8b7a4168122","BiomedicalConceptProperty_27","True"
"Unit of Temperature","Unit of Temperature","string","True","ac3ed791-eb9c-4a2f-a601-274ca5a6cc8c","BiomedicalConceptProperty_28","True"
"Vital Signs Location","Vital Signs Location","string","True","de890dc4-6157-4358-8645-988cc8d9fe21","BiomedicalConceptProperty_29","True"
"Vital Signs Result","Vital Signs Result","decimal","True","7c85b43f-08eb-4db6-add5-27c792ffe6ce","BiomedicalConceptProperty_30","True"
"Unit of Weight","Unit of Weight","string","True","93a3bd53-3fc1-4532-ac99-5d710710794a","BiomedicalConceptProperty_31","True"
"Vital Signs Result","Vital Signs Result","decimal","True","2465854b-7c95-4f68-a95a-99f544e41ba1","BiomedicalConceptProperty_32","True"
"Unit of Height","Unit of Height","string","True","4d7c8322-8601-4803-8c37-91303ea78cc2","BiomedicalConceptProperty_33","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","844bd93f-03ba-4a14-b075-553a4b4bb83e","BiomedicalConceptProperty_34","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","bd0589d8-f060-42a8-becf-10206cd6a78e","BiomedicalConceptProperty_35","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","bd8d6268-6095-45e8-a6bd-c77ad4eaf3a6","BiomedicalConceptProperty_36","True"
"Biospecimen Type","Biospecimen Type","string","True","af3161fa-efe5-4191-9a63-0b4aea72e7fa","BiomedicalConceptProperty_37","True"
"Laboratory Test Result","Laboratory Test Result","string","True","7b7ad4c8-d18d-4ba9-97a7-88c043693cee","BiomedicalConceptProperty_38","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","38489e93-cd67-4e17-9706-effee3c38941","BiomedicalConceptProperty_39","True"
"Unit of Concentration","Unit of Concentration","string","True","f564515e-618e-48af-ab5d-d206484c7533","BiomedicalConceptProperty_40","True"
"Biospecimen Type","Biospecimen Type","string","True","0637dbf9-6732-4bda-91f1-2aa785f5ea1f","BiomedicalConceptProperty_41","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","22bd3d52-2e69-48c7-8c3b-9083bcf74a49","BiomedicalConceptProperty_42","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","ea08e106-ba20-4959-8d25-a1bc2ab910ae","BiomedicalConceptProperty_43","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","6f6f80b8-e50e-40c9-9a2f-679c2abfb076","BiomedicalConceptProperty_44","True"
"Biospecimen Type","Biospecimen Type","string","True","c576e4ef-3fab-4a53-a79a-cd4ceed4dd66","BiomedicalConceptProperty_45","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","7a9b2530-b462-4459-8648-e2d8ffa7b6b4","BiomedicalConceptProperty_46","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","df9ef1b7-17c5-4b72-ab3a-4022879e6da8","BiomedicalConceptProperty_47","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","2e7d65aa-789e-4fb9-904f-c3830e2faa5e","BiomedicalConceptProperty_48","True"
"Biospecimen Type","Biospecimen Type","string","True","8fde7f67-16fa-4638-9c7b-9dc47c94e6e9","BiomedicalConceptProperty_49","True"
"Laboratory Test Result","Laboratory Test Result","string","True","ff939976-6634-4ba8-9676-4a01ee3f7e6a","BiomedicalConceptProperty_50","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","e4ff417a-d641-440a-a362-dbabb26b04ef","BiomedicalConceptProperty_51","True"
"Unit of Concentration","Unit of Concentration","string","True","ac8dbdfa-1a72-4fce-805f-3fed10f59f6c","BiomedicalConceptProperty_52","True"
"Biospecimen Type","Biospecimen Type","string","True","c66a7b36-b2e9-4308-a0a2-73fb8c639593","BiomedicalConceptProperty_53","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","1a74bf53-c354-479e-bdbd-254c5fc127c2","BiomedicalConceptProperty_54","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","19f97430-71f3-487c-815d-cf05196dbcc3","BiomedicalConceptProperty_55","True"
"Molarity Unit","Molarity Unit","string","True","012dcc5f-7abc-401e-8cda-79a709e3a35b","BiomedicalConceptProperty_56","True"
"Biospecimen Type","Biospecimen Type","string","True","cf8848a9-0d4e-43de-9381-527ed61c9a0f","BiomedicalConceptProperty_57","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","df1dacc9-3c49-47c6-b1b1-f2eb0c5b92e3","BiomedicalConceptProperty_58","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","865f779b-c2e4-4ced-8b89-a6c5abfcab13","BiomedicalConceptProperty_59","True"
"Molarity Unit","Molarity Unit","string","True","93417c50-d81e-4107-a8c4-5cfd3298eb2f","BiomedicalConceptProperty_60","True"
"Biospecimen Type","Biospecimen Type","string","True","754c66d0-3954-484a-be01-820ea5465d8f","BiomedicalConceptProperty_61","True"
"Vital Signs Result","Vital Signs Result","decimal","True","eee08bc3-76af-4abb-8dc0-ed240f64e974","BiomedicalConceptProperty_62","True"
"Unit of Pressure","Unit of Pressure","string","True","2de506bb-080e-40dc-8c46-14db53d3c9fb","BiomedicalConceptProperty_63","True"
"Vital Signs Location","Vital Signs Location","string","True","d98cd690-95cf-4cdc-aa9f-b5e9ede8b5b1","BiomedicalConceptProperty_64","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","be62486c-57d4-40e9-ae38-54e42a284a30","BiomedicalConceptProperty_65","True"
"Test Method","Test Method","string","True","325918af-b2c4-4426-bb8e-6761d7a6b603","BiomedicalConceptProperty_66","True"
"Vital Signs Position","Vital Signs Position","string","True","fdd0d631-a926-42cd-8041-8255df410629","BiomedicalConceptProperty_67","True"
"Vital Signs Result","Vital Signs Result","decimal","True","d8bc6562-49ee-4282-8875-4af4b5e5d8fb","BiomedicalConceptProperty_68","True"
"Unit of Pressure","Unit of Pressure","string","True","9e431190-fcb5-405d-aae5-70b54b00808a","BiomedicalConceptProperty_69","True"
"Vital Signs Location","Vital Signs Location","string","True","ddfeb64e-55e9-4005-bfc7-0df4b9d87635","BiomedicalConceptProperty_70","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","c02ad1d9-52d1-4ec4-bf40-39bfeaa593ec","BiomedicalConceptProperty_71","True"
"Test Method","Test Method","string","True","a24278d8-bc9a-46ab-84e4-5f83fd108231","BiomedicalConceptProperty_72","True"
"Vital Signs Position","Vital Signs Position","string","True","77a798b4-d918-454d-90b7-978edf4d56a6","BiomedicalConceptProperty_73","True"
"Vital Signs Result","Vital Signs Result","decimal","True","b22c9b69-915f-4f00-8fe8-734a9fa29d22","BiomedicalConceptProperty_74","True"
"Unit of Pressure","Unit of Pressure","string","True","2f4767d5-8ece-4287-af5c-3178fb7f311d","BiomedicalConceptProperty_75","True"
"Vital Signs Location","Vital Signs Location","string","True","c5cd07bd-bdb6-4de4-bfa8-3104eb1a679f","BiomedicalConceptProperty_76","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","a45ae83b-55c9-4acf-be71-ec8883c50e3b","BiomedicalConceptProperty_77","True"
"Test Method","Test Method","string","True","cb7dd87d-7599-4eaf-a1c5-81f86b46cf4d","BiomedicalConceptProperty_78","True"
"Vital Signs Position","Vital Signs Position","string","True","f8c10ea3-8b7d-4501-ab08-0a31baf02660","BiomedicalConceptProperty_79","True"
"Vital Signs Result","Vital Signs Result","decimal","True","dc959e41-58e3-4f46-81d6-b2841580cf8b","BiomedicalConceptProperty_80","True"
"Unit of Pressure","Unit of Pressure","string","True","a47283fb-71f1-4331-a65f-3b745003a7ba","BiomedicalConceptProperty_81","True"
"Vital Signs Location","Vital Signs Location","string","True","4bac8a14-1d09-48ce-b17a-934bc9cfef0e","BiomedicalConceptProperty_82","True"
"Vital Signs Laterality","Vital Signs Laterality","string","True","0bb712f6-b068-443f-86ab-a80ee6a8a37f","BiomedicalConceptProperty_83","True"
"Test Method","Test Method","string","True","e17c3d19-6435-47ff-878a-6994f208d1b2","BiomedicalConceptProperty_84","True"
"Vital Signs Position","Vital Signs Position","string","True","bf97de3f-ae0d-4a75-8e91-101fe2533295","BiomedicalConceptProperty_85","True"
