"name","sectionTitle","id","sectionNumber","uuid:ID","text","instanceType"
"SECTION 5.1","Selection of Trial Population","NarrativeContent_22","5.1","686657b0-2a97-4abb-9466-5d8fa5ac5b64","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent"
"SECTION 5.2","Rationale for Trial Population","NarrativeContent_23","5.2","36a36351-cbde-4b42-8f50-a983d448f651","<div></div>","NarrativeContent"
"SECTION 5.3","Inclusion Criteria","NarrativeContent_24","5.3","6a7f2cb6-9f0a-494b-8332-cd0d46204da0","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent"
"SECTION 5.4","Exclusion Criteria","NarrativeContent_25","5.4","3b1b9162-89db-4fad-acbf-519dddb92152","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent"
"SECTION 5.5","Lifestyle Considerations","NarrativeContent_26","5.5","3931a6b0-a325-40a9-9d6b-99be0c3823b7","<div></div>","NarrativeContent"
"SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent_27","5.5.1","79d3db6c-88a6-47c2-b2b5-6404373e1fc7","<div></div>","NarrativeContent"
"SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","5.5.2","65015281-b068-4f25-82ae-06c94bec63e5","<div><p>Not applicable</p></div>","NarrativeContent"
"SECTION 5.5.3","Physical Activity","NarrativeContent_29","5.5.3","f1dc9b08-7b38-4540-ab5c-264b7c61fadb","<div></div>","NarrativeContent"
"SECTION 5.5.4","Other Activity","NarrativeContent_30","5.5.4","9c2f7d6e-d5e5-4035-9e5b-61eee01de84a","<div></div>","NarrativeContent"
"SECTION 5.6","Screen Failures","NarrativeContent_31","5.6","4bb07c13-2dd6-4522-8cce-bedff8df68e9","<div></div>","NarrativeContent"
"SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","6","97d945e8-4b1d-4945-9828-bfdfee8dc111","<div></div>","NarrativeContent"
"SECTION 6.1","Description of Trial Intervention","NarrativeContent_33","6.1","4ce556f6-545a-4060-a990-84fef8d07d1a","<div></div>","NarrativeContent"
"SECTION 6.2","Rationale for Trial Intervention","NarrativeContent_34","6.2","ba93f6ff-0c27-4f35-b0ef-8e91e10e8dc6","<div></div>","NarrativeContent"
"SECTION 6.3","Dosing and Administration","NarrativeContent_35","6.3","95fb57b3-e75c-434b-9428-2b437c57c632","<div></div>","NarrativeContent"
"SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent_36","6.3.1","c77050d3-dcdb-4c1e-9076-e419a541980c","<div></div>","NarrativeContent"
"SECTION 6.4","Treatment of Overdose","NarrativeContent_37","6.4","314cd13d-3143-489e-a775-3e7b5dd9b1af","<div></div>","NarrativeContent"
"SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38","6.5","4cf64f55-2d6a-48f4-8252-0297bfc060b5","<div></div>","NarrativeContent"
"SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent_39","6.5.1","ffff2368-1410-49e0-9750-e234a7a15b72","<div></div>","NarrativeContent"
"SECTION 6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40","6.5.2","11167c7f-2fac-481a-8afd-95bcc82d69ec","<div></div>","NarrativeContent"
"SECTION 6.5.3","Accountability of Trial Intervention","NarrativeContent_41","6.5.3","76a9cec5-7a95-48c9-a559-5e49a56c36ed","<div></div>","NarrativeContent"
"SECTION 6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42","6.6","574a0bb5-4fd7-495a-ae97-ed04d4dd2970","<div></div>","NarrativeContent"
"SECTION 6.6.1","Participant Assignment","NarrativeContent_43","6.6.1","fb651d7b-3a0e-4a40-9621-24cd84d50c53","<div></div>","NarrativeContent"
"SECTION 6.6.2","Randomisation","NarrativeContent_44","6.6.2","1a5bc4fc-ded9-4048-8ffc-4897dfd0a8f9","<div></div>","NarrativeContent"
"SECTION 6.6.3","Blinding and Unblinding","NarrativeContent_45","6.6.3","bac84e8e-2ca2-4cfd-b1aa-9489455cec62","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent"
"SECTION 6.7","Trial Intervention Compliance","NarrativeContent_46","6.7","71018f57-5552-40dc-a89f-2249e9b3d22a","<div></div>","NarrativeContent"
"SECTION 6.8","Concomitant Therapy","NarrativeContent_47","6.8","3e505694-0fa6-4ba7-bf55-7aa3703dbb17","<div></div>","NarrativeContent"
"SECTION 6.8.1","Prohibited Concomitant Therapy","NarrativeContent_48","6.8.1","054053be-299f-4167-9988-2750684e8e30","<div></div>","NarrativeContent"
"SECTION 6.8.2","Permitted Concomitant Therapy","NarrativeContent_49","6.8.2","bfc6013c-64e0-4c4d-b9c4-e016bb5f3ea7","<div></div>","NarrativeContent"
"SECTION 6.8.3","Rescue Therapy","NarrativeContent_50","6.8.3","14a21122-53f6-486f-8f22-6731a11444b5","<div></div>","NarrativeContent"
"SECTION 6.8.4","Other Therapy","NarrativeContent_51","6.8.4","77ba4f61-cfce-4130-9454-6c8c2bee46e9","<div></div>","NarrativeContent"
"SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52","7","2a358174-fec6-4b69-9af7-8b36712cc3e4","<div></div>","NarrativeContent"
"SECTION 7.1","Discontinuation of Trial Intervention","NarrativeContent_53","7.1","8c097bb4-bc4e-4583-b240-44e7c0f9312a","<div></div>","NarrativeContent"
"SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54","7.1.1","35d0c007-0d52-4081-ab71-43e087eaa780","<div></div>","NarrativeContent"
"SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55","7.1.2","2472c886-426f-406a-82c0-4c5b4b45bc74","<div></div>","NarrativeContent"
"SECTION 7.1.3","Rechallenge","NarrativeContent_56","7.1.3","827ff52c-15ce-4d04-a5f1-798a643ff47a","<div></div>","NarrativeContent"
"SECTION 7.2","Participant Withdrawal from the Trial","NarrativeContent_57","7.2","06856d54-17af-4dff-bf36-873eed29797b","<div></div>","NarrativeContent"
"SECTION 7.3","Lost to Follow-Up","NarrativeContent_58","7.3","de608a86-9db7-4e28-8b2e-877d658187b2","<div></div>","NarrativeContent"
"SECTION 7.4","Trial Stopping Rules","NarrativeContent_59","7.4","94906943-3570-4b52-a490-a146703f0d96","<div></div>","NarrativeContent"
"SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60","8","155c24f7-dd97-473d-9efc-6144cd2d37b2","<div></div>","NarrativeContent"
"SECTION 8.1","Screening/Baseline Assessments and Procedures","NarrativeContent_61","8.1","84ed2fb8-6e26-4aa9-96e4-d580aae3141b","<div></div>","NarrativeContent"
"SECTION 8.2","Efficacy Assessments and Procedures","NarrativeContent_62","8.2","c746e264-f707-477f-bf5c-726adc8c898e","<div></div>","NarrativeContent"
"SECTION 8.3","Safety Assessments and Procedures","NarrativeContent_63","8.3","a9dcdfb1-c3fe-454f-8fad-b1031559400c","<div></div>","NarrativeContent"
"SECTION 8.3.1","Physical Examination","NarrativeContent_64","8.3.1","7561305e-727a-40d5-8d03-604f9c2eaa85","<div></div>","NarrativeContent"
"SECTION 8.3.2","Vital Signs","NarrativeContent_65","8.3.2","47f0a604-3176-4d7f-8bbf-aa3f984ebc29","<div></div>","NarrativeContent"
"SECTION 8.3.3","Electrocardiograms","NarrativeContent_66","8.3.3","835922a5-3146-4087-a6de-4ce7041302aa","<div></div>","NarrativeContent"
"SECTION 8.3.4","Clinical Laboratory Assessments","NarrativeContent_67","8.3.4","cb2a98df-c53c-428e-9bab-852475586c9e","<div></div>","NarrativeContent"
"SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68","8.3.5","8deaa361-23c3-49a8-9b4e-d6145f463593","<div></div>","NarrativeContent"
"SECTION 8.4","Adverse Events and Serious Adverse Events","NarrativeContent_69","8.4","646b079d-5171-4da9-a91a-0181718b7065","<div></div>","NarrativeContent"
"SECTION 8.4.1","Definitions of AE and SAE","NarrativeContent_70","8.4.1","c02b9a1f-1d9a-44d5-a225-408bb02c1150","<div></div>","NarrativeContent"
"SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71","8.4.2","90364d88-c5ea-4e8d-be5c-ca7c1668fa73","<div></div>","NarrativeContent"
"SECTION 8.4.3","Identifying AEs and SAEs","NarrativeContent_72","8.4.3","5c5fb55e-c788-4c8b-be9e-11ca650b6666","<div></div>","NarrativeContent"
"SECTION 8.4.4","Recording of AEs and SAEs","NarrativeContent_73","8.4.4","60e2d5a9-2828-4f72-bc02-785ed5ec95e9","<div></div>","NarrativeContent"
"SECTION 8.4.5","Follow-up of AEs and SAEs","NarrativeContent_74","8.4.5","20d070b9-4156-4b9a-b97f-f0d08055caab","<div></div>","NarrativeContent"
"SECTION 8.4.6","Reporting of SAEs","NarrativeContent_75","8.4.6","cd18ea40-9c06-4118-b892-746447ac1239","<div></div>","NarrativeContent"
"SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent_76","8.4.7","7b73bd78-211b-49a5-81f3-eed638434373","<div></div>","NarrativeContent"
"SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77","8.4.8","7b9cc136-22ca-44fe-be45-1b48d86e4f0d","<div></div>","NarrativeContent"
"SECTION 8.4.9","Adverse Events of Special Interest","NarrativeContent_78","8.4.9","44b65261-b33f-404e-b071-ac08ca7c77f1","<div></div>","NarrativeContent"
"SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79","8.4.10","e130a524-7057-4d06-9cff-47e53db224bd","<div></div>","NarrativeContent"
"SECTION 8.5","Pregnancy and Postpartum Information","NarrativeContent_80","8.5","6319de55-f613-4f96-8225-ba15b57af1a5","<div></div>","NarrativeContent"
"SECTION 8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent_81","8.5.1","3c64a3b6-6998-4675-917e-f216c37246f2","<div></div>","NarrativeContent"
"SECTION 8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent_82","8.5.2","cf6f0057-e3f8-4b0d-ae0e-9f99db201441","<div></div>","NarrativeContent"
"SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83","8.6","7e671c6f-c1b5-4af4-be78-fc1fc3d72a94","<div></div>","NarrativeContent"
"SECTION 8.6.1","Definition of Medical Device Product Complaints","NarrativeContent_84","8.6.1","c599d790-4baa-44bd-aaed-55997ae74d08","<div></div>","NarrativeContent"
"SECTION 8.6.2","Recording of Medical Device Product Complaints","NarrativeContent_85","8.6.2","02047a7b-afc5-4081-9cc0-1a9d64a37de3","<div></div>","NarrativeContent"
"SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86","8.6.3","d940b7b4-f793-46b2-9d23-e5922f63a6a1","<div></div>","NarrativeContent"
"SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent_87","8.6.4","3cc1fdc5-50f3-4628-909c-fc50980d0377","<div></div>","NarrativeContent"
"SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88","8.6.5","1923a532-c3cf-47ad-b941-9ac3f334893c","<div></div>","NarrativeContent"
"SECTION 8.7","Pharmacokinetics","NarrativeContent_89","8.7","71be225d-3bd6-40ba-a51a-aaa782e67022","<div></div>","NarrativeContent"
"SECTION 8.8","Genetics","NarrativeContent_90","8.8","bb5b3b32-2661-4159-b231-66935a143ccb","<div></div>","NarrativeContent"
"SECTION 8.9","Biomarkers","NarrativeContent_91","8.9","c877738c-daee-49fb-b9ef-06d7e8440cf8","<div></div>","NarrativeContent"
"SECTION 8.1","Immunogenicity Assessments","NarrativeContent_92","8.1","b80b3d3d-7cb1-4729-a10f-64f41c05b5f5","<div></div>","NarrativeContent"
"SECTION 8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent_93","8.1.1","a45b8a23-588a-4613-b708-8712a2c90fa0","<div></div>","NarrativeContent"
"SECTION 9","STATISTICAL CONSIDERATIONS","NarrativeContent_94","9","498825af-2af0-4bfb-a714-761fc42349f2","<div></div>","NarrativeContent"
"SECTION 9.1","Analysis Sets","NarrativeContent_95","9.1","852ecb2b-3fb2-4945-8684-2ede1fe2ca1a","<div></div>","NarrativeContent"
"SECTION 9.2","Analyses Supporting Primary Objective(s)","NarrativeContent_96","9.2","859ca7f2-c346-48f3-a67b-e67a671e49c6","<div></div>","NarrativeContent"
"SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97","9.2.1","f5ab991f-3433-4204-8bf3-a04b9a97b449","<div></div>","NarrativeContent"
"SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98","9.2.2","496ee720-bc25-464d-8994-55fe24502cd1","<div></div>","NarrativeContent"
"SECTION 9.2.3","Handling of Missing Data","NarrativeContent_99","9.2.3","77fd0b6a-fb4f-43fc-9483-75630253a850","<div></div>","NarrativeContent"
"SECTION 9.2.4","Sensitivity Analysis","NarrativeContent_100","9.2.4","a4ccf186-e2fb-4068-834c-cef47f65a154","<div></div>","NarrativeContent"
"SECTION 9.2.5","Supplementary Analysis","NarrativeContent_101","9.2.5","f8f01779-b810-4c0b-a21c-7eeeb993608d","<div></div>","NarrativeContent"
"SECTION 9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent_102","9.3","2902809b-1504-43e2-a672-ef8a575bfe20","<div></div>","NarrativeContent"
"SECTION 9.4","Analysis of Exploratory Objective(s)","NarrativeContent_103","9.4","a8ae1a09-70d2-4c94-a569-f8cd0bdb4d39","<div></div>","NarrativeContent"
"SECTION 9.5","Safety Analyses","NarrativeContent_104","9.5","41cc79b9-c52d-498a-9cde-7c15e3b8369e","<div></div>","NarrativeContent"
"SECTION 9.6","Other Analyses","NarrativeContent_105","9.6","0c4eb073-5503-4fd7-81ba-7c78dede35b5","<div></div>","NarrativeContent"
"SECTION 9.7","Interim Analyses","NarrativeContent_106","9.7","9bf7a2b7-3541-4d44-9230-20318692a58b","<div></div>","NarrativeContent"
"SECTION 9.8","Sample Size Determination","NarrativeContent_107","9.8","b46686e7-7b7f-4244-9eb4-8183eb92d1ab","<div></div>","NarrativeContent"
"SECTION 9.9","Protocol Deviations","NarrativeContent_108","9.9","86b68e05-d501-40c5-a1fd-ac5c9e5cedeb","<div></div>","NarrativeContent"
"SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109","10","15d68ca6-f777-4b6d-afbc-91b1a7e88586","<div></div>","NarrativeContent"
"SECTION 10.1","Regulatory and Ethical Considerations","NarrativeContent_110","10.1","007df07e-8f0a-4677-948e-05a0a66b6f4a","<div></div>","NarrativeContent"
"SECTION 10.2","Committees","NarrativeContent_111","10.2","29862dd2-7c6e-4bbb-b4a4-9a0473b2b0fc","<div></div>","NarrativeContent"
"SECTION 10.3","Informed Consent Process","NarrativeContent_112","10.3","17c7e1a3-efb8-4221-a8f3-3d51b0585560","<div></div>","NarrativeContent"
"SECTION 10.4","Data Protection","NarrativeContent_113","10.4","67157d6e-ea17-47f6-846b-acc75ba861fb","<div></div>","NarrativeContent"
"SECTION 10.5","Early Site Closure or Trial Termination","NarrativeContent_114","10.5","e0fd24bd-f9b2-4060-91d7-2470b7b94297","<div></div>","NarrativeContent"
"SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115","11","d90e702f-7411-4527-9a36-0ef5c8fad086","<div></div>","NarrativeContent"
"SECTION 11.1","Quality Tolerance Limits","NarrativeContent_116","11.1","8c0ce8a4-4609-42ca-bcee-228cb5d1d6ca","<div></div>","NarrativeContent"
"SECTION 11.2","Data Quality Assurance","NarrativeContent_117","11.2","5bc7aafb-e496-4d56-8d6d-bdac7f378ed9","<div></div>","NarrativeContent"
"SECTION 11.3","Source Data","NarrativeContent_118","11.3","6cb1f3f3-45f6-49ba-baa8-f656deabc6ac","<div></div>","NarrativeContent"
"SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119","12","47b21082-3d46-4eaa-9123-08e60b4b4b66","<div></div>","NarrativeContent"
"SECTION 12.1","Further Details and Clarifications on the AE Definition","NarrativeContent_120","12.1","653cc58d-9d6a-4e19-93dc-82768d902122","<div></div>","NarrativeContent"
"SECTION 12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent_121","12.2","5649102c-b222-4bbc-92a6-a26dedbdf426","<div></div>","NarrativeContent"
"SECTION 12.3","Severity","NarrativeContent_122","12.3","a6bd1bdd-08b9-4e28-8ed8-b0f804d76f7e","<div></div>","NarrativeContent"
"SECTION 12.4","Causality","NarrativeContent_123","12.4","d5f3e3a5-d207-458d-bc07-fdaa08d3d8f6","<div></div>","NarrativeContent"
"SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124","13","341d2090-acc2-43f6-94e8-a4a2e9e46ecf","<div></div>","NarrativeContent"
"SECTION 13.1","Contraception and Pregnancy Testing","NarrativeContent_125","13.1","3fadc4b5-30e6-40a8-bc89-b45eca67da02","<div></div>","NarrativeContent"
"SECTION 13.1.1","Definitions Related to Childbearing Potential","NarrativeContent_126","13.1.1","b1e26cec-6f01-423c-bf34-8e7cf5328816","<div></div>","NarrativeContent"
"SECTION 13.1.2","Contraception","NarrativeContent_127","13.1.2","5fb5fbe7-b89a-423b-a234-bf7e34264d47","<div></div>","NarrativeContent"
"SECTION 13.1.3","Pregnancy Testing","NarrativeContent_128","13.1.3","20c96788-3374-4ec4-a4e1-f1abf13f90f0","<div></div>","NarrativeContent"
"SECTION 13.2","Clinical Laboratory Tests","NarrativeContent_129","13.2","e8dbe381-ffc6-435c-af78-6763fa380f5d","<div></div>","NarrativeContent"
"SECTION 13.3","Country/Region-Specific Differences","NarrativeContent_130","13.3","8488a623-f58b-4fc2-af54-69aba10a05ba","<div></div>","NarrativeContent"
"SECTION 13.4","Prior Protocol Amendments","NarrativeContent_131","13.4","557e42ab-41ab-42c8-a0ff-8b003f3a5388","<div></div>","NarrativeContent"
"SECTION 14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132","14","67c41083-d406-4830-8e2f-7f6af1e758a2","<div></div>","NarrativeContent"
"SECTION 15","APPENDIX: REFERENCES","NarrativeContent_133","15","f8b8f06f-8e13-4e7a-8d5f-858e01231d90","<div></div>","NarrativeContent"
