"sectionTitle","name","id","uuid:ID","sectionNumber","text"
"Access to Trial Intervention After End of Trial","SECTION 4.3","NarrativeContent_18","1117fa70-a8de-4780-a846-9d291c394db3","4.3","<div></div>"
"Start of Trial and End of Trial","SECTION 4.4","NarrativeContent_19","13b01275-26c7-4a10-b3b1-614b1f5ecfb2","4.4","<div></div>"
"TRIAL POPULATION","SECTION 5","NarrativeContent_20","fa68a51c-9383-4d12-9065-d6568ceb20b8","5","<div></div>"
"Selection of Trial Population","SECTION 5.1","NarrativeContent_21","d37a6a2e-f1be-44f3-8270-6ebf379744a7","5.1","<div></div>"
"Rationale for Trial Population","SECTION 5.2","NarrativeContent_22","f93d7892-33a5-483d-91d5-1066ab3e8302","5.2","<div></div>"
"Inclusion Criteria","SECTION 5.3","NarrativeContent_23","172ab87c-99d0-4d4c-be2d-fcfce2530169","5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>"
"Exclusion Criteria","SECTION 5.4","NarrativeContent_24","80ee6ba5-4f8f-40ab-bbd2-d78eedb7f7db","5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>"
"Lifestyle Considerations","SECTION 5.5","NarrativeContent_25","d088ed9a-1faa-4bed-b2b9-445abfcbb626","5.5","<div></div>"
"Meals and Dietary Restrictions","SECTION 5.5.1","NarrativeContent_26","6dae2e5d-e4ea-4789-b5c2-8a686107a0c1","5.5.1","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","NarrativeContent_27","bb369189-d0ac-40cd-924e-440c41876e56","5.5.2","<div></div>"
"Physical Activity","SECTION 5.5.3","NarrativeContent_28","9b094c40-398f-4fc3-967c-792233c2711c","5.5.3","<div></div>"
"Other Activity","SECTION 5.5.4","NarrativeContent_29","67ddbd3f-a2c9-4f3a-b0a8-132f3bb4bb87","5.5.4","<div></div>"
"Screen Failures","SECTION 5.6","NarrativeContent_30","9bb78613-05d2-4e44-9e77-15a19c6684e1","5.6","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","NarrativeContent_31","29b93c20-bbf9-4a4c-ba11-fe20fb58625e","6","<div></div>"
"Description of Trial Intervention","SECTION 6.1","NarrativeContent_32","d9977cd3-b642-4811-96d0-f2cc69bb3b00","6.1","<div></div>"
"Rationale for Trial Intervention","SECTION 6.2","NarrativeContent_33","4c442c70-454c-48e7-aca8-44f5b664819a","6.2","<div></div>"
"Dosing and Administration","SECTION 6.3","NarrativeContent_34","47c00dbd-fc96-47af-a15a-704625885755","6.3","<div></div>"
"Trial Intervention Dose Modification","SECTION 6.3.1","NarrativeContent_35","c670706b-bca5-4881-8201-80629ed37e0d","6.3.1","<div></div>"
"Treatment of Overdose","SECTION 6.4","NarrativeContent_36","021215e3-df56-4e39-8a2d-ffc83654d40c","6.4","<div></div>"
"Preparation, Handling, Storage and Accountability","SECTION 6.5","NarrativeContent_37","71a9737c-3bd2-443d-8671-ce0bea232552","6.5","<div></div>"
"Preparation of Trial Intervention","SECTION 6.5.1","NarrativeContent_38","7ccba5fa-fba1-4110-9d46-09834af95d03","6.5.1","<div></div>"
"Handling and Storage of Trial Intervention","SECTION 6.5.2","NarrativeContent_39","eb652dc2-1633-46a8-8601-f3836161ef2a","6.5.2","<div></div>"
"Accountability of Trial Intervention","SECTION 6.5.3","NarrativeContent_40","66e48f6e-41a7-43dc-8c33-d385c43b47c6","6.5.3","<div></div>"
"Participant Assignment, Randomisation and Blinding","SECTION 6.6","NarrativeContent_41","383b03ea-2dcb-4486-a6ff-a93144976c2e","6.6","<div></div>"
"Participant Assignment","SECTION 6.6.1","NarrativeContent_42","9cd0532d-b5ff-4ce6-b9b3-8699a5c58144","6.6.1","<div></div>"
"Randomisation","SECTION 6.6.2","NarrativeContent_43","4bb57d14-7c53-47ec-bac4-647ef99b3bc9","6.6.2","<div></div>"
"Blinding and Unblinding","SECTION 6.6.3","NarrativeContent_44","a81d7eae-ad9e-4521-aeba-7873371eb55b","6.6.3","<div><p>Blinding and unblinding text here please</p></div>"
"Trial Intervention Compliance","SECTION 6.7","NarrativeContent_45","ab1c5360-71a1-41f8-b55e-f17a3cfa5ca6","6.7","<div></div>"
"Concomitant Therapy","SECTION 6.8","NarrativeContent_46","d9a0350e-7212-47e5-bf67-69dde2533eee","6.8","<div></div>"
"Prohibited Concomitant Therapy","SECTION 6.8.1","NarrativeContent_47","572aa48a-f552-4a95-b4ac-b586f3236785","6.8.1","<div></div>"
"Permitted Concomitant Therapy","SECTION 6.8.2","NarrativeContent_48","43a17a0c-d234-4e50-927a-94987400feb2","6.8.2","<div></div>"
"Rescue Therapy","SECTION 6.8.3","NarrativeContent_49","f5b02db7-17d4-4d66-b3d3-030b1c73b887","6.8.3","<div></div>"
"Other Therapy","SECTION 6.8.4","NarrativeContent_50","16adf2a9-b75b-4983-84f9-0ea0fbf153ac","6.8.4","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","NarrativeContent_51","155833b7-d718-44f5-a9e4-c8509bf0c083","7","<div></div>"
"Discontinuation of Trial Intervention","SECTION 7.1","NarrativeContent_52","aaff9772-c682-4e1b-8b9d-c719fd674f5e","7.1","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","NarrativeContent_53","618e8a70-c9c3-4a88-9291-5bd524cb864e","7.1.1","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","NarrativeContent_54","681fe1a5-01d7-4712-ab82-424e978f09ca","7.1.2","<div></div>"
"Rechallenge","SECTION 7.1.3","NarrativeContent_55","2f88c3eb-a6e1-4d0e-b16a-5dcf0a187d39","7.1.3","<div></div>"
"Participant Withdrawal from the Trial","SECTION 7.2","NarrativeContent_56","e71996b5-7b89-42df-8671-1a3747d249f2","7.2","<div></div>"
"Lost to Follow-Up","SECTION 7.3","NarrativeContent_57","8892bcf4-04df-4ec0-a01d-61c66afab83a","7.3","<div></div>"
"Trial Stopping Rules","SECTION 7.4","NarrativeContent_58","503c7d35-9646-45e3-9278-918c6ce70a95","7.4","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","NarrativeContent_59","1d6e2efe-2e22-46fb-ba90-80acc8324f95","8","<div></div>"
"Screening/Baseline Assessments and Procedures","SECTION 8.1","NarrativeContent_60","b6b17f65-b016-4095-8cca-23a20bcc5ac3","8.1","<div></div>"
"Efficacy Assessments and Procedures","SECTION 8.2","NarrativeContent_61","376cd534-3a58-4dbe-8dbf-ee4de95c73c9","8.2","<div></div>"
"Safety Assessments and Procedures","SECTION 8.3","NarrativeContent_62","b9e5a471-c42e-4b08-9bff-a4c2fb0e1be3","8.3","<div></div>"
"Physical Examination","SECTION 8.3.1","NarrativeContent_63","8922fc11-1a7e-4fbd-8a61-cbcc404cb38c","8.3.1","<div></div>"
"Vital Signs","SECTION 8.3.2","NarrativeContent_64","1c3359ba-5ce4-4b59-ae44-87af513f199d","8.3.2","<div></div>"
"Electrocardiograms","SECTION 8.3.3","NarrativeContent_65","f888b965-b818-4ceb-8f21-52d5646f386c","8.3.3","<div></div>"
"Clinical Laboratory Assessments","SECTION 8.3.4","NarrativeContent_66","493d8e1e-290d-4350-9cac-19d8796715e4","8.3.4","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","NarrativeContent_67","a788ea7e-6055-4a0e-9d86-a70853dcc009","8.3.5","<div></div>"
"Adverse Events and Serious Adverse Events","SECTION 8.4","NarrativeContent_68","b21e32b0-42cb-4c2c-aba8-8f128acfc2dc","8.4","<div></div>"
"Definitions of AE and SAE","SECTION 8.4.1","NarrativeContent_69","04ffc884-16b1-4bd3-825e-b8e2dcc2613f","8.4.1","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","NarrativeContent_70","11166967-65a3-454a-a57f-def2642fd0da","8.4.2","<div></div>"
"Identifying AEs and SAEs","SECTION 8.4.3","NarrativeContent_71","3a664886-30f5-498d-ae53-e624328894ca","8.4.3","<div></div>"
"Recording of AEs and SAEs","SECTION 8.4.4","NarrativeContent_72","1ca5bbe1-fc30-42de-967e-d076f8f659fd","8.4.4","<div></div>"
"Follow-up of AEs and SAEs","SECTION 8.4.5","NarrativeContent_73","7e9a1e07-f048-4e23-bbba-513ea8647eb6","8.4.5","<div></div>"
"Reporting of SAEs","SECTION 8.4.6","NarrativeContent_74","8e383e43-a2c4-4c7a-a9cc-a1415c55056c","8.4.6","<div></div>"
"Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","NarrativeContent_75","ff8f705b-5094-4432-936a-3892e022726d","8.4.7","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","NarrativeContent_76","5081e0e1-1d7b-454f-b740-2115d42f83af","8.4.8","<div></div>"
"Adverse Events of Special Interest","SECTION 8.4.9","NarrativeContent_77","56fdfc72-5b8a-478e-9e7e-38437d8b1a99","8.4.9","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","NarrativeContent_78","810eb382-c1ab-448a-9f2b-3156d725a472","8.4.10","<div></div>"
"Pregnancy and Postpartum Information","SECTION 8.5","NarrativeContent_79","60557aad-1ff3-48e7-86a9-0ecc9f73c7ba","8.5","<div></div>"
"Participants Who Become Pregnant During the Trial","SECTION 8.5.1","NarrativeContent_80","84cf8774-f488-4679-8aef-a6b872b6cd9e","8.5.1","<div></div>"
"Participants Whose Partners Become Pregnant","SECTION 8.5.2","NarrativeContent_81","87d1477f-df5f-46d5-98f3-c48637acd1b2","8.5.2","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","NarrativeContent_82","0195c9eb-04b5-42fd-aedc-13443921c441","8.6","<div></div>"
"Definition of Medical Device Product Complaints","SECTION 8.6.1","NarrativeContent_83","1beba524-4d02-4fec-9946-75322987c550","8.6.1","<div></div>"
"Recording of Medical Device Product Complaints","SECTION 8.6.2","NarrativeContent_84","3193c978-3e5c-45a5-af2b-07a8eef5c9f9","8.6.2","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","NarrativeContent_85","6b07c2e6-cee9-4921-bfc2-5ccdc650ed3f","8.6.3","<div></div>"
"Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","NarrativeContent_86","e5eb0500-0c46-4c82-93e2-f31c0e16cacc","8.6.4","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","NarrativeContent_87","522bde75-455a-426e-b9e2-230f95e4228a","8.6.5","<div></div>"
"Pharmacokinetics","SECTION 8.7","NarrativeContent_88","3c830faf-ed29-4a7f-9ca2-5368381dc705","8.7","<div></div>"
"Genetics","SECTION 8.8","NarrativeContent_89","dffb3e1c-44f3-4894-a3f4-5135752b35d2","8.8","<div></div>"
"Biomarkers","SECTION 8.9","NarrativeContent_90","892ddd09-44d9-42be-93c2-d03895a735c0","8.9","<div></div>"
"Immunogenicity Assessments","SECTION 8.1","NarrativeContent_91","bf8005a6-ed59-437d-aa4b-77ced034c802","8.1","<div></div>"
"Medical Resource Utilisation and Health Economics","SECTION 8.1.1","NarrativeContent_92","bca60bf6-b6fd-4edd-af1e-d23b7f6075b9","8.1.1","<div></div>"
"STATISTICAL CONSIDERATIONS","SECTION 9","NarrativeContent_93","08a2ce1b-ef27-46bf-8aef-afdbc266ad0b","9","<div></div>"
"Analysis Sets","SECTION 9.1","NarrativeContent_94","19782b23-eeb8-4ebc-9658-0459d61e5d57","9.1","<div></div>"
"Analyses Supporting Primary Objective(s)","SECTION 9.2","NarrativeContent_95","b8a66ba2-c646-46af-aef2-885873fa8fc5","9.2","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","NarrativeContent_96","83c09e44-6f94-482d-858f-3475f4de6a76","9.2.1","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","NarrativeContent_97","3725e006-e543-4320-b9f4-4ad46b1e98d4","9.2.2","<div></div>"
"Handling of Missing Data","SECTION 9.2.3","NarrativeContent_98","4c7b68bd-fdd4-4641-86a3-aad753d12292","9.2.3","<div></div>"
"Sensitivity Analysis","SECTION 9.2.4","NarrativeContent_99","939d4934-8223-4fa5-92d1-d90a81c87497","9.2.4","<div></div>"
"Supplementary Analysis","SECTION 9.2.5","NarrativeContent_100","4eb509fe-3eeb-4cd5-aadb-3c0f6efff454","9.2.5","<div></div>"
"Analysis Supporting Secondary Objective(s)","SECTION 9.3","NarrativeContent_101","ae0a159a-e6bb-4dab-85f0-2dab09fad7f2","9.3","<div></div>"
"Analysis of Exploratory Objective(s)","SECTION 9.4","NarrativeContent_102","cc981fb0-f9b2-46b6-8226-54708ceadf15","9.4","<div></div>"
"Safety Analyses","SECTION 9.5","NarrativeContent_103","62ddd1a5-326e-4bc6-aac4-b28113e58702","9.5","<div></div>"
"Other Analyses","SECTION 9.6","NarrativeContent_104","5168f45f-a91e-4cea-9c42-563f7dc20449","9.6","<div></div>"
"Interim Analyses","SECTION 9.7","NarrativeContent_105","f7916ba8-da2f-494a-9f56-0f650ed59f97","9.7","<div></div>"
"Sample Size Determination","SECTION 9.8","NarrativeContent_106","ee232f4c-a6f3-4062-9cb5-b4440ae22969","9.8","<div></div>"
"Protocol Deviations","SECTION 9.9","NarrativeContent_107","216397b6-81ea-422a-a510-08310c4a5cfc","9.9","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","NarrativeContent_108","4dd7aa11-b4dd-402d-9a96-316264221a6b","10","<div></div>"
"Regulatory and Ethical Considerations","SECTION 10.1","NarrativeContent_109","99b04cd2-7971-4aff-9d2c-ec8b7e5842a7","10.1","<div></div>"
"Committees","SECTION 10.2","NarrativeContent_110","9e822ed0-92ad-46aa-9c49-80c86fb8729a","10.2","<div></div>"
"Informed Consent Process","SECTION 10.3","NarrativeContent_111","ae293b1a-0bfc-4b51-9ebd-d3f7386a4172","10.3","<div></div>"
"Data Protection","SECTION 10.4","NarrativeContent_112","70255dd9-ccf4-4d4d-898b-2cf27beaec0d","10.4","<div></div>"
"Early Site Closure or Trial Termination","SECTION 10.5","NarrativeContent_113","c499d270-5321-415d-9e0c-a62e8dcc8757","10.5","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","NarrativeContent_114","f3a0a663-13ce-48d4-b5e9-da664c9090ed","11","<div></div>"
"Quality Tolerance Limits","SECTION 11.1","NarrativeContent_115","816dc7f3-5c1b-40e6-a2ec-630e6efd1816","11.1","<div></div>"
"Data Quality Assurance","SECTION 11.2","NarrativeContent_116","4ff1aee9-dca4-41f5-a510-538e11356a04","11.2","<div></div>"
"Source Data","SECTION 11.3","NarrativeContent_117","3eaf9e10-2513-450d-911d-55b89f5fe0d0","11.3","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","NarrativeContent_118","0654a30b-be5c-4b43-99ef-0a84434819ad","12","<div></div>"
"Further Details and Clarifications on the AE Definition","SECTION 12.1","NarrativeContent_119","b07d1d35-4206-413e-a158-9de6d62a4c88","12.1","<div></div>"
"Further Details and Clarifications on the SAE Definition","SECTION 12.2","NarrativeContent_120","5d87a429-bee6-4c22-a24e-62ab92f0fa2b","12.2","<div></div>"
"Severity","SECTION 12.3","NarrativeContent_121","431fc12a-90c7-4a8e-a824-2cd64b4968b5","12.3","<div></div>"
"Causality","SECTION 12.4","NarrativeContent_122","7dcd5a9f-ff9c-486d-842f-9d50df8317de","12.4","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","NarrativeContent_123","bd1aacc3-11d8-4f27-9814-39c3641319ba","13","<div></div>"
"Contraception and Pregnancy Testing","SECTION 13.1","NarrativeContent_124","0b91582e-b900-4d9f-9581-838f64111ee1","13.1","<div></div>"
"Definitions Related to Childbearing Potential","SECTION 13.1.1","NarrativeContent_125","2d0e78aa-10a7-4c64-9170-36edb98dc4ca","13.1.1","<div></div>"
"Contraception","SECTION 13.1.2","NarrativeContent_126","76caad90-b043-43da-b3af-25515f7d9390","13.1.2","<div></div>"
"Pregnancy Testing","SECTION 13.1.3","NarrativeContent_127","d5bcd363-90d9-4aef-bf1c-3779cd2d930e","13.1.3","<div></div>"
"Clinical Laboratory Tests","SECTION 13.2","NarrativeContent_128","21aa4576-f2fa-43aa-9fc5-4fb1ae175110","13.2","<div></div>"
"Country/Region-Specific Differences","SECTION 13.3","NarrativeContent_129","5e3bbcb4-53ad-4b8b-8bf7-56d30b837f92","13.3","<div></div>"
"Prior Protocol Amendments","SECTION 13.4","NarrativeContent_130","98e6c44b-de42-435a-99fa-99a8c5c3e530","13.4","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","SECTION 14","NarrativeContent_131","c61ba121-c3c7-4ef6-bf5d-50ca8107edb4","14","<div></div>"
"APPENDIX: REFERENCES","SECTION 15","NarrativeContent_132","65dc21a3-e83d-4e8b-994b-f3a1dc607096","15","<div></div>"
